THE MIND OF CROWDS	『群集心理』
It is easy to prove how much the individual forming part of a crowd differs from the isolated individual, but it is less easy to discover the causes of this difference.	群集を構成する個人がばらばらでいる時と異なる性質を示すことは容易であるが、その原因を明らかにすることは困難である。
To obtain at any rate a glimpse of them it is necessary in the first place to call to mind the truth established by modern psychology, that unconscious phenomena play an altogether preponderating part not only in organic life, but also in the operations of the intelligence.	この原因について細部にまでわたって理解するには、器官の作用のみならず意識の作用に関しても無意識現象が重要な働きをしているという現代心理学の真実をまず思い起こすべきであろう。
The conscious life of the mind is of small importance in comparison with its unconscious life.	無意識の作用のもとにある生活*5に比べれば、意識の作用のもとにある生活は対した重要性を持たない。
The most subtle analyst, the most acute observer, is scarcely successful in discovering more than a very small number of the unconscious motives that determine his conduct.	しかしどんな優秀な分析者・観察者であっても、自らの行為を決定する無意識的動機を発見、特定することはなかなか困難である。
Our conscious acts are the outcome of an unconscious substratum created in the mind in the main by hereditary influences.	我々の意識的行動ですら、主に遺伝的影響でもたらされる無意識的な基盤からもたらされるものなのである。
This substratum consists of the innumerable common characteristics handed down from generation to generation, which constitute the genius of a race.	そしてこの基盤は幾世代にもわたって伝えられてきた無数の共通の性質から構成されているのである。
Behind the avowed causes of our acts there undoubtedly lie secret causes that we do not avow, but behind these secret causes there are many others more secret still which we ourselves ignore.	我々の行動の背景には我々の気づき得ない原因が横たわっている。
The greater part of our daily actions are the result of hidden motives which escape our observation.	日常の行動の大部分が観察もできない隠された動機の結果なのである。
It is more especially with respect to those unconscious elements which constitute the genius of a race that all the individuals belonging to it resemble each other, while it is principally in respect to the conscious elements of their character--the fruit of education, and yet more of exceptional hereditary conditions--that they differ from each other.	ある民族に属する個人どうしが互いによく似ているのは民族の性質を決定する無意識的要素によるものであり、個々の人間に差異があるのは教育の成果や遺伝条件といった意識的要素によるものである。
Men the most unlike in the matter of their intelligence possess instincts, passions, and feelings that are very similar.	知性の面ではかなり異なる者どうしであったとしても、本能や情熱、感情という点から見れば大した差はない。
In the case of every thing that belongs to the realm of sentiment--religion, politics, morality, the affections and antipathies, &c.--the most eminent men seldom surpass the standard of the most ordinary individuals.	感情に関することがら、例えば宗教・政治・道徳・愛情・反感など*6は、どんなに優れた人が居たとしても常人のレベルを遥かに超越することなどできない。
From the intellectual point of view an abyss may exist between a great mathematician and his boot maker, but from the point of view of character the difference is most often slight or non-existent.	偉大な数学者とその数学者のはく靴をつくる職人とでは知性の面では大きな隔たりがある*7が、性質の面から言えば差は全くないか、あっても極めて少しである。
It is precisely these general qualities of character, governed by forces of which we are unconscious, and possessed by the majority of the normal individuals of a race in much the same degree--it is precisely these qualities, I say, that in crowds become common property.	この性質（性格）の一般的傾向は無意識の力によって支配されているものであり、１つの民族に属する標準的な個人が同程度に持っているもので、まさにこれが群集として共通に現れる性質なのである。
In the collective mind the intellectual aptitudes of the individuals, and in consequence their individuality, are weakened.	集団的精神の中では個人の知的な才能・個性は弱体化する。
The heterogeneous is swamped by the homogeneous, and the unconscious qualities obtain the upper hand.	同質性が異質性を凌駕し、無意識的性質が優性になるのだ。*8
This very fact that crowds possess in common ordinary qualities explains why they can never accomplish acts demanding a high degree of intelligence.	高度な知性が要求される行為を群集が為し得ないのは、まさに群集が凡庸な性質を共通に持っているという事実によるものである。
The decisions affecting matters of general interest come to by an assembly of men of distinction, but specialists in different walks of life, are not sensibly superior to the decisions that would be adopted by a gathering of imbeciles.	それぞれ分野の異なる専門家による一般的事項に関する会議の結論が、愚かな人々*9による会議の結論に比べて優れていると言うわけではない。
The truth is, they can only bring to bear in common on the work in hand those mediocre qualities which are the birthright of every average individual.	実際のところ、平均的個人が持って生まれた凡庸な性質で取り組むしかないのである。
In crowds it is stupidity and not mother-wit that is accumulated.	群集の中では蓄積されるのは持って生まれた才覚ではないのだ。
It is not all the world, as is so often repeated, that has more wit than Voltaire, but assuredly Voltaire that has more wit than all the world,	頻繁に繰り返されてきたことであるが、世界中の誰もがヴォルテール（Voltaire:本名 Francois Marie Arouet;1694 - 1778）ほど機知に富んではいない。
if by "all the world" crowds are to be understood.	もしこの「世界中」というのが群集を意味するのであれば、確かにそうなのだ。
If the individuals of a crowd confined themselves to putting in common the ordinary qualities of which each of them has his share, there would merely result the striking of an average, and not, as we have said is actually the case, the creation of new characteristics.	しかし、もし群集を構成するそれぞれが、［群集になることで］その平凡な性質を混合するだけのことであったなら、単に平均化という結果が得られるだけで、先ほどから見ている、新しい性質が発生することは説明されない。
How is it that these new characteristics are created?	ならば、この新しい性質はどうやって生まれてくるのか。
This is what we are now to investigate.	それを今から考えてみよう。
Different causes determine the appearance of these characteristics peculiar to crowds, and not possessed by isolated individuals.	隔絶された個人が持っていない性質で、群衆のみが持つ性質が出現するためには様々な要因が挙げられる。
The first is that the individual forming part of a crowd acquires, solely from numerical considerations, a sentiment of invincible power which allows him to yield to instincts which, had he been alone, he would perforce have kept under restraint.	１つめの要因は、もし１人でいたならばきっと抑制したであろうが、ただ群集の一部を構成しているというだけで、まるで無敵の力が本能を解き放つかのような意識にとらわれることである。
He will be the less disposed to check himself from the consideration that, a crowd being anonymous, and in consequence irresponsible, the sentiment of responsibility which always controls individuals disappears entirely.	群集が匿名となり、そのために責任の所在がわからなくなれば、群集を構成する個人は自らの行動に対する責任をとり、行動を制御する感覚が全く無くなってしまうのだ。
The second cause, which is contagion,	２つめの要因は伝染である。
also intervenes to etermine the manifestation in crowds of their special characteristics, and at the same time the trend they are to take.	群集を特徴付けるものであり、かつ同時に群集がとる傾向である。
Contagion is a phenomenon of which it is easy to establish the presence, but that it is not easy to explain.	この伝染という現象はよく見うけられるが、［それがなぜ起こるかについての］説明は容易ではない。
It must be classed among those phenomena of a hypnotic order, which we shall shortly study.	この現象は催眠術のようなものとは区別されねばならず、近いうちに解明されるべき課題である。
In a crowd every sentiment and act is contagious, and contagious to such a degree that an individual readily sacrifices his personal interest to the collective interest.	群集の中では感情も行動も伝染し、［群集の］集団的な利益のためには個人の利益が簡単に犠牲にされることもあるくらいだ。
This is an aptitude very contrary to his nature, and of which a man is scarcely capable, except when he makes part of a crowd.	これは個人の本性とは真っ向から対立し、群集の一部でいる時以外にはまず現れない性質である。
