A CHRISTMAS CAROL	クリスマス・カロル
went straight to bed, without undressing, and fell asleep upon the instant.	着物も脱がないで、そのまま寝床へ這入って、すぐにぐっすりと寝込んだ仕舞った。
Stave 2:  The First of the Three Spirits	第二章　第一の精霊
When Scrooge awoke, it was so dark, that looking out of bed, he could scarcely distinguish the transparent window from the opaque walls of his chamber.	スクルージが眼を覚ましたときには、寝床から外を覗いて見ても、その室の不透明な壁と透明な窓との見分けがほとんど附かない位暗かった。
He was endeavouring to pierce the darkness with his ferret eyes,	彼は鼬のようにきょろきょろした眼で闇を貫いて見定めようと骨を折っていた。
when the chimes of a neighbouring church struck the four quarters.	その時近所の教会の鐘が十五分鐘を四たび打った。
So he listened for the hour.	で、彼は時の鐘を聞こうと耳を澄ました。
To his great astonishment the heavy bell went on from six to seven, and from seven to eight,	彼が非常に驚いたことには、重い鐘は六つから七つと続けて打った、七つから八つと続けて打った。
and regularly up to twelve;	そして、正確に十二まで続けて打って、
then stopped.	そこでぴたりと止んだ。
Twelve.	十二時！
It was past two when he went to bed.	彼が床についた時には二時を過ぎていた。
The clock was wrong.	時計が狂っているのだ。
An icicle must have got into the works.	機械の中に氷柱が這入り込んだものに違いない。
Twelve.	十二時とは！
He touched the spring of his repeater, to correct this most preposterous clock.	彼はこの途轍もない時計を訂正しようと、自分の時打ち懐中時計の弾条（ばね）に手を触れた。
Its rapid little pulse beat twelve:	その急速な小さな鼓動は十二打った、
and stopped.	そして停まった。
`Why, it isn't possible,'	「何だって」
said Scrooge,	と、スクルージは云った、
`that I can have slept through a whole day and far into another night.	「全（まる）一日寝過ごして、次の晩の夜更けまで眠っていたなんて、そんな事はある筈がない。
It isn't possible that anything has happened to the sun, and this is twelve at noon.'	だが、何か太陽に異変でも起って、これが午（ひる）の十二時だと云う筈もあるまいて！」
The idea being an alarming one, he scrambled out of bed, and groped his way to the window.	そうだとすれば大変なことなので、彼は寝床から這い出して、探り探り窓の所まで行った。
He was obliged to rub the frost off with the sleeve of his dressing-gown before he could see anything;	ところが、何も見えないので、已むを得ず寝間着の袖で霜を拭い落した。
and could see very little then.	で、ほんの少し許り見ることが出来た。
All he could make out was, that it was still very foggy and extremely cold, and that there was no noise of people running to and fro, and making a great stir,	彼がやっと見分けることの出来たのは、ただまだ非常に霧が深く、耐らないほど寒くて、大騒ぎをしながらあちらこちらと走り廻っている人々の物音なぞは少しもなかったと云うことであった。
as there unquestionably would have been if night had beaten off bright day, and taken possession of the world.	若し夜が白昼を追い払って、この世界を占領したとすれば、そう云う物音は当然起っていた筈である。
This was a great relief,	これは非常な安心であった。
because	何故なら、勘定すべき日というものがなくなったら、
"Three days after sight of this First of Exchange pay to Mr. Ebenezer Scrooge on his order,"	「この第一振出為替手形一覧後三日以内に、エベネザー・スクルージ若しくはその指定人に支払うべし」
and so forth, would have become a mere United States security if there were no days to count by.	云々は、単に合衆国の担保に過ぎなくなったろうと思われるからである。
Scrooge went to bed again,	スクルージはまた寝床に這入った。
and thought, and thought, and thought it over and over, and could make nothing of it.	そして、それを考えた、考えた、繰り返し繰り返し考えたが、さっぱり訳が分らなかった。
The more he thought, the more perplexed he was;	考えれば考えるほど、いよいよこんぐらかってしまった。
and, the more he endeavoured not to think, the more he thought.	考えまいとすればするほど、ますます考えざるを得なかった。
Marley's Ghost bothered him exceedingly.	マアレイの幽霊は無性に彼を悩ました。
Every time he resolved within himself, after mature inquiry, that it was all a dream, his mind flew back again, like a strong spring released, to its first position,	彼はよくよく詮議した揚句、それは全然夢であったと胸の中で定めるたんびに、心は、強い弾機（ばね）が放たれたように、再び元の位置に飛び返って、
and presented the same problem to be worked all through,	「夢であったか、それとも夢ではなかったのか」
"Was it a dream or not?"	と、始めから遣り直さるべきものとして同じ問題を持ち出した。
Scrooge lay in this state until the chime had gone three-quarters more,	鐘が更に十五分鐘を三たび鳴らすまで、スクルージはこうして横たわっていた。
when he remembered, on a sudden, that the Ghost had warned him of a visitation when the bell tolled one.	その時突然、鐘が一時を打った時には、最初のお見舞いを受けねばならぬことを幽霊の戒告して行ったことを想い出した。
He resolved to lie awake until the hour was passed;	彼はその時間が過ぎてしまうまで、眼を覚ましたまま横になっていようと決心した。
and, considering that he could no more go to sleep than go to heaven, this was, perhaps, the wisest resolution in his power.	ところで、彼がもはや眠られないことは天国に行かれないと同様であることを想えば、これは恐らく彼の力の及ぶ限りでは一番賢い決心であったろう。
The quarter was so long, that he was more than once convinced he must have sunk into a doze unconsciously, and missed the clock.	その十五分は非常に長くて、彼は一度ならず、我知らずうとうととして、時計の音を聞き漏らしたに違いないと考えた位であった。
At length it broke upon his listening ear.	とうとうそれが彼の聞き耳を立てた耳へ不意に聞えて来た。
`Ding, dong!'	「ヂン、ドン！」
`A quarter past,'	「十五分過ぎ！」
said Scrooge, counting.	とスクルージは数えながら云った。
`Ding, dong!'	「ヂン、ドン！」
`Half past,' said Scrooge.	「三十分過ぎ！」
`Ding, dong!'	「ヂン、ドン！」
`A quarter to it,'	「もう後（あと）十五分」
said Scrooge.	と、スクルージは云った。
`Ding, dong!'	「ヂン、ドン！」
`The hour itself,'	「いよいよそれだ！」
said Scrooge triumphantly,	と、スクルージは占めたとばかりに云った、
`and nothing else!'	「しかも何事もない！」
He spoke before the hour bell sounded,	彼は時の鐘が鳴らないうちにかく云った。
which it now did with a deep, dull, hollow, melancholy ONE.	が、その鐘は今や深い、鈍い、空洞（うつろ）な、陰鬱な一時を打った。
Light flashed up in the room upon the instant, and the curtains of his bed were drawn.	たちまち室中に光が閃き渡って、寝床の帷幄（カーテン）が引き捲くられた。
The curtains of his bed were drawn aside, I tell you, by a hand.	彼の寝床の帷幄は、私は敢て断言するが、一つの手で側（わき）へ引き寄せられた。
Not the curtains at his feet, nor the curtains at his back, but those to which his face was addressed.	足下（あしもと）の帷幄でも、背後（うしろ）の帷幄でもない、顔が向いていた方の帷幄なのだ。
The curtains of his bed were drawn aside;	彼の寝床の帷幄は側へ引き寄せられた。
and Scrooge, starting up into a half-recumbent attitude, found himself face to face with the unearthly visitor who drew them:	そして、スクルージは、飛び起きて半坐りになりながら、帷幄を引いたその人間ならぬ訪客と面と面を突き合せた。
as close to it as I am now to you,	ちょうど私が今読者諸君に接近していると同じように密接して。
and I am standing in the spirit at your elbow.	そして、私は精神的には諸君のつい手近に立っているのである。
It was a strange figure	それは不思議な物の姿であった
--like a child:	――子供のような。
yet not so like a child as like an old man,	しかも子供に似てると云うよりは老人に似てると云った方が可いかも知れない。
viewed through some supernatural medium, which gave him the appearance of having receded from the view, and being diminished to a child's proportions.	一種の超自然的な媒介物を通じて見られるので、だんだん眼界から遠退いて行って、子供の躯幹にまで縮小された観を呈していると云ったような、そう云う老人に似ているのである。
Its hair, which hung about its neck and down its back, was white as if with age;	で、その幽霊の頸のまわりや背中を下に垂れ下がっていた髪の毛は、年齢（とし）の所為（せい）でもあるように白くなっていた。
and yet the face had not a wrinkle in it, and the tenderest bloom was on the skin.	しかもその顔には一筋の皺もなく、皮膚は瑞々（みずみず）した盛りの色沢（つや）を持っていた。
The arms were very long and muscular;	腕は非常に長くて筋肉が張り切っていた。
the hands the same, as if its hold were of uncommon strength.	手も同様で、並々ならぬ把握力を持っているように見えた。
Its legs and feet, most delicately formed, were, like those upper members, bare.	極めて繊細に造られたその脚も足も、上肢と同じく露出（むきだし）であった。
It wore a tunic of the purest white,	幽霊は純白の長衣を身に着けていた。
and round its waist was bound a lustrous belt, the sheen of which was beautiful.	そして、その腰の周りには光沢のある帯を締めていたが、その光沢は実に美しいものであった。
It held a branch of fresh green holly in its hand;	幽霊は手に生々（いきいき）した緑色の柊の一枝を持っていた。
and, in singular contradiction of that wintry emblem, had its dress trimmed with summer flowers.	その冬らしい表徴とは妙に矛盾した、夏の花でその着物を飾っていた。
But the strangest thing about it was, that from the crown of its head there sprung a bright clear jet of light,	が、その幽霊の身のまわりで一番不思議なものと云えば、その頭の頂辺（てっぺん）からして明煌々たる光りが噴出していることであった。
by which all this was visible;	その光りのために前に挙げたようなものが総て見えたのである。
and which was doubtless the occasion of its using, in its duller moments, a great extinguisher for a cap, which it now held under its arm.	そして、その光りこそ疑いもなくその幽霊が、もっと不愉快な時々には、今はその腋の下に挟んで持っている大きな消灯器（ひけし）を帽子の代りに使用している理由であった。
Even this, though, when Scrooge looked at it with increasing steadiness, was not its strangest quality.	とは云え、スクルージがだんだん落ち着いてその幽霊を見遣った時には、これですらそれの有する最も不思議な性質とは云えなかった。
For as its belt sparkled and glittered now in one part and now in another, and what was light one instant, at another time was dark, so the figure itself fluctuated in its distinctness:	と云うのは、その帯の今ここがぴかりと光ったかと想うと、次には他の所がぴかりと輝いたり、また今明るかったと思う所が次の瞬間にはもう暗くなったりするに伴れて、同じように幽霊の姿それ自体も、
being now a thing with one arm, now with one leg, now with twenty legs, now a pair of legs without a head, now a head without a body:	今一本腕の化物になったかと思うと、今度は一本脚になり、また二十本脚になり、また頭のない二本脚になり、また胴体のない頭だけになると云うように、その瞭然（はっきり）した部分が始終揺れ動いていた。
of which dissolving parts, no outline would be visible in the dense gloom wherein they melted away.	で、それ等の消えていく部分は濃い暗闇の中に溶け込んでしまって、その中に在っては輪廓一つ見えなかったものだ。
And in the very wonder of this, it would be itself again;	そして、それを不思議だと思っているうちに、幽霊は再び元の姿になるのであった、
distinct and clear as ever.	元のように瞭然（はっきり）として鮮明な元の姿に。
`Are you the Spirit, sir, whose coming was foretold to me?'	「貴方があのお出での前触れのあった精霊でいらっしゃいますか」
asked Scrooge.	と、スクルージは訊ねた。
`I am.'	「左様！」
The voice was soft and gentle.	その声は静かで優しかった。
Singularly low, as if instead of being so close beside him, it were at a distance.	彼の側にこれほど近く寄っているのではなく、ずっと触れてでもいるように、へんてこに低かった。
`Who, and what are you?'	「何誰（どなた）で、またどういう方でいらっしゃいますか」
Scrooge demanded.	と、スクルージは問い詰めた。
`I am the Ghost of Christmas Past.'	「私は過去の聖降誕祭の幽霊だよ。」
`Long Past?'	「ずっと古い過去のですか」
inquired Scrooge: observant of its dwarfish stature.	と、スクルージはその侏儒のような身丈（せい）恰好（かっこう）に眼を留めながら訊いた。
`No.	「いや、
Your past.'	お前さんの過去だよ。」
Perhaps, Scrooge could not have told anybody why, if anybody could have asked him;	たとい誰かが訊ねたとしても、恐らくスクルージはその理由を語ることが出来なかったろう。
but he had a special desire to see the Spirit in his cap;	が、彼はどう云うものか、その精霊に帽子を被せて見たいものだと云う特別な望みを抱いた。
and begged him to be covered.	で、それを被るように相手に頼んだ。
`What!'	「何！」
exclaimed the Ghost,	と幽霊は叫んだ、
`would you so soon put out, with worldly hands, the light I give?	「お前さんはもう俗世界の手で、私の与える光明を消そうと思うのか。
Is it not enough that you are one of those whose passions made this cap, and force me through whole trains of years to wear it low upon my brow?'	俗衆の我欲がこの帽子を拵えて、長の年月の間にずっと私を強いて無理に額眉深にそれを被らせて来たものだ。
Scrooge reverently disclaimed all intention to offend or any knowledge of having wilfully bonneted the Spirit at any period of his life.	スクルージは、決して腹を立てさせるつもりではなかった、また自分の一生の中いつの時代にも故意に精霊を侮辱した覚えなぞはないと、うやうやしげに弁解した。
He then made bold to inquire what business brought him there.	それから彼は思い切って、何用あってここへはやって来たのかと訊ねた。
`Your welfare,'	「お前さんの安寧のためにだよ」
said the Ghost.	と、幽霊は云った。
Scrooge expressed himself much obliged,	スクルージはそれは大変に有難う御座いますと礼を述べた。
but could not help thinking that a night of unbroken rest would have been more conducive to that end.	しかし一晩邪魔されずに休息した方が、それにはもっと利き目があったろうと考えずにはいられなかった。
The Spirit must have heard him thinking,	精霊は彼がそう考えているのを見て取ったに違いない。
for it said immediately:	と云うのは、すぐにこう云ったからである。
`Your reclamation, then.	「じゃ、お前さんの済度のためだよ。
Take heed.'	さあいいか！」
It put out its strong hand as it spoke, and clasped him gently by the arm.	こう云いながら、幽霊はその頑丈な手を差し伸べて、彼の腕をそっと掴まえた。
`Rise,	「さあ立て！
and walk with me.'	一緒に歩くんだよ。」
It would have been in vain for Scrooge to plead that the weather and the hour were not adapted to pedestrian purposes;	天気と時刻とが徒歩の目的に適していないと云ったところで、
that bed was warm, and the thermometer a long way below freezing;	寝床が温かで、寒暖計はずっと氷点以下に降っていると抗弁したところで、
that he was clad but lightly in his slippers, dressing-gown, and nightcap;	自分は僅かに上靴と寝間着と夜帽しか着けていないのだと抗言（あらが）って見たところで、
and that he had a cold upon him at that time.	また当時自分は風邪を引いていると争ったところで、そんな事はスクルージに取っては何の役にも立たなかったろう。
The grasp, though gentle as a woman's hand, was not to be resisted.	婦人の手のように優しくはあったが、その把握には抵抗すべからざるものがあった。
He rose:	彼は立ち上がった。
but finding that the Spirit made towards the window, clasped his robe in supplication.	が、精霊が窓の方へ歩み寄るのを見て、彼はその上衣に縋り着いて哀願した。
`I am mortal,'	「私は生身の人間で御座います」
Scrooge remonstrated,	と、スクルージは異議を申立てた、
`and liable to fall.'	「ですから落ちてしまいますよ。」
`Bear but a touch of my hand there,'	「そこへ一寸私の手を当てさせろ」
said the Spirit, laying it upon his heart,	と幽霊はスクルージの胸に手を載せながら云った。
`and you shall be upheld in more than this.'	「そうすれば、お前さんはこんな事位でない、もっと危険な場合にも支えて貰われるんだよ。」
As the words were spoken, they passed through the wall, and stood upon an open country road, with fields on either hand.	こう云っているうちに、彼等は壁［＃「壁」は底本では「塵」］を突き抜けて、左右に畠の広々とした田舎道に立った。
The city had entirely vanished.	倫敦（ロンドン）の町はすっかり消えてなくなった。
Not a vestige of it was to be seen.	その痕跡すら見られなかった。
The darkness and the mist had vanished with it,	暗闇も霧もそれと共に消えてしまった。
for it was a clear, cold, winter day, with snow upon the ground.	それは地上に雪の積っている、晴れた、冷い、冬の日であった。
`Good Heaven!'	「これは驚いた！」
said Scrooge, clasping his hands together, as he looked about him.	と、スクルージは自分の周囲を見廻して、両手を固く握り合せながら云った。
`I was bred in this place.	「私はここで生れたのだ。
I was a boy here.'	子供の時にはここで育ったのだ！」
The Spirit gazed upon him mildly.	精霊は穏かに彼を見詰めていた。
Its gentle touch, though it had been light and instantaneous, appeared still present to the old man's sense of feeling.	精霊が優しく触ったのは、軽くてほんの瞬間的のものではあったが、この老人の触覚には尚まざまざと残っているように思われた。
He was conscious of a thousand odours floating in the air,	彼は空中に漂っている様々な香気に気が附いた。
each one connected with a thousand thoughts, and hopes, and joys, and cares long, long, forgotten.	そして、その香りの一つ一つが、長い長い間忘れられていた、様々な考えや、希望や、喜びや、心配と結び着いていた。
`Your lip is trembling,'	「お前さんの唇は慄えているね」
said the Ghost.	と、幽霊は云った。
`and what is that upon your cheek?'	「それにお前さんの頬の上のそれは何だね。」
Scrooge muttered, with an unusual catching in his voice, that it was a pimple;	スクルージは平生に似合わず声を吃らせながら、これは面瘡（にきび）だと呟いた。
and begged the Ghost to lead him where he would.	そして、どこへなりと連れて行って下さいと幽霊に頼んだ。
`You recollect the way?'	「お前さんこの道を覚えているかね？」
inquired the Spirit.	と、精霊は訊ねた。
`Remember it!'	「覚えていますとも！」
cried Scrooge with fervour;	と、スクルージは勢い込んで叫んだ、
`I could walk it blindfold.'	「目隠をしても歩けますよ。」
`Strange to have forgotten it for so many years,'	「あんなに長い年月それを忘れていたと云うのは、どうも不思議だね！」
observed the Ghost.	と、幽霊は云った。
`Let us go on.'	「さあ行こうよ。」
They walked along the road,	二人はその往還に沿って歩いて行った。
Scrooge recognising every gate, and post, and tree;	スクルージには、目に当るほどの門も、柱も、木も一々見覚えがあった。
until a little market-town appeared in the distance, with its bridge, its church, and winding river.	こうして歩いて行くうちに、遥か彼方に橋だの、教会だの、曲り紆（くね）った河だののある小さな田舎町が見え出した。
Some shaggy ponies now were seen trotting towards them with boys upon their backs,	折柄二三頭の毛むくじゃらの小馬が、その背に男の子達を乗せて、二人の方へ駆けて来るのが見えた。
who called to other boys in country gigs and carts, driven by farmers.	その子供達は、百姓の手に馭された田舎馬車や荷馬車に乗っかっている他の子供達に声を掛けていた。
All these boys were in great spirits, and shouted to each other,	これ等の子供達は皆上機嫌で、互にきゃっきゃっと声を立てて喚び合った。
until the broad fields were so full of merry music, that the crisp air laughed to hear it.	で、仕舞には清々（すがすが）しい冬の空気までそれを聞いて笑い出したほど、広い田野が一面に嬉しげな音楽で満たされた位であった。
`These are but shadows of the things that have been,'	「これはただ昔あったものの影に過ぎないのだ」
said the Ghost.	と、幽霊は云った。
`They have no consciousness of us.'	「だから彼等には私達のことは分らないよ。」
The jocund travellers came on;	陽気な旅人どもは近づいて来た。
and as they came, Scrooge knew and named them every one.	で、彼等が近づいて来た時、スクルージは一々彼等を見覚えていて、その名前を挙げた。
Why was he rejoiced beyond all bounds to see them?	どうして彼は彼等に会ったのをあんなに法外に悦んだのか。
Why did his cold eye glisten, and his heart leap up as they went past?	彼等が通り過ぎてしまった時、何だって彼の冷やかな眼に涙が燦めいたのか、彼の心臓は躍り上ったのか。
Why was he filled with gladness when he heard them give each other Merry Christmas, as they parted at cross-roads and bye-ways, for their several homes?	各自の家路に向って帰るとて、十字路や間道で別れるに際して、彼等がお互いに聖降誕祭お目出とうと言い交わすのを聞いた時、何だって彼の胸に嬉しさが込み上げて来たか。
What was merry Christmas to Scrooge?	一体スクルージに取って聖降誕祭が何だ？
Out upon merry Christmas!	聖降誕祭お目出とうがちゃんちゃら可笑しいやい！
What good had it ever done to him?	今まで聖降誕祭が何か役に立ったことがあるかい。
`The school is not quite deserted,'	「学校はまだすっかり退（ひ）けてはいないよ」
said the Ghost.	と、幽霊は云った。
`A solitary child, neglected by his friends, is left there still.'	「友達に置いてけぼりにされた、独りぼっちの子がまだそこに残っているよ。」
Scrooge said he knew it.	スクルージはその子を知っていると云った。
And he sobbed.	そして、彼は啜り泣きを始めた。
They left the high-road, by a well-remembered lane,	彼等はよく覚えている小路を取って、大通りを離れた。
and soon approached a mansion of dull red brick, with a little weathercock-surmounted cupola, on the roof, and a bell hanging in it.	すると、間もなく屋根の上に風信機を頂いた小さな円頂閣のある、そして、その円頂閣に鐘の下がっている、どす赤い煉瓦の館へ近づいて行った。
It was a large house, but one of broken fortunes;	それは大きな家であったが、また零落した家でもあった。
for the spacious offices were little used, their walls were damp and mossy, their windows broken, and their gates decayed.	広々とした台所もほとんど使われないで、その塵は湿って苔蒸していた、窓も毀れていた、門も立ち腐れになっていた。
Fowls clucked and strutted in the stables;	鶏はくっくっと鳴いて、厩舎の中を威張りくさって歩いていた。
and the coach-houses and sheds were over-run with grass.	馬車入れ小舎にも物置小舎にも草が一面にはびこっていた。
Nor was it more retentive of its ancient state, within;	室内も同じように昔の堂々たる面影を留めてはいなかった。
for entering the dreary hall, and glancing through the open doors of many rooms, they found them poorly furnished, cold, and vast.	陰気な見附けの廊下に這入って、幾つも開け放しになった室の戸口から覗いて見ると、どの室にも碌な家具は置いてなく、冷え切って、洞然としていた。
There was an earthy savour in the air, a chilly bareness in the place, which associated itself somehow with too much getting up by candle-light, and not too much to eat.	空気は土臭い匂いがして、場所は寒々として何もなかった、それがあまりに朝はやく起きて見たが、喰う物も何もないのと、どこか似通うところがあった。
They went, the Ghost and Scrooge, across the hall, to a door at the back of the house.	彼等は、幽霊とスクルージとは、見附けの廊下を横切って、その家の背後にある戸口の所まで行った。
It opened before them, and disclosed a long, bare, melancholy room,	その戸口は二人の押すがままに開いて、彼等の前に長い、何にもない、陰気な室を展げて見せた。
made barer still by lines of plain deal forms and desks.	木地のままの樅板の腰掛と机とが幾筋にも並んでいるのが、一層それをがらんがらんにして見せた。
At one of these a lonely boy was reading near a feeble fire;	その一つに腰掛けて、一人の寂しそうな少年が微温火（とろび）の前で本を読んでいた。
and Scrooge sat down upon a form, and wept to see his poor forgotten self as he used to be.	で、スクルージは一つの腰掛に腰を下ろして、長く忘れていたありし昔の憐れな我が身を見て泣いた。
Not a latent echo in the house, not a squeak and scuffle from the mice behind the panelling, not a drip from the half-thawed water-spout in the dull yard behind, not a sigh among the leafless boughs of one despondent poplar, not the idle swinging of an empty store-house door, no, not a clicking in the fire, but fell upon the heart of Scrooge with a softening influence, and gave a freer passage to his tears.	家の中に潜んでいる反響も、天井裏の二十日鼠がちゅうちゅう鳴いて取組み合いをするのも、背後の小暗い庭にある半分氷の溶けた樋口の滴りも、元気のない白楊［＃「白楊」は底本では「柏楊」］の葉の落ち尽した枝の中に聞える溜息も、がら空きの倉庫の扉の時々忘れたようにばたばたするのも、いや、煖炉の中で火の撥ねる音も、一としてスクルージの胸に落ちて涙ぐませるような影響を与えないものはなかった、また彼の涙を一層惜し気もなく流させないものはなかった。
The Spirit touched him on the arm, and pointed to his younger self, intent upon his reading.	精霊は彼の腕に手を掛けて、読書に夢中になっている若い頃の彼の姿を指さして見せた。
Suddenly a man, in foreign garments:	不意に外国の衣裳を身に着けた、
wonderfully real and distinct to look at:	見る眼には吃驚するほどありありとかつはっきりとした一人の男が、
stood outside the window, with an axe stuck in his belt, and leading by the bridle an ass laden with wood.	帯に斧を挟んで、薪を積んだ一疋の驢馬の手綱を取りながら、その窓の外側に立った。
`Why, it's Ali Baba.'	「何だって、アリ・ババじゃないか！」
Scrooge exclaimed in ecstasy.	と、スクルージは我を忘れて叫んだ。
`It's dear old honest Ali Baba.	「正直なアリ・ババの老爺さんだよ。
Yes, yes, I know.	そうだ、そうだ、私は知ってる！
One Christmas time, when yonder solitary child was left here all alone, he did come, for the first time, just like that.	ある聖降誕祭の時節に、あそこにいるあの独りぼっちの子がたった一人ここに置いてけぼりにされていた時、始めてあの老爺さんがちょうどああ云う風をしてやって来たのだ。
Poor boy.	可哀そうな子だな！
And Valentine,'	それからあのヴァレンタインも」
said Scrooge,	と、スクルージは云った、
`and his wild brother, Orson;	「それからあの乱暴な弟のオルソンも。
there they go.	あれあれあすこへ皆で行くわ！
And what's his name, who was put down in his drawers, asleep, at the Gate of Damascus;	眠っているうちに股引を穿いたまま、ダマスカスの門前に捨てて置かれたのは、何とか云う名前の男だったな！
don't you see him.	貴方にはあれが見えませんか。
And the Sultan's Groom turned upside down by the Genii;	それから魔鬼のために逆様に立たせて置かれた帝王（サルタン）の馬丁は。
there he is upon his head.	ああ、あすこに頭を下にして立っている！
Serve him right!	好い気味だな。
I'm glad of it.	僕はそれが嬉しい！
What business had he to be married to the Princess?'	彼奴がまた何の権利があって姫君の婿になろうなぞとしたのだ！」
To hear Scrooge expending all the earnestness of his nature on such subjects, in a most extraordinary voice between laughing and crying;	スクルージが笑うような泣くような突拍子もない声で、こんな事に自分の真面目な所をすっかり曝け出しているのを聞いたり、
and to see his heightened and excited face would have been a surprise to his business friends in the city, indeed.	彼のいかにも嬉しそうな興奮した顔を見たりしようものなら、本当に倫敦市の商売仲間は吃驚したことであろう。
`There's the Parrot!'	「あすこに鸚鵡がいる！」
cried Scrooge.	と、スクルージは叫んだ。
`Green body and yellow tail, with a thing like a lettuce growing out of the top of his head;	「草色の体躯に黄色い尻尾、頭の頂辺（てっぺん）から萵苣（ちしゃ）［＃「萵苣」は底本では「萵苔」］のようなものを生（は）やして。
there he is.	あすこに鸚鵡がいるよ。
Poor Robin Crusoe, he called him, when he came home again after sailing round the island.	可哀そうなロビン・クルーソーと、彼が小船で島を一周りして帰って来た時、その鸚鵡は喚びかけた。
"Poor Robin Crusoe, where have you been, Robin Crusoe."	『可哀そうなロビン・クルーソー、どこへ行って来たの、ロビン・クルーソー？』
The man thought he was dreaming, but he wasn't.	クルーソーは夢を見ていたのだと思ったが、そうじゃなかった。
It was the Parrot, you know.	鸚鵡だった、御存じの通りに。
There goes Friday,	あすこに金曜日（フライデー）が行く。
running for his life to the little creek.	小さな入江を目がけて命からがら駆［＃「駆」は底本では「騙」］け出して行く、
Halloa!	しっかり！
Hoop!	おーい！
Hallo!'	しっかり！」
Then, with a rapidity of transition very foreign to his usual character, he said, in pity for his former self,	それから彼は、平生の性質とは丸で似も附かない急激な気の変りようで以て、昔の自分を憐れみながら、
`Poor boy!'	「可哀そうな子だな！」
and cried again.	そして、再び泣いた。
`I wish,'	「ああ、ああして遣りたかったな」
Scrooge muttered, putting his hand in his pocket, and looking about him, after drying his eyes with his cuff:	と、スクルージは袖口で眼を拭いてから、衣嚢に手を突込んで四辺を見廻わしながら呟いた。
`but	「だが。
it's too late now.'	もう間に合わないよ。」
`What is the matter?' asked the Spirit.	「一体どうしたと云うんだね？」
`Nothing,'	「何でもないんです」
said Scrooge.	と、スクルージは云った。
`Nothing.	「何でもないんです。
There was a boy singing a Christmas Carol at my door last night.	昨宵私の家の入口で聖降誕祭の頌歌を歌っていた子供がありましたがね。
I should like to have given him something:	何か遣れば可かったとこう思ったんですよ、
that's all.'	それだけの事です。」
The Ghost smiled thoughtfully,	幽霊は意味ありげに微笑した。
and waved its hand:	そして、
saying as it did so,	「さあ、もっと他の聖降誕祭を見ようじゃないか」
`Let us see another Christmas.'	と云いながら、その手を振った。
Scrooge's former self grew larger at the words,	こう云う言葉と共に、昔のスクルージ自身の姿はずっと大きくなった。
and the room became a little darker and more dirty.	そして、部屋は幾分暗く、かつ一層汚くなった。
The panels shrunk, the windows cracked;	羽目板は縮み上がって、窓には亀裂が入った。
fragments of plaster fell out of the ceiling, and the naked laths were shown instead;	天井からは漆喰の破片（かけら）が落ちて来て、その代りに下地の木片が見えるようになった。
but how all this was brought about, Scrooge knew no more than you do.	しかしどうしてこう云う事になったかと云うことは、読者に分らないと同様に、スクルージにも分っていなかった、
He only knew that it was quite correct;	ただそれがまったくその通りであったと云うことは、
that everything had happened so;	何事もかつてその通りに起ったのだと云うことは、
that there he was, alone again, when all the other boys had gone home for the jolly holidays.	他の子供達が皆楽しい聖降誕祭の休日をするとて家へ帰って行ったのに、ここでもまた彼ひとり残っていたと云うことだけは、彼にも分っていた。
He was not reading now, but walking up and down despairingly.	彼は今や読書していなかった、落胆（がっかり）したように往ったり来たりしていた。
Scrooge looked at the Ghost,	スクルージは幽霊の方を見遣った。
and with a mournful shaking of his head, glanced anxiously towards the door.	そして、悲しげに頭を振りながら、心配そうに戸口の方をじろりと見遣った。
It opened;	その戸が開いた。
and a little girl, much younger than the boy, came darting in,	そして、その少年よりもずっと年下の小娘が箭を射るように飛び込んで来た。
and putting her arms about his neck, and often kissing him,	そして、彼の首のまわりに両腕を捲き附けて、幾度も幾度も相手に接吻しながら、
addressed him as her	「兄さん、兄さん」
`Dear, dear brother!'	と喚び掛けた。
`I have come to bring you home, dear brother!'	「ねえ兄さん、私兄さんのお迎いに来たのよ」
said the child, clapping her tiny hands, and bending down to laugh.	と、その小っぽけな手を叩いたり、身体を二つに折って笑ったりしながら、その子は云った。
`To bring you home, home, home!'	「一緒に自宅（うち）へ行くのよ、自宅へ！
home!'	自宅へ！」
`Home,	「自宅へだって？
little Fan?'	ファンよ」
returned the boy.	と、少年は問い返した。
`Yes,'	「そうよ！」
said the child, brimful of glee.	と、その子ははしゃぎ切って云った。
`Home, for good and all! Home, for ever and ever.	「帰りっ切りに自宅へ、永久に自宅へよ。
Father is so much kinder than he used to be, that home's like Heaven.	阿父さんもこれまでよりはずっと善くして下さるので、本当にもう自宅は天国のようよ！
He spoke so gently to me one dear night when I was going to bed, that I was not afraid to ask him once more if you might come home;	この間の晩寝ようと思ったら、それはそれは優しく物を言って下すったから、私も気が強くなって、もう一度、兄さんが自宅へ帰って来てもいいかって訊いて見たのよ。
and he said Yes, you should;	すると、阿父さんは、ああ、帰って来るんだともだって。
and sent me in a coach to bring you.	そして、兄さんのお迎いに来るように私を馬車へ乗せて下さったのよ。
And you're to be a man!'	で、兄さんもいよいよ大人になるのね！」
said the child, opening her eyes,	と、子供は眼を大きく見開きながら云った、
`and are never to come back here;	「そして、もう二度とはここへ帰って来ないのよ。
but first, we're to be together all the Christmas long,	でも、その前に私達は聖降誕祭中一緒に居るのね。
