THE MERMAID DEN LILLE HAVFRUE	人魚のひいさま
but his eyes remained closed.	でも、目はとじたままでした。
The mermaid kissed his fair and lofty brow, and stroked back the dripping hair;	人魚のひいさまは、王子のたかい、りっぱなひたいにほおをつけて、ぬれた髪の毛をかき上げました。
it seemed to her that he was like the marble statue in her little garden;	こうして見ると、海のそこの、あのかわいい花壇にすえた大理石の像に似ていました。
she kissed him again and longed that he might live.	ひいさまは、もういっぺんほおづけして、どうかいのちのありますようにとねがっていました。
At last she saw dry land before her, high blue mountains on whose summits the white snow glistened as if a flock of swans had settled there;	たかい、青い山山のいただきに、ふんわり雪がつもって、きらきら光っているのが、ちょうどはくちょうが寝ているようでした。
down by the shore were beautiful green woods, and in the foreground a church or temple, she did not quite know which, but it was a building of some sort.	そのふもとの浜ぞいには、みどりみどりした、うつくしい森がしげっていて、森をうしろに、お寺か、修道院（しゅうどういん）かよくわからないながら、建物がひとつ立っていました。
Lemon and orange trees grew in the garden, and lofty palms stood by the gate.	レモンとオレンジの木が、そこの園にしげっていて、門の前には、せいのたかいしゅろの木が立っていました。
At this point the sea formed a little bay where the water was quite calm, but very deep, right up to the cliffs; at their foot was a strip of fine white sand	海の水はそこで、ちいさな入江をつくっていて、それは鏡のようにたいらなまま、ずっとふかく、すのところまで入りこんでいて、そこにまっしろに、こまかい砂が、もり上がっていました。
to which she swam with the beautiful prince, and laid him down on it,	ひいさまは、王子をだいてそこまでおよいでいって、ことに、あたまの所をたかくして、砂の上にねかせました。
taking great care that his head should rest high up in the warm sunshine.	これはあたたかいお日さまの光のよくあたるようにという、やさしい心づかいからでした。
The bells now began to ring in the great white building,	そのとき、そこの大きな白い建てもののなかから、鐘がなりだしました。
and a number of young maidens came into the garden.	そうして、その園をとおって、わかい少女たちがおおぜい、そこへでて来ました。
Then the little mermaid swam further off behind some high rocks and covered her hair and breast with foam,	そこで、人魚のひいさまは、ずっとうしろの水の上に、いくつか岩の突き出ている所までおよいでいって、その陰にかくれました。
so that no one should see her little face,	たれにも顔のみえないように、髪の毛にも胸にも、海のあわをかぶりました。
and then she watched to see who would discover the poor prince.	こうしてきのどくな王子のそばへ、たれがまずやってくるか、気をつけてみていました。
It was not long before one of the maidens came up to him.	もうまもなく、ひとりのわかいむすめが、そこへ来ました。
At first she seemed quite frightened, but only for a moment, and then she fetched several others,	むすめはたいへんおどろいたようでしたが、ほんのちょっとのあいだで、すぐとほかの人たちをつれて来ました。
and the mermaid saw that the prince was coming to life, and that he smiled at all those around him,	人魚のひいさまがみていますと、王子はとうとういのちをとりとめたらしく、まわりをとりまいているひとたちに、にんまりほほえみかけました。
but he never smiled at her.	けれど、ひいさまのほうへは笑顔（えがお）をみせませんでした。
You see he did not know that she had saved him.	ひいさまにたすけてもらったことも、王子はまるで知りませんでした。
She felt so sad	ひいさまは、ずいぶんかなしくおもいました。
that when he was led away into the great building she dived sorrowfully into the water and made her way home to her father's palace.	そのうち、王子は、大きな建てもののなかへはこばれていってしまうと、ひいさまも、せつないおもいをしながら水にしずんで、そのまま、おとうさまの御殿へかえっていきました。
Always silent and thoughtful, she became more so now than ever.	いったいに、いつもものしずかな、ふかくおもい込むたちのひいさまでしたけれど、これからは、それがよけいひどくなりました。
Her sisters often asked her what she had seen on her first visit to the surface, but she never would tell them anything.	おねえさまたちは、この妹が、海の上ではじめてみて来たものがなんであったか、たずねましたが、ちょっぴりともその話はしませんでした。
Many an evening and many a morning she would rise to the place where she had left the prince.	晩に、朝に、いくたびとなく、このひいさまは、王子をおいて来た浜ちかく上がっていってみました。
She saw the fruit in the garden ripen, and then gathered,	園のくだものが実のって、やがてもがれるのもみました。
she saw the snow melt on the mountain-tops,	山山のいただきに、雪の消えるのもみました。
but she never saw the prince,	けれども、ひいさまは、もう王子のすがたをみることはありませんでした。
so she always went home still sadder than before.	そうして、そのたんびに、いつもよけいせつないおもいでかえって来ました。
At home her only consolation was to sit in her little garden with her arms twined round the handsome marble statue which reminded her of the prince.	こうなると、ただひとつのたのしみは、れいのちいさな花壇のなかで、うつくしい王子に似た大理石の像に、両腕をかけることでした。
It was all in gloomy shade now, as she had ceased to tend her flowers, and the garden had become a neglected wilderness of long stalks and leaves entangled with the branches of the tree.	けれども花壇の花にはもうかまわなくなりました。
At last she could not bear it any longer,	とうとう、いつまでもこうしているのが、ひいさまにはたえられなくなりました。
so she told one of her sisters, and from her it soon spread to the others,	それで、ひとりのおねえさまにうちあけますと、やがて、ほかのおねえさまたちの耳にもはいりました。
but to no one else except to one or two other mermaids who only told their dearest friends.	でも、このひいさまたちと、そのほかに二、三人の、海おとめたちのほかたれ知るものはなく、そのおとめたちも、ただごく仲のいいお友だちのあいだでその話をしただけでした。
One of these knew all about the prince;	ところで、そのお友だちのうちに、ひとり、王子を知っているむすめがありました。
she had also seen the festivities on the ship;	それから、あの晩、船の上でお祝のあったこともみていました。
she knew where he came from and where his kingdom was situated.	そのむすめは、王子がどこから来たひとで、その王国がどこにあるかということまで知っていました。
'Come, little sister!'	「さあ、いってみましょうよ。」
said the other princesses,	と、おねえさまたちは、いちばん下のちいさい妹をさそいました。
and, throwing their arms round each other's shoulders, they rose from the water in a long line,	そうして、おたがい腕を肩にかけて、ながい列を組んで、海の上にうき上がりました。
just in front of the prince's palace.	そこは王子の御殿のあるときいた所でした。
It was built of light yellow glistening stone, with great marble staircases, one of which led into the garden.	その御殿は、クリーム色に光をもった石で建てたものでしたが、そこのいくつかある大理石の階段のうち、ひとつはすぐと海へおりるようになっていました。
Magnificent gilded cupolas rose above the roof, and the spaces between the columns	平屋根の上には、一だんたかく、金めっきしたりっぱな円屋根（まるやね）がそびえていました。
which encircled the building were filled with life-like marble statues.	建物のぐるりをかこむ円柱（まるばしら）のあいだに、いくつもいくつも大理石の像が、生きた人のようにならんでいました。
Through the clear glass of the lofty windows you could see gorgeous halls	たかい窓にはめ込んだあかるいガラスをすかすと、なかのりっぱな広間がみえました。
adorned with costly silken hangings,	その広間の壁には、高価な絹のとばりや壁かけがかかっていました。
and the pictures on the walls were a sight worth seeing.	壁という壁は、名作の画でかざられていて、みるひとの目をたのしませました。
In the midst of the central hall a large fountain played, throwing its jets of spray upwards to a glass dome in the roof, through which the sunbeams lighted up the water and the beautiful plants which grew in the great basin.	こういう広間のいくつかあるなかの、いちばんの大広間のまんなかに、大きな噴水がふきだしていて、そのしぶきは、ガラスの円天井（まるてんじょう）まで上がっていましたが、その天井からは、お日さまがさしこんで、噴水の水と大水盤（すいばん）のなかにういている、うつくしい水草の上にきらきらしていました。
She knew now where he lived, and often used to go there in the evenings and by night over the water.	こうして王子のすみかがわかると、それからは、もう夕方から夜にかけて、毎晩のように、そこの水の上に、妹のひいさまはでてみました。
She swam much nearer the land than any of the others dared;	もうほかの人魚たちのいきえない丘ちかくの所までも、およいでいきました。
she even ventured right up the narrow channel under the splendid marble terrace which threw a long shadow over the water.	ついには、せまい水道のなかにまでくぐって、そのながい影を水の上に投げている大理石の露台（ろだい）の下までもいってみました。
She used to sit here looking at the young prince, who thought he was quite alone in the clear moonlight.	そこにじいっといて、みあげると、わかい王子が、じぶんひとりいるつもりで、あかるいお月さまの光のなかに立っていました。
She saw him many an evening sailing about in his beautiful boat, with flags waving and music playing;	夕方、たびたび、王子はうつくしいヨットに帆をはって、音楽をのせて、風に旗を吹きなびかせながら、海の上を走らせるところを、ひいさまは見ました。
she used to peep through the green rushes,	ひいさまは、それを青青としげったあしの葉のあいだからすきみしました。
and if the wind happened to catch her long silvery veil	すると風が来て、ひいさまの銀いろしたながいヴェールをひらひらさせました。
and any one saw it, they only thought it was a swan flapping its wings.	たまにそれを見たものは、はくちょうがつばさをひろげたのだとおもいました。
Many a night she heard the fishermen, who were fishing by torchlight, talking over the good deeds of the young prince;	夜な夜な、船にかがりをたいて、りょうに出るりょうしたちからも、ひいさまはたびたび、わかい王子のいいうわさをききました。
and she was happy to think that she had saved his life when he was drifting about on the waves, half dead,	そうして、そんなにもほめものになっているひとが波の上に死にかけてただよっているところを、じぶんがすくったのだとおもってうれしくなりました。
and she could not forget how closely his head had pressed her breast, and how passionately she had kissed him;	それから、あのとき、あの方のおつむりは、なんておだやかにあたしの胸のうえにのっていたことかしら、それをあたしはどんなに心をこめて、ほおずりしてあげたことかしらとおもっていました。
but he knew nothing of all this,	そのくせ、王子のほうでは、むろんそういうことをまるで知りませんでした。
and never saw her even in his dreams.	つい、夢にすらみてはくれないのです。
She became fonder and fonder of mankind,	だんだんに、だんだんに、人間というものが、とうとくおもわれて来ました。
and longed more and more to be able to live among them;	だんだんに、だんだんに、どうぞして人間のなかまにはいっていきたいと、ねがうようになりました。
their world seemed so infinitely bigger than hers;	人間の世界は、人魚の世界にくらべて、はるかに大きくおもわれました。
with their ships they could scour the ocean, they could ascend the mountains high above the clouds,	人間は、船にのって海の上をとびかけることもできますし、雲よりもたかい山にのぼることもできました。
and their wooded, grass-grown lands extended further than her eye could reach.	人間のいる国ぐにには森も畑もあって、それは人魚の目のとどかないとおくまではてしなくひろがっていました。
There was so much that she wanted to know, but her sisters could not give an answer to all her questions,	そこで、このひいさまの知りたいことは山ほどあっても、おねえさまたちのちからでは、そののこらずにこたえることはできません。
so she asked her old grandmother,	ですから、おばあさまにうかがうことにしました。
who knew the upper world well,	このあばあさまはさすがに、上の世界のことをずっとよく知っておいでになりました。
and rightly called it the country above the sea.	上の世界というのは、このおばあさまが、まことにうまく、海の上の国ぐにに名づけたものでした。
'If men are not drowned,'	「ねえ、おばあさま、人間は、水におぼれさえしなければね、」
asked the little mermaid,	と、ひいさまはたずねました。
'do they live for ever?	「それはいつまででも生きられるのでしょう。
Do they not die as we do down here in the sea?'	あたしたち海のそこのもののようには死なないのでしょう。」
'Yes,'	「どうしてさ。」
said the old lady,	と、おばあさまは、おっしゃいました。
'they have to die too,	「人間だって、やはり死ぬのですよ。
and their lifetime is even shorter than ours.	わたしたちよりも、かえって寿命（じゅみょう）はみじかいくらいです。
We may live here for three hundred years,	わたしたちは三百年まで生きられます。
but when we cease to exist we become mere foam on the water and do not have so much as a grave among our dear ones.	ただ、いったん、それがおわると、それなり、水の上のあわになって、おたがいむつまじくして来たひとたちのなかに、お墓ひとつのこしては行けません。
We have no immortal souls;	わたしたちには、死なないたましいというものがないのだよ。
we have no future life;	またの世にうまれかわるということがないのだよ。
we are just like the green sea-weed, which, once cut down, can never revive again!	いわば、あのみどり色したあしのようなもので、いちど刈りとられると、もう二どと青くなることがない。
Men, on the other hand, have a soul which lives for ever, lives after the body has become dust;	そこへいくと、人間にはたましいというものがあって、それがいつまででも生きている、からだが土にかえってしまったあとでも、たましいは生きている。
it rises through the clear air, up to the shining stars!	それが、澄んだ大空の上にのぼって、あのきらきら光るお星さまの所へまでものぼって行くのです。
Just as we rise from the water to see the land of mortals, so they rise up to unknown beautiful regions which we shall never see.'	ちょうど、わたしたちが、海の上にうき上がって、人間の国をながめるように、人間のたましいは、わたしたちにとても見られない、知らない神さまのお国へうかび上がっていくのです。」
'Why have we no immortal souls?'	「なぜ、あたしたち、死なないたましいをさずからなかったの。」
asked the little mermaid sadly.	と、人魚のひいさまは、かなしそうにいいました。
'I would give all my three hundred years	「あたし、なん百年の寿命なんてみんなやってしまってもいいわ。
to be a human being for one day, and afterwards to have a share in the heavenly kingdom.'	そのかわり、たった一日でも人間になれて、死んだあとで、その天国とやらの世界へのぼるしあわせをわけてもらえるならね。」
'You must not be thinking about that,'	「まあ、そんなことをおもうものではないよ。」
said the grandmother;	と、おばあさまはおっしゃいました。
'we are much better off and happier than human beings.'	「わたしたちは、あの上の世界の人間なんかより、ずっとしあわせだし、ずっといいものなのだからね。」
'Then I shall have to die and to float as foam on the water, and never hear the music of the waves or see the beautiful flowers or the red sun!	「でも、あたし、やはり死んであわになって、海の上にういて、もう波の音楽もきかれないし、もうきれいな花もみられないし、赤いお日さまもみられなくなるのですもの。
Is there nothing I can do to gain an immortal soul?'	どうにかして、ながいいのちのたましいを、さずかるくふうってないものかしら。」
'No,'	「それはあるまいよ。」
said the grandmother;	と、おばあさまはいいました。
'only if	「だがね、こういうことはあるそうだよ。
a human being so loved you	ここにひとり人間があってね、あなたひとりが好きになる。
that you were more to him than father or mother,	そう、その人間にとっては、あなたというものが、おとうさまやおかあさまよりもいいものになるのだね。
if all his thoughts and all his love were so centred in you	そうして、それこそありったけのまごころとなさけで、あなたひとりのことをおもってくれる。
that he would let the priest join your hands and would vow to be faithful to you here, and to all eternity;	そこで、お坊さまが来て、その人間の右の手をあなたの右の手にのせて、この世も、ながいながいのちの世もかわらない、かたい約束を立てさせる。
then your body would become infused with his soul.	そうなると、その人間のたましいがあなたのからだのなかにながれこんで、
Thus, and only thus, could you gain a share in the felicity of mankind.	その人間のしあわせを分けてもらえることになる。
He would give you a soul while yet keeping his own.	しかも、その人間はあなたにたましいを分けても、じぶんのたましいはやはりなくさずにもっているというのさ。
But that can never happen!	だが、そんなことはけっしてありっこないよ。
That which is your greatest beauty in the sea, your fish's tail, is thought hideous up on earth,	だって、この海のそこの世界でなによりうつくしいものにしているおさかなのしっぽを、地の上ではみにくいものにしているというのだもの。
so little do they understand about it; to be pretty there you must have two clumsy supports which they call legs!'	それだけのよしあしすら、むこうはわからないものだから、むりに二本、ぶきような、つっかい棒みたいなものを、かわりにつかって、それに足という名をつけて、それでいいつもりでいるのだよ。」
Then the little mermaid sighed and looked sadly at her fish's tail.	そういわれて、人魚のひいさまも、いまさらため息しながら、じぶんのおさかなの尾にいじらしくながめ入りました。
'Let us be happy,'	「さあ、陽気になりましょう。」
said the grandmother;	と、おばあさまはいいました。
'we will hop and skip during our three hundred years of life;	「せっかくさずかることになっている三百年の寿命です。
it is surely a long enough time;	それだけでもずいぶんながい一生ですよ。
and after it is over we shall rest all the better in our graves.	それだけに、あとはきれいさっぱり、安心して休めるというものだ。
There is to be a court ball to-night.'	今夜は宮中舞踏会（ぶとうかい）をやりましょう。」
This was a much more splendid affair than we ever see on earth.	さて、この舞踏会が、なるほど、地の上の世界では見られないごうかなものでした。
The walls and the ceiling of the great ballroom were of thick but transparent glass.	大きな舞踏の間の壁と天井（てんじょう）とは、あつぼったい、そのくせ、よくすきとおったガラスで張りめぐらされていました。
Several hundreds of colossal mussel shells, rose red and grass green, were ranged in order round the sides holding blue lights,	ばら色や草みどり色した大きな貝がらが、なん百としれず、四方の壁にかけつらねてあって、そのひとつひとつに、青いほのおの火がともっていました。
which illuminated the whole room and shone through the walls, so that the sea outside was quite lit up.	それが広間をくまなくてらした上、壁のそとへながれだす光が、すっかり海をあかるくしました。
You could see countless fish, great and small, swimming towards the glass walls,	ですから、大も小もなく、それこそかぞえきれないほどのさかなが、ガラスの壁にむかっておよいでくるのが、手にとるようにみえました。
some with shining scales of crimson hue,	うろこをむらさき紅の色に光らせてくるのもありました。
while others were golden and silvery.	銀と金の色にかがやいてくるものもありました。
In the middle of the room was a broad stream of running water, and on this the mermaids and mermen danced to their own beautiful singing.	――ちょうど、広間のまん中のところを、ひとすじ、大きくゆるやかな海のながれがつらぬいている、その上で、男の人魚たちと女の人魚たちとが、人魚だけのもっているやさしい歌のふしでおどっていました。
No earthly beings have such lovely voices.	こんなうつくしい歌声が、地の上の人間にあるでしょうか。
The little mermaid sang more sweetly than any of them,	あのいちばん下の人魚のひいさまは、そのなかでも、たれおよぶもののないうつくしい声でうたいました。
and they all applauded her.	みんないちどに手をたたいて、その歌をほめそやしました。
For a moment she felt glad at heart,	そのせつな、さすがにこのひいさまも心がうかれました。
for she knew that she had the finest voice either in the sea or on land.	それは、地の上はもちろん、海のなかにもまたふたりとないうつくしい声を、じぶんがもっていることが分かったからでした。
But she soon began to think again about the upper world,	でも、すぐとまた、上の世界のことをかんがえるいつものくせに引きこまれました。
she could not forget the handsome prince and her sorrow in not possessing, like him, an immortal soul.	あのうつくしい王子のことをわすれることはできませんし、あのひととおなじに、死なないたましいをもっていないことが心をくるしめました。
Therefore she stole out of her father's palace,	そこで、こっそり、ひいさまは、おとうさまの御殿をぬけだしました。
and while all within was joy and merriment, she sat sadly in her little garden.	そうして、たれもそこで、歌って、陽気にうかれているまに、しぶんひとり、れいのちいさい花壇のなかに、しょんぼりすわっていました。
Suddenly she heard the sound of a horn through the water,	そのとき、ひとこえ角笛（つのぶえ）のひびきが、海の水をわたって来ました。
and she thought,	その音（ね）をききながら、ひいさまはおもいました。
'Now he is out sailing up there;	「まあ、いまごろ、あの方きっと、帆船（ほぶね）をはしらせていらっしゃるのね。
he whom I love more than father or mother, he to whom my thoughts cling and to whose hands I am ready to commit the happiness of my life.	ほんとうに、おとうさまよりもおかあさまよりももっと好きなあの方が、しじゅうあたしのこころからはなれないあの方が、そのお手にあたしの一生の幸福をささげようとねがっているあの方が、あそこにいらっしゃるのね。
I will dare anything to win him and to gain an immortal soul!	あたし、どうぞして［＃「どうぞして」は底本では「とうぞして」］、死なないたましいが手にはいるものなら、どんなことでもしてみるわ。
While my sisters are dancing in my father's palace I will go to the sea-witch,	そうだ、おねえさまたちが、御殿でおどっていらっしゃるうち、あたし、海の魔女（まじょ）の所へ行ってみよう。
of whom I have always been very much afraid; she will perhaps be able to advise and help me!'	いつもはずいぶんこわいのだけれど、でもきっと、あの女なら相談相手になって、いいちえをかしてくれるでしょう。」
Thereupon the little mermaid left the garden and went towards the roaring whirlpools	そこで、人魚のひいさまは、花園をでて、ぶつぶつあわ立つうず巻の流れのなかへむかっていきました。
at the back of which the witch lived.	このうず巻のむこうに、魔女のすまいがありました。
She had never been that way before;	こんな道をとおるのははじめてのことでした。
no flowers grew there, no seaweed,	そこには花も咲いていず、藻草（もぐさ）も生えていません。
only the bare grey sands, stretched towards the whirlpools, which like rushing mill-wheels swirled round,	ただむきだしな灰いろの砂地が、うずのながれの所までつづいていて、そのながれはうなりを立てて、水車の車輪のようにくるりくるりまわっていました。
dragging everything that came within reach down to the depths.	そうして、このうず巻のなかにはいってくるものは、なんでもつかまえて、こなごなにくだいて、ふかいふちに引きこみました。
She had to pass between these boiling eddies to reach the witch's domain, and for a long way the only path led over warm bubbling mud,	このはげしいうずのながれの、しかもまん中をとおって行くほかに海の魔女の領分（りょうぶん）にはいる道はありませんし、それも、ながいあいだ、ぶつぶつ煮えて、あわだっているどろ沼をわたって行くよりほかに道はないのです。
which the witch called her 'peat bog.'	この沼を、［＃「、」は底本では「。」］じぶんのすくも田という名で魔女はよんでいました。
Her house stood behind this in the midst of a weird forest.	これを行きつくした奥に、きみのわるい森が茂っていて、そのなかに魔女の住居はありました。
All the trees and bushes were polyps, half animal and half plant; they looked like hundred-headed snakes growing out of the sand,	その森のなかの木立（こだち）もやぶも、半分は動物、半分は植物というさんご虫なかまで、それはいわば、百あたまのあるへびが、地のなかから、にょろにょろわき出ているようなものでした。
the branches were long slimy arms,  with tentacles like wriggling worms,	その一本一本の枝が、ながい、ねばねばした腕で、くなくなと、さなだ虫のような指が出ていました。
every joint of which, from the root to the outermost tip, was in constant motion.	そうして下の根もとから枝のずっとさきまで、ふしぶしが自由にうごきました。
They wound themselves tightly round whatever they could lay hold of and never let it escape.	ですから、海のなかで手につかめるものは、なんでもつかんで、しっかりとそれにからみついて放そうとはしません。
The little mermaid standing outside was quite frightened,	人魚のひいさまは、すっかりおびえて、そのまえに立ちすくみました。
her heart beat fast with terror and she nearly turned back,	もうおそろしくて、心臓（しんぞう）がどきどき波をうって、なんべんもそこから引きかえそうとおもいました。
but then she remembered the prince and the immortal soul of mankind and took courage.	でもまた王子のことと、人間のたましいのことをおもうと、勇気がでました。
She bound her long flowing hair tightly round her head, so that the polyps should not seize her by it,	ひいさまは、そこでまず、うるさくまつわるながい髪の毛を、しっかりあたまにまきつけて、さんご虫につかまらないようにしました。
folded her hands over her breast, and darted like a fish through the water, in between the hideous polyps, which stretched out their sensitive arms and tentacles towards her.	それから、両手を胸の上で重ねて、おさかなが水のなかをつういとつっきるように、いやらしいさんご虫どもが、くなくなした指と腕とをのばそうとしているなかをつっきって行きました。
She could see that every one of them had something or other, which they had grasped with their hundred arms, and which they held as if in iron bands.	まあ、このいやな虫は、みると、そのひとつひとつが、そのつかんだものを、まるでつよい鉄の帯でしめつけるように、そのなん百とないちいさな腕で、ぎりぎりつかまえていました［＃「いました」は底本では「いましに」］。
The bleached bones of men who had perished at sea and sunk below peeped forth from the arms of some,	海でおぼれて、このふかい底までしずんだ人間が、白骨になって、さんご虫の腕のあいだにちらちらみえていました。
while others clutched rudders and sea-chests,	船のかいや箱のようなものまでも、さんご虫はしっかりつかまえていました。
or the skeleton of some land animal; and most horrible of all, a little mermaid whom they had caught and suffocated.	おかの動物のがい骨もありましたが、人魚のむすめがひとり、つかまってしめころされているのが、なかでもおそろしいことにおもわれました。
Then she came to a large opening in the wood where the ground was all slimy,	やがて、ひいさまは、森のなかの広場のぬるぬるすべる沼のような所へ来ました。
and where some huge fat water snakes were gambolling about.	そこには脂ぶとりにふとった水へびが、くねくねといやらしい白茶（しらちゃ）けた腹をみせていました［＃「いました」は底本では「いましだ」］。
In the middle of this opening was a house built of the bones of the wrecked;	この沼のまんなかに、難船した人たちの白骨でできた家がありました。
there sat the witch, letting a toad eat out of her mouth, just as mortals let a little canary eat sugar.	その家に、海の魔女はすわっていて、一ぴきのひきがえるに、口うつしでたべさせているところでしたが、そのようすは、人間がカナリヤのひなにお砂糖をつつかせるのに似ていました。
She called the hideous water snakes her little chickens, and allowed them to crawl about on her unsightly bosom.	あのいやらしく、肥ぶとりした水へびを、魔女はまた、うちのひよっ子と名をつけて、じぶんのぶよぶよ大きな胸の上で、かってにのたくらせていました。
'I know very well what you have come here for,'	「ご用むきはわかっているよ。」
said the witch.	と、海の魔女はいいました。
'It is very foolish of you!	「ばかなことかんがえているね。
all the same you shall have your way, because it will lead you into misfortune,	だが、まあ、したいようにするほかはあるまい、そのかわり、べっぴんのおひいさん、その男ではさぞつらいめをみることだろうよ。
my fine princess.	おまえさん。
You want to get rid of your fish's tail, and instead to have two stumps to walk about upon like human beings,	そのおさかなのしっぽなんかどけて、かわりに二本のつっかい棒をくっつけて、人間のようなかっこうであるきたいのだろう。
so that the young prince may fall in love with you, and that you may win him and an immortal soul.'	それでわかい王子をつって、ついでに死なないたましいまで、手に入れようってのだろう。」
Saying this, she gave such a loud hideous laugh	こういって、魔女はとんきょうな声をたてて、うすきみわるくわらいました。
that the toad and the snakes fell to the ground and wriggled about there.	そのひびきで、かえるもへびも、ころころところげおちて、のたくりまわっていました。
'You are just in the nick of time,'	「おまえさん、ちょうどいいときに来なすったよ。」
wsaid the witch;	と、魔女はいいました。
'after sunrise to-morrow I should not be able to help you until another year had run its course.	「あしたの朝、日が出てしまうと、もうそのあとでは、また一年まわってくるまで、どうにもしてあげられないところだったよ。
I will make you a potion, and before sunrise you must swim ashore with it, seat yourself on the beach and drink it;	では、くすりを調合（ちょうごう）してあげるから、それをもって、日の出る前、おかの所までおよいでいって、岸に上がって、それをのむのだよ。
then your tail will divide and shrivel up to what men call beautiful legs.	すると、おまえさんのそのしっぽが消えてなくなって、人間がかわいい足と、名をつけているものにちぢまる。
But it hurts;	だが、ずいぶん痛かろうよ。
it is as if a sharp sword were running through you.	それはちょうど、するどいつるぎを、からだにつッこまれるようだろうよ。
All who see you will say that you are the most beautiful child of man they have ever seen.	さて、出あったものは、たれだって［＃「たれだって」は底本では「だれたって」］、おまえさんのことを、こんなきれいな人間のむすめを見たことがないというだろう。
You will keep your gliding gait, no dancer will rival you,	おまえさんが浮くようにかるく足をはこぶところは、人間の踊り子にまねもできまい。
but every step you take will be as if you were treading upon sharp knives, so sharp as to draw blood.	ただ、ひと足ごとに、おまえさん、するどい刄物をふむようで、いまにも血がながれるかとおもうほどだろうよ。
If you are willing to suffer all this I am ready to help you!'	それをみんながまんするつもりなら、相談にのって上げる。」
'Yes!'	「ええ、しますわ。」
said the little princess with a trembling voice,	と、人魚のひいさまは、声をふるわせていいました。
thinking of the prince and of winning an undying soul.	そうして、王子のことと、それから、死なないたましいのことを、しっかりとおもっていました。
'But remember,'	「でも、おぼえておいで。」
said the witch,	と、魔女はいいました。
'when once you have received a human form, you can never be a mermaid again;	「おまえさんは、いちど人間のかたちをうけると、もう二どと人魚にはなれないのだよ。
you will never again be able to dive down through the water to your sisters and to your father's palace.	海のなかをくぐって、きょうだいたちのところへも、おとうさんの御殿へもかえることはできないし、
And if you do not succeed in winning the prince's love, so that for your sake he will forget father and mother, cleave to you with his whole heart, let the priest join your hands and make you man and wife, you will gain no immortal soul!	それから王子の愛情にしても、もうおまえさんのためには、おとうさんのこともおかあさんのこともわすれて、あけてもくれてもおまえさんのことばかりを、かんがえていて、もうこの上は、お坊さんにたのんで、王子とおまえさんとふたりの手をつないで、晴れてめおととよばせることにするほかない、というところまでいかなければ、やはり、死なないたましいは、おまえさんのものにはならないのだよ。
The first morning after his marriage with another your heart will break, and you will turn into foam of the sea.'	それがもしかちがって、王子がほかの女と結婚するようなことになると、もうそのあくる朝、お前さんの心臓（しんぞう）はやぶれて、おまえさんはあわになって海の上にうくのだよ。」
'I will do it,'	「かまいません。」
said the little mermaid	と、人魚のひいさまはいいました。
as pale as death.	けれど、その顔は死人のように青ざめていました。
'But you will have to pay me, too,'	「ところで、おまえさん、お礼もたっぷりもらわなきゃならないよ。」
said the witch,	と、魔女はいいました。
'and it is no trifle that I demand.	「どうして、わたしののぞむお礼は、お軽少（けいしょう）なことではないよ。
You have the most beautiful voice of any at the bottom of the sea,	おまえさんは、この海の底で、だれひとりおよぶもののないうつくしい声をもっておいでだね。
and I daresay that you think you will fascinate him with it;	その声で、たぶん、王子をまよわそうとおもっているのだろう。
but you must give me that voice;	ところが、その声をわたしはもらいたいのだよ。
I will have the best you possess in return for my precious potion!	そのおまえさんのもっているいちばんいいものを、わたしのだいじな秘薬（ひやく）とひきかえにしようというのさ。
I have to mingle my own blood with it	なにしろそのくすりには、わたしだって、じぶんの血をまぜなくてはならないのだからね。
so as to make it as sharp as a two-edged sword.'	それで、くすりにも、もろ刄のつるぎのようなするどいききめがあらわれようというものさ。」
'But if you take my voice,'	「でも、あたし、声をあげてしまったら、」
said the little mermaid,	と、ひいさまは、いいました。
'what have I left?'	「あとになにがのこるのでしょう。」
'Your beautiful form,'	「なあに、まだ、そのうつくしいすがたが、」
said the witch,	と、魔女はいいました。
'your gliding gait, and your speaking eyes;	「それから、そのかるい、うくようなあるきつきが、それから、そのものをいう目があるさ。
with these you ought surely to be able to bewitch a human heart.	それだけで、りっぱに人間のこころをたぶらかすことはできようというものだ。
Well! have you lost courage?	はてね、勇気がなくなったかね。
Put out your little tongue, and I will cut it off	さあ、その舌をお出し、それを代金にはらってもらう。
in payment for the powerful draught.'	そのかわり、よくきくくすりをさし上げるよ。」
'Let it be done,'	「ええ、そうしてください。」
said the little mermaid,	と、人魚のひいさまはいいました。
and the witch put on her caldron to brew the magic potion.	そこで、魔女は、おなべを火にかけて、魔法ののみぐすりを煮はじめました。
'There is nothing like cleanliness,'	「ものをきれいにするのは、いいことさ。」
said she, as she scoured the pot with a bundle of snakes;	と、魔女はいって、へびをくるくるとむすびこぶにまるめて、それでおなべをみがきました。
then she punctured her breast and let the black blood drop into the caldron,	それからじぶんの胸をひっかいて、黒い血をだして、そのなかへたらしこみました。
and the steam took the most weird shapes, enough to frighten any one.	その湯気が、なんともいえないふしぎなきみのわるい形で、むくむくと立って、身の毛もよだつようでした。
Every moment the witch threw new ingredients into the pot,	魔女はしじゅうそれからそれと、なにくれとおなべのなかへ投げ込んでいました。
and when it boiled the bubbling was like the sound of crocodiles weeping.	やがて、ぼこぼこ煮え立ってくると、それが＊わにの泣き声に似た音を立てました。
At last the potion was ready and it looked like the clearest water.	とうとう、のみぐすりが煮え上がりましたが、それはただ、すみ切った水のようにみえました。
