THE ADVENTURE OF THE EMPTY HOUSE	空家の冒険
On the whole, then, it was best that I should risk the climb.	それで結局、僕はとにかく這い上るより外に道はなかった。
It was not a pleasant business, Watson.	しかしこれがまた、ワトソン君、なかなかの大仕事なのだ。
The fall roared beneath me.	はるか底の方では、滝壺が物凄く鳴り響いている。
I am not a fanciful person, but I give you my word that I seemed to hear Moriarty's voice screaming at me out of the abyss.	僕は決して妄想的な人間ではないが、しかし、実際のところ、どうも滝壺からは、モリアーティ教授の唸り声がきこえて来るようにさえ思われた。
A mistake would have been fatal.	それにまたもし一歩を誤ったら、それこそ百年目だ。
More than once, as tufts of grass came out in my hand or my foot slipped in the wet notches of the rock, I thought that I was gone.	実際、草の根がとれて、手が放れたり、足が岩の切り角から辷（すべ）ったりして、もうしまったと思ったことも、一度や二度ではなかったよ。
But I struggled upward,	しかし僕はとにかく、上へ上へと這い上った。
and at last I reached a ledge several feet deep and covered with soft green moss,	そして遂に、五六尺も深いかと思われる柔かな苔に蔽われた大きな窪地に到達した。
where I could lie unseen, in the most perfect comfort.	そして僕はそこに、まったくどちらからも隠蔽して、全くいい気持で横になった。
There I was stretched, when you, my dear Watson, and all your following were investigating in the most sympathetic and inefficient manner the circumstances of my death.	ここで僕が身体を伸び伸びと伸ばしていた頃は、ワトソン君、君達の一行が、まことにお気の毒な、全く徒労な方法で、僕の死の情況を探査していたのだったのさ。
"At last, when you had all formed your inevitable and totally erroneous conclusions, you departed for the hotel, and I was left alone.	それから遂に、君たち一行は、それは止むを得ないことであるが、全く誤った断定を下して、ホテルに引き上げてしまったので、僕は全く一人ぽっちにのこされてしまった。
I had imagined that I had reached the end of my adventures, but a very unexpected occurrence showed me	これで僕の大冒険もいよいよ終りかと想像したら、俄然、更に全く夢想もしなかった事件が突発した。
that there were surprises still in store for me.	僕には全くこの上にも、危険が取りのこされていることに気がついた。
A huge rock, falling from above, boomed past me, struck the path, and bounded over into the chasm.	と云うのは突然一つの大きな岩が、上の方から転落して来て、僕の横わっている上を、唸り越えて、小径に打ち当り、更に断崖の下の方に跳ねとんでいった。
For an instant I thought that it was an accident,	最初のちょっとの間は、これはただ偶然の出来ごとに相違ないと思った。
but a moment later, looking up, I saw a man's head against the darkening sky,	がしかし僕はすぐに、見上げた途端に、もう暮れかかった薄暗（うすやみ）の空の前に、一人の人間の頭を見止めた。
and another stone struck the very ledge upon which I was stretched, within a foot of my head.	と、それと共に、またもう一つの大きな石が、転げ落ちて来て、僕が横わっている窪地の、僕の頭から一呎（フィート）とも離れない出張りの角に当った。
Of course, the meaning of this was obvious.	もう一切が明瞭である。
Moriarty had not been alone.	モリアーティは決して一人ではなかったのだ。
A confederate--	一人の連累者、――
and even that one glance had told me how dangerous a man that confederate was--had kept guard while the Professor had attacked me.	それもただ一見して、いかに怖るべき人間であるかと云うことがわかったが、その連累者が、モリアーティが僕に襲いかかった時に、見張りをしていたのだ。
From a distance, unseen by me, he had been a witness of his friend's death and of my escape.	彼は遠方から、僕には全く気づかれないように、その友人の死と、僕の遁走を見届けたのだ。
He had waited, and then making his way round to the top of the cliff, he had endeavoured to succeed where his comrade had failed.	彼はしばらく待ち構えた後、廻り道して断崖の上に来て、その友人の失敗を、見事に取り返そうと云うことであったのだ。
"I did not take long to think about it, Watson.	ワトソン君、しかし僕はこう云う想定をするのにも、決して手間取らなかったよ。
Again I saw that grim face look over the cliff,	その中（うち）にまた懸崖の上には、凄い顔が現われて、こっちを見下している。
and I knew that it was the precursor of another stone.	もう第二の石の来る前兆である。
I scrambled down on to the path.	とにかく僕は小径の上に這い下りた。
I don't think I could have done it in cold blood.	もちろん僕はこうしたことを、落ついてやってのけたとは云わないよ。
It was a hundred times more difficult than getting up.	何しろこの這い下りることは、這い上るのに何百倍して、困難なことだったからね。
But I had no time to think of the danger,	しかし僕はもちろん、危険などと云うことを考えてはいられなかった。
for another stone sang past me as I hung by my hands from the edge of the ledge.	僕が出張りの角に手をかけてぶら下った時に、また第三の石が落っこって来て、間髪の間を唸り越えて行った。
Halfway down I slipped, but, by the blessing of God, I landed,	半分はただ辷り落ちに落ちて、ただ天祐で、とにかく平なところに着陸した。
torn and bleeding, upon the path.	皮膚は擦りむけて、小径の上に血痕が滴りついた。
I took to my heels, did ten miles over the mountains in the darkness, and a week later I found myself in Florence,	それから僕は遁走を続け、暗夜の中を十哩（まいる）の山路を突破し、一週間の後には僕はフローレンスに現われたのだ。
with the certainty that no one in the world knew what had become of me.	もちろん現世の人間と云う人間は、僕の行方などを知るはずはなかったのだが、――
"I had only one confidant--	僕は一人の腹心の者をこしらえた、――
my brother Mycroft.	それは弟［＃「弟」は誤訳で本当は「兄」］のミクロフトであった。
I owe you many apologies, my dear Watson,	僕は君には大に陳謝（あや）まらなければならないが、しかし何しろ僕としてはこうせざるを得なかったのだ。
but it was all-important that it should be thought I was dead, and it is quite certain that you would not have written so convincing an account of my unhappy end had you not yourself thought that it was true.	そしてまたもし君が、僕が生きていると云うことを知っていたとすれば、あんなに鮮かに、僕の不幸極まる最後の発表書を書けるはずもなかったのだからね。
Several times during the last three years I have taken up my pen to write to you, but always I feared lest your affectionate regard for me should tempt you to some indiscretion which would betray my secret.	この三年の間、実際何度か君にも書こうと思って、ペンも取り上げたが、やはりもしや君があんまり喜びすぎて、僕のこのせっかく大切の極秘主義に、かえって患（わざわい）することになりはしないかと思って、遂に書く決心も鈍ってしもうのであった。
For that reason I turned away from you this evening when you upset my books,	こう云う理由のために、今夕君が僕の本をひっくり返した時も、さっさっと僕は君から、離れ去ってしまったのだ。
for I was in danger at the time,	実際あの時は僕にとっては、とても大変な場合だったからね。
and any show of surprise and emotion upon your part might have drawn attention to my identity and led to the most deplorable and irreparable results.	君がもしあまりに驚いた様子や、また感興を起されて、僕であると云うことが周囲の人々の目にわかってしまったら、それこそもう絶対絶命な、全く取り返しのつかないことだからね。
As to Mycroft, I had to confide in him in order to obtain the money which I needed.	僕の弟のミクロフトの方は、どうも金が入用だったので、これは止むを得なかったのだ。
The course of events in London did not run so well as I had hoped,	しかもロンドンにおいての、事態の進捗は、どうも僕が予期したようにうまくはいってくれなかった。
for the trial of the Moriarty gang left two of its most dangerous members, my own most vindictive enemies, at liberty.	モリアーティ一味の者に対する審問は、その中（うち）の最も怖るべき人物で、僕に対しては最も復讐の念に燃えている者を二人も放免してしまった。
I travelled for two years in Tibet, therefore, and amused myself by visiting Lhassa, and spending some days with the head lama.	そこで僕は二年の間は西蔵（チベット）に旅行し、拉薩（ラッサ）に遊んで、剌麻教（らまきょう）の宗長とたのしい数日も暮した。
You may have read of the remarkable explorations of a Norwegian named Sigerson, but I am sure that it never occurred to you that you were receiving news of your friend.	君はあの諾威人（ノールエじん）シガーソン［＃「シガーソン」は底本では「シガーリン」］の、有名な探険記を読んだかもしれないが、しかしおそらく君はその中で、君の友人の消息については、何物も知るところは無かったろう。
I then passed through Persia, looked in at Mecca, and paid a short but interesting visit to the Khalifa at Khartoum	それから僕は波斯（ペルシャ）を通りメッカを見物し、それからちょっとではあったが、カァールトウムのカリファに、興味ある訪問をした。
the results of which I have communicated to the Foreign Office.	そしてこの事は僕は、外務省には通報しておいた。
Returning to France, I spent some months in a research into the coal-tar derivatives, which I conducted in a laboratory at Montpellier, in the south of France.	フランスに帰ってからは、数ヶ月の間、コールタールの誘導物の研究に没頭し、南方フランスのモントプリーエの研究所では指導してやった。
Having concluded this to my satisfaction and learning that only one of my enemies was now left in London, I was about to return when my movements were hastened by the news of this very remarkable Park Lane Mystery,	それから僕は、満足する結果を得、またロンドンには、僕を狙う敵がただ一人っきり居ないと云うことを知ったので、もう出発しようと思っていた矢先に、かのレーヌ公園の魔の事件があったので、僕の行動は急に敏活となった。
which not only appealed to me by its own merits, but which seemed to offer some most peculiar personal opportunities.	この事件は、事件そのものも、大に僕にさし迫るものもあったが、またその外に、ある個人的な、特殊な機会も含まっておるように思われたのだった。
I came over at once to London, called in my own person at Baker Street, threw Mrs. Hudson into violent hysterics,	僕は早速ロンドンに直行したが、まず自らベーカー街に現われて、ハドソン夫人を驚かして、癪を起されてしまった。
and found that Mycroft had preserved my rooms and my papers exactly as they had always been.	弟のミクロフトは、実によく僕の書斎を管理していてくれて、新聞紙などまでが、全く昔日の通りにきちんと整理されていた。
So it was, my dear Watson, that at two o'clock to-day I found myself in my old armchair in my own old room,	さてワトソン君、このようにして僕は、今日の二時には、あの昔馴染の室の、昔馴染の椅子に収まったと云うわけさ。
and only wishing that I could have seen my old friend Watson in the other chair which he has so often adorned."	そこで僕のこの上の希望は、他のもう一つの椅子に、これまでしばしばあったように、わが親友の、ワトソン君を迎えることの出来ることなんだがね」
Such was the remarkable narrative to which I listened on that April evening--a narrative which would have been utterly incredible to me had it not been confirmed by the actual sight of the tall, spare figure and the keen, eager face, which I had never thought to see again.	以上のことは、僕はこの四月の宵に聞いた、驚異すべき物語りであるが、この物語りはもちろん、もし僕が現に、彼の脊の高い痩せた身体と、鋭い熱意のあふれた顔とを確に見なかったら、――
In some manner he had learned of my own sad bereavement, and his sympathy was shown in his manner rather than in his words.	彼は私が彼の喪失に対して、ひどく悲歎していたことを何からか察知して、それに対する衷情は、彼の言葉よりも、その態度の上によく現われた。
"Work is the best antidote to sorrow, my dear Watson,"	「ワトソン君、仕事は悲哀に対する、最善の解毒剤だよ」
said he;	彼は更に言葉をさしはさんだ。
"and I have a piece of work for us both to-night	「ここに我々にとっての小さな仕事があるんだがね。
which, if we can bring it to a successful conclusion, will in itself justify a man's life on this planet."	もしこれがうまくゆけば、一人の全く疑惑の中にある生活を、明るみに暴（さら）け出してみせることが出来ると云うものだよ」
In vain I begged him to tell me more.	私は更にこの先をきこうとしたが、しかし彼はもう云ってはくれなかった。
"You will hear and see enough before morning,"	「それは朝までには、何もかもよくわかるよ。
he answered.	さあ吾々にはまだ過去の三年間の積る物語りがある。
"We have three years of the past to discuss.	九時半まで大に語り合って、さてそれからいよいよ、特筆すべき空家の大冒険と出かけようではないか」
Let that suffice until half-past nine, when we start upon the notable adventure of the empty house."	彼はおもむろにこう答えた。
It was indeed like old times when, at that hour, I found myself seated beside him in a hansom,	さてその九時半が来たので、私はかつてよくやったように、馬車の中に彼と隣り合って坐った。
my revolver in my pocket, and the thrill of adventure in my heart.	ポケットの中には拳銃（ピストル）が秘められ、私の胸は無暗にわくわくと慄（ふる）えた。
Holmes was cold and stern and silent.	ホームズはと見れば、冷静に粛然と黙している。
As the gleam of the street-lamps flashed upon his austere features,	街灯の光で見える彼の厳粛な面影、――
I saw that his brows were drawn down in thought and his thin lips compressed.	沈思に耽っているのであろう、両の眉は茫然と放たれ、薄い唇は固く結ばれている。
I knew not what wild beast we were about to hunt down in the dark jungle of criminal London,	一たいこの犯罪の都ロンドンの、暗黒な籔の中から、果してどんな獲物を狩り出そうと云うのであろう！
but I was well assured, from the bearing of this master huntsman, that the adventure was a most grave one--while the sardonic smile which occasionally broke through his ascetic gloom boded little good for the object of our quest.	何しろこの狩猟長の厳粛な表情を見ると、この冒険はなかなかの重大事であると云うことは、看取されたが、またそれと共に時々漏れるこの苦行者の暗欝の中からの嘲笑は、この探険に対して何等かの自信を思わせるものであると思われた。
I had imagined that we were bound for Baker Street, but Holmes stopped the cab at the corner of Cavendish Square.	私達はベーカー街にゆくものと思ったら、ホームズはキャベンディッシの辻で、馬車を止めた。
I observed that as he stepped out he gave a most searching glance to right and left, and at every subsequent street corner he took the utmost pains to assure that he was not followed.	それから彼は馬車から降り立って、左右に鋭く注意し殊に曲り角では、誰かに尾（つ）けられはしまいかと、驚くべく細密な注意を払った。
Our route was certainly a singular one.	道は一本道であった。
Holmes's knowledge of the byways of London was extraordinary, and on this occasion he passed rapidly and with an assured step through a network of mews and stables, the very existence of which I had never known.	ホームズのロンドンの裏通りに対する智識は大変なもので、彼はどんどんと急ぎ足で進み、私などは夢想もしなかった、鷹籠の網や厩のある間を通り抜けて、
We emerged at last into a small road, lined with old, gloomy houses, which led us into Manchester Street, and so to Blandford Street.	更に古い陰欝な家屋のある細い通りを過ぎて、マンチェスター街に出で、それからブランドフォード街に現われた。
Here he turned swiftly down a narrow passage, passed through a wooden gate into a deserted yard, and then opened with a key the back door of a house.	ここでホームズは素早く小さな路次に飛びこみ、木戸を開けて、荒廃した空地を通りぬけ、そして一軒の家の裏戸を鍵で開けて、
We entered together, and he closed it behind us.	その中に入り、また後からその戸を閉めた。
The place was pitch dark, but it was evident to me that it was an empty house.	その家の中は漆のように暗かったが、私はすぐに空家であると気がついた。
Our feet creaked and crackled over the bare planking, and my outstretched hand touched a wall from which the paper was hanging in ribbons.	床板はギシギシときしみ、壁からは紙片（かみくず）が、リボンのように垂れ下っているのが手に触った。
Holmes's cold, thin fingers closed round my wrist and led me forward down a long hall, until I dimly saw the murky fanlight over the door.	ホームズはその冷い痩せた指を私の手首にまいて、天井の高い下をぐんぐん進む、私は朧（おぼろ）にドーアの上に、欄間窓を見止めた。
Here Holmes turned suddenly to the right and we found ourselves in a large, square, empty room, heavily shadowed in the corners,	ここでホームズは右に曲り、我々は四角な大きな室に来た。
but faintly lit in the centre from the lights of the street beyond.	角々（すみずみ）は暗黒に翳り、ただ中央だけが往来からの余光でかすかに明るい。
There was no lamp near, and the window was thick with dust, so that we could only just discern each other's figures within.	近くにはランプも無く、また窓は埃が厚く積っているので、我々はただお互にその輪廓を見止め得るだけであった。
My companion put his hand upon my shoulder and his lips close to my ear.	彼は私の肩に手をかけて、唇を耳元に持って来た。
"Do you know where we are?"	そして囁いた。
he whispered.	「どこに来たかわかるかね？」
"Surely that is Baker Street"	「確にベーカー街だろう」
I answered, staring through the dim window.	私は暗い窓を通して外の方を見つめながら答えた。
"Exactly.	「そうだ。
We are in Camden House, which stands opposite to our own old quarters."	俺たちは俺たちの古巣の向いの、カムデンハウスに居るのだ」
"But why are we here?"	「しかしどうしてこんな処に来たのだ？」
"Because it commands so excellent a view of that picturesque pile.	「うむ？
Might I trouble you, my dear Watson, to draw a little nearer to the window, taking every precaution not to show yourself, and then to look up at our old rooms	ワトソン君まあ御苦労でも、もう少し窓の方に寄って、あのお馴染の室を仰いでみたまえ。
--the starting-point of so many of your little fairy-tales?	あの室こそは俺たちの、冒険史の振り出しだったろうがな。
We will see if my three years of absence have entirely taken away my power to surprise you."	まあ三年の間失踪しても、腕は鈍らないつもりだがね」
I crept forward and looked across at the familiar window.	こう云われて私は、窓の方に進み寄ってお馴染の窓を見やった。
As my eyes fell upon it, I gave a gasp and a cry of amazement.	果然！
The blind was down, and a strong light was burning in the room.	窓かけは下され、中には煌々とした灯火（あかり）が輝いているが、
The shadow of a man who was seated in a chair within was thrown in hard, black outline upon the luminous screen of the window. There was no mistaking the poise of the head, the squareness of the shoulders, the sharpness of the features.	その窓かけの上に映っている影絵、屹（き）っと支えられた頭、角張った肩、峻鋭な風貌、――
The face was turned half-round, and the effect was that of one of those black silhouettes which our grandparents loved to frame.	やがてその影絵は、頭を半廻転させたが、そのポーズこそ我々の祖父母たちが、好んで額縁に入れる、黒色半面画像、――
It was a perfect reproduction of Holmes.	シャーロック・ホームズの復製ではないか！
So amazed was I that I threw out my hand to make sure that the man himself was standing beside me.	私はあまりに不可思議なので、手をのばしてもしや本物のシャーロック・ホームズが側に居るかどうかを確かめた。
He was quivering with silent laughter.	彼は身体をゆすりながら、微笑をかみ殺していた。
"Well?"	「どうだね？」
said he.	彼はささやいた。
"Good heavens!"	「おい助けてくれ。
I cried.	これは驚いた。
"It is marvellous."	これは全く驚いた！」
"I trust that age doth not wither nor custom stale my infinite variety,"	「僕は確信しているのだが、年齢も自分の無限の変心性を凋（しぼ）ますことは出来ず、また習慣もそれを腐らすことは出来ないね」
said he,	彼は云った。
and I recognized in his voice the joy and pride which the artist takes in his own creation.	私は彼の声の中から、芸術家が創作の上に持つ、歓喜と矜持と同じものを感得するのであった。
"It really is rather like me, is it not?"	「とにかく似ているかね」
"I should be prepared to swear that it was you."	「似ているも何もない、――僕はてっきり君自身と思わされてしまったほどだ」
"The credit of the execution is due to Monsieur Oscar Meunier, of Grenoble, who spent some days in doing the moulding.	「そうか、しかしこの成功の栄誉は、グレノーブルの、オスカー・［＃「・」は底本では欠落］ミュニアー氏に帰すべきものだよ、氏は数日を費して模型（モーデル）してくれたのだ。
It is a bust in wax.	あれは蝋の半身像だよ。
The rest I arranged myself during my visit to Baker Street this afternoon."	今日の午後、ベーカー街に行っている間の、俺の安息している姿さ」
"But why?"	「それはまたどうしたことなの？」
"Because, my dear Watson, I had the strongest possible reason for wishing certain people to think that I was there when I was really elsewhere."	「うむ？
"And you thought the rooms were watched?"	「それではあの室は監視されていると云うのかね？」
"I KNEW that they were watched."	「うむ。
"By whom?"	「それは一たい誰のことさ？」
"By my old enemies, Watson.	「ワトソン君、それは僕の旧怨の者共さ。
By the charming society whose leader lies in the Reichenbach Fall.	あのライヘンバッハ瀑布の水底に横わっている屍を主領とする、例のお歴々たちさ。
You must remember that they knew, and only they knew, that I was still alive.	君も知っている通り、あの連中だけが、僕の生存を確認しているのだからね。
Sooner or later they believed that I should come back to my rooms.	彼等はいずれ僕の帰還を信じ、
They watched them continuously, and this morning they saw me arrive."	不断の監視をなし、しかも今朝は僕の帰還したのを目撃したのだ」
"How do you know?"	「君はまたそれをどうしてわかったのだね？」
"Because I recognized their sentinel when I glanced out of my window.	「僕はちらりっと窓の外を見た時に、彼等の見張りを見止めたのだ。
He is a harmless enough fellow, Parker by name, a garroter by trade, and a remarkable performer upon the jew's-harp.	その者の名前はパーカーと云い、咽喉を締めて追剥するのが稼業、別に大して害意のある男でもなく、口琴の名手だ。
I cared nothing for him.	僕はもちろんこんな男は意にも介しないが、
But I cared a great deal for the much more formidable person who was behind him,	しかしその背後には、もっともっと怖ろしい人物が居るのだ。
the bosom friend of Moriarty, the man who dropped the rocks over the cliff,	あのモリアーテー教授の腹心の友で、かつて僕に断崖の上から、大石をころがして落した男、――
the most cunning and dangerous criminal in London.	ロンドン中で最も狡智な、そして恐ろしい犯罪者さ。
That is the man who is after me to-night Watson, and that is the man who is quite unaware that we are after him."	この人間がすなわち、今夜、僕に尾（つ）けたのだが、ところがワトソン君面白いことには、その人間がかえってこの俺たちに尾（つ）けられていることは知らないのだ」
My friend's plans were gradually revealing themselves.	こうして私の友人の計劃は着々と効を奏して来て、
From this convenient retreat, the watchers were being watched and the trackers tracked.	最も時宜を得た退却に因って、監視者は被監視者となり、追跡者は被追跡者となってしまった。
That angular shadow up yonder was the bait, and we were the hunters.	向うの角ばった影絵は餌で、自分たちは猟師であった。
In silence we stood together in the darkness and watched the hurrying figures who passed and repassed in front of us.	吾々は暗（やみ）の中に立って、黙々としたままで、忙わしそうに往来する姿を見守った。
Holmes was silent and motionless;	ホームズはいよいよ黙していよいよ動かない。
but I could tell that he was keenly alert,	しかしその注意力は依然驚くべきものである。
and that his eyes were fixed intently upon the stream of passers-by.	彼の目は往来する人々の流れに、ピタリっとつけられたままであった。
It was a bleak and boisterous night and the wind whistled shrilly down the long street.	風は街頭を吹きまくって、物凄い夜であった。
Many people were moving to and fro, most of them muffled in their coats and cravats.	人々は外套と襟巻に包まれて、右往左往している。
Once or twice it seemed to me that I had seen the same figure before,	私は一二度は同じ姿に、目が止まったような気もした。
and I especially noticed two men who appeared to be sheltering themselves from the wind in the doorway of a house some distance up the street.	その中に特に二つの姿で、街路からちょっと引っこんだ家の戸口に、風を避けているらしいものに、目が止まった。
I tried to draw my companion's attention to them; but he gave a little ejaculation of impatience, and continued to stare into the street.	私は友にこのことを注意しようとすると、彼は焦（い）ら立たし気に何か叫んで、街路の上を見つめ続ける。
More than once he fidgeted with his feet and tapped rapidly with his fingers upon the wall.	彼は足をもじもじさせ、また指で壁をたたいた。
It was evident to me that he was becoming uneasy, and that his plans were not working out altogether as he had hoped.	これは彼がどうも、計劃がうまくゆかないので、じりじりし出したのであると解った。
At last, as midnight approached	その中（うち）に夜はますます更けて来る、――
and the street gradually cleared,	人々の影はますます少なくなって来る、――
he paced up and down the room in uncontrollable agitation.	彼はますます焦（い）ら立ったもののように、室の中を歩き始めた。
I was about to make some remark to him, when I raised my eyes to the lighted window, and again experienced almost as great a surprise as before.	私は彼にちょっと耳打ちしようとした途端に、私は目を前方の明るく光っている窓に向けると、私はまた以前の場合にも劣らず、あっと驚かされてしまった。
I clutched Holmes's arm, and pointed upward.	私はホームズの腕をとって、上の方を指さしながら叫んだ。
"The shadow has moved!"	「おい、あの影像は動いてるよ！」
It was indeed no longer the profile, but the back, which was turned towards us.	窓に映っている影像は、もう横顔ではなく、後の方をこっちに向けていた。
Three years had certainly not smoothed the asperities of his temper	三年間の年月も、決して彼の性質の粗（そぞう）さを円滑にはしてくれなかった。
or his impatience with a less active intelligence than his own.	彼の例の性急さが、彼の本来の持ち前の智的聡明さにもなく、粗忽なようであった。
"Of course it has moved,"	「そりゃもちろん、動いてるさ」
said he.	しかし彼もまた云った。
"Am I such a farcical bungler, Watson, that I should erect an obvious dummy, and expect that some of the sharpest men in Europe would be deceived by it?	「ワトソン君、いくら何でも僕はまさか、不動の木偶を立てて、それで欧羅巴（ヨーロッパ）で最も敏感な連中を、瞞著し得ると思うような、たわけ者ではないつもりだよ。
We have been in this room two hours, and Mrs. Hudson has made some change in that figure eight times,	俺達がこの室に来てから、もう二時間になるが、ハドソン夫人はその間に八回、あの塑像に変化を与えていてくれるのだ。
or once in every quarter of an hour.	つまり十五分毎に一回ずつ変っているわけさ。
She works it from the front, so that her shadow may never be seen.	しかしもちろん彼の女は、その操作を灯火の向うからやっているので、それは決して見えっこはないんだがね。
Ah!"	ふふふふふふ」
He drew in his breath with a shrill, excited intake.	彼は少し興奮して来て、ちょっと調子が高く息せきこんだ。
In the dim light I saw his head thrown forward, his whole attitude rigid with attention.	しかしまた幽かな光線の中を透して見ると、彼の頭は前方に伸ばされ、全身の姿勢が、注意の集中のために緊張していた。
Those two men might still be crouching in the doorway, but I could no longer see them.	先に戸口のところに跼（うずくま）って風を避けた二人の者は、まだ居たのかもしれないが、しかしもう私には見えなかった。
All was still and dark, save only that brilliant yellow screen in front of us with the black figure outlined upon its centre.	もう四囲はすべて寂然とし、また暗澹としたが、しかしただ例の黒い半身像を中央に映していた、黄色い窓かけの窓だけは、煌々として明るかった。
Again in the utter silence I heard that thin, sibilant note which spoke of intense suppressed excitement.	再び私は、極度の静寂の中に、シューシューっと云うかすかな音をきいたが、それはやはり、興奮して来る息づかいを秘めているに相違なかった。
An instant later he pulled me back into the blackest corner of the room,	それからちょっとすると、私の友人は、私を漆黒な角の方に連れ立った。
and I felt his warning hand upon my lips.	そして彼は私の唇に、警告のための手を押しあてて来た。
The fingers which clutched me were quivering.	私を握（つか）んでいる友人の手は、流石に顫えていた。
Never had I known my friend more moved,	私はこの時ほど、友人が動揺させられているのを見たことはなかった。
and yet the dark street still stretched lonely and motionless before us.	しかも暗澹とした街路と見れば依然として吾々の前に、寂しい無変化のまま展開されていた。
But suddenly I was aware of that which his keener senses had already distinguished.	しかし俄然私の友人の鋭い感覚が、敏（さと）く識取していたものを、私の感覚も受け取った。
A low, stealthy sound came to my ears,	すなわち低い低い、忍び入るような音が、私の耳の底にかすかに響く、――
not from the direction of Baker Street, but from the back of the very house in which we lay concealed.	しかもそれは、ベーカー街の方からではなく、自分達が隠れ忍んでいるこの家の後の方から来る音である。
A door opened and shut.	扉（ドア）は開けられ、扉（ドア）は閉められた。
An instant later steps crept down the passage--	やがて廊下に忍びこむ音、――
steps which were meant to be silent, but which reverberated harshly through the empty house.	それから秘めに秘められた足音。しかしどんなに忍ばせてもやはり、空家の森閑とした中には、荒々しく反響する、――
Holmes crouched back against the wall, and I did the same,	ホームズは壁の側（そば）に、這い寄ったので、私も彼に従って、壁の側に寄って跼（うずくま）った。
my hand closing upon the handle of my revolver.	そして拳銃（ピストル）の引き金に、しっかりと手をかけた。
Peering through the gloom, I saw the vague outline of a man, a shade blacker than the blackness of the open door.	濃い暗黒を通して見つめると、その暗黒の中に巨大な男の輪廓が、開け放たれた扉（ドア）の暗さよりもいっそう濃く黒く見えた。
He stood for an instant, and then he crept forward, crouching, menacing, into the room.	それからその姿は、ちょっとの間立ち止まったが、やがてまた跼（うずくま）った這う形になって、威嚇するような姿勢で、室の中に入って来た。
He was within three yards of us,	もう吾々の直前三碼（ヤード）のところである。
this sinister figure, and I had braced myself to meet his spring, before I realized that he had no idea of our presence.	私はこの悪相の姿が、飛びかかって来はしまいかと思って、身構えて用心したが、しかしその姿は、吾々の存在に気がつかないのであった。
He passed close beside us, stole over to the window, and very softly and noiselessly raised it for half a foot.	それからその姿は、我々のすぐ側を通りすぎて、窓に忍び寄って、実に静かに窓を半呎（フィート）ばかり開けた。
As he sank to the level of this opening, the light of the street, no longer dimmed by the dusty glass, fell full upon his face.	そしてその者は、開けられた線まで、頭を屈め下げて来たので、今までは埃のかかった硝子（がらす）で、外光を遮られて見えなかった顔に、外光が直接にあたって光った。
The man seemed to be beside himself with excitement.	その者はたしかに興奮のために、夢中になっているに相違なかった。
His two eyes shone like stars, and his features were working convulsively.	その目は烱々（けいけい）と輝き、その顔は、緊張のために引きつけていた。
He was an elderly man, with a thin, projecting nose, a high, bald forehead, and a huge grizzled moustache.	もうかなりの年輩の、鼻は細くて高く突き出た、額は高くて禿げ上った、そして大きな灰色の髭のある男、――。
An opera hat was pushed to the back of his head, and an evening dress shirt-front gleamed out through his open overcoat.	高帽子（オペラハット）をアミダにかぶり、夜会服の胸が、開いている外套から光って見えた。
His face was gaunt and swarthy, scored with deep, savage lines.	深い皺が刻まれて、痩せて角ばった、いかにも獰猛な相であった。
In his hand he carried what appeared to be a stick, but as he laid it down upon the floor it gave a metallic clang.	ステッキのようなものを手に持っていたが、それを床の上に置いたら、金属性の音を発した。
Then from the pocket of his overcoat he drew a bulky object, and he busied himself in some task	それから彼は、外套のポケットから、嵩ばったものを取り出して、いかにも慌てているように、手早く何か仕事を始めた。
which ended with a loud, sharp click, as if a spring or bolt had fallen into its place.	そしてその仕事は、スプリングか釘のようなものが、ガチャンと嵌まりこんだような音をたてて終った。
Still kneeling upon the floor he bent forward and threw all his weight and strength upon some lever, with the result that there came a long, whirling, grinding noise, ending once more in a powerful click.	それから今度はなお膝まずいたままで、一本の挺子（てこ）のようなものに、全身の重さと力をかけて、捻じ廻すような、磨（ず）りつけるような音もたてたが、最後にやはり大きな音を立てて、この仕事も終った。
He straightened himself then, and I saw that what he held in his hand was a sort of gun, with a curiously misshapen butt.	彼は立ち上ったが、手にしたものを見ると、はなはだ珍稀（ちんき）な台尻のついた、一種の鉄砲のようである。
He opened it at the breech, put something in, and snapped the breech-lock.	彼は銃尾を開いて何か装填し、そして遊底を閉じた。
Then, crouching down, he rested the end of the barrel upon the ledge of the open window, and I saw his long moustache droop over the stock and his eye gleam as it peered along the sights.	それから彼は、身を屈めて開かれてある窓の縁に銃の先端を置き、爛々たる眼光で照準はつけられた。
I heard a little sigh of satisfaction as he cuddled the butt into his shoulder;	銃床を肩につけた彼は、満足らしく溜息を漏らす、――
and saw that amazing target, the black man on the yellow ground, standing clear at the end of his foresight.	しかも更に驚いたことには、その照準された銃口の延線は、かの黄色い窓かけの上の、真黒い影像ではないか！
For an instant he was rigid and motionless.	その男はしばらくは不動のままである。
Then his finger tightened on the trigger.	やがて指は引金にかかった。異様な高い風を切る音、――
There was a strange, loud whiz and a long, silvery tinkle of broken glass.	それから銀のような、硝子（がらす）を破る音、――。
At that instant Holmes sprang like a tiger on to the marksman's back, and hurled him flat upon his face.	と、これに間髪を容れず、ホームズはその時手に虎のように躍りかかって、彼を打ち伏せに投げつけた。
