A SCANDAL IN BOHEMIA	ボヘミアの醜聞ボヘミアの醜聞
"That is very fortunate,	「好都合です。
as I have one or two matters of importance to look into just at present.	今、二、三調べておきたい大事なことがございますので。
Your Majesty will, of course, stay in London for the present?"	無論、陛下はロンドンに当座、滞在されますね？」
"Certainly.	「そのつもりだ。
You will find me at the Langham under the name of the Count Von Kramm."	ランガム・ホテル（※17）にフォン・クラム伯爵名義で滞在しておる。」
"Then I shall drop you a line to let you know how we progress."	「では、進行状況を電報でお知らせしましょう。」
"Pray do so.	「そうしていただこう。
I shall be all anxiety."	気が気でないのでな。」
"Then, as to money?"	「それから、報酬の方は？」
"You have carte blanche."	「白紙をお渡しする。」
"Absolutely?"	「では全権を？」
"I tell you that I would give one of the provinces of my kingdom to have that photograph."	「写真が戻るのならば、余は王国の一領土を与えることもいとわぬ。」
"And for present expenses?"	「当面の費用は？」
The King took a heavy chamois leather bag from under his cloak and laid it on the table.	王はセーム革（※18）の袋をマントの内から取りだし、テーブルの上に置いた。
"There are three hundred pounds in gold and seven hundred in notes,"	「ここに金貨で三〇〇ポンド、紙幣で七〇〇ポンドある（※７）。」
Holmes scribbled a receipt upon a sheet of his note-book and handed it to him.	ホームズはメモ帳から一枚、領収の旨を走り書き、王に手渡した。
"And Mademoiselle's address?"	「婦人（マドモワゼル）のご住所は？」
"Is Briony Lodge, Serpentine Avenue, St. John's Wood."	「セント・ジョンズ・ウッド、サーペンタイン並木道（アヴェニュ）のブライオニ荘だ。」
Holmes took a note of it.	ホームズは書き留めると、
"One other question,"	「もう一つ、質問がございます。
"Was the photograph a cabinet?"	写真はキャビネ判（※19）ですか？」
"It was."	「そうだが。」
"Then, good-night, your Majesty,	「しからば、おやすみなさいませ、陛下。
and I trust that we shall soon have some good news for you.	じき、良い知らせをお届けすることを約束致します。
And good-night, Watson,"	それからワトソン、君もおやすみ。」
he added, as the wheels of the royal brougham rolled down the street.	王のブルーム型馬車が通りを去っていった後、ホームズはこう付け加えた。
"If you will be good enough to call to-morrow afternoon at three o'clock	「明日の午後三時に訪ねてくれると、これ幸いなり。
I should like to chat this little matter over with you."	君とこの瑣事について語りたく存じます。」
At three o'clock precisely I was at Baker Street,	三時に遅れることなく、私はベイカー街に着いた。
but Holmes had not yet returned.	だがホームズは不在だった。
The landlady informed me that he had left the house shortly after eight o'clock in the morning.	下宿の女主人によると、すぐ戻ると言って、朝八時に家を出たきりだという。
I sat down beside the fire, however, with the intention of awaiting him, however long he might be.	私は暖炉のそばに腰掛け、ホームズの帰宅が遅くなろうとも待つことにした。
I was already deeply interested in his inquiry,	すでに私は、ホームズの調査に対し並々ならぬ興味を抱いていた。
for, though it was surrounded by none of the grim and strange features which were associated with the two crimes which I have already recorded,	これまで記録した二つの事件のように、奇々怪々たる特徴があるわけではない。
still, the nature of the case and the exalted station of his client gave it a character of its own.	事件の本質や依頼人の身分の高さに、独特のものを感じるのだ。
Indeed, apart from the nature of the investigation which my friend had on hand, there was something in his masterly grasp of a situation, and his keen, incisive reasoning, which made it a pleasure to me	友人が現在調査中の事の本質は別にしても、状況を把握する職人技、鋭く切れる推理も確かに私を楽しませるのだ。
to study his system of work, and to follow the quick, subtle methods by which he disentangled the most inextricable mysteries.	ホームズの仕事のやり方を研究したり、快刀乱麻を断つ方式をたどったり。
So accustomed was I to his invariable success that the very possibility of his failing had ceased to enter into my head.	今まで成功をあまりにも見続けてきたため、ホームズにも失敗することがあるなど、夢にも思わなかったのだ。
It was close upon four before the door opened, and a drunken-looking groom, ill-kempt and side-whiskered, with an inflamed face and disreputable clothes, walked into the room.	四時頃扉が開くと、酔いどれの馬番が部屋に入ってきた。
Accustomed as I was to my friend's amazing powers in the use of disguises, I had to look three times before I was certain that it was indeed he.	我が友人の巧みな変装術は熟知していると思っていたが、それでもホームズと確信するには三度も見なければならなかった。
With a nod he vanished into the bedroom, whence he emerged in five minutes tweed-suited and respectable, as of old.	うなずくと、ホームズは寝室に姿を消し、五分後いつも通りのツイードを礼儀正しく着用して現れた。
Putting his hands into his pockets, he stretched out his legs in front of the fire and laughed heartily for some minutes.	両手をポケットに突っ込み、暖炉の前に足を投げ出したかと思うと、しばらく気の済むまで笑い続けたのだ。
"Well, really!"	「いやはや！」
he cried, and then he choked and laughed again until he was obliged to lie back, limp and helpless, in the chair.	とホームズは叫ぶと、むせかえり、再度笑い出したあげく、ついには椅子の上でぐったりし、動かなくなってしまった。
"What is it?"	「何の事やら。」
"It's quite too funny.	「極めて滑稽なことだよ。
I am sure you could never guess how I employed my morning, or what I ended by doing."	僕が今朝何をしてきたか、そしていかなる結末に至ったか、君には絶対わかるまいね。」
"I can't imagine.	「思いもつかん。
I suppose that you have been watching the habits, and perhaps the house, of Miss Irene Adler."	イレーナ、つまり英国名アイリーン・アドラー嬢の習慣とか、おそらく家でも見に行ったというところか。」
"Quite so;	「ご名答。
but the sequel was rather unusual.	だが終局は想像を絶するよ。
I will tell you, however.	まぁ、聞きたまえ。
I left the house a little after eight o'clock this morning in the character of a groom out of work.	朝八時ちょっと前、僕は失業中の馬番という設定で、家を発った。
There is a wonderful sympathy and freemasonry among horsey men.	馬を扱う男たちには、フリーメイソン（※20）よろしく強い同業意識がある。
Be one of them, and you will know all that there is to know.	輪の中に入れば、知りたいことはなんでもわかるよ。
I soon found Briony Lodge.	すぐにブライオニ荘は見つかった。
It is a bijou villa, with a garden at the back, but built out in front right up to the road, two stories.	こぢんまりした住宅で、裏庭があるのだが、通りに玄関がほど近く、二階建てだった。
Chubb lock to the door.	扉はチャブ錠（※21）つきだった。
Large sitting-room on the right side, well furnished, with long windows almost to the floor,	右手に広い居間があってね、豪華な調度品が並び、床につくほどの大きな窓もあった。
and those preposterous English window fasteners which a child could open.	窓には子どもでも開けられそうな、頼りないイギリス式留め金がついていたね。
Behind there was nothing remarkable, save that the passage window could be reached from the top of the coach-house.	裏手にはこれといった所もなく、ただ廊下の窓が馬車小屋の屋根からなら届きそうだったくらいだ。
I walked round it and examined it closely from every point of view, but without noting anything else of interest.	屋敷の周囲を一周し、様々な観点からつぶさに調べてみたが、興味を引くものはもうなかった。
"I then lounged down the street and found, as I expected, that there was a mews in a lane which runs down by one wall of the garden.	それから通りを徘徊してみると、期待通り、裏庭の壁沿いの小道に厩舎があった。
I lent the ostlers a hand in rubbing down their horses, and received in exchange twopence, a glass of half and half, two fills of shag tobacco, and as much information as I could desire about Miss Adler,	馬番に馬磨きの手伝いをしてやると、駄賃に二ペンス（※７）くれてね、あと一杯のハーフ＆ハーフ、シャグ煙草（※22）を二服、そして念願のアドラー嬢の情報をあれこれと。
to say nothing of half a dozen other people in the neighbourhood in whom I was not in the least interested, but whose biographies I was compelled to listen to."	たいして知りたくもない近所の人たちの日常を半ダースも聞かされたがね。」
"And what of Irene Adler?"	「アイリーン・アドラーとは何者だったんだい？」
I asked.	と私。
"Oh, she has turned all the men's heads down in that part.	「なんと付近の男どもを皆、虜にしているらしい。
She is the daintiest thing under a bonnet on this planet.	天下この地上において、もっとも麗しき女性である。
So say the Serpentine-mews, to a man.	とまぁ、サーペンタイン厩舎の男どもは口を揃えている。
She lives quietly, sings at concerts, drives out at five every day, and returns at seven sharp for dinner.	生活は平穏で、コンサートで唄いもするが、毎日五時に馬車で出かけ、七時丁度に夕食に戻ってくる。
Seldom goes out at other times, except when she sings.	それ以外に外出するのはまれだ。
Has only one male visitor, but a good deal of him.	訪ねてくるのは男一人のくせして、回数がとても多い。
He is dark, handsome, and dashing, never calls less than once a day, and often twice.	肌は浅黒く、容姿端麗で、颯爽な男ときていて、少なくとも日に一回、たまに二回のときもある。
He is a Mr. Godfrey Norton, of the Inner Temple.	名はゴドフリィ・ノートン、イナ・テンプル法学院（※23）の男だ。
See the advantages of a cabman as a confidant.	御者が気の置けぬ友である所以がわかったろう？
They had driven him home a dozen times from Serpentine-mews, and knew all about him.	サーペンタイン厩舎より十数回と送っているからね、何もかも知っていたよ。
When I had listened to all they had to tell, I began to walk up and down near Briony Lodge once more, and to think over my plan of campaign.	ひとしきり話し終えてから、僕はブライオニ荘に引き返し、そばを歩きながら、これからの身の振り方を思案した。
"This Godfrey Norton was evidently an important factor in the matter.	ゴドフリィ・ノートンはこの件に深く関与していると見ていいだろう。
He was a lawyer.	弁護士だ。
That sounded ominous.	不吉な予感がする。
What was the relation between them,	二人の間柄は？
and what the object of his repeated visits?	繰り返し訪れ何をもくろむ？
Was she his client, his friend, or his mistress?	アイリーンは依頼人か、友人か、はたまた恋人か。
If the former, she had probably transferred the photograph to his keeping.	前者ならば、写真は男の元で保管させているだろう。
If the latter, it was less likely.	後者なら、その見込みもない。
On the issue of this question depended whether I should continue my work at Briony Lodge, or turn my attention to the gentleman's chambers in the Temple.	考えによっては、ブライオニ荘で仕事を続行せねばならぬし、学院のかの紳士の事務所に目を向けなければならぬ。
It was a delicate point, and it widened the field of my inquiry.	この微妙な点により、調査が広範囲にわたることとなった。
I fear that I bore you with these details, but I have to let you see my little difficulties, if you are to understand the situation."	くどい話で退屈してないか心配だが、状況を理解してもらわねばならんので、小さな問題でも知っておいてほしいのだ。」
"I am following you closely,"	「傾聴しているよ。」
I answered.	と私。
"I was still balancing the matter in my mind when a hansom cab drove up to Briony Lodge, and a gentleman sprang out.	「思案に暮れていると、ハンソム型馬車（※24）がブライオニ荘にやってきて、一人の紳士が飛び降りた。
He was a remarkably handsome man, dark, aquiline, and moustached--evidently the man of whom I had heard.	結構な美男子で、浅黒く、鷲鼻、口ひげのある男で、まさしくうわさに聞いた男その人であった。
He appeared to be in a great hurry, shouted to the cabman to wait, and brushed past the maid who opened the door with the air of a man who was thoroughly at home.	どうも火急のようで、御者に待てと叫ぶと、扉を開けた女中を押しのけ、家を熟知している風に飛び込んでいった。
"He was in the house about half an hour, and I could catch glimpses of him in the windows of the sitting-room,	三十分ほど在宅し、窓ごしに姿を視認できた。
pacing up and down, talking excitedly, and waving his arms.	居間を歩き回り、腕を振って熱弁していたが、
Of her I could see nothing.	女はみとめられなかった。
Presently he emerged, looking even more flurried than before.	ほどなく男は家から出てきたが、先より慌てている様子だった。
As he stepped up to the cab, he pulled a gold watch from his pocket and looked at it earnestly,	馬車に乗り込み、懐から金の懐中時計を取り出し、まじと見たのだ。
'Drive like the devil,'	言うには、
he shouted,	『韋駄天で頼む。
'first to Gross & Hankey's in Regent Street, and then to the Church of St. Monica in the Edgeware Road.	まずはリージェント街（※25）のグロス＆ハンキィに寄って、それからエッジウェア通り（※26）の聖（セント）モニカ教会だ。
Half a guinea if you do it in twenty minutes!'	二十分でゆければ半ギニィやろう！』
"Away they went, and I was just wondering whether I should not do well to follow them when up the lane came a neat little landau,	馬車は行ってしまい、追うべきか追わざるべきか悩んでいると、小道の奥からしゃれた小型のランドー型馬車（※27）がやって来た。
the coachman with his coat only half-buttoned, and his tie under his ear, while all the tags of his harness were sticking out of the buckles.	見ると、御者の上着はボタン半分で、ネクタイは耳の下までずれているし、馬具はいずれもまともに留められていないという始末。
It hadn't pulled up before she shot out of the hall door and into it.	門前にくるやいなや女が玄関から飛び出し、乗り込んだ。
I only caught a glimpse of her at the moment, but she was a lovely woman, with a face that a man might die for.	一目しか伺えなかったが、実に麗しき女性で、男が命を捧げるのもうなずける。
"'The Church of St. Monica, John,'	彼女の場合、
she cried,	『聖モニカ教会ですわ、ジョン。
'and half a sovereign if you reach it in twenty minutes.'	二十分で着けましたら、半ソヴリン差し上げます（※７）。』
"This was quite too good to lose, Watson.	またとない好機だったのだ、ワトソン。
I was just balancing whether I should run for it, or whether I should perch behind her landau when a cab came through the street.	走って追うべきか、馬車の後ろに飛び乗ってしがみつくべきか、そこへ通りをぬって辻馬車（※28）がやってきたのだ。
The driver looked twice at such a shabby fare, but I jumped in before he could object.	御者は僕のぶざまな恰好を二度もにらんだが、有無も言わせず飛び込んで、こう言った。
'The Church of St. Monica,' said I,	『聖モニカ教会だ。
'and half a sovereign if you reach it in twenty minutes.'	二十分で着けば半ソヴリンくれてやる。』
It was twenty-five minutes to twelve,	時は正午二十五分前。
and of course it was clear enough what was in the wind.	何が起こるか察しが付いた。
"My cabby drove fast.	馬車は速かったよ。
I don't think I ever drove faster, but the others were there before us.	あんなに速いとは思わなかったが、先の二つには追いつけなかった。
The cab and the landau with their steaming horses were in front of the door when I arrived.	到着した時点で、ハンソムもランドーも熱気収まらぬ馬とともに、玄関前に停車していたのだ。
I paid the man and hurried into the church.	代金を支払い、教会へと急いだ。
There was not a soul there save the two whom I had followed and a surpliced clergyman,	人気はなく、中にはただ三人、追った二人とサープリス（※29）を着た牧師だけだった。
who seemed to be expostulating with them.	牧師は何やら二人をいさめているようで、
They were all three standing in a knot in front of the altar.	三人とも一塊になり祭壇の前に立っていた。
I lounged up the side aisle like any other idler who has dropped into a church.	僕は教会へぶらり立ち寄ったならず者の振りをし、側廊をうろついた。
Suddenly, to my surprise, the three at the altar faced round to me, and Godfrey Norton came running as hard as he could towards me.	すると驚いたことに、突然、祭壇の三人が僕の方を顧み、ゴドフリィ・ノートンに至っては全速力で駆けてくるのだ。
"'Thank God,'	『神に感謝する。』
he cried.	とノートンはのたまってね、
'You'll do.	『君でいい、
Come! Come!'	来たまえ、こっちに来たまえ！』
"'What then?'	『何事でさ。』
I asked.	と訊いたのだが、
"'Come, man, come,	『来るんだ、君、来てくれ。
only three minutes, or it won't be legal.'"	もう三分しかないんだ、法的に通用しなくなる。』
I was half-dragged up to the altar, and before I knew where I was I found myself mumbling responses which were whispered in my ear, and vouching for things of which I knew nothing, and generally assisting in the secure tying up of Irene Adler, spinster, to Godfrey Norton, bachelor.	と半ば引きずられるようにして祭壇へ連れていかれ、気が付くと小声で教え込まれたことを呟き、訳の分からぬ事を誓わされたあげく、独身女性アイリーン・アドラーと独身男性ゴドフリィ・ノートンの結婚の立会人になってしまった。
It was all done in an instant, and there was the gentleman thanking me on the one side and the lady on the other, while the clergyman beamed on me in front.	式はあっという間で、左右からは紳士淑女に礼を述べられ、正面では牧師がにこやかに笑っている次第だ。
It was the most preposterous position in which I ever found myself in my life,	しっちゃかめっちゃか、とはまさにこの事だよ。
and it was the thought of it that started me laughing just now.	先ほど笑ったのはこういうことなのだ。
It seems that there had been some informality about their license, that the clergyman absolutely refused to marry them without a witness of some sort,	証明書に何かしら不備でもあったのだろう、牧師は立会人なしでは結婚を認めぬと。
and that my lucky appearance saved the bridegroom from having to sally out into the streets in search of a best man.	人を捜しに出ようと思った矢先、幸運にも僕が現れたものだから、花婿は通りに出る手間が省けたというわけだ。
The bride gave me a sovereign, and I mean to wear it on my watch-chain in memory of the occasion."	花嫁は僕にソヴリン金貨一枚をくれてね、事の記念として時計鎖に付けておこうと思う。」
"This is a very unexpected turn of affairs,"	「思いがけない展開となったな。」
said I;	と私。
"and what then?"	「それから？」
"Well, I found my plans very seriously menaced.	「うむ、調査が危機的状況にあることに気が付いた。
It looked as if the pair might take an immediate departure,	二人がすぐ旅行に行くやもしれん。
and so necessitate very prompt and energetic measures on my part.	僕としても、早急に効果的な手を打たねばならぬ。
At the church door, however, they separated,	しかし二人は教会の前で別れた。
he driving back to the Temple, and she to her own house.	男は学院へ、女は自宅へ馬車で引き返すようだ。
'I shall drive out in the park at five as usual,'	『いつものように、五時、馬車で公園へ。』
she said as she left him.	と去り際に女は言い、
I heard no more.	それ以上の言葉は聞こえなかった。
They drove away in different directions, and I went off to make my own arrangements."	二人の馬車は別の方向へ走り去っていき、僕は手筈を整えるため舞い戻ったわけだ。」
"Which are?"	「手筈？」
"Some cold beef and a glass of beer,"	「コールド・ビーフと一杯のビールだ。」
he answered, ringing the bell.	と呼び鈴を鳴らし、
"I have been too busy to think of food,	「食べ物のことで頭がいっぱいなんだ。
and I am likely to be busier still this evening.	今宵は別のことでいっぱいになるだろうがね。
By the way, Doctor, I shall want your co-operation."	ところで博士、協力して欲しいことがある。」
"I shall be delighted."	「喜んで。」
"You don't mind breaking the law?"	「法を犯すことになっても？」
"Not in the least."	「構わん。」
"Nor running a chance of arrest?"	「逮捕の危険も。」
"Not in a good cause."	「正当な理由あらば。」
"Oh, the cause is excellent!"	「ああ、大義がある！」
"Then I am your man."	「では、なんなりと。」
"I was sure that I might rely on you."	「それでこそ頼りがいがある。」
"But what is it you wish?"	「しかし、何をするつもりだい？」
"When Mrs. Turner has brought in the tray I will make it clear to you.	「ターナーさん（※30）が皿を並び終えたら、明かそうではないか。
Now,"	ほら。」
he said as he turned hungrily on the simple fare that our landlady had provided,	とホームズは女家主の用意してくれた簡単な食事にありつく。
"I must discuss it while I eat,	「食べながら説明しよう。
for I have not much time.	時間が足りないのだ。
It is nearly five now.	もう五時か。
In two hours we must be on the scene of action.	二時間後には現場にいなければならぬ。
Miss Irene, or Madame, rather, returns from her drive at seven.	アイリーン嬢、いや夫人か、七時には馬車で戻ってくるからね。
We must be at Briony Lodge to meet her."	ブライオニ荘でご対面だ。」
"And what then?"	「それから？」
"You must leave that to me.	「この件に関しては、僕に身を預けてくれ。
I have already arranged what is to occur.	手筈はすでに整えてある。
There is only one point on which I must insist.	ただ一つ、言っておきたいことがある。
You must not interfere, come what may.	たとえ何が起ころうと、手出し無用だ。
You understand?"	いいかい？」
"I am to be neutral?"	「傍観というわけか。」
"To do nothing whatever.	「何もしてはいけない。
There will probably be some small unpleasantness.	きっと、気分を害することが起こると思うが、
Do not join in it.	関わり合いにならんことだ。
It will end in my being conveyed into the house.	最終的に、僕は家の中へ運ばれてゆくこととなる。
Four or five minutes afterwards the sitting-room window will open.	四、五分すれば、居間の窓が開くだろう。
You are to station yourself close to that open window."	君は窓のそばに身を潜めていてくれ。」
"Yes."	「うむ。」
"You are to watch me, for I will be visible to you."	「僕の姿が見えるはずだから、注目する。」
"Yes."	「うむ。」
"And when I raise my hand--so--you will throw into the room what I give you to throw,	「手を振るから――こう――さすれば君は、これから渡すものを部屋に投げ込んでくれたまえ。
and will, at the same time, raise the cry of fire.	同時に、火事だ、とわめくんだ。
You quite follow me?"	わかったかい？」
"Entirely."	「承知した。」
"It is nothing very formidable,"	「取り扱いに注意するほどのものではないよ。」
he said, taking a long cigar-shaped roll from his pocket.	とホームズは懐から葉巻型の長い筒を取りだした。
"It is an ordinary plumber's smoke-rocket,	「ごく一般に配管工が使う発煙筒だ。
fitted with a cap at either end to make it self-lighting.	自動着火するべく、雷管が両端に付されている。
Your task is confined to that.	君の役目はこいつだけだ。
When you raise your cry of fire, it will be taken up by quite a number of people.	火事だと叫けば、大勢の野次馬が同調してくれるだろう。
You may then walk to the end of the street, and I will rejoin you in ten minutes.	通りの外れまで歩いてゆけば、僕は十分で戻ってくるよ。
I hope that I have made myself clear?"	この説明でわかったかい？」
"I am to remain neutral, to get near the window, to watch you, and at the signal to throw in this object, then to raise the cry of fire, and to wait you at the corner of the street."	「私は傍観し続け、窓のそばへ寄り、君を見、合図があればこいつを投げ込み、火事だとわめいて、通りの角で君を待つ。」
"Precisely."	「いかにも。」
"Then you may entirely rely on me."	「私に任せてくれたまえ。」
"That is excellent.	「見事だ。
I think, perhaps, it is almost time that I prepare for the new role I have to play."	もうそろそろ時間だ、僕は新しい役柄にならねば。」
He disappeared into his bedroom and returned in a few minutes in the character of an amiable and simple-minded Nonconformist clergyman.	ホームズは寝室に姿を消したかと思うと、ものの数分で、愛想が良く善良そうな非国教徒派の牧師になって戻ってきた。
His broad black hat, his baggy trousers, his white tie, his sympathetic smile, and general look of peering and benevolent curiosity were such as Mr. John Hare alone could have equalled.	鍔広の黒い帽子、よれよれのズボン、白いネクタイに親切そうな笑顔、慈悲深く世話焼きな風貌、いずれをとってもジョン・ヘア（※31）に負けず劣らずだ。
It was not merely that Holmes changed his costume.	ホームズは単に服装を変えているには終わらない。
His expression, his manner, his very soul seemed to vary with every fresh part that he assumed.	役に応じ、表情、癖、心に至るまで変幻自在なのだ。
The stage lost a fine actor, even as science lost an acute reasoner, when he became a specialist in crime.	犯罪の専門家になったため、演劇界は名優を失い、科学界も名研究家を失ったのだ。
It was a quarter past six when we left Baker Street,	六時を十五分過ぎた頃、我々はベイカー街を出発した。
and it still wanted ten minutes to the hour when we found ourselves in Serpentine Avenue.	予定の時刻より十分早く、サーペンタイン並木道に到着した。
It was already dusk, and the lamps were just being lighted as we paced up and down in front of Briony Lodge, waiting for the coming of its occupant.	辺りはすでに薄暗がりで、屋敷の持ち主が帰宅するのを待って、ブライオニ荘の前をふらついていると、丁度ガス灯がついたのである。
The house was just such as I had pictured it from Sherlock Holmes' succinct description, but the locality appeared to be less private than I expected.	屋敷はシャーロック・ホームズの簡にして要を得た説明通りの建物であったが、辺りは思ったよりも静閑としていなかった。
On the contrary, for a small street in a quiet neighbourhood, it was remarkably animated.	通りは静かというよりも、かえってにわかに活気づいていたほどだ。
There was a group of shabbily dressed men smoking and laughing in a corner, a scissors-grinder with his wheel, two guardsmen who were flirting with a nurse-girl, and several well-dressed young men who were lounging up and down with cigars in their mouths.	みすぼらしい身なりの一団が、街角で煙草を吹かしながら笑っていたり、刃物研ぎ屋が路上研磨をしていたり、二人の近衛兵が子守の女性と歓談していたり、めかし込んだ青年が幾人か、口に葉巻をくわえてうろついていたりしていた。
"You see,"	屋敷の前を行きつ戻りつしているとき、ホームズが切り出した。
remarked Holmes, as we paced to and fro in front of the house,	「いいかい、
"this marriage rather simplifies matters.	この結婚が事を簡単にした。
The photograph becomes a double-edged weapon now.	写真は今や諸刃の剣だ。
The chances are that she would be as averse to its being seen by Mr. Godfrey Norton, as our client is to its coming to the eyes of his princess.	女もゴドフリィ・ノートンに見られたくないはずだ、我らの依頼人が姫君の目に触れさせたくないのと同様にね。
Now the question is,	ここで疑問が生じる。
Where are we to find the photograph?"	僕らの捜す写真はどこにあるのだ？」
"Where, indeed?"	「ふむ、どこなんだろう。」
"It is most unlikely that she carries it about with her.	「持ち歩いているなんて、ありそうもない。
It is cabinet size.	キャビネ判だ。
Too large for easy concealment about a woman'sdress.	大きすぎて、女性の召し物に隠すのは容易ではない。
She knows that the King is capable of having her waylaid and searched.	王が待ち伏せして持ち物もさぐる可能性があることは、重々承知だろう。
Two attempts of the sort have already been made.	二回も試みられているからね。
We may take it, then, that she does not carry it about with her."	従って、携帯の線はないと見て良い。」
"Where, then?"	「では、どこなんだ。」
"Her banker or her lawyer.	「銀行か、弁護士か。
There is that double possibility.	どちらもありそうなことだが、
But I am inclined to think neither.	僕はそう思わない。
Women are naturally secretive, and they like to do their own secreting.	女性は元来秘密主義でね、自分で隠すことを好むのだ。
Why should she hand it over to anyone else?	他人の手には触れさせもしない。
She could trust her own guardianship, but she could not tell what indirect or political influence might be  brought to bear upon a business man.	自分でしまい込む分には安心できるが、事務的に扱う人間に渡しては、裏から力がかかったり、あるいは政治圧力がかかるやもしれん。
Besides, remember that she had resolved to use it within a few days.	その上、一両日中に利用しようと心に決めている。
It must be where she can lay her hands upon it.	ならば手元にあるに違いない。
It must be in her own house."	自宅の中だ。」
"But it has twice been burgled."	「しかし、二度も押し入っているんだろう？」
"Pshaw!	「ふん！
They did not know how to look."	物の捜し方を知らんのだよ。」
"But how will you look?"	「だがどうやって捜すつもりだ？」
"But how will you look?"	「捜すつもりはない。」
"What then?"	「では、どう？」
"I will get her to show me."	「教えてもらうのだ。」
"But she will refuse."	「いくらなんでも断るだろう。」
"She will not be able to.	「断れまいよ。
But I hear the rumble of wheels.	む、轍の音。
It is her carriage.	彼女の馬車だ。
Now carry out my orders to the letter."	言葉通りに頼むよ。」
As he spoke the gleam of the side-lights of a carriage came round the curve of the avenue.	そのとき、並木道の角から馬車の側灯の光が弧を描くがごとく射してきた。
It was a smart little landau which rattled up to the door of Briony Lodge.	ブライオニ荘の玄関へ向かうのは、あの小型のランドー型馬車だった。
As it pulled up, one of the loafing men at the corner dashed forward to open the door in the hope of earning a copper, but was elbowed away by another loafer, who had rushed up with the same intention.	止まると、角にいた一人の浮浪者が小銭目当てで扉を開けようと飛び込んできたが、同じ目的で突っ込んできた別の浮浪者に肱で追いやられてしまった。
A fierce quarrel broke out, which was increased by the two guardsmen, who took sides with one of the loungers, and by the scissors-grinder, who was equally hot upon the other side.	取っ組み合いの喧嘩が始まってしまい、二人の近衛兵が一方に加勢、刃物研ぎ屋がもう一方に加勢したので、騒ぎはあっという間に大きくなった。
A blow was struck, and in an instant the lady, who had stepped from her carriage, was the centre of a little knot of flushed and struggling men, who struck savagely at each other with their fists and sticks.	拳骨がぶつかり合い、馬車から降りた婦人はたちまち、拳や杖の飛び交う喧噪の渦の中へ巻き込まれてしまった。
Holmes dashed into the crowd to protect the lady;	ホームズは婦人を守ろうと群衆の中へ突入したが、
but just as he reached her he gave a cry and dropped to the ground, with the blood running freely down his face.	そばまで行ったかと思うと、叫び声をあげ、顔から多量の血を流して倒れてしまった。
At his fall the guardsmen took to their heels in one direction and the loungers in the other,	近衛兵はそれを見て逃げ出し、浮浪者たちも別の方向へ逃げた。
while  a number of better-dressed people, who had watched the scuffle without taking part in it, crowded in to help the lady and to attend to the injured man.	めかし込んだ青年たちはこれまで小競り合いを傍観していたが、みんなして婦人を救い出し、負傷した男を介抱しようとした。
Irene Adler, as I will still call her, had hurried up the steps;	結婚前の名で呼ぶが、アイリーン・アドラーは石段を駆け上がった。
but she stood at the top with her superb figure outlined against the lights of the hall, looking back into the street.	しかし最上段で立ち止まり、玄関の灯りにあでやかな姿態を映し出されつつ、通りを顧みるのだった。
"Is the poor gentleman much hurt?" she asked.	「おいたわしや、あの方の傷は深うございますの？」
"He is dead,"	「死んだよ。」
cried several voices.	という声がちらほらあがる。
"No, no,	「いや、違う。
there's life in him!"	まだ息はあるぞ！」
shouted another.	と誰かが叫ぶ。
"But he'll be gone before you can get him to hospital."	「だが病院まではもたん。」
"He's a brave fellow,"	「実に勇敢な方ですわ。」
said a woman.	と女の声。
"They would have had the lady's purse and watch if it hadn't been for him.	「この人がいらっしゃらなければ、奥様は財布も時計も盗まれていましたのよ。
They were a gang,	なんて悪漢でございましょう。
and a rough one, too.	乱暴な。
Ah, he's breathing now."	あら、息がございますわ。」
"He can't lie in the street.	「通りには寝かせておけない。
May we bring him in, marm?"	お宅へ運んでよろしいですか、奥さん？」
"Surely.	「そうなさい。
Bring him into the sitting-room.	居間へお運びになるとよろしいわ。
There is a comfortable sofa.	休まるソファがございますから。
This way, please!"	こちらから、どうぞ。」
Slowly and solemnly he was borne into Briony Lodge and laid out in the principal room, while I still observed the proceedings from my post by the window.	ホームズがゆっくりと物々しくブライオニ荘に運ばれていき、計画の舞台たる居間に安置させられるのを、私は窓のそば、自らの持ち場からじっと見守っていた。
The lamps had been lit, but the blinds had not been drawn, so that I could see Holmes as he lay upon the couch.	灯りがともされ、ブラインドは引かれていなかったので、ホームズがソファに寝かされる一部始終を見て取れたのだ。
I do not know whether he was seized with compunction at that moment for the part he was playing, but I know that I never felt more heartily ashamed of myself in my life	今この瞬間、ホームズは自分のなす演技に良心の呵責を感じているのか知る由もないが、私はかつてないほど面映ゆく思ったのだ。
than when I saw the beautiful creature against whom I was conspiring, or the grace and kindliness with which she waited upon the injured man.	我々はあの美しき女性を欺こうとしているのに、慈悲深くも手負いの男を介抱しているではないか。
And yet it would be the blackest treachery to Holmes to draw back now from the part which he had intrusted to me.	しかしここで手を退いては、全幅の信頼を寄せてくれるホームズに対する、何とよこしまな背信行為であろうか。
I hardened my heart, and took the smoke-rocket from under my ulster.	私は心を押し殺し、アルスター・コート（※32）の下から発煙筒を取りだした。
After all, I thought, we are not injuring her.	つまるところ、彼女を傷つけるのではない。
We are but preventing her from injuring another.	我々は、彼女が第三者を傷つけるのを阻止するだけなのだ、と自分に言い聞かせた。
Holmes had sat up upon the couch, and I saw him motion like a man who is in need of air.	ソファの上でホームズは身を起こし、酸欠でもがく仕草を見せた。
