The " Gloria Scott "	グロリア・スコット号
Victor.	ヴクトウ。
I'll see that you shall know, come what may.	今に、きっと話さなくてはならないような事件がおきて来ると私は思っとるのじゃ。
You wouldn't believe harm of your poor old father, would you, lad? ``	お前はお前の可哀そうな年とった父親が、危害を加えられるなんて云うことは信じられないのじゃろうな、ねえお前？」
He was very much moved	親じは僕の言葉にひどい打撃をこうむったようだった。
and shut himself up in the study all day,	その日一日部屋の中に閉じこもってしまった。
where I could see through the window that he was writing busily.	そして僕が窓からのぞいて見ると、親じはいそがしそうに何かを書いていた。
``' That evening	するとその日の夕方のことだった。
there came what seemed to me to be a grand release,	僕たちには大きな救いのように見えたことがもち上った。
for Hudson told us that he was going to leave us.	と云うのは、ハドソンが僕たちの家から出て行くと云い出したからだ。
He walked into the dining-room as we sat after dinner and announced his intention in the thick voice of a half-drunken man.	ちょうど僕たちはお八つを食べに食堂に集（あつま）った時、あいつは、ほろ酔い機嫌のしゃがれ声で自分のその考えを云い出したのだ。
``''' I've had enough of Norfolk, ``	「もう英国の北の国にはあきあきしたよ」
said he.	と彼は云った。
'' I'll run down to Mr. Beddoes in Hampshire.	「おいらハンプシャイアのベドウスさんとこへつっ走ろうかと思うんだ。
He'll be as glad to see me as you were, I daresay. ``	あの人もたぶんお前さんと同様、おいらに喜んで会ってくれるだろうと思うんだよ」
``''' You're not going away in an unkind spirit, Hudson, I hope, ``	「君は、何か感情を害して僕ん所から出て行くと云うんじゃないだろうね、ハドソン？」
said my father	僕の父親は云った。
with a tameness which made my blood boil.	僕の血を煮えくら返すような屈辱的な馴れ馴れしい様子で。
``''' I've not had my 'pology, ``	「おいら詫びを云われなかった」
said he sulkily, glancing in my direction.	彼は僕のほうを意地悪そうにチラッと見ながら云った。
``''' Victor, you will acknowledge that you have used this worthy fellow rather roughly, ``	「ヴクトウ、お前はこの大切な客人を、失礼な扱い方をしていたとは思わないかい？」
said the dad, turning to me.	親じは僕のほうを向いて云った。
``''' On the contrary, I think that we have both shown extraordinary patience towards him, ``	「それどころか、僕たちは、こいつに出来るだけの辛抱をして来たと思っていますよ」
I answered.	僕は答えたんだ。
``''' Oh, you do, do you? ``	「おう、うぬぬかしやがったな」
he snarled.	と彼は唸るように云った。
'' Very good, mate.	「野郎、よくもぬかしやがったな。
We'll see about that! ``	覚えていろ！」
```He slouched out of the room	彼は足を引きずりながら部屋から出ていった。
and half an hour afterwards left the house,	そしてそれから三十分の後、僕たちの家から出ていってしまった。
leaving my father in a state of pitiable nervousness.	気の毒なほど神経を病んでいる親じを後に残したまま。
Night after night I heard him pacing his room,	――それから毎晩毎晩、親じは自分の部屋の中を歩き廻っている足音を僕は耳にした。
and it was just as he was recovering his confidence that the blow did at last fall.'	それはいよいよ打撃がやって来ると云うことを自覚したかのようだった」
```And how?'	「それからどうしたね？」
I asked eagerly.	僕は熱心さを加えてきいた。
'' `In a most extraordinary fashion.	「全く思いもかけなかったようなことが起きて来たんだ。
A letter arrived for my father yesterday evening, bearing the Fordingham postmark.	きのうの夕方だった、フォーディングブリッジの消印のある手紙が父親の所へとどいたんだが、
My father read it, clapped both his hands to his head, and began running round the room in little circles like a man who has been driven out of his senses.	それを読むと父親は、まるで気が違った人間のように、頭を両手で押えたまま、部屋の中をグルグルグルグル輪を書いて廻り初めたんだ。
When I at last drew him down on to the sofa, his mouth and eyelids were all puckered on one side, and I saw that he had a stroke.	そうして僕が捕えてやっとソファの上へ腰かけさせた時には、親じの口も目も片一方引き吊って、まるですっかり気が顛倒（てんとう）していることが分かった。
Dr. Fordham came over at once.	ですぐフォードハム博士に来てもらって、
We put him to bed,	寝床の中へ運びこんだわけだ。
but the paralysis has spread, he has shown no sign of returning consciousness,	けれど痲痺はいよいよひろがる一方で、意識を取り返えしそうもないのだ。
and I think that we shall hardly find him alive.'	僕は、もう到底だめだろうと思ってるんだよ」
```You horrify me, Trevor!'	「おそろしい話じゃないか、トレヴォ」
I cried.	僕は叫んだ。
`What then could have been in this letter to cause so dreadful a result?'	「その手紙に、何かそんな怖ろしいことを引きおこすようなことでも書いてあったのかしら？」
```Nothing.	「なんにもないんだ。
There lies the inexplicable part of it.	その中にはわけの分からないことが書いてあるんだ。
The message was absurd and trivial.	文句は下らない、つまらないことなんだ。
Ah, my God, it is as I feared!'	――僕はこんなことになりはしないかと、ひそかに恐れていたんだよ」
``As he spoke we came round the curve of the avenue	彼がこんな話をしているうちに、僕たちの馬車は並木道のカーブを曲っていた。
and saw in the fading light that every blind in the house had been drawn down.	そして夕暗（ゆうやみ）の中に、家の鎧戸がすっかりおろされているのを見た。
As we dashed up to the door,	僕たちは玄関にとびついた。
my friend's face convulsed with grief,	友達の顔は心配で緊張していた。
a gentleman in black emerged from it.	と、その時、玄関の中から、黒い服を着た紳士が出て来た。
```When did it happen, doctor?'	「博士、いつ最後でした？」
asked Trevor.	トレヴォ［＃「トレヴォ」は底本では「ドレヴォ」］はきいた。
'' `Almost immediately after you left.'	「あなたがお出かけになるすぐでしたよ」
```Did he recover consciousness?'	「意識を取り戻しませんでしたか？」
'' `For an instant before the end.'	「御最後の前に、ちょっと……」
```Any message for me?'	「私に何か遺言でも？」
'' `Only that the papers were in the back drawer of the Japanese cabinet.'	「ただ日本箪笥の後ろの曳出しに書類がある、――とそうおっしゃっただけでした」
``My friend ascended with the doctor to the chamber of death	僕と友人は博士と一しょに死体のある部屋に昇っていった。
while I remained in the study, turning the whole matter over and over in my head,	その間私は書斎に残ってこの事件のすべてを、繰り返し繰り返し頭の中で考えてみた。
and feeling as sombre as ever I had done in my life.	そして私は、自分自身のことのように厳粛な気持ちになった。
What was the past of this Trevor,	――このトレヴォの過去にして来たこと
pugilist, traveller, and gold-digger,	――拳闘家、旅行家、金の採掘者。
and how had he placed himself in the power of this acid-faced seaman?	――そしていかなる理由でこの不快なる船乗りの手にかかるようなことになったか？
Why, too, should he faint at an allusion to the half-effaced initials upon his arm	――また、なぜ彼は、半分ほど消しかけた、彼の腕の頭文字を見つけ出されて、気を失ったのか？
and die of fright when he had a letter from Fordingham?	そうしてどうしてフォーデングブリッジから来た手紙を受け取って、驚きの余り死んでしまったのか？
Then I remembered that Fordingham was in Hampshire,	――その時私は、フォーデングブリッジと云うのはハンプシャイアにあることを思い出した。
and that this Mr. Beddoes, whom the seaman had gone to visit and presumably to blackmail, had also been mentioned as living in Hampshire.	そしてまた、このベドウス氏と云う、例の船乗りが、おそらくはユスルのであろうが、訪ねて行くと云っていた人も、またハンプシャイアに住んでいると云ってたらしいことを思い出した。
The letter, then, might either come from Hudson, the seaman,	とすれば、その手紙は船乗りのハドソンから来たものと推測出来た。
saying that he had betrayed the guilty secret which appeared to exist,	何か犯罪的秘密を密告するぞと何とかと云うようなことを云って
or it might come from Beddoes, warning an old confederate that such a betrayal was imminent.	――で、なければあるいは、ベドウスから、密告が最近される、と云うことを昔の仕事仲間に警告して来たのに相違ないのだ。
So far it seemed clear enough.	そこまでは充分明かになった。
But then how could this letter be trivial and grotesque, as described by the son?	けれどもその手紙が、トレヴォの息子が話したように、つまらないことで、奇怪な文句だと云うのはどうしたことなのだろう？
He must have misread it.	彼の読み違いではないかしら？
If so, it must have been one of those ingenious secret codes which mean one thing while they seem to mean another.	もしそうだとすれば、その手紙は、何か他のことを意味しているように見えても、実はただ一つの事しか意味していない秘密の暗号の一つであるかもしれないのだ。
I must see this letter.	――その手紙を見なくてはならない。
If there was a hidden meaning in it, I was confident that I could pluck it forth.	もしその手紙の中にかくされた意味があるなら、僕はそれをつかみ出すことが出来る確信があった。
For an hour I sat pondering over it in the gloom,	そうしてそれから一時間の間、僕は薄暗（うすやみ）の中に考えながら坐っていた。
until at last a weeping maid brought in a lamp,	やがて一人の女中が泣きながらランプを持って来た。
and close at her heels came my friend Trevor, pale but composed, with these very papers which lie upon my knee held in his grasp.	そしてその女中と入れ交（ちが）いに、友達のトレヴォは真蒼な顔色をして、しかし落ついて、今、君が膝の上にのせているその書類をつかんでやって来た。
He sat down opposite to me,	彼は僕と向い合って腰をおろした。
drew the lamp to the edge of the table, and handed me a short note scribbled, as you see, upon a single sheet of gray paper.	そしてテエブルの端のほうへランプを引き寄せて、僕に、君が見ている、その灰色の半截紙に書いてある短い手記を手渡した。
`The supply of game for London is going steadily up,'	――ロンドンにおける計画の準備は着々進行しつつあり。
it ran.	主任看視者ハドソンは、蠅捕紙と貴下の雄鳥（おす）の雉の命を保管するための命令を受けたることを信ず。
`Head-keeper Hudson, we believe, has been now told to receive all orders for fly-paper and for preservation of your hen-pheasant's life.'	――それにはこう書いてあった。
``I daresay my face looked as bewildered as yours did just now when first I read this message.	実を云えばこれを初めて読んだ時、僕も、今君がしていると同じような、合点の行かなそうなまごついた顔をしたんだよ。
Then I reread it very carefully.	が、僕はよく気をつけてもう一度読み返したんだ。
It was evidently as I had thought, and some secret meaning must lie buried in this strange combination of words.	それはたしかに僕が考えたように、その文字のつながりに何か第二の意味が隠されているに相違なかったんだ。
Or could it be that there was a prearranged significance to such phrases as `fly-paper' and `hen-pheasant'?	でなければ、『蠅捕紙』だとか『雄鳥（おす）の雉』だとか云う字に、何か前からきめてある特別な意味があるのだろうか？
Such a meaning would be arbitrary and could not be deduced in any way.	だが、そう云う意味があったとしてもだね、そう云う意味はどんな風にでも勝手にきめられるもので、従ってどのみち想像するなんてことは出来ないものなんだ。
And yet I was loath to believe that this was the case,	その上僕はそう信じたくなかったんだ。
and the presence of the word Hudson seemed to show that the subject of the message was as I had guessed, and that it was from Beddoes rather than the sailor.	それからまた『ハドソン』と云う文字が現れている所から見て、その手紙の主意も、また、それを出したのはハドソンよりもむしろベドウスであると云うことも、分かるような気がした。
I tried it backward,	僕は逆に読んでいってみた。
but the combination `life pheasant's hen' was not encouraging.	けれども字のつながりが、『雄鳥（おす）の雉の命』と云う所でつかえてしまった。
Then I tried alternate words,	次に一つおきに読んでみた。
but neither `the of for' nor `supply game London' promised to throw any light upon it.	けれどもそれでもやはりなんの光明も見えなかった。
``And then in an instant the key of the riddle was in my hands,	と、その瞬間、この謎をとく鍵を、ふと僕は握った。
and I saw that every third word, beginning with the first, would give a message which might well drive old Trevor to despair.	私は二つおきに読んでいった所、その手紙がトレヴォ氏を失望に追い込んだ理由がはっきり分かった。
``It was short and terse, the warning, as I now read it to my companion:	それは短い簡単な警告文で、僕が友人に読んでやった次のようなものだった。
```The game is up.	「計画はなされたり。
Hudson has told all.	ハドソンはすべてを予告せり。
Fly for your life.'	逃亡せられよ」
``Victor Trevor sank his face into his shaking hands.	ヴクトウ・トレヴォは両手の中に顔を埋めた。
`It must be that, I suppose,'	「それに相違ないと、僕は思うよ」
said he.	彼は云った。
`This is worse than death,	「それは死よりももっと恐ろしいことだ。
for it means disgrace as well.	なぜならそれは恥辱に等しいからね。
But what is the meaning of these'' headkeepers ``and'' hen-pheasants ``?'	だがしかし、これらの『主任看視人』だの『雄鳥（おす）の雉』だのって云うのは何の意味だろう？」
```It means nothing to the message,	「それはこの手紙では何の意味も持っていないね。
but it might mean a good deal to us if we had no other means of discovering the sender.	けれども、もし僕たちが、この手紙以外に、この手紙の差出人をさがすよい方法がないものとすれば、それらの文句はかなりいろいろな意味を持っているよ。
You see that he has begun by writing'' The... game... is, ``and so on.	――この手紙は『計画は……なされたり……』とそう云う風に書き出されているだろう。
Afterwards he had, to fulfil the prearranged cipher, to fill in any two words in each space.	そう云う風にさきに書いといて、あらかじめ定めてあった暗号通りに、そのあいた所へ意味の通じるような適当な文字を二字ずつあてはめたんだね。
He would naturally use the first words which came to his mind,	その時は、心に浮んだ最初の文字を自然に使ったんだ。
and if there were so many which referred to sport among them, you may be tolerably sure that he is either an ardent shot or interested in breeding.	ところが、そこには猟に関係した言葉がずいぶんたくさんあるのを見ると、この人はかなり熱心な銃猟家で、鳥を飼うことに趣味を持ってる男だと云うことが分かるだろう。
Do you know anything of this Beddoes?'	――君は何かこのベドウスと云う人について知ってるのかね？」
```Why, now that you mention it,'	「なるほど、君の云う通りだ」
said he,	と、彼は云った。
`I remember that my poor father used to have an invitation from him to shoot over his preserves every autumn.'	「秋になると、死んだ親じは、ベドウスから彼の地所で猟をするように招待状を貰うのが常だったことを、僕は覚えているよ」
```Then it is undoubtedly from him that the note comes,'	「それで、この手紙は、彼から来たものであることが、いよいよ疑いなくなった」
said I.	僕は云った。
`It only remains for us to find out what this secret was which the sailor Hudson seems to have held over the heads of these two wealthy and respected men.'	「そこで、僕たちに残されたことは、この船乗りのハドソンが、このお金持ちの尊敬すべき二人の男の頭を押さえているように見える所の、その秘密は何かをさがし出すことだけだ」
```Alas, Holmes,	「ああ、ホームズ。
I fear that it is one of sin and shame!'	――僕はそうすることは、一種の罪悪であり、また恥辱じゃないかと思うんだよ」
cried my friend.	僕の友達は叫んだ。
`But from you I shall have no secrets.	「しかし、僕は君に何もかくし立てしようとは思わない。
Here is the statement which was drawn up by my father when he knew that the danger from Hudson had become imminent.	――実は、ここに僕の父親が、ハドソンが自分の身に危害を加えそうになっていることが分かった時、自分で書いた陳述書があるんだよ。
I found it in the Japanese cabinet, as he told the doctor.	僕はそれを、親じが医者に遺言した通り、日本箪笥の中から見つけ出したんだが。
Take it and read it to me,	――それを僕に読んできかせてくれたまえ。
for I have neither the strength nor the courage to do it myself.'	僕には自分で読むだけの力も勇気もないんだ」
``These are the very papers, Watson,	ワトソン、それがつまりこれらの書類なんだよ。
which he handed to me,	その時彼が僕に手渡したのが。
and I will read them to you, as I read them in the old study that night to him.	――僕は今ちょうど君にここで読んできかせるように、その夜は、その古い書斎で僕の友達に読んできかせたものなんだ。
They are endorsed outside, as you see,	それには君が見られる通り
`Some particulars of the voyage of the bark Gloria Scott, from her leaving Falmouth on the 8th October, 1855, to her destruction in N. Lat. 15 degrees 20'. W. Long. 25 degrees 14', on Nov. 6th.'	――一八五五年十月八日、ファルマウスを出帆せる帆船グロリア・スコット号が、北緯［＃「緯」は底本では「偉」］十五度二十分、西経［＃「経」は底本では「径f」］二十五度十四分の海上において、十二月の六日、壊滅するまでの航海中のある出来事。
It is in the form of a letter, and runs in this way.	そしてそれは手紙風に書き出されているんだ。
``' My dear, dear son,	――私の可愛い可愛い子供。
ow that approaching disgrace begins to darken the closing years of my life,	今や、忍び寄りつつある不幸が、私のいくばくもない晩年を暗くし始めた。
I can write with all truth and honesty that it is not the terror of the law, it is not the loss of my position in the county, nor is it my fall in the eyes of all who have known me, which cuts me to the heart;	私は現在、私の心を一番痛めていることは、決して法律的な制裁を受ける恐怖でもなく、この地方における私の位置を失うことでもなく、また、私を知っているすべての人の目に、私の没落を見られるがためでもなく、
but it is the thought that you should come to blush for me -- you who love me and who have seldom, I hope, had reason to do other than respect me.	ただ、私を愛し私を尊敬するより外には何も知らなかったお前を、恥ずかしさの余り顔を赤らめさせなくてはならない事だと云うことを、正直に嘘偽りでなく云うことが出来る。
But if the blow falls which is forever hanging over me, then I should wish you to read this, that you may know straight from me how far I have been to blame.	けれどもやがて私の頭上にかかっているこの危険が、本当に私の身に落ちて来たならば、お前はこの手紙を読んで、そしてありのままの私は、決してそんな破簾恥（はれんち）な男ではなかったことを知ってくれるだろう。
On the other hand, if all should go well	がまたその反対に、もしすべてのことがうまく無事に過ぎ去るようだったにしても、
( which may kind God Almighty grant! ),	――おお、全能の神様よ、願わくばかくあらんことを！
then, if by any chance this paper should be still undestroyed and should fall into your hands,	――その時はその時で、この手紙を破らずにしまっておけば、やはりいつかはお前の手に落ちてお前に読んでもらえるだろう。
I conjure you, by all you hold sacred, by the memory of your dear mother, and by the love which has been between us, to hurl it into the fire and to never give one thought to it again.	そうしたら私はお前の愛にすがって懇願する、お前の懐かしいお母さんを思い出して、そしてまた私とお前との間の愛を思い出して、どうか私を許し、これを火にくべてしまって、もう二度と再びこんなことは考えないことにしようではないか。
``' If then your eye goes on to read this line, I know that I shall already have been exposed and dragged from my home, or, as is more likely,	私はよく知っている。
for you know that my heart is weak,	でなければ、
be lying with my tongue sealed forever in death.	――だまって死んでいってしまうほうがよかったのだと云うことを。
In either case the time for suppression is past,	けれどもいずれにしても、もう隠しているべき［＃「いるべき」は底本では「いべき」］時ではないのだ。
and every word which I tell you is the naked truth,	私は少しもかくすことなく正直に話そう。
and this I swear as I hope for mercy.	そして許しを乞おう。
```My name, dear lad, is not Trevor.	私の可愛い子供よ。
I was James Armitage in my younger days,	私は若い頃には、ジェームス・アーミテージ［＃「アーミテージ」は底本では「アノミテージ」］と云ったのだ。
and you can understand now the shock that it was to me a few weeks ago when your college friend addressed me in words which seemed to imply that he had surprised my secret.	こう云えばお前は三四週間前、お前の学校友達が、私のこの秘密を嗅ぎつけたようなことを云った時、私がひどく呼吸（いき）づまらせられた理由が分かるだろう。
As Armitage it was that I entered a London banking-house, and as Armitage I was convicted of breaking my country's laws, and was sentenced to transportation.	私はアーミテージと云う名でロンドンの銀行に這入っている時、国法を犯して罪せられ、流刑を云い渡されたことがあるのだ。
Do not think very harshly of me, laddie.	可愛いいお前よ、私を余りひどい奴だと思わないでおくれ。
It was a debt of honour, so called, which I had to pay,	それはいわゆる、私が支払わなければならない信用借金の問題だったのだ。
and I used money which was not my own to do it, in the certainty that I could replace it before there could be any possibility of its being missed.	私は私自身のものでないお金を使ったのだけれど、私は確かにそれを見つかる前に返しておけるはずだったから、それがなくなったなどと怪まれるようなことはないつもりだったのだ。
But the most dreadful ill-luck pursued me.	ところが、実に恐ろしい不幸が私を見舞ったのだ。
The money which I had reckoned upon never came to hand,	私の使ったお金は回収出来なかった。
and a premature examination of accounts exposed my deficit.	そして会計検査の結果、私の使い込んだ不足額は暴露されてしまった。
The case might have been dealt leniently with, but the laws were more harshly administered thirty years ago than now, and on my twenty-third birthday I found myself chained as a felon with thirty-seven other convicts in the'tween-decks of the bark Gloria Scott, bound for Australia.	がしかし事件は寛大に討議されたのだったけれど、今から三十年前の法律は、今日より遥かに惨刻（ざんこく）なもので、私は廿三（にじゅうさん）才の誕生日の日、重罪犯人として捕縛され、他の三十七人の罪人と一しょにグロリア・スコット号にのせられてオーストラリア［＃「オーストラリア」は底本では「オーストリア」］に送られることになったのだ。
```It was the year' 55, when the Crimean War was at its height, and the old convict ships had been largely used as transports in the Black Sea.	それはクリミヤ戦争が最高頂に達した年のことで、古くから使っていた罪人船は、黒海で運送船として使用されていたのであった。
The government was compelled, therefore, to use smaller and less suitable vessels for sending out their prisoners.	で、政府ではそのため、それらの罪人を送るには余り適当でない、小さな船を使わなくてはならなかったのだ。
The Gloria Scott had been in the Chinese tea-trade, but she was an old-fashioned, heavy-bowed, broad-beamed craft, and the new clippers had cut her out.	そのグロリア・スコット号と云うのは、支那茶の取引きに使われていた船だったのだけれど、古い型で船足がのろくて、広い船梁を使用した船だったので、新しい速い船が、彼女をその仕事から追い出してしまったものであった。
She was a five-hundred-ton boat;	それは五百噸（とん）の船で
and besides her thirty-eight jail-birds, she carried twenty-six of a crew, eighteen soldiers, a captain, three mates, a doctor, a chaplain, and four warders.	廿六人の水夫、十八人の兵士、一人の船長、三人の助手、医者が一人、牧師が一人、それから番兵が四人、
Nearly a hundred souls were in her, all told, when we set sail from Faltnouth.	――つまりつごう百人ばかりのものが、ファルマウスから出帆した時、その船に乗っていたのだと云う話だった。
``' The partitions between the cells of the convicts instead of being of thick oak, as is usual in convict-ships, were quite thin and frail.	罪人の入っている部屋と部屋との間のしきりは、普通罪人船で使われている様な、厚い樫の木の代りに、薄いもろい物だった。
The man next to me, upon the aft side, was one whom I had particularly noticed when we were led down the quay.	わたしの後側の部屋にいる男を、私は埠頭に引き出された時に、はっきり見ることが出来た。
He was a young man with a clear, hairless face, a long, thin nose, and rather nut-cracker jaws.	その男は、すべすべした顔の、鼻の細長い、そうして胡桃割（くるみわ）りの様な口をした若い男であった。
He carried his head very jauntily in the air,	彼は愉快げにそり返って意気揚々として歩いていた。
had a swaggering style of walking, and was above all else, remarkable for his extraordinary height.	そうして背が非常に高かったので、あたりの人より頭だけが突き出ていた。
I don't think any of our heads would have come up to his shoulder,	私は、私達の誰もが、彼の肩まであろうとは思えなかった。
and I am sure that he could not have measured less than six and a half feet.	彼は慥（たし）かに六呎（フィート）半より短かいことはなさそうだった。
It was strange among so many sad and weary faces to see one which was full of energy and resolution.	たくさんの悲しそうな、弱々しい顔の間に、そんな精力と決心に満ちた顔を見て不思議な気がした。
The sight of it was to me like a fire in a snowstorm.	私にはそれが吹雪の夜に、灯（ひ）を見出した時の様に思われた。
I was glad, then, to find that he was my neighbour,	私は彼が私の隣に来ていると云うことを、見つけた時、うれしかった。
and gladder still when, in the dead of the night, I heard a whisper close to my ear and found that he had managed to cut an opening in the board which separated us.	そうして更にうれしかったことは、真夜中に私の耳近くにささやきの声をきき、そうして私達の間を隔ててあった板に穴を彼があけたことを見つけたときであった。
``''' Hullo, chummy! ``	「おい、君。
said he,''	君はなんと云うんだい？
what's your name, and what are you here for?	どうしてここへ来たんだい？」
``' I answered him,	私は彼に話した。
and asked in turn who I was talking with.	そうして反対に彼が誰であるかを聞いた。
``''' I'm Jack Prendergast, ``	「おれは、ジャック・プレンダーガストだ」
said he,''	と彼は云った。
and by God! you'll learn to bless my name before you've done with me. ``	「たぶん、君は前におれの名前をきいていただろう」
``' I remembered hearing of his case,	私は彼の事件をきいてしっていた。
for it was one which had made an immense sensation throughout the country some time before my own arrest.	何故（なにゆえ）なら、私が収監される少し前に、その事件は国内に大きなセンセイションを起こしたものだった。
He was a man of good family and of great ability,	彼は財産のある、よい家庭に人となった男であった。
but of incurably vicious habits, who had by an ingenious system of fraud obtained huge sums of money from the leading London merchants.	しかも放埒な性質のため、巧（たくみ）な詐欺手段で有名なロンドンの商人から、莫大なお金を取ったのだった。
``''' Ha, ha!	「よしよし。
You remember my case! ``	君は俺の事件をしっているな？」
said he proudly.	彼は自慢そうに云った。
``''' Very well `, indeed. ``	「ええよく知っていますよ」
''' ``Then maybe you remember something queer about it?''	「じゃア、君はその事件で何か不思議なことのあったのを、覚えているだろう」
``''' What was that, then? ``	「さあ、何でしたっけね？」
'' ' ``I'd had nearly a quarter of a million, hadn't I?''	「俺は二十五万両ばかり取ったんだ」
``''' So it was said. ``	「そんな話でしたね」
'' ' ``But none was recovered,	「しかしちっとも、取戻されなかったんだぜ。
eh?''	え？」
``''' No. ``	「知りませんでした」
'' ' ``Well,	「そうだろう。
where d'ye suppose the balance is?''	君はそれはどこにあると思う」
he asked.	と、彼は云った。
``''' I have no idea, ``	「わかりませんね」
said I.	と私は答えた。
'' ' ``Right between my finger and thumb,''	「ちゃんと俺れの手の中にあるのさ」
he cried.	と彼は叫けんだ。
``By God! I've got mare pounds to my name than you've hairs on your head.	「俺は、君が君の頭の上に持っているものよりも、もっとたくさんのお金を持っていて、
And if you've money, my son, and know how to handle it and spread it, you can do anything.	それの使い方と、撒き方とを知っているなら、君はどんなことでも出来るよ。
Now, you don't think it likely that a man who could do anything is going to wear his breeches out sitting in the stinking hold of a rat-gutted beetle-ridden, mouldy old coffin of a Chin China coaster.	とすれば、どんなことでも出来る人間が、支那の海岸を廻って歩く、こわれかかった、古ぼけた、ねずみや船虫の棲家になっているこの厭な臭いのする船の中に、とじ込められて辛棒（しんぼう）しているなんてことが、考えられるかい。
No, sir, such a man will look after himself and will look after his chums.	そう云う人間は自分自身のことも、考えるだろうし、それから自分の友だちのことも考える。
You may lay to that!	君はそう云うことの出来る人間だろう。
You hold on to him,	君は彼の運命を握っているんだ。
and you may kiss the Book that he'll haul you through.''	そうして彼は、君をここから引っぱり出すと云うことを、神様に誓っているんだ」
``' That was his style of talk,	これが彼の話し振りだった。
and at first I thought it meant nothing;	始めのうち私は、それを無意味なものだと思っていた。
but after a while, when he had tested me and sworn me in with all possible solemnity, he let me understand that there really was a plot to gain command of the vessel.	がしかし、しばらくたって彼が私をためしてみ、そうして出来るだけ厳粛に私に誓ったとき、私はこの船の支配権を得ようとしている企（くわだて）のあることを知らされた。
A dozen of the prisoners had hatched it before they came aboard,	十二人の罪人達は彼等が船に乗り込む前に、ひそかにそれを企ていたのであった。
Prendergast was the leader,	プレンダーガストはその発起人であった。
and his money was the motive power.	そして彼のお金が、それを引き起こした原動力なのだった。
``''' I'd a partner, ``	「俺は一人の仲間を持っているんだ」
said he,''	と彼は云った。
a rare good man, as true as a stock to a barrel.	「その男は珍らしい真面目な男で、充分まいてあるゼンマイのように正確な男なんだ。
He's got the dibbs, he has, and where do you think he is at this moment?	その男が謀（はかりごと）をめぐらしているんだが、君はこの瞬間、その男がどこにいると思うかね？
Why, he's the chaplain of this ship	――その男と云うのは、外（ほか）でもない、この船の牧師さ。
-- the chaplain, no less!	――牧師、その人なんだよ。
He came aboard with a black coat, and his papers right,	奴は黒い僧服をまとって、堂々とこの船に乗りこんだ。
and money enough in his box to buy the thing right up from keel to main-truck.	奴はポケットの中に、この船の大帆柱から竜骨まで、すべて何から何まで買い占められるだけの充分なお金を持ってるんだ。
The crew are his, body and soul.	それから水夫達はみんな奴の五体や精神なんだ。
He could buy ' em at so much a gross with a cash discount, and he did it before ever they signed on.	奴は水夫達を、成功謝礼附きの莫大な現金で買収しちまったのさ。
He's got two of the warders and Mereer, the second mate,	それからまた二人の番兵も、二等運転手のマーサーも手なずけられてる仲間なんだ。
and he'd get the captain himself, if he thought him worth it. ``	だから奴は、なりたいと思えば船長になれるんだ」
``''' What are we to do, then? ``	「それで私たちは何をしたらいいんですか？」
I asked.	私はきいた。
'' ' ``What do you think?''	「何をしようと君は思うね？」
said he.	彼は云った。
``We'll make the coats of some of these soldiers redder than ever the tailor did.''	「この船に乗ってる兵隊の服を、服屋がこしらえたより、もっと真赤に染めてやろうじゃねえか」
``''' But they are armed, ``	「だが、あいつ等は武装してますよ」
said I.	私は云った。
'' ' ``And so shall we be,	「それなら俺たちも武装するまでさ。
There's a brace of pistols for every mother's son of us;	――俺たち仲間のめいめいにピストルが二挺ずつ［＃「ずつ」は底本では「つず」］ちゃんと用意してあるんだ。
and if we can't carry this ship, with the crew at our back, it's time we were all sent to a young misses' boarding-school.	だからよ、その上、俺たちの後だてにそれだけの仲間があって、この船を俺たちのものに出来ねえようなら、みんな尼さんの学校へでもいっちまうといいんだ。
You speak to your mate upon the left to-night,	――君は今夜、君の左側の隣の奴に話してくれねえか。
and see if he is to be trusted.''	そして其奴（そやつ）が信用のおける奴かどうか見といてくれ」
``' I did so	私は云われる通りにした。
and found my other neighbour to be a young fellow in much the same position as myself,　whose crime had been forgery.	私の隣のその男と云うのは、私と同じような運命で、偽書罪に問われた若い男であった。
His name was Evans,	彼の名前はエヴァンスであった。
but he afterwards changed it, like myself,	がしかし後になって私と同じように変名した。
and he is now a rich and prosperous man in the south of England.	そうして彼は今では南部イギリスで、金満家になっている。
He was ready enough to join the conspiracy,	――無論彼は喜んでその共謀に加わった。
as the only means of saving ourselves,	私たちが私たち自身を救う方法はただそれ一つだったのだから。
and before we had crossed the bay there were only two of the prisoners who were not in the secret.	こうして私たちは海峡を越えないうちに、ほとんど全部は結束してしまって、ただ二人だけその陰謀に加わらないものがあっただけだった。
One of these was of weak mind, and we did not dare to trust him, and the other was suffering from jaundice and could not be of any use to us.	そのうちの一人は意志の弱い男で、到底私たちがその男を信用することが出来なかったのだし、もう一人の男は黄疸を病んでいて、私たちの役に立たなかったのであった。
``' From the beginning there was really nothing to prevent us from taking possession of the ship.	かくして最初から、その船の乗っとり策は、何一つ支障を来たすことはなかった。
The crew were a set of ruffians, specially picked for the job.	水夫たちは、その仕事のために特別に選抜されて来たような無頼漢の一群（ひとむれ）である。
The sham chaplain came into our cells to exhort us, carrying a black bag, supposed to be full of tracts,	そして偽牧師は、武器を一ぱいつめてあるらしい黒い袋を持っては、私たちをはげましにやって来た。
