SILVER BLAZE	白銀の失踪
``The inspector here has done all that could possibly be suggested, but I wish to leave no stone unturned in trying to avenge poor Straker and in recovering my horse.''	「ここにおいでの警部殿も出来るだけの手をつくして下すっていますが、気の毒なストレーカの復讐のため、かつは馬を取戻すためには草の根を分け石を起し、あらゆることをやってみたいと思って、それであなたの御出張をお願いいたした次第です」
``Have there been any fresh developments?''	「その後何か新発見でもおありでしたか？」
asked Holmes.	ホームズが訊ねた。
``I am sorry to say that we have made very little progress,''	「残念ながらほとんど進展してはいません」
said the inspector.	警部が引取って答えた。
``We have an open carriage outside, and as you would no doubt like to see the place before the light fails, we might talk it over as we drive.''	「出口に無蓋馬車の用意をして来ましたから、暗くならない中（うち）に、何より先きに現場をごらんになりたいでしょうから、委しいことは馬車の中で申し上げることにしましょう」
A minute later we were all seated in a comfortable landau and were rattling through the quaint old Devonshire city.	一分間の後、私たちは乗心地のよい回転馬車（ランドウ）に座を占めて、見馴れぬ古風なデヴォンシャの市を駆（かけ）らせていた。
Inspector Gregory was full of his case and poured out a stream of remarks,	グレゴリ警部は今度の事件で胸一杯だったと見え、話は後から後へと迸り出た。
while Holmes threw in an occasional question or interjection.	それに対してホームズは時々質問や間投詞を挟んだ。
Colonel Ross leaned back with his arms folded and his hat tilted over his eyes,	ロス大佐は腕を拱（こまね）いて反身（そりみ）に座席に身をもたせて、帽子を眼のあたりまですべらせ黙々として耳を傾けていた。
while I listened with interest to the dialogue of the two detectives.	私は二人の探偵の対話をいと興味深く聴いていた。
Gregory was formulating his theory, which was almost exactly what Holmes had foretold in the train.	グレゴリは自分の意見をも述べていたが、それは来がけの汽車の中でいったホームズの言葉とほとんど変らなかった。
``The net is drawn pretty close round Fitzroy Simpson,''	「フィツロイ・シムソンはそういうわけで、四囲の状況が非常に不利なわけです。
``and I believe myself that he is our man.	私一個としても彼が犯人であることを信じています。
At the same time I recognize that the evidence is purely circumstantial, and that some new development may upset it.''	同時に、その証拠が全く情況証拠ばかりですから、何か新事実が現われればいつでもこの嫌疑は覆えされるものであるということも認めなければなりませんが」
``How about Straker's knife?''	「ストレーカのナイフについてのお考えは？」
``We have quite come to the conclusion that he wounded himself in his fall.''	「あれはストレーカが倒れる時、自分で自分を傷つけたための血痕だと決定しました。」
``My friend Dr. Watson made that suggestion to me as we came down.	「ワトソン君も来る途中で、そうじゃないかしらといっていましたが、
If so, it would tell against this man Simpson.''	それが事実だとすると、シムソンにとっては不利な材料になるわけですね」
``Undoubtedly.	「その通りです。
He has neither a knife nor any sign of a wound.	シムソンはナイフも持っていなければ、身体に傷一つなかったです。
The evidence against him is certainly very strong.	彼に対しては極めて有力な不利な証拠があります。
He had a great interest in the disappearance of the favourite.	第一に白銀の消失は彼に莫大な利益をもたらします。
He lies under suspicion of having poisoned the stable-boy;	彼には厩番のハンタに薬を盛った嫌疑があります。
he was undoubtedly out in the storm;	同夜雨が降り出してから屋外にいたことも争われぬ事実です。
he was armed with a heavy stick,	兇器としては太いステッキを持っていました。
and his cravat was found in the dead man's hand.	そして最後に、死人が彼の襟飾（ネクタイ）を掴んでいました。
I really think we have enough to go before a jury.''	これだけ材料があれば、十分陪審員たちを承伏させることが出来るに違いありません」
Holmes shook his head.	ホームズは首を傾げて、
``A clever counsel would tear it all to rags,''	「上手な弁護士にかかったらそれくらいのことは難なく論破されてしまうでしょうね。
``Why should he take the horse out of the stable?	シムソンはなぜ白銀を厩舎の外へつれ出さなければならなかったんですか？
If he wished to injure it, why could he not do it there?	傷つけて競馬に出られなくしたければ厩舎の中でも出来ることじゃないですか？
Has a duplicate key been found in his possession?	捕えられた時、厩舎の合鍵を持っていましたか？
What chemist sold him the powdered opium?	阿片末を売り渡したのはどこの薬種商です？
Above all, where could he, a stranger to the district, hide a horse, and such a horse as this?	とりわけ土地不案内なシムソンが、馬のような大きなものを、しかもこうした有名な馬をどこへかくせるというんです？
What is his own explanation as to the paper which he wished the maid to give to the stable-boy?''	シムソンは女中に頼んで厩舎に届けさせようとした紙片（かみきれ）を何んだといってるんですか？」
``He says that it was a ten-pound note.	「十ポンドの紙幣だったといっています。
One was found in his purse.	そういえばポケットの中へ十ポンドの紙幣を一枚持っていました。
But your other difficulties are not so formidable as they seem.	しかし、あなたの仰しゃった反駁はそう有力なものとも思われませんね。
He is not a stranger to the district.	シムソンは土地不案内の者じゃないです。
He has twice lodged at Tavistock in the summer.	夏時分二度、タヴィストックに泊っていたことがあります。
The opium was probably brought from London.	阿片はおそらくロンドンから持って来たものでしょう。
The key, having served its purpose, would be hurled away.	合鍵は目的を達した上は、どこへかすててしまったものと考えられます。
The horse may be at the bottom of one of the pits or old mines upon the moor.''	馬はどこか荒地（あれち）の中の凹みか、廃坑の中に殺されているかもしれません」
``What does he say about the cravat?''	「襟飾（ネクタイ）のことはどう弁明していますか？」
``He acknowledges that it is his and declares that he had lost it.	「自分のものには相違ないけれど、遺失したのだといっています。
But a new element has been introduced into the case which may account for his leading the horse from the stable.''	しかし、シムソンが馬をつれ出したのだという新らしい事実が一つ発見されています」
Holmes pricked up his ears.	ホームズは急に聞耳を立てた。
``We have found traces which show that a party of gypsies encamped on Monday night within a mile of the spot where the murder took place.	「［＃「「」は底本では一文後にある］兇行のあった月曜の夜。
On Tuesday they were gone.	火曜日に出発してしまったのです。
Now, presuming that there was some understanding between Simpson and these gypsies, might he not have been leading the horse to them when he was overtaken, and may they not have him now?''	そこで、ジプシーとシムソンとの間にある了解があったものとすると、シムソンはジプシーのいるところまで馬をつれて行く途中をストレーカに追いつかれた、で、馬はいまジプシー達の手にあるのだと考えられなくもありますまい？」
``It is certainly possible.''	「たしかに有り得ないことではありませんね」
``The moor is being scoured for these gypsies.	「いまこのジプシーの行方を尋ねて荒地を捜索中です。
I have also examined every stable and outhouse in Tavistock, and for a radius of ten miles.''	同時にタヴィストックを中心に、十哩の円を描いてその中にある厩という厩、小舎という小舎をことごとく調べました」
``There is another training-stable quite close, I understand?''	「すぐ附近にも一つ調馬場があるということでしたね？」
``Yes,	「あります。
and that is a factor which we must certainly not neglect.	その調馬場も見逃してはならないものの一つです。
As Desborough, their horse, was second in the betting, they had an interest in the disappearance of the favourite.	そこにいるデスボロという馬は第二の人気馬なんですから、白銀が失踪すれば非常な利益を得るわけです。
Silas Brown, the trainer, is known to have had large bets upon the event, and he was no friend to poor Straker.	そこの調馬師のサイラス・ブラウンという男は自分の方の馬に大金を賭けているということですが、死んだストレーカとも仲がよくなかったともいいます。
We have, however, examined the stables, and there is nothing to connect him with the affair.''	で、一応その厩舎をも調べてはみましたが、この事件に関係のありそうなものは何一つ見付かりませんでした。」
``And nothing to connect this man Simpson with the interests of the Mapleton stables?''	「そのケープルトンの調馬師の利害とシムソンと何か関係はないんですか？」
``Nothing at all.''	「全然ありません」
Holmes leaned back in the carriage,	ホームズは後方へ寄りかかった。
and the conversation ceased.	そして話はそれ切りきれてしまった。
A few minutes later our driver pulled up at a neat little red-brick villa with overhanging eaves which stood by the road.	その間も馬車はとめどなく駈けていたが、まもなく道路に面して立っている軒の長くつき出た小じんまりとした赤煉瓦の別荘風の家の前へ停められた。
Some distance off, across a paddock, lay a long gray-tiled outbuilding.	少し離れて調馬場があり、その向うには灰色の屋根を持った建物――厩舎が見えていた。
In every other direction the low curves of the moor, bronze-coloured from the fading ferns, stretched away to the sky-line, broken only by the steeples of Tavistock, and by a cluster of houses away to the westward which marked the Mapleton stables.	どっちを見ても枯れ羊歯で、ブロンズに色づけられた荒地（こうち）がゆるやかな起伏をなして地平線の果てまでつづき、眼を遮ぎるものとてはただタヴィストックの教会の尖塔と、ケープルトンの調馬場だけだという家々が遥か西の方に群がっているのみである。
We all sprang out with the exception of Holmes, who continued to lean back with his eyes fixed upon the sky in front of him, entirely absorbed in his own thoughts.	私達は馬車から飛び降りたが、ホームズだけは依然として前方の空を見つめたまま降りようともせず、座席に身を埋（うず）めてじっと深く瞑想に耽っていた。
It was only when I touched his arm that he roused himself with a violent start and stepped out of the carriage.	私が腕をゆすぶって注意すると、やっと気がついて慌てて飛び降りて、
``Excuse me,''	「御免下さい」
said he, turning to Colonel Ross, who had looked at him in some surprise.	と、呆気にとられて顔を見つめていたロス大佐に向って、
``I was day-dreaming.''	「白昼夢を見ていたもんですからつい」
There was a gleam in his eyes and a suppressed excitement in his manner which convinced me, used as I was to his ways,	彼の性癖をよく知っている私には、それを見て、たしかにある手懸りを得たのだということが分った。
that his hand was upon a clue, though I could not imagine where he had found it.	ただし、その手懸りが果して何んであるかはさっぱり見当はつかなかったけれど。
``Perhaps you would prefer at once to go on to the scene of the crime, Mr. Holmes?''	「ホームズさん、すぐに兇行の現場へいらっしゃるんでしょうね？」
said Gregory.	グレゴリ警部が訊ねた。
``I think that I should prefer to stay here a little and go into one or two questions of detail.	「いや、それよりもしばらくここにいて二三の細目について訊ねたいと思います。
Straker was brought back here, I presume?''	ストレーカの死体はいったんここへつれて帰ったんでしょうね？」
``Yes,	「そうです。
he lies upstairs.	まだ二階に置いてあります。
The inquest is to-morrow.''	検死は明白ですから」
``He has been in your service some years, Colonel Ross?''	「ストレーカは永年あなたのところに働いていたんですか、ロスさん？」
``I have always found him an excellent servant.''	「はい、いつもよく働いてくれました」
``I presume that you made an inventory of what he had in his pockets at the time of his death, Inspector?''	「警部さん、ストレーカの死体のポケットに何が入っていたか、お調べだったでしょうね？」
``I have the things themselves in the sitting-room if you would care to see them.''	「ごらんになるなら居間の方に全部まとめてありますから」
``I should be very glad.''	「ぜひ見せていただきたいものです」［＃空白は底本では「「」］
We all filed into the front room and sat round the central table	私達一同は表の間へ通って、中央のテーブルを囲んでそれぞれ席についた。
while the inspector unlocked a square tin box and laid a small heap of things before us.	すると、グレゴリ警部は四角い小さなブリキの函（はこ）を取出し、鍵で蓋をとっていろいろな品物を私達の前へ並べてみせた。
There was a box of vestas, two inches of tallow candle, an A D P brier-root pipe, a pouch of sealskin with half an ounce of long-cut Cavendish, a silver watch with a gold chain, five sovereigns in gold, an aluminum pencil-case, a few papers, and an ivory-handled knife with a very delicate, inflexible blade marked Weiss & Co., London.	蝋マッチが一箱、二吋（インチ）ほどの獣脂蝋燭が一つ、Ａ・Ｄ・印のブライヤのパイプに長刻みのカヴェンデッシュ煙草を半オンスばかりつめた海豹（いるか）皮の煙草入れ、金鎖のついた銀時計、金貨で五ソヴリン、アルミニュウムの鉛筆さし、書附二三通、『ロンドン、ワイス会社製』と刻印された非常に細く鋭い、それでいて曲りにくい刄を持った象牙柄のナイフが一つ。［＃「。」は底本では「」」］
``This is a very singular knife,''	「これは非常に変ったナイフだ」
said Holmes, lifting it up and examining it minutely.	ホームズはナイフをとり上げて、うら返してじっと見ながらいった。
``I presume, as I see blood-stains upon it, that it is the one which was found in the dead man's grasp.	「血がついているようですが、ストレーカが握っていたというのはこれなんですか？
Watson, this knife is surely in your line?''	ワトソン君、このナイフはむしろ君の領分らしいね」
``It is what we call a cataract knife,''	「これは医者の方で白内障（そこひ）メスという奴だ」
``I thought so.	「そうだと思った。
A very delicate blade devised for very delicate work.	極めて緻密な仕事をするために、極めて尖鋭に作られているんだ。
A strange thing for a man to carry with him upon a rough expedition,	荒っぽい仕事をしに出て行った男が、こんなものを持っていたというのは不思議ですね。
especially as it would not shut in his pocket.''	殊にポケットにかくすわけにもゆかないこんなものを」
``The tip was guarded by a disc of cork which we found beside his body,''	「現に死体の傍に落ちていましたが、刄の先はコルクを当ててあったんです」
said the inspector.	警部がいった。
``His wife tells us that the knife had lain upon the dressing-table, and that he had picked it up as he left the room.	「妻君の話では、このナイフは前から化粧台の上に置いてあったのを、出がけにストレーカが握って行ったんだということです。
It was a poor weapon, but perhaps the best that he could lay his hands on at the moment.''	護身用としても、攻撃用としても貧弱なことは貧弱ですが、その時手近にあったもののうちでは、これが一番よかったんでしょう」
``Very possibly.	「そんなことでしょうね。
How about these papers?''	この書附はどうですか？」
``Three of them are receipted hay-dealers' accounts.	「その中（うち）三枚は乾草商人の清算書で、受取済になっています。
One of them is a letter of instructions from Colonel Ross.	一つはロス大佐からの命令の手紙で、
This other is a milliner's account for thirty-seven pounds fifteen made out by Madame Lesurier, of Bond Street, to William Derbyshire.	もう一枚残っているのはロンドンのボンド街のマダム・ルスリエという帽飾店から、ウィリアム・ダービシャ宛に出した、合計三十七ポンド十五シルの勘定書です。
Mrs. Straker tells us that Derbyshire was a friend of her husband's and that occasionally his letters were addressed here.''	ストレーカの妻君の話によれば、ダーヴィシャというのは夫の友達で、ここへもちょいちょいダーヴィシャ宛に手紙が来たということです」
``Madame Derbyshire had somewhat expensive tastes,''	「ダーヴィシャ夫人の帽子だとすると、夫人はなかなか贅沢家だな」
remarked Holmes, glancing down the account.	と、ホームズは勘定書を眺めながらいった。
``Twenty-two guineas is rather heavy for a single costume.	「一枚の着物に二十二ギンもかけるとは、ちと奢りすぎる。
However, there appears to be nothing more to learn, and we may now go down to the scene of the crime.''	しかし、これでここはもう済んだようですから、今度は兇行の現場を見せてもらいましょうか」
As we emerged from the sitting-room a woman, who had been waiting in the passage, took a step forward and laid her hand upon the inspector's sleeve.	居間からどやどやと出て行くと、廊下に一人の婦人が待ち構えていたのがつかつかと進んで来てグレゴリ警部の腕に手をかけた。
Her face was haggard and thin and eager, stamped with the print of a recent horror.	憔悴し切った顔に焦慮しているらしい胸の中（うち）をそのまま現わして、まだおどおどと恐ろしそうにしている。
``Have you got them?	「あの、捕まったんですか？」
``No, Mrs. Straker.	「いや、まだですよ奥さん。
But Mr. Holmes here has come from London to help us, and we shall do all that is possible.''	しかし、このホームズさんがロンドンからわざわざ加勢に来て下さいましたから、一同で出来るだけはやってみるつもりです」
``Surely I met you in Plymouth at a garden-party some little time ago, Mrs. Straker?''	「ああ、あなたにはいつぞやプリマスで園遊会の時お目にかかりましたね、ストレーカさん」
said Holmes.	と、ホームズはいった。
``No, sir;	「さあ、いいえ、
you are mistaken.''	それは何かのお間違いでございましょう」
``Dear me!	「おや、
Why, I could have sworn to it.	そうですかいやいやたしかにお目にかかりましたよ。
You wore a costume of dove-coloured silk with ostrich-feather trimming.''	あの時あなたは鳩色絹の服に駝鳥の羽根の飾りをつけて、来ていらしったじゃありませんか」
``I never had such a dress, sir,''	「いいえ、私はそんな服はもってはおりません」
``Ah, that quite settles it,''	「ああ、それでは間違いでした」
And with an apology he followed the inspector outside.	ホームズはちょっと失礼を詑びて、警部を追って外へ出た。
A short walk across the moor took us to the hollow in which the body had been found.	荒地（あれち）を通って少しばかり行くと、死体のあったという凹みへ出た。
At the brink of it was the furze-bush upon	凹みの縁（へり）にははりえにしだの藪が繁っていた。
which the coat had been hung.	そこへストレーカの外套はかかっていたのである。
``There was no wind that night, I understand,''	「その晩は風はありませんでしたね？」
said Holmes.	ホームズは訊ねた。
``None, but very heavy rain.''	「風はちっともありませんでしたが、雨はどしゃ降りでした」
``In that case the overcoat was not blown against the furze-bush, but placed there.''	「そうすると、外套は風に吹き上げられたんじゃなくて、誰かがそこへおいたんだということになりますね」
``Yes,	「そうです。
it was laid across the bush.''	灌木の上へちゃんとのせておいたものです」
``You fill me with interest.	「ふむ、面白いですね。
I perceive that the ground has been trampled up a good deal.	地面はひどく踏みにじられているようですが、
No doubt many feet have been here since Monday night.''	兇行以来いろんな人が歩き廻ったんでしょうね？」
``A piece of matting has been laid here at the side, and we have all stood upon that.''	「いいえ、ここんところへ莚（むしろ）を敷いて、みんなその上にいることにしました」
``Excellent.''	「そいつはよかったです」
``In this bag I have one of the boots which Straker wore, one of Fitzroy Simpson's shoes, and a cast horseshoe of Silver Blaze.''	「この鞄の中にストレーカの穿いていた靴を片っ方と、フィツロイ・シムソンのを一つと、それから白銀の蹄鉄の型を一つ持って来ました」
``My dear Inspector, you surpass yourself!''	「ほう！
Holmes took the bag, and, descending into the hollow, he pushed the matting into a more central position.	ホームズは鞄を受取って凹みの底へ降りて行き、莚を真中の方へやってその上に腹這いになり、
Then stretching himself upon his face and leaning his chin upon his hands, he made a careful study of the trampled mud in front of him.	両手に顎をのせて眼の前の踏みにじられた泥を注意深く研究していたが、
``Hullo!''	突然、
said he suddenly.	「や、や、これは何んだ？」
``What's this?''	と叫んだ。
It was a wax vesta, half burned, which was so coated with mud that it looked at first like a little chip of wood.	ホームズの発見したものは泥がついて、ちょっと見ると小さな木の枝か何かのように見えたが、蝋マッチの半分ばかり燃え残ったものであった。
``I cannot think how I came to overlook it,''	「はて、どうして私はそんなものを見落しましたかな」
said the inspector with an expression of annoyance.	と、警部は少し苦い顔をした。
``It was invisible, buried in the mud.	「泥に埋（うず）もれていたから分らなかったんですよ、
I only saw it because I was looking for it.''	私はこいつを探すつもりでいたから見つかったんです」
``What!	「えッ！
you expected to find it?''	初めからあるものと思って探しにかかったんですか？」
``I thought it not unlikely.''	「あってもいいはずだと思ったんです」
He took the boots from the bag and compared the impressions of each of them with marks upon the ground.	ホームズは鞄から靴を出して、それを泥の上の型に一つ一つ合せてみた。
Then he clambered up to the rim of the hollow and crawled about among the ferns and bushes.	それから凹みの縁（ふち）へ上って来て、羊歯や灌木の間をうろうろと這い廻った。
``I am afraid that there are no more tracks,''	「もう何んにもありゃしますまいよ」
said the inspector.	警部はその後姿を眼で追いながらいった。
``I have examined the ground very carefully for a hundred yards in each direction.''	「百ヤード四方は私が念入りに調べてみたんですからな」
``Indeed!''	「ですがね」
said Holmes, rising.	ホームズは起き上って、
``I should not have the impertinence to do it again after what you say.	「あなたがそうまで仰しゃるのを探し廻るのは失礼ですから止めましょう。
But I should like to take a little walk over the moor before it grows dark	その代り日が暮れるまでこの荒地（あれち）を少し散歩してみたいと思います。
that I may know my ground to-morrow,	そうすれば明日の調べには地理が分って好都合ですから。
and I think that I shall put this horseshoe into my pocket for luck.''	それからこの蹄鉄は幸運のお呪（まじな）いにポケットへ入れて行きましょう」
Colonel Ross, who had shown some signs of impatience at my companion's quiet and systematic method of work, glanced at his watch.	ロス大佐はさっきから、ホームズの組織的な調べ方にあきあきしていたらしく、この時時計を出してみていった。
``I wish you would come back with me, Inspector,''	「警部さんは私と一緒にお帰りを願いたいですな。
``There are several points on which I should like your advice,	あなたに御相談願いたいことがいろいろありますから。
and especially as to whether we do not owe it to the public to remove our horse's name from the entries for the cup.''	そして白銀の名を今度の競馬から取除いてもらうことが、公衆に対する義務ではないかと思うもんですからな」
``Certainly not,''	「その必要は絶対にありません」
cried Holmes with decision.	ホームズが傍からはっきりといい切った。
``I should let the name stand.''	「名前をそのままにしておくだけのことは必ず私がして上げます」
The colonel bowed.	大佐は一礼して、
``I am very glad to have had your opinion, sir,''	「そのお言葉を承わるのは非常に欣快です。
``You will find us at poor Straker's house when you have finished your walk,	私達はストレーカの家でお待ちしますから、散歩がおすみでしたらお帰り下さい。
and we can drive together into Tavistock.''	御一緒にタヴィストックへ馬車で帰りましょう」
He turned back with the inspector, while Holmes and I walked slowly across the moor.	大佐はグレゴリ警部と共に去り、ホームズと私とは荒地（あれち）の中を静かに歩いていた。
The sun was beginning to sink behind the stable of Mapleton, and the long sloping plain in front of us was tinged with gold, deepening into rich, ruddy browns where the faded ferns and brambles caught the evening light.	太陽はケープルトン調馬場の彼方に沈みかけて、眼前のゆるやかな傾斜を持つ平原は金色（きんしょく）に染まり、枯れ羊歯や茨のある部分は濃いばら色がかった褐色に燃えた。
But the glories of the landscape were all wasted upon my companion, who was sunk in the deepest thought.	が、深い思索に耽っているホームズにとっては、それ等の光景は何んでもなかった。
``It's this way, Watson,''	「我々のとるべき道はだね、ワトソン君」
said he at last.	しばらくして彼はいい出した。
``We may leave the question of who killed John Straker for the instant and confine ourselves to finding out what has become of the horse.	「ジョン・ストレーカは誰が殺したかの問題はしばらく措いて、馬はどうなったかを専ら考えてみよう。
Now, supposing that he broke away during or after the tragedy, where could he have gone to?	いま、馬は、ストレーカが殺されているうちまたは殺された後で逸走したものとすると、一体どこに逃げるだろう？
The horse is a very gregarious creature.	馬というものは非常に群集性の強い動物だ、
If left to himself his instincts would have been either to return to King's Pyland or go over to Mapleton.	だから、もし自由に放り出しておいたら本能的にキングス・パイランドへ帰るか、ケープルトンへ行くかするに違いない。
Why should he run wild upon the moor?	どうしてこの荒地（あれち）をうろついているものか！
He would surely have been seen by now.	それだったら今までにちゃんと発見されているに決まっている。
And why should gypsies kidnap him?	また、ジプシーがどうして馬を誘拐するものか、［＃「、」は底本では欠落］
These people always clear out when they hear of trouble, for they do not wish to be pestered by the police.	ジプシーというものは警察にいじめられるのを厭うから、何か事が起ったときけばすぐにその場所を引き払うものだ。
They could not hope to sell such a horse.	あんな名馬は売ろうたって売れもしない。
They would run a great risk and gain nothing by taking him.	だから馬をつれて逃げるなんてことは、非常な危険があるばかりで、何等利益がない。
Surely that is clear.''	これは間違いのないところだ」
``Where is he, then?''	「じゃ一体どこにいるんだろう？」
``I have already said that he must have gone to King's Pyland or to Mapleton.	「いまいった通り、キングス・パイランドへ帰ったか、ケープルトンへ行ったに違いない。
He is not at King's Pyland.	しかるにキングス・パイランドへは帰っていないんだから
Therefore he is at Mapleton.	ケープルトンへ行ったものに違いない。
Let us take that as a working hypothesis and see what it leads us to.	これを差当り実行的仮定として、それがどういうことになるか、研究してみよう。
This part of the moor, as the inspector remarked, is very hard and dry.	荒地（あれち）のうちでもこの辺は警部もいってるように極めて土地が固くて乾燥しているけれども、
But it falls away towards Mapleton, and you can see from here that there is a long hollow over yonder,	ケープルトンの方へ行くに従って低くなっていて、見たまえ、あそこに細長く凹（くぼ）んだところがある。
which must have been very wet on Monday night.	あの辺は兇行のあった月曜日の晩には、非常にぐしょぐしょだったに違いない。
If our supposition is correct, then the horse must have crossed that, and there is the point where we should look for his tracks.''	もし我々の想像が当ってるなら、馬はあそこを通っているはずだから、あそここそ足跡が残っている場所でなければならない。」
We had been walking briskly during this conversation, and a few more minutes brought us to the hollow in question.	ホームズがこう話す間、私達はすたすたとその方へ歩いて行ったが、二三分で問題の凹みのところまで来た。
At Holmes's request I walked down the bank to the right, and he to the left,	ホームズの要求によって私はその凹みの縁（ふち）を右の方へ辿って行き、ホームズ自身は左の方へ行った。
but I had not taken fifty paces before I heard him give a shout and saw him waving his hand to me.	が、五十歩と歩かぬうちにホームズが急に声を挙げたので振り返ってみると、来い来いをやってるので、
The track of a horse was plainly outlined in the soft earth in front of him,	行ってみると、そこの軟らかい土の上に馬蹄の跡が判然といくつもついていた。
and the shoe which he took from his pocket exactly fitted the impression.	ホームズがポケットから蹄鉄を出して当てがってみると、それがぴったり符合した。
``See the value of imagination,''	「想像力の有難味が分るだろう？
``It is the one quality which Gregory lacks.	グレゴリにはこの素質だけが欠けているんだ。
We imagined what might have happened, acted upon the supposition, and find ourselves justified.	我々が想像力を働かして事件を仮定し、その仮定に従って取調べの歩を進めた結果、その仮定の正しかったことを確めたんだ。
Let us proceed.''	さ、行ってみよう」
We crossed the marshy bottom and passed over a quarter of a mile of dry, hard turf.	私達はじめじめした凹地を越えて、乾いて固い草土を四分の一哩ばかり歩いて行った。
Again the ground sloped, and again we came on the tracks.	と、再び土地の傾斜しているところがあり、そこにも馬蹄の跡があった。
Then we lost them for half a mile, but only to pick them up once more quite close to Mapleton.	また半哩ばかり何んにもなくて、ケープルトンにかなり近くなってからまたまた発見された。
It was Holmes who saw them first, and he stood pointing with a look of triumph upon his face.	それを最初に発見したのはホームズであったが、彼は得意げにそれを指さして見せた。
A man's track was visible beside the horse's.	馬蹄の跡に並んで、男の靴あとが明らかに認められたのである。
``The horse was alone before,''	「これまでは馬だけだったのに！」
I cried.	私は思わずに走った。
``Quite so.	「その通りさ。
It was alone before.	今までは馬だけだったんだ。
Hullo, what is this?''	や、や、これはどうだ！」
The double track turned sharp off and took the direction of King's Pyland.	人と馬との足跡はそこで急に方向を転じて、キングス・パイランドの方へ向っていたのである。
Holmes whistled, and we both followed along after it.	ホームズは呻吟したが、そのままその足跡を追って新らしい方向へ歩き出した。
His eyes were on the trail, but I happened to look a little to one side and saw to my surprise the same tracks coming back again in the opposite direction.	そして、彼はじっと足跡ばかり見て歩いたが、私はふと横の方に眼をやってみると、驚いたことには、少し離れたところに同じ足跡が、再びケープルトンの方へ向っているのを発見した。
``One for you, Watson,''	私がそれを注意すると、ホームズは、
said Holmes when I pointed it out.	「ワトソン君、お手柄だ！
``You have saved us a long walk, which would have brought us back on our own traces.	おかげでうんと無駄足をふまされるのが助かった。
Let us follow the return track.''	さ、あの足跡を辿って進もう」
We had not to go far.	そこから先きはあまり歩かなくともよかった。
It ended at the paving of asphalt which led up to the gates of the Mapleton stables.	足跡はケープルトン調馬場の厩舎の入口に通ずるアスファルト舗装の道路の前でつきていたのである。
As we approached, a groom ran out from them.	そこまで歩いて行くと、厩舎から一人の馬丁が飛び出して来た。
``We don't want any loiterers about here,''	「ここは用のない者の来るところじゃねえだよ」
``I only wished to ask a question,''	「いや、ちょっとものを伺いたいのだがね」
said Holmes, with his finger and thumb in his waistcoat pocket.	ホームズは二本の指をチョッキのポケットへ入れていった。
``Should I be too early to see your master, Mr. Silas Brown, if I were to call at five o'clock to-morrow morning?''	「明日の朝五時に来たいと思うんだけれど、サイラス・ブラウンさんに会うにはちと早すぎるかね？」
``Bless you, sir,	「ようがしょうとも。
if anyone is about he will be,	来さえすれば会えますだ。
for he is always the first stirring.	旦那はいつでも朝は一番に起きるだから。
But here he is, sir,	だが、そういえば旦那が出て来ましたぜ。
to answer your questions for himself.	お前さまじかにきいてみなさるがいいだ。
No, sir, no, it is as much as my place is worth to let him see me touch your money.	はあれ、とんでもねえ、お前さまからお金貰ったことが分れば、たちまちお払い箱だあ。
if you like.''	――なんなら後でね」
As Sherlock Holmes replaced the half-crown which he had drawn from his pocket, a fierce-looking elderly man strode out from the gate with a hunting-crop swinging in his hand.	シャーロック・ホームズがいったん出した半クラウン銀貨をポケットへ納めると、そこへ怖い顔をした年輩の男が、猟用の鞭を振り振り大跨（おおまた）に門から出て来た。
``What's this, Dawson!''	「どうしたんだ、ドウソン？
``No gossiping!	べちゃべちゃと喋らずと、
Go about your business!	早く仕事を片付けるんだ！
And you,	そして君達は？
what the devil do you want here?''	一体何の用があってこんなところへ来たんですい？」
``Ten minutes' talk with you, my good sir,''	「御主人、ちょっと十分ばかりお話がしたいんですが」
said Holmes in the sweetest of voices.	ホームズはニコニコしていった。
``I've no time to talk to every gadabout.	「用もねえのにうろうろしてるような者の相手になってる暇はおれにゃねえな。
We want no strangers here.	ここは知らねえ者の来るところじゃねえ。
Be off,	さっさと帰った帰った。
or you may find a dog at your heels.''	帰らねえと犬を嗾（け）しかけるぞ」
Holmes leaned forward and whispered something in the trainer's ear.	ホームズは上半身を前へ曲げるようにして、調馬師の耳へ何か囁いた。
He started violently and flushed to the temples.	と、ブラウンはぎくりとして、生際（はえぎわ）まで真赤になった。
``It's a lie!''	「嘘だッ！
``An infernal lie!''	それあとんでもねえ大うそだッ！」
``Very good.	「よろしい！
Shall we argue about it here in public	それじゃここで大きな声でそれを証拠立ててみようか？
or talk it over in your parlour?''	それとも中へ入って客間で静かに話し合いますか？」
``Oh, come in if you wish to.''	「いや、それじゃ中へ入ってもらいましょうか」
Holmes smiled.	ホームズはニヤリとして、
``I shall not keep you more than a few minutes, Watson.''	「ワトソン君、ほんの二三分間で出て来るからね。
Mr. Brown.	ブラウンさん、
I am quite at your disposal.''	お言葉に従って中へ入れてもらいましょうか」
It was twenty minutes,	二三分間といったのが、きっかり二十分はかかった。
and the reds had all faded into grays before Holmes and the trainer reappeared.	ホームズがブラウンとつれ立って出て来た時には、夕映（ゆうばえ）は消え去って、四辺（あたり）は灰色の黄昏が迫りかけていた。
Never have I seen such a change as had been brought about in Silas Brown in that short time.	たった二十分の間に、サイラス・ブラウンの変りようったらなかった。
