BOTCHAN (MASTER DARLING)	坊っちゃん
What about a castle-town of 250,000-koku Lord!	二十五万石の城下だって高の知れたものだ。
Pity the fellows who get swell-headed in such a place as a castle-town!	こんな所に住んでご城下だなどと威張（いば）ってる人間は可哀想（かわいそう）なものだ
While I walked about musing like this, I found myself in front of Yamashiro-ya.	と考えながらくると、いつしか山城屋の前に出た。
The town was much narrower than I had been led to believe.	広いようでも狭いものだ。
"I think I have seen nearly all.	これで大抵（たいてい）は見尽（みつく）したのだろう。
Guess I'll return and eat." And I entered the gate.	帰って飯でも食おうと門口をはいった。
The mistress of the hotel who was sitting at the counter, jumped out of her place at my appearance and with "Are you back, Sire!" scraped the floor with her forehead.	帳場に坐（すわ）っていたかみさんが、おれの顔を見ると急に飛び出してきてお帰り……と板の間へ頭をつけた。
When I took my shoes off and stepped inside, the maid took me to an upstairs room that had became vacant.	靴（くつ）を脱（ぬ）いで上がると、お座敷（ざしき）があきましたからと下女が二階へ案内をした。
It was a front room of 15 mats (about 90 square feet).	十五畳（じょう）の表二階で大きな床（とこ）の間（ま）がついている。
I had never before lived in so splendid a room as this.	おれは生れてからまだこんな立派な座敷へはいった事はない。
As it was quite uncertain when I should again be able to occupy such a room in future, I took off my European dress, and with only a single Japanese summer coat on, sprawled in the centre of the room in the shape of the Japanese letter "big" (arms stretched out and legs spread wide[D]).	この後いつはいれるか分らないから、洋服を脱いで浴衣（ゆかた）一枚になって座敷の真中（まんなか）へ大の字に寝てみた。
I found it very refreshing.	いい心持ちである。
After luncheon I at once wrote a letter to Kiyo.	昼飯を食ってから早速清へ手紙をかいてやった。
I hate most to write letters because I am poor at sentence-making and also poor in my stock of words.	おれは文章がまずい上に字を知らないから手紙を書くのが大嫌（だいきら）いだ。
Neither did I have any place to which to address my letters.	またやる所もない。
However, Kiyo might be getting anxious.	しかし清は心配しているだろう。
It would not do to let her worry lest she think the steamer which I boarded had been wrecked and I was drowned,--so I braced up and wrote a long one.	難船して死にやしないかなどと思っちゃ困るから、奮発（ふんぱつ）して長いのを書いてやった。
The body of the letter was as follows:	その文句はこうである。
"Arrived yesterday.	「きのう着いた。
A dull place.	つまらん所だ。
Am sleeping in a room of 15 mats.	十五畳の座敷に寝ている。
Tipped the hotel five yen as tea money.	宿屋へ茶代を五円やった。
The house-wife of the hotel scraped the floor with her forehead.	かみさんが頭を板の間へすりつけた。
Couldn't sleep last night.	夕べは寝られなかった。
Dreamed Kiyo eat sasa-ame together with the bamboo-leaf wrappers.	清が笹飴を笹ごと食う夢を見た。
Will return next summer.	来年の夏は帰る。
Went to the school to-day, and nicknamed all the fellows.	今日学校へ行ってみんなにあだなをつけてやった。
'Badger' for the principal, 'Red Shirt' for the head-teacher, 'Hubbard Squash' for the teacher of English, 'Porcupine' the teacher of mathematics and 'Clown' for that of drawing.	校長は狸、教頭は赤シャツ、英語の教師はうらなり、数学は山嵐、画学はのだいこ。
Will write you many other things soon.	今にいろいろな事を書いてやる。
Good bye."	さようなら」
When I finished writing the letter, I felt better and sleepy.	手紙をかいてしまったら、いい心持ちになって眠気（ねむけ）がさしたから、
So I slept in the centre of the room, as I had done before, in the letter "big" shape ([D]).	最前のように座敷の真中へのびのびと大の字に寝た。
No dream this time, and I had a sound sleep.	今度は夢も何も見ないでぐっすり寝た。
"Is this the room?" --a loud voice was heard,--a voice which woke me up, and Porcupine entered.	この部屋かいと大きな声がするので目が覚めたら、山嵐がはいって来た。
"How do you do?	最前は失敬、
What you have to do in the school----"	君の受持ちは……
he began talking shop as soon as I got up and rattled me much.	と人が起き上がるや否や談判を開かれたので大いに狼狽（ろうばい）した。
On learning my duties in the school, there seemed to be no difficulty, and I decided to accept.	受持ちを聞いてみると別段むずかしい事もなさそうだから承知した。
If only such were what was expected of me, I would not be surprised were I told to start not only two days hence but even from the following day.	このくらいの事なら、明後日は愚（おろか）、明日（あした）から始めろと云ったって驚ろかない。
The talk on business over, Porcupine said that he did not think it was my intention to stay in such a hotel all the time, that he would find a room for me in a good boarding house, and that I should move.	授業上の打ち合せが済んだら、君はいつまでこんな宿屋に居るつもりでもあるまい、僕（ぼく）がいい下宿を周旋（しゅうせん）してやるから移りたまえ。
"They wouldn't take in another from anybody else but I can do it right away.	外のものでは承知しないが僕が話せばすぐ出来る。
The sooner the better. Go and look at the room to-day, move tomorrow and start teaching from the next day. That'll be all nice and settled." He seemed satisfied by arranging all by himself.	早い方がいいから、今日見て、あす移って、あさってから学校へ行けば極りがいいと一人で呑み込んでいる。
Indeed, I should not be able to occupy such a room for long.	なるほど十五畳敷にいつまで居る訳にも行くまい。
I might have to blow in all of my salary for the hotel bill and yet be short of squaring it.	月給をみんな宿料（しゅくりょう）に払（はら）っても追っつかないかもしれぬ。
It was pity to leave the hotel so soon after I had just shone with a 5-yen tip.	五円の茶代を奮発（ふんぱつ）してすぐ移るのはちと残念だが、
However, it being decidedly convenient to move and get settled early if I had to move at all, I asked Porcupine to get that room for me.	どうせ移る者なら、早く引き越（こ）して落ち付く方が便利だから、そこのところはよろしく山嵐に頼（たの）む事にした。
He told me then to come over with him and see the house at any rate, and I did.	すると山嵐はともかくもいっしょに来てみろと云うから、行った。
The house was situated mid-way up a hill at the end of the town, and was a quiet.	町はずれの岡の中腹にある家で至極閑静（かんせい）だ。
The boss was said to be a dealer in antique curios, called Ikagin, and his wife was about four years his senior.	主人は骨董（こっとう）を売買するいか銀と云う男で、女房（にょうぼう）は亭主（ていしゅ）よりも四つばかり年嵩（としかさ）の女だ。
I learned the English word "witch" when I was in middle school, and this woman looked exactly like one.	中学校に居た時ウィッチと云う言葉を習った事があるがこの女房はまさにウィッチに似ている。
But as she was another man's wife, what did I care if she was a witch.	ウィッチだって人の女房だから構わない。
Finally I decided to live in the house from the next day.	とうとう明日から引き移る事にした。
On our way back Porcupine treated me to a cup of ice-water.	帰りに山嵐は通町（とおりちょう）で氷水を一杯奢（ぱいおご）った。
When I first met him in the school, I thought him a disgustingly overbearing fellow, but judging by the way he had looked after me so far, he appeared not so bad after all.	学校で逢った時はやに横風（おうふう）な失敬な奴だと思ったが、こんなにいろいろ世話をしてくれるところを見ると、わるい男でもなさそうだ。
Only he seemed, like me, impatient by nature and of quick-temper.	ただおれと同じようにせっかちで肝癪持（かんしゃくもち）らしい。
I heard afterward that he was liked most by all the students in the school.	あとで聞いたらこの男が一番生徒に人望があるのだそうだ。
My teaching began at last.	いよいよ学校へ出た。
When I entered the class-room and stepped upon the platform for the first time, I felt somewhat strange.	初めて教場へはいって高い所へ乗った時は、何だか変だった。
While lecturing, I wondered if a fellow like me could keep up the profession of public instructor.	講釈をしながら、おれでも先生が勤まるのかと思った。
The students were noisy.	生徒はやかましい。
Once in a while, they would holler "Teacher!" "Teacher," --it was "going some."	時々図抜（ずぬ）けた大きな声で先生と云（い）う。
I had been calling others "teacher" every day so far, in the school of physics, but in calling others "teacher" and being called one, there is a wide gap of difference.	先生には応（こた）えた。
It made me feel as if some one was tickling my soles.	何だか足の裏がむずむずする。
I am not a sneakish fellow, nor a coward;	おれは卑怯（ひきょう）な人間ではない。
only--it's a pity--I lack audacity.	臆病（おくびょう）な男でもないが、惜（お）しい事に胆力（たんりょく）が欠けている。
If one calls me "teacher" aloud, it gives me a shock similar to that of hearing the noon-gun in Marunouchi when I was hungry.	先生と大きな声をされると、腹の減った時に丸の内で午砲（どん）を聞いたような気がする。
The first hour passed away in a dashing manner.	最初の一時間は何だかいい加減にやってしまった。
And it passed away without encountering any knotty questions.	しかし別段困った質問も掛（か）けられずに済んだ。
As I returned to the teachers' room, Porcupine asked me how it was.	控所（ひかえじょ）へ帰って来たら、山嵐がどうだいと聞いた。
I simply answered "well," and he seemed satisfied.	うんと単簡に返事をしたら山嵐は安心したらしかった。
When I left the teachers' room, chalk in hand, for the second hour class, I felt as if I was invading the enemy's territory.	二時間目に白墨（はくぼく）を持って控所を出た時には何だか敵地へ乗り込（こ）むような気がした。
On entering the room, I found the students for this hour were all big fellows.	教場へ出ると今度の組は前より大きな奴（やつ）ばかりである。
I am a Tokyo kid, delicately built and small, and did not appear very impressive even in my elevated position.	おれは江戸（えど）っ子で華奢（きゃしゃ）に小作りに出来ているから、どうも高い所へ上がっても押（お）しが利かない。
If it comes to a scraping, I can hold my own even with wrestlers, but I had no means of appearing awe-inspiring[E], merely by the aid of my tongue, to so many as forty such big chaps before me.	喧嘩（けんか）なら相撲取（すもうとり）とでもやってみせるが、こんな大僧（おおぞう）を四十人も前へ並（なら）べて、ただ一枚（まい）の舌をたたいて恐縮（きょうしゅく）させる手際はない。
Believing, however, that it would set a bad precedent to show these country fellows any weakness, I lectured rather loudly and in brusque tone.	しかしこんな田舎者（いなかもの）に弱身を見せると癖（くせ）になると思ったから、なるべく大きな声をして、少々巻き舌で講釈してやった。
During the first part the students were taken aback and listened literally with their mouths open.	最初のうちは、生徒も烟（けむ）に捲（ま）かれてぼんやりしていたから、
"That's one on you!" I thought. Elated by my success, I kept on in this tone, when one who looked the strongest, sitting in the middle of the front row, stood up suddenly, and called "Teacher!"	それ見ろとますます得意になって、べらんめい調を用いてたら、一番前の列の真中（まんなか）に居た、一番強そうな奴が、いきなり起立して先生と云う。
There it goes!--I thought, and asked him what it was.	そら来たと思いながら、何だと聞いたら、
"A-ah sa-ay, you talk too quick.	「あまり早くて分からんけれ、
A-ah ca-an't you make it a leetle slow?	もちっと、ゆるゆる遣（や）って、おくれんかな、
A-ah?"	もし」
"A-ah ca-an't you?" "A-ah?" was altogether dull.	おくれんかな、もしは生温（なまぬ）るい言葉だ。
"If I talk too fast, I'll make it slow, but I'm a Tokyo fellow, and can't talk the way you do.	早過ぎるなら、ゆっくり云ってやるが、おれは江戸っ子だから君等（きみら）の言葉は使えない、
If you don't understand it, better wait until you do." So I answered him.	分（わか）らなければ、分るまで待ってるがいいと答えてやった。
In this way the second hour was closed better than I had expected.	この調子で二時間目は思ったより、うまく行った。
Only, as I was about to leave the class, one of the students asked me, "A-ah say, won't you please do them for me?" and showed me some problems in geometry which I was sure I could not solve. This proved to be somewhat a damper on me.	ただ帰りがけに生徒の一人がちょっとこの問題を解釈をしておくれんかな、もし、と出来そうもない幾何（きか）の問題を持って逼（せま）ったには冷汗（ひやあせ）を流した。
But, helpless, I told him I could not make them out, and telling him that I would show him how next time, hastily got out of the room.	仕方がないから何だか分らない、この次教えてやると急いで引き揚（あ）げたら、
And all of them raised "Whee--ee!"	生徒がわあと囃（はや）した。
Some of them were heard saying "He doesn't know much."	その中に出来ん出来んと云う声が聞（きこ）える。
Don't take a teacher for an encyclopaedia!	箆棒（べらぼう）め、先生だって、出来ないのは当り前だ。
If I could work out such hard questions as these easily, I would not be in such a backwoods town for forty yen a month. I returned to the teachers' room.	そんなものが出来るくらいなら四十円でこんな田舎へくるもんかと控所へ帰って来た。
"How was it this time?" asked Porcupine.	今度はどうだとまた山嵐が聞いた。
I said "Umh."	うんと云ったが、
But not satisfied with "Umh" only, I added that all the students in this school were boneheads.	うんだけでは気が済まなかったから、この学校の生徒は分らずやだなと云ってやった。
He put up a whimsical face.	山嵐は妙（みょう）な顔をしていた。
The third and the fourth hour and the first hour in the afternoon were more or less the same.	三時間目も、四時間目も昼過ぎの一時間も大同小異であった。
In all the classes I attended, I made some kind of blunder.	最初の日に出た級は、いずれも少々ずつ失敗した。
I realised that the profession of teaching not quite so easy a calling as might have appeared.	教師ははたで見るほど楽じゃないと思った。
My teaching for the day was finished but I could not get away.	授業はひと通り済んだが、まだ帰れない、
I had to wait alone until three o'clock.	三時までぽつ然（ねん）として待ってなくてはならん。
I understood that at three o'clock the students of my classes would finish cleaning up the rooms and report to me, whereupon I would go over the rooms.	三時になると、受持級の生徒が自分の教室を掃除（そうじ）して報知（しらせ）にくるから検分をするんだそうだ。
Then I would run through the students' roll, and then be free to go home.	それから、出席簿（しゅっせきぼ）を一応調べてようやくお暇（ひま）が出る。
Outrageous, indeed, to keep on chained to the school, staring at the empty space when he had nothing more to do, even though he was "bought" by a salary!	いくら月給で買われた身体（からだ）だって、あいた時間まで学校へ縛（しば）りつけて机と睨（にら）めっくらをさせるなんて法があるものか。
Other fellow teachers, however, meekly submitted to the regulation, and believing it not well for me,--a new comer--to fuss about it, I stood it.	しかしほかの連中はみんな大人（おとな）しくご規則通りやってるから新参のおればかり、だだを捏（こ）ねるのもよろしくないと思って我慢（がまん）していた。
On my way home, I appealed to Porcupine as to the absurdity of keeping me there till three o'clock regardless of my having nothing to do in the school.	帰りがけに、君何でもかんでも三時過（すぎ）まで学校にいさせるのは愚（おろか）だぜと山嵐に訴えたら、
He said "Yes" and laughed.	山嵐はそうさアハハハと笑ったが、
But he became serious and in an advisory manner told me not to make many complaints about the school.	あとから真面目（まじめ）になって、君あまり学校の不平を云うと、いかんぜ。
"Talk to me only, if you want to.	云うなら僕（ぼく）だけに話せ、
There are some queer guys around."	随分（ずいぶん）妙な人も居るからなと忠告がましい事を云った。
As we parted at the next corner, I did not have time to hear more from him.	四つ角で分れたから詳（くわ）しい事は聞くひまがなかった。
On reaching my room, the boss of the house came to me saying, "Let me serve you tea."	それからうちへ帰ってくると、宿の亭主（ていしゅ）がお茶を入れましょうと云ってやって来る。
I expected he was going to treat me to some good tea since he said "Let me serve you," but he simply made himself at home and drank my own tea.	お茶を入れると云うからご馳走（ちそう）をするのかと思うと、おれの茶を遠慮（えんりょ）なく入れて自分が飲むのだ。
Judging by this, I thought he might be practising "Let me serve you" during my absence.	この様子では留守中（るすちゅう）も勝手にお茶を入れましょうを一人（ひとり）で履行（りこう）しているかも知れない。
The boss said that he was fond of antique drawings and curios and finally had decided to start in that business.	亭主が云うには手前は書画骨董（しょがこっとう）がすきで、とうとうこんな商買を内々で始めるようになりました。
"You look like one quite taken about art.	あなたもお見受け申すところ大分ご風流でいらっしゃるらしい。
Suppose you begin patronizing my business just for fun as er--connoisseur of art?" It was the least expected kind of solicitation.	ちと道楽にお始めなすってはいかがですと、飛んでもない勧誘（かんゆう）をやる。
Two years ago, I went to the Imperial Hotel (Tokyo) on an errand, and I was taken for a locksmith.	二年前ある人の使（つかい）に帝国（ていこく）ホテルへ行った時は錠前（じょうまえ）直しと間違（まちが）えられた事がある。
When I went to see the Daibutsu at Kamakura, haying wrapped up myself from head to toe with a blanket, a rikisha man addressed me as "Gov'ner."	ケットを被（かぶ）って、鎌倉（かまくら）の大仏を見物した時は車屋から親方と云われた。
I have been mistaken on many occasions for as many things, but none so far has counted on me as a probable connoisseur of art.	その外今日（こんにち）まで見損（みそくな）われた事は随分あるが、まだおれをつらまえて大分ご風流でいらっしゃると云ったものはない。
One should know better by my appearance.	大抵（たいてい）はなりや様子でも分る。
Any one who aspires to be a patron of art is usually pictured,--you may see in any drawing,--with either a hood on his head, or carrying a tanzaku[3] in his hand.	風流人なんていうものは、画（え）を見ても、頭巾（ずきん）を被（かぶ）るか短冊（たんざく）を持ってるものだ。
The fellow who calls me a connoisseur of art and pretends to mean it, may be surely as crooked as a dog's hind legs.	このおれを風流人だなどと真面目に云うのはただの曲者（くせもの）じゃない。
I told him I did not like such art-stuff, which is usually favored by retired people.	おれはそんな呑気（のんき）な隠居（いんきょ）のやるような事は嫌（きら）いだと云ったら、
He laughed, and remarking that that nobody liked it at first, but once in it, will find it so fascinating that he will hardly get over it, served tea for himself and drank it in a grotesque manner.	亭主はへへへへと笑いながら、いえ始めから好きなものは、どなたもございませんが、いったんこの道にはいるとなかなか出られませんと一人で茶を注いで妙な手付（てつき）をして飲んでいる。
I may say that I had asked him the night before to buy some tea for me, but I did not like such a bitter, heavy kind.	実はゆうべ茶を買ってくれと頼（たの）んでおいたのだが、こんな苦い濃（こ）い茶はいやだ。
One swallow seemed to act right on my stomach.	一杯（ぱい）飲むと胃に答えるような気がする。
I told him to buy a kind not so bitter as that, and he answered "All right, Sir," and drank another cup.	今度からもっと苦くないのを買ってくれと云ったら、かしこまりましたとまた一杯しぼって飲んだ。
The fellow seemed never to know of having enough of anything so long as it was another man's.	人の茶だと思って無暗（むやみ）に飲む奴（やつ）だ。
After he left the room, I prepared for the morrow and went to bed.	主人が引き下がってから、明日の下読（したよみ）をしてすぐ寝（ね）てしまった。
Everyday thereafter I attended at the school and worked as per regulations.	それから毎日毎日学校へ出ては規則通り働く、
Every day on my return, the boss came to my room with the same old "Let me serve you tea."	毎日毎日帰って来ると主人がお茶を入れましょうと出てくる。
In about a week I understood the school in a general way, and had my own idea as to the personality of the boss and his wife.	一週間ばかりしたら学校の様子もひと通りは飲み込めたし、宿の夫婦の人物も大概（たいがい）は分った。
I heard from one of my fellow teachers that the first week to one month after the receipt of the appointment worried them most as to whether they had been favorably received among the students.	ほかの教師に聞いてみると辞令を受けて一週間から一ヶ月ぐらいの間は自分の評判がいいだろうか、悪（わ）るいだろうか非常に気に掛（か）かるそうであるが、
I never felt anything on that score.	おれは一向そんな感じはなかった。
Blunders in the class room once in a while caused me chagrin, but in about half an hour everything would clear out of my head.	教場で折々しくじるとその時だけはやな心持ちだが三十分ばかり立つと奇麗（きれい）に消えてしまう。
I am a fellow who, by nature, can't be worrying long about[F] anything even if I try to.	おれは何事によらず長く心配しようと思っても心配が出来ない男だ。
I was absolutely indifferent as how my blunders in the class room affected the students, or how much further they affected the principal or the head-teacher.	教場のしくじりが生徒にどんな影響（えいきょう）を与（あた）えて、その影響が校長や教頭にどんな反応を呈（てい）するかまるで無頓着（むとんじゃく）であった。
As I mentioned before, I am not a fellow of much audacity to speak of, but I am quick to give up anything when I see its finish.	おれは前に云う通りあまり度胸の据（すわ）った男ではないのだが、思い切りはすこぶるいい人間である。
I had resolved to go elsewhere at once if the school did not suit me.	この学校がいけなければすぐどっかへ行（ゆ）く覚悟（かくご）でいたから、
In consequence, neither Badger nor Red Shirt wielded any influence over me.	狸（たぬき）も赤シャツも、ちっとも恐（おそろ）しくはなかった。
And still less did I feel like coaxing or coddling the youngsters in the class room.	まして教場の小僧（こぞう）共なんかには愛嬌（あいきょう）もお世辞も使う気になれなかった。
So far it was O.K. with the school, but not so easy as that at my boarding house.	学校はそれでいいのだが下宿の方はそうはいかなかった。
I could have stood it if it had been only the boss coming to my room after my tea.	亭主が茶を飲みに来るだけなら我慢もするが、
But he would fetch many things to my room.	いろいろな者を持ってくる。
First time he brought in seals.[4]	始めに持って来たのは何でも印材で、
He displayed about ten of them before me and persuaded me to buy them for three yen, which was very cheap, he said.	十（とお）ばかり並（なら）べておいて、みんなで三円なら安い物だお買いなさいと云う。
Did he take me for a third rate painter making a round of the country?	田舎巡（いなかまわ）りのヘボ絵師じゃあるまいし、
I told him I did not want them.	そんなものは入らないと云ったら、
Next time he brought in a panel picture of flowers and birds, drawn by one Kazan or somebody.	今度は華山（かざん）とか何とか云う男の花鳥の掛物（かけもの）をもって来た。
He hung it against the wall of the alcove and asked me if it was not well done, and I echoed it looked well done.	自分で床（とこ）の間（ま）へかけて、いい出来じゃありませんかと云うから、そうかなと好加減（いいかげん）に挨拶（あいさつ）をすると、
Then he started lecturing about Kazan, that there are two Kazans, one is Kazan something and the other is Kazan anything, and that this picture was the work of that Kazan something.	華山には二人（ふたり）ある、一人は何とか華山で、一人は何とか華山ですが、この幅（ふく）はその何とか華山の方だと、
After this nonsensical lecture, he insisted that he would make it fifteen yen for me to buy it.	くだらない講釈をしたあとで、どうです、あなたなら十五円にしておきます。
I declined the offer saying that I was shy of the money.	金がないと断わると、
"You can pay any time." He was insistent.	金なんか、いつでもようございますとなかなか頑固（がんこ）だ。
I settled him by telling him of my having no intention of purchasing it even if I had the necessary money.	金があつても買わないんだと、その時は追っ払（ぱら）っちまった。
Again next time, he yanked in a big writing stone slab about the size of a ridge-tile.	その次には鬼瓦（おにがわら）ぐらいな大硯（おおすずり）を担ぎ込んだ。
"This is a tankei,"[5] he said.	これは端渓（たんけい）です、
As he "tankeied" two or three times, I asked for fun what was a tankei.	端渓ですと二遍（へん）も三遍も端渓がるから、面白半分に端渓た何だいと聞いたら、
Right away he commenced lecturing on the subject.	すぐ講釈を始め出した。
"There are the upper, the middle and the lower stratum in tankei," he said.	端渓には上層中層下層とあって、
"Most of tankei slabs to-day are made from the upper stratum," he continued,	今時のものはみんな上層ですが、
"but this one is surely from the middle stratum.	これはたしかに中層です、
Look at this 'gan.'[6]	この眼（がん）をご覧なさい。
'Tis certainly rare to have three 'gans' like this.	眼が三つあるのは珍（めず）らしい。
The ink-cake grates smoothly on it.	溌墨（はつぼく）の具合も至極よろしい、
Try it, sir,"	試してご覧なさいと、
--and he pushed it towards me.	おれの前へ大きな硯を突（つ）きつける。
I asked him how much, and he answered that on account of its owner having brought it from China and wishing to sell if as soon as possible, he would make it very cheap, that I could have it for thirty yen.	いくらだと聞くと、持主が支那（しな）から持って帰って来て是非売りたいと云いますから、お安くして三十円にしておきましょうと云う。
I was sure he was a fool.	この男は馬鹿（ばか）に相違（そうい）ない。
I seemed to be able to get through the school somehow, but I would soon give out if this "curio siege" kept on long.	学校の方はどうかこうか無事に勤まりそうだが、こう骨董責（こっとうぜめ）に逢（あ）ってはとても長く続きそうにない。
Shortly afterwards, I began to get sick of the school.	そのうち学校もいやになった。
One certain night, while I was strolling about a street named Omachi, I happened to notice a sign of noodles below of which was annotated "Tokyo" in the house next to the post office.	ある日の晩大町（おおまち）と云う所を散歩していたら郵便局の隣（とな）りに蕎麦（そば）とかいて、下に東京と注を加えた看板があった。
I am very fond of noodles.	おれは蕎麦が大好きである。
While I was in Tokyo, if I passed by a noodle house and smelled the seasoning spices, I felt uncontrollable temptation to go inside at any cost.	東京に居（お）った時でも蕎麦屋の前を通って薬味の香（にお）いをかぐと、どうしても暖簾（のれん）がくぐりたくなった。
Up to this time I had forgotten the noodle on account of mathematics and antique curios, but since I had seen thus the sign of noodles, I could hardly pass it by unnoticed.	今日までは数学と骨董で蕎麦を忘れていたが、こうして看板を見ると素通りが出来なくなる。
So availing myself of this opportunity, I went in.	ついでだから一杯食って行こうと思って上がり込んだ。
It was not quite up to what I had judged by the sign.	見ると看板ほどでもない。
Since it claimed to follow the Tokyo style, they should have tidied up a little bit about the room.	東京と断（こと）わる以上はもう少し奇麗にしそうなものだが、
They did not either know Tokyo or have the means,--I did not know which, but the room was miserably dirty.	東京を知らないのか、金がないのか、滅法（めっぽう）きたない。
The floor-mats had all seen better days and felt shaggy with sandy dust.	畳（たたみ）は色が変ってお負けに砂でざらざらしている。
The sootcovered walls defied the blackest black.	壁（かべ）は煤（すす）で真黒（まっくろ）だ。
The ceiling was not only smoked by the lamp black, but was so low as to force one involuntarily bend down his neck.	天井（てんじょう）はランプの油烟（ゆえん）で燻（くす）ぼってるのみか、低くって、思わず首を縮めるくらいだ。
Only the price-list, on which was glaringly written "Noodles" and which was pasted on the wall, was entirely new.	ただ麗々と蕎麦の名前をかいて張り付けたねだん付けだけは全く新しい。
I was certain that they bought an old house and opened the business just two or three days before.	何でも古いうちを買って二三日（にさんち）前から開業したに違（ちが）いなかろう。
At the head of the price-list appeared "tempura" (noodles served with shrimp fried in batter).	ねだん付の第一号に天麩羅（てんぷら）とある。
"Say, fetch me some tempura," I ordered in a loud voice.	おい天麩羅を持ってこいと大きな声を出した。
Then three fellows who had been making a chewing noise together in a corner, looked in my direction.	するとこの時まで隅（すみ）の方に三人かたまって、何かつるつる、ちゅうちゅう食ってた連中（れんじゅう）が、ひとしくおれの方を見た。
As the room was dark I did not notice them at first. But when we looked at each other, I found them all to be boys in our school.	部屋（へや）が暗いので、ちょっと気がつかなかったが顔を合せると、みんな学校の生徒である。
They "how d'ye do'd" me and I acknowledged it.	先方で挨拶（あいさつ）をしたから、おれも挨拶をした。
That night, having come across the noodle after so long a time, it tasted so fine that I ate four bowls.	その晩は久（ひさ）し振（ぶり）に蕎麦を食ったので、旨（うま）かったから天麩羅を四杯平（たいら）げた。
The next day as I entered the class room quite unconcernedly, I saw on the black board written in letters so large as to take up the whole space; "Professor Tempura."	翌日何の気もなく教場へはいると、黒板一杯ぐらいな大きな字で、天麩羅先生とかいてある。
The boys all glanced at my face and made merry hee-haws at my cost.	おれの顔を見てみんなわあと笑った。
It was so absurd that I asked them if it was in any way funny for me to eat tempura noodle.	おれは馬鹿馬鹿しいから、天麩羅を食っちゃ可笑（おか）しいかと聞いた。
Thereupon one of them said, --"But four bowls is too much."	すると生徒の一人（ひとり）が、しかし四杯は過ぎるぞな、もし、と云った。
What did they care if I ate four bowls or five as long as I paid it with my own money,--and speedily finishing up my class, I returned to the teachers' room.	四杯食おうが五杯食おうがおれの銭でおれが食うのに文句があるもんかと、さっさと講義を済まして控所へ帰って来た。
After tenminutes' recess, I went to the next class, and there on the black board was newly written quite as large as before;	十分立って次の教場へ出ると一つ天麩羅四杯なり。
"Four bowls of tempura noodles, but don't laugh."	但（ただ）し笑うべからず。
The first one did not arouse any ill-temper in me, but this time it made me feel irritating mad.	さっきは別に腹も立たなかったが今度は癪（しゃく）に障（さわ）った。
A joke carried too far becomes mischievous.	冗談（じょうだん）も度を過ごせばいたずらだ。
It is like the undue jealousy of some women who, like coal, look black and suggest flames.	焼餅（やきもち）の黒焦（くろこげ）のようなもので
Nobody likes it.	誰（だれ）も賞（ほ）め手はない。
These country simpletons, unable to differentiate upon so delicate a boundary, would seem to be bent on pushing everything to the limit.	田舎者はこの呼吸が分からないからどこまで押（お）して行っても構わないと云う了見（りょうけん）だろう。
As they lived in such a narrow town where one has no more to see if he goes on strolling about for one hour, and as they were capable of doing nothing better, they were trumpeting aloud this tempura incident in quite as serious a manner as the Russo-Japanese war.	一時間あるくと見物する町もないような狭（せま）い都に住んで、外に何にも芸がないから、天麩羅事件を日露（にちろ）戦争のように触（ふ）れちらかすんだろう。
What a bunch of miserable pups!	憐（あわ）れな奴等（やつら）だ。
It is because they are raised in this fashion from their boyhood that there are many punies who, like the dwarf maple tree in the flower pot, mature gnarled and twisted.	小供の時から、こんなに教育されるから、いやにひねっこびた、植木鉢（うえきばち）の楓（かえで）みたような小人（しょうじん）が出来るんだ。
I have no objection to laugh myself with others over innocent jokes.	無邪気（むじゃき）ならいっしょに笑ってもいいが、
But how's this?	こりゃなんだ。
Boys as they are, they showed a "poisonous temper."	小供の癖（くせ）に乙（おつ）に毒気を持ってる。
Silently erasing off "tempura" from the board, I questioned them if they thought such mischief interesting, that this was a cowardly joke	おれはだまって、天麩羅を消して、こんないたずらが面白いか、卑怯（ひきょう）な冗談だ。
and if they knew the meaning of "cowardice."	君等は卑怯と云う意味を知ってるか、と云ったら、
Some of them answered that to get angry on being laughed at over one's own doing, was cowardice.	自分がした事を笑われて怒（おこ）るのが卑怯じゃろうがな、もしと答えた奴がある。
What made them so disgusting as this?	やな奴だ。
I pitied myself for coming from far off Tokyo to teach such a lot.	わざわざ東京から、こんな奴を教えに来たのかと思ったら情なくなった。
"Keep your mouth shut, and study hard," I snapped, and started the class.	余計な減らず口を利かないで勉強しろと云って、授業を始めてしまった。
In the next class again there was written: "When one eats tempura noodles it makes him drawl nonsense."	それから次の教場へ出たら天麩羅を食うと減らず口が利きたくなるものなりと書いてある。
There seemed no end to it.	どうも始末に終えない。
I was thoroughly aroused with anger, and declaring that I would not teach such sassies, went home straight.	あんまり腹が立ったから、そんな生意気な奴は教えないと云ってすたすた帰って来てやった。
The boys were glad of having an unexpected holiday, so I heard.	生徒は休みになって喜んだそうだ。
When things had come to this pass, the antique curious seemed far more preferable to the school.	こうなると学校より骨董の方がまだましだ。
My return home and sleep over night greatly rounded off my rugged temper over the tempura affair.	天麩羅蕎麦もうちへ帰って、一晩寝たらそんなに肝癪（かんしゃく）に障らなくなった。
I went to the school, and they were there also.	学校へ出てみると、生徒も出ている。
I could not tell what was what.	何だか訳が分らない。
