FATTY COON AT HOME	ふとっちょあらいぐまの家
that nothing had ever happened to him that was quite so enjoyable as that surprise his mother gave him when he was a young coon.	彼が幼いあらいぐまだったとき、お母さんがびっくりするところに連れていってくれたときのような楽しい出来事は、二度となかったのです。
Of course it was something to eat	2 もちろん、食べるところですよ
--the surprise.	――びっくりするところというのは。
You must have guessed that, knowing Fatty Coon as you do.	みなさんは、ふとっちょあらいぐまのことはもうご存知ですから、きっとそうだろうとお思いになったでしょう。
"Come, children!"	3 「おいで、子どもたち！」
Mrs. Coon said.	あらいぐま夫人が言いました。
"Come with me!	「わたしについておいで！
I'm going to give you a treat	びっくりするようないいところに連れてったげるよ
--something specially nice."	――とっておきのすてきなところだよ」
"Is it something to eat?"	4 「食べにいくの？」
Fatty asked,	ふとっちょがたずねました。
as they started off in the direction of Farmer Green's fields.	ふとっちょたちは、農夫のグリーンの農場にむかって歩いていました。
"Yes	5 「そうよ
--and the best thing you ever tasted,"	――お前がこれまで食べた中で、いちばんおいしいごちそうだよ」
Mrs. Coon said.	あらいぐま夫人が言いました。
Fatty was greatly excited.	6 ふとっちょは大いに興奮しました。
His little bright eyes turned green in the moonlight.	月明かりの下で、彼のつぶらなかがやく目が、緑色に変わりました。
He wondered what the surprise would be.	どんなびっくりするごちそうがあるのかしらと思いました。
And, as usual, he was very hungry.	いつものことですが、彼は腹ぺこでした。
He walked close beside his mother,	彼は、お母さんにぴったりくっついて歩きました。
for he wanted to be the first to taste the surprise.	びっくりするようなごちそうを、まっさきに味見したかったからです。
You would think that he would have wanted his two sisters to taste it first,	みなさんは、ふとっちょが二人の妹に最初に味見させてあげると思うでしょう。
and his brother Blackie, too.	それに、弟の黒っちょにも。
But you must not forget that Fatty was greedy.	しかし、ふとっちょは食いしんぼうだということを忘れてはなりません。
And greedy people are not thoughtful of others.	食いしんぼうというのは、ほかの人を思いやったりしないものなのです。
When Mrs. Coon turned out of the lane and crawled through the fence,	7 あらいぐま夫人は、小道をわきに反れ、柵の下を腹ばいになってくぐり抜けました。
Fatty squeezed between the rails	ふとっちょは、横木のすきまを無理やり通り抜けました。
very nimbly, for him.	彼にしては、とても素早い身のこなしでした。
"Here we are!"	8 「ここだよ！」
said his mother.	お母さんが言いました。
Fatty looked about him.	9 ふとっちょは辺りを見まわしました。
They stood in a field grown high with tall stalks of some sort,	そこは、背の高い茎の植物が空高く生いしげった畑の中でした。
which turned to green, ribbon-like leaves half way up from the ground.	茎の植物は青あおと色づき、リボンのような形の葉っぱは、根もとから半分だけ空にむいて立ちあがり、先っぽはひらひらと垂れ下がっていました。
Fatty grunted.	ふとっちょは、不満にうめき声をあげました。
He was very impolite, you see.	とてもおぎょうぎが悪いですよね。
"Well	10 「ねえ
--what is there to eat that's so fine?"	――おいしい食べ物ってなんなのさ？」
he asked.	ふとっちょは言いました。
"This stuff isn't good.	「こんなのおいしくないじゃないか。
It's like eating reeds."	アシみたいな味がするよ」
He had already bitten into one of the stalks.	彼は、すでに茎の一本をかじっていました。
"What do you call that?"	11 「あれはなんと呼ぶの？」
Mrs. Coon asked.	あらいぐま夫人がたずねました。
She showed Fatty a long roll of green that grew out of one of the stalks.	彼女は、茎の一本から伸びている、緑色の皮で巻かれた長いものを、ふとっちょに指ししめしました。
"That's something like a cattail,"	12 「ガマの穂みたいなやつさ」
said Fatty.	ふとっちょが言いました。
"It isn't good to eat."	「食べたっておいしくないよ」
"Have you ever tried one?"	13 「食べてみたことがあるのかい？」
asked his mother.	お母さんがたずねました。
"N--no,"	14 「ううん」
Patty said.	ふとっちょは言いました。
"But Freddie Bluejay told me they weren't good."	「でも、アオカケスのフレディがおいしくないって言ったよ」
"He did, did he?"	15 「フレディがそう言ったの？」
Mrs. Coon said nothing more.	あらいぐま夫人は、それ以上なにも言いませんでした。
She stood up on her hind legs and pulled one of the tall stalks down	彼女は後足で立ちあがると、背の高い茎の一本を、下に引っぱりました。
until she could reach that long, green thing that grew there.	そして、茎から伸びている緑色の皮に巻かれた長いものを、前足でつかみました。
In a jiffy she had torn it from its stalk.	次の瞬間、彼女は茎から緑色の長いものをもぎ取りました。
And then she stripped the green covering off it.	それから、長いものから緑色の皮をはぎ取りました。
"Try that!"	「かじってごらん！」
said Mrs. Coon with a smile.	あらいぐま夫人は、にっこり笑って言いました。
Of course it was Fatty who tasted it first.	16 もちろん、ふとっちょがまっさきに味見しました。
He took a good mouthful of the white kernels,	彼は、白い粒つぶを口いっぱいにほおばりました。
and he was overjoyed.	そして、大喜びしました。
Such sweetness!	なんて甘いんだろう！
Such delicious, milky juice!	このまったりとした汁のおいしさはどうだろう！
It was a moment that Fatty never forgot.	この瞬間のことを、ふとっちょは生涯忘れませんでした。
Fatty began tearing down the stalks for himself	17 ふとっちょは、自分で茎からもぎ取り始めました。
and he never said another word until at last he simply had to stop eating just to catch his breath.	そして、ひと息つくためにとうとう食べるのを止めるまで、ひと言もしゃべりませんでした。
"What's its name, Mother?"	18 「これはなんという名前なの、お母さん？」
he inquired.	ふとっちょがたずねました。
"Corn, my child."	19 「とうもろこしと言うんだよ、ぼうや」
"Well, why doesn't Freddie Bluejay like it?"	20 「アオカケスのフレディは、どうしてこれが嫌いなんだろう？」
Fatty asked.	ふとっちょが言いました。
"He's probably very fond of corn,"	21 「たぶん大好きなのさ」
said Mrs. Coon.	あらいぐま夫人は言いました。
"And I've no doubt he was afraid	「心配だったんだよ。
that you would eat up this whole field, once you started."	お前がこれを食べ始めたら、畑を全部食べつくしちまうんじゃないかってね」
"I'd like to,"	22 「そうしたいなあ」
said Fatty, with a sigh.	ふとっちょは、ため息まじりに言いました。
"I'd like to eat all the corn in the world."	「世界中のとうもろこしを全部食べちゃいたいよ」
VII JOHNNIE GREEN IS DISAPPOINTED	ジョニー・グリーン、がっかりする
It made Fatty Coon feel sad, just to think that there was that field full of corn,	1 ふとっちょあらいぐまは、畑いっぱいのとうもろこしのことを考えると、悲しくなってしまいました。
and that he could never eat all of it.	全部食べつくすなんて、絶対にできっこないのですもの。
But Fatty made up his mind	でも、ふとっちょは決心しました。
that he would do the best he could.	できるかぎりのことをしてやろうと。
He would visit the cornfield every night and feast on those sweet, tender kernels.	毎晩のようにとうもろこし畑をおとずれ、甘くて柔らかいとうもろこしの粒を満喫してやろうと。
The very next night Fatty set out toward Farmer Green's.	2 次の日、夜になると、ふとっちょはさっそく農夫のグリーンの畑に出発しました。
It was hardly dark.	とても暗いとは言えない夜でした。
But Fatty could not wait any longer.	でも、暗い夜がおとずれるまでなんて、待っていられませんでした。
He could not even wait for his mother and his sisters and his brother.	お母さんや妹たちや弟が出かけるのを待っていることすら、できませんでした。
He hurried away alone.	彼は、ひとりで先を急ぎました。
And when he came in sight of the cornfield he felt better.	とうもろこし畑が見えてくると、ほっとしました。
He had been the least bit afraid that the corn might be gone.	とうもろこしがなくなってしまうのではないかと、心配でしかたがなかったのです。
He thought that maybe Farmer Green had picked it, or that some of the forest people had eaten it all.	農夫のグリーンがつみ取ってしまうか、森の住民たちが全部たいらげてしまうかもしれないと、思っていたのです。
But there it was	でも、ちゃんとありました
--a forest of corn, waving and rustling in the moonlight as the breeze touched it.	――とうもろこしの森が、月光の下でそよ風に吹かれて、波うち、カサカサと音を立てていました。
Fatty felt very happy as he slipped through the rail-fence.	ふとっちょは大よろこびしながら、柵の横木をすり抜けました。
I wouldn't dare say how many ears of corn Fatty ate that night.	3 その晩、ふとっちょはとうもろこしの実を、おそらくいくらも食べはしなかったでしょう。
And he would have eaten more, too, if it hadn't been for just one thing.	それに、あるたった一つのものがなければ、もっとたくさん食べられた、とも言えなかったでしょう。
A dog barked.	一ぴきの犬が吠え声を立てました。
And that spoiled Fatty's fun.	それで、ふとっちょの楽しみは台なしになってしまいました。
For the dog was altogether too near for Fatty to feel safe.	犬の吠え声は、ふとっちょが危険にかんじるほど、とても近いところで聞こえました。
He even dropped the ear of corn he was gnawing	彼がかじりかけのとうもろこしの実をほうり出すほどの、近い場所でした。
and hurried toward the woods.	ふとっちょは、森にむかって急いで逃げ出しました。
It was lucky for Fatty that he started when he did.	4 すぐに駆け出したのは、ふとっちょにとって幸運でした。
For that dog was close behind him in no time.	時間をおかずに、犬が彼の背後にせまってきたからです。
There was only one thing to do:	することは一つしかありません。
Fatty knew that he must climb a tree at once.	ただちに木に登らなければいけないということを、ふとっちょは知っていました。
So he made for the nearest tree in sight	それで、まぢかにあって目に入ったおあつらえ向きの木に登りました
--a big, spreading oak,	――大きくて、枝が横に広がった、オークの木でした。
which stood all alone just beyond the fence.	その木は、柵の上におおいかぶさるようにして、一本だけ森から離れて立っていました。
And as Fatty crouched on a limb he felt safe enough,	ふとっちょは大枝の上でうずくまると、すっかり安全になったように思いました。
though the dog barked and whined, and leaped against the tree, and made a great fuss.	それなのに犬は、吠えたり、鼻を鳴らしたり、木に飛びついたり、たいそう大騒ぎしました。
Fatty looked down at the dog and scolded a little.	5 ふとっちょは犬を見下ろして、少々しかってやりました。
He was not afraid.	犬は恐くありませんでした。
But it made him cross to be driven out of the cornfield.	けれど、とうもろこし畑から追い払われたことで、腹が立ちました。
And he wished the dog would go away.	犬なんかどこかに行ってしまえばいいのにと思いました。
But the dog	けれど犬は
--it was Farmer Green's Spot	――農夫のグリーンの飼犬で、スポットといいました
--the dog had no idea of leaving.	――立ち去るつもりはありませんでした。
He stayed right there and barked so loudly	犬は木の下にいつづけて、ひどく大声で吠え立てました。
that it was not long before Farmer Green and his hired man came in sight.	ほどなくすると、農夫のグリーンと農場の作男がやって来る姿が見えました。
And with them was Johnnie Green and a little, young dog that had just been given to him.	ジョニー・グリーンと、つい最近ジョニーがもらった小さな子犬も、彼らと一緒でした。
When Farmer Green saw Fatty he seemed disappointed.	6 農夫のグリーンは、ふとっちょを見て、がっかりした様子でした。
"He's too young to bother with,"	「手をわずらわすには小さすぎる」
he said.	と、グリーンは言いました。
"His skin's not worth much.	「あいつの毛皮はいくらにもならんよ。
We'll go 'long and see what we can find."	行こう、ほかにいるか探そう」
But Johnnie Green stayed behind.	7 けれど、ジョニー・グリーンはあとに残りました。
He wanted that young coon.	彼は、あのあらいぐまの子が欲しかったのです。
And he intended to have him, too.	そして、つかまえるつもりでもありました。
Leaving the young dog to watch Fatty Coon, Johnnie went back to the farmhouse.	子犬をふとっちょあらいぐまの見張りに残して、ジョニーは農家の母屋に戻りました。
After a while he appeared again with an axe over his shoulder.	しばらくすると、ジョニーは肩に斧をかついだ姿で、またあらわれました。
And when he began to chop away at the big oak,	そして、オークの大木を切り始めました。
Fatty Coon felt very uneasy.	ふとっちょあらいぐまは、ひどく不安になりました。
Whenever Johnnie drove his axe into the tree, both the tree and Fatty shivered together.	ジョニーが斧を木にたたき込むたびに、木と一緒にふとっちょもふるえました。
And Fatty began to wish he had stayed away from the cornfield.	ふとっちょは、とうもろこし畑から逃げ出せたらいいのにと願い始めました。
But not for long,	しかし、それも長いことではありませんでした。
because Johnnie Green soon gave up the idea of chopping down the big oak.	ジョニー・グリーンが、オークの大木を切りたおすという考えを、さっさとあきらめたからです。
The wood was so hard to cut, and the tree was so big,	木は、切るのには固すぎ、そして大きすぎました。
that Johnnie had not chopped long before he saw that it would take him all night to cut through it.	長い時間かかったのちに夜通しかかることが分かる前に、ジョニーは切るのを止めました。
He looked up longingly at Fatty Coon.	ジョニーは、もの欲しげにふとっちょあらいぐまを見上げました。
And Johnnie started to climb the tree himself.	そして、彼みずから木に登り始めました。
But the higher he climbed, the higher Fatty climbed.	けれど、ジョニーが登ると、ふとっちょはそれだけ上に登りました。
And Johnnie knew that he could never catch that plump young coon in that way.	このやり方では、ふとったあらいぐまの子を決してつかまえられないことを、ジョニーは知りました。
At last Johnnie Green started off,	8 とうとう、ジョニー・グリーンは歩き出しました。
calling his dog after him.	子犬も、彼に呼ばれてあとについていきました。
And then Fatty Coon came down.	それから、ふとっちょあらいぐまは下におりました。
But he did not go back to the cornfield.	でも、とうもろこし畑には戻りませんでした。
He decided that he had had adventures enough for one night.	ひと晩の冒険としてはもうじゅうぶん、ということにしたのです。
But Fatty had learned something	けれど、学ぶことはありました
--at least he thought he had.	――少なくとも、ふとっちょはそう思いました。
For he made up his mind that once he climbed a tree, no man could reach him.	いったん木に登ってしまえば、人間はだれも彼に触れることができないのだと、決め込んだのです。
TREES COULD NOT BE CHOPPED DOWN!	〈木を切りたおすことはできない！〉
That was what Fatty believed.	と、ふとっちょは信じ込んでしまったのです。
Perhaps you will know, later, whether Fatty ever found out that he was mistaken.	いつか、ふとっちょが間違いだったと知るときが来るのかどうか、みなさんはたぶんあとでお分かりになるでしょう。
VIII A TERRIBLE FRIGHT	ぞっとするような恐怖
It was the very next night after old dog Spot had treed Fatty Coon in the big oak near the cornfield.	1 ふとっちょあらいぐまが、老犬スポットに追われてとうもろこし畑のそばのオークの大木に登った、次の晩でした。
They had finished their evening meal at Farmer Green's house.	農夫のグリーンの家では、夕食を食べおわったところでした。
The cows were milked, the horses had been fed, the chickens had all gone to roost.	牛の乳をしぼり、馬にかいばをやり、ニワトリはすべて鳥小屋の中にしまわれました。
And Farmer Green looked up at the moon, rising from behind Blue Mountain.	農夫のグリーンは、ブルー山の山かげからのぼる月を見上げました。
"We'll go coon-hunting again to-night,"	2 「今夜もあらいぐま狩りに行くぞ」
he said to Johnnie and the hired man.	彼は、ジョニーと作男に言いました。
"The corn has brought the coons up from the swamp.	「沼のあらいぐまども、とうもろこしにつられてまた出て来るはずだ。
We'll start as soon as it grows a little darker."	月が少しかげったら、すぐ出発だぞ」
Well	3 さあ
--after a while they set out for the cornfield.	――しばらくすると、彼らはとうもろこし畑に出かけました。
And sure enough!	やっぱりです！
old Spot soon began to bark.	老犬スポットが、ほえ始めました。
"He's treed!"	4 「スポットが木に追いこんだぞ！」
said Farmer Green, pretty soon.	すぐさま農夫のグリーンが言いました。
And they all hurried over to the edge of the woods,	彼らはそろって、森のふちを目指して急ぎました。
where Spot had chased a coon up into a tall chestnut tree.	そこでスポットが、あらいぐまを背の高いクリの木に追いこんでいました。
In the moonlight they could see the coon quite plainly.	月明かりの下で、彼らはあらいぐまの姿をまざまざと見ることができました。
"Another little feller!"	「別のちっこいやつだ！」
cried Farmer Green.	農夫のグリーンがさけびました。
"I declare,	「まいったね。
all the coons that come to the cornfield seem to be young ones.	とうもろこし畑にやって来るあらいぐまは、どれもこれも子どもなのかい。
This one's no bigger than the one we saw last night."	昨日の晩おれたちが見たやつよりも、小さいじゃないか」
Now, although Farmer Green never guessed it, it was Fatty Coon who was up there in the tall chestnut.	5 とはいうものの、農夫のグリーンには、高い木の上にいるのがふとっちょあらいぐまだということなど、わかりっこありませんでした。
He had run almost to the woods this time,	ふとっちょはこのとき、もう少しで森の中に逃げこむところでした。
before he had to take to a tree.	ですが、その手前で、木に登らねばなりませんでした。
In fact, if Spot hadn't been quite so close to him Fatty could have reached the woods, and then he would have just jumped from one tree to another.	じつのところ、スポットがあれほど近くまでふとっちょにせまらなかったら、ふとっちょは森の中にたどり着き、木から木へと飛び移って逃げ去ることができました。
But there were no trees near enough the big chestnut for that.	しかし、大きなクリの木のまわりには、飛び移れるほど近くに木がなかったのです。
Fatty had to stay right there and wait for those men to pass on.	ふとっちょはそこにとどまり、人間たちが行ってしまうまで待たねばなりませんでした。
He wasn't afraid.	彼は、おそれてはいませんでした。
He felt perfectly safe in his big tree.	大きな木の上で、すっかり安心しきっていました。
And he only smiled when Johnnie Green said to his father--	ジョニー・グリーンが父親にこう言ったときも、彼はほほ笑みを浮かべただけでした――
"I wish I had that young coon.	6 「ぼく、あのあらいぐまの子がほしいよ。
He'd make a fine pet."	あいつはかわいいペットになるよ」
"A pet!"	7 「ペットだと！」
exclaimed Farmer Green.	農夫のグリーンがさけびました。
"You remember that pet fox you had, that stole my chickens?"	「キツネをペットにして、ニワトリを盗まれたのを忘れたのか？」
"Oh, I'd be careful,"	8 「気をつけるからさ」
Johnnie promised.	ジョニーは約束しました。
"Besides, don't you think we ought to catch him,	「それに、つかまえたほうがいいと思わないの？
so he won't eat any more corn?"	そうすれば、あいつももうとうもろこしを食べないよ」
Farmer Green smiled.	9 農夫のグリーンはほほ笑みました。
He had been a boy himself, once upon a time,	彼自身も、大昔は少年でした。
and he had not forgotten the pet coon that he had owned when he was just about Johnnie's age.	ちょうどジョニーくらいの年ごろに、あらいぐまをペットにしたことがあったのを忘れてはいなかったのです。
"All right!"	10 「いいだろう！」
he said at last.	グリーンはとうとう言いました。
"I'll give you one more chance, Johnnie.	「もう一度だけチャンスをやるぞ、ジョニー。
But you'll have to see that this young coon doesn't kill any of my poultry."	だが、あのあらいぐまの子がおれの鳥を殺さないよう、おれが見張るはめになるんだろうな」
Johnnie promised that nothing of the sort should happen.	11 ジョニーは、そのようなことにはならないと約束しました。
And then his father and the hired man picked up their axes;	それから、彼の父親と作男は、斧をとり上げました。
and standing on opposite sides of the tall chestnut tree, they began to chop.	ふたりは高いクリの木をはさんで向かい合わせに立つと、木を切り始めました。
How the chips did fly!	12 なんとまあ、木くずが飛ぶこと！
At the very first blow Fatty knew	最初の一げきから、ふとっちょにもわかりました。
that this was an entirely different sort of chopping from that which Johnnie had attempted the night before.	今度のは、前の晩にジョニーがしようとしたのとは、切り方がまるでちがいました。
The great tree shook as if it knew that it would soon come crashing down upon the ground.	大木はまるで、ほどなくして地面に打ちたおされることを知っているかのように、身をふるわせました。
And as for Fatty Coon, he could not see but that he must fall when the tree did.	13 ふとっちょあらいぐまはというと、先のことはわかりませんでしたが、木がたおされるときには自分も落ちるのだろうと思いました。
He, too, shivered and shook.	彼もまた、恐ろしさに身をふるわせました。
And he wrapped himself all the way around a limb and hung on as tight as ever he could.	大枝のまわりに自分の体をすっかり巻きつけ、できるだけしっかりとしがみつき、じっと動かないようにしました。
JOHNNIE GREEN LOSES HIS PET	ジョニー・グリーン、ペットをとり逃す
Now, Farmer Green and his hired man had not chopped long before they stopped to breathe.	1 さて、農夫のグリーンと作男は、すぐに木を切るのを止め、息をつきました。
They had not chopped long	ふたりは少しの間しか切っていませんでした
--but oh!	――けれど、まあ！
what great, yawning holes they had made in the big chestnut!	大きなクリの木に、大きな穴がぱっくりと口を開いていました！
From the limb where he clung Fatty Coon looked down.	ふとっちょあらいぐまは、しがみついていた大枝から、下を見おろしました。
The tree no longer shook.	木はもうそれ以上ゆれませんでした。
And Fatty felt better at once.	ふとっちょは、また安心しました。
You see, he thought that the men would go away, just as Johnnie had gone away the night before.	ほら、前の晩のジョニーのように、行ってしまうのだと思ったものですからね。
But they had no such idea at all.	けれど彼らは、そんなつもりはちっともありませんでした。
"Which way are you going to fell her?"	2 「彼女をどっちに倒すんですかい？」
the hired man asked.	作男がたずねました。
He said HER, meaning the TREE, of course.	〈彼女〉というのは、〈木〉のことですよ、もちろんね。
"That way!"	3 「こっちだ！」
said Farmer Green, pointing toward the woods.	農夫のグリーンは、森のほうを指さして言いました。
"We'll have to drop her that way,	「こっちに倒さないといかん。
or she'll fall right across the road,	さもないと、彼女が道をすっかりふさいじまう。
and of course THAT would never do."	もちろん、そんなことは絶対にするわけにいかんよ」
"But will she clear the trees on the edge of the woods?"	4 「しかし、彼女、森のはしの木をなぎ倒しちまうんじゃないかね？」
The hired man appeared somewhat doubtful.	作男は、いくぶん疑わしげな顔をしました。
"Oh, to be sure	5 「ああ、たしかに
--to be sure!"	――たしかにな！」
answered Farmer Green.	農夫のグリーンが答えました。
And with that they set to work again.	6 そして、ふたりはふたたび仕事を始めました。
But this time they both chopped on the same side of the tree	けれど今度は、ふたりそろって木の同じがわを切りました
--the side toward the woods.	――森のほうのがわをです。
Now, if Fatty Coon was frightened before, you will believe that he was still more frightened when the big chestnut tree began to sag.	7 さて、前回ふとっちょあらいぐまがおびえたとしたら、大きなクリの木がかしぎ始めたとき、彼がますますおびえたことを、みなさんも疑わないでしょう。
Yes!	そうなのです！
it began to lean toward the woods.	クリの木が、森のほうに向かってかしぎ始めたのです。
Slowly, slowly it tipped.	ゆっくり、ゆっくり、かしいでいったのです。
And Fatty was scared half out of his mind.	ふとっちょは、恐ろしさに半分くるったようになりました。
He climbed to the very top of the tree,	彼は木のてっぺんに登りました。
because he wanted to get just as far away from those men as he could.	できるだけ人間たちから遠ざかっていたかったのです。
And there he waited.	そして、待ちました。
There was nothing else he could do.	ほかにどうすることも出来ません。
Yes!	そうですとも！
he waited until that awful moment should come when the tree would go crashing down upon the ground.	彼は、木が音をたてて地面に倒れる、来るべき恐ろしい瞬間がおとずれるのを待ちました。
What was going to happen to him then?	それから、なにが起きるのかしら？
Fatty wondered.	ふとっちょは、首をかしげました。
And while he was wondering there sounded all at once a great snapping and splitting.	彼が考えている間に、木が裂けるメリメリという大きな音が、一どきに鳴りひびきました。
And Fatty felt the tree falling, falling.	ふとっちょは、木がどんどん、どんどん、かしいでいくのをかんじました。
He could hear Johnnie Green shouting.	ジョニー・グリーンがさけび声をあげるのが聞こえました。
And he shut his eyes and held fast to his branch.	ふとっちょは、目をかたく閉じ、枝にしっかりとつかまりました。
Then came the crash.	それから、ドシンという衝撃におそわれました。
When Fatty Coon opened his eyes he expected to see Johnnie Green all ready to seize him.	8 目を開けたとき、ふとっちょあらいぐまは、ジョニー・グリーンがいまにも自分をつかまえようとしているところが見えるのだと思っていました。
But to his great surprise he was still far above the ground.	ところが、おどろいたことに、地面はまだずっと下のほうにありました。
You see, Farmer Green had been mistaken.	ですからね、農夫のグリーンは、勘ちがいをしていたのですよ。
Either the big chestnut tree was taller than he had guessed, or the woods were nearer than he had thought.	大きなクリの木は、グリーンが見当をつけていたよりもずっと高かったし、森は、彼が考えていたよりもずっと近かったのです。
For instead of dropping upon the ground, Fatty's tree had fallen right against another tree on the edge of the woods.	そのために、ふとっちょがしがみついていた木は、地面にたおれる代わりに、森のはしのほかの木の上にたおれかかったのです。
And there it lay, half-tipped over, with its branches caught fast in the branches of that other tree.	ほかの木の枝が、大きなクリの木の枝をしっかりととらえ、半分かしいだかっこうで横たわったのです。
It was no wonder that Johnnie Green shouted.	9 ジョニー・グリーンがさけび声をあげたのも、むりはありません。
And he shouted still more loudly when he saw Fatty scramble out of the big chestnut and into the other tree,	ふとっちょが大きなクリの木からとなりの木によじ登るのを見て、ジョニーはいっそう大きなさけび声をあげました。
and out of that tree and into another, and then out of THAT tree.	そこからまたとなりの木に移り、そのまたとなりの木に移ると、ジョニーの声はどんどん大きくなりました。
Fatty was going straight into the woods.	ふとっちょは、そのまま森に入っていきました。
It was no wonder that Johnnie Green shouted.	10 ジョニー・グリーンがさけび声をあげたのも、むりはありません。
For he had lost his pet coon.	自分のペットのあらいぐまを逃してしまったのですから。
He had lost him before he ever had him.	まだ一度もつかまえないうちからとり逃してしまったのですから。
And he was sadly disappointed.	ジョニーはひどくがっかりしました。
But Fatty Coon was not disappointed,	11 でも、ふとっちょあらいぐまは、がっかりしませんでした。
for he had not wanted to be a pet at all.	ペットになんか、ちっともなりたくなかったのですから。
And he was very glad	そして、大よろこびしました
--you may be sure	――みなさんだってそうでしょう
--to get safely home once more.	――ふたたび安全なわが家に帰ることができるのですから。
FATTY COON AND THE MONSTER	ふとっちょあらいぐまと怪物
One night Fatty Coon was strolling along the road that wound through the valley.	1 ある晩、ふとっちょあらいぐまは、くねくねと曲がりくねった谷間の道を、ぶらぶら歩いていました。
He was in no hurry,	先を急いではいませんでした。
for he had just left Farmer Green's apple orchard, where he had bolted all the apples he could possibly eat.	農夫のグリーンのリンゴ畑で、食べられるだけのリンゴを飲みこむようにお腹に詰めこんできたばかりでしたから。
The night was dark and though it was not very late, all the country people seemed to be in bed.	まだそれほど夜おそくないというのに、辺りは暗く、この土地にくらす住民たちは、みなベッドに入って眠っているかのようでした。
There were no farmers driving along the road.	道を馬車で走ってくる農夫もいませんでした。
Fatty had it all to himself.	ふとっちょは、すべてが自分のものであるというような、いい気分になっていました。
And so he walked slowly homewards.	ですから、家路にむかってのんびり歩いていました。
It was then	そのときです。
that the terrible monster almost caught him.	恐ろしい怪物に、もうちょっとでつかまえられそうになったのは。
This is how it all happened.	2 それは、このようにして起こりました。
There was a br-br-br-r-r-r in the air.	ブル、ブル、ブル、ル、ル、ル、という音が、辺りにひびきわたりました。
Fatty really should have heard it long before he did.	ふとっちょは、本当ならばもっとはやくその音が聞こえていなければいけませんでした。
But he had eaten so many apples that he had begun to feel sleepy;	でも、あんまりたくさんのリンゴを食べて、眠くなり始めていました。
and his ears were not so sharp as they should have been.	耳がいつもよりもするどくなかったのです。
And when at last Fatty heard that br-r-r-r it was quite loud.	ブル、ル、ル、ル、という音がようやくふとっちょの耳にとどいたとき、ずいぶん大きな音になっていました。
He was startled.	ふとっちょは、ぎょっとしました。
And he stopped right in the middle of the road to listen.	そして、音をよく聞こうと、道のまん中で立ち止まりました。
Fatty had never heard such a sound before.	そんな音は前には一度も聞いたことがありませんでした。
The strange animal was on him before he knew it.	3 その奇妙な動物は、ふとっちょがそうと知る前に、おそいかかってきました。
Its glaring eyes blinded him.	その動物のギラギラと光る目に、ふとっちょの目はくらまされました。
And if it had not screamed at him Fatty would never have escaped.	もしもその動物がふとっちょにむかって金切り声を出さなかったら、ふとっちょは決して逃げ出していなかったでしょう。
It was the terrible screech of the monster which finally made Fatty jump.	その怪物の金切り声のものすごさに、ふとっちょはとうとう飛びあがりました。
It was a frightful cry	恐ろしいさけび声でした
--like six wildcats all wailing together.	――まるで、六ぴきのヤマネコがいっせいに鳴きさけんだような声でした。
And Fatty leaped to one side of the road just before the monster reached him.	怪物につかまえられるまさに直前に、ふとっちょは道のはしに飛びのきました。
The great creature went past Fatty like the wind and tore on up the hill.	4 巨大な生き物は、まるで丘を引きさく突風のようないきおいで、ふとっちょのわきを通りすぎました。
He seemed to be running so fast that he could not stop.	その生き物は、あんまりはやく走りすぎて、止まることができないようでした。
Fatty could hear him panting as he climbed the sharp rise of the road.	その生き物が道の急な登り坂にさしかかると、登りながらあえぐ声が、ふとっちょの耳に聞こえました。
Fatty Coon hurried away.	5 ふとっちょあらいぐまは、家にむかって急いで走りました。
He wanted to get home before the monster could stop and come back to look for him.	怪物が止まることができて、彼をさがしに戻ってくるといけません。
When Fatty told his mother about his narrow escape Mrs. Coon became much excited.	6 危ないところで命びろいしたてんまつをふとっちょから聞かされると、あらいぐま夫人はひどく動ようしました。
She felt sure that Fatty was not mistaken,	ふとっちょが見まちがえたわけではないと、彼女は信じました。
for had she not heard that strange cry herself?	わたしが聞いたおかしなさけび声は、それだったのではないかしら？
There it was again!	7 また聞こえました！
Woo-ooo-ooo-oo-o!	ウウウ、ウウウ、ウウウ、ウウ、ウ！
It began low, rose to a shriek, and then died away again.	始めは低いうなり声だったのが、高まって金切り声になり、そして、ふたたび消え入りました。
Mrs. Coon and Fatty climbed to the very top of their old poplar and gazed down the valley.	8 あらいぐま夫人とふとっちょは、わが家である古いポプラの木のてっぺんに登り、谷間を見下ろしました。
"Look, Mother!"	9 「見て、お母さん！」
Fatty cried.	ふとっちょがさけびました。
"He's stopped at Farmer Green's!	「農夫のグリーンさんの家で止まってる！
You can see his eyes from here!"	ここからでもあいつの目が見えるよ！」
Mrs. Coon looked.	10 あらいぐま夫人は、そちらを見ました。
Sure enough!	まあ、本当だ！
It was just as Fatty said.	ふとっちょが言ったとおりでした。
And that horrid call echoed across the valley once more.	その怪物の恐ろしいさけび声が、ふたたび谷間にこだましました。
Farmer Green stuck his head out of his chamber-window, to see what the man in the automobile wanted.	11 農夫のグリーンは、自動車に乗った男の頼みごとをよく聞こうと、寝室の窓から外に頭をつき出しました。
"Where's the nearest village, please?"	12 「ここから一番近い村の場所を教えていただけませんか？」
the stranger asked.	と、そのよそ者はたずねました。
And after Farmer Green had told him the man drove his car on again.	農夫のグリーンが教えてやると、男はまた自動車を走らせました。
