THE YELLOW FACE	黄色な顔
and an instant later I heard a sharp creaking	それからちょっとたってから、鋭い何かが軋（きし）むような音を耳にしました。
which could only come from the hinges of the front door.	それは玄関の戸の蝶番（ちょうつがい）の音らしいものでした。
I sat up in bed and rapped my knuckles against the rail to make certain that I was truly awake.	――私は寝台の上に起き上がって、自分が本当に目を覚ましているのかどうかを確かめるため、拳固（げんこ）で、寝台のフチをたたいてみました。
Then I took my watch from under the pillow.	それから枕もとの時計を手にとりました。
It was three in the morning.	暁方（あけがた）の三時でした。
What on this earth could my wife be doing out on the country road at three in the morning?	――一体、私の妻は、こんな暁方の三時なんて云う時間にこんな田舎道に出かけていって何をしようと云うのでしょう？
``I had sat for about twenty minutes turning the thing over in my mind and trying to find some possible explanation.	私は廿分間（にじっぷんかん）ばかり、あれやこれやと考えてみて、何か心に思い当ることを見つけようと思って、じっと坐（すわ）っておりました。
The more I thought, the more extraordinary and inexplicable did it appear.	そしてそれからまだしばらく、一生懸命考えてみましたが、しかし何も思い当ることはありませんでした。
I was still puzzling over it	――私は全く途方に暮れていました。
when I heard the door gently close again, and her footsteps coming up the stairs.	と、ちょうどその時、ふと私は再び入口の戸が静かに閉められて、階段を上（あが）って来る彼女の足音を耳にしたんです。
```Where in the world have you been, Effie?'	「エフィ、一体、まあお前はどこへいって来たんだい？」
I asked as she entered.	私は彼女が部屋に這入って来ると訊ねました。
``She gave a violent start and a kind of gasping cry when I spoke,	と、彼女はビックリして、何か微かな叫び声のようなものをあげました。
and that cry and start troubled me more than all the rest,	その叫び声と驚き方とは、いよいよ私の心の疑いを深めました。
for there was something indescribably guilty about them.	なぜならそれらは、そこに何か曰（いわ）くがありそうに思えたからです。
My wife had always been a woman of a frank, open nature,	――元来私の妻は不断から隠しごとの出来ない明けっ放しな性質の女なんです。
and it gave me a chill to see her slinking into her own room and crying out and wincing when her own husband spoke to her.	それなのにその時に限って彼女はこっそり自分の部屋に逃げ込もうとして、自分自身の亭主に声をかけられると、アッと驚いて、おずおずと怖がっているのを見ては私はだまってはいられませんでした。
```You awake,	「まあ、あなた起きてらしったの？
Jack!'	ジャック」
she cried with a nervous laugh.	と、苦しげに笑いを浮べながら云いました。
`Why, I thought that nothing could awake you.'	「おやすみなんだろうと思ったのよ」
```Where have you been?'	「どこへいって来たの？」
I asked, more sternly.	と、私は少しけわしい声で訊ねてみました。
'' `I don't wonder that you are surprised,'	「ねえ、あなたびっくりなすったんでしょう」
said she,	と、彼女は申しました。
and I could see that her fingers were trembling as she undid the fastenings of her mantle.	彼女の手の指はぶるぶるふるえて、マントをとることも出来ないほどでした。
`Why, I never remember having done such a thing in my life before.	「私、こんなことを、今までにただの一度もした覚えはないわ。
The fact is that I felt as though I were choking	私ね、咽喉（のど）がつまりそうな気がしたのよ。
and had a perfect longing for a breath of fresh air.	だから、しばらく外の空気を吸って来たの。
I really think that I should have fainted if I had not gone out.	――私、外へ出て行かなければ、死んじまったのかもしれないと思うわ。
I stood at the door for a few minutes,	私、入口の所にしばらく立っていたの。
and now I am quite myself again.'	でも、もう、すっかり大丈夫なの」
``All the time that she was telling me this story she never once looked in my direction, and her voice was quite unlike her usual tones.	彼女はそう云ってる間中（あいだじゅう）、ただの一度も私をまともに見ようともせず、また彼女の声の調子は、不断とはまるきり違っておりました。
It was evident to me that she was saying what was false.	私には彼女が嘘をついてると云うことがはっきり分りました。
I said nothing in reply, but turned my face to the wall, sick at heart,	私は何も返事をしないで、壁のほうを向いたまま、どうしてやろうかと考えました。
with my mind filled with a thousand venomous doubts and suspicions.	私の心は恐ろしい疑念や猜疑心で一ぱいでした。
What was it that my wife was concealing from me?	――私の妻が私に隠していることはどんな事なんだろう。
Where had she been during that strange expedition?	そして一体さっきはどこへいって来たんだろう。
I felt that I should have no peace until I knew,	――私はそれらを確めるまでは、到底平和な気持ちになることは出来ないと思いました。
and yet I shrank from asking her again after once she had told me what was false.	けれどそのまま、二度と彼女に質問しようとはしませんでした。
All the rest of the night I tossed and tumbled, framing theory after theory, each more unlikely than the last.	そしてその夜（よ）は一晩中、私はそれらのことを確める方法を考えて、まんじりともせずに転輾反則（てんてんはんそく）しました。
``I should have gone to the City that day,	そうこうしているうちに夜（よ）があけましたが、その日、私は町へ行く手筈（てはず）になっていたのです。
but I was too disturbed in my mind to be able to pay attention to business matters.	しかし私の心はすっかり滅茶滅茶になっていて、到底商売上の取引などは出来そうにもありませんでした。
My wife seemed to be as upset as myself,	また私の妻も私と同じようにすっかり平静さをなくしているらしく見えました。
and I could see from the little questioning glances which she kept shooting at me	私には、彼女が窺（うかが）うようにチラッと私を見た目つきでそれが分ったのです。
that she understood that I disbelieved her statement, and that she was at her wit's end what to do.	そして彼女はまた、彼女が前の晩した云いわけを私がちっとも信じていないと云うことを知っていて、どうにかしようと考えていることも、私にはよく分りました。
We hardly exchanged a word during breakfast,	――私たちは朝飯（あさめし）の間一言も口をききませんでした。
and immediately afterwards I went out for a walk	そして朝飯がすむとすぐ私は散歩に出かけました。
that I might think the matter out in the fresh morning air.	私は朝の澄んだ空気の中で、昨夜からの事件を考え直してみようと思ったのです。
``I went as far as the Crystal Palace, spent an hour in the grounds,	私はクリスタル・パレス（ロンドンの南部にある遊覧所）の辺（へん）までも歩いていって、そこで一時間ばかり腰かけておりました。
and was back in Norbury by one o'clock.	そして一時頃にノーブリーに帰って来ました。
It happened that my way took me past the cottage,	――と、偶然に私は例の離れ家の前に出ました。
and I stopped for an instant to look at the windows and to see if I could catch a glimpse of the strange face which had looked out at me on the day before.	私はしばらく立ち止って、前日私をじっと見詰めていた例の気味悪い顔を、もう一度見つけることが出来るかもしれないと思って、あの窓を見上げてみました。
As I stood there, imagine my surprise, Mr. Holmes, when the door suddenly opened and my wife walked out.	するとどうです、ホームズさん、ふいにその家（うち）のドアが開かれて、中から私の妻が出て来たではありませんか。
``I was struck dumb with astonishment at the sight of her,	私は驚きの余りものも云えませんでした。
but my emotions were nothing to those which showed themselves upon her face when our eyes met.	しかし私たちの視線が出会った時、彼女の顔に現れた驚きの表情は、私のより更に激しいものでした。
She seemed for an instant to wish to shrink back inside the house again;	彼女は瞬間にちょっとまた家（うち）の中に逃げ込もうとするような様子を見せましたが、
and then, seeing how useless all concealment must be, she came forward,	もう到底隠れることが出来ないのを知ると、私のほうへ近寄って来ました。
with a very white face and frightened eyes which belied the smile upon her lips.	彼女は蒼白な顔をし、恐怖に満ちた目をしていながら、唇の上には微笑（びしょう）を浮べておりました。
```Ah, Jack,'	「まあ、ジャック、
she said,	――私ね、今度いらしったお隣さんへ、何かお力になって上げられるようなことはないかと思って、伺（うかが）った所だったのよ。
`I have just been in to see if I can be of any assistance to our new neighbours.	――まあ、なんだってそんなに私をご覧になるの、ジャック。
Why do you look at me like that, Jack?	何かおこってるの？」
You are not angry with me?'	と、彼女は申しました。
```So,'	「そうか、昨夜、お前が来たのはここだろう？」
said I,	私は云いました。
```What do you mean?'	「なんですって？」
she cried.	彼女は声を高くしました。
'' `You came here.	「お前は来た。
I am sure of it.	それは確かだ。
Who are these people that you should visit them at such an hour?'	――一体、お前がそうやって一時間ばかり会いにやって来なければならない人間って、何者なんだ？」
```I have not been here before.'	「私、今ままでにここへ来たことなんかありませんわ」
'' `How can you tell me what you know is false?'	「どうしてお前は私に嘘をつくんだ？」
I cried.	と、私は怒鳴りました。
`Your very voice changes as you speak.	「お前のしゃべる声はまるで変ってるじゃないか。
When have I ever had a secret from you?	お前は今までに、私に何かものをかくしていたことがあるか？
I shall enter that cottage, and I shall probe the matter to the bottom.'	――よし、私はこの家（うち）の中へ這入ってって、徹底的に調べてやる！」
```No, no, Jack, for God's sake!'	「いけません、ジャック、お願いですわ」
she gasped in uncontrollable emotion.	彼女は夢中になって叫びました。
Then, as I approached the door, she seized my sleeve and pulled me back with convulsive strength.	そして私が入口に近寄って行くと、私の袖口にしがみついて、猛烈な力で引き戻しました。
```I implore you not to do this, Jack,'	「ねえジャック、お願いだからそんなことしないでちょうだい」
she cried.	彼女は叫ぶように云うのでした。
`I swear that I will tell you everything some day,	「その代り、いつかはきっと、何もかもみんなお話しするわ。
but nothing	けれども何でもないのよ。
but misery can come of it if you enter that cottage.'	――でも、今、この家（うち）の中へ這入って行くと不幸が起きて来るの」
Then, as I tried to shake her off, she clung to me in a frenzy of entreaty.	私は彼女を振り放そうとしましたが、彼女はまるで気違いのように嘆願しながら私に噛（かじ）りつくのでした。
```Trust me, Jack!'	「ねえジャック、私を信じて！」
she cried.	と、彼女は叫びました。
`Trust me only this once.	「今度だけでいいから、私を信じて。
You will never have cause to regret it.	――あとで悲しまなければならないような原因を作っちゃいけないわ。
You know that I would not have a secret from you if it were not for your own sake.	――私、あなたのためでなければ、あなたに何もかくしたりなんかしやしないの。
Our whole lives are at stake in this.	私たちの命が、これにかけられてあるのよ。
If you come home with me all will be well.	けれどあなたが私とこのまま家（うち）へ帰って下されば、すべてはうまく行くの。
If you force your way into that cottage all is over between us.'	そうでなくて、もしあなたが無理にこの家（いえ）の中へ這入っていらっしゃれば、もうそれまでなの」
``There was such earnestness, such despair, in her manner that her words arrested me,	彼女の熱心さとそして憂わしげな様子とは、私を思いとまらせました。
and I stood irresolute before the door.	そして私は入口の前に心をきめ兼ねて立っていたのです。
```I will trust you on one condition,	「条件づきでお前の云うことを信じよう。
and on one condition only,'	たった一つの条件づきで……」
said I at last.	やがて私は云いました。
`It is that this mystery comes to an end from now.	「それはこの不快な事件を、きょうを最後にすると云う条件だ。
You are at liberty to preserve your secret,	――お前はお前の秘密をかくしていたいならそれはお前の自由だ。
but you must promise me	けれどただこれだけは約束しなくちゃいけない。
that there shall be no more nightly visits, no more doings which are kept from my knowledge.	もう二度と夜中によそへ出て行かないと云うことと、私に知らせないでは何もしないと云うことだけは。
I am willing to forget those which are past if you will promise that there shall be no more in the future.'	――そして、もうこれからこんなことはしないと云うなら、出来ちまったことは忘れてやってもいい」
```I was sure that you would trust me,'	「たしかに私を信じて下さるわね」
she cried with a great sigh of relief.	と、彼女はそう云って、ホッと太い溜息をつきました。
`It shall be just as you wish.	「あなたのお望み通りにするわ。
Come away	ね、さあ、行きましょう。
-- oh, come away up to the house.'	家（うち）へ帰りましょう」
``Still pulling at my sleeve, she led me away from the cottage.	彼女はなおも、その離れ家から私を連れ去ろうとして私の袖を引っぱるのでした。
As we went I glanced back, and there was that yellow livid face watching us out of the upper window.	やがて少し行ってから私が振り返ってみますと、例の黄色な鉛色の顔が、二階の窓からじっと私たちを見詰めておりました。
What link could there be between that creature and my wife?	――一体、あの気味の悪い顔と私の妻との間に、何かのつながりがあるなんて云うことがあるだろうか。
Or how could the coarse, rough woman whom I had seen the day before be connected with her?	否（いな）、きのう私が会った、あの呪わしい粗野な女が、どうして私の妻とつながりをつけたのだろう？
It was a strange puzzle,	――不思議な謎です。
and yet I knew that my mind could never know ease again until I had solved it.	そしてこの謎を解かない限り、私の心はどうしても平静に戻ることは出来ないと云うことが分かりました。
``For two days after this I stayed at home,	それから二日の間、私は家（うち）におりました。
and my wife appeared to abide loyally by our engagement, for, as far as I know, she never stirred out of the house.	そして私の妻は、私たちの約束に絶対的に服従して、私の知ってる範囲では、家（うち）から外へは決して出ようとしませんでした。
On the third day however, I had ample evidence that her solemn promise was not enough to hold her back from this secret influence which drew her away from her husband and her duty.	すると二日目のこと、私は彼女のした約束が厳格に守られていないで、彼女は彼女の夫と彼女の義務を裏切っていると云う証拠を握ったのです。
``I had gone into town on that day, but I returned by the 2:40 instead of the 3:36, which is my usual train.	その日私は町へ出かけていったのでしたが、いつも私が乗る習慣になっていた三時三十六分の汽車の代りに、二時四十分の汽車で帰って来たのです。
As I entered the house the maid ran into the hall with a startled face.	そして家（うち）に這入ると、女中がびっくりした顔をして、大広間に飛び出して来ました。
```Where is your mistress?'	「奥さんはどこにいる？」
I asked.	私は訊ねました。
'' `I think that she has gone out for a walk,'	「散歩にお出かけになったようでございますわ」
she answered.	と、女中は答えました。
``My mind was instantly filled with suspicion.	私の心はみるみる猜疑心で一ぱいになってしまいました。
I rushed upstairs to make sure that she was not in the house.	私は彼女が家（うち）にいないと云うことを確かめるために、二階にかけ上がりました。
As I did so I happened to glance out of one of the upper windows	私は二階にかけ上（あが）りながら、偶然に窓から表（おもて）をチラッと見ました。
and saw the maid with whom I had just been speaking running across the field in the direction of the cottage.	と、私は、今私が口をきいて来たばかりの女中が、広場を横切って例の離れ家のほうへ走って行くのを見つけたのです。
Then of course I saw exactly what it all meant.	こうなれば、無論私は、すべてのことを想像することが出来ます。
My wife had gone over there	――私の妻は例の離れ家にいっているのです。
and had asked the servant to call her if I should return.	そしてもし私が帰って来たら迎えに来るように云いつけてあったのです。
Tingling with anger, I rushed down and hurried across,	私は怒りにふるえながら、二階から馳（か）け降りると広場を横切って走って行きました。
determined to end the matter once and forever.	この事件をきれいに解決してやろうと決心して。
I saw my wife and the maid hurrying back along the lane,	――私は私の妻と女中が並んで、例の細い道をいそいで戻って来るのに出会いました。
but I did not stop to speak with them.	しかし私は立ち止ろうともしませんでした。
In the cottage lay the secret which was casting a shadow over my life.	――あの離れ家の中に、私の生活に暗い影を投げている、何かの秘密が横たわっているんだ。
I vowed that, come what might, it should be a secret no longer.	たといそれがどんなものであろうと、いつまでも秘密にしておいてはならない、
I did not even knock when I reached it, but turned the handle and rushed into the passage.	そしてその離れ家につくと、私はノックもせずに、いきなりドアのハンドルを廻して中に飛び込んだのです。
``It was all still and quiet upon the ground floor.	一階は全く静かでひっそりしていました。
In the kitchen a kettle was singing on the fire, and a large black cat lay coiled up in the basket;	お勝手のお鍋の中で何かがぐずぐず煮えてい、黒い猫が籠の中にうずくまっているだけで、
but there was no sign of the woman whom I had seen before.	私が前に会った女の影はどこにも見えませんでした。
I ran into the other room,	私は別の部屋に馳（か）け込んでみました。
but it was equally deserted.	しかしそこにも同じように誰もいませんでした。
Then I rushed up the stairs only to find two other rooms empty and deserted at the top.	そこで私は二階に上っていってみましたが、しかし誰もいない空っぽの部屋が二つあるのを見出（みいだ）したばかり。
There was no one at all in the whole house.	家中（うちじゅう）に人一人いないのです。
The furniture and pictures were of the most common and vulgar description, save in the one chamber at the window of which I had seen the strange face.	――飾ってある家具類や絵は至って平凡な凡俗なものばかりでしたが、私が、例の奇妙な顔を見た窓のついている寝室の中だけは別でした。
That was comfortable and elegant,	そこは気持ちよく優雅に飾ってありました。
and all my suspicions rose into a fierce, bitter flame when I saw that on the mantelpiece stood a copy of a full-length photograph of my wife,	が、そこの暖炉棚の上に、私の妻の等身大の肖像画が飾ってあるのを見つけた時、私の疑念は一時（いちじ）にムラムラと燃え上がりました。
which had been taken at my request only three months ago.	その肖像画と云うのは、たった三ヶ月前に私が望んで描かせたばかりのものだったのです。
``I stayed long enough to make certain that the house was absolutely empty.	私は家（うち）の中がたしかに空っぽであると云うことを確かめるために、なおまだ長い間そこに立っておりました。
Then I left it, feeling a weight at my heart such as I had never had before.	が、やがて私は、何か今までに経験したことのない圧迫を感じて来て、私はその家（いえ）を出ました。
My wife came out into the hall as I entered my house;	そして私は家（うち）に帰りますと、妻は大広間に出て来ました。
but I was too hurt and angry to speak with her, and, pushing past her, I made my way into my study.	けれど私は彼女に話しかけるには、余りにイライラし腹が立っていましたので、ものも云わずにさっさと自分の部屋に這入ってしまいました。
She followed me, however, before I could close the door.	けれども彼女は、私が部屋のドアをしめないうちに、私について中に這入って来ました。
```I am sorry that I broke my promise,	「ごめんなさい、約束を破って。
Jack,'	ジャック」
said she,	彼女は云いました。
`but if you knew all the circumstances I am sure that you would forgive me.'	「けれどもしあなたが、すべての事情を知って下すったら、きっと私を許して下さると思うわ」
```Tell me everything, then,'	「じア、すっかりお話し」
said I.	と、私は云いました。
'' `I cannot, Jack, I cannot,'	「話せないのジャック、話すことは出来ないの」
she cried.	彼女は叫びました。
```Until you tell me who it is that has been living in that cottage, and who it is to whom you have given that photograph, there can never be any confidence between us,'	「あの離れ家の中に住んでいるのは何者だか、そしてまた、お前があの肖像をやったのは何者だか、それをお前が話すまでは、私たちの間は夫婦でもなんでもないんだ」
said I, and breaking away from her I left the house.	私はそう云うと、彼女から逃げて家（うち）を出てしまいました。
That was yesterday, Mr. Holmes,	――ホームズさん。
and I have not seen her since, nor do I know anything more about this strange business.	それ以来私は彼女に会いませんし、従ってこの奇妙な事件についても何も知りません。
It is the first shadow that has come between us,	これは私達夫婦の間にかもされた最初の暗い影なのです。
and it has so shaken me that I do not know what I should do for the best.	そして私はさんざん頭を悩ましたけれど、どうしたら一番よいのか分からないのです。
Suddenly this morning it occurred to me that you were the man to advise me, so I have hurried to you now,	――するとけさのことでした、ふと私は、あなたなら私の相談に乗って下さると思いついて、いそいでやって来たんです。
and I place myself unreservedly in your hands.	そして何もかも腹臓（ふくぞう）なく申上げてあなたのお手にすがったわけなんです。
If there is any point which I have not made clear, pray question me about it.	――まだもしどこかはっきりしない点があるようでしたら、どうかおききになって下さい。
But, above all, tell me quickly what I am to do,	けれど、いずれにせよどうか早く、私はどうしたらいいか、それを云って下さい。
for this misery is more than I can bear.''	私はこの不幸に、もう堪（た）えられないんです」
Holmes and I had listened with the utmost interest to this extraordinary statement,	ホームズと私とは、この驚くべき話を、非常な興味を以ってきいた。
which had been delivered in the jerky, broken fashion of a man who is under the influence of extreme emotion.	それは話し手が激しい感情に捕われていたため、早口に順序もかまわずに話されたのだったけれど。
My companion sat silent now for some time, with his chin upon his hand, lost in thought.	――ホームズはしばらくの間無言のまま、額（ひたい）に両手をあてて、じっと考えに沈みながら坐っていた。
``Tell me,''	が、やがて彼は云った。
said he at last,	「その窓で見たのは、確かに人間の顔だと断言出来ますね」
``Each time that I saw it I was some distance away from it so that it is impossible for me to say.''	「ところが、それを私が見た時はいつも、かなり離れていたので、確かにそうだと云うことは出来ないんです」
``You appear, however, to have been disagreeably impressed by it.''	「けれどあなたはそれを見ていやな気がしたとおっしゃいましたね」
``It seemed to be of an unusual colour and to have a strange rigidity about the features.	「うす気味の悪（わ）るい色をして、硬（こわ）ばった顔をしていました。
When I approached it vanished with a jerk.''	そして私が近寄って行くと、急に、かくれてしまうのでした」
``How long is it since your wife asked you for a hundred pounds?''	「それはあなたの奥さんが、あなたに百磅（ポンド）請求してから、どのくらい後でしたか？」
``Nearly two months.''	「二ヶ月ばかり」
``Have you ever seen a photograph of her first husband?''	「あなたは、奥さんの最初の檀那さんの写真を見た事がありますか？」
``No,	「いいえ。
there was a great fire at Atlanta very shortly after his death,	――彼女の初めての夫が死んでからまもなく、アトランタに大きな火事があったんです。
and all her papers were destroyed.''	それで、彼女の持っていた写真はみんな焼けてしまいました」
``And yet she had a certificate of death.	「奥さんは死亡証明書を、持ってる。
You say that you saw it.''	――あなたはそれを、御（ご）らんになったと、おっしゃいましたね」
``Yes,	「ええ。
she got a duplicate after the fire.''	彼女は火事の後（のち）、複写をとったのです」
``Did you ever meet anyone who knew her in America?''	「あなたは、アメリカであなたの奥さんを知ってる人に、誰かお会いになった事はありませんか」
``No.''	「いいえ」
``Did she ever talk of revisiting the place?''	「奥さんは、またアメリカへ行きたいなどと、おっしゃってはいませんか」
``No.''	「いいえ」
``Or get letters from it?''	「でなければ、アメリカから手紙が来ませんか」
``No.''	「私のしってる範囲ではない様です」
``Thank you.	「有難うございました。
I should like to think over the matter a little now.	――ところで、その事件について考えてみなけりアならないんですが、
If the cottage is now permanently deserted we may have some difficulty.	もしその離れ家がそのまま空家になっているとすると、これはちょっと困難な問題ですね。
If, on the other hand, as I fancy is more likely the inmates were warned of your coming and left before you entered yesterday, then they may be back now, and we should clear it all up easily.	しかしその反対に、実はそうあってほしいんですが、もしその離れ家に住んでた人が、あなたのやって来るのを前以って知っていて、きのうあなたが這入って行く前にその離れ家から出ていって、今はまた戻って来ているのだとすると、これは案外容易に片がつくと思うんです。
Let me advise you, then, to return to Norbury and to examine the windows of the cottage again.	――で、それについてあなたにお願いしたいのは、ノーブリーへお帰りになって、もう一度その窓を調べていただきたいんです。
If you have reason to believe that it is inhabited, do not force your way in, but send a wire to my friend and me.	そしてもし確かに誰か中に住んでいるらしいことがお分かりになったら、あなた御自身で中へ這入っていくようなことはなさらないで、私の友人と私に電報を打って下さい。
We shall be with you within an hour of receiving it, and we shall then very soon get to the bottom of the business.''	そうすれば私達は一時間以内にはそこへいって、大いそぎで事件を徹底的に解決してしまうことが出来るでしょう」
``And if it is still empty?''	「もしまだ空家のままでしたら？」
``In that case I shall come out to-morrow and talk it over with you.	「その時については、明日（みょうにち）、またあなたとよく相談しましょう。
Good-bye,	――じアさよなら。
and, above all, do not fret until you know that you really have a cause for it.''	特に確実に根拠をつかんでしまうまでは充分慎重にやって下さい」
``I am afraid that this is a bad business, Watson,''	そうして私の仲間は、グラント・マンロー氏をドアまで見送って帰って来ると、
said my companion as he returned after accompanying Mr. Grant Munro to the door.	「ワトソン君、こいつはちと厄介な事件らしいね。
``What do you make of it?''	どうしたらいいだろう？」
``It had an ugly sound,''	「悪い奴が一人いるね」
I answered.	私は答えた。
``Yes.	「そうだ。
There's blackmail in it,	――脅喝（きょうかつ）している奴がいる。
or I am much mistaken.''	いないとなると僕の非常な思い違いになるんだが……」
``And who is the blackmailer?''	「とすると脅喝（きょうかつ）している奴は何者だろう」
``Well, it must be the creature who lives in the only comfortable room in the place and has her photograph above his fireplace.	「無論、その離れ家の例の気持ちよく飾った寝室だけに住んでる、あの男の妻の肖像を暖炉棚の上に飾っとく男さ。
Upon my word, Watson, there is something very attractive about that livid face at the window,	――僕に云わせると、ワトソン君、窓に現れる例の蒼白い顔に目星をつけるべき何物かがあると思うんだ。
and I would not have missed the case for worlds.''	それにしても事件の真相を誤ってはならないからね」
``You have a theory?''	「で、君には対策があるのかい？」
``Yes, a provisional one.	「ああ、自分だけで考えてるのはあるんだが、
But I shall be surprised if it does not turn out to be correct.	事件が私の考えてる通りにいってくれないと困るんだ。
This woman's first husband is in that cottage.''	――とにかくこの女の最初の夫と云うのが、その例の離れ家の中にいるんだよ」
``Why do you think so?''	「なぜそう思うんだい？」
``How else can we explain her frenzied anxiety that her second one should not enter it?	「だって、今の亭主をその離れ家の中に入れまいとして、彼女が気違いのような騒ぎをしたと云うことについて、僕たちはどう説明したらいいだろう。
The facts, as I read them, are something like this:	僕が想像した所によると、事実はこうなんだよ。
This woman was married in America.	――この女はアメリカで結婚した。
Her husband developed some hateful qualities,	ところがその夫は、何かいやな性質を持っていたんだ。
or shall we say he contracted some loathsome disease and became a leper or an imbecile?	あるいは、何かいやな病にかかった、たとえば癩（らい）病とか痴呆症とか、そんなものになったと云ってもいい。
She flies from him at last, returns to England, changes her name,	彼女はたまらなくなって、亭主から逃げ出して、名前をかえて英国に帰って来たんだ。
and starts her life, as she thinks, afresh.	そして彼女が考えた通りに新しく生活をし直したんだ。
She has been married three years and believes that her position is quite secure,	――彼女は三年間の結婚生活をした、そして誰かの死亡証明書を彼女の今の夫に見せて、自分の位置が怪しくないことを信じさせたのだ。
having shown her husband the death certificate of some man whose name she has assumed,	しかも彼女はその死亡証明書の人間の名前をそのまま名乗っていたんだ。
when suddenly her whereabouts is discovered by her first husband,	――ところが、ふと、彼女の先の夫に、彼女の居場所を見つけられた。
or, we may suppose,	――でなけりゃ、またこうも想像出来るんだ。
by some unscrupulous woman who has attached herself to the invalid.	その病気の男と一しょになった淫奔女（いんほんおんな）があってそれに見つけられたんだ。
They write to the wife and threaten to come and expose her.	そこでその二人は彼女に手紙を書いて、やって来て事実を暴露するぞ、とおどかしたんだね。
She asks for a hundred pounds and endeavours to buy them off.	で彼女は百磅（ポンド）を夫からもらって、それで彼等を追払おうとした。
They come in spite of it,	ところがそれにもかかわらず彼等はやって来た。
and when the husband mentions casually to the wife that there are newcomers in the cottage, she knows in some way that they are her pursuers.	そして彼女の夫が、例の離れ家に新しい人が引越して来たと云って話した時、彼女はそれが彼女の脅迫者たちだと云うことを直感したんだよ。
She waits until her husband is asleep and then she rushes down to endeavour to persuade them to leave her in peace.	で、彼女はその夜（よ）、夫の寝入るのを待って、その離れ家に出かけていって、彼女をそのまま平和にしておいてくれるように彼等を説得しようと努めたんだ。
Having no success, she goes again next morning, and her husband meets her, as he has told us, as she comes out.	しかし成功しなかったので翌朝また出かけていって、その時、彼女の夫が僕たちに話したように、そこから出て来て、パッタリ彼女の夫に出会ったのだ。
She promises him then not to go there again,	そこで、もう再びそこへは行かないと云う約束をすることになった。
but two days afterwards the hope of getting rid of those dreadful neighbours was too strong for her, and she made another attempt,	しかしそれから二日の後（のち）、彼女はこの恐ろしい隣人たちを、どうしても追い払ってしまおうと決心して、もう一つの計画を立てた。
taking down with her the photograph which had probably been demanded from her.	そこで彼女は例の肖像画、
In the midst of this interview the maid rushed in to say that the master had come home,	するとこの間に、女中が追いかけて来て、彼女の夫が帰って来たことを知らせた。
on which the wife, knowing that he would come straight down to the cottage, hurried the inmates out at the back door, into the grove of fir-trees, probably, which was mentioned as standing near.	で彼女は、突嗟（とっさ）に、その女中の話をきいて、これは夫がいきなりこの離れ家にやって来るに相違ないと想像し、いそいでその中の人間を裏口から出して、たぶんそのすぐそばに生えている樅の林の中に這入らせちまったんだ。
In this way he found the place deserted.	――こう云うわけで、あの男が這入っていった時には、家の中は空っぽだったのさ。
I shall be very much surprised, however, if it is still so when he reconnoitres it this evening.	けれど、もしきょうの夕方、あの男がもう一度様子を見にいって、やっぱりまだ空家のままだったら、お目にかかるよ。
What do you think of my theory?''	――君はどう思うね」
``It is all surmise.''	「僕もそう思うよ」
``But at least it covers all the facts.	「とにかく、事件の真相はこうらしいね。
When new facts come to our knowledge which cannot be covered by it, it will be time enough to reconsider it.	しかしもし何か新事実が発見されて、それが僕たちの予想外のことだったとしても、まだもう一度考え直してみる時間は充分あるからね。
We can do nothing more until we have a message from our friend at Norbury.''	――現在としては、ノーブリーへいったあの男から電報の知らせが来るまでは、何もすることはないわけさ」
But we had not a very long time to wait for that.	しかし私たちは長く待つ必要はなかった。
It came just as we had finished our tea.	その電報は、私達がちょうどお茶を飲み終った所へとどいた。
The cottage is still tenanted [ it said ].	――ハナレヤニハマダタレカイル。
Have seen the face again at the window.	レイノカオ、マドニアラワル。
Will meet the seven-o'clock train	七ジノキシヤデオイデマツ。
and will take no steps until you arrive.	ゴトウチヤクマデシゴトニカカラヌ。
He was waiting on the platform when we stepped out,	そして汽車から降りると、彼はプラットフォームで待っていた。
and we could see in the light of the station lamps that he was very pale, and quivering with agitation.	停車場（ていしゃじょう）の明かりで、彼が非常に蒼ざめて、興奮の余りブルブル震えていることが分かった。
``They are still there,	「奴等はまだいるんです。
Mr. Holmes,''	ホームズさん」
said he, laying his hand hard upon my friend's sleeve.	と彼は、私の友達の袖をかたくつかみながら云った。
``I saw lights in the cottage as I came down.	「私がいった時、例の離れ家に明りがついているのを見ました。
We shall settle it now once and for all.''	すぐいって、ひと思いにすっかり解決しちまいましょう」
``What is your plan, then?''	「あなたはどうしたらいいと思いますか」
asked Holmes as he walked down the dark tree-lined road.	とホームズは、暗い並木道（なみきみち）を下（お）りながら云った。
``I am going to force my way in and see for myself who is in the house.	「私はあの家（いえ）の中へ這入って行って、あそこに住んでいた奴を、見つけ出してやろうと思います。
I wish you both to be there as witnesses.''	無論ご一しょに行って下さるでしょうね」
``You are quite determined to do this in spite of your wife's warning that it is better that you should not solve the mystery?''	「あなたは、あなたの奥さんの、この秘密をあばき出さない方がよいと云う忠告を無視しても、そうしようと決心したんですか？」
``Yes, I am determined.''	「ええ、私は断然やります」
``Well,	「結構です。
I think that you are in the right.	当然だと思います。
Any truth is better than indefinite doubt.	不安な疑いは明らかにするに限りますよ。
We had better go up at once.	――すぐ出かけた方がいいでしょう。
