THE PIT AND THE PENDULUM	落穴と振子
In the centre yawned the circular pit from whose jaws I had escaped ;	その真ん中に、さっきその虎口をのがれたあの円い落穴が口を開いていた。
but it was the only one in the dungeon.	がそれはこの牢獄のなかにただ一つしかなかった。
All this I saw indistinctly and by much effort,	こういうことをすべて私はぼんやりと、しかも非常な努力をして、見たのだ。
for my personal condition had been greatly changed during slumber.	――というわけは、体の状態が眠っているあいだにひどく変っていたからである。
I now lay upon my back, and at full length, on a species of low framework of wood.	今度は仰向けになって体をながながと伸ばし、低い木製の枠組（わくぐみ）のようなものの上に臥（ね）ていた。
To this I was securely bound by a long strap resembling a surcingle.	その枠に馬の上腹帯に似た長い革紐でしっかりと縛りつけられているのだ。
It passed in many convolutions about my limbs and body, leaving at liberty only my head, and my left arm to such extent that I could by dint of much exertion supply myself with food from an earthen dish which lay by my side on the floor.	革紐は手足や胴体にぐるぐると巻きつけてあって、頭と左腕とだけが自由になっていたが、その左腕も非常な骨折りをしてやっと、かたわらの床の上に置いてある土器の皿から食物を取ることができるだけの程度にすぎなかった。
I saw to my horror that the pitcher had been removed .	恐ろしいことには、水差しがなくなっていた。
I say to my horror, for I was consumed with intolerable thirst.	恐ろしいことには――というのは、堪えがたいほどの渇きのために体が焼きつくされるようであったからだ。
This thirst it appeared to be the design of my persecutors to stimulate,	この渇きを刺激するのが私の迫害者どもの計画であったらしい、
for the food in the dish was meat pungently seasoned.	――なぜなら皿のなかの食物はひりひりするように辛く味をつけた肉であったから。
Looking upward, I surveyed the ceiling of my prison.	眼を上の方へ向けて、私はこの牢獄の天井を調べた。
It was some thirty or forty feet overhead, and constructed much as the side walls.	高さは約三、四十フィートであって、側面の壁と非常によく似た造りであった。
In one of its panels a very singular figure riveted my whole attention .	その天井の鏡板の一枚にあるたいへん奇妙な画像が、私の注意をすっかり釘（くぎ）づけにするように強くひきつけた。
It was the painted figure of Time as he is commonly represented, save that in lieu of a scythe he held what at a casual glance I supposed to be the pictured image of a huge pendulum, such as we see on antique clocks.	それは普通によく描かれているような時（タイム）の画像（４）であって、ただ違うのは大鎌のかわりに、ちょっと見たところでは、古風な掛時計についているような巨大な振子（ふりこ）を描いたのであろうと想像されるものを、持っていることであった。
There was something, however, in the appearance of this machine which caused me to regard it more attentively.	しかしこの機械の様子には、なにかしら私にもっと注意深く眺めさせるものがあった。
While I gazed directly upward at it (for its position was immediately over my own), I fancied that I saw it in motion.	まっすぐに上を向いてそれを眺めると（というのはそれの位置はちょうど私の真上にあったから）、なんだかそれが動いているような気がした。
In an instant afterward the fancy was confirmed.	間もなくその考えは事実だということがわかった。
Its sweep was brief, and of course slow.	その振動は短く、もちろんゆっくりしていた。
I watched it for some minutes, somewhat in fear but more in wonder.	私はいくらか恐怖を感じながらも、それよりももっと驚異の念をもって、数分間それを見まもっていた。
Wearied at length with observing its dull movement, I turned my eyes upon the other objects in the cell.	とうとうそののろい運動を見つめるのに疲れてしまって、監房のなかのほかの物に眼をうつした。
A slight noise attracted my notice, and looking to the floor, I saw several enormous rats traversing it.	かすかな物音が私の注意をひいたので、床の方に眼をやると、大きな鼠が何匹かそこを走っているのが見えた。
They had issued from the well which lay just within view to my right.	彼らはちょうど私の右の方に見えるところにある例の井戸から出てきたのだ。
Even then while I gazed, they came up in troops hurriedly, with ravenous eyes, allured by the scent of the meat.	私が眺めているときでさえ、彼らは、肉片の匂いに誘われて、がつがつした眼つきをして、あわただしそうに群れをなしてやってきた。
From this it required much effort and attention to scare them away.	彼らを脅して肉片によせつけないようにするには、たいへんな努力と注意が必要だった。
It might have been half-an-hour, perhaps even an hour (for I could take but imperfect note of time) before I again cast my eyes upward.	ふたたび視線を上の方へ向けたときまでには、半時間か、それともあるいは一時間も（というのは完全に時間を注意することはできなかったから）たっていたかもしれない。
What I then saw confounded and amazed me.	そのとき見たことで、私はすっかり狼狽（ろうばい）し、驚かされた。
The sweep of the pendulum had increased in extent by nearly a yard.	振子の振動は一ヤード近くもその振幅を増しているのだ。
As a natural consequence, its velocity was also much greater.	当然の結果として、その速度もまた大きくなっていた。
But what mainly disturbed me was the idea that it had perceptibly DESCENDED.	しかし、私がもっとも不安だったのは、それが眼に見えて下降してくるという考えであった。
I now observed, with what horror it is needless to say, that its nether extremity was formed of a crescent of glittering steel, about a foot in length from horn to horn; the horns upward, and the under edge evidently as keen as that of a razor.	それから私は、その振子の下端がきらきら光る鋼鉄の三日月形になっていて、先端から先端までは長さが一フィートほどあり、その先端は上の方を向き、下刃は明らかに剃刀（かみそり）の刃のように鋭いということを見てとった。
Like a razor also it seemed massy and heavy, tapering from the edge into a solid and broad structure above.	それは剃刀のようにがっしりしていて重いらしく、刃の方からだんだんに細くなって、上は固くて幅の広い部分になっている。
It was appended to a weighty rod of brass, and the whole HISSED as it swung through the air.	そして真鍮（しんちゅう）の重い柄につけてあって、空気を切って揺れるときに全体がしゅっしゅっと音をたてた。
I could no longer doubt the doom prepared for me by monkish ingenuity in torture.	私はもう、拷問の巧みな僧侶によって自分のために用意された運命を疑うことができなかった。
My cognisance of the pit had become known to the inquisitorial agents	私があの落穴に気がついたということは、とっくに宗教裁判所の役人どもには知れていた。
-- THE PIT, whose horrors had been destined for so bold a recusant as myself,	――あの落穴――その恐怖こそ私のような大胆不敵な国教忌避者のために用意してあったのだ。
THE PIT, typical of hell, and regarded by rumour as the Ultima Thule of all their punishments.	あの落穴――それこそ地獄の典型であり、噂によれば彼らのあらゆる刑罰のなかの極点と考えられているものだ。
The plunge into this pit I had avoided by the merest of accidents,	この落穴に落ちこむことを、私はまったく偶然の出来事によってのがれたのであった。
and I knew that surprise or entrapment into torment formed an important portion of all the grotesquerie of these dungeon deaths.	そして私は驚愕（きょうがく）、つまり拷問の罠（わな）に落ちこんで苦しむことが、この牢獄のいろいろな奇怪な死刑の重要な部分となっていることを知った。
Having failed to fall, it was no part of the demon plan to hurl me into the abyss,	深淵へ落ちなかったからには、私をその深淵のなかへ投げ込むということは、かの悪魔の計画にはなかった。
and thus (there being no alternative) a different and a milder destruction awaited me.	そこで（ほかにとるべき方法もないので）それより別の、もっとお手やわらかな破滅が私を待つことになったのだ。
Milder!	お手やわらかな！
I half smiled in my agony as I thought of such application of such a term.	こんな言葉をこんな場合に使うことを思いつくと、私は苦悶（くもん）のなかでもちょっと微笑したのだった。
What boots it to tell of the long, long hours of horror more than mortal, during which I counted the rushing oscillations of the steel!	鋼鉄の刃のもの凄い振動を数えているあいだの、死よりも恐ろしい長い長い幾時間のことを、話したところでなんになろう！
Inch by inch  -- line by line -- with a descent only appreciable at intervals that seemed ages -- down and still down it came!	一インチずつ――一ライン（５）ずつ――長い年月と思われる間（ま）をおいて、やっとわかるような降り方で――下へ、もっと下へと、降りてくる！
Days passed -- it might have been that many days passed -- ere it swept so closely over me as to fan me with its acrid breath.	それがひりひりするような息で私を煽（あお）りつけるくらい身近に迫ってくるまでには、幾日か過ぎた、
The odour of the sharp steel forced itself into my nostrils.	鋭い鋼鉄の臭いが私の鼻孔をおそった。
I prayed	私は祈った、
-- I wearied heaven with my prayer for its more speedy descent.	――それがもっと速く降りてくるようにと、天がうるさがるほど祈った。
I grew frantically mad, and struggled to force myself upward against the sweep of the fearful scimitar.	気が狂ったようになり、揺れているその偃月刀（えんげつとう）の方へ向って自分の体を上げようともがいた。
And then I fell suddenly calm and lay smiling at the glittering death as a child at some rare bauble.	それからまた急に静かになって、子供がなにか珍しい玩具を見たときのように、そのきらきら輝く死の振子を見て微笑しながら横たわっていた。
There was another interval of utter insensibility;	もう一度、まったく無感覚のときがあった。
it was brief,	それは短いあいだであった。
for upon again lapsing into life there had been no perceptible descent in the pendulum.	なぜなら、ふたたび我に返ったときに振子は眼につくほど下っていなかったから。
But it might have been long	しかしあるいは長いあいだであったかもしれない、
-- for I knew there were demons who took note of my swoon, and who could have arrested the vibration at pleasure.	――というのは、私の気絶するのに気をつけていて、振子の振動を思うままに止めることもできる悪魔どものいることを、私は知っていたから。
Upon my recovery, too, I felt very -- oh! inexpressibly -- sick and weak,	正気づくとまた、私はひどく――おお！　なんとも言いようもないほど――気分が悪く衰弱していることを感じた、
as if through long inanition.	ちょうど長いあいだの飢え疲れのように。
Even amid the agonies of that period the human nature craved food.	その苦痛のあいだにさえ、人間の本能は食物を求めるのであった。
With painful effort I outstretched my left arm as far as my bonds permitted, and took possession of the small remnant which had been spared me by the rats.	私は苦しい努力をして左腕を紐の許すかぎり伸ばし、鼠が食い残しておいてくれた食物のわずかな残りを手に入れた。
As I put a portion of it within my lips there rushed to my mind a half-formed thought of joy -- of hope.	その一片を口のなかへ入れたとき、私の心には半ば形になった歓喜の――希望の――念が湧（わ）きあがった。
Yet what business had I with hope?	しかしこの私が希望などになんの用があろう？
It was, as I say, a half-formed thought	それはいま言ったとおり、なかば形になった考えであった。
-- man has many such, which are never completed.	――人はよくそんな考えを持つが、それは決して完成されるものではない。
I felt that it was of joy -- of hope;	私はそれが歓喜の――希望の――念であることを感じた。
but I felt also that it had perished in its formation.	しかしまたそれが形になりかけて消えてしまったことを感じた。
In vain I struggled to perfect -- to regain it.	それを仕上げようと――取りもどそうと努めたが無駄だった。
Long suffering had nearly annihilated all my ordinary powers of mind.	長いあいだの苦しみは、私のあらゆる普通の心の能力をほとんど絶滅させてしまっていた。
I was an imbecile	私は低能者になっていた、
-- an idiot.	――白痴になっていた。
The vibration of the pendulum was at right angles to my length.	振子の振動は私の身の丈（たけ）と直角になっていた。
I saw that the crescent was designed to cross the region of the heart.	私は偃月刀が自分の心臓の部分をよぎるように工夫してあることを知った。
It would fray the serge of my robe;	それは外衣のセルを擦り切るだろう、
it would return and repeat its operations	――それから返り、そしてまたその動作をくりかえすだろう、
-- again -- and again.	――二回――三回と。
Notwithstanding its terrifically wide sweep (some thirty feet or more) and the hissing vigour of its descent, sufficient to sunder these very walls of iron, still the fraying of my robe would be all that, for several minutes, it would accomplish;	振幅がもの凄く広くなり（約三十フィートか、またはそれ以上）、しゅっしゅっと音をたてて降りてくる勢いが鉄の壁さえ切り裂くくらいであっても、数分間というものはそれのすることはやはり私の外衣を擦り切ることだけであろう。
and at this thought I paused.	ここまで考えてくると私の考えはとまった。
I dared not go farther than this reflection.	この考えより先へは行けなかった。
I dwelt upon it with a pertinacity of attention	私はしつこくこの考えに注意を集めた、
-- as if, in so dwelling, I could arrest HERE the descent of the steel.	――ちょうどそうすれば鋼鉄の刃の下降をそこでとめることができるかのように。
I forced myself to ponder upon the sound of the crescent as it should pass across the garment -- upon the peculiar thrilling sensation which the friction of cloth produces on the nerves.	私は偃月刀が衣服を切って通るときの音を――布地が摩擦されることが神経にさわる奇妙なぞっとするような感覚を、わざと考えてみた。
I pondered upon all this frivolity until my teeth were on edge.	こうしたくだらないことをいろいろと歯の根が浮くくらいになるまで考えてみた。
Down -- steadily down it crept.	下へ――じりじり下へ、振子は這（は）い降りてくる。
I took a frenzied pleasure in contrasting its downward with its lateral velocity.	私はその振子の横に揺れる速度と、下へ降りてくる速度とを照らしあわせて、狂気じみた快感を感じた。
To the right -- to the left -- far and wide -- with the shriek of a damned spirit!	右へ――左へ――遠く広く――悪鬼の叫びをあげて！
to my heart with the stealthy pace of the tiger!	私の心臓めがけて、虎のような忍び足で下へ！
I alternately laughed and howled, as the one or the other idea grew predominant.	この二つの考えのどっちかが力強くなるにしたがって、私はかわるがわるに笑ったり叫んだりした。
Down -- certainly, relentlessly down! It vibrated within three inches of my bosom!	下へ――まちがいなく、無情に下へ、それは私の胸から三インチ以内のところを振動しているのだ！
I struggled violently -- furiously -- to free my left arm.	私は左腕を自由にしようとしてはげしく――猛（たけ）りくるって――もがいた。
This was free only from the elbow to the hand.	その左の腕はただ肘（ひじ）から手首までだけが自由になっていた。
I could reach the latter, from the platter beside me to my mouth with great effort, but no farther.	手は非常な苦心をしてやっとかたわらの皿から口のところへ動かせるだけで、それ以上は動かせなかった。
Could I have broken the fastenings above the elbow, I would have seized and attempted to arrest the pendulum.	もし肘から上の紐を切ることができたら、私は振子をつかまえて止めようとでもしたことであろう。
I might as well have attempted to arrest an avalanche!	それは雪崩（なだれ）を止めようとするのと同じようなことだ！
Down -- still unceasingly -- still inevitably down!	下へ――なおも休みなく――なおも避けがたく下へ！
I gasped and struggled at each vibration.	それが振動するたびに私はあえぎ、もがいた。
I shrunk convulsively at its very sweep.	一揺れごとに痙攣的に身をちぢめた。
My eyes followed its outward or upward whirls with the eagerness of the most unmeaning despair;	眼はまったく意味のない絶望からくる熱心さで、振子が外の方へ、上の方へと跳びあがるあとを追った。
they closed themselves spasmodically at the descent, although death would have been a relief,	そしてそれが落ちてくるときには発作的に閉じた、死は救いであったろうが。
O, how unspeakable!	おお、なんという言うに言われぬ救いであろう！
Still I quivered in every nerve to think how slight a sinking of the machinery would precipitate that keen glistening axe upon my bosom.	あの機械がほんの少しばかり下っただけであの鋭いきらきら光る斧（おの）を私の胸に突きこむのだ、ということを考えると、体じゅうの神経がみなうち震えた。
It was hope that prompted the nerve to quiver -- the frame to shrink.	この神経をうち震えさせ――体をちぢませるものは希望であった。
It was HOPE -- the hope that triumphs on the rack -- that whispers to the death-condemned even in the dungeons of the Inquisition.	宗教裁判所の牢獄のなかであってさえ死刑囚の耳にささやくものは希望――拷問台の上にあってさえ喜びいさむ希望――であった。
I saw that some ten or twelve vibrations would bring the steel in actual contact with my robe,	もう十回か十二回振動すれば鋼鉄の刃が私の外衣にほんとうに触れるということがわかった。
and with this observation there suddenly came over my spirit all the keen, collected calmness of despair.	――そしてそれがわかると、ふいに、私の心には鋭い落ちついた絶望の静けさがやってきた。
For the first time during many hours, or perhaps days, I THOUGHT.	この幾時間ものあいだ――あるいはおそらく幾日ものあいだ――いま初めて私は考えた。
It now occurred to me that the bandage or surcingle which enveloped me was UNIQUE.	すると、自分を巻いている革紐つまり上腹帯は一本だけだということが思いついた。
I was tied by no separate cord.	私は何本もの紐で縛られているのではなかった。
The first stroke of the razor-like crescent athwart any portion of the band would so detach it that it might be unwound from my person by means of my left hand.	剃刀のような偃月刀の最初の一撃が紐のどの部分をよぎっても、その紐が切りはなされて、左手を使って体から解きはなすことができるにちがいない。
But how fearful, in that case, the proximity of the steel!	だが、その場合には鋼鉄の刃のすぐ近くにあることがどんなに恐ろしいことだろう！
The result of the slightest struggle, how deadly!	ほんのちょっとでももがいたらどんなに危ないことになるだろう！
Was it likely, moreover, that the minions of the torturer had not foreseen and provided for this possibility!	そのうえに拷問吏の手下どもが、こんなことがありそうだと察して、それに備えておくということもありそうなことではなかろうか？
Was it probable that the bandage crossed my bosom in the track of the pendulum?	紐が私の胸の振子の通るところに巻いてあるということがありそうだろうか？
Dreading to find my faint, and, as it seemed, my last hope frustrated, I so far elevated my head as to obtain a distinct view of my breast.	このかすかな、そして最後と思われる希望が破られるのを恐れながらも、私は胸のところをはっきり見られるくらいにまで頭を上げてみた。
The surcingle enveloped my limbs and body close in all directions save	革紐は手足も胴も縦横にぐるぐると堅く巻いてあった、
SAVE IN THE PATH OF THE DESTROYING CRESCENT.	――ただ人をうち殺すその偃月刀の通り路だけはのけて。
Scarcely had I dropped my head back into its original position when there flashed upon my mind what I cannot better describe than as the unformed half of that idea of deliverance to which I have previously alluded, and of which a moiety only floated indeterminately through my brain when I raised food to my burning lips.	頭をもとの位置に下ろすとすぐ、前にちょっと言ったところの、そしてその半分が、燃えるような唇に食物を持って行ったときにぼんやり浮んだところの、あの救いという考えのまだ形をなさない半分、というより以上にうまく言いあらわせないものが、私の心にひらめいた。
The whole thought was now present	全体の考えがいまあらわれてきたのだ。
-- feeble, scarcely sane, scarcely definite, but still entire.	――弱い、あまり正気でもない、あまりはっきりしないものであったが、――それでもとにかく全体であった。
I proceeded at once, with the nervous energy of despair, to attempt its execution.	私はすぐに自暴自棄の勇気で、その考えの実行にとりかかった。
For many hours the immediate vicinity of the low framework upon which I lay had been literally swarming with rats.	もう幾時間も、私の臥ている低い枠組のすぐ近くには、鼠が文字どおり群がっていた。
They were wild, bold, ravenous,	彼らは荒々しく、大胆で、がつがつして飢えていた。
their red eyes glaring upon me as if they waited but for motionlessness on my part to make me their prey.	――彼らの赤い眼は、ただ私が動かなくなりさえしたら私を餌食にしようと待ちかまえているように、私の方を向いてぎらぎらと光っていた。
"To what food,"	「この井戸のなかであいつらはいったいどんな食物を食いつけてきたのだろう？」
I thought,	と私は考えた。
They had devoured, in spite of all my efforts to prevent them, all but a small remnant of the contents of the dish.	彼らは、私がいろいろ骨を折って追い払おうとしたのに、もう皿のなかの食物をちょっぴり残しただけで、すっかり食いつくしてしまっていた。
I had fallen into an habitual see-saw or wave of the hand about the platter;	私はただ手を皿のあたりに習慣的に上げ下げして振っていたのだが、
and at length the unconscious uniformity of the movement deprived it of effect.	とうとうその無意識に一様な運動は効き目がなくなってしまった。
In their voracity the vermin frequently fastened their sharp fangs in my fingers.	貪欲（どんよく）にも鼠どもはちょいちょい鋭い牙（きば）を私の指につきたてた。
With the particles of the oily and spicy viand which now remained, I thoroughly rubbed the bandage wherever I could reach it;	私は残っている脂っこいよい香のする肉片を、手のとどくかぎり革紐にすっかりなすりつけて、
then, raising my hand from the floor, I lay breathlessly still.	それから手を床からひっこめて、息を殺してじっと臥ていた。
At first the ravenous animals were startled and terrified at the change-- at the cessation of movement .	初めはその飢えきった動物どもも、この変化に――運動の中止されたのに――驚きおそれた。
They shrank alarmedly back;	彼らはびっくりして尻込みした。
many sought the well.	井戸の方へ逃げたやつも多かった。
But this was only for a moment.	しかしこれはほんのしばらくのことにすぎなかった。
I had not counted in vain upon their voracity.	彼らの貪欲をあてにしたのは無駄ではなかった。
Observing that I remained without motion, one or two of the boldest leaped upon the frame-work and smelt at the surcingle.	私が身動きもしなくなったのを見てとると、いちばん大胆なやつが一、二匹、枠の上に跳びあがって、革紐を嗅（か）いだ。
This seemed the signal for a general rush.	これがまるで総突撃の合図のようであった。
Forth from the well they hurried in fresh troops.	彼らは井戸から出てきて、新たに群れをなして駆け集まってきた。
They clung to the wood, they overran it, and leaped in hundreds upon my person.	枠の木にかじりつき――それを乗りこえ、そして幾百となく私の体の上に跳びあがった。
The measured movement of the pendulum disturbed them not at all.	振子の規則正しい運動などはちっとも彼らの邪魔にはならなかった。
Avoiding its strokes, they busied themselves with the annointed bandage.	彼らは振子に撃たれるのを避けながら、油を塗った革紐に忙しく群がった。
They pressed,	彼らは押しよせ
they swarmed upon me in ever accumulating heaps.	――群がって私の上に絶えず積みかさなった。
They writhed upon my throat;	咽喉の上でのたうちまわった。
their cold lips sought my own;	その冷たい唇が私の唇を探した。
I was half stifled by their thronging pressure;	彼らの群がってくる圧迫のために私はなかば窒息しかかった。
disgust, for which the world has no name, swelled my bosom, and chilled with heavy clamminess my heart.	なんとも言いようのない不快な感じが胸に湧きあがり、じっとりとした冷たさで心臓をぞっとさせた。
Yet one minute and I felt that the struggle would be over.	それでも一分もたつと、私はこの争闘もやがて終ってしまうだろうと感じた。
Plainly I perceived the loosening of the bandage.	私は革紐の緩むのをはっきりと悟った。
I knew that in more than one place it must be already severed.	すでに一カ所以上も切れているにちがいないことがわかった。
With a more than human resolution I lay STILL.	超人間的の決心をもって、私はじっと横たわっていた。
Nor had I erred in my calculations,	私の予想はまちがっていなかった、
nor had I endured in vain.	――忍耐も無益ではなかった。
I at length felt that I was FREE.	やっと私は自由になったのを感じた。
The surcingle hung in ribands from my body.	革紐は幾すじかになって体からぶら下がった。
But the stroke of the pendulum already pressed upon my bosom.	しかし振子の刃はもう胸のところに迫った。
It had divided the serge of the robe.	それは外衣のセルを裂いていた。
It had cut through the linen beneath.	その下のリンネルも切っていた。
Twice again it swung,	またも二回揺れた。
and a sharp sense of pain shot through every nerve.	すると鋭い苦痛の感覚があらゆる神経に伝わった。
But the moment of escape had arrived.	しかし逃げ出る瞬間がきているのだ。
At a wave of my hand my deliverers hurried tumultously away.	手を一振りすると、私の救助者どもはあわてふためいてどっと逃げさった。
With a steady movement, cautious, sidelong, shrinking, and slow, I slid from the embrace of the bandage and beyond the reach of the scimitar.	じりじりと身を動かし――気をつけて、横ざまにすくみながら、ゆっくりと――革紐からすりぬけて、偃月刀のとどかないところへ身をすべらした。
For the moment, at least I WAS FREE.	少なくとも当分は、私は自由になったのだ。
Free!	自由！
and in the grasp of the Inquisition!	――宗教裁判所の手につかまれながら！
I had scarcely stepped from my wooden bed of horror upon the stone floor of the prison, when the motion of the hellish machine ceased and I beheld it drawn up by some invisible force through the ceiling.	恐怖の木の寝台から牢獄の石の床に足を踏み出すとすぐ、あの地獄のような恐ろしい機械の運動がぴったりと止り、なにか眼に見えない力でするすると天井の上に引き上げられるのを私は見た。
This was a lesson which I took desperately to heart.	これは非常に強く身にしみた教訓であった。
My every motion was undoubtedly watched.	私の一挙一動がみな看視されていることは疑いがない。
Free!	自由！
I had but escaped death in one form of agony to be delivered unto worse than death in some other.	――私はただ苦悶の一つの形式による死をのがれて、なにか他の形式の、死よりもいっそう悪いものの手に渡されることになったにすぎないのだ。
With that thought I rolled my eyes nervously around on the barriers of iron that hemmed me in.	そう考えながら、私をとり囲んでいる鉄の壁をびくびくして見まわした。
Something unusual -- some change which at first I could not appreciate distinctly -- it was obvious had taken place in the apartment.	なにか異常なことが――初めははっきりと見分けることのできなかったある変化が――この部屋のなかに起ったことは明らかであった。
For many minutes of a dreamy and trembling abstraction I busied myself in vain, unconnected conjecture.	何分間も夢み心地にわななきながら茫然（ぼうぜん）として、私はただいたずらにとりとめのない臆測にふけっていた。
During this period I became aware, for the first time, of the origin of the sulphurous light which illumined the cell.	そのあいだに、この監房を照らしている硫黄色の光の源を初めて知るようになった。
It proceeded from a fissure about half-an-inch in width	それは幅半インチほどの隙間からくるのだ。
extending entirely around the prison at the base of the walls	その隙間というのは壁の下の方で牢獄をぐるりと一まわりしている。
which thus appeared, and were completely separated from the floor.	だから壁は床から完全に離れているように見えたし、またほんとうに離れていたのである。
I endeavoured, but of course in vain, to look through the aperture.	その隙間からのぞこうと骨を折ったが、もちろん無駄であった。
As I arose from the attempt, the mystery of the alteration in the chamber broke at once upon my understanding.	この試みをやめて立ち上がると、この部屋の変化の神秘が急に理解されるようになってきた。
I have observed that although the outlines of the figures upon the walls were sufficiently distinct, yet the colours seemed blurred and indefinite .	私は前に、壁上に描かれている画の輪郭は十分はっきりしてはいるが、その色彩がぼんやりしていて明瞭ではないようだということを述べた。
These colours had now assumed, and were momentarily assuming, a startling and most intense brilliancy, that give to the spectral and fiendish portraitures an aspect that might have thrilled even firmer nerves than my own.	ところがその色彩がいまや驚くほどの強烈な光輝を帯びて、しかも刻一刻とその光輝を増し、その幽霊のような悪鬼のような画像を、私の神経より強い神経をさえ戦慄させるほどの姿にしたのだ。
Demon eyes, of a wild and ghastly vivacity, glared upon me in a thousand directions where none had been visible before, and gleamed with the lurid lustre of a fire that I could not force my imagination to regard as unreal.	狂暴なもの凄い生き生きした悪魔の眼は、らんらんとして前にはなにも見えなかったあらゆる方向から私をにらみつけ、気味のわるい火の輝きでひらめくので無理にも想像力でそれを幻だと考えてしまうわけにはゆかなかった。
UNREAL!	幻どころか！
-- Even while I breathed there came to my nostrils the breath of the vapour of heated iron!	――呼吸をするときでさえ、灼熱（しゃくねつ）した鉄の熱気が鼻をついてくるのだ！
A suffocating odour pervaded the prison!	息のつまるような臭いが牢獄に満ちた！
A deeper glow settled each moment in the eyes that glared at my agonies!	私の苦悶をにらんでいる眼は一刻ごとにらんらんとした光を強くした！
A richer tint of crimson diffused itself over the pictured horrors of blood.	血の恐怖の画の上には真紅のもっと濃い色がひろがった！
I panted '	私はあえいだ！
I gasped for breath!	息をしようとしてあえいだ！
There could be no doubt of the design of my tormentors	私の迫害者どもの計画についてはなんの疑いもない、
-- oh most unrelenting!	――おお、人間のなかでもいちばん無慈悲な！
oh, most demoniac of men!	おお、いちばん悪魔のような者ども！
I shrank from the glowing metal to the centre of the cell.	私はその真っ赤に熱した鉄板から監房の真ん中の方へあとじさりした。
Amid the thought of the fiery destruction that impended, the idea of the coolness of the well came over my soul like balm.	眼の前にさし迫った火刑の死を考えると、あの井戸の冷たさという観念が、苦痛をやわらげる香油のように心に浮んできた。
I rushed to its deadly brink.	私はその恐ろしい井戸のふちへ走りよった。
I threw my straining vision below.	眼を見はって下の方を見た。
The glare from the enkindled roof illumined its inmost recesses.	燃えたった屋根のぎらぎらする光が井戸の奥そこまで照らしていた。
Yet, for a wild moment, did my spirit refuse to comprehend the meaning of what I saw.	それでもしばらくは、私の心は錯乱していて自分の見たものの意味を理解しようとはしなかった。
At length it forced -- it wrestled its way into my soul	やっとそれが私の心に入ってきた、
-- it burned itself in upon my shuddering reason.	――無理に押し入った、戦（おのの）き震える理性に焼きつけた。
O for a voice to speak!	おお、ものを言う声が出たらいいのだが！
-- oh, horror!	――ああ、恐ろしい！
-- oh, any horror but this!	――ああ、このほかの恐ろしさならなんでもよい！
With a shriek I rushed from the margin and buried my face in my hands	鋭い叫び声をあげて私はそのふちから駆けもどり、両手に顔をうずめた、
-- weeping bitterly.	――はげしく泣きながら。
The heat rapidly increased, and once again I looked up, shuddering as if with a fit of the ague.	熱は急速に増した、私は瘧（おこり）の発作のようにぶるぶる震えながら、もう一度眼をあげた。
There had been a second change in the cell	監房のなかには二度目の変化が起っていた、
-- and now the change was obviously in the FORM.	――そして今度の変化は明らかに形に関するものであった。
As before , it was in vain that I at first endeavoured to appreciate or understand what was taking place.	前と同様に、初めのうちは起りつつあることを感知し理解しようと努めたが、無駄だった。
But not long was I left in doubt.	だが、疑念のなかにとり残されているのも長くはなかった。
The inquisitorial vengeance had been hurried by my two-fold escape,	二回も私がのがれたので、宗教裁判所は復讐（ふくしゅう）を急いでいた。
and there was to be no more dallying with the King of Terrors.	そして懼怖（おそれ）の王（６）とこのうえふざけているわけにはゆかなくなったのだ。
The room had been square.	部屋は前には四角形であった。
I saw that two of its iron angles were now acute -- two consequently, obtuse.	私はいまその鉄の四隅のなかの二つが鋭角をなしているのを――したがって当然ほかの二つは鈍角をなしているのを認めた。
The fearful difference quickly increased with a low rumbling or moaning sound.	この恐ろしい角度の違いは、低くごろごろいうような、または呻（うめ）くような音とともに急速に増した。
In an instant the apartment had shifted its form into that of a lozenge.	またたくまに部屋はその形をかえて菱形となった。
But the alteration stopped not here	しかしこの変化はそれでやみはしなかった、
-- I neither hoped nor desired it to stop.	――私はそれがやむのを望みもしなければ願いもしなかった。
I could have clasped the red walls to my bosom as a garment of eternal peace.	その灼熱した壁を私は、永遠の平和の衣服として胸にぴったり着けることができるのだ。
"Death,"	私は言った、
I said	「死――この落穴の死でさえなければどんな死でもいい！」
Fool!	ばかな！
might I not have known that INTO THE PIT it was the object of the burning iron to urge me?	この落穴のなかへ私を駆りたてるのが、この燃える鉄板の目的であることを知らなかったのか？
Could I resist its glow?	その灼熱に耐えることができるか？
or if even that, could I withstand its pressure ?	あるいはもしそれに耐えることができるとしても、その圧力に逆らうことができるか？
And now, flatter and flatter grew the lozenge, with a rapidity that left me no time for contempla- tion.	そしていまや菱形は、なにも考えるひまを与えないくらいの速さでますます平たくなってきた。
Its centre, and of course, its greatest width, came just over the yawning gulf.	その中心、つまりその幅の広いところは、大きく口を開いているあの深淵の真上であった。
I shrank back	私はたじろいだ、
-- but the closing walls pressed me resistlessly onward .	――が迫ってくる壁は抵抗できないように私を前へ押しすすめた。
At length for my seared and writhing body there was no longer an inch of foothold on the firm floor of the prison.	とうとう焼けこげて悶（もだ）えくるしむ私の体には、もう牢獄の堅い床の上に一インチの足場もなくなった。
I struggled no more, but the agony of my soul found vent in one loud, long, and final scream of despair.	私はもうもがかなかった、が私の苦悶は、一声の高い、長い、最後の、絶望の絶叫となってほとばしった。
