Cracking DES	DESをクラック
obviously, these kinds of resources are not available to the FBI, let alone the Jefferson City Police Department.	これだけのリソースは明らかにFBIにはありませんし、ましてジェファソン市警なんかにあるわけがない。
What's Wrong With Their Statements?	こうした証言のどこがまちがっているのか？
Some of the testimony quoted may have been literally true;	ここで引用した証言の一部は、文字通りの意味では正しいものもある。
nevertheless, it is deceptive.	でも、ここにはごまかしが入っている。
All of the time estimates presented by Administration officials were based on use of general-purpose computers to do the job.	政府監督官僚たちが挙げた解読時間推定はすべて、汎用コンピュータを使った数字に基づいている。
But that's fundamentally the wrong way to do it, and they know it.	でもこれはやりかたとしては根本的にまちがっているし、この役人たちはそれを知っているはずなのだ。
A ordinary computer is ill-suited for use as a DES Cracker.	普通のコンピュータは、DESクラッカーとして使うにはむいていない。
In the first place, the design of DES is such that it is inherently very slow in software, but fast in hardware.	そもそもDESのデザインからして、ソフトでやるには性質上とても遅いけれど、ハードでやるととてもはやいのである。
Second, current computers do very little in parallel;	さらに、いまのコンピュータは並列処理をほとんどしない。
the designers don't know exactly what instructions will be executed, and must allow for all combinations.	チップ設計者たちは、どんな命令が実行されるかわからないので、あらゆる組み合わせに対処できるようにしなくてはならないからだ。
The right way to crack DES is with special-purpose hardware.	DESをまともにクラックしようと思ったら、専用ハードを使うことだ。
A custom-designed chip, even with a slow clock, can easily outperform even the fastest general-purpose computer.	カスタムチップは、クロックが遅くても最高速の汎用コンピュータに楽々勝てる。
Besides, you can get many such chips on a single board,	さらには、ボード一枚にチップをたくさんのせることも可能だ。
rather than the one or two on a typical computer's motherboard.	ふつうのコンピュータは、マザーボード上にチップ一つしかない。
There are practical limits to the key sizes which can be cracked by brute-force searching, but since NSA deliberately limited the key size of DES to 56 bits, back in the 1970's when it was designed, DES is crackable by brute force.	ばか力探索方式でクラックできる鍵のサイズには、現実的に考えれば限界はあるけれど、DESが設計された1970年代に、NSAは意図的にDESの鍵のサイズを56ビットに制限したので、DESはばか力方式でクラックできる。
Today's technology might not be able to crack other ciphers with 64-bit or 128-bit keys--or it might.	今日のテクノロジーでは、64ビットや128ビットの鍵をもった暗号方式は、解読できないかもしれない---が、できるかもしれない。
Nobody will know until they have tried, and published the details for scientific scrutiny.	だれかが試して、その結果を公開し、科学的な検討をうけるまでは、だれにもわからない。
Most such ciphers have very different internal structure than DES, and it may be possible to eliminate large numbers of possible keys by taking advantage of the structure of the cipher.	こうした暗号方式は、DESとは内部構造もかなりちがっているので、その方式の構造を利用することでかなりの数の鍵を除外できてしまうかもしれない。
Some senior cryptographers estimated what key sizes were needed for safety in a 1996 paper;*	高名な暗号学者たちが、安全のために必要な鍵のサイズについて1996年の論文で推定を発表している*。
they suggest that to protect against brute force cracking, today's keys should have a minimum of 75 bits, and to protect information for twenty years, a minimum of 90 bits.	それによると、ばか力クラッキングに対抗するためには最低でも75ビット、そして20年にわたって情報を保護するには、最低でも90ビットの鍵がいる、とされている。
The cost of brute-force searching also overstates the cost of recovering encrypted text in the real world.	またばか力方式の探索コストの推定も、現実世界で暗号化テキストを復元するコストを過大に見積もっている。
A key report on the real impact of encryption on law enforcement+ reveals that there are no cases in which a lack of police access to encrypted files resulted in a suspected criminal going free.	法執行に対して暗号が及ぼす現実的なインパクトについての、重要な報告+によると、警察が暗号化ファイルにアクセスできなかったために、容疑者が釈放される結果となった事例は、実は一つもない。
In most cases the plaintext was recovered by other means,	多くの場合、平文はほかの手段で復元されている。
such as asking the suspect for the key, or finding another copy of the information on the disk.	たとえば容疑者に鍵を出すよう要求したり、ディスク上でその情報の別のコピーを見つける、などの方式である。
Even when brute force is the method of choice, keys are seldom truly random, and can be searched in the most likely order.	ばか力方式を使わなければならなかったときにさえ、キーが本当にランダムだったことはほとんどなく、ありそうな順に探すことができた。
Export Controls and DES	輸出規制と DES
The U.S. Government currently restricts the ability of companies, individuals, and researchers to export hardware or software that includes the use of DES for confidentiality.	いまのアメリカ政府は、企業や個人が機密保持のためにDESを使うハードやソフトを輸出することを制限している。
These "export controls" have been a severe impediment to the development of security and privacy for networked computers, cellular phones, and other popular communications devices.	こうした「輸出制限（export controls）」は、ネットワーク化されたコンピュータや携帯電話など、一般用の通信装置のセキュリティとプライバシー開発にとって、強烈な阻害要因となってきた。
The use of encryption algorithms stronger than DES is also restricted.	DESより強い暗号化アルゴリズムの使用も規制されている。
In December 1996, the government formally offered exporters the ability to incorporate DES,	1996年12月、政府は正式に輸出業者に対し、DESを製品に含めていいという許可を与えた。
but nothing stronger, into their products.	ただしそれより強いものは認められない。
The catch is that these companies would have to sign an agreement with the government, obligating them to install "key recovery" into their products within two years.	そしてこの許可の代償として、こうした企業は政府との同意書に署名しなくてはならず、その同意書はその企業たちに、2年以内に製品に「キーリカバリ」を含めるよう義務づけるものとなっていた。
Key recovery technology provides a way for the government to decrypt messages at will, by offering the government a copy of the key used in each message, in a way that the product's user cannot circumvent or control.	キーリカバリは、各メッセージに使った鍵のコピーを提出させて、政府が好きなだけメッセージを解読できるようにして、しかもそれを製品のユーザは防止したりコントロールしたりできないという方式である。
In short, the government's offer was:	一言で、政府が要求していたのは：
collude with us to violate your customers' privacy, or we won't let you export any kind of secure products.	おれたちと野合して顧客のプライバシーを侵害させろ、さもないと高セキュリティ製品はいっさい輸出させてやらない、ということだ。
At the same time, the FBI was let into the group that reviews each individual company's application to export a cryptographic product.	同時に、各個別業の暗号製品輸出申請書を検討するグループにFBIも加えられた。
All reports indicate that the FBI is making good on the threat, by objecting to the export of all kinds of products that pose no threat at all to the national security (having been exportable in previous years before the FBI gained a voice).	あらゆる報告が指摘しているのは、FBIが強力なおどしをかけていて、国家の安全保障に対していっさい脅威とならないようなさまざまな製品（というのも、それらの製品はFBIが口出しするようになるまでは輸出できていたから）についても、輸出に反対しているということだ。
The FBI appears to think that by making itself hated and feared, it will encourage companies to follow orders.	FBIはどうやら、自分が嫌われ、おそれられるようになれば、会社たちが命令にしたがうようになる、と考えているらしい。
Instead it is encouraging companies to overturn the regulatory scheme that lets the FBI abuse the power to control exports.	ところが実際はかえって、企業たちはFBIが輸出規制を悪用できるようにした規制法規の撤回を求めるようになってしまった。
Industry started a major lobbying group called Americans for Computer Privacy (http://www.computerprivacy.org), which is attempting to change the laws to completely decontrol nonmilitary encryption exports.	業界は大規模なロビイング団体Americans for Computer Privacy (http://www.computerprivacy.org)を設立しているが、これは民生暗号輸出についてはいっさい規制がかからないように、法改正を求めている。
Some dozens of companies to signed up for key recovery, though it is unclear how many actually plan to follow through on their promise to deploy the technology.	何十かの企業がキーリカバリに合意したようだが、キーリカバリを導入するという約束を本気で守るつもりの企業が、実際にはいくつあるのかははっきりしない。
You will not find many of these companies trumpeting key recovery in their product advertisements.	こうした企業のなかで、製品の広告にキーリカバリをうたったものはほとんどない。
Users are wary of it since they know it means compromised security.	ユーザは、キーリカバリがセキュリティに制限をつけるものなのを知っているので、あまり歓迎しない。
If customers won't buy such products, companies know it makes no sense to develop them.	もし顧客がそういう製品を買わないのなら、開発しても意味がない。
The best course for companies is probably to develop products that provide actual security, in some jurisdiction in the world which does not restrict their export.	企業としていちばんいいのは、おそらくは本当のセキュリティを提供できるような製品を、世界の中で輸出制限のかからない地域で開発することだ。
Some companies are doing so.	すでにこれをやっている企業もある。
The government's "compromise" offer discourages hesitant companies from taking this step,	でも政府が「妥協案」を提供しているため、足踏みしている企業はあえてここまでやろうとしない。
by providing a more moderate and conciliatory step that they can take instead.	この妥協案では、もっと穏健な折衷案を採用してもいいよ、というものだ。
Companies that go to the effort to build overseas cryptographic expertise all use stronger technology than DES,	わざわざ外国に暗号開発力をおくだけの手間をかけた企業は、みんなDESより強い技術を使っている。
as a selling point and to guard against early obsolescence.	これはセールスポイントでもあり、また技術の陳腐化を防ぐことにもなる。
If those companies can be convinced to stay in the US, play the government's key-recovery game, and stick with DES, the government continues to win, and the privacy of the public continues to lose.	もしこういう企業がアメリカ国内にとどまり、政府のキーリカバリに参加し、DESを見放さないように説得できるなら、政府の勝利は続き、市民のプライバシーは負け続ける。
The success or failure of the government's carrot-and-stick approach depends on keeping industry and the public misled about DES's security.	この政府のニンジンぶら下げ方式の成否は、業界と市民たちがDESのセキュリティについて誤解したままでいてくれるかどうかにかかっている。
If DES-based products were perceived as insecure, there would be little reason for companies to sign away their customers' privacy birthrights in return for a mess of DES pottage.	もしDESを使った製品がセキュリティが低いと思われてしまえば、会社はDESなどというろくでもない代物ごときのために、顧客の生得のプライバシー権を譲り渡すのに同意する理由はない。
If DES-based products are perceived as secure, but the government actually knows that the products are insecure, then the government gets concessions from companies, without impacting its ability to intercept communications.	もしDESを使った製品が高セキュリティと思われていて、でも政府が実はそれが低セキュリティなのを知っているとしたら、政府は企業から譲歩を引き出せる一方で、自分は通信を傍受できる能力を温存できる。
Keeping the public ignorant gives the government the best of both worlds.	そして市民にそれを知られなければ、政府としてはいちばんいい思いができるわけだ。
Political Motivations and EFF's Response	政治的な動機とEFFの対応
We speculate that government officials are deliberately misleading the public about the strength of DES encryption:	われわれは、アメリカ政府官僚が意図的にDES暗号の強さについて誤解するようにしむけているのだと考える。
To encourage the public to continue using DES, so their agencies can eavesdrop on the public.	市民たちにDESを使い続けさせて、政府機関が市民たちを盗聴できるようにする。
To prevent the widespread adoption of stronger standards than DES, which the government would have more trouble decrypting.	政府が解読に苦労するような、DESよりもっと強力な暗号規格が広がるのを防ぐ。
To offer DES exportability as a bargaining-chip,	DESの輸出可能性を取引材料としてちらつかせる。
which actually costs the government little, but is perceived to be valuable.	これは政府にとってはコストがほとんどないけれど、価値があると思われている。
To encourage policy-makers such as Congressmen or the President to impose drastic measures such as key recovery, in the belief that law enforcement has a major encrypted-data problem and no practical way to crack codes.	議員や大統領など、政策立案者たちに、法執行機関が暗号化データでとても困っていて、それを解読する現実的な方法がないと思わせることで、キーリカバリなどのとんでもない手法を採択させる。
As advocates on cryptography policy, we found ourselves in a hard situation.	暗号政策推進者として、われわれはつらい立場におかれることとなった。
It appeared that highly credible people were either deliberately lying to Congress and to the public in order to advance their own harmful agendas, or were advocating serious infringement of civil liberties based on their own ignorance of the underlying issues.	非常に地位の高い人たちが、自分たちの有害な狙いを推進するために、議会や市民に対して意図的にウソをついているか、あるいはそこに含まれる問題について無知なために、市民の自由を深刻なかたちで侵害しようと主張しているとしかわれわれには思えなかった。
Most troubling is the possibility that they were lying.	かれらがウソをついているという可能性がいちばんこわかった。
Perhaps these government executives merely saw themselves as shielding valuable classified efforts from disclosure.	こうした政府官僚は、単に価値の高い機密作業を公開しないための盾になっているつもりだったのかもしれない。
As advocates of good government, we do not see that classifying a program is any justification for an official to perjure themselves when testifying about it.	よい政府を支持する者として、われわれはプログラムを機密にしたいからといって、官僚がそれについて証言するときに自らを欺くようなことは正当化されないと考える。
(Declining to state an opinion is one thing;	（意見を述べるのを拒否するというならまだわかるが、
making untruthful statements as if they were facts is quite another.)	真実でない発言を事実であるかのように述べるとなると、話はまったく別だ）。
The National Research Council studied encryption issues and published a very complete 1996 report.*	National Research Councilは、暗号問題について研究して、1996年に非常に充実した報告を発表した*。
The most interesting conclusion of their report was that "the debate over national cryptography policy can be carried out in a reasonable manner on an unclassified basis".	この報告でいちばん興味深い結論は、「国家の暗号政策に関する議論は、機密としない状態でもじゅうぶんに実施できる」というものだった。
This presumes good faith on the part of the agencies who hide behind classified curtains, though.	これは、機密の影に隠れている政府機関が誠実に対応してくれるものという前提があってのことである。
If it turns out that their public statements are manipulative falsehoods, an honest and reasonable public debate must necessarily exclude them, as dishonest and unreasonable participants.	もしかれらの声明が、世論を操作しようとするウソであるなら、正直でまともな一般議論は絶対にかれらを不正直でまともでない参加者として排除しなくてはならない。
In the alternative, if poor policy decisions are being made based on the ignorance or incompetence of senior government officials, the role of honest advocates should be to inform the debate.	一方で、もし政府高官が無知または無能なために劣悪な政策決定が行われているのであれば、正直な支持者の役割は、議論に貢献することだろう。
In response to these concerns, EFF began a research program.	こうした懸念に答えるため、EFFは研究プログラムを開始した。
Our research results prove that DES can be cracked quickly on a low budget.	この研究結果で、DESが短期間で安上がりにクラックできることが証明された。
This proves that these officials were either lying or incompetent.	これは、役人たちがうそをついていたか、無能だったということを証明している。
The book you are holding documents the research, and allows it to be validated by other scientists.	本書はその研究を記述したもので、ほかの科学者がそれを確認できるようにするためのものだ。
Goals	ねらい
The goal of EFF's DES Cracker research project is to determine just how cheap or expensive it is to build a machine that cracks DES usefully.	EFFのDESクラッカー研究プロジェクトのねらいは、DESをつかいものになるかたちでクラックするマシンをつくるのが、どれだけ安上がりか高価かを見極めることだ。
Technically, we were also interested in exploring good designs for plaintext recognizers.	技術的には、平文認識装置の優れた設計を検討することにも興味があった。
These are circuits that can notice when the result of decryption is likely enough to be correct that specialized software--or a human--should look at it.	平文認識装置とは、復号結果が正しいものである可能性が高く、専用ソフト（または人間）が見てる価値があると認識してくれる回路だ。
Little research has been published on them,* yet they are a vital part of any efficient system for cryptanalysis.	これについてはほとんど研究が発表されていないものの*、暗号解析の有効なシステムにおいてはかならず重要な位置を占める回路だ。
Merely doing the research would let EFF learn the truth about the expense of cracking DES.	この研究をするだけでも、EFFはDESをクラックする費用についての真相を知ることができる。
But only publishing the research and demonstrating the machine would educate the public on the truth about the strength of DES.	でも、その研究を公表して機械をデモすることでのみ、DESの強さについての真相を一般に報せることができる。
Press releases and even technical papers would not suffice;	プレス発表や技術論文だけでは不十分だ。
the appearance of schematics for a million-dollar DES Cracker in Michael Wiener's excellent 1993 paper should have been enough.	もしそれでいいなら、Michael Wienerのすばらしい1993年論文に100万ドルのDESクラッカーの回路が登場しているのだから、すでに用は足りているはずだ。
But people still deploy DES, and Congressmen blindly accept the assurances of high officials about its strength.	でも、人々はいまだにDESを導入し、議員たちはその強さについて、高官たちの保証をめくら滅法にうのみにし続けている。
There are many people who will not believe a truth until they can see it with their own eyes.	自分の目で実際に見るまで、真実であっても信用しないという人は多い。
Showing them a physical machine that can crack DES in a few days is the only way to convince some people that they really cannot trust their security to DES.	DESをものの数日でクラックできる物理的なマシンを本当に見せるというのは、DESにセキュリティを託すことはできないというのを、そういう人たちに納得させる唯一の方法だ。
Another set of people might not believe our claims unless several other teams have reproduced them.	別の人々は、ほかのチームが何度かそのマシンを再現しない限り、われわれの主張を信用しないだろう
(This is a basic part of the scientific method.)	（これは科学的手法の基本的な部分である）。
And many people will naturally be interested in how such a box works, and how it was built for only about $200,000.	それに、多くの人はこういうボックスがどういう仕組みで動くのか、そしてどうやってそれがたった20万ドルでつくれたのか、当然ながら興味を持つだろう。
This book was written for such people.	この本はそういう人たちのためにかかれた。
It contains the complete specifications and design documents for the DES Cracker, as well as circuit diagrams for its boards, and complete listings of its software and its gate array design.	ここにはDESクラッカーの完全な仕様と設計書が掲載されているし、基板の回路図も、ソフトやゲートアレイの設計についても完全なリストがあがっている。
The full publication of our design should enable other teams to rapidly reproduce, validate, and improve on our design.	われわれの設計をすべて公開したことで、ほかのチームは短時間でこれを再現し、確認し、さらに設計を改善させることができる。
* But see: David A. Wagner and Steven M. Bellovin, "A Programmable Plaintext Recognizer," 1994. Available at http://www.research.att.com/‾smb/papers/recog.ps or recog.pdf.	* しかしながら、 David A. Wagner and Steven M. Bellovin, "A Programmable Plaintext Recognizer," 1994 （http://www.research.att.com/‾smb/papers/recog.psまたはrecog.pdf）を見よ。
History of DES Cracking	DES クラッキングの歴史
DES Crackers have been mentioned in the scientific and popular literature since the 1970s.	DESクラッカーは、1970年代から科学文献や一般文献でなんどか言及されてきた。
Whitfield Diffie's Foreword describes several of them.	Whitfield Diffieの序文にもそのいくつかがかかれている。
The most recent detailed description was in a paper by Michael Wiener of Bell Northern Research in 1993.	近年で、いちばん詳細にそれを記述したのは、1993年にBell Northern ResearchのMichael Wienerが発表したものである。
Wiener's paper included a detailed hardware design of a DES Cracker built with custom chips.	Wienerの論文は、カスタムチップで作ったDESクラッカーの詳細設計をふくんでいた。
The chips were to be built into boards, and the boards into mechanical "frames" like those of telephone central office switches.	チップは基板にのり、そのボードが電話交換機みたいに機械的な「フレーム」におさまることになっている、
A completed design would have cost about a million dollars and would determine a DES key from known plaintext and known ciphertext in an average of 3-1/2 hours (7 hours in the worst case).	この設計を実現しようと思ったら100万ドルほどかかり、平文と暗号文が与えられていれば、平均3-1/2時間（最悪7時間）でDES鍵を見つけられる。
Mr. Wiener updated his conclusions in 1998,	Wiener氏はこの論文の結論を1998年に更新した。
adjusting for five years of technological change.	5年間の技術的な変化を反映させるためである。
His update paper is included in this book,	この更新した論文も本書に含まれている。
thanks to the courtesy of RSA Data Security, which originally published his update.	この更新版をもともと刊行したRSA Data Securityには、許可を与えてくれて感謝したい。
Ian Goldberg and David Wagner of the University of California at Berkeley took a different approach.	カリフォルニア大学バークレー校のIan Goldberg と David Wagner は、別のアプローチをとっている。
Their design used a "field programmable gate array" (FPGA),	かれらの設計では、「現場プログラム可能ゲートアレイ（field programmable gate array, FPGA)を使っている。
which is a chip that can be reprogrammed after manufacturing into a variety of different circuits.	これは、製造したあとからプログラミングして、いろいろな回路にしたてることができるチップだ。
FPGA chips are slower than the custom chips used in the Wiener design, but can be bought quickly in small quantities, without a large initial investment in design.	FPGA チップは、Wienerの設計に使ってあるカスタムチップよりもおそいけれど、少量でもすぐに買えて、設計に大きな初期投資がいらない。
Rather than spend a big chunk of a million dollars to design a big machine, these researchers bought one or two general purpose chips and programmed them to be a slow DES Cracker.	でっかいマシンを設計するのに、百万ドルのかなりの部分を使ってしまうよりも、この研究者たちは汎用チップをいくつか買ってきて、それをおそいDESクラッカーになるようにプログラムした。
This let them quickly measure how many slow chips they would need to pile up to make a practical DES Cracker.	このおかげで、この遅いチップをどれだけ積み上げれば、つかいものになるDESクラッカーがつくれるかをすぐに計測できた。
Their paper is also included in this book.	この論文も本書に収録されている。
EFF's DES Cracker Project	EFFのDESクラッカープロジェクト
The Electronic Frontier Foundation began its investigation into DES Cracking in 1997.	Electronic Frontier FoundationがDESクラッキングの検討をはじめたのは、1997年のことだった。
The original plan was to see if a DES Cracker could be built out of a machine containing a large number of FPGA's.	最初の計画では、FPGAをたくさん使ったDESクラッカーができないかと考えていた。
Large machines built out of FPGAs exist in the commercial market	FPGAでできた大規模マシンは、商業市場に存在している。
for use in simulating large new chip designs before the chip is built.	これはチップ製造前に、大規模な新チップをシミュレートするために使われる。
A collection of thousands of relatively incapable FPGA chips can be put together to simulate one very capable custom chip,	比較的能力の低いFPGAを何千も集めれば、非常に性能の高いカスタムチップをシミュレートできる。
although at 1/10th or 1/100th of the speed that the eventual custom chip would run at.	ただし速度は、実際のカスタムチップの1/10から1/100になる。
This capability is used by chip designers to work the "bugs" out of their chip before committing to the expensive and time-consuming step of fabricating physical chips from their design.	この機能を使って、チップ設計者は高価で時間のかかる物理チップをつくる前に、チップの「バグ」を取り除く。
EFF never got access to such a chip simulator.	EFFは、結局そんなチップシミュレータは調達しなかった。
Instead, our investigations led us to Paul Kocher of Cryptography Research.	かわりに、検討をすすめるなかで、Cryptography ResearchのPaul Kocherに出会った。
Paul had previously worked with a team of hardware designers who knew how to build custom gate array chips cheaply, in batches of a few thousand chips at a time.	ポールはこれまでに、カスタムゲートアレイチップを、何千個単位のバッチで安くつくってくれる、ハード設計者といっしょに仕事をしたことがあったのだ。
Paul and EFF met with the chip designers at Advanced Wireless Technologies, and determined that a workable DES Cracker could be built on a budget of about $200,000.	ポールとEFFは、Advanced Wireless Technologiesの技術者と会って、20万ドルくらいの予算でつかいものになるDESクラッカーがつくれると見積もった。
The resulting machine would take less than a week, on average, to determine the key from a single 8-byte sample of known plaintext and ciphertext.	できるマシンは、例となる8バイトの平文と暗号文が一つわかっていれば、平均で一週間以下でキーをつきとめられる。
Moreover, it would determine the key from a 16-byte sample of ciphertext in almost the same amount of time, if the statistical characteristics of the plaintext were known or guessable.	さらに平文の統計的な特徴がわかっていれば、そのキーを16ビットの暗号文から推定するのも、ほとんど同じくらいしかかからない。
For example, if the plaintext was known to be an electronic mail message, it could find all keys that produce plaintext containing nothing but letters, numbers, and punctuation.	たとえばもし平文が電子メールのメッセージなのがわかっていれば、このマシンは文字や数字や記号しかない平文をうみだすキーをすべて発見できる。
This makes the machine much more usable for solving real-world decryption problems.	こうすればこのマシンは、現実世界の暗号解読問題を解決するのに使いでが高まる。
There is nothing revolutionary in our DES Cracker.	われわれのDESクラッカーに、革命的な部分はなにもない。
It uses ordinary ideas about how to crack DES that have been floating around in the cryptographic research community for many years.	DESをどうクラックすればいいかについて、暗号研究コミュニティでは何年もまえからでまわっていたふつうのアイデアを使っている。
The only difference is that we actually built it, instead of just writing papers about it.	唯一のちがいは、われわれは論文を書くだけでなく、それを本当に作ってしまったということだ。
Very similar machines could have been built last year, or the year before, or five or ten years ago;	ほとんど同じマシンは、去年だろうと一昨年だろうと、5年前、10年前だろうとつくれた。
they would have just been slower or more expensive.	ただ、速度は遅くてもっと高価だったかもしれないけれど。
Architecture	アーキテクチャ
The design of the EFF DES Cracker is simple in concept.	EFFのDESクラッカーの設計は、考え方は簡単だ。
It consists of an ordinary personal computer connected with a large array of custom chips.	ふつうのパソコンを、大規模なカスタムチップ・アレイにつないだだけである。
Software in the personal computer instructs the custom chips to begin searching, and interacts with the user.	パソコン側のソフトは、カスタムチップに探索をはじめろと告げて、ユーザとのやりとりも担当する。
The chips run without further help from the software until they find a potentially interesting key, or need to be directed to search a new part of the key space.	カスタムチップはその後は、おもしろそうな鍵を見つけるか、あるいは探索用に鍵空間の新しい部分を指定してもらうまで、ソフトからは指図を受けない。
The software periodically polls the chips to find any potentially interesting keys that they have turned up.	ソフトはたまにチップにお伺いをたてて、おもしろそうな鍵がみつかったかどうかを調べる。
The hardware's job isn't to find the answer.	ハードウェアの仕事は、答えを見つけることではない。
but rather to eliminate most of the answers that are incorrect.	むしろ、正しくない答えの大部分を排除することだ。
Software is then fast enough to search the remaining potentially-correct keys,	そうすれば、残りのただしいかもしれない鍵を検索する仕事は、ソフトの速度でも十分に対応できる。
winnowing the false positives" from the real answer.	ソフトが、「もっともらしいもの（false positives）」を本当の答えから仕分けしてくれるわけだ。
The strength of the machine is that it replicates a simple but useful search circuit thousands of times, allowing the software to find the answer by searching only a tiny fraction of the key space.	このマシンの強みは、単純だが強力な探索回路が何千回も使われるため、ソフトで鍵空間のごく一部を探索するだけで答えがみつかる、という点にある。
As long as there is a small bit of software to coordinate the effort, the problem of searching for a DES key is "highly parallelizable".	ちょっとのソフトで協調させるだけで、DESキーの探索問題は「高度に並列処理可能（highly parallelizable)」である。
This means the problem can be usefully solved by many machines working in parallel, simultaneously.	つまり、たくさんのマシンを同時に動かすことで、問題を効率よく解決できるということだ。
For example, a single DES-Cracker chip could find a key by searching for many years.	たとえば、DESクラッカーチップ一つでなら、鍵を探すのに何年もかかる。
A thousand DES-Cracker chips can solve the same problem in one thousandth of the time.	DESチップを千個使えば、同じ問題を千分の一の時間で解決できる。
A million DES-Cracker chips could theoretically solve the same problem in about a millionth of the time,	DESチップが100万個あれば、理論的には同じ問題が100万分の一の時間で解決できる。
though the overhead of starting each chip would become visible in the time required.	ただしこの場合には、各チップをスタートさせるときのオーバーヘッドが必要時間にきいてきてしまうだろう。
The actual machine we built contains 1536 chips.	われわれの作った実際のマシンは、チップ1536個を使っている。
When conducting a brute-force search, the obvious thing to do is to try every possible key, but there are some subtleties.	ばか力式の探索を行うときには、もちろん鍵をかたっぱしから探していくことになるわけだが、多少のコツはある。
You can try the keys in any order.	キーはどんな順番で探してもいい。
If you think the key isn't randomly selected, start with likely ones.	もしキーがランダムではないと思ったら、可能性の高そうなものから試していくといい。
When you finally find the right key, you can stop;	正しいキーがみつかれば、そこで止めればいい。
you don't have to try all the rest of the keys.	残りはためさなくていい。
You might find it in the first million tries;	最初の百万回で見つかるかもしれないし、
you might find it in the last million tries.	最後の百万回でみつかるかもしれない。
On average, you find it halfway through	平均では、道半ばで見つかることになる
(after trying half the keys).	（つまり可能な鍵を半分までためしたところで）。
As a result, the timings for brute-force searches are generally given as the average time to find a key.	だから、バカ力方式の所要時間は、ふつうは鍵をみつける平均時間で示される。
The maximum time is double the average time.	最大必要時間は、平均時間の二倍だ。
Search units	探索ユニット（search unit）
The search unit is the heart of the EFF DES Cracker;	EFF DESクラッカーの核となるのは、探索ユニットだ。
it contains thousands of them.	DESクラッカーには探索ユニットが何千も入っている。
A search unit is a small piece of hardware that takes a key and two 64-bit blocks of ciphertext.	探索ユニットは小さなハードウェアで、鍵と暗号文の64ビットブロックを2つとってくる。
It decrypts a block of ciphertext with the key, and checks to see if the resulting block of plaintext is "interesting".	その暗号文を鍵で復号してみて、でてきた結果が「おもしろい」かどうかを調べる。
If not, it adds 1 to the key and repeats, searching its way through the key space.	おもしろくなければ、鍵に1を足して同じことを繰り返し、鍵空間をずっと探していく。
If the first decryption produces an "interesting" result, the same key is used to decrypt the second block of ciphertext.	もしこの最初の復号が「おもしろい」結果をうみだせば、同じ鍵で暗号文の次のブロックを復号してみる。
If both are interesting, the search unit stops and tells the software that it has found an interesting key.	もしどっちの結果もおもしろければ、探索ユニットは止まって、ソフトに対しておもしろい鍵を見つけたよ、と連絡する。
If the second block's decryption is uninteresting, the search unit adds one to the key and goes on searching the key space.	二番目のブロックの復号結果がおもしろくなければ、探索ユニットはまた鍵に1を足して、鍵空間の探索を続ける。
When a search unit stops after finding an interesting result, software on the host computer must examine the result, and determine whether it's the real answer, or just a "false positive".	おもしろい結果をみつけて探索ユニットが止まったら、ホストのコンピュータは結果を検討して、それが本物の答えか、それともただの「もっともらしいもの」かどうかを検討しなくてはならない。
A false positive is a plaintext that looked interesting to the hardware, but which actually isn't a solution to the problem.	もっともらしいものというのは、ハードが見たらおもしろそうに見えたけれど、実際には問題の答えではない平文のことだ。
The hardware is designed to produce some proportion of false positives along with the real solution.	ハードウェアは、本物の答えとならんで、ある程度はもっともらしいだけの結果を出してくるように設計されている。
(The job of the hardware isn't to find the answer, but to eliminate the vast majority of the non-answers.)	（ハードウェアの仕事は、答えを見つけることではなくて、絶対に答えではない大半のものを排除することだ）。
As long as the false positives don't occur so rapidly that they overwhelm the software's ability to check and reject them, they don't hurt, and they simplify the hardware and allow it to be more general-purpose.	もっともらしいものがたくさん出てきすぎて、ソフトがそれをチェックしてはねられなくなると困るけれど、そうでなければもっともらしいものがあっても別にかまわないし、それを許せばハードも簡単になって、汎用性が高くなる。
For the kinds of problems that we're trying to solve, the hardware is designed to waste less than 1% of the search time on false positives.	われわれが解こうとしているような問題では、ハードがもっともらしいもので無駄にする時間は、探索時間の1％以下になるよう設計されている。
Recognizing interesting plaintext	おもしろい平文の識別
What defines an interesting result?	おもしろい結果って、どういうことだろう。
If we already know the plaintext, and are just looking for the key, an interesting result would be if the plaintext from this key matches our known block of plaintext.	もし平文があらかじめわかっていれば、おもしろい結果というのは、その鍵で得られた平文が、わかっている平文とマッチする、ということだ。
If we don't know the plaintext, perhaps the guess that it's all composed of letters, digits, and punctuation defines "interesting".	もしもとの平文がわからなければ、それが全部、文字や数字や記号だけでできていれば「おもしろい」といえるかもしれない。
The test has to be simple yet flexible.	この検討は、簡単にして柔軟でなくてはならない。
We ended up with one that's simple for the hardware, but a bit more complicated for the software.	結局われわれが使ったのは、ハードにとっては単純だけれど、ソフトのほうにはちょっと負担がかかるものだ。
Each result contains eight 8-bit bytes.	それぞれの結果は、8ビット長バイトを8個ふくむ。
Such a byte can have any one of 256 values.	それぞれのバイトがとれる値は、256とおりある。
The search unit is set up with a table that defines which of these 256 byte values are "interesting" and which are uninteresting.	探索ユニットは、この256個のうちでどの値が「おもしろい」もので、どれがつまらないかを定義した表をもっている。
