STORY OF THE DOOR	ドアにまつわる話
so that as the cab crawled from street to street, Mr. Utterson beheld a marvellous number of degrees and hues of twilight;	そのため馬車が行く道々で、アターソン氏は薄ら明かりがさまざまな色合いを見せるのを目にした。
for here it would be dark like the back-end of evening;	ここが夕方の終わりのように暗いと思えば、
and there would be a glow of a rich, lurid brown, like the light of some strange conflagration;	あちらは、大火の不思議な光のように、とても濃い茶色の光で照らされていた。
and here, for a moment, the fog would be quite broken up, and a haggard shaft of daylight would glance in between the swirling wreaths.	そしてしばらくすると、この場所でも霧が急速に晴れていき、気味が悪い一条の光がうずまく雲の中から射した。
The dismal quarter of Soho seen under these changing glimpses, with its muddy ways, and slatternly passengers, and its lamps, which had never been extinguished or had been kindled afresh to combat this mournful re-invasion of darkness, seemed, in the lawyer's eyes, like a district of some city in a nightmare.	ソーホーのものさびしい場所は、こんな風景のうつりかわるなかでみると、泥だらけの道やだらしない道行く人や、けっして消えない、もしくは闇がふたたび押し寄せないように灯されたような街灯のせいで、弁護士の目には、悪夢の中の街並みの一角のようにも思われた。
The thoughts of his mind, besides, were of the gloomiest dye;	さらに弁護士の心にうかぶ考えも、暗い色合いを帯びていた。
and when he glanced at the companion of his drive, he was conscious of some touch of that terror of the law and the law's officers,	同乗者を見やると、法や警官に対する恐怖がこみあげてくるのを感じた。
which may at times assail the most honest.	その恐怖は、正直このうえない人でも時々悩まされるものなのだ。
As the cab drew up before the address indicated, the fog lifted a little and showed him a dingy street,	馬車が指定した住所のところまで行くと、霧も少し晴れて、さまざまな風景が目に入った。
a gin palace, a low French eating-house, a shop for the retail of penny numbers and twopenny salads, many ragged children huddled in the doorways, and many women of different nationalities passing out, key in hand, to have a morning glass;	みすぼらしい道や、安酒場、安いフランス料理を食べさせる店、１ペニーの雑誌や２ペニーのサラダといった細々したものを扱う店、多くのぼろをまとった子供が戸口に集まっていて、さまざまな国籍の女性がたくさん、手に鍵をもち、朝の一杯をやりに出かけて行く。
and the next moment the fog settled down again upon that part, as brown as umber, and cut him off from his blackguardly surroundings.	そして次の瞬間には、赤褐色のような褐色の霧がふたたびそこの場所に立ちこめ、そのひどい光景をさえぎった。
This was the home of Henry Jekyll's favourite;	ここがヘンリー・ジキル博士のお気に入り、
of a man who was heir to a quarter of a million sterling.	つまり２５万ポンドの相続人が住んでいる場所だった。
An ivory-faced and silvery-haired old woman opened the door.	象牙のような肌をした銀髪の老婆がドアをあけた。
She had an evil face, smoothed by hypocrisy; but her manners were excellent.	老婆は気味の悪い顔つきだったが、見せかけは人当たりがよく、応対はそつがなかった。
Yes,	「はい」
she said,	と彼女は答えた。
this was Mr. Hyde's,	「ハイド氏はこちらに住んでいます。
but he was not at home;	でも不在でいらっしゃいます。
he had been in that night very late, but had gone away again in less than an hour;	昨夜は大変遅くにお帰りでしたが、一時間としないうちにまた出かけていきました。
there was nothing strange in that;	そういうことは別に不思議ではありません。
his habits were very irregular,	ハイド氏の習慣は変わってるんです。
and he was often absent;	しばしば家をあけますし、
for instance, it was nearly two months since she had seen him till yesterday.	たとえば昨晩かえってきたのもほとんど２ヶ月ぶりくらいですから」
"Very well, then, we wish to see his rooms,"	「よろしい、では部屋をみせてもらいたい」
said the lawyer;	弁護士は言った。
and when the woman began to declare it was impossible,	老婆がそれは無理だと口を開きかけたとき、
"I had better tell you who this person is,"	「この人が誰なのか言った方がよさそうだな」
he added.	とつけ加えた。
"This is Inspector Newcomen of Scotland Yard."	「この人は、スコットランドヤードのニューコモン警視だ」
A flash of odious joy appeared upon the woman's face.	明らかにうれしいといった風が老婆の顔にうかがえた。
"Ah!"	「あぁ！」
said she,	と口にだし
"he is in trouble!	「逮捕されるんですね！
What has he done?	なにをやらかしたんです？」と続けた。
Mr. Utterson and the inspector exchanged glances.	アターソン氏と警視は視線を交わした。
"He don't seem a very popular character,"	「ハイド氏は、とても好かれていたとはいえないようですな」
observed the latter.	警視は言った。
"And now, my good woman, just let me and this gentleman have a look about us."	「では、お婆さん、私とこの紳士に調べさせてもらいたい」
In the whole extent of the house, which but for the old woman remained otherwise empty,	老婆をのぞけば、その家にはだれもいなかった。
Mr. Hyde had only used a couple of rooms;	ハイド氏は２部屋を使っていただけで、
but these were furnished with luxury and good taste.	その部屋は高価で趣味がよい家具が入っていた。
A closet was filled with wine;	戸棚にはワインが並び、
the plate was of silver, the napery elegant;	食器は銀製で、シーツや枕カバーは優雅なものだった。
a good picture hung upon the walls, a gift (as Utterson supposed) from Henry Jekyll, who was much of a connoisseur;	素晴らしい絵が壁にかかり、アターソン氏が考えるところでは、それは絵の目利きであるヘンリー・ジキルからの贈り物なのだろう。
and the carpets were of many plies and agreeable in colour.	じゅうたんは何層にも積み重ねられ、色合いもふさわしいものだった。
At this moment, however, the rooms bore every mark of having been recently and hurriedly ransacked;	しかしながら、このときは部屋は最近にあわただしくかき乱された跡があちこちに見てとれた。
clothes lay about the floor, with their pockets inside out;	服がポケットを裏返しにして床になげだされ、
lock-fast drawers stood open;	鍵のかかる引出しも開けっ放しだった。
and on the hearth there lay a pile of grey ashes, as though many papers had been burned.	そして暖炉には白い灰が積み重なっていて、まるで多くの書類を焼いたかのようだった。
From these embers the inspector disinterred the butt-end of a green cheque-book, which had resisted the action of the fire;	その燃えさしの中から、警視は燃えなかった緑色の小切手帳の片端をかきだした。
the other half of the stick was found behind the door.	杖の片われもドアの影から発見された。
and as this clinched his suspicions, the officer declared himself delighted.	これだけ嫌疑が固められ、警視は喜びの色をかくせなかった。
A visit to the bank, where several thousand pounds were found to be lying to the murderer's credit, completed his gratification.	銀行へ行って、数千ポンドが殺人者の預金口座に入っていることも確認されたので、警視は大喜びだった。
"You may depend upon it, sir,"	「これで大丈夫です」
he told Mr. Utterson:	警視はアターソン氏に言った。
"I have him in my hand.	「もう捕まえたも同然です。
He must have lost his head, or he never would have left the stick or, above all, burned the cheque-book.	慌てたにちがいありません、そうでなければ杖や、まして小切手帳を焼くわけはありませんから。
Why, money's life to the man.	なんたって金が全ての男です。
We have nothing to do but wait for him at the bank, and get out the handbills."	人相書きを掲示して、銀行でまちぶせればいいんです」
This last, however, was not so easy of accomplishment;	ただし人相書きについては、作るのは容易なことではなかった。
for Mr. Hyde had numbered few familiars	というのもハイド氏には、知り合いといったものがほとんどいなかったからだ。
-- even the master of the servant-maid had only seen him twice;	家政婦の雇い主でさえ２回しかハイド氏に会ったことはなかったし、
his family could nowhere be traced;	家族の居場所はわからなく、写真もなかった。
he had never been photographed; and the few who could describe him differed widely, as common observers will.	ふつうの人にはよくあることだが、何人かが描写したハイド氏の姿はかなり異なったものだった。
Only on one point, were they agreed;	ただ一つの点では一致した。
and that was the haunting sense of unexpressed deformity with which the fugitive impressed his beholders.	この逃亡者が見るものに与える、容易に忘れられない、なんともいいようがない奇形な感じという点で。
INCIDENT OF THE LETTER	手紙の件
IT was late in the afternoon, when Mr. Utterson found his way to Dr. Jekyll's door,	午後遅くに、アターソン氏はジキル氏の家を訪ねた。
where he was at once admitted by Poole, and carried down by the kitchen offices and across a yard which had once been a garden, to the building which was indifferently known as the laboratory or the dissecting-rooms.	すぐにプールが家に入れてくれ、台所のわきを通り、以前は庭園だった庭を横切り、研究室とも解剖室ともどちらともいえるような建物まで案内された。
The doctor had bought the house from the heirs of a celebrated surgeon;	博士はこの家を、著名な外科医の相続人から買い取ったのだが、
and his own tastes being rather chemical than anatomical, had changed the destination of the block at the bottom of the garden.	博士の興味は分析というよりは化学にあったので、庭園のいちばん奥にある建物の用途を変更したのである。
It was the first time that the lawyer had been received in that part of his friend's quarters;	弁護士が、博士の家のこの場所に通されたのはこれが初めてだった。
and he eyed the dingy, windowless structure with curiosity,	弁護士が目にしたのは、薄汚い、窓のない不思議な建物だった。
and gazed round with a distasteful sense of strangeness as he crossed the theatre, once crowded with eager students and now lying gaunt and silent,	そしてかつては意欲にあふれる学生で一杯だったろうが、現在は寂しく静かな手術教室を通り過ぎるときは、なんともいえず奇妙な感じがしてあたりを見回した。
the tables laden with chemical apparatus, the floor strewn with crates and littered with packing straw,	そのテーブルには科学器具が所狭しと並べられ、床には箱がちらばって、荷造り用の紐が散乱していた。
and the light falling dimly through the foggy cupola.	曇りガラスの丸天井からは、ぼんやりとした光が落ちていた。
At the further end, a flight of stairs mounted to a door covered with red baize;	もっと奥の登り階段は、赤い生地をはったドアにつながっていた。
and through this, Mr. Utterson was at last received into the doctor's cabinet.	そこをとおりぬけ、アターソン氏はとうとう博士の書斎に通された。
It was a large room, fitted round with glass presses, furnished, among other things, with a cheval-glass and a business table,	大きな部屋で、一面にガラスの戸棚が備え付けられ、他のものに交じって、大きな鏡が一つと事務机が一つあった。
and looking out upon the court by three dusty windows barred with iron.	外の庭の方には、３つの鉄格子のついた窓があった。
A fire burned in the grate; a lamp was set lighted on the chimney shelf,	暖炉には火がはいり、暖炉の上にはランプが一つ灯っていた。
for even in the houses the fog began to lie thickly;	というのも家の中でさえ、霧が濃く立ちこめはじめていたからである。
and there, close up to the warmth, sat Dr. Jekyll, looking deadly sick.	そしてジキル博士は、暖炉のそばで、ひどくやつれたようすで座っていた。
He did not rise to meet his visitor, but held out a cold hand and bade him welcome in a changed voice.	ジキル博士は来客を出迎えるのに立ち上がることもしなかったが、冷たい片手をのばし、様変わりした声で歓迎の意をのべた。
"And now,"	「それで」
said Mr. Utterson, as soon as Poole had left them,	プールがその場を去るとすぐに、アターソン氏は言った。
"you have heard the news?"	「あのニュースはもう聞いてるだろうな？」
The doctor shuddered.	博士は身震いをして、
" They were crying it in the square,"	「広場で叫んでいたからな」
he said.	と言った。
"I heard them in my dining-room."	「私は食堂で、そのニュースを聞いたよ」
"One word,"	「一つ言っておく」
said the lawyer.	弁護士は言った。
"Carew was my client, but so are you,	「カルーは私の顧客なんだ、もちろん君も顧客だが。
and I want to know what I am doing.	私は自分のしていることを把握しておきたいんだ。
You have not been mad enough to hide this fellow?"	君はまさかあいつをかくまうほど、おかしくなってないだろうな」
"Utterson, I swear to God, "	「アターソン、神に誓って」
cried the doctor,	博士はさけんだ。
" I swear to God I will never set eyes on him again.	「神に誓って、あいつと二度と会うことはないよ。
I bind my honour to you that I am done with him in this world.	私の名誉にかけて君に誓うが、もうあいつとの関係は終ったんだ。
It is all at an end.	なにもかもが終ったんだ。
And indeed he does not want my help;	やつも私の助けは請うまい。
you do not know him as I do;	君は私ほどあいつのことをしらないんだ。
he is safe, he is quite safe;	やつは無事だ、全く無事なんだ。
mark my words, he will never more be heard of."	私の言葉を覚えておいてくれ、やつのことを聞くことは二度とないよ」
The lawyer listened gloomily;	弁護士は、憂鬱な気分でこれを聞いていた。
he did not like his friend's feverish manner.	どうにも友達の熱に浮かされたような感じが気に入らなかったのだ。
"You seem pretty sure of him,"	「やつのことにはずいぶん自信があるようだが」
said he;	と続けた。
"and for your sake, I hope you may be right.	「君のためにも、君が正しいことを祈りたいよ。
If it came to a trial, your name might appear."	裁判になれば、君の名前もでるかもしれないからな」
"I am quite sure of him,"	「やつのことは絶対だ」
replied Jekyll;	ジキルは答えた。
"I have grounds for certainty that I cannot share with any one.	「私には確固たる理由があるんだが、だれにも言えないんだ。
But there is one thing on which you may advise me.	でも一つだけ君の忠告をもらいたいことがある。
I have -- I have received a letter;	私は、そう、私は一通の手紙を受け取ったんだ。
and I am at a loss whether I should show it to the police.	これを警察にみせるべきかどうか迷っている。
I should like to leave it in your hands, Utterson;	私はこの手紙を君に託すことにするよ、アターソン。
you would judge wisely, I am sure;	君なら賢明に処置してくれるだろうと思う。
I have so great a trust in you."	君のことは、本当に心の底から信頼しているんだよ」
"You fear, I suppose, that it might lead to his detection?"	「私が思うには、君はその手紙でやつの所在が露見することを恐れてるんだな？」
asked the lawyer.	と弁護士は尋ねた。
"No,"	「いいや」
said the other.	ジキルは答えた。
" I cannot say that I care what becomes of Hyde;	「私はハイドのことがどうなろうが、ぜんぜん気にしてない。
I am quite done with him.	やつとのことは、すっかり終ったんだ。
I was thinking of my own character, which this hateful business has rather exposed."	私が気にしてるのは、もうすでにこの恐ろしい事件にかなり係わり合いになっている自分の評判のことだけなんだ」
Utterson ruminated a while;	アターソンは、しばし黙り込んでしまった。
he was surprised at his friend's selfishness,	友達があまりに自分勝手なのに驚いたのだ。
and yet relieved by it.	ただほっとして、ついに
"Well," said he, at last, "let me see the letter."	「あぁ、では手紙を見せてくれたまえ」と言った。
The letter was written in an odd, upright hand and signed	手紙は、奇妙な金釘体の文字で
"Edward Hyde":	「エドワード・ハイド」
and it signified,	と署名されていた。
briefly enough,	その手紙は、とても短いもので、こう書かれていた。
that the writer's benefactor, Dr. Jekyll, whom he had long so unworthily repaid for a thousand generosities, need labour under no alarm for his safety,	私の保護者たるジキル博士には、たいへんお世話になっていながら、恩を仇で返すようなことになって、もう私の身の安全についてはなんの心配もしていただかなくて結構だ。
As he had means of escape on which he placed a sure dependence.	まったく心配する必要のない逃げ出す手段があるのです、と書かれていた。
The lawyer liked this letter well enough;	弁護士は、この手紙でほっとした。
it put a better colour on the intimacy than he had looked for;	２人の親交は、弁護士が疑っていたようなものではなく、ずっとまともな関係だったのだ。
and he blamed himself for some of his past suspicions.	弁護士は自分が少しでも疑ってしまったことを反省した。
"Have you the envelope?"	「封筒はないのかい？」
he asked.	弁護士は尋ねた。
"I burned it,"	「燃やしたよ」
replied Jekyll,	ジキルは答えた。
" before I thought what I was about.	「なんということもなしにね。
But it bore no postmark.	でも消印はなかった。
The note was handed in."	使いのものが持ってきたんだ」
"Shall I keep this and sleep upon it?"	「この手紙を預からせてもらって、一晩考えさせてもらっていいかい？」
asked Utterson.	アターソンは尋ねた。
"I wish you to judge for me entirely,"	「もう、僕の代わりに判断してくれないか」
was the reply.	というのが答えだった。
"I have lost confidence in myself."	「私は自分にすっかり自信がなくなってしまったんだ」
"Well, I shall consider,"	「あぁ、考えてみよう」
returned the lawyer.	弁護士は答えた。
"And now one word more:	「もう一言だけ言わせてくれ。
it was Hyde who dictated the terms in your will about that disappearance?"	君の遺言に失踪の項目を入れさせたのは、ハイドのやつなんだろう？」
The doctor seemed seized with a qualm of faintness: he shut his mouth tight and nodded.	博士はめまいに見舞われたようだったが、口を固く結んだまま、うなずいた。
"I knew it,"	「私には分かってたんだ」
said Utterson.	アターソン氏は言った。
"He meant to murder you.	「やつは君を殺すつもりだったんだ。
You have had a fine escape."	九死に一生をえたんだぞ」
"I have had what is far more to the purpose,"	「私は、それとは比べものにならないほどのことを経験したんだ」
returned the doctor solemnly:	と博士は神妙に答えた。
"I have had a lesson	「私は一つの教訓を得たんだ。
-- O God, Utterson, what a lesson I have had!"	あぁ、アターソン、なんて教訓なんだろう！」
And he covered his face for a moment with his hands.	と両手でしばらく顔をおおっていた。
On his way out, the lawyer stopped and had a word or two with Poole.	弁護士は暇をつげると、立ち止まって、プールに一言二言声をかけた。
"By the by," said he, "there was a letter handed in to-day:	「ところで、今日手紙を渡しにきたものはいたかい？
what was the messenger like?"	使いみたいなものが来たかを聞きたいんだ」
But Poole was positive nothing had come except by post;"	しかしプールの答えは、ポストに届いたもの以外は全くないというものだった。
and only circulars by that," he added.	プールがつけ加えるには、それもちらしだけということだった。
This news sent off the visitor with his fears renewed.	この返事は、訪問者をふたたび不安にさせた。
Plainly the letter had come by the laboratory door;	明らかに、その手紙は実験室のドアから届けられたか、
possibly, indeed, it had been written in the cabinet;	あるいは実際のところ、書斎で書かれたものかもしれないのだ。
and if that were so, it must be differently judged, and handled with the more caution.	そしてもしそうなら、違った判断を下さなければならないし、より注意深い扱いが必要になる。
The newsboys, as he went, were crying themselves hoarse along the footways: "Special edition. Shocking murder of an M. P."	新聞配達の少年が、歩道を「号外、下院議員が惨殺」と大声をだしながら走っていた。
That was the funeral oration of one friend and client;	それは、弁護士の友人であり顧客でもある人物への弔辞だった。
and he could not help a certain apprehension lest the good name of another should be sucked down in the eddy of the scandal.	ただ、もう一人の友人で顧客の名声に、スキャンダルの渦で傷がつくのを恐れる気持ちも確かにあった。
It was, at least, a ticklish decision that he had to make;	少なくとも弁護士が下さなければならなかったのは、やっかいな問題だった。
and self-reliant as he was by habit, he began to cherish a longing for advice.	そして普段はなんでも自分だけで決めるのだが、アドバイスが欲しい気がしはじめていた。
It was not to be had directly; but perhaps, he thought, it might be fished for.	直接アドバイスを受けることはかなわなくても、たぶんそれとなく聞き出すことはできるだろうと考えたのである。
Presently after, he sat on one side of his own hearth, with Mr. Guest, his head clerk, upon the other,	すぐさま、弁護士は暖炉の片側に腰をかけ、事務頭のゲストがもう片方に腰を下ろした。
and midway between, at a nicely calculated distance from the fire, a bottle of a particular old wine that had long dwelt unsunned in the foundations of his house.	二人の間には、暖炉からほどよい距離に、家の地下室に長いこと寝かされていた特別古いワインが一本置いてあった。
The fog still slept on the wing above the drowned city, where the lamps glimmered like carbuncles;	街は動いている霧にうもれ、街灯はざくろ石のように光っていた。
and through the muffle and smother of these fallen clouds, the procession of the town's life was still rolling in through the great arteries with a sound as of a mighty wind.	その覆いや低くたちこめた霧を通じて、街の息吹がまだ大風のようなうなりをあげて街の大通りを行き来していた。
But the room was gay with firelight.	しかし部屋の中は、暖炉の光で明るかった。
In the bottle the acids were long ago resolved;	ボトルのワインは酸味がすっかりなくなって、
the imperial dye had softened with time, As the colour grows richer in stained windows;	まるでステンドグラスの窓が色あいを増していくように、上質な色合いが時を経て深みをましていた。
and the glow of hot autumn afternoons on hillside vineyards was ready to be set free and to disperse the fogs of London.	丘陵の葡萄畑への暖かい秋の午後の光が今にもふりそそぎ、ロンドンの霧を消散させようとしていた。
Insensibly the lawyer melted.	弁護士も自然と気分がやわらいだ。
There was no man from whom he kept fewer secrets than Mr. Guest; and he was not always sure that he kept as many as he meant.	ゲストほど気兼ねがおけない相手は他にはなく、思わず秘密をもらしてしまいそうになるほどだった。
Guest had often been on business to the doctor's; he knew Poole;	ゲストは仕事で博士の所にもしばしば行ったことがあり、プールのことも知っていた。
he could scarce have failed to hear of Mr. Hyde's familiarity about the house;	ハイド氏が我がもの顔で博士の家に出入りしているのも知らないはずはあるまい。
he might draw conclusions: was it not as well, then, that he should see a letter which put that mystery to rights?	それならば、謎を解決に導くあの手紙を見せても悪いと言うこともないだろう？
and above all since Guest, being a great student and critic of handwriting, would consider the step natural and obliging?	とりわけゲストは筆跡に関しては造詣が深いし、鑑定家でもあるから、見せるのは自然なことでもあり、当然のことでもあるのではないだろうか？
The clerk, besides, was a man of counsel;	それだけではなく、執事は相談にのれる人物でもあったのだ。
he would scarce read so strange a document without dropping a remark;	これほど奇妙な手紙を読めば、意見のひとつも言わないということはあるまい。
and by that remark Mr. Utterson might shape his future course.	そしてその意見で、アターソン氏がこれからどうすればいいかもわかるかもしれないのだ。
"This is a sad business about Sir Danvers,"	「ダンバース卿には残念なことだったな」
he said.	とアターソン氏は口火を切った。
"Yes, sir, indeed.	「全くです。
It has elicited a great deal of public feeling,"	街じゅうも大騒ぎです」
returned Guest.	ゲストは答えた。
"The man, of course, was mad."	「もちろん、犯人は気が狂ってるんでしょう」
"I should like to hear your views on that,"	「これについて、おまえの意見を聞きたいんだが」
replied Utterson.	アターソン氏は続けた。
"I have a document here in his handwriting;	「私はここに手書きの文書をもっている。
it is between ourselves, for I scarce know what to do about it;	ここだけの話にしてほしいんだが、というのも私にもどうしていいものか分からないんだ。
it is an ugly business at the best.	なんといってもいい話ではないからな。
But there it is;	で、これがその文書だ。
quite in your way a murderer's autograph."	おまえのお手のものだ、殺人者の筆跡だよ」
Guest's eyes brightened, and he sat down at once and studied it with passion.	ゲストの目がらんらんとかがやき、すぐさま座り込むと、熱心に調べはじめた。
"No, sir,"	「えぇ」
he said:	ゲストは言った。
"not mad; but it is an odd hand."	「狂ってはいませんが、奇妙な筆跡です」
"And by all accounts a very odd writer," added the lawyer.	「あぁ、なんといっても、とても変わったやつが書いたからな」
Just then the servant entered with a note.	ちょうどそのとき、召使が手紙をもって部屋に入ってきた。
"Is that from Dr. Jekyll, sir?"	「それはジキル博士からではないですか？」
inquired the clerk.	執事は尋ねた。
"I thought I knew the writing.	「手紙だと思いますが、
Anything private, Mr. Utterson?"	拝見してもいいですか、アターソン様？」
"Only an invitation to dinner.	「ただの夕食への誘いだよ、
Why?	どうしてなんだ？
Do you want to see it?"	これが見たいというのかい？」
"One moment.	「ちらっとです。
I thank you, sir";	ありがとうございます」
and the clerk laid the two sheets of paper alongside and sedulously compared their contents.	執事はそういうと、２つの手紙を並べ、念入りにその筆跡を調べた。
"Thank you, sir," he said at last,	とうとう「ありがとうございます」と言うと、
returning both;	２通ともアターソン氏へ返した。
"it's a very interesting autograph."	「とても興味深い筆跡です」
There was a pause, during which Mr. Utterson struggled with himself.	しばらく沈黙があり、アターソン氏はいらいらした。
"Why did you compare them, Guest?"	「なんだってこの２通をくらべたりするんだ、ゲスト？」
he inquired suddenly.	と突然尋ねた。
"Well, sir,"	「えぇ、ご主人さま」
returned the clerk,	執事は答えた。
"there's a rather singular resemblance;	「奇妙な一致があるんです。
the two hands are in many points identical:	２つの手紙の筆跡は多くの点で一致します。
only differently sloped."	ただ少し文字の傾け具合が違うだけなんです」
"Rather quaint,"	「たしかに変わってる」
said Utterson.	アターソン氏は言った。
"It is, as you say, rather quaint,"	「そうおっしゃるとおり、たしかに変わっています」
returned Guest.	ゲストも答えた。
"I wouldn't speak of this note, you know,"	「この手紙のことは他言無用だぞ、もちろん」
said the master.	アターソン氏は言った。
"No, sir,"	「もちろんです、ご主人さま」
said the clerk.	執事は言った。
"I understand."	「分かっておりますとも」
But no sooner was Mr. Utterson alone that night than he locked the note into his safe,	しかしアターソン氏はその晩一人になるとすぐに、手紙を金庫にしまった。
where it reposed from that time forward.	手紙はそのとき以来ずっと金庫にしまわれたままだった。
"What!"	「どういうことだ！」
he thought.	アターソンは思った。
" Henry Jekyll forge for a murderer!"	「ヘンリー・ジキルが殺人犯の手紙を偽造するなんて！」
And his blood ran cold in his veins.	そしてアターソン氏は、体中の血が凍る思いだった。
REMARKABLE INCIDENT OF DR. LANYON	ラニョン氏の忘れられない事件
TIME ran on; thousands of pounds were offered in reward,	時がすぎ、事件には何千ポンドの賞金がかけられた。
for the death of Sir Danvers was resented as a public injury;	ダンバース卿の死は公傷としてとりあつかわれた。
but Mr. Hyde had disappeared out of the ken of the police as though he had never existed.	しかしハイド氏はそもそも存在すらしなかったかのように、警察の手をのがれ姿を消してしまった。
Much of his past was unearthed, indeed, and all disreputable:	ハイド氏の過去の大部分は明るみにだされたが、まことにひどいものだった。
tales came out of the man's cruelty, at once so callous and violent; of his vile life, of his strange associates, of the hatred that seemed to have surrounded his career;	その男の残忍さ、また冷酷かつ乱暴であるゆえの話が暴露され、堕落した生活、忌まわしい仲間たち、そして生活のなかでの憎悪にからむ話などがあった。
but of his present whereabouts, not a whisper.	でも現在の消息となると、うわさの一つもないのだった。
From the time he had left the house in Soho on the morning of the murder, he was simply blotted out;	殺人のあった朝にソーホーの自宅を出て以来、完全に姿を消してしまったのだ。
and gradually, as time drew on, Mr. Utterson began to recover from the hotness of his alarm, and to grow more at quiet with himself.	そして時が経つにつれ、アターソン氏も強い疑いをもつ状態から平静をとりもどし、今ではすっかり落ち着いていた。
The death of Sir Danvers was, to his way of thinking, more than paid for by the disappearance of Mr. Hyde.	ダンバース卿の死は、アターソン氏によれば、ハイド氏がいなくなったことで、すっかり償われていたのである。
Now that that evil influence had been withdrawn, a new life began for Dr. Jekyll.	悪影響がなくなったので、ジキル博士には新たな生活が始まっていた。
He came out of his seclusion, renewed relations with his friends, became once more their familiar guest and entertainer;	隠遁から姿をあらわし、旧交を温め、ふたたび友達を訪ねたり、迎えたりするようになった。
and whilst he had always been, known for charities, he was now no less distinguished for religion.	慈善家として知られていたこともあるが、今ではそれに劣らず信仰のあるものとして有名であった。
He was busy, he was much in the open air, he did good;	忙しい生活で、外出もすれば、よいこともたくさんした。
his face seemed to open and brighten,	顔にも外交的な明るさがうかがえた。
as if with an inward consciousness of service;	それはまるで内面においても善行を意識しているかのようだった。
and for more than two months, the doctor was at peace.	２ヶ月あまりも、博士は安らかな生活を送っていた。
On the 8th of January Utterson had dined at the doctor's with a small party;	１月８日、アターソン氏は博士の家の小さなパーティの夕食に招かれた。
Lanyon had been there;	ラニョン氏も招かれていた。
and the face of the host had looked from one to the other as in the old days when the trio were inseparable friends.	主人は、３人が離れがたい友人だったころのように、２人の顔をかわるがわる見つめていた。
On the 12th, and again on the 14th, the door was shut against the lawyer.	しかし１２日、そして１４日も弁護士は玄関払いを受けた。
"The doctor was confined to the house," Poole said,	「博士は家にひきこもっておられます、
"and saw no one."	誰にもお会いになりません」とプールは言うのだった。
On the 15th, he tried again, and was again refused;	１５日には、再び家を訪ねたが、断られてしまった。
and having now been used for the last two months to see his friend almost daily, he found this return of solitude to weigh upon his spirits.	ここ２ヶ月というものほとんど毎日といってもいいほど会っていたために、再び隠遁してしまったことは弁護士の心を重くした。
The fifth night he had in Guest to dine with him; and the sixth he betook himself to Dr. Lanyon's.	５日目の晩にゲストといっしょに夕食をとり、６日目にはラニョン氏を訪ねた。
There at least he was not denied admittance;	そこでは少なくても、玄関払いされるようなことはなかった。
but when he came in, he was shocked at the change which had taken place in the doctor's appearance.	しかし中に通されると、ラニョン博士の様子が様変わりしていることにショックを受けた。
He had his death-warrant written legibly upon his face.	死相がはっきりでていて、
The rosy man had grown pale;	健康そうだった顔色もすっかり青ざめていた。
his flesh had fallen away;	げっそりやせ、
he was visibly balder and older;	外見はあたまが禿げ、年をどっと取ったかのようだった。
and yet it was not so much, these tokens of a swift physical decay that arrested the lawyer's notice, as a look in the eye and quality of manner that seemed to testify to some deep-seated terror of the mind.	しかしそれ以上に弁護士の注意をひいたのは、外見の急速な衰弱の様子というよりは、目や態度に見受けられる精神的に深く根ざした恐怖というようなものだった。
It was unlikely that the doctor should fear death;	医者が死を恐れるなんてことはありそうにないことだが、
and yet that was what Utterson was tempted to suspect.	アターソンには疑いの念が晴れなかった。
"Yes,"	「そうだ」
he thought;	と弁護士は思った。
"he is a doctor,	「ラニョンは医者だ。
he must know his own state and that his days are counted;	自分の状態も死期もわかっているに違いない。
and the knowledge is more than he can bear."	それにはとても耐えられないのだろう」
And yet when Utterson remarked on his ill-looks, it was with an air of greatness that Lanyon declared himself a doomed man.	そしてアターソンが死相を指摘すると、ラニョンははっきりと自分の死期が近いことを断言した。
"I have had a shock,"	「ショックなことがあって」
he said,	ラニョンは言った。
"and I shall never recover.	「私はもうだめだ。
It is a question of weeks.	もう何週間しかもたないだろう、
Well, life has been pleasant;	あぁ、人生は愉快だった、
I liked it;	私は人生を楽しんだよ。
yes, sir, I used to like it.	あぁ、君、人生は楽しかった。
I sometimes think if we knew all, we should be more glad to get away."	ただ何もかもを知るくらいなら、死んだ方がよかったと思うこともないでもないな」
"Jekyll is ill, too,"	「ジキルも病気だよ」
observed Utterson.	アターソンは言った。
"Have you seen him?"	「ジキルには会ったのかい？」
But Lanyon's face changed,	ラニョンの顔色が変わった。
and he held up a trembling hand.	そして震える片手を持ち上げると、
"I wish to see or hear no more of Dr. Jekyll,"	「もうジキル博士には会いたくもないし、ジキルのことを聞きたくもない」
he said in a loud, unsteady voice.	と大きな震える声で言い放った。
"I am quite done with that person;	「あんな男とは断じて絶交だ。
and I beg that you will spare me any allusion to one whom I regard as dead."	君にも、私は死んだと思ってるような男のことなんかを口にだすなと頼むよ」
"Tut-tut,"	「ちぇ、ちぇ」
said Mr. Utterson;	アターソンは言った。
and then after a considerable pause,	それからしばらく黙り込むと、
"Can't I do anything?"	「なにかできることはないか？」
he inquired.	と尋ねた。
"We are three very old friends, Lanyon;	「３人は昔からの友達じゃないか、ラニョン。
we shall not live to make others."	もう他にこんな友達はできやしないよ」
"Nothing can be done,"	「できることはなにもない」
