A Tale about a Queer Client	奇妙な依頼人
"I will have life for life, and here is ONE.	「命には命をもって償わせてやる、いまここでひとつだ。
MY child died, before his father's eyes, a far more agonising and painful death	おれの子どもは父親の目の前ですさまじい苦しみを味わいながら死んでいった。
than that young slanderer of his sister's worth is meeting while I speak.	実の姉にあたるメアリーをさんざんけなしてきたあんたの息子が、いまあそこで味わっている苦しみなど、なんでもないほどの苦しみをな。
You laughed	あのとき、あんたは笑っていた
--laughed in your daughter's face, where death had already set his hand	――あんたの娘の、死期の近づいた顔を見ながら
--at our sufferings, then.	――おれたちの苦悩を笑い飛ばした。
What think you of them now!	せいぜい思い知るがいい！
See there, see there!"	さあ、あれを見ろ、あれを見ろ！」
'As the stranger spoke, he pointed to the sea.	男はそう言うと、海のほうを指さした。
A faint cry died away upon its surface;	水面から聞こえてきたかすかな悲鳴が遠くかすれ、
the last powerful struggle of the dying man agitated the rippling waves for a few seconds;	死に瀕した男は最後の力をふりしぼってあがき、ごくわずかな間、波紋がつづいた。
and the spot where he had gone down into his early grave, was undistinguishable from the surrounding water.	そうして、若者の墓所となったその場所は、周りの海とまったく区別できなくなってしまった。
'Three years had elapsed, when a gentleman alighted from a private carriage at the door of a London attorney, then well known as a man of no great nicety in his professional dealings, and requested a private interview on business of importance.	3年後、その容赦ない仕事ぶりで当時はよく知られていたとあるロンドンの弁護士の戸口で、ひとりの紳士が私用の馬車から降りたち、重要な仕事があるので内々でお目にかかりたい、と頼みこんだ。
Although evidently not past the prime of life, his face was pale, haggard, and dejected;	まだ人生の盛りを越していないのは明らかなのに、顔色が悪く、頬はこけ、希望のない顔つきをしていた。
and it did not require the acute perception of the man of business, to discern at a glance, that disease or suffering had done more to work a change in his appearance, than the mere hand of time could have accomplished in twice the period of his whole life.	弁護士のするどい観察力をもってするまでもなく、一目見ただけで、病気か何かが実際の年齢の2倍以上に男の容貌を衰えさせているのが見てとれた。
'"I wish you to undertake some legal business for me,"	「私に代わっていくつかの法律手続きをやっていただきたいのですが」
said the stranger.	と男は言った。
'The attorney bowed obsequiously, and glanced at a large packet which the gentleman carried in his hand.	弁護士は深々と頭を下げ、相手の紳士が手に下げている大きな包みを見やった。
His visitor observed the look, and proceeded.	客人はその様子を見てから先を続けた。
'"It is no common business," said he; 	「これは並大抵の仕事ではありません。
"nor have these papers reached my hands without long trouble and great expense."	そもそもこの書類を手元にそろえるのにも、ずいぶんと手間と費用がかかりました」
'The attorney cast a still more anxious look at the packet;	弁護士はよけいに好奇心を書きたてられたように包みをちらりと眺めた。
and his visitor, untying the string that bound it,	そして客人は包みの紐を解いた。
disclosed a quantity of promissory notes, with copies of deeds, and other documents.	中には約束手形や、証書や、その他いろいろな書類が大量に詰まっていた。
'"Upon these papers," said the client, "the man whose name they bear, has raised, as you will see, large sums of money, for years past.	「この書類の束にある名前の男は、ごらんになればお分かりでしょうが、ここ数年、これらの書類のおかげで多額の資金を作りました。
There was a tacit understanding between him and the men into whose hands they originally went--and from whom I have by degrees purchased the whole, for treble and quadruple their nominal value--that these loans should be from time to time renewed, until a given period had elapsed.	私はこれらの書類を額面の3倍、4倍の金をだして少しずつ買い集めてきたのですが、その男と書類の本来の所有者たちとの間には暗黙の了解がありまして、ある一定の期間が過ぎるまでは契約を更新しつづけることになっていました。
Such an understanding is nowhere expressed.	その取り決めはどこにも明記されていません。
He has sustained many losses of late;	男はここのところ多額の損失を出しています。
and these obligations accumulating upon him at once, would crush him to the earth."	ここにある債権をまとめてつきつけられたとしたら、破産してしまうことでしょう」
'"The whole amount is many thousands of pounds,"	「総額何千ポンドにもなりますね」
said the attorney, looking over the papers.	と書類に目を通しながら弁護士は言った。
'"It is," said the client.	「そうです」
'"What are we to do?"	「それで、われわれに何をお望みなのですか？」
inquired the man of business.	とこの実務家は聞いた。
'"Do!"	「つまり！」
replied the client, with sudden vehemence.	と、依頼人はとつぜん激しい口調になって答えた。
"Put every engine of the law in force, every trick that ingenuity can devise and rascality execute;	「法律の力を総動員し、思いつくかぎりの策略を悪辣に実行するんです。
fair means and foul;	行為の正当性なんてどうだっていい。
the open oppression of the law, aided by all the craft of its most ingenious practitioners.	前面からは法律にのっとって圧力をかけ、側面からは最高の人材にあらゆる手管で攻めさせる。
I would have him die a harassing and lingering death.	私はあの男が責めさいなまれ、負け犬として死んでいくのを見届けたい。
Ruin him, seize and sell his lands and goods,	あいつの土地、あいつの資産、片っ端から差し押さえて売り飛ばすんです。
drive him from house and home, and drag him forth a beggar in his old age, to die in a common jail."	家、故郷から追いたてて、老いぼれたその体を乞食の身分におとしめ、債務者監獄で野垂れ死にさせるんです」
'"But the costs, my dear Sir, the costs of all this,"	「ですがお客さま、そういったことをすべて実行するには経費の方が」
reasoned the attorney, when he had recovered from his momentary surprise.	と弁護士は、一瞬驚いたものの、すぐに気を取り直して言い聞かせた。
"If the defendant be a man of straw, who is to pay the costs, Sir?"	「相手が一文無しになるのでしたら、その経費はどなたがお支払いになるのですか？」
'"Name any sum,"	「いくらでも言ってください」
said the stranger, his hand trembling so violently with excitement, that he could scarcely hold the pen he seized as he spoke	と言いながら、興奮のあまり震える手でようやくペンをにぎりしめた
--"any sum, and it is yours.	――「いくらでもお支払いしましょう。
Don't be afraid to name it, man.	遠慮などすることはない。
I shall not think it dear, if you gain my object."	私にとってはどうでもいいことです、あなたが私の目的を果たしてくれるのであれば」
'The attorney named a large sum, at hazard,	弁護士は、一か八かで、高額の手付金を要求した。
as the advance he should require to secure himself against the possibility of loss;	それは損失の可能性から自分の身を守るために必要なことでもあったのだが、
but more with the view of ascertaining how far his client was really disposed to go, than with any idea that he would comply with the demand.	といっても依頼に応じたかったからではなく、この依頼人はどこまで本気でやるつもりなのか、それを確認してみたかったという気持ちのほうが大きかったのだ。
The stranger wrote a cheque upon his banker, for the whole amount, and left him.	男は全額の小切手を切り、それを置いて帰って行った。
'The draft was duly honoured, and the attorney, finding that his strange client might be safely relied upon, commenced his work in earnest.	その小切手はまったく正当なものだったので、弁護士は、その奇妙な依頼人が信用に値すると判断し、本気でこの仕事に着手した。
For more than two years afterwards, Mr. Heyling would sit whole days together, in the office, poring over the papers as they accumulated,	その後2年以上、ヘイリング氏は一日中そのオフィスに閉じこもり、積み重なってゆく書類の束を熱心に調べていた。
and reading again and again,	何度も何度も読み返したことだろう。
his eyes gleaming with joy, the letters of remonstrance, the prayers for a little delay, the representations of the certain ruin in which the opposite party must be involved, which poured in, as suit after suit, and process after process, was commenced.	抗議の手紙が殺到した。
To all applications for a brief indulgence, there was but one reply	繰り返し容赦を求める申し入れに対する答えは一通りしかなかった
--the money must be paid.	―― 一括清算せよ、とね。
Land, house, furniture, each in its turn, was taken under some one of the numerous executions which were issued;	土地、家屋、家具、ひとつひとつ順番に、数限りない執行書が発行されるたび、取り上げられていった。
and the old man himself would have been immured in prison had he not escaped the vigilance of the officers, and fled.	それで老人はというと、監獄に放りこまれるべきであったものを役人の目を晦まして、逐電してしまった。
'The implacable animosity of Heyling, so far from being satiated by the success of his persecution, increased a hundredfold with the ruin he inflicted.	ヘイリングの底知れぬ憎悪は、迫害の成功によって満たされるどころではなく、むしろ百倍にも強まっていた。
On being informed of the old man's flight, his fury was unbounded.	老人の逃亡を知らされた彼は激怒したよ。
He gnashed his teeth with rage, tore the hair from his head, and assailed with horrid imprecations the men who had been intrusted with the writ.	激情に歯をきしらせ、髪をかきむしり、令状を手に出動した連中を凄まじく罵ってね。
He was only restored to comparative calmness by repeated assurances of the certainty of discovering the fugitive.	逃亡者の確保を繰り返し保証することで少しだけ落ちつきを取りもどしたようだった。
Agents were sent in quest of him, in all directions;	エージェントが彼の求めに応じてあらゆる方面に散っていった。
every stratagem that could be invented was resorted to, for the purpose of discovering his place of retreat;	また、老人の隠れ家を発見するための方策も残らず実行された。
but it was all in vain.	だが、すべて無駄だった。
Half a year had passed over, and he was still undiscovered.	半年を過ぎても、老人の行方はようと知れなかった。
'At length late one night, Heyling, of whom nothing had been seen for many weeks before, appeared at his attorney's private residence, and sent up word that a gentleman wished to see him instantly.	それからずいぶん後のある晩、何週間もの間姿を消していたヘイリングが、弁護士の自宅に現れ、お目通り願いたいと告げた。
Before the attorney, who had recognised his voice from above stairs, could order the servant to admit him, he had rushed up the staircase,	階下の声を聞きつけた弁護士が召使いに通せと命じるよりも早く、ヘイリングは階段を駆け登り、応接間に飛びこんだ。
and entered the drawing-room pale and breathless.	顔を青ざめさせ、息を切らして。
Having closed the door, to prevent being overheard, he sank into a chair, and said, in a low voice--	ドアを閉めて盗み聞きされないようにすると、椅子に座りこみ、低い声で言った――
'"Hush!	「しっ！
I have found him at last."	とうとうやつを見つけましたよ」
'"No!"	「なんと！」
said the attorney.	と弁護士は言った。
"Well done, my dear sir, well done."	「やりましたね、ヘイリングさん、やりましたね」
'"He lies concealed in a wretched lodging in Camden Town," said Heyling.	「カムデンタウンのみすぼらしい下宿に潜伏しています。
"Perhaps it is as well we DID lose sight of him,	今となればやつに逃げられたのはいいことだったのかもしれませんね。
for he has been living alone there, in the most abject misery, all the time, and he is poor	だって、やつはひとりぼっちであそこに、このうえなく惨めなありさまで、ずっとずっと金もなく
--very poor."	――まったく金もなく過ごしていたんですから」
'"Very good," said the attorney.	「なるほど。
"You will have the caption made to-morrow, of course?"	聞くまでもないとは思いますが、明日逮捕させるおつもりですね？」
'"Yes," replied Heyling.	「もちろん。
"Stay!	……いや待った！
No!	だめだ！
The next day.	明日にします。
You are surprised at my wishing to postpone it,"	驚いたでしょうね、この私が日延べしてやろうと思うなんて」
he added, with a ghastly smile;	そして、ぞっとする微笑を浮かべてこう続けた。
"but I had forgotten.	「忘れてたんですよ。
The next day is an anniversary in his life:	明日は、やつの人生における記念日でしてね。
let it be done then."	だから、あえて明日を選びましょう」
'"Very good," said the attorney.	「なるほど。
"Will you write down instructions for the officer?"	警官に持たせますから、そこまでの地図を書いて頂けますか？」
'"No; let him meet me here, at eight in the evening,	「いや、その警官と直接会うことにしましょう、ここで、明日夜8時に。
and I will accompany him myself."	私がそこまで連れて行きますよ」
'They met on the appointed night, and, hiring a hackney-coach, directed the driver to stop at that corner of the old Pancras Road, at which stands the parish workhouse.	男と警官は約束どおり落ち合って、馬車を雇い、昔のパンクラスロードの角のところ、教区貧民収容施設のあるあたりで停めるようにと命じた。
By the time they alighted there, it was quite dark;	そこについたときには、もうあたりはかなり暗くなっていた。
and, proceeding by the dead wall in front of the Veterinary Hospital, they entered a small by-street,	獣医病院の前にあった行き止まりのそばまで進むと、横道に入った。
which is, or was at that time, called Little College Street, and which, whatever it may be now, was in those days a desolate place enough, surrounded by little else than fields and ditches.	その横道は、少なくともその当時リトルカレッジストリートと呼ばれていて、今はどうなっているのか知らないが、荒れ果てたというにふさわしい、草っ原や溝ばかりのところだったよ。
'Having drawn the travelling-cap he had on half over his face, and muffled himself in his cloak, Heyling stopped before the meanest-looking house in the street, and knocked gently at the door.	旅行用帽子を目深にかぶって顔の上半分を隠し、外套を口元まで引き上げて、ヘイリングは、通りでいちばんみすぼらしい家の前で立ち止まり、そっとドアをノックした。
It was at once opened by a woman, who dropped a curtsey of recognition,	すぐに女がドアを開け、深々と腰を落としてお辞儀した。
and Heyling, whispering the officer to remain below, crept gently upstairs, and, opening the door of the front room, entered at once.	ヘイリングは警官に下で待つように囁くと、こっそり階段をのぼり、向かいの部屋のドアを開け、すぐに中に入った。
'The object of his search and his unrelenting animosity, now a decrepit old man, was seated at a bare deal table, on which stood a miserable candle.	男の探索の対象、揺るぎない憎悪の対象となっているそのみすぼらしい老人は、貧相な蝋燭が1本だけ立てられた裸のテーブルの前に座っていた。
He started on the entrance of the stranger, and rose feebly to his feet.	男が部屋の中に入ってくるとはっとなり、弱々しく立ちあがった。
'"What now, what now?"	「今度はなんですか、今度はなんだというですか？」
said the old man.	と老人は言った。
"What fresh misery is this?	「今度はどんな不幸だというんですか？
What do you want here?"	あなたは何を求めてやってきたのですか？」
'"A word with YOU,"	「あんたと少し話がしたくてね」
As he spoke, he seated himself at the other end of the table, and, throwing off his cloak and cap, disclosed his features.	そう言いながらヘイリングは、テーブルの反対側に腰を下ろし、外套と帽子を脱ぎ捨ててその顔を露にした。
'The old man seemed instantly deprived of speech.	老人は即座に言葉を失ったようだった。
He fell backward in his chair, and, clasping his hands together, gazed on the apparition with a mingled look of abhorrence and fear.	突き倒されたかのように椅子にもたれかかると、両手をしっかりと握り合わせ、憎悪と恐怖のないまざった眼差しで目の前の男を見つめた。
'"This day six years," said Heyling, "I claimed the life you owed me for my child's.	「6年前の今日、おれは、あんたのせいで我が子の命を失ったおれは、いつかあんたに借りを返してやると決めたんだ。
Beside the lifeless form of your daughter, old man, I swore to live a life of revenge.	変わり果てた姿となったあんたの娘のかたわらで、なあ、おれは復讐のために生きてやると誓ったんだ。
I have never swerved from my purpose for a moment's space;	おれは一瞬たりとも挫けることなくその目的に突き進んできた。
but if I had, one thought of her uncomplaining, suffering look, as she drooped away, or of the starving face of our innocent child, would have nerved me to my task.	かりに挫けたとしても、脳裏をかすめる気丈だが病弱だった妻の衰えた顔や無邪気だったあの子の飢えた顔が、おれがなすべきことに立ち向かう勇気をくれたことだろう。
My first act of requital you well remember:	最初の返礼としておれがやったこと、よく覚えてるだろうな。
this is my last."	だがそれも、これで終わりだ」
'The old man shivered, and his hands dropped powerless by his side.	老人は身を震わせ、力なく肩を落とした。
'"I leave England to-morrow,"	「おれは明日、イギリスを出る」
said Heyling, after a moment's pause.	一瞬の間を置いてからヘイリングは言った。
"To-night I consign you to the living death	「今夜、おれはあんたを引き渡す。
to which you devoted her	あれが味わった生きながらの死
--a hopeless prison--"	――絶望の監獄にな」
'He raised his eyes to the old man's countenance, and paused.	男は顔を起こして老人の表情を見ようとし、ぴくりと動きを止めた。
He lifted the light to his face, set it gently down, and left the apartment.	灯りを取って老人の顔を照らし、その灯りをそっとテーブルの上にもどすと、部屋を出ていった。
'"You had better see to the old man,"	ドアを開けた彼は、女に
he said to the woman, as he opened the door, and motioned the officer to follow him into the street.	「あの年寄、気をつけたほうがいい」
"I think he is ill."	「たぶん、病気だ」
The woman closed the door, ran hastily upstairs,	女はドアを閉めると、あわてて階段を駆け上がった。
and found him lifeless.	老人は生き絶えていた。
'Beneath a plain gravestone, in one of the most peaceful and secluded churchyards in Kent, where wild flowers mingle with the grass, and the soft landscape around forms the fairest spot in the garden of England, lie the bones of the young mother and her gentle child.	ケント州の人里離れた平穏な境界の敷地内、野性の草花が交じり合い、心休まる景観に取り巻かれたイギリス1の美しい土地にあるまっさらな墓石の下には、若い母親と心優しいその子どもが眠っている。
But the ashes of the father do not mingle with theirs;	けれどもそこに父親の遺骨は納められていない。
nor, from that night forward, did the attorney ever gain the remotest clue to the subsequent history of his queer client.'	それに、例の弁護士も、その奇妙な依頼人のその後の話を金輪際知ることがなかった。
