Homesteading the Noosphere	ノウアスフィアの開墾
Because you can't coerce effectively over a network connection, seeking power is right out.	ネット接続上では有効な脅しがかけられないので、権力追求はまったく成り立たない。
Likewise, the open-source culture doesn't have anything much resembling money or an internal scarcity economy, so hackers cannot be pursuing anything very closely analogous to material wealth (e.g. the accumulation of scarcity tokens).	同じく、オープンソース文化はお金や内的な稀少性経済に類するものは持っていないから、ハッカーたちも物質的な富とあまり似たものを追求していることはあり得ない。
There is one way that open-source activity can help people become wealthier, however	ただし、オープンソース活動で人々がもっと金持ちになれる方法が一つなくはない
?a way that provides a valuable clue to what actually motivates it.	――そしてそれは、その実際に動機に貴重なヒントを与えてくれるものではある。
Occasionally, the reputation one gains in the hacker culture can spill over into the real world in economically significant ways.	しばしば、ハッカー文化で人が獲得した評判は実世界でも反映されて、それが経済的に意味をもってくることがある。
It can get you a better job offer, or a consulting contract, or a book deal.	もっといい仕事が得られるとか、コンサルタント契約が手に入るとか、あるいは本の執筆依頼がくるとか。
This kind of side effect, however, is at best rare and marginal for most hackers;	でもこの種の副作用は、よくいってもまれだし、ほとんどのハッカーにとっては副次的なものでしかない。
far too much so to make it convincing as a sole explanation,	唯一の説明として説得力を持つには、多くのハッカーにはあまりに縁遠いものだ。
even if we ignore the repeated protestations by hackers that they're doing what they do not for money but out of idealism or love.	それにハッカーたちはなんども、自分たちは金のためにやってるんじゃない、理想と愛のためにやってるんだ、と主張している。
However, the way such economic side effects are mediated is worth examination.	でも、こういう経済的な副作用が処理されるやり方は検討する価値がある。
Next we'll see that an understanding of the dynamics of reputation within the open-source culture itself has considerable explanatory power.	これから、オープンソース文化そのもののなかでの評判の力学だけでも、かなりの説明力があることを見てみよう。
The Hacker Milieu as Gift Culture	6　贈与経済としてのハッカー文化
To understand the role of reputation in the open-source culture, it is helpful to move from history further into anthropology and economics, and examine the difference between exchange cultures and gift cultures.	オープンソース文化での評判の役割を理解するには、歴史から離れて文化人類学と経済学に深入りし、交換の文化と贈与の文化のちがいを検討してみると役に立つ。
Human beings have an innate drive to compete for social status;	人間は、社会的地位のために競争しようという生まれながらの衝動がある。
it's wired in by our evolutionary history.	それはヒトの進化の歴史のなかでからだに刻み込まれているんだ。
For the 90% of hominid history that ran before the invention of agriculture, our ancestors lived in small nomadic hunter-gatherer bands.	その歴史のうち、農業の発明に先立つ 90％ を通じて、ぼくたちの先祖は小さな遊牧式狩猟採集集団をつくって暮らしていた。
High-status individuals (those most effective at informing coalitions and persuading others to cooperate with them) got the healthiest mates and access to the best food.	地位の高い個人は、一番健康な伴侶と最高の食料へのアクセスを手に入れた。
This drive for status expresses itself in different ways, depending largely on the degree of scarcity of survival goods.	この地位への衝動は、おもに生存に必要な財の稀少性の度合いに応じて、いろいろな形であらわれてくる。
Most ways humans have of organizing are adaptations to scarcity and want.	人間が持つ組織化のほとんどの方法は、希少性と欲求に対する適応行動だ。
Each way carries with it different ways of gaining social status.	それぞれの方法は、社会的地位を獲得する別々の手段を持っている。
The simplest way is the command hierarchy.	一番簡単な方法は 上意下達方式（command hierarchy）だ。
In command hierarchies, scarce goods are allocated by one central authority and backed up by force.	上意下達方式では、稀少な財の配分は一つの中央権力が行って、それが軍事力でバックアップされる。
Command hierarchies scale very poorly [Mal];	上意下達方式は、規模の変化への適応力（スケーラビリティ）がものすごくとぼしい[Mal]。
they become increasingly brutal and inefficient as they get larger.	大きくなるにつれて、ますます横暴で非効率になってゆく。
For this reason, command hierarchies above the size of an extended family are almost always parasites on a larger economy of a different type.	このため、大家族以上の上意下達方式はほぼかならずといっていいほど、別のかたちのもっと大きな経済に寄生する存在でしかない。
In command hierarchies, social status is primarily determined by access to coercive power.	上意下達方式では、社会的地位はおもに恐喝力へのアクセス能力によって決まってくる。
Our society is predominantly an exchange economy.	ぼくたちの社会はもっぱら交換経済だ。
This is a sophisticated adaptation to scarcity that, unlike the command model, scales quite well.	これは財の希少性に対する洗練された適応方式で、規模の変化にもよく適応する。
Allocation of scarce goods is done in a decentralized way through trade and voluntary cooperation	稀少な財の配分は、交換と自発的な協力によって非中心的に行われる
(and in fact, the dominating effect of competitive desire is to produce cooperative behavior).	（そして実は、競争の欲望がもたらす最大の効果は協力行動を生み出すことだ）。
In an exchange economy, social status is primarily determined by having control of things (not necessarily material things) to use or trade.	交換経済では、社会的地位はおもにもの（必ずしも物質的なものとは限らない）のコントロールの大小で決まる。
Most people have implicit mental models for both of the above, and how they interact with each other.	ほとんどの人は、この二つについては説明されるまでもなく精神的なモデルを持っているし、それらがどう相互に機能するかもわかっている。
Government, the military, and organized crime (for example) are command hierarchies parasitic on the broader exchange economy we call `the free market'.	政府や軍、ギャング集団などは、ぼくたちが「自由市場」とよぶもっと大きな交換経済に寄生している上意下達システムだ。
There's a third model, however, that is radically different from either and not generally recognized except by anthropologists;	しかしながら、このどちらともまったくちがっていて、人類学者たち以外はあまり認知されていない第三のモデルがあるんだ。
the gift culture.	これが贈与の文化だ。
Gift cultures are adaptations not to scarcity but to abundance.	贈与文化は、希少性ではなく過剰への適応だ。
They arise in populations that do not have significant material-scarcity problems with survival goods.	それは生存に不可欠な財について、物質的な欠乏があまり起きない社会で生じる。
We can observe gift cultures in action among aboriginal cultures living in ecozones with mild climates and abundant food.	穏和な気候と豊富な食料を持った経済圏の原住民の間には、贈与経済が見られる。
We can also observe them in certain strata of our own society,	ぼくたち自身の社会でも、一部の層では観察される。
especially in show business and among the very wealthy.	たとえばショービジネスや大金持ちの間でだ。
Abundance makes command relationships difficult to sustain and exchange relationships an almost pointless game.	過剰は上意下達関係を維持困難にして、交換による関係をほとんど無意味なゲームにしてしまう。
In gift cultures, social status is determined not by what you control but by what you give away.	贈与の文化では、社会的なステータスはその人がなにをコントロールしているかではなく、その人がなにをあげてしまうかで決まる。
Thus the Kwakiutl chieftain's potlach party.	だからクワキトルの酋長はポトラッチ・パーティーを開く。
Thus the multi-millionaire's elaborate and usually public acts of philanthropy.	億万長者は派手にフィランソロフィー活動をして、しかもそれをひけらかすのが通例だ。
And thus the hacker's long hours of effort to produce high-quality open-source code.	そしてハッカーたちは、長時間の労力をそそいで、高品質のオープンソース・ソフトをつくる。
For examined in this way, it is quite clear that the society of open-source hackers is in fact a gift culture.	というのも、こうして検討すると、オープンソース・ハッカーたちの社会がまさに贈与文化であるのは明らかだからだ。
Within it, there is no serious shortage of the `survival necessities'?disk space, network bandwidth, computing power.	そのなかでは「生存に関わる必需品」――つまりディスク領域、ネットワーク帯域、計算能力など――が深刻に不足するようなことはない。
Software is freely shared.	ソフトは自由に共有される。
This abundance creates a situation in which the only available measure of competitive success is reputation among one's peers.	この豊富さが産み出すのは、競争的な成功の尺度として唯一ありえるのが仲間内の評判だという状況だ。
This observation is not in itself entirely sufficient to explain the observed features of hacker culture, however.	でもこの観察は、それだけではハッカー文化に見られる特徴を説明するのに十分とはいえない。
The crackers and warez d00dz have a gift culture that thrives in the same (electronic) media as that of the hackers, but their behavior is very different.	クラッカー d00dz は、ハッカーと同じ（電子）メディア上に息づく贈与文化を持っているけれど、その行動は大きくちがっている。
The group mentality in their culture is much stronger and more exclusive than among hackers.	このグループの性行は、ハッカーよりもずっと強くて排外的だ。
They hoard secrets rather than sharing them;	共有するよりは秘密を隠匿したがる。
one is much more likely to find cracker groups distributing sourceless executables that crack software than tips that give away how they did it.	クラッカーグループでは、ソフトクラック用のソースのない実行ファイルが出回ることのほうが、そのやりかたを教えるヒントが出回ることより多い。
(For an inside perspective on this behavior, see [LW]).	（この行動についての、d00dz集団内部からの観点については [LW] を参照。）
What this shows, in case it wasn't obvious, is that there is more than one way to run a gift culture.	これが示しているのは、もちろん言うまでもなく自明だろうけれど、贈与文化の運用方法は一つじゃないってことだ。
History and values matter. I have summarized the history of the hacker culture in A Brief History of Hackerdom[HH];	ぼくはハッカー文化の歴史について、別のところでまとめたことがある[HH]。
the ways in which it shaped present behavior are not mysterious.	それがいまの行動を形成していった方法は、謎なんかじゃない。
Hackers have defined their culture by a set of choices about the form that their competition will take.	ハッカーたちは、自分たちの文化を規定するにあたり、自分たちの競合が行われる形式の集合を利用したわけだ。
It is that form that we will examine in the remainder of this essay.	この論文ではこの先、その形式を検討することにしよう。
The Joy of Hacking	7　ハッキングのよろこび
In making this `reputation game' analysis, by the way, I do not mean to devalue or ignore the pure artistic satisfaction of designing beautiful software and making it work.	ついでに言っておくと、この「評判ゲーム」の分析をするからといって、別に美しいソフトを設計してそれをうまく動かすことの芸術的な満足を軽んじたり、無視したりするつもりはない。
Hackers all experience this kind of satisfaction and thrive on it.	ぼくたちみんな、こういう満足は経験しているし、そのために生きているようなとこさえある。
People for whom it is not a significant motivation never become hackers in the first place,	そういうのがだいじな動機になっていないような人間は、そもそもハッカーになったりはしない。
just as people who don't love music never become composers.	ちょうど、音楽を好きでない人間が作曲家になったりしないのと同じことだ。
So perhaps we should consider another model of hacker behavior in which the pure joy of craftsmanship is the primary motivation.	だったら、職人気質の純粋なよろこびが主な動機となっているハッカー行動のモデルを考えたほうがいいのかな？
This `craftsmanship' model would have to explain hacker custom as a way of maximizing both the opportunities for craftsmanship and the quality of the results.	この「職人気質」モデルは、職人気質発揮機会最大化とその結果の最大化を達成する手段としてハッカー慣習を説明できなくてはならない。
Does this conflict with or suggest different results than the reputation game model?	これは、「評判ゲーム」モデルと対立したり、別の結果を示唆したりしているだろうか？
Not really.	そうでもない。
In examining the craftsmanship model, we come back to the same problems that constrain hackerdom to operate like a gift culture.	「職人気質」モデルを検討すると、結局はハッカー社会を贈与文化のように動かしている制約条件と同じ問題に戻ってくることになる。
How can one maximize quality if there is no metric for quality?	品質をはかる尺度がなければ、品質を最大化なんかできないだろう。
If scarcity economics doesn't operate, what metrics are available besides peer evaluation?	希少性の経済が働かないなら、仲間内の評価以外の尺度なんかありえないだろう。
It appears that any craftsmanship culture ultimately must structure itself through a reputation game	どうも、職人気質文化はけっきょくのところ、評判ゲームを通じて組織されるしかないんじゃないか
?and, in fact, we can observe exactly this dynamic in many historical craftsmanship cultures from the medieval guilds onwards.	――そして中世ギルド以来の多くの職人文化では、まさにこの力学が機能しているのがうかがえるんだ。
In one important respect, the craftsmanship model is weaker than the `gift culture' model;	ある重要な一点で、「職人気質」モデルは「贈与文化」モデルより弱い。
by itself, it doesn't help explain the contradiction we began this essay with.	それだけでは、この論文のきっかけとなったそもそもの矛盾は説明できない。
Finally, the craftsmanship motivation itself may not be psychologically as far removed from the reputation game as we might like to assume.	最後に、「職人気質」的な動機はそれ自体として、ぼくたちが考えたがるほどは評判ゲームからかけ離れたものじゃないかもしれない。
Imagine your beautiful program locked up in a drawer and never used again.	自分の書いたみごとなプログラムが引き出しに鍵をかけてしまいこまれていたらどうだろう。
Now imagine it being used effectively and with pleasure by many people.	一方、それがうまく使われてみんなに喜ばれていたらどうだろう。
Which dream gives you satisfaction?	どっちのほうがきみとしては満足だろうか？
Nevertheless, we'll keep an eye on the craftsmanship model.	とはいっても、職人気質モデルは捨てないでおこう。
It is intuitively appealing to many hackers, and explains some aspects of individual behavior well enough [HT].	それは多くのハッカーにとって直感的にわかりやすいし、個人行動のある面はすごくうまく説明してくれるから。[HT]
After I published the first version of this essay on the Internet, an anonymous respondent commented:	この論文の初版を公開してから、匿名の評者がこう述べた。
``You may not work to get reputation, but the reputation is a real payment with consequences if you do the job well.''	「意図的に評判を得ようとして作業はしないかもしれないけれど、でも評判というのは仕事をちゃんとしていれば、本当に利益をもたらす真の見返りなんだよ」。
This is a subtle and important point.	これは細かいが重要なポイントだ。
The reputation incentives continue to operate whether or not a craftsman is aware of them;	評判インセンティブは、職人がそれを認識しているかどうかによらず、機能し続ける。
thus, ultimately, whether or not a hacker understands his own behavior as part of the reputation game, his behavior will be shaped by that game.	だから究極的には、ハッカーが自分の行動を評判ゲームの一部として理解しているかどうかによらず、かれの行動はそのゲームに左右されることになる。
Other respondents related peer-esteem rewards and the joy of hacking to the levels above subsistence needs in Abraham Maslow's well-known `hierarchy of values' model of human motivation [MH].	ほかの反応としては、同業者の中での名誉という報酬とハッキングの喜びが、生活維持に必要な水準以上になっているということを、人間の動機づけに関するアイブラハム・マズローの有名な「価値のヒエラルキー」モデルと関連づけている（[MH]）。
On this view, the joy of hacking fulfills a self-actualization or transcendence need, which will not be consistently expressed until lower-level needs (including those for physical security and for `belongingness' or peer esteem) have been at least minimally satisfied.	この観点からすると、ハッキングの喜びというのは自己実現ないし高次ニーズであって、低次のニーズ（たとえば肉体的な安定性や「帰属感」や同業者の中の名誉など）が最低限は満たされない限り、一貫性を持った形で表明されることはないのだ、ということになる。
Thus, the reputation game may be critical in providing a social context within which the joy of hacking can in fact become the individual's primary motive.	だから評判ゲームは、ハッキングの喜びがまさに個人の主要動機となれるような社会的文脈を提供するにあたって、とても重要なものとなるかもしれない。
The Many Faces of Reputation	8　評判のさまざまな相貌
There are reasons general to every gift culture why peer repute (prestige) is worth playing for:	なぜ仲間内の評判（名声）が勝ち取るに足るものなのかについては、あらゆる贈与文化に共通する理由がある。
First and most obviously, good reputation among one's peers is a primary reward.	まず第一にいちばん明らかな点だけれど、仲間内のよい評判はそれ自体が重要な報酬だからだ。
We're wired to experience it that way for evolutionary reasons touched on earlier.	ぼくたちは、まえにふれた進化上の理由から、そう感じるようにつくられている
(Many people learn to redirect their drive for prestige into various sublimations that have no obvious connection to a visible peer group, such as ``honor'', ``ethical integrity'', ``piety'' etc.;	（多くの人々は、名声に対する欲求をいろいろ昇華させて、はっきりした仲間グループと結びつかない「名誉」「倫理的誠実さ」「慈悲」などにリダイレクトすることを学ぶ。
this does not change the underlying mechanism.)	でもだからといって、根っこのメカニズムは変わらない）。
Secondly, prestige is a good way (and in a pure gift economy, the only way) to attract attention and cooperation from others.	第二に、名声は他人の注目を集めて協力を得るのにすごく有効な方法だ
If one is well known for generosity, intelligence, fair dealing, leadership ability, or other good qualities, it becomes much easier to persuade other people that they will gain by association with you.	もしある人が、気前よく、知的で、公正で、指導力があるとかいったよい資質で有名だったら、その人と関わりを持つことでメリットがあると他人に説得するのはずっと簡単になる。
Thirdly, if your gift economy is in contact with or intertwined with an exchange economy or a command hierarchy, your reputation may spill over and earn you higher status there.	第三に、もし贈与経済が交換経済や上意下達方式と接触していたり混じり合ったりしていた場合にも、評判がそっちに持ち越されて、もっと高い地位を得る役にたつかもしれない。
Beyond these general reasons, the peculiar conditions of the hacker culture make prestige even more valuable than it would be in a `real world' gift culture.	こうした一般的な理由に加えて、ハッカー文化ではその特殊な条件のおかげで「現実世界」の贈与文化にくらべて名声がもっと価値の高いものになっている。
The main `peculiar condition' is that the artifacts one gives away (or, interpreted another way, are the visible sign of one's gift of energy and time) are very complex.	「特殊な条件」の最大のものは、ある人があげる成果物（あるいは別の解釈をするなら、その人の贈る労力と時間の目に見えるしるし）がとても複雑であることだ。
Their value is nowhere near as obvious as that of material gifts or exchange-economy money.	その価値は、物質的な贈り物や交換経済のお金とはくらべものにならないほど不明確だ。
It is much harder to objectively distinguish a fine gift from a poor one.	よい贈り物とろくでもない贈り物を客観的に区別するのはずっとむずかしい。
Accordingly, the success of a giver's bid for status is delicately dependent on the critical judgement of peers.	したがって、何かを贈る人が地位を求めて成功するかどうかは、仲間うちの批評的な判断に繊細に関わってくる。
Another peculiarity is the relative purity of the open-source culture.	もう一つ特異なのは、オープンソース文化が比較的純粋であることだ。
Most gift cultures are compromised	ほとんどの贈与文化はまざりものが入っている
?either by exchange-economy relationships such as trade in luxury goods, or by command-economy relationships such as family or clan groupings.	――奢侈品の交易などで交換経済が入り込んでいたり、家族や部族集団みたいな上意下達関係が入っていたりする。
No significant analogues of these exist in the open-source culture;	オープンソースはこれに類するものはほとんどないと言っていい。
thus, ways of gaining status other than by peer repute are virtually absent.	だから、仲間内の評判以外に地位を獲得する方法は、まずない。
Ownership Rights and Reputation Incentives	9　所有権と評判によるインセンティブ
We are now in a position to pull together the previous analyses into a coherent account of hacker ownership customs.	さてここまできたら、これまでの分析をひとまとめにして、ハッカーの所有権慣習をもっと統一的にとらえてみよう。
We understand the yield from homesteading the noosphere now;	ノウアスフィアの開墾からの収益はわかった。
it is peer repute in the gift culture of hackers,	それはハッカーの贈与文化における仲間内の評判だ。
with all the secondary gains and side effects that implies.	そしてそれにともなう二次的なメリットや副作用もついてくる。
From this understanding, we can analyze the Lockean property customs of hackerdom as a means of maximizing reputation incentives;	この理解にもとづいて、ぼくたちはハッカー社会のロック流の所有権慣習が評判上のインセンティブを最大化する手段なんだと分析できる。
of ensuring that peer credit goes where it is due and does not go where it is not due.	つまり、仲間内のクレジットがしかるべき人物に帰属して、それ以外のところには行かないようにするわけだ。
The three taboos we observed above make perfect sense under this analysis.	これまで検討した3つのタブーは、この分析に基づけば完全に筋が通ってくる。
One's reputation can suffer unfairly if someone else misappropriates or mangles one's work;	他人が自分の作業を不当に横取りしたり、変な加工をしたりすれば、自分の評判が不当に落ちることになる。
these taboos (and related customs) attempt to prevent this from happening.	こういうタブー（そして関連した慣習）は、そういう事態を避けようとするものだ。
Forking projects is bad because it exposes pre-fork contributors to a reputation risk	プロジェクトの分裂がよくないのは、分裂以前に貢献していた人たちが評価上のリスクにさらされることになるからだ。
they can only control by being active in both child projects simultaneously after the fork.	このリスクをなくすには、かれらは分裂後の両方のプロジェクトで同時に活動しなくてはならない
(This would generally be too confusing or difficult to be practical.)	（これは一般にややこしすぎたり、実践するのがむずかしすぎたりする）。
Distributing rogue patches (or, much worse, rogue binaries) exposes the owners to an unfair reputation risk.	非公式パッチを配布する（あるいはもっとひどい場合には非公式バイナリを配布する）と、所有者たちは不公正な評判上のリスクにさらされる。
Even if the official code is perfect, the owners will catch flak from bugs in the patches (but see [RP]).	公式コードが完璧であっても、所有者たちはパッチのバグのおかげで不評をかうはめになりかねない（とはいえ、[RP]を参照のこと）。
Surreptitiously filing someone's name off a project is, in cultural context, one of the ultimate crimes.	こっそりだれかの名前をプロジェクトからはずすことは、文化的な文脈では究極の犯罪だ。
Doing this steals the victim's gift to be presented as the thief's own.	それは犠牲者の贈り物を盗み取って、泥棒のものとして提示するということだからだ。
Of course, forking a project or distributing rogue patches for it also directly attacks the reputation of the original developer's group.	もちろん、プロジェクトをフォークさせたり非公式パッチを配布させたりするのは、もとの開発者グループの評判を直接攻撃することにもなる。
If I fork or rogue-patch your project, I am saying:	もしぼくがきみのプロジェクトをフォークさせたり非公式パッチを配布したりすると、ぼくはつまりこう言っていることになる：
"you made a wrong decision	「きみはまちがった決定を下した。
by failing to take the project where I am taking it";	（プロジェクトを、ぼくが導いているような方向に導いていない）」
and anyone who uses my forked variation is endorsing this challenge.	そしてぼくのフォーク版を使う人間はみんな、ぼくのきみに対する挑戦を支持していることになる。
But this in itself would be a fair challenge,	でもこれ自体は、フェアな挑戦だ。
albeit extreme;	極端ではあるにしても。
it's the sharpest end of peer review.	これは同業者（ピア）レビューの究極の形だ。
It's therefore not sufficient in itself to account for the taboos,	だからこれは、これだけではタブーの説明としては不十分だ。
though it doubtless contributes force to them.	それを強化するものであるのは確かだけれど。
All three taboo behaviors inflict global harm on the open-source community as well as local harm on the victim(s).	このタブーの３つとも、被害者個人のレベルで害をもたらすとともに、オープンソースコミュニティに全体として害を及ぼすものだ。
Implicitly they damage the entire community by decreasing each potential contributor's perceived likelihood that gift/productive behavior will be rewarded.	これらは、各潜在貢献者たちが、自分の贈り物・生産的行動に報酬が与えられるという可能性の認識を減らすことで、暗黙のうちに全コミュニティに害をなすことになる。
It's important to note that there are alternate candidate explanations for two of these three taboos.	この三つのタブーのうち２つに対しては、別の説明候補があることは理解する必要がある。
First, hackers often explain their antipathy to forking projects by bemoaning the wasteful duplication of work it would imply as the child products evolve on more-or-less parallel courses into the future.	まず、ハッカーはプロジェクト分裂に対する反感について、そんなことになったら子プロジェクトは当分はある程度似たような道をたどるから、作業が二重化して無駄だろ、と説明する。
They may also observe that forking tends to split the co-developer community, leaving both child projects with fewer brains to use than the parent.	また分裂は共同開発者コミュニティを分裂させることが多く、だからどちらの子プロジェクトも、親より脳味噌が少なくなる点を指摘する人もいるだろう。
A respondent has pointed out that it is unusual for more than one offspring of a fork to survive with significant `market share' into the long term.	ある人のコメントだけれど、分裂の結果の子プロジェクトが、長期的にそれなりの「市場シェア」をもって一つ以上生き延びることは滅多にない。
This strengthens the incentives for all parties to cooperate and avoid forking,	これはあらゆる関係者が協力して分裂を避けるインセンティブを強化する。
because it's hard to know in advance who will be on the losing side and see a lot of their work either disappear entirely or languish in obscurity.	だれが負け組に入るかを知るのはむずかしいし、負け組では自分たちの仕事の大半があっさり消えたり、無名なままで放置されたりすることになるからだ。
Dislike of rogue patches is often explained by the objection that they can create compatibility problems between the daughter versions, complicate bug-tracking enormously, and inflict work on maintainers who have quite enough to do catching their own mistakes.	非公式パッチへの批判は、それがバグ追跡をものすごく難しくすることや、自前のバグを処理するだけでも手いっぱいな管理者の作業を、さらに増やす点などを観察したうえで説明されることが多い。
There is considerable truth to these explanations,	こうした説明には、かなりの真実が含まれている。
and they certainly do their bit to reinforce the Lockean logic of ownership.	そしていずれも、ロック式所有権の論理を強化するためにそれなりの働きをしてくれる。
But while intellectually attractive, they fail to explain why so much emotion and territoriality gets displayed on the infrequent occasions that the taboos get bent or broken	でも知的にはおもしろいけれど、これはタブーが曲げられたり破られたりするきわめてまれな状況で、なぜこれほどの感情となわばり性が発揮されるのかという説明にはならない。
?not just by the injured parties, but by bystanders and observers who often react quite harshly.	しかもこれは、被害を受けた人々だけでなく、傍観者や見物人にもあてはまり、こういう人たちもかなり厳しい反応を示す。
Cold-blooded concerns about duplication of work and maintainance hassles simply do not sufficiently explain the observed behavior.	作業の二重化に関する冷たい計算や、管理の面倒の話などでは、こういう観察される行動はどうしても説明できない。
Then, too, there is the third taboo.	そしてさらに、第三のタブーがある。
It's hard to see how anything but the reputation-game analysis can explain this.	これを説明するのに、評判ゲーム分析以外にはなにも想像がつかない。
The fact that this taboo is seldom analyzed much more deeply than ``It wouldn't be fair'' is revealing in its own way,	このタブーが「そんなのフェアじゃないじゃん」という以上にはほとんど分析されないということは、それ自体が示唆的だ。
as we shall see in the next section.	これについては次の章で見る。
The Problem of Ego	10　エゴの問題
At the beginning of this essay I mentioned that the unconscious adaptive knowledge of a culture is often at odds with its conscious ideology.	この論文の冒頭で、ある文化の適応結果としての知識は、その意識的なイデオロギーと相反することも多い、と書いた。
We've seen one major example of this already in the fact that Lockean ownership customs have been widely followed despite the fact that they violate the stated intent of the standard licenses.	この大きな実例として、ロック式所有権慣習が、標準ライセンスに記載された意図に違反しているにもかかわらず、広く遵守されていることを見てきた。
I have observed another interesting example of this phenomenon when discussing the reputation-game analysis with hackers.	この現象のおもしろい例が、評判ゲーム分析をハッカーたちと議論しているときにも観察できた。
This is that many hackers resisted the analysis and showed a strong reluctance to admit that their behavior was motivated by a desire for peer repute or, as I incautiously labeled it at the time, `ego satisfaction'.	多くのハッカーたちはこの分析に難色を示し、自分たちの行動が仲間内の評判への欲望、あるいはその頃ぼくが浅い考えで使っていた名称では「エゴの満足」に動機づけられていると認めたがらなかった。
This illustrates an interesting point about the hacker culture.	これは、ハッカー文化についておもしろい点を示している。
It consciously distrusts and despises egotism and ego-based motivations;	ハッカー文化は意識的にエゴ中心主義と、エゴに基づく動機づけを信用せずに軽蔑する。
self-promotion tends to be mercilessly criticized, even when the community might appear to have something to gain from it.	自己宣伝は、コミュニティがそこから何か得るものがあるように見えるときでさえ、容赦なく批判されることが多い。
So much so, in fact, that the culture's `big men' and tribal elders are required to talk softly and humorously deprecate themselves at every turn in order to maintain their status.	これがあまりに極端になっていて、ハッカー文化の「大物」や部族長老たちは自分の地位を保つためには話し方を穏やかにして、あらゆる機会をとらえてユーモアをこめて自己卑下することが要求されるようになってしまっている。
How this attitude meshes with an incentive structure that apparently runs almost entirely on ego cries out for explanation.	この態度がいかにして、明らかにほぼ完全にエゴに依存して機能するインセンティブ構造とからみあっているのかは、どうしても説明が必要となるところだ。
A large part of it, certainly, stems from the generally negative Europo-American attitude towards `ego'.	もちろんその大きな部分は、欧米の「エゴ」に対する一般的に否定的な態度からきている。
The cultural matrix of most hackers teaches them that desiring ego satisfaction is a bad (or at least immature) motivation;	多くのハッカーの文化マトリックスは、エゴの満足を求めるのは悪い（あるいは少なくとも大人げない）と教えている。
that ego is at best an eccentricity tolerable only in prima donnas and often an actual sign of mental pathology.	そしてエゴはせいぜいがプリマドンナのみに許される奇矯な代物で、精神的な病理の兆候であることすら多い、と教わっている。
Only sublimated and disguised forms like ``peer repute'', ``self-esteem'', ``professionalism'' or ``pride of accomplishment'' are generally acceptable.	これを「仲間内の評判」や「自尊心」「プロ意識」「達成感」というふうに昇華して、はじめてうけいれられるものになるんだ、と。
I could write an entire other essay on the unhealthy roots of this part of our cultural inheritance,	ぼくたちの文化的伝承のこの部分の不健全な根っこについては、全く別のエッセイを書くことだってできる。
and the astonishing amount of self-deceptive harm we do by believing (against all the evidence of psychology and behavior) that we ever have truly `selfless' motives.	あるいは、ぼくたちが真に「無私の」動機を持っている（心理と行動面でのあらゆる証拠にもかかわらず）と信じ込むことによる、自己欺瞞の害についてだって別の文章が書けるだろう。
Perhaps I would, if Friedrich Wilhelm Nietzsche and Ayn Rand had not already done an entirely competent job (whatever their other failings) of deconstructing `altruism' into unacknowledged kinds of self-interest.	書いてもいいんだが、ぼくがやるまでもなく、「愛他主義」を破壊して、はっきり意識されない自己利益に還元することについては（その他のいろんな欠点はさておき）フリードリッヒ・ヴィルヘルム・ニーチェとエイン・ランドが、きわめて立派な作業をすでに残している。
But I am not doing moral philosophy or psychology here, so I will simply observe one minor kind of harm done by the belief that ego is evil,	でもここでやってるのは道徳哲学でもなければ心理学でもないので、エゴが悪いものだという信仰から生じるちょっとした害を検討するにとどめよう。
which is this:	その害とはつまり、
it has made it emotionally difficult for many hackers to consciously understand the social dynamics of their own culture!	そのおかげで多くのハッカーたちは自分の文化の社会力学を意識的に理解することが、感情的にむずかしくなってしまったという点だ。
But we are not quite done with this line of investigation.	でも、この線での検討はまだ終わったわけじゃない。
The surrounding culture's taboo against visibly ego-driven behavior is so much intensified in the hacker (sub)culture that one must suspect it of having some sort of special adaptive function for hackers.	目に見えてエゴだけからくる行動に対するタブーは、われわれを取り巻く文化にもあるけれど、それはハッカー（サブ）カルチャーでは極端に強化されていて、だからそれがハッカーたちにとっては、なにか一種の特殊な適応上の機能があるにちがいないとしか考えられない。
Certainly the taboo is weaker (or nonexistent) among many other gift cultures, such as the peer cultures of theater people or the very wealthy.	その他多くの贈与文化、たとえば演劇人たちの同業者仲間や大金持ちの間では、このタブーはもっと弱いんだから！
The Value of Humility	11　謙虚さの美徳
Having established that prestige is central to the hacker culture's reward mechanisms, we now need to understand why it has seemed so important that this fact remain semi-covert and largely unadmitted.	ハッカー文化の報酬メカニズムにおいて名声が中心的なものだということがはっきりしたので、今度はなぜこの事実が半ば隠されて、ほとんど公認されないのが重要と思われていたのかを理解しなけりゃならない。
The contrast with the pirate culture is instructive.	海賊ソフト文化との対比は示唆的だ。
In that culture, status-seeking behavior is overt and even blatant.	この文化では、地位を求めての行動は臆面なしで、これ見よがしですらある。
These crackers seek acclaim for releasing ``zero-day warez'' (cracked software redistributed on the day of the original uncracked version's release) but are closemouthed about how they do it.	この手のクラッカーたちは、「ゼロ・デイ・warez」（クラックされていないオリジナルバージョンがリリースされたその日に、クラックされたソフトを配布すること）をリリースして評判を勝ち取ろうとするけれど、でもそのやり方については口をつぐむ。
These magicians don't like to give away their tricks.	この種の魔法使いどもは自分の小技を公開するのを嫌う。
And, as a result, the knowledge base of the cracker culture as a whole increases only slowly.	だから結果として、クラッカー文化の知識ベースはごくゆっくりとしか成長しない。
