THE FALL OF THE HOUSE OF USHER	アッシャー家の崩壊
- from these paintings (vivid as their images now are before me) I would in vain endeavor to educe more than a small portion which should lie within the compass of merely written words.	――それらの画（それはいまなお、ありありと眼の前に浮ぶが）から、ただ文字で書きあらわしえられるものをひき出そうとしても、ほんの一部分しかえられないであろう。
By the utter simplicity, by the nakedness of his designs, he arrested and overawed attention.	完全な単純さによって、着想のあからさまなことによって、彼は人の注意をひき、これを威圧した。
If ever mortal painted an idea, that mortal was Roderick Usher.	もし観念を画で描いた人があるとすれば、ロデリック・アッシャーこそまさにその人であった。
For me at least - in the circumstances then surrounding me - there arose out of the pure abstractions which the hypochondriac contrived to throw upon his canvass, an intensity of intolerable awe, no shadow of which felt I ever yet in the contemplation of the certainly glowing yet too concrete reveries of Fuseli.	少なくとも私には――そのときの私の周囲の事情にあっては――この憂鬱症患者が彼の画布（カンヴァス）の上にあらわそうとした純粋な抽象的観念からは、あのフュウゼリのたしかに灼熱（しゃくねつ）的ではあるがあまりに具象的な幻想を見つめてさえ、その影すら感じなかったほどの、強烈な堪えがたい畏怖（いふ）の念が湧き起ったのである。
One of the phantasmagoric conceptions of my friend, partaking not so rigidly of the spirit of abstraction, may be shadowed forth, although feebly, in words.	友のこの幻想的な概念の一つは、それほど厳密に抽象性を持っていないので、かすかにではあるが言葉でそのだいたいをあらわすことができるかもしれぬ。
A small picture presented the interior of an immensely long and rectangular vault or tunnel, with low walls, smooth, white, and without interruption or device.	それは小さな画で、低い壁のある、平坦（へいたん）な、白い、切れ目もなければなんの装飾もない、非常に長い矩形（くけい）の窖（あなぐら）または地下道（トンネル）の内部をあらわしていた。
Certain accessory points of the design served well to convey the idea that this excavation lay at an exceeding depth below the surface of the earth.	その構図のある付随的な諸点は、この洞穴が地面からよほど深いところにあるという感じをよく伝えている。
No outlet was observed in any portion of its vast extent, and no torch, or other artificial source of light was discernible ;	この広い場所のどの部分にも出口がなく、篝火（かがりび）やその他の人工的な光源も見えないが、
yet a flood of intense rays rolled throughout, and bathed the whole in a ghastly and inappropriate splendor.	しかも強烈な光線があまねく満ちあふれて、全体がもの凄（すご）い不可解な光輝のなかにひたされているのであった。
I have just spoken of that morbid condition of the auditory nerve which rendered all music intolerable to the sufferer, with the exception of certain effects of stringed instruments.	病的な聴覚神経のために、絃楽器のある音をのぞいて、あらゆる音楽が彼には堪えられなかったことは、前に述べたとおりである。
It was, perhaps, the narrow limits to which he thus confined himself upon the guitar, which gave birth, in great measure, to the fantastic character of his performances.	彼の演奏に大いに幻想的な性質を与えたのは、おそらくこのように彼がギターだけにせまく限ったためであったろう。
But the fervid _facility_ of his _impromptus_ could not be so accounted for.	しかし彼の即興詩を作る燃え立つような神速さ［＃「神速さ」に傍点］にいたっては、同じようには説明することができない。
They must have been, and were, in the notes, as well as in the words of his wild fantasias (for he not unfrequently accompanied himself with rhymed verbal improvisations), the result of that intense mental collectedness and concentration to which I have previously alluded as observable only in particular moments of the highest artificial excitement.	彼の不思議な幻想曲の歌詞はもとより、その曲調も（というのは彼はちょいちょい韻を踏んだ即興詩を自分で伴奏したから）、前に述べたような最高の人為的興奮の特別の瞬間にだけ見られる強烈な精神の集中の結果であるべきだったし、また事実そうであったのだ。
The words of one of these rhapsodies I have easily remembered.	このような狂想曲の一つの歌詞を私はたやすく覚えてしまった。
I was, perhaps, the more forcibly impressed with it, as he gave it, because, in the under or mystic current of its meaning, I fancied that I perceived, and for the first time, a full consciousness on the part of Usher, of the tottering of his lofty reason upon her throne.	彼がそれを聞かしてくれたときそんなに強い印象を受けたのは、おそらく、その詩の意味の底の神秘的な流れのなかに、アッシャー自身が彼の高い理性がその王座の上でぐらついていることを十分に意識しているということを、私が初めて知ったように思ったからであろう。
The verses, which were entitled "The Haunted Palace," ran very nearly, if not accurately, thus:	『魔の宮殿』という題のその詩は、正確ではないとしても、だいたい次のようなものであった。
In the greenest of our valleys,	善き天使らの住まえる、
By good angels tenanted,	緑いと濃きわれらが渓谷（たに）に、
Once a fair and stately palace -	かつて美（うる）わしく宏（おお）いなる宮殿（みやい）――
Radiant palace - reared its head.	輝ける宮殿――そびえ立てり。
In the monarch Thought's dominion -	王なる「思想」の領域に
It stood there !	そは立てり！
Never seraph spread a pinion	最高天使（セラフ）も未（いま）だかくも美わしき宮の上に
Over fabric half so fair.	そが翼をひろげたることなかりき。
Banners yellow, glorious, golden,	黄なる、栄（はえ）ある、金色の旗、
On its roof did float and flow;	そが甍（いらか）の上に躍りひるがえれり。
(This - all this - was in the olden	（こは――すべてこは――遠き
Time long ago)	昔のことなりき）
And every gentle air that dallied,	戯（たわむ）れそよぐ軟風（なよかぜ）に
In that sweet day,	いともよきその
Along the ramparts plumed and pallid,	羽毛かざれる蒼白き塁（とりで）にそいて
A winged odor went away.	翼ある香（かおり）、通り去りぬ。
Wanderers in that happy valley	この幸（さち）ある渓谷（たに）をさまよいし人々は、
Through two luminous windows saw	輝く二つの窓より見たり、
Spirits moving musically	調べととのえる琵琶（びわ）の音（ね）につれ
To a lute's well-tuned law,	王座をめぐりて、精霊らの舞えるを。
Round about a throne, where sitting	その王座には
(Porphyrogene  !)	（紫の御子（ポーフィロジーニ）！）
In state his glory well befitting,	その光栄（ほまれ）にふさわしき威厳もて
The ruler of the realm was seen.	この領土（くに）の主（あるじ）坐（ざ）せり。
And all with pearl and ruby glowing	またすべて真珠と紅玉とをもて
Was the fair palace door,	美わしき宮殿の扉（とびら）は燦（きらめ）けり。
Through which came flowing, flowing, flowing,	その扉より流れ、流れ、流れて
And sparkling evermore,	永遠（とわ）に閃（ひらめ）きつつ「こだま」の一群（ひとむれ）来たりぬ
A troop of Echoes whose sweet duyt	そがたのしき務（つとめ）はただ
Was but to sing,	いとも妙（たえ）なる声をもて
In voices of surpassing beauty,	歌いたたえるのみなりき、
The wit and wisdom of their king.	そが王の才と智（ち）を。
But evil things, in robes of sorrow,	されど魔もの、悲愁（かなしみ）の衣（ころも）きて
Assailed the monarch's high estate ;	この王の高き領土（くに）を襲いぬ、
(Ah, let us mourn, for never morrow	（悲しきかな、彼が上に暁は
Shall dawn upon him, desolate  !)	ふたたび明くることあらじ、ああ！）
And, round about his home, the glory	かくて、かつては彼の住居（すまい）をめぐりて
That blushed and bloomed	輝き栄えし栄光も、
Is but a dim-remembered story	埋もれはてし遠き世の
Of the old time entombed.	おぼろなる昔語りとなりにけり。
And travellers now within that valley,	かくて今この渓谷を旅ゆく人々は
Through the red-litten windows, see	赤く輝く窓より見るなり、
Vast forms that move fantastically	調べみだれたる楽の音につれ
To a discordant melody ;	大いなる物影（ものかげ）の狂い動けるを。
While, like a rapid ghastly river,	また蒼白き扉くぐりて
Through the pale door,	魔の河の速き流れのごとく
A hideous throng rush out forever,	恐ろしき一群永遠（とわ）に走り出（い）で、
And laugh - but smile no more.	高笑いす、――されどもはや微笑（ほほえ）まず。
I well remember that suggestions arising from this ballad, led us into a train of thought wherein there became manifest an opinion of Usher's	この譚詩（バラッド）から生じたさまざまの暗示が私を一連の考えに導き、そのなかでアッシャーの一つの意見を明らかにすることができたことを、私はよく覚えている。
which I mention not so much on account of its novelty, (for other men * have thought thus,) as on account of the pertinacity with which he maintained it.	その意見をここに述べるのは、それが新奇なため（他の人々はそう考えている）よりも、彼が執拗（しつよう）にそれを固持したためである。
This opinion, in its general form, was that of the sentience of all vegetable things.	その意見というのは大体において、すべての植物が知覚力を有するということであった。
But, in his disordered fancy, the idea had assumed a more daring character, and trespassed, under certain conditions, upon the kingdom of inorganization.	しかし彼の混乱した空想のなかでこの考えはさらに大胆な性質のものとなり、ある条件のもとでは無機物界にまで及んでいた。
I lack words to express the full extent, or the earnest _abandon_ of his persuasion.	私は彼の信念の全部、あるいはその熱心な心酔を説明する言葉を持たない。
The belief, however, was connected (as I have previously hinted) with the gray stones of the home of his forefathers.	が、その信念は（前にもちょっと述べたように）、彼の先祖代々の家の灰色の石と関連しているのだった。
The conditions of the sentience had been here, he imagined, fulfilled in the method of collocation of these stones - in the order of their arrangement, as well as in that of the many _fungi_ which overspread them, and of the decayed trees which stood around - above all, in the long undisturbed endurance of this arrangement, and in its reduplication in the still waters of the tarn.	彼の想像によると、知覚力の諸条件はこの場合では、これらの石の配置の方法のなかに――石を蔽（おお）うている多くの菌や、あたりに立っている枯木などの配置とともに、石そのものの配列のなかに――とりわけ、この配列が長いあいだ乱されずにそのままつづいてきたということと、それが沼の静かな水面に影を落しているということとのなかに、備わっているのである。
Its evidence - the evidence of the sentience - was to be seen, he said, (and I here started as he spoke,) in the gradual yet certain condensation of an atmosphere of their own about the waters and the walls.	その証拠は――知覚力のあることの証拠は――彼の言うところでは（そしてそれを聞いたとき私はぎょっとしたが）、水や壁のあたりにそれらのもの独得の雰囲気（ふんいき）がだんだんに、しかし確実に凝縮していることのなかに認められる、というのであった。
The result was discoverable, he added, in that silent, yet importunate and terrible influence which for centuries had moulded the destinies of his family, and which made _him_ what I now saw him - what he was.	その結果は、幾世紀ものあいだに、彼の一家の運命を形成し、また［＃「また」に傍点］彼をいま私が見るような彼――つまり現在の彼のようにしてしまったあの無言ではあるが、しつこい恐ろしい影響となってあらわれているのだ、と彼はつけ加えた。
Such opinions need no comment,	このような意見はべつに注釈を必要としない。
and I will make none.	だから私はそれについてはなにも書かないことにする。
Our books - the books which, for years, had formed no small portion of the mental existence of the invalid - were, as might be supposed, in strict keeping with this character of phantasm.	私たちの読んだ書物――長年のあいだ、この病人の精神生活の大部分をなしていた書物――は、想像もされようが、この幻想の性質とぴったり合ったものであった。
We pored together over such works as the Ververt et Chartreuse of Gresset ;	二人は一緒にグレッセの『ヴェルヴェルとシャルトルーズ』、
the Belphegor of Machiavelli ;	マキアヴェエリの『ベルフェゴール』、
the Heaven and Hell of Swedenborg ;	スウェデンボルグの『天国と地獄』、
the Subterranean Voyage of Nicholas Klimm by Holberg ;	ホルベルヒの『ニコラス・クリムの地下の旅』、
the Chiromancy of Robert Flud, of Jean D'Indagine, and of De la Chambre ;	ロバート・フラッドや、ジャン・ダンダジネエや、ド・ラ・シャンブルの『手相学』、
the Journey into the Blue Distance of Tieck ;	ティークの『青き彼方（かなた）への旅』、
and the City of the Sun of Campanella.	カンパネエラの『太陽の都』というような著作を読みふけった。
One favorite volume was a small octavo edition of the _Directorium Inquisitorium_, by the Dominican Eymeric de Gironne;	愛読の一巻はドミニック派の僧エイメリック・ド・ジロンヌの "Directorium Inquisitorum" の小さな八折判（オクテーヴォ）であった。
His chief delight, however, was found in the perusal of an exceedingly rare and curious book in quarto Gothic - the manual of a forgotten church - the _Vigiliae Mortuorum secundum Chorum Ecclesiae Maguntinae_.	しかし彼のいちばんの喜びは、四折判（クオートー）ゴシック字体の非常な珍本――ある忘れられた教会の祈祷書（きとうしょ）――"Vigilioe Mortuorum secundum Chorum Ecclesioe Maguntinoe" を熟読することであった。
I could not help thinking of the wild ritual of this work, and of its probable influence upon the hypochondriac,	私はこの書物にしるしてある奇異な儀式や、それがこの憂鬱症患者に与えそうな影響などについて、考えないではいられなかった。
when, one evening, having informed me abruptly that the lady Madeline was no more, he stated his intention of preserving her corpse for a fortnight, (previously to its final interment,) in one of the numerous vaults within the main walls of the building.	するとある晩、とつぜん彼はマデリン嬢の死んでしまったことを告げてから、彼女の亡骸（なきがら）を二週間（最後の埋葬をするまで）この建物の礎壁のなかにたくさんある窖（あなぐら）の一つに納めておきたいという意向を述べた。
The worldly reason, however, assigned for this singular proceeding, was one which I did not feel at liberty to dispute.	しかし、この奇妙な処置についての実際的な理由は、私などが無遠慮に口出しするかぎりでなかった。
The brother had been led to his resolution (so he told me) by consideration of the unusual character of the malady of the deceased, of certain obtrusive and eager inquiries on the part of her medical men, and of the remote and exposed situation of the burial-ground of the family.	兄としてこのような決心をするようになったのは（彼が私に語ったところでは）、死者の病気の性質が普通のものではないことや、彼女の医師の側の差し出がましい熱心な詮索（せんさく）や、一家の埋葬地が遠い野ざらしの場所にあることなどを、考えたからであった。
I will not deny that when I called to mind the sinister countenance of the person whom I met upon the staircase, on the day of my arrival at the house, I had no desire to oppose what I regarded as at best but a harmless, and by no means an unnatural, precaution.	私がこの家に着いた日に、階段のところで出会った男の陰険な容貌（ようぼう）を思い出したとき、大して害のない、また決して不自然でもない用心と思われることにたいして、しいて反対する気がしなかった、ということは私も否定しはしない。
At the request of Usher, I personally aided him in the arrangements for the temporary entombment.	アッシャーの頼みで、私はこの仮埋葬の支度を手伝った。
The body having been encoffined, we two alone bore it to its rest.	遺骸（いがい）を棺に納めてから、私たちは二人きりでそれをその安置所へ運んで行った。
The vault in which we placed it (and which had been so long unopened that our torches, half smothered in its oppressive atmosphere, gave us little opportunity for investigation) was small, damp, and entirely without means of admission for light ;	それを置く窖（ずいぶん長いあいだあけずにあったので、その息づまるような空気のなかで、持っていた火把（たいまつ）はなかば燻（くすぶ）り、あたりを調べてみる機会はほとんどなかったが）は小さくて、湿っぽく、ぜんぜん光線の入るみちがなく、
lying, at great depth, immediately beneath that portion of the building in which was my own sleeping apartment.	この建物の私の寝室になっている部屋の真下の、ずっと深いところにあった。
It had been used, apparently, in remote feudal times, for the worst purposes of a donjon-keep, and, in later days, as a place of deposit for powder, or some other highly combustible substance, as a portion of its floor, and the whole interior of a long archway through which we reached it, were carefully sheathed with copper.	その床の一部分と、入って行くときに通った長い拱廊（きょうろう）の内面の全部とが、念入りに銅で蔽われているところをみると、それは明らかに遠い昔の封建時代には地下牢（ちかろう）というもっとも悪い目的に用いられ、のちには火薬またはその他なにか高度の可燃物の貯蔵所として使用されていたものであった。
The door, of massive iron, had been, also, similarly protected.	巨大な鉄製の扉も同じように銅張りになっていた。
Its immense weight caused an unusually sharp grating sound, as it moved upon its hinges.	その扉は非常に重いので、蝶番（ちょうつがい）のところをまわるときには、異様な鋭い軋（きし）り音をたてた。
Having deposited our mournful burden upon tressels within this region of horror, we partially turned aside the yet unscrewed lid of the coffin, and looked upon the face of the tenant.	この恐ろしい場所の架台の上に悲しい荷を置いてから、二人はまだ螺釘（ねじくぎ）をとめてない棺の蓋（ふた）を細目にあけて、なかなる人の顔をのぞいてみた。
A striking similitude between the brother and sister now first arrested my attention ;	兄と妹との驚くほど似ていることが、そのとき初めて私の注意をひいた。
and Usher, divining, perhaps, my thoughts, murmured out some few words from which I learned that the deceased and himself had been twins, and that sympathies of a scarcely intelligible nature had always existed between them.	するとアッシャーは私の心を悟ったらしく、妹と彼とは双生児で、二人のあいだには常にほとんど理解できないような性質の感応があった、というようなことを二言三言呟（つぶや）いた。
Our glances, however, rested not long upon the dead	しかし私たちの視線は長くは死者の上にとどまってはいなかった、
- for we could not regard her unawed.	――畏怖の念なしに彼女を見ていることはできなかったからである。
The disease which had thus entombed the lady in the maturity of youth, had left, as usual in all maladies of a strictly cataleptical character, the mockery of a faint blush upon the bosom and the face, and that suspiciously lingering smile upon the lip which is so terrible in death.	青春のさかりに彼女をこのように棺のなかへ入れてしまったその病気は、すべてのはっきりした類癇（るいかん）性の病の常として、胸と顔とにかすかな赤みのようなものを残し、死人には実に恐ろしいあの疑い深くためらっているような微笑を、唇に残していた。
We replaced and screwed down the lid, and, having secured the door of iron, made our way, with toil, into the scarcely less gloomy apartments of the upper portion of the house.	私たちは蓋をして螺釘をとめ、鉄の扉をしっかりしめてから、やっとの思いでこの家の上の方の、窖とあまり変らぬくらい陰気な部屋へたどりついた。
And now, some days of bitter grief having elapsed, an observable change came over the features of the mental disorder of my friend.	さて、痛ましい悲嘆の幾日かがすぎると、目立った変化が友の心の病気の徴候にあらわれてきた。
His ordinary manner had vanished.	彼のいつもの態度は消えうせてしまった。
His ordinary occupations were neglected or forgotten.	いつもの仕事もうちすてられ、または忘れ去られた。
He roamed from chamber to chamber with hurried, unequal, and objectless step.	彼は部屋から部屋へと、あわただしい、乱れた、あてのない足どりで歩きまわった。
The pallor of his countenance had assumed, if possible, a more ghastly hue	蒼白（あおじろ）い顔色はいっそうもの凄い色となった、
- but the luminousness of his eye had utterly gone out.	――が眼（め）の輝きはまるで消えてしまった。
The once occasional huskiness of his tone was heard no more;	かつておりおり聞いたしゃがれ声はもう聞かれなくなり、
and a tremulous quaver, as if of extreme terror, habitually characterized his utterance.	極度の恐怖からくるおどおどした震え声が、いつも彼の話しぶりの特徴となった。
There were times, indeed, when I thought his unceasingly agitated mind was laboring with some oppressive secret, to divulge which he struggled for the necessary courage.	実際私は、彼の絶えず乱れている心がなにか重苦しい秘密とたたかっていて、その秘密を言いだすに必要な勇気を出そうともがいているのではなかろうか、とときどき考えた。
At times, again, I was obliged to resolve all into the mere inexplicable vagaries of madness,	またときにはすべてをただ説明しがたい狂気の気まぐれと決めこんでしまわねばならないようなこともあった。
for I beheld him gazing upon vacancy for long hours, in an attitude of the profoundest attention, as if listening to some imaginary sound.	というのは、彼が聞えもせぬなにかの物音に耳をすましてでもいるように、非常に注意深い態度で長いあいだじっと空（くう）を見つめているのを見たからである。
It was no wonder that his condition terrified - that it infected me.	このような彼の様子が私を恐れさせ――私に感染したって怪しむことはない。
I felt creeping upon me, by slow yet certain degrees, the wild influences of his own fantastic yet impressive superstitions.	私は彼自身の幻想的な、しかも力強い迷信の奇妙な影響が、少しずつではあるが確実に、自分にしのびよってくるのを感じた。
It was, especially, upon retiring to bed late in the night of the seventh or eighth day after the placing of the lady Madeline within the donjon, that I experienced the full power of such feelings.	とくに、そのような感情の力を十分に経験したのは、マデリン嬢を地下牢のなかに納めてから七日目か八日目の夜遅く床についたときのことであった。
Sleep came not near my couch	眠りは私の枕辺（まくらべ）にもやって来なかった、
- while the hours waned and waned away.	――そして時は刻々に過ぎてゆく。
I struggled to reason off the nervousness which had dominion over me.	私は全身を支配している神経過敏を理性で払いのけようと努めた。
I endeavored to believe that much, if not all of what I felt, was due to the bewildering influence of the gloomy furniture of the room - of the dark and tattered draperies, which, tortured into motion by the breath of a rising tempest, swayed fitfully to and fro upon the walls, and rustled uneasily about the decorations of the bed.	自分の感じていることのまあ全部ではないとしてもその大部分は、この部屋の陰気な家具――吹きつのってくる嵐（あらし）の息吹（いぶき）に吹きあおられて、ときどき壁の上をゆらゆらと揺れ、寝台の飾りのあたりで不安そうにさらさらと音をたてている、黒ずんだぼろぼろの壁掛け――の人を迷わすような影響によるものだと無理に信じようとした。
But my efforts were fruitless.	しかしその努力も無駄（むだ）だった。
An irrepressible tremor gradually pervaded my frame ;	抑えがたい戦慄（せんりつ）がだんだん体じゅうにひろがり、
and, at length, there sat upon my very heart an incubus of utterly causeless alarm.	とうとう心臓の上にまったくわけのわからない恐怖の夢魔が坐（すわ）った。
Shaking this off with a gasp and a struggle, I uplifted myself upon the pillows, and, peering earnestly within the intense darkness of the chamber, harkened	あえぎもがきながらこれを振いおとして、枕の上に身を起し、部屋の真っ暗闇（くらやみ）のなかを熱心にじっと見つめながら、耳をそばだてると
- I know not why, except that an instinctive spirit prompted me	――なぜそうしたのか、本能の力がそうさせたというよりほかに理由はわからないが
- to certain low and indefinite sounds which came, through the pauses of the storm, at long intervals, I knew not whence.	――嵐の絶え間に、長いあいだをおいて、どことも知れぬところから、低い、はっきりしない物音が聞えてきた。
Overpowered by an intense sentiment of horror, unaccountable yet unendurable, I threw on my clothes with haste (for I felt that I should sleep no more during the night), and endeavored to arouse myself from the pitiable condition into which I had fallen, by pacing rapidly to and fro through the apartment.	わけのわからぬ、しかも堪えがたい、はげしい恐怖の情に圧倒されて、私は急いで着物をひっかけ（もう夜じゅう寝られないという気がしたから）、部屋じゅうをあちこちと足早に歩きまわって、自分の陥っているこの哀れな状態からのがれようと努めた。
I had taken but few turns in this manner, when a light step on an adjoining staircase arrested my attention.	こんなふうにして三、四回も歩きまわらないうちに、かたわらの階段をのぼってくる軽い足音が私の注意をひいた。
I presently recognised it as that of Usher.	私にはすぐそれがアッシャーの足音であることがわかった。
In an instant afterward he rapped, with a gentle touch, at my door, and entered, bearing a lamp.	間もなく彼は静かに扉を叩（たた）き、ランプを手にして入ってきた。
His countenance was, as usual, cadaverously wan	その顔はいつものとおり屍（しかばね）のように蒼ざめていた、
- but, moreover, there was a species of mad hilarity in his eyes	――がそのうえに、眼には狂気じみた歓喜とでもいったようなものがあり
- an evidently restrained _hysteria_ in his whole demeanor.	――挙動全体には明らかに病的興奮を抑えているようなところがあった。
His air appalled me	その様子は私をぎょっとさせた、
- but anything was preferable to the solitude which I had so long endured, and I even welcomed his presence as a relief.	――が、とにかくどんなことでも、いままで長く辛抱してきた孤独よりはましなので、私は彼の来たことを救いとして歓（よろこ）び迎えさえした。
"And you have not seen it ?"	「で、君はあれを見なかったのだね？」
he said abruptly, after having stared about him for some moments in silence	しばらく無言のままあたりをじっと見まわしたのち、彼はふいにこう言い出した。
- "you have not then seen it ?	――「じゃあ、あれを見なかったんだね？
- but, stay !	――だが待ちたまえ！
you shall."	見せてあげよう」
Thus speaking, and having carefully shaded his lamp, he hurried to one of the casements, and threw it freely open to the storm.	そう言って、注意深くランプに笠（かさ）をかけてから、一つの窓のところに駆けより、それを嵐に向ってさっとあけはなった。
The impetuous fury of the entering gust nearly lifted us from our feet.	猛（たけ）り狂って吹きこむ烈風は、ほとんど私たちを床から吹き上げんばかりであった。
It was, indeed, a tempestuous yet sternly beautiful night, and one wildly singular in its terror and its beauty.	実に大荒れの、しかし厳かにも美しい夜、また、そのもの凄（すご）さと美しさとではたとえようもない不思議な夜であった。
A whirlwind had apparently collected its force in our vicinity ;	まさしく旋風がこのあたりにその勢いを集中しているらしく、
for there were frequent and violent alterations in the direction of the wind ;	風向きはしげしげと、また猛烈に変り、
and the exceeding density of the clouds (which hung so low as to press upon the turrets of the house) did not prevent our perceiving the life-like velocity with which they flew careering from all points against each other, without passing away into the distance.	非常に濃く立ちこめている雲（それはこの家の小塔を圧するばかりに低く垂れていた）も、遠くへ飛び去ることなく、四方八方から互いにぶつかりあって疾走しながら飛んでくるその生命（いのち）あるもののような速さを、認めることを妨げはしなかった。
I say that even their exceeding density did not prevent our perceiving this	いかにも、非常に濃く立ちこめている雲も、こういう有様を認めることを妨げはしなかった、
- yet we had no glimpse of the moon or stars	――が月や星はちらりとも見えなかった、
- nor was there any flashing forth of the lightning.	――また稲妻のひらめきもなかった。
But the under surfaces of the huge masses of agitated vapor, as well as all terrestrial objects immediately around us, were glowing in the unnatural light of a faintly luminous and distinctly visible gaseous exhalation which hung about and enshrouded the mansion.	しかし、我々のすぐ周囲のあらゆる地上の物象だけでなく、騒ぎたっている雲の巨大な塊の下面までが、屋敷のまわりに垂れこめてそれを包んでいる、ほのかに明るい、はっきりと見えるガスの蒸発気の奇怪な光のなかに輝いているのであった。
"You must not	「見ちゃいけない
- you shall not behold this !"	――これは君には見させない！」
said I, shudderingly, to Usher, as I led him, with a gentle violence, from the window to a seat.	と私は、アッシャーをやさしくまた強く窓ぎわから椅子（いす）の方へ連れもどるときに、身ぶるいしながら言った。
"These appearances, which bewilder you, are merely electrical phenomena not uncommon	「君を迷わせるこの有様は、珍しくもないただの電気の現象なのだ。
- or it may be that they have their ghastly origin in the rank miasma of the tarn.	――それとも沼のひどい毒気が、このもの凄い有様の原因になっているのかもしれない。
Let us close this casement ;	この窓をしめようじゃないか。
- the air is chilling and dangerous to your frame.	空気は冷たくて、君の体には毒だ。
Here is one of your favorite romances.	ここに君の好きな物語が一冊ある。
I will read, and you shall listen ;	読んで聞かせてあげよう。
- and so we will pass away this terrible night together."	――そして一緒にこの恐ろしい夜を明かすことにしよう」
The antique volume which I had taken up was the "Mad Trist" of Sir Launcelot Canning ;	私の取りあげた古い書物はラーンスロット・キャニング卿（きょう）の『狂える会合』であったが、
but I had called it a favorite of Usher's more in sad jest than in earnest ;	それをアッシャーの好きな書物と言ったのは、真面目（まじめ）でというよりも悲しい冗談で言ったのだ。
for, in truth, there is little in its uncouth and unimaginative prolixity which could have had interest for the lofty and spiritual ideality of my friend.	なぜかといえば、この書物のまずい、想像力にとぼしい冗漫さのなかには、たしかに、友の高い知的の想像力にとって興味を持つことのできるものはほとんどなかったからである。
It was, however, the only book immediately at hand ;	しかし、それはすぐ手近にある唯一（ゆいいつ）の本であったし、
and I indulged a vague hope that the excitement which now agitated the hypochondriac, might find relief (for the history of mental disorder is full of similar anomalies) even in the extremeness of the folly which I should read.	また私は、今この憂鬱（ゆううつ）症患者の心をかき乱している興奮が、これから読もうとする極端にばかげた話のなかにさえ慰安を見出（みいだ）すかもしれない（精神錯乱の記録はこの種の変則に満ちているのだから）、というかすかな希望をいだいたのであった。
Could I have judged, indeed, by the wild overstrained air of vivacity with which he harkened, or apparently harkened, to the words of the tale, I might well have congratulated myself upon the success of my design.	実際、彼が物語の文句に耳を傾けている、あるいは見たところいかにも耳を傾けているらしい、異常に緊張した生き生きした様子で判断することができるのなら、私は自分の計画のうまく当ったことを喜んでもいいわけであった。
I had arrived at that well-known portion of the story where Ethelred, the hero of the Trist, having sought in vain for peaceable admission into the dwelling of the hermit, proceeds to make good an entrance by force.	私は、この本の主人公エセルレッドが隠者の住居に穏やかに入ろうとして入れないので、力ずくで入ろうとする、あの有名なところへ読みかかった。
Here, it will be remembered, the words of the narrative run thus:	ここでは、人の知るとおり、物語の文句は次のようになっている。――
"And Ethelred, who was by nature of a doughty heart, and who was now mighty withal, on account of the powerfulness of the wine which he had drunken, waited no longer to hold parley with the hermit, who, in sooth, was of an obstinate and maliceful turn, but, feeling the rain upon his shoulders, and fearing the rising of the tempest, uplifted his mace outright, and, with blows, made quickly room in the plankings of the door for his gauntleted hand ;	「かくて生れつき心猛（たけ）くそのうえに飲みたる酒の効き目にていっそう力も強きエセルレッドは、まこと頑（かたく）なにして邪（よこしま）なる隠者との談判を待ちかね、おりから肩に雨の降りかかるを覚えて、嵐の来らんことを恐れ、たちまちその鎚矛（つちぼこ）を振り上げていくたびか打ち叩き、間もなく扉の板張りに、籠手（こて）はめたる手の入るほどの穴をぞ穿（うが）ちける。
and now pulling therewith sturdily, he so cracked, and ripped, and tore all asunder, that the noise of the dry and hollow-sounding wood alarummed and reverberated throughout the forest."	かくてそこより力をこめて引きたれば、扉は破れ、割れ、微塵（みじん）に砕けて、乾きたる空洞（うつろ）に響く音は、森もとどろにこだませり」
At the termination of this sentence I started, and for a moment, paused ;	この文章の終りで私はぎょっとして、しばらくのあいだ言葉を止めた。
for it appeared to me (although I at once concluded that my excited fancy had deceived me) - it appeared to me that, from some very remote portion of the mansion, there came, indistinctly, to my ears, what might have been, in its exact similarity of character, the echo (but a stifled and dull one certainly) of the very cracking and ripping sound which Sir Launcelot had so particularly described.	というわけは、（すぐ自分の興奮した空想にだまされたのだと思いかえしはしたが）屋敷のどこかずっと遠いところから、ラーンスロット卿が詳しく書きしるしたあの破れわれる音の反響（抑えつけられたような鈍いものではあったが）にそっくりな物音が、かすかに私の耳に聞えてきたような気がしたからである。
It was, beyond doubt, the coincidence alone which had arrested my attention ;	もちろん、ただその偶然の一致ということだけが私の注意をひいたのであった。
for, amid the rattling of the sashes of the casements, and the ordinary commingled noises of the still increasing storm, the sound, in itself, had nothing, surely, which should have interested or disturbed me.	窓枠（まどわく）のがたがた鳴る音や、なおも吹きつのる嵐のいつもの雑然たる騒がしい音のなかでは、そんな物音はただそれだけでは、もとより私の注意をひいたり、私をおびえさせたりするはずがなかったからである。
I continued the story:	私は物語を読みつづけた。――
