The Stock-Broker's Clerk	株式仲買店々員
The names of the occupants were painted at the bottom on the wall, but there was no such name as the Franco-Midland Hardware Company, Limited.	――ところが、居住者の名前はそこの壁の下のほうに書いてありましたが、フランス中部鉄器株式会社なんて云うそんな名前はないのです。
I stood for a few minutes with my heart in my boots,	――私はしばらくの間、何か不安に駈られながらそこに立っておりました。
wondering whether the whole thing was an elaborate hoax or not,	これは何か念入りないたずらなんじゃなかろうかなどと考えながら。
when up came a man and addressed me.	――するとそこへ一人の男がやって来て私に声をかけました。
He was very like the chap I had seen the night before, the same figure and voice,	その男は前の晩私が会った奴とそっくりでして、顔形も声も同じなんです。
but he was clean-shaven and his hair was lighter.	ただその男はきれいに頭髪を刈って髪の毛を光らせていました。
```Are you Mr. Hall Pycroft?'	「あなたはホール・ピイクロフトさんですか？」
he asked.	その男は訊ねました。
'' `Yes,'	「ええ、そうです」
said I.	私は答えました。
```Oh!	「ああ、そうですか。
I was expecting you,	私はあなたをお待ちしてたんです。
but you are a trifle before your time.	けれどあなたのほうがお約束の時間より少し早くいらっしったんです。
I had a note from my brother this morning in which he sang your praises very loudly.'	――けさは、私の兄弟から手紙を貰らいましてね、兄弟はその手紙の中で大変あなたのことをほめておりましたよ」
```I was just looking for the offices when you came.'	「あなたがいらしった時、ちょうど、事務所をさがしてたんです」
```We have not got our name up yet,	「まだ名前を出しとかないもので。
for we only secured these temporary premises last week.	先週からここへ仮事務所をおくことにきめたばかりだものですからね。
Come up with me,	――一しょにおいでになって下さい。
and we will talk the matter over.'	お話致しましょう」
``I followed him to the top of a very lofty stair,	私は彼について、ずいぶん急な階段の頂上までのぼりました。
and there, right under the slates, were a couple of empty, dusty little rooms, uncarpeted and uncurtained, into which he led me.	と、その屋根裏に、空っぽの誰もいないほこりだらけな、敷物もしいてなければカーテンもかけてない小さいな二つの部屋があって、その中へ私は案内されました。
I had thought of a great office	――正直な所、私は大きな事務所を予想して来たんです。
with shining tables and rows of clerks, such as I was used to,	それまでと同じような、幾つものチャカチャカしたテエブルや大勢の事務員がズラリと並んでるようなそう云う大きな事務所を。
and I daresay I stared rather straight at the two deal chairs and one little table,	――包まず申上げますが、私はその二つの安い椅子と一つの小さなテエブルとをしげしげと眺めました。
which with a ledger and a waste-paper basket, made up the whole furniture.	その他に元帳が一冊と屑籠が一つと、それだけが全部の家具なんですからねえ。
```Don't be disheartened, Mr. Pycroft,'	「がっかりなすっちゃいけませんよ、ピイクロフトさん」
said my new acquaintance, seeing the length of my face.	と、私のこの新しい知り合いは、私の顔の上から下まで見下ろしながら云うのでした。
`Rome was not built in a day,	「ローマは一日で築き上げられませんよ。
and we have lots of money at our backs, though we don't cut much dash yet in offices.	――事務所は貧弱でも、私たちは背後にたくさんお金は持ってますから、
Pray sit down,	――まあ、おかけなさい。
and let me have your letter.'	そして持ってらした手紙を見せて下さい」
``I gave it to him,	私は彼に手紙をやりました。
and he read it over very carefully.	彼はそれを大変叮嚀（ていねい）に読みました。
```You seem to have made a vast impression upon my brother Arthur,'	「あなたはよほど深く私の兄弟を感心させたと見えますな」
said he,	彼は申しました。
`and I know that he is a pretty shrewd judge.	「だが、私の兄弟は本当に鋭い批判家です。
He swears by London, you know;	――私の兄弟はあなたとロンドンでお約束をしたんで、
and I by Birmingham;	私はバーミングハムでするわけなんですが、
but this time I shall follow his advice.	しかし今度は、彼の云う通りに従いましょう。
Pray consider yourself definitely engaged.'	――では、どうぞそのおつもりで、お願いします」
```What are my duties?'	「私の仕事はどんなことなんでしょう？」
I asked.	私はききました。
'' `You will eventually manage the great depot in Paris, which will pour a flood of English crockery into the shops of a hundred and thirty-four agents in France.	「つまり、フランスにある百三十四軒の代理店へ、英国製の器具を送り出す所のパリの本店を支配して下さればいいんですよ。
The purchase will be completed in a week, and meanwhile you will remain in Birmingham and make yourself useful.'	取引きの約束は一週間のうちにきまりますから、その間あなたはバーミングハムにいて下すって、あなたの仕事をしていて下さればいいんです」
```How?'	「と云いますと、どんなことをしたら？」
'' For answer, he took a big red book out of a drawer.	彼は答えの代りに、曳出（ひきだ）しから大きな赤い本を出して来ました。
```This is a directory of Paris,'	「これはパリの人名住所録ですが」
said he,	と彼は云いました。
`with the trades after the names of the people.	「名前の下に職業が書き込んであります。
I want you to take it home with you and to mark off all the hardware-sellers, with their addresses.	これをお宅へお持ちになって、この中にある鉄器商を全部住所と共に書き抜いていただきたいんです。
It would be of the greatest use to me to have them.'	そうして下されば、私たちに非常に役に立つんです」
```Surely,	「かしこまりました。
there are classified lists?'	この中に分類目録がありますね」
I suggested.	私は念のためにきいてみました。
'' `Not reliable ones.	「確実なものじゃないんです。
Their system is different from ours.	――この編纂方法は私たちのとは違ってます。
Stick at it,	――それをやっていただきたいんです。
and let me have the lists by Monday, at twelve.	そして月曜日の十二時までに目録を私に下さいませんか。
Good-day, Mr. Pycroft.	――ではさよなら、ピイクロフトさん。
If you continue to show zeal and intelligence you will find the company a good master.'	あなたが熱心にお骨折り下すって、会社の有為な主脳部になっていただきたいんです」
``I went back to the hotel with the big book under my arm, and with very conflicting feelings in my breast.	私はその大きな本を小側（こわき）に抱え、胸の中に矛盾した困惑した感情を持ちながらホテルに帰って来たのです。
On the one hand, I was definitely engaged and had a hundred pounds in my pocket;	一方では確実に仕事をする約束をして、百磅（ポンド）をポケットの中に持っていながら、
on the other, the look of the offices, the absence of name on the wall, and other of the points which would strike a business man had left a bad impression as to the position of my employers.	一方では、事務所の外見、壁の上に会社の名前が出ていなかったこと、それからその他事務家の注意しないではいられない部分などが、私のその雇主の位置に対して悪印象を残しているのでした。
However, come what might, I had my money,	が、とは云え、よしどんなことが起きて来ようとも、私はお金を貰っているのです。
so I settled down to my task.	そしてお見目得（みめえ）もすんでしまったのです。
All Sunday I was kept hard at work,	――私は日曜一日一生懸命に仕事を致しました。
and yet by Monday I had only got as far as H.	けれども月曜日までに、たったＨの部までやっただけでした。
I went round to my employer, found him in the same dismantled kind of room, and was told to keep at it until Wednesday, and then come again.	で、私は雇主の所へいって、彼は同じ何の装飾もないガランとした例の部屋におりましたが、水曜日まで待ってもらうように話して帰って来ました。
On Wednesday it was still unfinished, so I hammered away until Friday	ところが水曜日になってもまだ終らなかったので、金曜日までのばしてしまったのです。
-- that is, yesterday.	――それが、昨日のことです。
Then I brought it round to Mr. Harry Pinner.	そこで私はそれをハリー・ピナー氏の所へ持って行きました。
```Thank you very much,'	「どうも本当に有難う」
said he,	と彼は申しました。
`I fear that I underrated the difficulty of the task.	「思ったより仕事がむずかしかったかと恐れてた所です。
This list will be of very material assistance to me.'	この表は実によい私の助手になってくれますよ」
```It took some time,'	「だいぶひまがかかって……」
said I.	私は申しました。
'' `And now,'	「では今度は……」
said he,	彼は云いました。
`I want you to make a list of the furniture shops,	「家具商の表をつくっていただきたいんです。
for they all sell crockery.'	家具商もみんな鉄具類を売りますからね」
```Very good.'	「よろしゅうございます」
'' `And you can come up to-morrow evening at seven	「それから明日の夕方七時にいらしって下さい。
and let me know how you are getting on.	そしてどのくらい仕事をなすったか私に見せていただきとうございます。
Don't overwork yourself.	――労働過度にならないように。
A couple of hours at Day's Music Hall in the evening would do you no harm after your labours.'	夕方二時間ばかりミュジック・ホールへいらっしゃるのは、一日働いたあとに害にはなりませんよ」
He laughed as he spoke,	彼はそう云って笑いました。
and I saw with a thrill that his second tooth upon the left-hand side had been very badly stuffed with gold. ``	その時私は、彼の左側のほうの、金で不体裁に詰めてある二番目の歯を見てギクッとしました」
Sherlock Holmes rubbed his hands with delight,	シャーロック・ホームズは喜んで彼の手をこすった。
and I stared with astonishment at our client.	私は喫驚（びっくり）して私達のお客を見詰めた。
``You may well look surprised, Dr. Watson, but it is this way,''	「ワトソンさん、あなたは大変お驚きになったようですが、それはこう云うわけなんです」
said he:	私たちのお客は話し続けた。
``When I was speaking to the other chap in London, at the time that he laughed at my not going to Mawson's, I happened to notice that his tooth was stuffed in this very identical fashion.	「今、ロンドンで会ったもう一人の男のことを申上げましたが、その時、私がモウソンの店へ行くことはやめようと云いますと、その男は喜んで笑ったのですが、その笑った時に私はこれとそっくりのやり方で詰められている彼の歯を見たんです。
The glint of the gold in each case caught my eye, you see.	あなたもお分かりになるように、その時も今度の時も、金の光りが私の眼を捕えたのです。
When I put that with the voice and figure being the same, and only those things altered which might be changed by a razor or a wig, I could not doubt that it was the same man.	――そこで私は以上のことの上に、声と様子とが同じであると云うことと、そして剃刀（かみそり）と仮髪（かつら）とさえあれば人間の顔貌（がんぼう）は変えられると云うことを考え合せると、私はその二人が同じ人間であると疑わざるを得なかったのです。
Of course you expect two brothers to be alike,	無論あなたは兄弟は似ているとおっしゃるでしょう。
but not that they should have the same tooth stuffed in the same way.	しかし同じ歯を同じようなやり方でうめるわけがないではありませんか。
He bowed me out,	――彼は私を送り出しました。
and I found myself in the street, hardly knowing whether I was on my head or my heels.	そして私は通りへ出ましたが、無我夢中で、足で歩いてるのか頭で歩いてるのか分かりませんでした。
Back I went to my hotel, put my head in a basin of cold water, and tried to think it out.	私はホテルへ帰りつくと、冷たい水で頭をひやして、そのことを考えてみました。
Why had he sent me from London to Birmingham?	――なぜ彼はロンドンからバーミングハムへ私を寄越したんだろう
Why had he got there before me?	……またなぜ彼は私に近寄って来たのだろう。
And why had he written a letter from himself to himself?	そして何の必要があって彼は、自分自身から自分自身へあてた手紙などを私に持たせてよこしたのだろう？
It was altogether too much for me, and I could make no sense of it.	――これらのことは私にはあまりに問題が多すぎて、判断が出来ないのです。
And then suddenly it struck me that what was dark to me might be very light to Mr. Sherlock Holmes.	その時ふと私は、私には何が何だか分からないことも、シャーロック・ホームズさんには分かるだろうと云う事に考えついたんです。
I had just time to get up to town by the night train to see him this morning, and to bring you both back with me to Birmingham.''	で、私はすぐさま夜中（やちゅう）に乗り込んで、今朝お目にかかって、そのままバーミングハムへ私と一しょに来ていただこうと思ってやって来たわけなのでございます」
There was a pause after the stock-broker's clerk had concluded his surprising experience.	株式仲買店事務員は彼の不思議な経験を話し終ってから、ちょっとだまった。
Then Sherlock Holmes cocked his eye at me, leaning back on the cushions with a pleased and yet critical face, like a connoisseur who has just taken his first sip of a comet vintage.	と、シャーロック・ホームズは、ちょうどお酒の鑑賞家が、素晴らしい葡萄酒の最初の一滴を一吸い吸い込んだ時のような、嬉しそうなそれでいて何かを批判しているような顔つきをして、クッションに背をもたせながら、私のほうへ斜に視線を投げかけた。
``Rather fine,	「面白い問題じゃないか。
Watson, is it not?''	ねえ、ワトソン」
said he.	と、ホームズは云った。
``There are points in it	「これには僕を喜ばせる点があるよ。
which please me.	君も賛成するだろう。
I think that you will agree with me that an interview with Mr. Arthur Harry Pinner in the temporary offices of the Franco-Midland Hardware Company, Limited, would be a rather interesting experience for both of us.''	二人でアーサー・ハリー・ピナー氏に、そのフランス中部鉄器株式会社の仮事務所で会見することは、むしろ我々に興味のある経験だと云うことに」
``But how can we do it?''	「しかしどうしたら会えるだろう？」
I asked.	私はきいた。
``Oh, easily enough,''	「ああそりアごくやさしいことですよ」
said Hall Pycroft cheerily.	と、ホール・ピイクロフトは快活に云った。
``You are two friends of mine who are in want of a billet, and what could be more natural than that I should bring you both round to the managing director?''	「あなた二人は職をさがしている私の友達で、何かに使ってもらおうと思って専務取締役に引き合せるためにつれて来た、と云うこれより自然な方法はないでしょう？」
``Quite so, of course,''	「もちろん、そうだ！」
said Holmes.	ホームズは云った。
``I should like to have a look at the gentleman and see if I can make anything of his little game.	「私はその男に会って、私が何かその男のやってる小さな計画（けいが）についてしてやることが出来るように見せかけなくちゃならないね。
What qualities have you, my friend, which would make your services so valuable?	――ところで、君はどんなことをするかね、最も有効に働くには？
Or is it possible that -- ''	それとも出来れば……」
He began biting his nails	彼は爪をかみ初めた。
and staring blankly out of the window,	そして窓から外を一心に眺め初めた。
and we hardly drew another word from him until we were in New Street.	そうして私たちはそのまま、私たちが新開通りへつくまで一言も彼から言葉を引き出すことは出来なかった。
×　　　　×　　　　×　　　　×　　　　× At seven o'clock that evening we were walking, the three of us, down Corporation Street to the company's offices.	その日の夕方七時、私たち三人は歩いて、コーポレーション通りを会社の事務所のあるほうへ下っていった。
``It is no use our being at all before our time,''	「時間が来るまでは私たちは用なしのからだですよ」
said our client.	と私たちの依頼人は云った。
``He only comes there to see me, apparently,	「明（あきら）かに、彼は私に合うだけにあそこへ来るんです。
for the place is deserted up to the very hour he names.''	なぜって、時間が来るまでは、事務所はガラ空きになってるって、彼が言明してますもの」
``That is suggestive,''	「何か曰くがありそうだな」
remarked Holmes.	ホームズは云った。
``By Jove, I told you so!''	「確かにそうなんですよ。
cried the clerk.	――ほら、あそこへやって来ました。」
``That's he walking ahead of us there.''	と、その事務員は叫んだ。
He pointed to a smallish, dark, well-dressed man who was bustling along the other side of the road.	彼は道路の反対側をいそぎ足で歩いている、小柄なブロンドのきちんとした服装をしている男を指さした。
As we watched him he looked across at a boy who was bawling out the latest edition of the evening paper, and, running over among the cabs and busses, he bought one from him.	私たちが彼に注意している時、彼は馬車やバスの間から飛び出して来た。
Then, clutching it in his hand, he vanished through a doorway.	そしてそれを手に掴（にぎ）りながら入口から中へ消えてしまった。
``There he goes!''	「あそこへいった」
cried Hall Pycroft.	ホール・ピイクロフトは叫んだ。
``These are the company's offices into which he has gone.	「彼が這入ってった所に事務所があるんです。
Come with me,	私と一しょにお出で下さい。
and I'll fix it up as easily as possible.''	出来るだけ無雑作にやっちまいましょう」
Following his lead, we ascended five stories,	私たちは彼について五階まで登った。
until we found ourselves outside a half-opened door,	すると私たちは入口の戸が半分開きかかっている部屋の前に出た。
at which our client tapped.	私たちの依頼人はそこでノックした。
A voice within bade us enter,	「お這入り下さい」
and we entered a bare, unfurnished room such as Hall Pycroft had described.	そこで私たちは、ホール・ピイクロフトが話した通りな、飾りつけのしてない丸裸の部屋の中に這入っていった。
At the single table sat the man whom we had seen in the street, with his evening paper spread out in front of him,	たった一つしかない机の前に、私たちが通りで見た男が、自分の前に夕刊をひろげたまま坐っていた。
and as he looked up at us it seemed to me that I had never looked upon a face which bore such marks of grief, and of something beyond grief -- of a horror such as comes to few men in a lifetime.	私は、その男が私たちのほうを振りむいた時、そんなに悲しみの跡のある、と云うより悲しみ以上の何ものかの跡、
His brow glistened with perspiration, his cheeks were of the dull, dead white of a fish's belly, and his eyes were wild and staring.	彼の顔は汗で輝き、頬は魚の腹のようないやな白い色をし、そして彼の両眼は野獣的で人をジロジロ眺めていた。
He looked at his clerk as though he failed to recognize him,	彼は彼の事務員を、誰だか分からないかのような顔をして見詰めた。
and I could see by the astonishment depicted upon our conductor's face that this was by no means the usual appearance of his employer.	私は私たちの指揮者の顔に浮んだ驚きを見て、それは決してその男の平常の表情ではないことが分かった。
``You look ill, Mr. Pinner!''	「どこかお悪そうですね、ピナーさん」
he exclaimed.	と、私たちの事務員は叫んだ。
``Yes, I am not very well,''	「ええ、あまりよくはありません」
answered the other, making obvious efforts to pull himself together and licking his dry lips before he spoke.	と、その男は彼のからだを動かすのにいかにも大儀そうにしながら、何かものを云う前にはかわいた唇をなめずりながら、答えた。
``Who are these gentlemen whom you have brought with you?''	「あなたが連れて来たその方たちはどなたですか？」
``One is Mr. Harris, of Bermondsey, and the other is Mr. Price, of this town,''	「一人はハリス君と云ってバーモンドセイのもので、もう一人のほうはプライス君と云うこの町のものです」
said our clerk glibly.	私たちの事務員はすらすらと答えた。
``They are friends of mine and gentlemen of experience, but they have been out of a place for some little time,	「みんな私の友人で、経験もある者たちなんですが、しばらく失業してるんです。
and they hoped that perhaps you might find an opening for them in the company's employment.''	そんなわけで、もしかしたらあなたに、会社の空席へ雇っていただけはしないだろうか、と二人は希望してるわけなんです」
``Very possibly! very possibly!''	「幾らでも出来るとも！」
cried Mr. Pinner with a ghastly smile.	と、ピナー氏は気味悪い笑いを浮べて叫んだ。
``Yes,	「よござんす。
I have no doubt that we shall be able to do something for you.	確かに、何かあなたがたのためにお計らい出来ると思います。
What is your particular line, Mr. Harris?''	――ハリスさん、あなたの御専問はなんです？」
``I am an accountant,''	「私は会計師でございます」
said Holmes.	ホームズは云った。
``Ah, yes,	「ああ、なるほど。
we shall want something of the sort.	私たちはそんな方も何か入要でしょう。
And you.	それからあなた。
Mr. Price?''	プライスさんは？」
``A clerk,''	「事務員です」
said I.	私は答えた。
``I have every hope that the company may accommodate you.	「私はやがて、会社があなたがたのお世話が出来るようになるだろうと思っております。
I will let you know about it as soon as we come to any conclusion.	で、何か私たちが決定しましたらすぐ、あなたがたの所へお知らせ致しましょう。
And now I beg that you will go.	ですから、ただいまの所はお引取り願いたいと思います。
For God's sake leave me to myself!''	どうか、私を一人きりにさせて下さい」
These last words were shot out of him, as though the constraint which he was evidently setting upon himself had suddenly and utterly burst asunder.	この最後の言葉は、まるで彼の上にのしかかっていた圧迫を、急に全くはねのけたかのように、激しい勢いで彼の口からとび出した。
Holmes and I glanced at each other,	ホームズと私とはお互いに顔を見合った。
and Hall Pycroft took a step towards the table.	と、ホール・ピイクロフトは一歩テエブルのほうへ近寄っていった。
``You forget, Mr. Pinner,	「ピナーさん、あなた、お忘れになっては。
that I am here by appointment to receive some directions from you,''	――御命令で、何か御指図をうけたまわりに参ったのですが」
said he.	彼は云った。
``Certainly, Mr. Pycroft, certainly,''	「大丈夫だよ、ピイクロフト君、大丈夫だよ」
the other resumed in a calmer tone.	おだやかな口調で答えた。
``You may wait here a moment	「ちょっとここで待ってくれたまえ。
and there is no reason why your friends should not wait with you.	別になぜってことはないけれど、あなたのお友達があなたを待ってると云うわけにも行かないでしょうから。
I will be entirely at your service in three minutes,	三分間であなたにお願いすることをまとめましょう。
if I might trespass upon your patience so far.''	それだけの間、御迷惑でも御辛抱していて下されば……」
He rose with a very courteous air,	彼は叮嚀な様子をして立ち上った。
and, bowing to us, he passed out through a door at the farther end of the room, which he closed behind him.	そして私たちに挨拶しながら、部屋の向うの端にある出入口から出て、あとをしめていってしまった。
``What now?''	「どうしたって云うんです？」
whispered Holmes.	ホームズは小声で云った。
``Is he giving us the slip?''	「気づかれて逃げられたかな？」
``Impossible,''	「逃げられませんよ」
answered Pycroft.	ピイクロフトは答えた。
``Why so?''	「どうして？」
``That door leads into an inner room.''	「あのドアは、中の部屋へ行く口なんです」
``There is no exit?''	「そこに出口はないの？」
``None.''	「ありません」
``Is it furnished?''	「その部屋は飾つけがしてありますか？」
``It was empty yesterday.''	「昨日はからっぽでした」
``Then what on earth can he be doing?	「そうとすれば、一体、何をすることが出来るだろう？
There is something which I don't understand in this matter.	どうも私に了解出来ない何ものかがある。
If ever a man was three parts mad with terror, that man's name is Pinner.	――もし恐怖の余り気を変にしたものがあったとしたら、それはピナー自身だ。
What can have put the shivers on him?''	何が彼奴（きゃつ）をこわがらせたんだろうね？」
``He suspects that we are detectives,''	「僕たちが探偵だと云うことに感づいたんだよ」
I suggested.	私は自分の不安を云ってみた。
``That's it,''	「そうです」
cried Pycroft.	ピイクロフトは云った。
Holmes shook his head.	が、ホームズは首を横に振って
``He did not turn pale.	「あいつは蒼くはなってなかったよ。
He was pale when we entered the room,''	あいつは私たちが這入って来た時、既に蒼い顔をしてた。
``It is just possible that -- ''	考えられることは――」
His words were interrupted by a sharp rat-tat from the direction of the inner door.	ホームズの言葉は、中の部屋のほうから来る、鋭いコツコツと云う音でさまたげられた。
``What the deuce is he knocking at his own door for?''	「何だってあいつは自分の部屋をノックするんだろう」
cried the clerk.	事務員は云った。
Again and much louder came the rat-tat-tat.	再び前よりは高いコツコツと云う小音が聞えて来た。
We all gazed expectantly at the closed door.	私達はみんな、呼吸（いき）を殺ろして閉されてあるドアを見詰めた。
Glancing at Holmes, I saw his face turn rigid, and he leaned forward in intense excitement.	ホームズを見ると、彼の顔は緊張して、激しい昂奮のため、からだを前こごみにしていた。
Then suddenly came a low guggling, gargling sound, and a brisk drumming upon woodwork.	と、その時ふいに、低いゴロゴロゴロゴロと云う含嗽（うがい）するような音につづいて、木の上をはげしくたたく音が聞えて来た。
Holmes sprang frantically across the room and pushed at the door.	ホームズは気違いのように部屋を走っていって、ドアを押した。
It was fastened on the inner side.	それは内側から固く閉されていた。
Following his example, we threw ourselves upon it with all our weight.	私たちはホームズに従って、私たちの全身の重みでドアにぶつかっていった。
One hinge snapped, then the other, and down came the door with a crash.	一つの蝶番（ちょうつがい）がとれ、それからもう一つのがとれ、ドアはガタンと倒れた。
Rushing over it, we found ourselves in the inner room.	私たちはそれを乗り越えて中の部屋に飛び込んだ。
It was empty.	が、そこには誰もいなかった。
But it was only for a moment that we were at fault.	しかし私たちが油断していたのはほんのわずかな時間に過ぎなかったのだ。
At one corner,	と、片方の隅に、
the corner nearest the room which we had left, there was a second door.	――私たちが出て来た部屋に近いほうの隅に、もう一つのドアがついていた。
Holmes sprang to it and pulled it open.	ホームズはそこにとびついて引きあけた。
A coat and waistcoat were lying on the floor, and from a hook behind the door, with his own braces round his neck, was hanging the managing director of the Franco-Midland Hardware Company.	するとそこの床の上には、上衣（うわぎ）やチョッキがぬぎすててあって、そしてドアの背後についている鉤金（かぎがね）に、フランス中部鉄器株式会社の専務取締役が、自分の首の廻りに自分のズボンツリをまきつけてブラさがっていた。
His knees were drawn up, his head hung at a dreadful angle to his body,	彼は両足を揃えて、彼の首は前のほうへ無気味な恰好にダランとたれていた。
and the clatter of his heels against the door made the noise which had broken in upon our conversation.	そして彼の踵は、私たちの話を邪魔した、あの音を立て得るくらいに床とすれすれになっていた。
In an instant I had caught him round the waist,	私はすぐさま彼の胴に抱きついて彼のからだを持ち上げた。
and held him up while Holmes and Pycroft untied the elastic bands which had disappeared between the livid creases of skin.	そしてホームズとピイクロフトとは、灰色になった皮の皺の間に食い込んでいる、ズボンツリをといた。
Then we carried him into the other room, where he lay with a clay-coloured face,	それから私たちは彼をほかの部屋に運んで来て、そこへ寝かした。
puffing his purple lips in and out with every breath	彼は石盤のような顔色になり、紫色になった唇は泡をブツブツやって、
-- a dreadful wreck of all that he had been but five minutes before.	――たった五分前までは生きていた彼のからだは、恐ろしい骸（むくろ）になっていた。
``What do you think of him, Watson?''	「ワトソン、君はどう思うね？」
asked Holmes.	と、ホームズはきいた。
I stooped over him and examined him.	私は彼の上にかがみこんで診察してみた。
His pulse was feeble and intermittent,	彼の脈は弱く、絶えたりつづいたりしていた。
but his breathing grew longer,	けれども呼吸はだんだん長くなって来た。
and there was a little shivering of his eyelids, which showed a thin white slit of ball beneath.	そして目ぶたは軽くふるえて、下にある薄白い眼球をかすかに見せていた。
``It has been touch and go with him,''	「やってみよう」
said I,	私は云った。
``but he'll live now.	「まだ生きてる。
Just open that window, and hand me the water carafe.''	――窓を開いて、水を持って来てくれたまえ」
I undid his collar, poured the cold water over his face, and raised and sank his arms until he drew a long, natural breath.	私は彼のカラーをはずして顔の上に冷（つめた）い水を注ぎかけ、そして長い自然な呼吸をするようになるまで、彼の腕を上下した。
``It's only a question of time now,''	「こうなればもう時間の問題だ」
said I as I turned away from him.	私は彼から離れてそう云った。
Holmes stood by the table, with his hands deep in his trousers' pockets and his chin upon his breast.	ホームズは、彼の両手をズボンのポケットに深くつっこんで、顎を胸に埋（うず）めたまま、テエブルの側（そば）に立っていた。
``I suppose we ought to call the police in now,''	「今のうちに巡査を呼びにいっといたほうがいいと僕は思うんだが」
said he.	と、彼は云った。
``And yet I confess that I'd like to give them a complete case when they come.''	「そして実は、巡査が来たら、終りになったこの事件をこのまま向うへ引渡してしまいたいと思ってるんだけれどね」
``It's a blessed mystery to me,''	「私には忌わしい謎だ。
cried Pycroft, scratching his head.	――何の目的で、あいつ等は私をわざわざここまで連れ出したんだろう。
``Whatever they wanted to bring me all the way up here for, and then -- ''	そしてそれから――」
``Pooh!	「馬鹿な！
All that is clear enough,''	そりアもうすっかり分かりますよ」
said Holmes impatiently.	と、ホームズはいらいらして云った。
``It is this last sudden move.''	「分からないのは、この最後の急な自殺騒ぎです」
``You understand the rest, then?''	「じゃ、他のことはみんなお分かりになってるんですね」
``I think that it is fairly obvious.	「極めて明瞭に分ってるつもりです。
What do you say, Watson?''	君の意見はどうかね、ワトソン？」
I shrugged my shoulders.	私は肩をすくませた。
``I must confess that I am out of my depths,'' said I.	「云いにくいけれど、僕には力に余るんだ」
said I.	私は云った。
``Oh,	「そうかね。
surely if you consider the events at first they can only point to one conclusion.''	だが、最初に、事件をよく注意して見れば、解決はただ一点に帰着するだけだよ」
``What do you make of them?''	「君はどんな風に解決したんだい？」
``Well, the whole thing hinges upon two points.	「いいかね、この事件のすべては、二つの点が中心となっている。
The first is the making of Pycroft write a declaration by which he entered the service of this preposterous company.	第一の点は、ピイクロフトがこの盛大なる結構な会社の職にありつく時、宣誓書を書かされたと云うことだ。
Do you not see how very suggestive that is?''	――君は、そこが実に怪しいとは思わないかね」
``I am afraid I miss the point.''	「どうもよく分からないね」
``Well, why did they want him to do it?	「じゃ、なぜあいつ等は、ピイクロフトにそんなものを書かせたんだろう？
Not as a business matter,	――それは事務的な目的ではない。
for these arrangements are usually verbal,	なぜなら普通これらの約束は言葉だけでやってるんだから。
and there was no earthly business reason why this should be an exception.	とすれば何か他に目的がない限り、事務の上ではそんなことをする理由は絶対にないんだ。
Don't you see, my young friend,	――ね、ピイクロフト君、お分かりになりませんか？
that they were very anxious to obtain a specimen of your handwriting, and had no other way of doing it?''	あいつ等はあなたの手跡の雛形をとりたいと苦心していたので、あの時、あなたにそうさせるより他に方法がなかったのだと云うことが、――」
``And why?''	「だが、なぜそんなものがほしかったのでしょう？」
``Quite so.	「そこです。
Why?	なぜ？
When we answer that we have made some progress with our little problem.	それにお答えすれば、この事件の解決も少し進むわけなのです。
Why?	なぜそれがほしかったか？
There can be only one adequate reason.	それにはうなずける理由はただ一つしかありません。
Someone wanted to learn to imitate your writing	誰かがあなたの手跡の真似をするために習おうと思ったのです。
and had to procure a specimen of it first.	そしてそのためには、まずその見本をせしめなければならなかったのです。
And now if we pass on to the second point we find that each throws light upon the other.	そこで第二の点に行くわけですが、そうなればこの二つの点が、お互いに重大な関係を保ち合ってると云うことが分かるんです。
That point is the request made by Pinner that you should not resign your place, but should leave the manager of this important business in the full expectation	――第二の点と云うのは、あなたに辞表を出させないで、しかも有望なこの堂々たる商売の支配人と云う地位をそのまま手もふれずに残させるようにした、ピナーの要求です。
that a Mr. Hall Pycroft, whom he had never seen, was about to enter the office upon the Monday morning.''	ピナーから云えば、その支配人と云う地位は、彼が会ったこともない、ホール・ピイクロフトと云う人間が、月曜日の朝から来ることになっていたのです」
``My God!''	「ああ神様よ」
cried our client,	私たちの事務員は叫んだ。
``what a blind beetle I have been!''	「私は何と云う盲目野郎だったんだろう！」
``Now you see the point about the handwriting.	「これであなたは、その手跡のことを想像してごらんなさい。
Suppose that someone turned up in your place who wrote a completely different hand from that in which you had applied for the vacancy, of course the game would have been up.	何者かがあなたの代りになって、あなたがとっておいた就職口に行くのです。
But in the interval the rogue had learned to imitate you,	しかしその悪漢は、ひまひまにあなたの字の真似を習います。
and his position was therefore secure,	そしてそのために彼の位置は安全になります。
as I presume that nobody in the office had ever set eyes upon you.	少くもその事務所に誰一人、前にあなたを見たものがいないかぎりは」
``Not a soul,''	「畜生め！」
groaned Hall Pycroft.	ホール・ピイクロフトは呻（うめ）いた。
``Very good.	「まったくですよ。
Of course it was of the utmost importance to prevent you from thinking better of it,	――もちろん、あなたに、あなたが得た就職口をよく思わせないようにすることが、非常に大切なことだったんです。
and also to keep you from coming into contact with anyone who might tell you that your double was at work in Mawson's office.	それからまた、あなたが誰か、モウソン事務所であなたの名をかたってる奴があなたの代りに働いていると云うことを、あなたに話すような男と寄りさわらないようにすることも。
Therefore they gave you a handsome advance on your salary, and ran you off to the Midlands,	そこであいつ等は、あなたに給料の前払いをして、バーミングへ追っ払ったんです。
