A DOG OF FLANDERS	フランダースの犬
But it is green and very fertile,	けれども、その光景は緑がいっぱいでとても肥沃です。
and it has wide horizons that have a certain charm of their own even in their dulness and monotony;	そして、変わりばえせず、単調であったとしても、そうした光景が広大な地平線いっぱいに広がると、それはそれで一種独特の魅力が生まれたのでした。
and among the rushes by the waterside the flowers grow, and the trees rise tall and fresh	そして、水際に茂るイグサの中にいろんな花が咲き乱れ、木々が高く青々と茂っています。
where the barges glide, with their great hulks black against the sun,	荷船がすべるように進んでいき、逆光の中で大きな船体は黒く見えます。
and their little green barrels and vari-coloured flags gay against the leaves.	そして小さな緑のたるや色とりどりの旗が木の葉の間からとてもきらびやかに見えるのでした。
Anyway, there is greenery	とにかく、そこには青々とした草木の緑がありました。
and breadth of space	それに、十分な広さがありました。
enough to be as good as beauty to a child and a dog;	それは、子供と犬にとっては、美しい光景と同じくらいよいことでした。
and these two asked no better, when their work was done, than to lie buried in the lush grasses on the side of the canal, and watch the cumbrous vessels drifting by	そして、二人は、仕事を終えるや否や、運河のそばに生えている青々とした草むらにうずもれるように寝っ転がり、運河の上を漂っているぶかっこうな船を眺めたりしました。
and bringing the crisp salt smell of the sea among the blossoming scents of the country summer.	その船は、田舎の夏の花の香りの中に、海のさわやかな潮の香りを撒き散らしているようでした。
True, in the winter it was harder,	確かに、冬はもっと大変でした。
and they had to rise in the darkness and the bitter cold,	ひどく寒いの朝まだ暗いうちから起きなければなりませんでした。
and they had seldom as much as they could have eaten any day;	それに、腹いっぱい食べられることなんか、ほとんどありませんでした。
although it looked so pretty in warm weather, buried in a great kindly clambering vine,	暖かい季節にはぶどうのつるがからまって、とてもきれいな小屋でした。
that never bore fruit, indeed, but which covered it with luxuriant green tracery all through the months of blossom and harvest.	ぶどうは、実こそなりませんでしたが、花が咲いたり刈り入れをするような暖かい季節には、ふさふさとした緑の葉っぱがぜいたくな網目模様のようにこの小屋を覆うのでした。
In winter the winds found many holes in the walls of the poor little hut, and the vine was black and leafless,	冬には、すきま風が壁のたくさんの穴から入り、ぶどうの木は黒く、葉っぱをつけていませんでした。
and the bare lands looked very bleak and drear without,	そして、何も生えていない大地は、とても荒涼とした様子でした。
and sometimes within the floor was flooded and then frozen.	時々、小屋の中は浸水し、それが氷ついてしまうのです。
In winter it was hard,	冬は、厳しい季節でした。
and the snow numbed the little white limbs of Nello, and the icicles cut the brave, untiring feet of Patrasche.	ネロは雪で小さい白い手足がかじかみましたし、パトラッシュはつららで、勇敢な、疲れを知らない足を切りました。
But even then they were never heard to lament, either of them.	しかし、そうした時期でさえ、ふたりはぐちをこぼしませんでした。
The child's wooden shoes and the dog's four legs would trot manfully together over the frozen fields to the chime of the bells on the harness;	子供の木靴と犬の4本の足は、一緒に荷車の鈴をちりんちりんと鳴らしながら勇ましく早足で進んでいきます。
and then sometimes, in the streets of Antwerp, some housewife would bring them a bowl of soup and a handful of bread,	それに、アントワープの通りを進んでいくと、一杯のスープとパン数切れをくれたりするおかみさんがいたりしました。
or some kindly trader would throw some billets of fuel into the little cart as it went homeward,	また、家に帰ろうとすると、ミルクを買ってくれる商人の中で、小さい荷車に少したきぎを放り込んでくれる優しい人がいたりしました。
or some woman in their own village would bid them keep a share of the milk they carried for their own food;	あるいは、村のおかみさんの中には、二人に、アントワープに運んでいくミルクを自分たちのために一部とっとくようにと言ってくれる人がいたりしました。
and they would run over the white lands, through the early darkness, bright and happy,	そうしたとき、二人は暗くなりかけた中を、明るく幸せに、雪の上を歩いていきます。
and burst with a shout of joy into their home.	そして、喜び叫びながら家に入るのでした。
So, on the whole, it was well with them--very well;	だから、だいたいのところ、とてもよかったのです。
and Patrasche, meeting on the highway or in the public streets the many dogs who toiled from daybreak into nightfall,	パトラッシュは、大きな街道や通りで夜明けから夜遅くまで酷使されている犬にいっぱい会っていました。
paid only with blows and curses, and loosened from the shafts with a kick to starve and freeze as best they might	そうした犬は、酷使の代償に、ただ棒で殴られるか、ののしられるばかりで、そのあげく、飢え死にでも、凍え死にでも勝手にしろ、とばかりに車からけり出され、やっと車からはずしてもらえるのでした。
--Patrasche in his heart was very grateful to his fate,	パトラッシュは、自分の運命に心から感謝しました。
and thought it the fairest and the kindliest the world could hold.	そして、こんなにけっこうでありがたいことはない、と思うのでした。
Though he was often very hungry indeed when he lay down at night;	パトラッシュが夜横になったとき、本当にひどくお腹が空いていたこともしばしばありましたし、
though he had to work in the heats of summer noons and the rasping chills of winter dawns;	夏の昼の暑い中でも冬の明け方のこごえるような寒さの中でも、パトラッシュは働かなければなりませんでした。
though his feet were often tender with wounds from the sharp edges of the jagged pavement;	それに、足がギザギザの舗道のとんがった石で傷ついて、ずきずき痛むこともしばしばありましたし、
though he had to perform tasks beyond his strength and against his nature	自分の生まれには似合わないような、力に余る仕事をしなければなりませんでした。
--yet he was grateful and content;	それでも、パトラッシュは満足し感謝していました。
he did his duty with each day,	パトラッシュは毎日義務を果たしました。
and the eyes that he loved smiled down on him.	そして、大好きなネロの目が、パトラッシュに向かって微笑みかけました。
It was sufficient for Patrasche.	それだけでパトラッシュには十分でした。
There was only one thing which caused Patrasche any uneasiness in his life,	ただ、パトラッシュには、一つだけ気がかりなことがありました。
and it was this.	それは、こんなことでした。
Antwerp, as all the world knows, is full at every turn of old piles of stones, dark and ancient and majestic,	誰でも知っているように、アントワープの町には、あちこちに古い、黒ずんだ、古風な、でも荘厳な石造りの教会がいっぱいあります。
standing in crooked courts, jammed against gateways and taverns, rising by the water's edge, with bells ringing above them in the air,	曲がりくねった路地の奥の中庭に建っているのもあれば、屋敷の門や居酒屋に挟まれて建っているのもありましたし、運河のほとりに建っているのもありました。
and ever and again out of their arched doors a swell of music pealing.	塔から鐘の音が空に鳴り響いたり、アーチ形の扉からは音楽がもれ聞こえてくることがありました。
There they remain, the grand old sanctuaries of the past, shut in amid the squalor, the hurry, the crowds, the unloveliness, and the commerce of the modern world;	現代の商業の都のむさくるしさ、あわただしさ、人混みの多さ、みにくさの中で、大きな古い聖地が残されていました。
and all day long the clouds drift and the birds circle and the winds sigh around them,	一日中、塔の上では雲がたなびき、鳥は円を描いて飛び、風がそよぎます。
and beneath the earth at their feet there sleeps--RUBENS.	そして、その聖地の地下には、ルーベンスが眠っていたのです。
And the greatness of the mighty master still rests upon Antwerp,	この傑出した巨匠の偉力は今でもアントワープの町に残っています。
and wherever we turn in its narrow streets his glory lies therein,	狭い道に入り込むといつもルーベンスの栄光がそこかしこに感じられます。
so that all mean things are thereby transfigured;	そして、どんないやしいものでも、ルーベンスの栄光によって変容するのです。
and as we pace slowly through the winding ways, and by the edge of the stagnant water, and through the noisome courts, his spirit abides with us, and the heroic beauty of his visions is about us,	曲がりくねった道を進むとき、淀んだ運河の水のそばにたたずむとき、そして騒がしい中庭を過ぎるとき、ルーベンスの魂が私たちにまとわりつき、ルーベンスの堂々とした美の幻影が、私たちのそばにあります。
and the stones that once felt his footsteps and bore his shadow seem to arise and speak of him with living voices.	そして、かつてルーベンスの足取りを感じ、ルーベンスの影を映した石だたみは、今にも起きあがって生き生きした声でルーベンスについて語り出すように思われるのです。
For the city which is the tomb of Rubens still lives to us through him, and him alone.	ルーベンスのお墓があるというだけで、アントワープの町は今も有名です。
It is so quiet there by that great white sepulchre	その大きな白い墓の近くは、とてもひっそりと静まり返っています。
--so quiet, save only when the organ peals and the choir cries aloud the Salve Regina or the Kyrie eleison.	ときおりオルガンの音や聖歌隊が「たたえよ、マリア」や、「主よ、あわれみたまえ」を歌う音が聞こえるのを除いては。
Sure no artist ever had a greater gravestone than that pure marble sanctuary gives to him in the heart of his birthplace in the chancel of St. Jacques.	ルーベンスが生まれたアントワープの町のまん中に位置する聖ジャック教会の内陣にある、真っ白な大理石でできたお墓以上に立派なお墓を持つ芸術家はいません。
Without Rubens, what were Antwerp?	ルーベンスがいなければ、アントワープの町は何だったというのでしょうか？
A dirty, dusky, bustling mart, which no man would ever care to look upon save the traders who do business on its wharves.	波止場で商売をする商人を除いて誰も見たいとは思わないような、薄ぎたなくて薄暗い、騒々しい市場に過ぎません。
With Rubens, to the whole world of men it is a sacred name, a sacred soil,	ルーベンスがいたからこそ、アントワープの町は、世界中にとって、神聖な名前であり、神聖な土地であったのです。
a Bethlehem where a god of art saw light, a Golgotha where a god of art lies dead.	芸術の神様、ルーベンスがこの世に生まれたベツレヘム＜イエス・キリストが生まれた地名＞であり、芸術の神様ルーベンスが亡くなったゴルゴダ＜イエス・キリストが亡くなった地名＞だったのです。
O nations!	国よ！
closely should you treasure your great men;	あなたは国に生まれた偉人を大事にしなければなりません。
for by them alone will the future know of you.	というのは、未来の人は、偉人のみによって国を知るからです。
Flanders in her generations has been wise.	この時代のフランダースの人たちは賢明でした。
In his life she glorified this greatest of her sons,	ルーベンスが生きている間、アントワープの町は、アントワープが生んだ最も偉大な息子に名誉を与えました。
and in his death she magnifies his name.	そして、ルーベンスの死後は、アントワープの町はその名前を賛美します。
But her wisdom is very rare.	けれども、実を言うと、フランダースの人たちがこのように賢明だったことは、めったにありませんでした。
Now, the trouble of Patrasche was this.	さて、パトラッシュの問題というのは、次のようなものでした。
Into these great, sad piles of stones, that reared their melancholy majesty above the crowded roofs, the child Nello would many and many a time enter, and disappear through their dark, arched portals,	子どものネロは、むらがりあっている屋根の中でひときわ大きくそびえ立つ、この大きな、陰気でもの悲しい、石造りの教会の中に、幾度となく入っていきました。
while Patrasche, left without upon the pavement,	一方、パトラッシュは一人歩道に取り残されました。
would wearily and vainly ponder on what could be the charm which thus allured from him his inseparable and beloved companion.	そして、退屈しながら、ちょっとの間でも離れていたくない、大好きな友だちを惹きつけ、パトラッシュから離れさせているものが一体全体何だろうか、とじっと考え込みましたが、無駄なことでした。
Once or twice he did essay to see for himself,	一、二度、パトラッシュは自分自身で何が起こっているかを確かめようとしました。
clattering up the steps with his milk-cart behind him;	そうして、ミルクの荷車を引きながら階段を音を立てて登っていきました。
but thereon he had been always sent back again summarily by a tall custodian in black clothes and silver chains of office;	けれども、そうすると、パトラッシュは背の高い、黒い服と銀色の鎖を身に付けた守衛の人にすぐに追い返されました。
and fearful of bringing his little master into trouble, he desisted, and remained couched patiently before the churches until such time as the boy reappeared.	パトラッシュは、小さい主人を問題に巻き込むことを恐れ、教会の中に入るのはやめて、少年が再び現れるまで、教会の前で根気強く待ったのでした。
It was not the fact of his going into them which disturbed Patrasche;	パトラッシュを悩ませたのは、教会に入れなかったことではありませんでした。
he knew that people went to church;	パトラッシュは人間が教会に行く、ということは知っていました。
all the village went to the small, tumble-down, gray pile opposite the red windmill.	村人たちは、みんな、赤い風車小屋の反対側にある、小さな、今にも潰れそうな、灰色の教会に行っていました。
What troubled him was that little Nello always looked strangely when he came out,	パトラッシュを悩ませたのは、ネロが教会から出てきたとき、とても様子が変だったからです。
always very flushed or very pale;	いつも、とても顔を真っ赤にするか、とても青白い顔をしていました。
and whenever he returned home after such visitations would sit silent and dreaming,	そして、そのように教会に行った後に家に帰るときは、いつもじっと座って、夢見るような様子でした。
not caring to play, but gazing out at the evening skies beyond the line of the canal, very subdued and almost sad.	遊ぼうともせず、運河の向こうにある夕方の空をじっと見つめ、ふさぎ込んで、ほとんど悲しそうでした。
What was it?	「いったいこれはどうしたことだろう？」
wondered Patrasche.	とパトラッシュは不思議に思いました。
He thought it could not be good or natural for the little lad to be so grave,	パトラッシュは、小さな少年がそんなに深刻になることは、よいことではないし、普通ではないことだ、と思いました。
and in his dumb fashion he tried all he could to keep Nello by him in the sunny fields or in the busy market-place.	そこで、パトラッシュは、ものは言えませんでしたが身振りでなんとかネロを日向の野原やにぎやかな市場に誘おうと一生懸命努力しました。
But to the churches Nello would go;	けれども、ネロはどうしても教会に行くのでした。
most often of all would he go to the great cathedral;	最も頻繁に行くのは、大きな大聖堂でした。
and Patrasche, left without on the stones by the iron fragments of Quentin Matsys's gate,	そして、パトラッシュは、クウェンティン＝マーシス（十五〜十六世紀に活躍したフランダース地方の画家）の墓に通じる壊れかけた鉄の門の近くにある石畳の上に取り残されるのでした。
would stretch himself and yawn and sigh, and even howl now and then, all in vain,	そこでパトラッシュは背中を伸ばし、あくびをし、ため息をつき、吠えたりもしましたが、無駄なことでした。
until the doors closed and the child perforce came forth again, and winding his arms about the dog's neck would kiss him on his broad, tawny-colored forehead,	そして、扉が閉められる時間になって、ネロが仕方なしに出てくると、パトラッシュの首に抱きついて、広い茶色の額にキスをしてくれます。
and murmur always the same words,	そして、いつも同じことばをつぶやくのでした。
"If I could only see them, Patrasche!	「パトラッシュ、あれを見ることができたらなあ。
--if I could only see them!"	あれを見ることができたらいいのに」
What were they?	「あれ、ってなんだろう？」
pondered Patrasche,	とパトラッシュは思いました。
looking up with large, wistful, sympathetic eyes.	そして、大きな、思いこがれた、同情的な目でネロを見上げました。
One day, when the custodian was out of the way and the doors left ajar, he got in for a moment after his little friend and saw.	ある日、門番が扉を半開きにしたままで立ち去ったとき、パトラッシュは、小さな友人の後を追って様子を見るために、教会に入りました。
"They" were two great covered pictures on either side of the choir.	「あれ」というのは、聖歌隊席の両側に、布で覆われた二つの名画のことでした。
Nello was kneeling, rapt as in an ecstasy, before the altar-picture of the Assumption,	ネロはうっとりと無我夢中で祭壇の聖母昇天の絵の前にひざまずいていました。
and when he noticed Patrasche, and rose and drew the dog gently out into the air,	ネロはパトラッシュに気がつくと、起きあがって、やさしくパトラッシュを外に連れていきました。
his face was wet with tears,	ネロの顔は涙で濡れていました。
and he looked up at the veiled places as he passed them, and murmured to his companion,	そして、名画の前を通り過ぎる時、それを見上げ、パトラッシュにつぶやきました。
"It is so terrible not to see them, Patrasche,	「あれを見られないなんて、ひどいよ、パトラッシュ。
just because one is poor and cannot pay!	ただ貧乏でお金が払えないからといって！
He never meant that the poor should not see them when he painted them,	ルーベンスは、絵を描いたとき、貧しい人は絵を見ちゃいけないなんて、夢にも思わなかったはずだよ。
I am sure.	ぼくには分かるんだ。
He would have had us see them any day, every day;	ルーベンスなら、毎日、いつでも絵を見せてくれたはずだよ。
that I am sure.	絶対そうだよ。
And they keep them shrouded there--shrouded!	なのに、絵を覆うなんて！
in the dark, the beautiful things!	あんなに美しいものを、覆って暗闇の中に置いておくなんて！
And they never feel the light,	絵は、人の目に触れることがないんだよ。
and no eyes look on them,	誰もあの絵を見る人はいないんだよ。
unless rich people come and pay.	金持ちの人が来てお金を払わない限り。
If I could only see them, I would be content to die."	もし、あれを見ることができるのなら、ぼくは喜んで死ぬよ。」
But he could not see them,	けれども、ネロはその絵を見ることができませんでした。
and Patrasche could not help him,	そして、パトラッシュはネロを助けることができませんでした。
for to gain the silver piece that the church exacts as the price for looking on the glories of the "Elevation of the Cross" and the "Descent of the Cross" was a thing as utterly beyond the powers of either of them as it would have been to scale the heights of the cathedral spire.	というのは、教会が「キリスト昇天」と「キリスト降架」の名画を見るための料金として要求している銀貨を得ることは、大聖堂の尖塔のてっぺんによじ登ることと同じくらい、二人の手に余ることでした。
They had never so much as a sou to spare;	二人には、節約する小銭さえありませんでした。
if they cleared enough to get a little wood for the stove, a little broth for the pot, it was the utmost they could do.	ストーブにくべる少しばかりの薪や、なべに煮るわずかのスープを買うことが精一杯でした。
And yet the heart of the child was set in sore and endless longing upon beholding the greatness of the two veiled Rubens.	それでも子供の心は、何とかしてあのルーベンスの二枚の名画を見たいものだ、というあこがれに満たされていました。
The whole soul of the little Ardennois thrilled and stirred with an absorbing passion for art.	小さいアルデンネ生まれの少年の魂は、芸術に対する激しい情熱でいっぱいでした。
Going on his ways through the old city in the early days before the sun or the people had risen, Nello, who looked only a little peasant boy, with a great dog drawing milk to sell from door to door, was in a heaven of dreams whereof Rubens was the god.	まだ日も昇らず、みんな起きない早朝からミルクを引いている大きな犬を連れて、家々にミルクを売っていたネロは、一見ただの小さな農民の少年に見えましたが、ルーベンスが神様である、夢の天国に住んでいました。
Nello, cold and hungry, with stockingless feet in wooden shoes, and the winter winds blowing among his curls and lifting his poor thin garments, was in a rapture of meditation,	ネロは、こごえておなかをすかし、靴下も着けずに木靴をはいて、冬の風が巻き毛を吹き、みすぼらしく薄い外套を吹き上げましたが、うっとりともの思いにふけっていたのです。
wherein all that he saw was the beautiful fair face of the Mary of the Assumption,	ネロが見るものすべては、「聖母昇天」の絵に描かれたマリア様の美しい顔でした。
with the waves of her golden hair lying upon her shoulders, and the light of an eternal sun shining down upon her brow.	マリア様は、波打つ金髪が肩にかかり、永遠に輝く太陽の光がひたいを照らしていました。
Nello, reared in poverty, and buffeted by fortune, and untaught in letters, and unheeded by men, had the compensation or the curse which is called genius.	ネロは、貧しく育ち、運命にもてあそばれ、読み書きも教えられず、誰にも顧みられませんでしたが、その見返りに、いや、災いだったかも知れませんが、「天才」と呼ばれる才能を授かっていました。
No one knew it;	誰も、そのことを知りませんでした。
he as little as any.	ネロ自身も全く。
No one knew it.	誰も、そのことを知りませんでした。
Only, indeed, Patrasche, who, being with him always, saw him draw with chalk upon the stones any and every thing that grew or breathed,	ただ、パトラッシュだけが、いつもネロと一緒にいたので、ネロがあらゆる動物や植物の姿をチョークで石畳に描いていたのを見ていました。
heard him on his little bed of hay murmur all manner of timid, pathetic prayers to the spirit of the great master;	そして、乾し草の寝床で、ネロがおずおずと、痛ましい様子で偉大なルーベンスにお祈りを捧げるのも聞いていました。
watched his gaze darken and his face radiate at the evening glow of sunset or the rosy rising of the dawn;	また、夕日が空をまっかに染めるとき、朝空がばらのよう輝くとき、ネロがそれを夢中で眺め、顔が輝く様子も見守っていました。
and felt many and many a time the tears of a strange, nameless pain and joy, mingled together, fall hotly from the bright young eyes upon his own wrinkled yellow forehead.	そして、苦悩と喜びが不思議に入り交じった名前のつけようのない涙がネロの輝く若い目から熱くあふれ出し、パトラッシュのしわだらけの黄色い額にこぼれ落ちることも、しばしばあったのです。
"I should go to my grave quite content if I thought, Nello, that when thou growest a man thou couldst own this hut and the little plot of ground, and labor for thyself, and be called Baas by thy neighbours,"	「ネロや、おまえが大きくなって、この小屋と小さな畑を自分で持って、自分で働いて、近所の人からだんな、と呼ばれるようになったら、私も安心してお墓にいけるというもんだよ。」
said the old man Jehan many an hour from his bed.	ジェハンじいさんは、ベッドに横になりながらよくこういったものでした。
For to own a bit of soil, and to be called Baas (master) by the hamlet round, is to have achieved the highest ideal of a Flemish peasant;	というのは、ちょっとした土地を自分で持って、まわりの村人たちからだんな、と呼ばれるのが、フランダースの百姓にとって、最高の夢だったからです。
and the old soldier, who had wandered over all the earth in his youth, and had brought nothing back, deemed in his old age that to live and die on one spot in contented humility was the fairest fate he could desire for his darling.	ジェハンじいさんは、兵士として若い頃はいろんな場所をあてもなくさまよって、何も持ち帰りませんでしたが、年をとると、同じ場所につつましやかに満足して暮らすことが、望みうるもっともいい運命であると考えるようになったのです。
But Nello said nothing.	けれども、ネロは何も言いませんでした。
The same leaven was working in him that in other times begat Rubens and Jordaens and the Van Eycks, and all their wondrous tribe,	その昔活躍したルーベンスやヨルダンス、ヴァン・アイク、そのほか驚異の種族と同じ天分が、ネロの中に息づいていました。
and in times more recent begat in the green country of the Ardennes, where the Meuse washes the old walls of Dijon, the great artist of the Patroclus,	近年では、緑のアルデンヌ地方ーームーズ川がディジョンの町の古い城壁を洗うところーーは、英雄パトロクロス（ギリシャ神話の英雄で、アキレスの親友）を描いた偉大な芸術家を生み出しています。
whose genius is too near us for us aright to measure its divinity.	けれども、その画家の才能は我々の時代に近すぎて、その才能を適切に判断することは難しいのです。
Nello dreamed of other things in the future than of tilling the little rood of earth, and living under the wattle roof, and being called Baas by neighbours a little poorer or a little less poor than himself.	ネロの夢は、ちっぽけな畑を耕し、かやぶきの屋根に住み、自分よりすこしまずしいか、豊かな近所の人たちから「だんな」、と呼ばれることではありませんでした。
The cathedral spire, where it rose beyond the fields in the ruddy evening skies or in the dim, gray, misty mornings, said other things to him than this.	真っ赤な夕焼けの空のかなたに、あるいは灰色に霧がかった朝もやのかなたにそびえる大聖堂の尖塔がネロに語りかけるのは、これとは少し違った夢でした。
But these he told only to Patrasche,	けれども、この夢を、ネロはパトラッシュだけに話しました。
whispering, childlike, his fancies in the dog's ear when they went together at their work through the fogs of the daybreak, or lay together at their rest among the rustling rushes by the water's side.	夜明けの霧の中を仕事に出かけるとき、あるいは、水辺にそよぐイグサの中でいっしょに横になって休んでいるとき、ネロは、子どもっぽく自分の空想を犬の耳元でささやきました。
For such dreams are not easily shaped into speech to awake the slow sympathies of human auditors;	というのは、そのような夢をなかなか理解してくれない人が聞き手の場合は、夢を具体的に言葉にして話すことは、簡単にはいかなかったからです。
and they would only have sorely perplexed and troubled the poor old man bedridden in his corner,	そして、そんな夢をジェハンじいさんに話すのは、部屋の片隅で寝たきりの、この貧しい老人を困らせるだけだったでしょう。
who, for his part, whenever he had trodden the streets of Antwerp, had thought the daub of blue and red that they called a Madonna, on the walls of the wine-shop where he drank his sou's worth of black beer, quite as good as any of the famous altarpieces	というのは、ジェハンじいさんは、アントワープの町にでかけたとき、わずかなお金で黒ビールを飲むことがありましたが、そのようなときに見る居酒屋の壁に青と赤で書かれている下手くそな聖母マリアの絵だって、祭壇わきにかかっている有名な絵と同じくらい結構なものだと思っていたのですから。
for which the stranger folk traveled far and wide into Flanders from every land on which the good sun shone.	そのような有名な絵を見るためには、世界中からはるばる旅をしてフランダースに来る人も大勢いたというのに。
There was only one other beside Patrasche to whom Nello could talk at all of his daring fantasies.	ネロがとほうもない夢を話すことができた相手が、パトラッシュ以外にもう一人だけいました。
This other was little Alois,	それは、アロアでした。
who lived at the old red mill on the grassy mound,	アロアは、草が青々とはえた岡の上の古びた風車小屋のそばに住んでいました。
and whose father, the miller, was the best-to-do husbandman in all the village.	父親は粉屋で、村中で一番の金持ちでした。
Little Alois was only a pretty baby with soft round, rosy features, made lovely by those sweet dark eyes	小さなアロアは、優しい黒っぽい目をした、明るく血色のよい、とてもかわいい女の子でした。
that the Spanish rule has left in so many a Flemish face, in testimony of the Alvan dominion,	アルバ公によるスペイン統治の名残りで、フランダース人の顔にはよく見かけます。
as Spanish art has left broad-sown throughout the country majestic palaces and stately courts, gilded house-fronts and sculptured lintels	同じように、スペイン芸術の影響のあとが壮麗な宮殿や見事な邸宅や戸口の上の金ぴかの横木に残されています。
--histories in blazonry and poems in stone.	紋章や石造りの建物から歴史や詩が感じられるのです。
Little Alois was often with Nello and Patrasche.	小さなアロアは、よくネロとパトラッシュと一緒にいました。
They played in the fields, they ran in the snow, they gathered the daisies and bilberries,	三人は野原で遊び、雪の中で走り、ヒナギクの花やコケモモの実を集めました。
they went up to the old gray church together,	また、一緒に古い灰色の教会に行きました。
and they often sat together by the broad wood fire in the mill-house.	そして、三人は、よく粉屋の家の火が赤々と燃える暖炉のそばに一緒に座りました。
Little Alois, indeed, was the richest child in the hamlet.	実際、小さなアロアは、村で一番金持ちの子どもでした。
She had neither brother nor sister;	アロアには、兄弟も姉妹もいませんでした。
her blue serge dress had never a hole in it;	彼女の青いサージ・ドレスに穴があることは、決してありませんでした。
at kermess she had as many gilded nuts and Agni Dei in sugar as her hands could hold;	お祭りの日には、金ぴかにぬったクルミや、神の子羊をかたどったお菓子を両手に持ちきれないほどたくさんもらいました。
and when she went up for her first communion her flaxen curls were covered with a cap of richest Mechlin lace,	そして、アロアが最初に教会の聖餐式に行ったときは、亜麻色の巻き毛の上に、一番上等なメケレン産のレースのぼうしをかぶっていました。
which had been her mother's and her grandmother's before it came to her.	これは、アロアのものになる前は、アロアのおかあさんとおばあさんのものでした。
Men spoke already, though she had but twelve years, of the good wife she would be for their sons to woo and win;	アロアはまだ十二歳に過ぎませんでしたが、村人たちは、うちの息子の嫁になれば、さぞやいいお嫁さんになれるだろうと噂しあっていました。
but she herself was a little gay, simple child,	けれども、アロア自身は小さくて、明るく、純真な子どもでした。
in no wise conscious of her heritage,	そして、自分が受け継ぐ財産のことなど、ちっとも意識していませんでした。
and she loved no playfellows so well as Jehan Daas's grandson and his dog.	そして、アロアは、ジェハンじいさんの孫と彼の犬が一番お気に入りの遊び友だちでした。
One day her father, Baas Cogez, a good man, but somewhat stern, came on a pretty group in the long meadow behind the mill, where the aftermath had that day been cut.	アロアの父親であるコゼツのだんなは、いい人でしたが、いくぶん頑固なところがありました。
It was his little daughter sitting amid the hay, with the great tawny head of Patrasche on her lap,	それは、彼の小さい娘が牧草の間に座り、黄褐色の大きな犬の頭をひざにのせている姿でした。
and many wreaths of poppies and blue corn-flowers round them both;	どちらとも、ケシの花やヤグルマギクの花でできた花輪を首にかけていました。
on a clean smooth slab of pine wood the boy Nello drew their likeness with a stick of charcoal.	松森のきれいななめらかな板に、少年ネロは、木炭で二人の似顔絵を描いていました
The miller stood and looked at the portrait with tears in his eyes	粉屋は立って、目に涙を浮かべながら似顔絵を見ていました。
--it was so strangely like,	その似顔絵は、不思議なくらいアロアそっくりでした。
and he loved his only child closely and well.	そして、粉屋は、一人っ子であるアロアを深く愛していました。
Then he roughly chid the little girl for idling there while her mother needed her within,	それから、粉屋はアロアに
and sent her indoors crying and afraid;	アロアはおびえて泣きながら家に戻りました。
then, turning, he snatched the wood from Nello's hands.	それからネロの方に向き直ってネロの手から板をうばい取りました。
"Dost do much of such folly?"	「おまえは、いつもこんな馬鹿なまねをしているのか？」
he asked, but there was a tremble in his voice.	粉屋は尋ねましたが、声は震えていました。
Nello coloured and hung his head.	ネロは、赤くなってうなだれました。
"I draw everything I see,"	「ぼくは、目に入るものは、なんでも描きます」
he murmured.	とネロはつぶやきました。
The miller was silent;	粉屋は、黙っていました。
then he stretched his hand out with a franc in it.	それから、粉屋は1フランを手に持って差し出しました。
"It is folly, as I say,	「今言ったように、これは馬鹿げたことだぞ。
and evil waste of time;	とてもよくないことだ。
nevertheless, it is like Alois, and will please the house-mother.	けれども、この絵はアロアそっくりで、お母さんは喜ぶだろう。
Take this silver bit for it and leave it for me."	この銀貨でこの絵をおれに売ってくれ。」
The colour died out of the face of the young Ardennois;	若いアルデンネ生まれの少年は色を失いました。
he lifted his head and put his hands behind his back.	ネロは頭を上げて、手を背中の後ろに隠しました。
"Keep your money and the portrait both, Baas Cogez,"	「お金も絵も持っててください、コゼツのだんな。
he said, simply.	だんなには、今までに何度も親切にしてもらいましたから。」
"You have been often good to me."	ネロは短く答えました。
Then he called Patrasche to him, and walked away across the fields.	それから、ネロはパトラッシュを呼んで、野原のむこうに行ってしまいました。
"I could have seen them with that franc,"	「あのお金があれば、あれを見ることができたんだ。
he murmured to Patrasche,	でも、ぼくはアロアの絵を売ることができなかった。
"but I could not sell her picture	たとえあれが見られたとしても。」
--not even for them."	ネロはパトラッシュにつぶやきました。
Baas Cogez went into his mill-house sore troubled in his mind.	コゼツのだんなは、とても心を悩ませながら家に入りました。
"That lad must not be so much with Alois,"	その晩、粉屋は妻にこう言いました。
he said to his wife that night.	「あの若者をアロアに近づけさせてはいけないよ。
"Trouble may come of it hereafter;	将来問題が起きるかも知れん。
he is fifteen now, and she is twelve;	ネロは十五で、アロアは十二だ。
and the boy is comely of face and form."	ネロは、格好もよくて、なかなか美男子だからな。」
"And is a good lad and a loyal,"	「それに、性格もいいし、人を裏切らない子ですよ」
said the housewife, feasting her eyes on the piece of pine wood	と、松の板の絵をうれしそうにながめながらアロアのお母さんは答えました。
where it was throned above the chimney with a cuckoo clock in oak and a Calvary in wax.	その松の板は、暖炉だなの上に、カシの木でできたカッコウ時計やろうでできたキリストの十字架像と一緒に並べられていました。
"Yea, I do not gainsay that,"	「そうだな、否定はせんよ」
said the miller, draining his pewter flagon.	と粉屋は合金の酒びんについだお酒を一気に飲みほしながら答えました。
"Then, if what you think of were ever to come to pass,"	「それなら、もしあなたの考えるようなことが万が一起こったとしても」
said the wife, hesitatingly,	妻はためらいながら言いました。
