Alice's Adventures in Wonderland	不思議の国のアリス
and handed them round as prizes.	そしてそれを賞品としてわたしてまわりました。
There was exactly one a-piece all round.	ちょうどみんなに一つずつありました。
`But she must have a prize herself, you know,'	「でもこの子だって、自分も賞品をもらわないと、ねえ」
said the Mouse.	とネズミ。
`Of course,'	「もちろんだ」
the Dodo replied very gravely.	ドードーは、とってもえらそうです。
`What else have you got in your pocket?'	そして「ポケットにはほかになにかもっとるかね？」
he went on, turning to Alice.	とアリスにいいました。
`Only a thimble,'	「ゆびぬき一つだけ」
said Alice sadly.	アリスはかなしそうにいいました。
`Hand it over here,'	「よこしなさい」
said the Dodo.	とドードー。
Then they all crowded round her once more, while the Dodo solemnly presented the thimble, saying	するとみんな、またアリスのまわりにむらがって、するとドードーがおもおもしくそのゆびぬきを授与しました。
`We beg your acceptance of this elegant thimble';	「われら一同、このゆーびなゆびぬきをおうけとりいただきたく、心からおねがいするものである」
and, when it had finished this short speech, they all cheered.	そして、ドードーのこのみじかい演説が終わると、みんなかんせいをあげました。
Alice thought the whole thing very absurd, but they all looked so grave that she did not dare to laugh;	アリスは、なにもかもずいぶんとばかばかしいな、とは思ったのですが、みんながとってもまじめなようすだったので、死んでもわらったりできませんでした。
and, as she could not think of anything to say, she simply bowed, and took the thimble, looking as solemn as she could.	そして、なにを言っていいか思いつかなかったので、ちょっとおじぎをしただけで、なるべくまじめくさったようすで、ゆびぬきをうけとりました。
The next thing was to eat the comfits:	つぎに、みんながキャンデーを食べるばんです。
this caused some noise and confusion,	これはかなりそうぞうしい混乱（こんらん）をひきおこしました。
as the large birds complained that they could not taste theirs, and the small ones choked and had to be patted onthe back.	おおきな鳥は、キャンデーが小さくてあじわえないともんくを言うし、小さな鳥はのどにキャンデーをつまらせて、せなかをたたいてもらわなくてはなりませんでした。
However, it was over at last, and they sat down again in a ring, and begged the Mouse to tell them something more.	でも、それがやっとおわって、みんなは輪になってすわり、ネズミになにかもっと話をしてくれ、とせがみます。
`You promised to tell me your history, you know,'	「ご自分の話をしてくれるっておっしゃってましたよね」
said Alice,	とアリス。
`and why it is you hate--C and D,'	「なぜ――『い』とか『ね』とかきらいなのかって」
she added in a whisper,	アリスはここのところはひそひそ声で言いました。
half afraid that it would be offended again.	またネズミが怒っちゃうんじゃないかと思ったからです。
`Mine is a long and a sad tale!'	「ぼくのは、ながくてかなしいお話なのです」
said the Mouse, turning to Alice, and sighing.	とネズミは、アリスのほうをむいてため息をつきました。
`It IS a long tail, certainly,	「たしかに、ながーい尾話（おはなし）ですねえ」
said Alice, looking down with wonder at the Mouse's tail;	とアリスはネズミの尾っぽを見おろしました。
`but why do you call it sad?'	「でも、どういうところがかなしいんですか」
And she kept on puzzling about it while the Mouse was speaking,  so that her idea of the tale was something like this:--	そして、ねずみがしゃべっているあいだも、それを考えてばかりいたので、アリスの頭のなかでは、お話はこんなかんじになりました。
`Fury said to a	「いえのなかで出く
mouse, That he	わした犬がねずみに
met in the	いうことにゃ「ふた
house,	りで裁判所にいこう、
"Let us	おまえを訴追して
both go to	やるからさ。――
--Come,	こいって、いやと
I'll take no	はいわせない、
denial; We	ぜひともこれは
must have a	裁判だ：だって
trial:  For	けさはおれほん
really this	となにもする
morning I've	ことないから」
Said the	ねずみ犬にこ
mouse to the	たえて言う
cur, "Such	には「だん
a trial,	さん、陪審
dear Sir,	も判事もい
With	ないそんな
no jury	裁判なぞ、
or judge,	するだけ息
would be	のむだです
wasting	がな」
"I'll be	れが判事で
judge, I'll	おれが陪審」
be jury,"	とずるい老犬。
Said	「おれが全
cunning	件さばき
old Fury:	つくし、
"I'll	きさまに
try the	死刑を
whole	宣告し
cause,	てくれる。」
and	「ちゃんときいてないな！」
said the Mouse to Alice severely.	とネズミは、きびしい調子でアリスに言いました。
`What are you thinking of?'	「なにを考えてる！」
`I beg your pardon,'	「あらもうしわけありません」
said Alice very humbly:	とアリスは、とってもれいぎ正しく言いました。
`you had got to the fifth bend, I think?'	「たしか、くねくねの五番目あたりまでおっしゃいましたっけ？」
`I had NOT!'	「そんなことはゆってないぞ」
cried the Mouse, sharply and very angrily.	とネズミは、怒ってきつい声でさけびます。
`A knot!'	「結（ゆ）ってない！」
said Alice, always ready to make herself useful, and looking anxiously about her.	アリスはいつでもおてつだいをしようとする子だったので、きょろきょろとあたりを見回しました。
`Oh, do let me help to undo it!'	「じゃああたしがやりますから！」
`I shall do nothing of the sort,'	「だれがそんなことするもんか」
said the Mouse, getting up and walking away.	とネズミはたちあがって、むこうに歩きだしました。
`You insult me by talking such nonsense!'	「ふざけたことばかりいって、ばかにしてる！」
`I didn't mean it!'	「そんなつもりじゃなかったんです！」
pleaded poor Alice.	とかわいそうなアリスはうったえました。
`But you're so easily offended, you know!'	「でも、あなたもそんな、すぐに怒らなくても！」
The Mouse only growled in reply.	ねずみはへんじがわりに、うなってみせただけでした。
`Please come back and finish your story!'	「もどってきて、お話を最後まできかせて！」
Alice called after it;	アリスはうしろからよびかけて、
and the others all joined in chorus,	ほかのみんなもそれに声をあわせました。
`Yes, please do!'	「うん、たのむよ！」
but the Mouse only shook its head impatiently, and walked a little quicker.	でも、ネズミは怒ったように首をふるだけで、もっと足ばやにいってしまいます。
`What a pity it wouldn't stay!'	「いっちゃうなんて、まあなんでしょうねえ！」
sighed the Lory, as soon as it was quite out of sight;	ねずみのすがたが、完全に見えなくなるとすぐ、インコがためいきをつきました。
and an old Crab took the opportunity of saying to her daughter	おばあちゃんガニが、ここぞとばかりにむすめにお説教です。
`Ah, my dear!	「ほらごらん、いい子ですからね、
Let this be a lesson to you never to lose YOUR temper!'	あなたはぜったいカッカしちゃだめよ！」
`Hold your tongue, Ma!' said the young Crab, a little snappishly.	すると若いカニが、ちょっときつくこたえます。「うっさいわね、母さん。
`You're enough to try the patience of an oyster!'	母さんにかかったら、しんぼうづよいカキでも頭にくるわよ！」
`I wish I had our Dinah here, I know I do!'	「ダイナがいたらいいのになあ、ぜったい」
said Alice aloud, addressing nobody in particular.	とアリスは、だれに言うともなく、声に出していいました。
`She'd soon fetch it back!'	「そしたらすぐにつれてきてくれるのに」
`And who is Dinah, if I might venture to ask the question?'	「そしてあえておたずねしてよろしければ、そのダイナとはどなたですかな？」
said the Lory.	とインコ。
Alice replied eagerly,	アリスはうれしそうにこたえました。
for she was always ready to talk about her pet:	自分のペットの話は、どんなときでもしたくてたまらなかったからです。
`Dinah's our cat.	「ダイナは、うちのねこなの。
And she's such a capital one for catching mice you can't think!	それで、ねずみとりのうでまえは、思いもよらないくらいにすごいんですよ！
And oh, I wish you could see her after the birds!	それと、小鳥をねらったときなんか、お見せしたいくらい！
Why, she'll eat a little bird as soon as look at it!'	小鳥なんて、見たしゅんかんにたべちゃうんです！」
This speech caused a remarkable sensation among the party.	この話で、一同は目に見えていろめきたちました。
Some of the birds hurried off at once:	すぐにあわててそこをはなれる鳥もいます。
one old Magpie began wrapping itself up very carefully, remarking,	おとしよりのカササギは、しんちょうにみづくろいをはじめてこう言います。
`I really must be getting home;	「そろそろ家にかえりませんとねえ。
the night-air doesn't suit my throat!'	夜風がどうも、のどにきついもんでして」
and a Canary called out in a trembling voice to its children,	そしてカナリアがふるえる声で、子どもたちによびかけます。
`Come away, my dears!	「ほらみんな、いらっしゃい！
It's high time you were all in bed!'	みんなとっくにおねむの時間よ！」
On various pretexts they all moved off, and Alice was soon left alone.	なんだかんだと口実をつけて、みんなどこかへいってしまい、やがてアリス一人がのこされてしまいました。
`I wish I hadn't mentioned Dinah!'	「ダイナのこと、いわなきゃよかった！」
she said to herself in a melancholy tone.	とアリスはゆううつにつぶやきました。
`Nobody seems to like her, down here,	「ここらだと、だれもあの子がすきじゃないみたい。
and I'm sure she's the best cat in the world!	ぜったいに世界で一番いいねこなのに！
Oh, my dear Dinah!	ああかわいいダイナ、
I wonder if I shall ever see you any more!'	もう二度とおまえに会えないんじゃないかしら」
And here poor Alice began to cry again,	そしてここで、かわいそうなアリスはまた泣き出しました。
for she felt very lonely and low-spirited.	とってもさびしくて、おちこんでいたからです。
In a little while, however, she again heard a little pattering of footsteps in the distance,	でもちょっとしたら、遠くのほうからピタピタいう小さな足音がきこえてきました。
and she looked up eagerly,	アリスはよろこんで顔をあげました。
half hoping that the Mouse had changed his mind, and was coming back to finish his story.	ネズミの気がかわって、おなはしを最後までしようとしてもどってきたのかな、とすこし思ったのです。
CHAPTER IV   The Rabbit Sends in a Little Bill	4. うさぎ、小さなビルをおくりこむ
It was the White Rabbit, trotting slowly back again, and looking anxiously about as it went,	それはあの白うさぎで、ゆっくりトコトコともどってきながら、困ったようにあたりを見まわしています。
as if it had lost something;	なにかなくしたみたいです。
and she heard it muttering to itself	そして、こうつぶやいているのがきこえました。
`The Duchess!	「公爵夫人が、
The Duchess!	公爵夫人が！
Oh my dear paws!	かわいい前足！
Oh my fur and whiskers!	毛皮やらひげやら！
She'll get me executed, as sure as ferrets are ferrets!	フェレットがフェレットであるくらい確実に、処刑されちゃうぞ！
Where CAN I have dropped them, I wonder?'	まったくいったいどこでおとしたのかなあ？」
Alice guessed in a moment that it was looking for the fan and the pair of white kid gloves, and she very good-naturedly began hunting about for them, but they were nowhere to be seen	アリスはすぐに、うさぎがさがしているのがせんすと白い子ヤギ皮の手ぶくろだとおもいついて、親切な子らしく自分もさがしはじめましたが、どこにも見あたりません
--everything seemed to have changed since her swim in the pool, and the great hall, with the glass table and the little door, had vanished completely.	――池での一泳ぎでなにもかもかわっちゃったみたいで、あのおっきなろうかは、ガラスのテーブルや小さなとびらともども、完全に消えうせていました。
Very soon the Rabbit noticed Alice, as she went hunting about, and called out to her in an angry tone,	さがしまわっていると、すぐにうさぎがアリスに気がついて、怒った声でこうよびかけました。
`Why, Mary Ann, what ARE you doing out here?	「おやメリーアン、おまえはいったい、こんなとこでなにしてる？
Run home this moment, and fetch me a pair of gloves and a fan! Quick, now!'	いますぐに家に走ってかえって、手ぶくろとせんすをとってこい！」
And Alice was so much frightened that she ran off at once in the direction it pointed to, without trying to explain the mistake it had made.	アリスはとってもこわかったので、すぐにうさぎの指さすほうにかけだして、人ちがいです、と説明したりはしませんでした。
`He took me for his housemaid,'	「女中とまちがえたのね」
she said to herself as she ran.	とはしりながらアリスは考えました。
`How surprised he'll be when he finds out who I am!	「あたしがだれだかわかったら、すごくおどろくだろうな！
But I'd better take him his fan and gloves	でもせんすと手ぶくろをとってこないと
--that is, if I can find them.'	――みつかれば、だけどね」
As she said this, she came upon a neat little house,	こう言ったときに、きれいな小さいおうちにやってきました。
on the door of which was a bright brass plate with the name `W. RABBIT' engraved upon it.	そのとびらには、ぴかぴかのしんちゅう板がかかっていて「しろうさぎ」という名前がほってありました。
She went in without knocking, and hurried upstairs,	ノックせずに中に入って、いそいで二かいへ急ぎました。
in great fear lest she should meet the real Mary Ann, and be turned out of the house before she had found the fan and gloves.	そうしないとほんもののメリーアンに出くわして、せんすと手ぶくろを見つけるまでに家から追い出されるんじゃないかと、すごくこわかったのです。
`How queer it seems,' Alice said to herself, `to be going messages for a rabbit!	「へんなの、うさぎのおつかいをしてるなんて！」
I suppose Dinah'll be sending me on messages next!'	「つぎはダイナにおつかいさせられるのかな！」
And she began fancying the sort of thing that would happen:	そしてアリスは、そうなったら何がおきるか想像をはじめました。
`"Miss Alice!	「『アリスおじょうさま！
Come here directly, and get ready for your walk!"	すぐにいらして、おさんぽのしたくをなさい！』
"Coming in a minute, nurse!	『すぐいく、保母さん！
But I've got to see that the mouse doesn't get out."	でもネズミがにげださないようにみはってないと』
Only I don't think,' Alice went on, `that they'd let Dinah stop in the house if it began ordering people about like that!'	でも、ダイナがそんなふうに人に命令しだしたら、おうちにいさせてもらえなくなると思うけど！」
By this time she had found her way into a tidy little	このころには、きちんとした小さな部屋にたどりついていました。
with a table in the window,	窓ぎわにテーブルがあって、
and on it (as she had hoped) a fan and two or three pairs of tiny white kid gloves:	そこに（思ったとおり）せんすと、小さな子ヤギ皮の手ぶくろが、二、三組おいてありました。
she took up the fan and a pair of the gloves, and was just going to leave the room, when her eye fell upon a little bottle that stood near the looking-glass.	せんすに手ぶくろを一組手にとって、部屋を出ようとしたちょうどそのとき、鏡の近くにたっている小さなびんが目にとまりました。
There was no label this time with the words `DRINK ME,' but nevertheless she uncorked it and put it to her lips.	こんどは「のんで」と書いてあるラベルはなかったのですが、それでもふたのコルクをとって、くちびるにあてました。
`I know SOMETHING interesting is sure to happen,' she said to herself, `whenever I eat or drink anything;	「なんでも食べたりのんだりすると、ぜったいなーんかおもしろいことがおきるんだな。
so I'll just see what this bottle does.	だから、このびんがなにをするか、ためしてみようっと。
I do hope it'll make me grow large again,	もっと大きくしてくれるといいんだけど。
for really I'm quite tired of being such a tiny little thing!'	こんなちっぽけでいるのは、もうすっかりあきちゃったもん」
It did so indeed,	たしかにそうなりました。
and much sooner than she had expected:	しかも思ったよりずっとはやく。
before she had drunk half the bottle, she found her head pressing against the ceiling, and had to stoop to save her neck from being broken.	びんの半分ものまないうちに、頭が天井におしつけられて、首がおれないようにするには、かがむしかありませんでした。
She hastily put down the bottle, saying to herself	アリスはすぐにびんをおいて、つぶやきます。
`That's quite enough	「もうこのくらいでたくさん
--I hope I shan't grow any more	――もうこれいじょうは大きくならないといいけど
--As it is, I can't get out at the door	――いまだってもう戸口から出られない
--I do wish I hadn't drunk quite so much!'	――あんなにのまなきゃよかった！」
Alas!	ざんねん！
it was too late to wish that!	そんなこといってもいまさらおそい！
She went on growing, and growing, and very soon had to kneel down on the floor:	アリスはどんどん大きく、もっと大きくなっていって、やがて床にひざをつくしかありません。
in another minute there was not even room for this, and she tried the effect of lying down with one elbow against the door, and the other arm curled round her head.	もう一分もすると、これでも場所がなくなってきて、片ひじをとびらにくっつけて、もう片うでは頭にまきつけて、よこになるみたいなかんじにしてみました。
Still she went on growing, and, as a last resource, she put one arm out of the window, and one foot up the chimney,	それでもまだ大きくなりつづけて、窓から片うでをだして、片足はえんとつにつっこみました。
and said to herself	そしてこうつぶやきます。
`Now I can do no more, whatever happens.	「もうこれで、なにがおきてもどうしようもないわ。
What WILL become of me?'	いったいどうなっちゃうんだろう？」
Luckily for Alice, the little magic bottle had now had its full effect, and she grew no larger:	アリスとしては運のいいことに、小さなまほうのびんは、もうききめがぜんぶ出つくして、それ以上は大きくなりませんでした。
still it was very uncomfortable, and, as there seemed to be no sort of chance of her ever getting out of the room again, no wonder she felt unhappy.	それでも、とてもいごこちは悪かったし、この部屋から二度と出られるみこみも、ぜったいになさそうだったので、アリスがあまりうれしくなかったのもあたりまえですね。
`It was much pleasanter at home,'	「おうちのほうがずっとよかったわ」
thought poor Alice,	かわいそうなアリスは考えました。
`when one wasn't always growing larger and smaller, and being ordered about by mice and rabbits.	「おっきくなったりちっちゃくなったりばっかしじゃなかったし、ネズミやうさぎにこきつかわれたりもしなかったし。
I almost wish I hadn't gone down that rabbit-hole--and yet--and yet--it's rather curious, you know, this sort of life!	あのうさぎの穴に入らなきゃよかったと思うほど――でも――でもね――ちょっとおもしろいわよね、こういう生き方って！
I do wonder what CAN have happened to me!	あたし、いったいどうしちゃったのかな、とか考えちゃうし！
When I used to read fairy-tales, I fancied that kind of thing never happened, and now here I am in the middle of one!	おとぎばなしをよんだときには、そういうことはおこらないんだと思ったけど、いまはこうしてそのまん中にいるんだ！
There ought to be a book written about me, that there ought!	あたしのことを本に書くべきよね、そうですとも！
And when I grow up, I'll write one	だから大きくなったら、あたしが書こうっと
--but I'm grown up now,'	――でも、いまもおっきくはなってるんだわ」
she added in a sorrowful tone;	とかなしそうにアリスはつけくわえました。
`at least there's no room to grow up any more HERE.'	「すくなくともここでは、これ以上大きくなるよゆうはないわね」
`But then,' thought Alice, `shall I NEVER get any older than I am now?	「でもそしたら、あたしはいまよりぜんぜん歳（とし）もとらないってこと？
That'll be a comfort, one way	それはある意味で、ほっとするわね
--never to be an old woman	――ぜったいにおばあちゃんにならないなんて
--but then	――でもすると
--always to have lessons to learn!	――いつもお勉強しなきゃいけないってこと？
Oh, I shouldn't like THAT!'	そんなのやーよ！」
`Oh, you foolish Alice!'	「ああ、アリスのおばかさん」
she answered herself.	とアリスは自分でへんじをしました。
`How can you learn lessons in here?	「ここでお勉強なんかできないでしょ。
Why, there's hardly room for YOU, and no room at all for any lesson-books!'	だって、あなた一人でもぎゅうぎゅうなのに、教科書のはいるとこなんか、ぜんぜんないわよ！」
And so she went on,	そしてアリスはそのままつづけました。
taking first one side and then the other, and making quite a conversation of it altogether;	まずは片側になってしゃべり、それからその相手になってしゃべり、なんだかんだでかなり会話をつづけました。
but after a few minutes she heard a voice outside, and stopped to listen.	でも何分かして、外で声がしたので、やめてきき耳をたてました。
`Mary Ann!	「メリーアン！
Mary Ann!'	メリーアン！
said the voice.  `Fetch me my gloves this moment!'	いますぐ手ぶくろをもってこい！」と声がいいます。
Then came a little pattering of feet on the stairs.	そしてぴたぴたと小さな足音が、階段できこえました。
Alice knew it was the Rabbit coming to look for her, and she trembled till she shook the house, quite forgetting that she was now about a thousand times as large as the Rabbit, and had no reason to be afraid of it.	うさぎがさがしにきたな、とわかったので、アリスはがたがたふるえて、それで家もゆれましたが、そこで自分がいまはうさぎの千倍も大きくて、ぜんぜんこわがらなくていいんだ、というのを思いだしました。
Presently the Rabbit came up to the door, and tried to open it;	すぐにうさぎが戸口にやってきて、それをあけようとしました。
but, as the door opened inwards, and Alice's elbow was pressed hard against it,	が、とびらは内がわにひらくようになっていて、アリスのひじがそれをしっかりおさえるかっこうになっていました。
that attempt proved a failure.	だもんで、やってもダメでした。
Alice heard it say to itself	アリスはうさぎがこうつぶやくのをききました。
`Then I'll go round and get in at the window.'	「じゃあまわりこんで、窓から入ってやる」
`THAT you won't'	「そうはさせないわよ」
thought Alice, and, after waiting till she fancied she heard the Rabbit just under the window, she suddenly spread out her hand, and made a snatch in the air.	とアリスは思って、音のかんじでうさぎが窓のすぐ下まできたな、と思ったときに、いきなり手をひろげて宙をつかみました。
She did not get hold of anything, but she heard a little shriek and a fall, and a crash of broken glass, from which she concluded that it was just possible it had fallen into a cucumber-frame, or something of the sort.	なにもつかめませんでしたが、小さなひめいが聞こえて、たおれる音がして、そしてガラスのわれる音がして、だからたぶん、うさぎはキュウリの温室（おんしつ）か、なんかそんなものの上にたおれたのかも、とアリスは思いました。
Next came an angry voice	つぎに怒った声がします
--the Rabbit's	――うさぎのです
--`Pat!	――「パット！
Pat!	パット！
Where are you?'	どこだ？」
And then a voice she had never heard before,	するとアリスのきいたことのない声が
`Sure then I'm here!	「へいへいこっちですよ！
Digging for apples, yer honour!'	リンゴほりしてまっせ、せんせい！」
`Digging for apples, indeed!'	「リンゴほり、がきいてあきれる！」
said the Rabbit angrily.	とうさぎは怒って言います。
`Here!	「こい！
Come and help me out of THIS!'	こっから出るのてつだってくれ！」
(Sounds of more broken glass.)	（もっとガラスのわれる音）
`Now tell me, Pat, what's that in the window?'	「さてパット、あの窓にいるのは、ありゃなんだね？」
`Sure, it's an arm, yer honour!'	「うでにきまってますがな、せんせい！」
(He pronounced it `arrum.')	（でもはつおんは、「しぇんしぇえ」だったけど）
`An arm, you goose!	「うでだと、このばか。
Who ever saw one that size?	あんなでかいうでがあるか！
Why, it fills the whole window!'	窓いっぱいほどもあるだろう！」
`Sure, it does, yer honour:	「そりゃそのとおりですけどね、せんせい、
but it's an arm for all that.'	でもうでにはちがいありませんや」
`Well, it's got no business there, at any rate:	「とにかく、あんなものがあそこにいちゃいかん。
go and take it away!'	おまえいって、どかしてこい！」
There was a long silence after this,	ここでみんな、ずっとだまってしまいました。
and Alice could only hear whispers now and then;	そしてきこえるのは、ときどきひそひそ声だけ。
such as, `Sure, I don't like it, yer honour, at all, at all!'	「うんにゃ、いやですよぅせんせい、だんじて、だんじて！」
`Do as I tell you, you coward!'	「いわれたとおりにせんか、このおくびょうものめが！」
and at last she spread out her hand again, and made another snatch in the air.	そしてアリスはついにまた手をひろげて、もう一回宙をつかんでみました。
This time there were TWO little shrieks, and more sounds of broken glass.	こんどは、小さなひめいが二つあがって、またガラスのわれる音がしました。
`What a number of cucumber-frames there must be!'	「ここらへんって、キュウリの温室（おんしつ）だらけなのねぇ」
thought Alice.	とアリスは思いました。
`I wonder what they'll do next!	「さて、こんどはどうするつもりかしら？
As for pulling me out of the window, I only wish they COULD!	窓からひっぱり出すつもりなら、ほんとにそれでうまくいけばいいんだけど。
I'm sure I don't want to stay in here any longer!'	だってあたしだってもうここにはいたくないんだもん！」
She waited for some time without hearing anything more:	しばらくは、なにもきこえないまま、まっていました。
at last came a rumbling of little cartwheels, and the sound of a good many voices all talking together:	やっと、小さな手おし車がたくさんガタガタいう音がきこえて、話しあっているたくさんの声がします。
she made out the words:	ききとれたことばはこんなふうです。
`Where's the other ladder?	「もいっこのはしごはどこだ？
--Why, I hadn't to bring but one;	――え、おれはかたっぽもってきただけだよ
Bill's got the other	／もいっこはビルだ
--Bill!	――ビル！
fetch it here, lad!	ここにもってこいって、ぼうず！
--Here, put 'em up at this corner	――ほれ、こっちのかどに立てるんだよ
--No, tie 'em together first	――バカ、まずゆわえんだって
--they don't reach half high enough yet	――そんだけじゃ半分しかとどかねえ
--Oh!	――よーし！
they'll do well enough;	それでなんとかなるっしょ
don't be particular	／おい、なんかいったか
--Here, Bill! catch hold of this rope	――ほれビル、ロープのこっちのはしっこつかまえてくれ
--Will the roof bear?	――屋根がもつかなあ
--Mind that loose slate	――そこ、屋根石がゆるんでるから
--Oh, it's coming down!	――ほーら落ちた！
Heads below!'	ふせろ！」
(a loud crash)	（おっきなガシャンという音）
--`Now, who did that?	――「おい、いまのだれがやった？
--It was Bill, I fancy	――ビルだと思うね
--Who's to go down the chimney?	――だれがえんとつから入る？
--Nay, I shan't!	――えー、おれはいやだよ！
YOU do it!	おまえやれって！
--That I won't, then!	――えー、おれやですぅ
--Bill's to go down	――ビルにいかせましょう
--Here, Bill!	――おいビル！
the master says you're to go down the chimney!'	親分が、おまえにえんとつ入れって！」
`Oh!	「あらそう！
So Bill's got to come down the chimney, has he?'	じゃあビルはえんとつから入ってこなきゃならないってわけ？へえ、そうなんだ！」
said Alice to herself.	とアリスはつぶやきました。
`Shy, they seem to put everything upon Bill!	「まったく、みんななんでもビルにおしつけるのね。
I wouldn't be in Bill's place for a good deal:	あたしなら、どうあってもビルの身にはなりたくないなあ。
this fireplace is narrow, to be sure;	このだんろはたしかにせまいけどでも、
but I THINK I can kick a little!'	ちょっとはけっとばせるんじゃないかなー！」
She drew her foot as far down the chimney as she could, and waited till she heard a little animal	アリスがえんとつの足をできるだけ下までおろしてまっていると、小さな動物
(she couldn't guess of what sort it was)	（どんな動物かはわかりませんでした）
scratching and scrambling about in the chimney close above her:	が、えんとつのすぐ上のところで、カサコソとうごくのがきこえました。
then, saying to herself	そこでアリスはこう思いました。
`This is Bill,'	「これがビルね」
she gave one sharp kick, and waited to see what would happen next.	そしてするどく一発けりを入れて、どうなるかまちかまえました。
The first thing she heard was a general chorus of	最初にきこえたのは、みんながいっせいに合唱する声です。
`There goes Bill!'	「ビルがあがったあがったぁ！」
then the Rabbit's voice along	そしてうさぎの声がそこでしました
--`Catch him, you by the hedge!'	――「おい、キャッチしろ、しげみんとこのおまえ！」
then silence, and then another confusion of voices	そしてしずかになって、それから口々に声がきこえます
--`Hold up his head	――「頭をもちあげろ
--Brandy now	――ブランデーだ
--Don't choke him	――息をつまらせるな
--How was it, old fellow?	――どうだった、ぼうず！
What happened to you?	なにがあった？
Tell us all about it!'	なにもかも話してみろ！」
Last came a little feeble, squeaking voice,	最後に、よわよわしい小さな、キイキイ声がきこえました
(`That's Bill,'	（「あれがビルね」
thought Alice,)	とアリスは思いました）
`Well, I hardly know	「ええ、ぜんぜんわかんないんっすけど
--No more, thank ye;	――いやもうけっこう、どうも。
I'm better now	もうだいじょうぶっす
--but I'm a deal too flustered to tell you	――でもちょいと目がまわっちまって話どころじゃ
--all I know is, something comes at me like a Jack-in-the-box, and up I goes like a sky-rocket!'	――わかったのは、なんかがビックリばこみたいにせまってきて、それでおいら、ロケットみたいにビューン、でして！」
`So you did, old fellow!'	「いやはやあんた、まったくそのとおりだねえ」
said the others.	とみんな。
`We must burn the house down!'	「これは家に火をつけるしかないぞ！」
said the Rabbit's voice;	とうさぎの声がいいました。
and Alice called out as loud as she could,	そこでアリスはおもいっきり声をはりあげました。
`If you do.	「そんなことをしたら、
I'll set Dinah at you!'	ダイナをけしかけてやるから！」
There was a dead silence instantly, and Alice thought to herself,	すぐに死んだみたいにしずかになったので、アリスは考えました。
`I wonder what they WILL do next!	「つぎはいったいなにをする気かしら！
If they had any sense, they'd take the roof off.'	ちょっとでも頭があれば、屋根をはずすはずだけど」
After a minute or two, they began moving about again, and Alice heard the Rabbit say,	一分かそこらで、また一同は動きまわりはじめ、うさぎの声がきこえました。
`A barrowful will do, to begin with.'	「手おし車いっぱいくらいでいいな、手はじめに」
`A barrowful of WHAT?'	「手おし車いっぱいのなんなの？」
thought Alice;	とアリスは思いました。
but she had not long to doubt,	でも、すぐにわかることになりました。
for the next moment a shower of little pebbles came rattling in at the window, and some of them hit her in the face.	というのも、つぎのしゅんかんに、小石が雨あられと窓からとびこんできて、いくつか顔にあたったのです。
`I'll put a stop to this,'	「やめさせてやるわ」
she said to herself, and shouted out,	とアリスはつぶやいて、どなりました。
`You'd better not do that again!'	「あんたたち、二度とやったらしょうちしないわよ！」
which produced another dead silence.	するとまた、死んだようにしずかになりました。
Alice noticed with some surprise that the pebbles were all turning into little cakes as they lay on the floor,	その小石が床にころがると、みんなケーキにかわっていったので、アリスはちょっとおどろきました。
and a bright idea came into her head.	そしてすばらしいアイデアがひらめきました。
`If I eat one of these cakes,' she thought, `it's sure to make SOME change in my size;	「このケーキをひとつ食べれば、まちがいなく大きさがかわるはずよ。
and as it can't possibly make me larger, it must make me smaller, I suppose.'	それでこれ以上はぜったいおっきくなれないから、かならず小さくなる、と思う」
So she swallowed one of the cakes, and was delighted to find that she began shrinking directly.	そこでケーキを一つのみこんでみると、すぐにちぢみだしたので、アリスはおおよろこびでした。
As soon as she was small enough to get through the door, she ran out of the house,	とびらをとおれるくらい小さくなると、すぐに走ってそのおうちを出ました。
and found quite a crowd of little animals and birds waiting outside.	外では、小さな動物や鳥たちがかなりたくさんまちかまえていました。
The poor little Lizard, Bill, was in the middle, being held up by two guinea-pigs, who were giving it something out of a bottle.	かわいそうな小トカゲのビルが、そのまん中にいて、それを介抱（かいほう）しているモルモット二ひきの手で、びんからなにかをのませてもらっています。
They all made a rush at Alice the moment she appeared;	みんな、アリスがあらわれたとたんに、いっせいにかけよってきました。
but she ran off as hard as she could, and soon found herself safe in a thick wood.	でもアリスはおもいっきり走って、やがて深い森にはいったのでひとまず安心。
`The first thing I've got to do,' said Alice to herself, as she wandered about in the wood, `is to grow to my right size again;	「まずやんなきゃいけないのは、もとの大きさにもどることね」
and the second thing is to find my way into that lovely garden.	「そして二ばんめに、あのきれいなお庭へのいきかたを見つけることよ。
I think that will be the best plan.'	それが一番いい計画だわ」
It sounded an excellent plan, no doubt, and very neatly and simply arranged;	たしかに、すばらしい計画なのはまちがいないですし、とっても単純明快（たんじゅんめいかい）です。
the only difficulty was, that she had not the smallest idea how to set about it;	ただし一つだけ困ったことに、どこから手をつけていいやら、さっぱり見当もつかなかったのです。
and while she was peering about anxiously among the trees, a little sharp bark just over her head made her look up in a great hurry.	そしてそうやって木の間を不安そうにのぞいていると、小さくてするどいほえ声がして、アリスはあわてて上を見ました。
An enormous puppy was looking down at her with large round eyes, and feebly stretching out one paw, trying to touch her.	きょだいなワンちゃんが、おっきなまるい目でこっちをみおろし、まえ足をかたっぽ、おずおずとさしのべて、アリスにさわろうとしています。
`Poor little thing!'	「まあかわいそうに」
