Aesop's Fables	タウンゼント版イソップ寓話集
At last the Goatherd threw a stone,	とうとう、ヤギ飼は、ヤギに向かって石を投げつけた。
and breaking its horn,	すると、石がヤギの角に当たって角が折れてしまった。
begged the Goat not to tell his master.	ヤギ飼いは、どうか、このことは主人には内緒にしてくれと、ヤギに頼んだ。
The Goat replied,	すると、ヤギはこう答えた。
"Why, you silly fellow, the horn will speak though I be silent."	「あなたは、どうかしていますよ、私が黙っていようとも、この角が黙っていますまい」
Do not attempt to hide things which cannot be hid.	一目で分かるようなものを隠そうとしても無駄である。
The Miser	３８．守銭奴
A MISER sold all that he had and bought a lump of gold,	金にうるさい男が、全財産を売り飛ばし、それを金塊に変えた。
which he buried in a hole in the ground by the side of an old wall and went to look at daily.	彼は、金塊を古塀の脇の畑に埋めると、毎日見に行った。
One of his workmen observed his frequent visits to the spot and decided to watch his movements.	しかし、彼がしょっちゅうそこへ行くのを、使用人の一人が不審に思い、何をしているのか、探りを入れた。
He soon discovered the secret of the hidden treasure, and digging down, came to the lump of gold, and stole it.	使用人は、すぐに宝が隠してあるのを嗅ぎ当てると、そこを掘り返し、金塊を盗んでしまった。
The Miser, on his next visit, found the hole empty and began to tear his hair and to make loud lamentations.	守銭奴は、金塊が盗まれたことに気付くと、髪の毛を掻きむしり、大声で泣きわめいた。
A neighbor, seeing him overcome with grief and learning the cause, said,	隣に住む人が、泣きわめく彼を見て、事の次第を見て取ると、こんな風に言った。
"Pray do not grieve so;	「お前さん、そんなに悲しむことはありませんよ。
but go and take a stone,	何処かで石でも拾ってらっしゃい。
and place it in the hole, and fancy that the gold is still lying there.	そしてそれを金塊だと思ってお埋めなさい。
It will do you quite the same service;	……どのみち、お前さんにとっては、同じことですからね」
for when the gold was there, you had it not, as you did not make the slightest use of it."	使わなければ、持ってないのも同じ。
The Sick Lion	３９．病気のライオン
A LION, unable from old age and infirmities to provide himself with food by force, resolved to do so by artifice.	寄る年波には勝てずに衰えて、力では獲物を獲れなくなったライオンが、策略によって獲物を獲ることにした。
He returned to his den, and lying down there, pretended to be sick,	彼は洞穴に横たわって、病気の振りをした。
taking care that his sickness should be publicly known.	そして自分が病気であることが、世間に知れ渡るようにと画策した。
The beasts expressed their sorrow, and came one by one to his den,	獣たちは、悲しみを伝えようと、一匹づつ、洞穴へとやって来た。
where the Lion devoured them.	すると、ライオンは、やって来た獣たちを、片っ端からむさぼり食った。
After many of the beasts had thus disappeared,	こうして、多くの獣たちが姿を消した。
the Fox discovered the trick and presenting himself to the Lion, stood on the outside of the cave, at a respectful distance, and asked him how he was.	キツネはこのカラクリに気付き、ライオンのところへやって来ると、洞穴の外に立ち、うやうやしく、ライオンの加減を尋ねた。
"I am very middling,"	「どうもよくない」
replied the Lion,	ライオンはこう答えると、更にこう言った。
"but why do you stand without?	「ところで、なぜ、お前は、そんな所に立っているのだ？
Pray enter within to talk with me."	話が聞こえるように、中に入ってこい」
"No, thank you," said the Fox.	するとキツネがこう答えた。
"I notice that there are many prints of feet entering your cave, but I see no trace of any returning."	「だって、洞窟の中へ入って行く足跡は、たくさんあるのに、出てくる足跡が、一つも見あたらないんですもの」
He is wise who is warned by the misfortunes of others.	他人の災難は、人を賢くする。
The Horse and Groom	４０．ウマと別当
A GROOM used to spend whole days in currycombing and rubbing down his Horse,	別当は、日がな一日、馬を櫛ですいてやったり、擦ってやったりしていた。
but at the same time stole his oats and sold them for his own profit.	しかし、同時に、餌の大麦を盗んでは売り飛ばし、自分の懐を肥やしていた。
"Alas!" said the Horse,	馬はこのことに気付いてこう言った。
"if you really wish me to be in good condition, you should groom me less, and feed me more."	「もし、私に元気でいてもらいたいなら、手入れは程々でよいですから、もっと食糧を下さい」
The Ass and the Lapdog	４１．ロバと愛玩犬
A MAN had an Ass, and a Maltese Lapdog, a very great beauty.	ある男が、マルタ種の小イヌと、ロバを飼っていた。
The Lapdog knew many tricks and was a great favorite with his master,	小イヌは、芸がたくさん出来たので、主人に大変可愛がられた。
The Ass, on the contrary, had much work to do in grinding the corn-mill and in carrying wood from the forest or burdens from the farm.	一方ロバは他の仲間と同じように、大麦や干し草を十分に与えられてはいたが、臼を曳いたり、森から木を運んだり、農場から荷物を運んだりと、大変こき使われていた。
He often lamented his own hard fate and contrasted it with the luxury and idleness of the Lapdog,	ロバは、小イヌの、優雅で安逸な暮らしぶりを羨み、自分の境遇を嘆いてばかりいた。
till at last one day he broke his cords and halter, and galloped into his master's house,	ある日のこと、ついに、ロバは、手綱やはづなを引き裂いて、ギャロップしながら、主人の家へと向かった。
kicking up his heels without measure, and frisking and fawning as well as he could.	そして加減も知らずに、蹄で戸を蹴破ると、家の中に入り込み、めいいっぱいはしゃいだ。
He next tried to jump about his master as he had seen the Lapdog do,	そして、イヌの真似をして、主人の周りを跳ね回った。
but he broke the table and smashed all the dishes upon it to atoms.	すると、その勢いでテーブルは壊れ、皿は木っ端微塵に砕け散った。
He then attempted to lick his master, and jumped upon his back.	そしてお次は主人をなめ回し、背中にじゃれて跳び乗った。
The servants, hearing the strange hubbub and perceiving the danger of their master, quickly relieved him, and drove out the Ass to his stable with kicks and clubs and cuffs.	使用人たちは、この騒動を聞きつけて、主人の一大事と、飛んで来ると、……ロバを蹴飛ばし、棒で叩き、平手打ちを喰らわせて、厩舎へたたき込んだ。
The Ass, as he returned to his stall beaten nearly to death, thus lamented:	自分の馬房に戻され、死ぬほど打ち据えられたロバは、こんな風に嘆いた。
"I have brought it all on myself!	「ああ、なんてことだ、これも皆自業自得だ。
Why could I not have been contented to labor with my companions,	おいらは、なぜ、仲間と一緒に、仕事に精を出さなかったんだろう？
and not wish to be idle all the day like that useless little Lapdog!"	あの役立たずの小イヌのように、一日中安逸をむさぼろうなど、土台無理な話だったのだ！」
The Lioness	４２．牝のライオン
A CONTROVERSY prevailed among the beasts of the field as to which of the animals deserved the most credit for producing the greatest number of whelps at a birth.	子供を一番多く産むことのできるのは誰か？というような論争が、野に棲む獣たちの間に持ち上がった。
They rushed clamorously into the presence of the Lioness and demanded of her the settlement of the dispute.	獣たちは、論争に決着をつけてもらおうと、牝のライオンのところへ、がやがやと押し掛けて行った。
"And you,"	「……ライオンさんは、一度に何人の子供をお産みになります？」
they said,	獣たちが牝のライオンに尋ねた。
The Lioness laughed at them, and said:	すると彼女は、笑いながらこう答えた。
"Why!	「なぜそんなことを気にするのです？
I have only one;	私はたった一匹しか産みませんよ。
but that one is altogether a thoroughbred Lion."	でも、その子は、間違いなくライオンの子ですよ」
The value is in the worth, not in the number.	量より質
The Boasting Traveler	４３．旅先での出来事を自慢話する五種競技の選手
A MAN who had traveled in foreign lands boasted very much, on returning to his own country, of the many wonderful and heroic feats he had performed in the different places he had visited.	よその国々を旅してきた五種競技の選手が、故郷に帰って来て、彼の国々で行った、数々の英雄的な偉業について、いたく自慢した。
Among other things, he said that when he was at Rhodes he had leaped to such a distance that no man of his day could leap anywhere near him as to that, there were in Rhodes many persons who saw him do it and whom he could call as witnesses.	とりわけ、ロードス島では、大変なジャンプを行い、その距離は、かつて、些かでもその近くまで跳躍した者がいないという程の大ジャンプで、……ロードス島には、その偉業を見届け、証人となってくれる者も大勢いる。
One of the bystanders interrupted him, saying:	すると、側で聞いていた一人の男が、彼の話を遮って、こんなことを言った。
"Now, my good man, if this be all true there is no need of witnesses.	「よし分かった、英雄さんよ、もしその話が本当なら、証人などいらない。
Suppose this to be Rhodes,	さあ、ここがロードスだ。
and leap for us."	ここで跳べ！」
The Cat and the Cock	４４．ネコとオンドリ
A CAT caught a Cock,	ネコがオンドリを捕まえた。
and pondered how he might find a reasonable excuse for eating him.	そして、このニワトリを食べるのに、なにかもっともらしい理由はないかと考えた。
He accused him of being a nuisance to men by crowing in the nighttime and not permitting them to sleep.	そこで、ネコは、オンドリに、お前は、夜、うるさく鳴いて、人の眠りを妨げる。
The Cock defended himself by saying that he did this for the benefit of men, that they might rise in time for their labors.	すると、オンドリは、自分が鳴くのは、人が仕事に遅れないように、起こすためで、それは、人の為めなのだ。
The Cat replied,	すると猫はこう言った。
"Although you abound in specious apologies, I shall not remain supperless";	「もっともらしい言い訳はいくらでも出てくるだろうが、だが、俺様は、夕食抜きでいるつもりはないんでね……」
and he made a meal of him.	ネコはそう言うと、夕食に取りかかった。
The Piglet, the Sheep, and the Goat	４５．仔ブタとヤギとヒツジ
A YOUNG PIG was shut up in a fold-yard with a Goat and a Sheep.	仔ブタが、ヤギとヒツジと共に、柵の中に閉じこめられた。
On one occasion when the shepherd laid hold of him,	ある時、ヒツジ飼が仔ブタを捕まえようとおさえつけた。
he grunted and squeaked and resisted violently.	すると、仔ブタは、ブヒブヒ喚き散らし、激しく抵抗した。
The Sheep and the Goat complained of his distressing cries, saying,	ヒツジとヤギは、その喚き声にうんざりして、文句を言った。
"He often handles us, and we do not cry out."	「我々もしょっちゅう、彼に捕まえられるけど、そんなに泣き喚いたりしないよ。」
To this the Pig replied,	すると、仔ブタが言った。
"Your handling and mine are very different things.	「あんたらと、僕とでは、事情が違うよ。
He catches you only for your wool, or your milk, but he lays hold on me for my very life."	……彼があんたらを捕まえるのは、毛やお乳をとるためだけど、僕をおさえつけるのは、肉をとるためなんだから！」
The Boy and the Filberts	４６．少年とハシバミの実
A BOY put his hand into a pitcher full of filberts.	少年は、ハシバミの実がたくさん入った壷に手を突っ込み、
He grasped as many as he could possibly hold,	つかめるだけつかんだ。
but when he tried to pull out his hand, he was prevented from doing so by the neck of the pitcher.	しかし、壷から手を抜こうとして、途中で手が引っかかり、抜けなくなってしまった。
Unwilling to lose his filberts, and yet unable to withdraw his hand, he burst into tears and bitterly lamented his disappointment.	それでも、少年は、ハシバミの実を諦めようとはせずに渋っていたので、依然手は抜けぬまま、……少年は、涙を流して身の不幸を嘆いた。
A bystander said to him,	すると、側にいた人がこう言った。
"Be satisfied with half the quantity,	「半分で我慢しなさい。
and you will readily draw out your hand."	そうすれば、すぐに抜ける」
Do not attempt too much at once.	一度に、欲張るな！
The Lion in Love	４７．恋をしたライオン
A LION demanded the daughter of a woodcutter in marriage.	ライオンが、樵の娘に恋をして、結婚を申し込んだ。
The Father, unwilling to grant, and yet afraid to refuse his request,	父親は、ライオンになど娘をやりたくなかったのだが、怖くて断れなかった。
hit upon this expedient to rid himself of his importunities.	と、彼は、ふと、名案が浮かんだ。
that he should allow him to extract his teeth, and cut off his claws, as his daughter was fearfully afraid of both.	彼はライオンに、娘が恐がるといけないので、牙を抜き、爪を切るようにと言ったのだ。
The Lion cheerfully assented to the proposal.	ライオンは、二つ返事で承知した。
But when the toothless, clawless Lion returned to repeat his request, the Woodman, no longer afraid,	ライオンが、牙を抜き爪を切って戻って来た時、樵は、もうライオンを恐れなかった。
set upon him with his club, and drove him away into the forest.	彼は、こん棒をふるって、ライオンを森へと追いやった。
The Laborer and the Snake	４８．人とヘビ
A SNAKE, having made his hole close to the porch of a cottage,	ある家の庭先に、ヘビの穴があった。
inflicted a mortal bite on the Cottager's infant son.	そして、そのヘビはその家の子供を噛んで殺してしまった。
Grieving over his loss, the Father resolved to kill the Snake.	父親は、子供の死を悲しみ、ヘビへの復讐を誓った。
The next day, when it came out of its hole for food, he took up his axe,	翌日、ヘビが餌を獲りに穴から這い出して来ると、彼は斧を握りしめ、ヘビめがけて、振り下ろした。
but by swinging too hastily, missed its head and cut off only the end of its tail.	しかし、慌てていたため、ねらいが外れ、しっぽを切っただけで、頭を真っ二つにすることは出来なかった。
After some time the Cottager, afraid that the Snake would bite him also, endeavored to make peace, and placed some bread and salt in the hole.	その後しばらくして、男は、自分もまたヘビに噛まれてしまうのではないかと恐れ、ヘビの穴に、パンと塩を置いて、仲直りをしようとした。
The Snake, slightly hissing, said:	ヘビは、シュルシュルと舌を鳴らして、こんなことを言った。
"There can henceforth be no peace between us;	「我々は、仲直りなどできない。
for whenever I see you I shall remember the loss of my tail, and whenever you see me you will be thinking of the death of your son."	……私は、あなたを見れば、尻尾を無くしたことを思い出すだろうし、あなただって、私を見れば、子供の死を思い出すだろうから……」
No one truly forgets injuries	傷を負わされた者は、決してその痛みを忘れない。
in the presence of him who caused the injury.	特にその仇が目の前にいる時には……。
The Wolf in Sheep's Clothing	４９．ヒツジの皮をかぶったオオカミ
ONCE UPON A TIME a Wolf resolved to disguise his appearance in order to secure food more easily.	昔、あるオオカミは、餌を楽して獲ろうと、ヒツジの皮を被って変装した。
Encased in the skin of a sheep, he pastured with the flock deceiving the shepherd by his costume.	そして、ヒツジ飼の目をすり抜けて、牧場の中へと潜り込んだ。
In the evening he was shut up by the shepherd in the fold; the gate was closed, and the entrance made thoroughly secure.	夕方、ヒツジ飼は、オオカミに気付くことなく、牧場の扉をしっかりと閉ざして帰って行った。
But the shepherd, returning to the fold during the night to obtain meat for the next day,	ところが、その夜の内に、ヒツジ飼が、翌日の食糧を確保しようと戻ってきた。
mistakenly caught up the Wolf instead of a sheep, and killed him instantly.	そして、オオカミはヒツジと間違えられて殺された。
Harm seek.  harm find.	悪の栄えたためしなし。
The Ass and the Mule	５０．ロバとラバ
A MULETEER set forth on a journey, driving before him an Ass and a Mule, both well laden.	ある馬方が、ロバとラバにたくさんの荷を積んで後ろから追っていた。
The Ass, as long as he traveled along the plain, carried his load with ease, but when he began to ascend the steep path of the mountain, felt his load to be more than he could bear.	ロバは、平らな道では、苦もなく運んだが、山にさしかかり、急な坂道を登り始めると、重荷に耐えられなくなった。
He entreated his companion to relieve him of a small portion, that he might carry home the rest;	そこで、ロバは相方に、少しでよいから、荷物を肩代わりしてくれるようにと頼んだ。
but the Mule paid no attention to the request.	……と、しかしラバは取り合おうともしなかった。
The Ass shortly afterwards fell down dead under his burden.	その後すぐに、ロバは、地面に崩れ落ち、荷の下で息絶えた。
Not knowing what else to do in so wild a region, the Muleteer placed upon the Mule the load carried by the Ass in addition to his own, and at the top of all placed the hide of the Ass, after he had skinned him.	山奥のことなので、馬方は他にしようがなく、ラバの荷物に、今までロバが運んでいた荷物を載せ、さらに、ロバの皮を剥ぐと、それを、一番上に積んだ。
The Mule, groaning beneath his heavy burden, said to himself:	ラバは、重い荷物に喘いで、一人ごちた。
"I am treated according to my deserts.	「これも、自業自得というものだ。
If I had only been willing to assist the Ass a little in his need, I should not now be bearing,	もし、あの時、ロバのちょっとした願いを聞いてやっていたら、こんなことにはならなかったのに……。
together with his burden, himself as well."	それにしても、まさか、奴のことまで、背負う羽目になるとは……」
The Frogs Asking for a King	５１．王様を求めるカエルたち
THE FROGS, grieved at having no established Ruler, sent ambassadors to Jupiter entreating for a King.	カエルたちは、自分たちに、支配者がいないのを悲しんで、ジュピター神に使者を送り、王様を賜りたいとお願いした。
Perceiving their simplicity, he cast down a huge log into the lake.	ジュピター神は、カエルたちが馬鹿なのを知っていたので、太い丸太を池に落としてやった。
The Frogs were terrified at the splash occasioned by its fall and hid themselves in the depths of the pool.	カエルたちは、その水しぶきにびっくりして、池の深みに隠れた。
But as soon as they realized that the huge log was motionless, they swam again to the top of the water, dismissed their fears, climbed up, and began squatting on it in contempt.	しかし、彼らは、丸太が動かないことに気付くと、水面に出てきて、今まで怯えていたのも忘れて、丸太の王様に上がり馬鹿にして座り込んだ。
After some time they began to think themselves ill-treated in the appointment of so inert a Ruler, and sent a second deputation to Jupiter to pray that he would set over them another sovereign.	しばらくすると、カエルたちは、こんな、動かない王様を戴いているのは、こけんに関わると思い、ジュピター神に、二番目の使者を送って、別な王様を戴きたいとお願いした。
He then gave them an Eel to govern them.	そこでジュピター神は、支配者として、ウナギを使わした。
When the Frogs discovered his easy good nature, they sent yet a third time to Jupiter to beg him to choose for them still another King.	しかし、カエルたちは、ウナギの御しやすい性質を見て取ると、三度目の使節を送って、またしても、別な王様を与えてくれるようにとお願いした。
Jupiter, displeased with all their complaints, sent a Heron,	ジュピター神は、カエルの度重なる申し立てに、腹を立て、今度は、サギを送り込んだ。
who preyed upon the Frogs day by day till there were none left to croak upon the lake.	サギは、来る日も来る日もカエルを捕らえて食べたので、池には、クレロ・クレロと鳴いて不平を言う者は、一匹もいなくなった。
The Boys and the Frogs	５２．少年たちとカエルたち
SOME BOYS, playing near a pond, saw a number of Frogs in the water and began to pelt them with stones.	男の子たちは、池の近くで遊んでいたのだが、池に、カエルの群を見つけると、石を投げつけて、
They killed several of them,	何匹か殺した。
when one of the Frogs, lifting his head out of the water, cried out:	すると、一匹のカエルが水の中から顔を出して叫んだ。
"Pray stop, my boys:	「子供たちよ、止めるのだ。
what is sport to you, is death to us."	君たちが戯れでやっていることは、我々の命に関わることなのだ」
The Sick Stag	５３．病気のシカ
A SICK STAG lay down in a quiet corner of its pasture-ground.	病気のシカが、静かな、草原の片隅で横になっていた。
His companions came in great numbers to inquire after his health, and each one helped himself to a share of the food which had been placed for his use;	そこへ、病気の見舞いと称して、仲間が大挙して押し掛け、蓄えておいた、食糧を食い荒らした。
so that he died,	それからまもなくして、シカは死んだ。
not from his sickness, but from the failure of the means of living.	死因は、餓死だった。
Evil companions bring more hurt than profit.	悪い仲間は、利益よりも被害をもたらす。
The Salt Merchant and His Ass	５４．塩商人とロバ
A PEDDLER drove his Ass to the seashore to buy salt.	ある行商人が、塩の買い付けをするために、ロバを後ろから追って海岸へと向かった。
His road home lay across a stream	商いも無事終わり、商人は宿へ帰ろうと、とある小川にさしかかった。
into which his Ass, making a false step, fell by accident	と、その時、ロバが、何かに躓いて、川へ落っこちた。
and rose up again with his load considerably lighter, as the water melted the sack.	ロバが起きあがった時、塩は水に溶け、荷は軽くなっていた。
The Peddler retraced his steps and refilled his panniers with a larger quantity of salt than before.	商人は引き返し、前よりもたくさんの塩を袋に詰め込んだ。
When he came again to the stream,	それから、また、先ほどの小川までやって来た。
the Ass fell down on purpose in the same spot,	すると、今度は、ロバはわざと倒れた。
and, regaining his feet with the weight of his load much diminished, brayed triumphantly as if he had obtained what he desired.	そして、荷物が軽くなるのを見計らって起きあがり、してやったりと、いなないた。
The Peddler saw through his trick and drove him for the third time to the coast, where he bought a cargo of sponges instead of salt.	商人は、ロバの計略を見て取ると、またもや、海岸へと引き返し、今度は、塩の代わりに海綿を買い付けた。
The Ass, again playing the fool, fell down on purpose when he reached the stream,	ロバは、流れにさしかかると、今度もわざと倒れた。
but the sponges became swollen with water, greatly increasing his load.	しかし、海綿は水を吸って膨らみ、
And thus his trick recoiled on him, for he now carried on his back a double burden.	今度は、倍の重さの荷を背負う羽目になった。
The Oxen and the Butchers	５５．牡ウシたちと肉屋
THE OXEN once upon a time sought to destroy the Butchers,	むかしのこと、牡ウシたちは、肉屋がこの世からいなくなればよいと考えた。
who practiced a trade destructive to their race.	と言うのも、肉屋は、ウシたちを殺戮することを生業としているからだ。
They assembled on a certain day to carry out their purpose, and sharpened their horns for the contest.	牡ウシたちは、日時を示し合わせて集結すると、戦を前に、角の手入れに余念がなかった。
But one of them who was exceedingly old	しかし、彼らの中に、大変年老いたウシがいた。
(for many a field had he plowed) thus spoke:	彼は長年畑を耕してきたのだが、そんな彼がこんなことを言った。
"These Butchers, it is true, slaughter us,	「肉屋が、我々を殺すのは紛れもない事実だ。
but they do so with skillful hands, and with no unnecessary pain.	しかし、彼らは手慣れている。
If we get rid of them, we shall fall into the hands of unskillful operators, and thus suffer a double death:	もし、彼らを抹殺してしまったら、我々は、未熟な者の手に落ち、倍の苦しみを味わいながら死ぬことになるだろう。
for you may be assured, that though all the Butchers should perish, yet will men never want beef."	……肉屋がいなくなっても、人間は牛肉を食べるのをやめぬだろうからな……」
Do not be in a hurry to change one evil for another.	悪を取り除こうとして、別な悪を招来しては何にもならない。
The Lion, the Mouse, and the Fox	５６．ライオンとネズミとキツネ
A LION, fatigued by the heat of a summer's day, fell fast asleep in his den.	夏のある日、ライオンは、暑さにやられて、穴蔵で、眠りほうけていた。
A Mouse ran over his mane and ears and woke him from his slumbers.	すると、一匹のネズミがたてがみや、耳を駆けのぼり、彼の眠りを妨げた。
He rose up and shook himself in great wrath, and searched every corner of his den to find the Mouse.	ライオンは、起きあがると怒りで身を震わせ、そして、ネズミを見つけようと、穴の隅々を探しまわった。
A Fox seeing him said:	それを見ていたキツネが言った。
"A fine Lion you are, to be frightened of a Mouse."	「あなたのような立派な方が、ネズミ一匹を恐れるとは……」
"'Tis not the Mouse I fear,"	するとライオンがこう答えた。
said the Lion;	「私は、ネズミを恐れたのではない。
"I resent his familiarity and ill-breeding."	奴の、不作法な振る舞に腹が立ったのだ！」
Little liberties are great offenses.	ちょっとした不作法が、相手には、大変な不快と感じられることがある。
The Vain Jackdaw	５７．虚飾で彩られたカラス
JUPITER DETERMINED, it is said, to create a sovereign over the birds, and made proclamation that on a certain day they should all present themselves before him, when he would himself choose the most beautiful among them to be king.	ある、言い伝えによると、ジュピター神は、鳥たちの王様を決めようとしたことがあったそうだ。
The Jackdaw, knowing his own ugliness, searched through the woods and fields, and collected the feathers which had fallen from the wings of his companions, and stuck them in all parts of his body, hoping thereby to make himself the most beautiful of all.	カラスは自分が醜いことを知っていたので、美しく装うために、野や森を見てまわり、他の鳥たちが落とした羽を拾い集め、身体中に貼りつけた。
When the appointed day arrived, and the birds had assembled before Jupiter,	約束の日、鳥たちはジュピター神の前に集まった。
the Jackdaw also made his appearance in his many feathered finery.	そして、色とりどりの羽で着飾ったカラスも姿を見せた。
But when Jupiter proposed to make him king because of the beauty of his plumage,	ジュピター神は、カラスの羽が美しいので、彼を、王様にしようとした。
the birds indignantly protested, and each plucked from him his own feathers,	すると、鳥たちは、憤然と異議を申し立て、それぞれ自分の羽をカラスから引き抜いた。
leaving the Jackdaw nothing but a Jackdaw.	結局、カラスに残されたのは、自分自身の羽だけだった。
The Goatherd and the Wild Goats	５８．ヤギ飼と野生のヤギ
A GOATHERD, driving his flock from their pasture at eventide, found some Wild Goats mingled among them,	夕暮れ時、ヤギ飼が、ヤギの群を放牧地から移動させていると、群の中に野生のヤギが混ざっていることに気が付いた。
and shut them up together with his own for the night.	そこで、彼は、野生のヤギたちを、自分の群と一緒に、囲いの中に入れておくことにした。
The next day it snowed very hard, so that he could not take the herd to their usual feeding places, but was obliged to keep them in the fold.	翌日、雪が激しく降り、ヤギ飼は、ヤギたちをいつもの牧草地へ連れて行く事ができずに、やむなく、群を囲いの中に留めておいた。
He gave his own goats just sufficient food to keep them alive, but fed the strangers more abundantly	そして、彼は、自分のヤギには、飢え死にしない程度にしか餌を与えなかったが、新参者たちには、たくさん餌を与えた。
in the hope of enticing them to stay with him and of making them his own.	と、いうのも、こうすれば、彼らをうまく手なずけられるのではないかと考えたからだった。
When the thaw set in, he led them all out to feed,	翌日、雪が溶けはじめると、ヤギ飼は、ヤギたちを牧草地へと連れて行った。
and the Wild Goats scampered away as fast as they could to the mountains.	ところが、野生のヤギたちは、一目散に山の奥へと逃げて行った。
The Goatherd scolded them for their ingratitude in leaving him, when during the storm he had taken more care of them than of his own herd.	彼は、逃げて行くヤギたちに向かって、吹雪の時に、自分のヤギに倍して、あんなに世話をしてやったのに、逃げて行くとは、なんと恩知らずなんだと叫んだ。
One of them, turning about, said to him:	すると、一匹がくるりと振り向いてこんな事を言った。
"That is the very reason why we are so cautious;	「我々が、こんなに用心するのは、そこなんですよ。
for if you yesterday treated us better than the Goats you have had so long,	あなたは、長年慣れ親しんだヤギたちよりも、我々を大切にした。
it is plain also that if others came after us, you would in the same manner prefer them to ourselves."	ということは、もし、我々の後に、また別の者がやってきたら、あなたは、同じように、新しい方を大切にするでしょうからね……」
Old friends cannot with impunity be sacrificed for new ones.	新しい友人のために、古くからの友人を裏切る者は、その報いを必ず受ける。
The Mischievous Dog	５９．人を噛むイヌ
A DOG used to run up quietly to the heels of everyone he met, and to bite them without notice.	そのイヌは、人を見ると、気付かれぬように、そおっと駆け寄り、背後から踵をガブリと噛んだ。
His master suspended a bell about his neck so that the Dog might give notice of his presence wherever he went.	こんなことをしょっちゅうしたもので、飼い主は、イヌの首に鈴をつけた。
Thinking it a mark of distinction, the Dog grew proud of his bell and went tinkling it all over the marketplace.	イヌは、この鈴を栄誉の印だと思い、誇らし気に、市場をリンリン鳴らして練り歩いた。
One day an old hound said to him:	すると、年老いたイヌが、彼に言った。
Why do you make such an exhibition of yourself?	「お前は、なぜ、そんな恥さらしな真似をしているんだね。
That bell that you carry is not, believe me, any order of merit,	いいかね、お前のつけているその鈴は、何の価値もないんだよ。
but on the contrary a mark of disgrace, a public notice to all men to avoid you as an ill mannered dog."	それどころか、噛む癖のある奴が来るのを知らせるための不名誉の印さ！」
Notoriety is often mistaken for fame.	悪名は、しばしば名声と勘違いされる。
The Fox Who Had Lost His Tail	６０．尻尾をなくしたキツネ
A FOX caught in a trap escaped, but in so doing lost his tail.	あるキツネが、罠に掛かり、なんとか逃げおおすことは出来たのだが、その時に尻尾を失った。
Thereafter, feeling his life a burden from the shame	それ以来、キツネは、嘲笑の恥辱にまみれて苦しんだ。
and ridicule to which he was exposed, he schemed to convince all the other Foxes that being tailless was much more attractive, thus making up for his own deprivation.	そこで、彼は、尻尾のないことをなんとか繕うために、一計を巡らせた。
He assembled a good many Foxes and publicly advised them to cut off their tails, saying that they would not only look much better without them, but that they would get rid of the weight of the brush, which was a very great inconvenience.	キツネは、仲間を集めると、役に立たない尻尾などない方が見場は善いし、それに身軽になれると言って、皆も、尻尾を切るようにと勧めた。
One of them interrupting him said,	すると、一匹のキツネがこう言った。
"If you had not yourself lost your tail, my friend, you would not thus counsel us."	「君も、尻尾を失うようなことがなかったら、我々を説得しようなどとは考えなかっただろうにね……」
The Boy and the Nettles	６１．少年とイラクサ
A BOY was stung by a Nettle.	ある男の子が、イラクサの棘を手に刺し、
He ran home and told his Mother, saying,	家へと飛んで帰り、母親にこんなことを言った。
"Although it hurts me very much, I only touched it gently."	「イラクサったら、そおっと触っただけなのに、僕を刺すんだよ」
"That was just why it stung you,"	すると母親が言った。
said his Mother.	「いいかい坊や、イラクサが刺したのは、そおっと触ったからなんだよ。
"The next time you touch a Nettle, grasp it boldly,	……次は、思いっきりつかんでご覧。
and it will be soft as silk to your hand, and not in the least hurt you."	そうすれば、ちっとも刺すようなことはないし、それどころか、絹のように滑らかなはずだから……」
Whatever you do, do with all your might.	どんなことにも、死力を尽くせ。
The Man and His Two Sweethearts	６２．男と二人の恋人
A MIDDLE-AGED MAN, whose hair had begun to turn gray, courted two women at the same time.	白髪がちらほら見え始めた、中年男が、同時に二人の女に言い寄った。
One of them was young, and the other well advanced in years.	一方は若く、もう一方は、渋皮の剥けた年増女だった。
The elder woman, ashamed to be courted by a man younger than herself, made a point, whenever her admirer visited her, to pull out some portion of his black hairs.	年増女は、自分より若い男に、言い寄られたのが恥ずかしく、男が訪れるたびに、黒い毛をごっそり抜いた。
The younger, on the contrary, not wishing to become the wife of an old man, was equally zealous in removing every gray hair she could find.	一方若い女は、年寄りの妻にはなりたくないと、白髪を見つけ次第、片っ端から抜いていった。
Thus it came to pass that between them both he very soon found that he had not a hair left on his head.	こうして、二人に毛を抜かれた男は、あっという間にツルっ禿。
Those who seek to please everybody please nobody.	あっちを立てればこっちが立たず。
The Astronomer	６３．天文学者
AN ASTRONOMER used to go out at night to observe the stars.	ある天文学者は、夜になるとしょっちゅう、星を観測しに郊外へと出かけて行った。
One evening, as he wandered through the suburbs with his whole attention fixed on the sky, he fell accidentally into a deep well.	ある晩、彼は、星に気を取られていて、誤って深い井戸に落ちてしまった。
While he lamented and bewailed his sores and bruises,	彼は、打ち身や切り傷をつくって、悲鳴を上げた。
and cried loudly for help, a neighbor ran to the well,	その声を聞きつけて、近所の人が井戸へと飛んできた。
and learning what had happened said:	そして何が起きたのかを知ると、こんな事を言った。
