The Wizard of Oz	オズの魔法使い
It never hurt him, however, and Dorothy would pick him up and set him upon his feet again, while he joined her in laughing merrily at his own mishap.	でもそれでけがをしたりはしないので、ドロシーが抱え上げてまた両足で立たせて、そして二人でかかしのへまぶりを陽気に笑うのでした。
The farms were not nearly so well cared for here as they were farther back.	このあたりでは、畑もさっきほどはきちんと手入れがされていません。
There were fewer houses and fewer fruit trees, and the farther they went the more dismal and lonesome the country became.	家も少なく、果樹も少なく、先に進むにつれてあたりは陰気で寂しくなってきました。
At noon they sat down by the roadside, near a little brook, and Dorothy opened her basket and got out some bread.	お昼になると、二人は道ばたに腰をおろし、ドロシーはバスケットを開けてパンを取り出しました。
She offered a piece to the Scarecrow, but he refused.	一切れかかしに進めましたが、断られました。
"I am never hungry,"	「ぼくは決しておなかがすかないんだよ。
"and it is a lucky thing I am not,	そしてそれは運がよかった。
for my mouth is only painted, and if I should cut a hole in it so I could eat, the straw I am stuffed with would come out, and that would spoil the shape of my head."	だってぼくの口は描いてあるだけだから、食べられるように穴をあけたら中につまったわらが出てきて、頭の形が台無しになっちゃうだろう」
Dorothy saw at once that this was true, so she only nodded and went on eating her bread.	ドロシーはすぐに、かかしの言う通りなのを理解しましたので、うなずいただけで自分のパンを食べ続けました。
"Tell me something about yourself and the country you came from,"	「きみのことを話してよ、それときみの国のことも」
said the Scarecrow, when she had finished her dinner.	ドロシーが食事を終えるとかかしは言いました。
So she told him all about Kansas,	そこで、カンザスの話をしてあげました。
and how gray everything was there, and how the cyclone had carried her to this queer Land of Oz.	そこでは何もかも灰色で、竜巻がこの不思議なオズの土地へと自分を運んできたことも。
The Scarecrow listened carefully, and said,	かかしは一心に耳を傾けてこう言いました。
"I cannot understand why you should wish to leave this beautiful country and go back to the dry, gray place you call Kansas."	「どうしてきみがこの美しい国を離れて、そのカンザスとかいう乾燥した灰色の場所に戻りたいのかわかんないな」
"That is because you have no brains"	「それはあなたに脳みそがないからよ」
answered the girl.	とドロシーは言いました。
"No matter how dreary and gray our homes are, we people of flesh and blood would rather live there than in any other country, be it ever so beautiful.	「家がどんなに陰気で灰色でも、血と肉でできたあたしたち人間は、他のどんなにきれいなところよりもカンザスで暮らしたいのよ。
There is no place like home."	おうちほどすてきな場所はないんだから」
The Scarecrow sighed.	かかしはため息をつきました。
"Of course I cannot understand it,"	「もちろんぼくにはわからないよ。
"If your heads were stuffed with straw, like mine, you would probably all live in the beautiful places, and then Kansas would have no people at all.	きみたちの頭もぼくみたいにわらがつまっていたら、たぶんみんな美しいところに住むことになって、カンザスにはだれもいなくなるだろうね。
It is fortunate for Kansas that you have brains."	カンザスとしては、きみたちが脳みそを持っていてくれてありがたいことだね」
"Won't you tell me a story, while we are resting?"	「せっかく休んでいるんだから、あなたもお話をしてくれないかしら？」
asked the child.	と子供は頼みました。
The Scarecrow looked at her reproachfully, and answered:	かかしはとがめるようにドロシーを見つめてから答えました。
"My life has been so short that I really know nothing whatever.	「ぼくの一生は短すぎるから、ぼくは何一つ知らないんだよ。
I was only made day before yesterday.	作られたのはほんのおとといだからね。
What happened in the world before that time is all unknown to me.	その前にこの世で何が起きたかは、ぼくはぜんぜん知らない。
Luckily, when the farmer made my head, one of the first things he did was to paint my ears,	運のいいことに、お百姓さんがぼくを作ったときに、真っ先にやったのは耳を描くことだったんだ。
so that I heard what was going on.	だから何がおきているか聞くことはできた。
There was another Munchkin with him, and the first thing I heard was the farmer saying,	もう一人別のマンチキンがいて、真っ先に聞こえたのはお百姓さんのこんなせりふだったんだ。
`How do you like those ears?'	『この耳はどう思う？』
"`They aren't straight,'"	『ゆがんでるじゃないかよ』
answered the other.	ともう一人のマンチキン。
"`Never mind,'"	するともう一人が
said the farmer.	『別にかまわんよ。
"`They are ears just the same,'"	耳は耳だ』
which was true enough.	それはその通りだね。
"`Now I'll make the eyes,'"	『じゃあこんどは目だ』
said the farmer.	とお百姓さん。
So he painted my right eye, and as soon as it was finished I found myself looking at him and at everything around me with a great deal of curiosity,	そして右目を描いたんだけど、それが完成すると同時に、ぼくは大いに好奇心をもって、お百姓さんや身の回りすべてのものを眺めていたんだ。
for this was my first glimpse of the world.	というのも、この世界を見るのはこれが初めてだったからだよ。
"`That's a rather pretty eye,'"	『なかなかきれいな目だな』
remarked the Munchkin who was watching the farmer.	とお百姓さんの様子をみていたマンチキンが言った。
"`Blue paint is just the color for eyes.'	『青ペンキは目の色としてはばっちりだ』
"`I think I'll make the other a little bigger,'"	『もう片方の目はもっと大きくしよう』
said the farmer.	と百姓さんは言って、
And when the second eye was done I could see much better than before.	二番目の目ができたときには、前よりずっとよく見えるようになった。
Then he made my nose and my mouth.	それから鼻と口を描いたんだ。
But I did not speak,	でもぼくはしゃべらなかった。
because at that time I didn't know what a mouth was for.	というのも、そのときには口が何のためにあるか知らなかったんだよ。
I had the fun of watching them make my body and my arms and legs;	二人がぼくの身体や腕や脚を作るところを眺めるのは楽しかったなあ。
and when they fastened on my head, at last, I felt very proud,	そして最後に頭をくっつけたときには、とても誇らしい気分だったよ。
for I thought I was just as good a man as anyone.	自分が他のだれにも負けないいっぱしの人になれたと思ったからね。
"`This fellow will scare the crows fast enough,'	『こいつならすぐにカラスどもを脅かしてくれるぞ。
said the farmer.	人間そっくりじゃないか』
`He looks just like a man.'	とお百姓さん。
"`Why, he is a man,'	『うん、まさに人間だ』
said the other, and I quite agreed with him.	と相手が言って、ぼくもまったく同意見だった。
The farmer carried me under his arm to the cornfield, and set me up on a tall stick,	お百姓さんはぼくを脇に抱えてトウモロコシ畑に連れ出して、高い棒の上にのせたんだ。
where you found me.	きみが見つけてくれた場所だよ。
He and his friend soon after walked away and left me alone.	それからお百姓さんは友だちとどこかへ行って、ぼく一人をあとに残していったんだ。
"I did not like to be deserted this way.	こんな具合に一人にされるのはいやだったので、
So I tried to walk after them.	二人の後を歩いて追いかけようとしたけれど、
But my feet would not touch the ground, and I was forced to stay on that pole.	足が地面に届かなくてだめだったので、あのさおの上にいるしかなかった。
It was a lonely life to lead, for I had nothing to think of, having been made such a little while before.	さびしい人生だったよ、というのも作られたばかりだったから、何も考えることがなかったし。
Many crows and other birds flew into the cornfield,	カラスなんかの鳥がトウモロコシ畑に飛んできた。
but as soon as they saw me they flew away again, thinking I was a Munchkin;	でもぼくを見たとたんに、ぼくがマンチキンだと思って飛び去った。
and this pleased me and made me feel that I was quite an important person.	これは嬉しかったよ、自分がなかなか重要人物みたいな気持ちになれたからね。
By and by an old crow flew near me, and after looking at me carefully he perched upon my shoulder and said:	そのうち年寄りカラスが近くに飛んできて、ぼくを注意深く眺めてから、肩にとまってこう言ったんだ。
"`I wonder if that farmer thought to fool me in this clumsy manner.	『あの百姓は、わしをこんなまぬけなやりかたでだませるつもりだったのかね。
Any crow of sense could see that you are only stuffed with straw.'	気の利くカラスならだれでも、おまえがわらをつめただけなのはすぐわかる』
Then he hopped down at my feet and ate all the corn he wanted.	そしてぼくの足下に飛び降りると、好きなだけトウモロコシを食べた。
The other birds, seeing he was not harmed by me, came to eat the corn too, so in a short time there was a great flock of them about me.	他の鳥も、カラスがぼくにやられないのを見て、みんなトウモロコシを食べにきたので、すぐにぼくのまわりには大きな群れが集まった。
"I felt sad at this,	これは悲しかったよ。
for it showed I was not such a good Scarecrow after all;	自分が実はあまりいいカラスじゃないってことだったから。
but the old crow comforted me, saying,	でも年寄りカラスはぼくをなぐさめてくれたんだ。
`If you only had brains in your head you would be as good a man as any of them,	『おまえのおつむに脳みそさえあれば、他のだれにも負けないくらいのいっぱしの人になれるんだがね。
and a better man than some of them.	そうなりゃ一部の連中よりましにさえなるだろうよ。
Brains are the only things worth having in this world, no matter whether one is a crow or a man.'	カラスだろうと人だろうと、この世で持つ価値があるものといったら脳みそだけだよ』
"After the crows had gone I thought this over, and decided I would try hard to get some brains.	カラスがいなくなると、ぼくはこれをよく考えてみて、なんとかして脳みそを手に入れようと思ったんだ。
By good luck you came along and pulled me off the stake, and from what you say I am sure the Great Oz will give me brains as soon as we get to the Emerald City."	運のいいことにきみが通りかかって、棒から引っ張りおろしてくれたし、きみの話だとえらいオズはエメラルドの都についたらすぐに脳みそをくれるにちがいない」
"I hope so,"	「そうだといいわよねえ。
said Dorothy earnestly,	そんなに脳みそがほしいんですもんね」
"since you seem anxious to have them."	とドロシーは心から言いました。
"Oh, yes; I am anxious,"	「うん、ほしくてたまらないんだよ。
returned the Scarecrow.	自分がバカだと思うのはとっても心持ちが悪いんだ」
"It is such an uncomfortable feeling to know one is a fool."	とかかしは答えます。
"Well," said the girl, "let us go."	「それなら、いきましょう」
And she handed the basket to the Scarecrow.	とドロシーはバスケットをかかしにわたしました。
There were no fences at all by the roadside now, and the land was rough and untilled.	いまはもう道の両側には柵もなく、土地も荒れて畑になっていませんでした。
Toward evening they came to a great forest,	夜が近づくと大きな森にやってきました。
where the trees grew so big and close together that their branches met over the road of yellow brick.	木がとても大きく密生しているので、枝だが黄色いれんがの道の上でくっついています。
It was almost dark under the trees, for the branches shut out the daylight;	枝だが日光を遮るので、木の下はほとんど真っ暗でした。
but the travelers did not stop, and went on into the forest.	でも旅人たちは立ち止まることなく、森の中に入っていきました。
"If this road goes in, it must come out,"	「入った道はどこかで出るはずだよ」
said the Scarecrow,	とかかしは言いました。
"and as the Emerald City is at the other end of the road, we must go wherever it leads us."	「そしてエメラルドの都はこの道のつきあたりにあるんだから、どこへでもこの道をたどっていかないとね」
"Anyone would know that,"	「そんなのだれでもわかるわ」
said Dorothy.	とドロシー。
"Certainly;	「もちろん。
that is why I know it,"	だからぼくにもわかったんだよ。
returned the Scarecrow.	脳みそを使わないと思いつけないようなことなら、ぼくには絶対にいえなかっただろうよ」
"If it required brains to figure it out, I never should have said it."	とかかしが答えました。
After an hour or so the light faded away, and they found themselves stumbling along in the darkness.	一時間ほどして光がなくなると、ふたりはあちこちつまづきながら、真っ暗な中を進んでいきました。
Dorothy could not see at all, but Toto could,	ドロシーには何も見えませんでしたが、トトには見えました。
for some dogs see very well in the dark;	というのも犬はとても夜目がきくのです。
and the Scarecrow declared he could see as well as by day.	そしてかかしは昼間と同じくらいよく見えると主張しました。
So she took hold of his arm and managed to get along fairly well.	そこでドロシーはかかしのうでにつかまって、なかなか上手に先を進んだのです。
"If you see any house, or any place where we can pass the night," she said, "you must tell me; 	「家とか、一夜をすごせそうな場所を見つけたら絶対に教えてね。
for it is very uncomfortable walking in the dark."	暗い中を歩くのはとても不安だから」
Soon after the Scarecrow stopped.	やがてかかしは足を止めました。
"I see a little cottage at the right of us,"	「右手に小さな小屋があるよ。
"built of logs and branches.	丸太や枝だでできてる。
Shall we go there?"	入ってみようか？」
"Yes, indeed,"	「ええ是非。
"I am all tired out."	もうくたくたよ」
So the Scarecrow led her through the trees until they reached the cottage, and Dorothy entered and found a bed of dried leaves in one corner.	そこでかかしは、ドロシーを連れて木の間をぬけて小屋にたどりつき、そこに入ると片隅に乾いた葉っぱでできたベッドがありました。
She lay down at once, and with Toto beside her soon fell into a sound sleep.	ドロシーはすぐにそこに横たわり、トトをかたわらに、すぐにぐっすり寝てしまいました。
The Scarecrow, who was never tired, stood up in another corner and waited patiently until morning came.	疲れを知らないかかしは、別の隅に立ったまま、朝がくるのを辛抱強く待ちました。
5.  The Rescue of the Tin Woodman	5　ブリキの木こりの救出
When Dorothy awoke the sun was shining through the trees and Toto had long been out chasing birds around him and squirrels.	ドロシーが目を覚ますと、木の間からお日様がかがやいていて、トトはとっくに起きて鳥やリスを追いかけていました。
Scarecrow, still standing patiently in his corner, waiting for her.	かかしはしんぼうづよく自分の隅に立って、ドロシーを待っていました。
"We must go and search for water,"	「水をさがしにいかないと」
she said to him.	とドロシーはかかしにいいました。
"Why do you want water?"	「水って、なんのために？」
he asked.	とかかし。
"To wash my face clean after the dust of the road, and to drink, so the dry bread will not stick in my throat."	「道中のほこりを顔からきれいに洗い流すのと、乾いたパンがのどにくっつかないように飲むためよ」
"It must be inconvenient to be made of flesh,"	「肉でできてるってのは不便だねえ」
said the Scarecrow thoughtfully,	とかかしは考え深そうに言いました。
"for you must sleep, and eat and drink.	「寝なきゃいけないし、食べたり飲んだりしなきゃいけないんだもの。
However, you have brains, and it is worth a lot of bother to be able to think properly."	でも、きみには脳みそがあるから、きちんと考えられるんならそれなりの苦労をするかいもあるんだろうね」
They left the cottage and walked through the trees until they found a little spring of clear water,	二人は小屋をあとにして森の中を歩き、澄んだ水の小さな泉を見つけました。
where Dorothy drank and bathed and ate her breakfast.	ドロシーはそこで水を飲み、水浴びをして朝ご飯を食べました。
She saw there was not much bread left in the basket, and the girl was thankful the Scarecrow did not have to eat anything,	バスケットのパンは残り少なかったので、かかしが何も食べないのはありがたいなと思いました。
for there was scarcely enough for herself and Toto for the day.	というのも、自分とトトの分だけで今日一日もつくらいしか残っていなかったのです。
When she had finished her meal, and was about to go back to the road of yellow brick, she was startled to hear a deep groan near by.	ご飯を終えて、黄色いれんがの道に戻ろうとしたとき、近くで大きなうめき声がしたので、ドロシーはとびあがりました。
"What was that?"	「いまのは何？」
she asked timidly.	とびくびくしてドロシーはたずねます。
"I cannot imagine,"	かかしは答えました。
replied the Scarecrow;	「想像もつかないけど、調べにいこうか」
Just then another groan reached their ears,	ちょうどそのとき、もう一度うめき声がしました。
and the sound seemed to come from behind them.	音は後ろからきているようでした。
They turned and walked through the forest a few steps, when Dorothy discovered something shining in a ray of sunshine that fell between the trees.	そこでふりむいて、森の中に一歩、二歩と入ってみたところ、ドロシーは木の間に落ちるお日様の光で輝くものを見つけたのです。
She ran to the place and then stopped short, with a little cry of surprise.	そこに向かってかけだしましたが、手前のところでおどろきの声をあげて立ち止まってしまいました。
One of the big trees had been partly chopped through, and standing beside it, with an uplifted axe in his hands, was a man made entirely of tin.	大きな木が一本、途中まで切られていて、その隣には斧を振り上げたままの姿で、全身ブリキでできた男の人が立っていたのです。
His head and arms and legs were jointed upon his body, but he stood perfectly motionless, as if he could not stir at all.	頭と腕と脚は胴体に関節でつながっていましたが、まったく身動きせずに立ちつくし、少しも動けないかのようです。
Dorothy looked at him in amazement,	ドロシーはあぜんとしてそれを見つめました。
and so did the Scarecrow,	かかしもです。
while Toto barked sharply and made a snap at the tin legs, which hurt his teeth.	トトは鋭く吠えて、ブリキの脚にかみつきましたが、歯をいためてしまいました。
"Did you groan?"	「あなた、うめきましたか？」
asked Dorothy.	とドロシーはきいてみました。
"Yes,"	「はい」
answered the tin man,	とブリキの男は答えます。
"I did.	「うめきました。
I've been groaning for more than a year, and no one has ever heard me before or come to help me."	一年以上もうめきつづけているんですが、これまでだれもききつけてくれないし、助けにもきてくれなかったんです」
"What can I do for you?"	「何かお手伝いしましょうか？」
she inquired softly,	とドロシーはそっとたずねました。
for she was moved by the sad voice in which the man spoke.	その人の悲しそうな声に胸を動かされたからです。
"Get an oil-can and oil my joints,"	「油のカンを取ってきて、関節に油を差してください。
"They are rusted so badly that I cannot move them at all;	ひどく錆びてしまって、少しも動かせないんです。
if I am well oiled I shall soon be all right again.	きちんと油をさせば、すぐに元通りになりますから。
You will find an oil-can on a shelf in my cottage."	油のカンは、わたしの小屋のたなにあります」
Dorothy at once ran back to the cottage and found the oil-can, and then she returned and asked anxiously,	ドロシーはすぐに小屋にかけもどって油のカンを見つけ、ブリキの男のところに戻って、心配そうにたずねました。
"Where are your joints?"	「関節はどこにあるの？」
"Oil my neck, first,"	「まずは首をお願いしますよ」
replied the Tin Woodman.	とブリキの木こり。
So she oiled it,	そこでドロシーが油をさしました。
and as it was quite badly rusted the Scarecrow took hold of the tin head and moved it gently from side to side until it worked freely,	そしてひどくさびていたので、かかしがブリキの頭をつかんで、ゆっくり左右に動かしてあげて、やがて首は自由に動くようになりました。
and then the man could turn it himself.	するとブリキの木こりは、自分で首が動かせるようになったのです。
"Now oil the joints in my arms,"	「こんどはうでの関節をお願い」
he said.	と言われて、
And Dorothy oiled them and the Scarecrow bent them carefully until they were quite free from rust and as good as new.	ドロシーはうでに油をさし、かかしが気をつけながらそれを曲げたり伸ばしたりしてあげると、さびが完全に取れて、新品同様になりました。
The Tin Woodman gave a sigh of satisfaction and lowered his axe, which he leaned against the tree.	ブリキの木こりは満足そうなため息をついて斧をおろし、木にたてかけました。
"This is a great comfort,"	「いやあ、いい気分だ。
"I have been holding that axe in the air ever since I rusted, and I'm glad to be able to put it down at last.	さびついてからずっとあの斧をふりあげていたので、やっとおろせてありがたい。
Now, if you will oil the joints of my legs, I shall be all right once more."	さて今度はあしの関節に油を差していただけたら、もう全部だいじょうぶになりますよ」
So they oiled his legs until he could move them freely;	そこでみんなはあしにも油をさして自由に動けるようにしてあげました。
and he thanked them again and again for his release,	ブリキの木こりは助けてもらったことに何度も何度もお礼を申しました。
for he seemed a very polite creature, and very grateful.	とても礼儀正しくて、とてもよろこんでいるようです。
"I might have stood there always if you had not come along,"	「みなさんが通りかからなかったら、いつまでもあそこに立っていたでしょうよ。
"so you have certainly saved my life.	だからお二人はまちがいなく命の恩人です。
How did you happen to be here?"	どうしてこんなところへ？」
"We are on our way to the Emerald City to see the Great Oz,"	「エメラルドの都へ、えらいオズに会いにいくところよ。
she answered,	あなたの小屋で夜明かしをしたんです」
"and we stopped at your cottage to pass the night."	とドロシー。
"Why do you wish to see Oz?"	「どうしてオズに会おうなどと？」
he asked.	とブリキの木こり。
"I want him to send me back to Kansas,	「あたしはカンザスに送り返してほしいから。
and the Scarecrow wants him to put a few brains into his head,"	そしてかかしは頭に少し脳みそを入れてほしいのよ」
she replied.	とドロシーは答えました。
The Tin Woodman appeared to think deeply for a moment.	ブリキの木こりは、しばらく深く考えこみました。
Then he said:	そしてこう言いました。
"Do you suppose Oz could give me a heart?"	「オズはわたしに心をくれるでしょうか？」
"Why, I guess so,"	「あら、くれるんじゃないかしら。
Dorothy answered.	かかしに脳みそをあげるのと同じくらい簡単なはずよ」
"It would be as easy as to give the Scarecrow brains."	とドロシー。
"True,"	「確かに」
the Tin Woodman returned.	とブリキの木こりが答えました。
"So, if you will allow me to join your party, I will also go to the Emerald City and ask Oz to help me."	「それなら、もし一行に加えていただけるのでしたら、わたしもエメラルドの都にいって、オズに助けてもらいましょう」
"Come along,"	「いっしょにおいでよ」
said the Scarecrow heartily,	とかかしは真心こめていいました。
and Dorothy added that she would be pleased to have his company.	そしてドロシーも、いっしょにきてくれれば大歓迎だと言い添えました。
So the Tin Woodman shouldered his axe and they all passed through the forest until they came to the road that was paved with yellow brick.	そこでブリキの木こりは斧を肩にかついで、みんなで森をぬけて、黄色いれんがを敷いた道にやってきました。
The Tin Woodman had asked Dorothy to put the oil-can in her basket.	ブリキの木こりは、油のカンをバスケットに入れておいてくれるように頼みました。
"For," he said, "if I should get caught in the rain, and rust again, I would need the oil-can badly."	「また雨にふられてさびてしまったら、油のカンがどうしてもいりますから」
It was a bit of good luck to have their new comrade join the party,	新しい仲間が加わったのはなかなか運のいいことでした。
for soon after they had begun their journey again they came to a place where the trees and branches grew so thick over the road that the travelers could not pass.	というのも、旅を再開して間もなく、木や枝だが路上にあまりにびっしり茂って通れないところにさしかかったからです。
But the Tin Woodman set to work with his axe and chopped so well that soon he cleared a passage for the entire party.	でもブリキの木こりはすぐに斧をふるって上手にきりひらいたので、やがて全員が通れるくらいの通路ができました。
Dorothy was thinking so earnestly as they walked along that she did not notice when the Scarecrow stumbled into a hole and rolled over to the side of the road.	ドロシーは歩きながら一心に考えごとをしていたので、かかしが穴にころがり落ちて、道のわきに転がってしまったのにも気がつきませんでした。
Indeed he was obliged to call to her to help him up again.	かかしは、助けてくれとドロシーに呼びかけなくてはなりませんでした。
"Why didn't you walk around the hole?"	「穴をよけて通ればよかったのではありませんか？」
asked the Tin Woodman.	とブリキの木こりはたずねました。
"I don't know enough,"	「そこまで頭がよくないんだよ」
replied the Scarecrow cheerfully.	とかかしは上機嫌で言います。
"My head is stuffed with straw, you know,	「ほら、頭にわらが詰まっているだろ。
and that is why I am going to Oz to ask him for some brains."	だからオズにいって、脳みそをくださいと頼むんだよ」
"Oh, I see,"	ブリキの木こりは言いました。
said the Tin Woodman.	「ああなるほど。
"But, after all, brains are not the best things in the world."	でも結局のところ、脳みそはこの世でいちばんいいものってわけじゃありませんから」
"Have you any?"	「きみは脳みそがあるの？」
inquired the Scarecrow.	とかかしがたずねます。
"No, my head is quite empty,"	「いいえ、頭はまったくの空っぽですよ。
"But once I had brains, and a heart also;	でも昔は脳みそもあったし、心もあったんです。
so, having tried them both, I should much rather have a heart."	両方試したうえで言うと、わたしは心のほうがずっとほしい」
"And why is that?"	「それはまたどうして？」
asked the Scarecrow.	とかかし。
"I will tell you my story,	「身の上話をしてあげましょう。
and then you will know."	そうすればおわかりいただけるはず」
So, while they were walking through the forest, the Tin Woodman told the following story:	そこで森を歩きながら、ブリキの木こりはこんなお話をしたのでした：
"I was born the son of a woodman who chopped down trees in the forest and sold the wood for a living.	「わたしは森の木を切って材木を売る木こりの息子として生まれました。
When I grew up, I too became a woodchopper, and after my father died I took care of my old mother as long as she lived.	大きくなると、わたしも木こりになり、お父さんが死ぬと、年老いたお母さんの面倒を死ぬまで見ました。
Then I made up my mind that instead of living alone I would marry, so that I might not become lonely.	それからひとりぼっちで暮らすより結婚したほうがさびしくないだろうと思ったのです。
"There was one of the Munchkin girls who was so beautiful that I soon grew to love her with all my heart.	マンチキンの女の子の中に、実に美しい娘がおりまして、やがてわたしは心のそこからその子を愛するようになりました。
She, on her part, promised to marry me as soon as I could earn enough money to build a better house for her;	相手も、もっといい家を建てられるほど稼げるようになったら、すぐにも結婚しようといってくれました。
But the girl lived with an old woman who did not want her to marry anyone,	でもその子がいっしょに暮らしていた老婆は、だれとも結婚させたくなかったんです。
for she was so lazy she wished the girl to remain with her and do the cooking and the housework.	この老婆はなまけもので、彼女がずっといっしょにいて、料理や家事をやってほしいと思っていたのです。
So the old woman went to the Wicked Witch of the East, and promised her two sheep and a cow if she would prevent the marriage.	そこでこの老婆は東の邪悪な魔女のところへ出かけて、結婚をじゃましてくれたらヒツジ二頭とウシ一頭をあげると約束したんです。
Thereupon the Wicked Witch enchanted my axe, and when I was chopping away at my best one day, for I was anxious to get the new house and my wife as soon as possible, the axe slipped all at once and cut off my left leg.	そこで邪悪な魔女はわたしの斧に呪文をかけて、わたしが精一杯木を切っていると（というのも新しい家と妻を少しでもはやく手に入れたかったので）、斧がいきなりすべって、左脚を切り落としてしまったのです。
"This at first seemed a great misfortune,	これは最初、とても不幸なことに思えました。
for I knew a one-legged man could not do very well as a wood-chopper.	というのも片脚では木こりはあまりつとまりませんから。
So I went to a tinsmith and had him make me a new leg out of tin.	そこでブリキ職人のところへいって、ブリキで新しい脚をこしらえてもらいました。
The leg worked very well, once I was used to it.	いったん慣れたら、脚は非常に具合がよい。
But my action angered the Wicked Witch of the East,	でも東の邪悪な魔女はそれを見て腹をたてました。
for she had promised the old woman I should not marry the pretty Munchkin girl.	というのも、魔女は老婆にわたしがきれいなマンチキン娘とは結婚しないと約束していたからです。
When I began chopping again, my axe slipped and cut off my right leg.	また木を切りはじめると、またもや斧がすべって右足を切り落としました。
Again I went to the tinsmith, and again he made me a leg out of tin.	またもやわたしはブリキ職人に頼んで、またもやブリキの脚を作ってもらいました。
After this the enchanted axe cut off my arms, one after the other; but, nothing daunted, I had them replaced with tin ones.	その後、魔法のかかった斧は腕を一本ずつ切り落としてしまいましたが、わたしはくじけずに、ブリキの腕をつけました。
The Wicked Witch then made the axe slip and cut off my head,	すると邪悪な魔女は、またもや斧をすべらせて、こんどはわたしの頭を切り落としました。
and at first I thought that was the end of me.	これで自分もおしまいかな、と最初は思いましたよ。
But the tinsmith happened to come along, and he made me a new head out of tin.	でも折良くブリキ職人が通りがかって、ブリキで新しい頭を作ってくれたんです。
"I thought I had beaten the Wicked Witch then, and I worked harder than ever;	これで邪悪な魔女を出し抜いてやったと思って、前にもまして仕事に精を出しました。
but I little knew how cruel my enemy could be.	でも、敵がどれほど邪悪か見くびっていましたよ。
She thought of a new way to kill my love for the beautiful Munchkin maiden, and made my axe slip again,	魔女は、美しいマンチキン娘への愛を消す新しい方法を考え出して、また斧をすべらせました。
so that it cut right through my body, splitting me into two halves.	こんどは胴体が切りさき、からだがまっぷたつになってしまいました。
Once more the tinsmith came to my help and made me a body of tin, fastening my tin arms and legs and head to it, by means of joints, so that I could move around as well as ever.	またもやブリキ職人が助けにきてくれて、ブリキの胴体を作って、ブリキの腕や脚や頭を関節でくっつけてくれました。
But, alas!	でも無念！
I had now no heart, so that I lost all my love for the Munchkin girl, and did not care whether I married her or not.	もう心がなくなっていたので、マンチキン娘への愛が完全になくなり、結婚なんかどうでもよくなってしまいました。
I suppose she is still living with the old woman, waiting for me to come after her.	たぶんまだあの老婆といっしょに暮らしながら、わたしが迎えにくるのを待っているでしょうに。
"My body shone so brightly in the sun that I felt very proud of it and it did not matter now if my axe slipped,	からだはお日様の下で実にピカピカで、わたしはとても誇らしかったし、もう斧がすべっても関係ありません。
for it could not cut me.	ブリキは斧で切れませんから。
There was only one danger--that my joints would rust;	危険は一つだけ――関節がさびることです。
but I kept an oil-can in my cottage and took care to oil myself whenever I needed it.	でも小屋に油のカンを置いて、必要ならいつでも自分の手入れをしていました。
However, there came a day when I forgot to do this, and, being caught in a rainstorm, before I thought of the danger my joints had rusted, and I was left to stand in the woods until you came to help me.	ところが、ある日これを忘れてしまい、夕立につかまって、しまったと思う間もなく関節がさびついて、そのまま森の中に立っていたところへあなたたちがきて助けてくれたわけです。
It was a terrible thing to undergo, but during the year I stood there I had time to think that the greatest loss I had known was the loss of my heart.	ひどい経験でしたが、その間にいろいろ考えて、なくしたものの中でいちばん大きかったのは、心をなくしたことだなあ、と思ったんですよ。
While I was in love I was the happiest man on earth;	恋をしているときには、この世でいちばんの幸せ者でした。
but no one can love who has not a heart,	でも、心がない人なんかだれも愛してくれません。
and so I am resolved to ask Oz to give me one.	だから、オズに心をくれるよう是非ともお願いするんです。
If he does, I will go back to the Munchkin maiden and marry her."	もらえたら、あのマンチキン娘のところへいって、結婚するつもりです」
Both Dorothy and the Scarecrow had been greatly interested in the story of the Tin Woodman, and now they knew why he was so anxious to get a new heart.	ドロシーもかかしも、ブリキの木こりのお話にとても感心しましたし、これでなぜあんなに心をほしがるのかもわかりました。
"All the same,"	「それでも、ぼくは心より脳みそをお願いするな。
said the Scarecrow,	心があっても、バカはそれをどう使うかわからないだろうから」
"I shall ask for brains instead of a heart; for a fool would not know what to do with a heart if he had one."	とかかしが言います。
"I shall take the heart,"	ブリキの木こりは言い返しました。
returned the Tin Woodman;	「わたしは心をとりますね。
"for brains do not make one happy,	脳みそでは幸せになれません。
and happiness is the best thing in the world."	この世でいちばん大事なのは幸せなんですから」
Dorothy did not say anything,	ドロシーは何も言いませんでした。
for she was puzzled to know which of her two friends was right, and she decided if she could only get back to Kansas and Aunt Em, it did not matter so much whether the Woodman had no brains and the Scarecrow no heart, or each got what he wanted.	というのも、友だち二人のどっちが正しいのかわかりかねたし、それに自分はカンザスのエムおばさんのところに帰りさえすれば、木こりに脳がなくてもかかしに心がなくても、あるいは二人が望み通りのものを手に入れても、あまり関係ないわと思ったからです。
What worried her most was that the bread was nearly gone,	いちばん心配だったのは、パンがほとんどなくなりかけているということでした。
and another meal for herself and Toto would empty the basket.	トトと自分があと一回ご飯をたべたら、バスケットは空になってしまいます。
To be sure neither the Woodman nor the Scarecrow ever ate anything, but she was not made of tin nor straw, and could not live unless she was fed.	確かに木こりもかかしも何も食べませんが、ドロシーはブリキやわらではできていないし、食べ物を食べないと生きられません。
6.  The Cowardly Lion	6　臆病ライオン
All this time Dorothy and her companions had been walking through the thick woods.	いままでずっと、ドロシーとその仲間たちは深い森の中を歩いていました。
