TALES OF TROY: ULYSSES THE SACKER OF CITIES	トロイア物語：都市の略奪者ユリシーズ
Menelaus, whose wife Paris had carried away, was as glad as a hungry lion when he finds a stag or a goat, and leaped in armour from his chariot,	パリスに妻を連れ去られたメネラーオスは、牡鹿か山羊を見つけた飢えたライオンのように喜んで、防具をつけて戦車から飛び降りた。
but Paris turned and slunk away, like a man when he meets a great serpent on a narrow path in the hills.	でもパリスは、丘の小道で大きな蛇に出食わした人のように、向きを変えて逃げ出した。
Then Hector rebuked Paris for his cowardice,	そのときヘクトールがその臆病さをたしなめた。
and Paris was ashamed and offered to end the war by fighting Menelaus.	パリスは恥ずかしくなり、自分がメネラーオスと戦うことで戦争を終らせようと申し出た。
If he himself fell, the Trojans must give up Helen and all her jewels;	もしパリスが倒れれば、トロイア方はヘレネーとその宝石をすべてあきらめなくちゃならない。
if Menelaus fell, the Greeks were to return without fair Helen.	もしメネラーオスが倒れれば、ギリシア方は美しいヘレネーを残して帰国するというものなんだ。
The Greeks accepted this plan,	ギリシア側はこの計画を受け入れた。
and both sides disarmed themselves to look on at the fight in comfort,	それで双方武装を解いて戦いを見守ることにした。
and they meant to take the most solemn oaths to keep peace till the combat was lost and won, and the quarrel settled.	彼らは戦いの勝敗がつき、争いが解決するまで、平和を維持するという一番厳かな誓いをたてるつもりだった。
Hector sent into Troy for two lambs, which were to be sacrificed	ヘクトールはトロイアに２頭の小羊を用意するよう使いを送った。
when the oaths were taken.	この小羊は誓いを立てるときに犠牲とするんだ。
In the meantime Helen of the fair hands was at home working at a great purple tapestry on which she embroidered the battles of the Greeks and Trojans.	さてその頃、美しい手のヘレネーは家でギリシアとトロイアの戦いを刺繍した大きな紫のタペストリーを作っていた。
It was just like the tapestry at Bayeux on which Norman ladies embroidered the battles in the Norman Conquest of England.	それはノルマンの貴婦人がノルマンのイギリス征服の戦いを刺繍したバイユーのタペストリーみたいなものだった。
Helen was very fond of embroidering, like poor Mary, Queen of Scots, when a prisoner in Loch Leven Castle.	ロック・レーヴェン城に捕囚されていたときのスコットランド女王の哀れなメアリと同じように、ヘレネーも刺繍が大好きだった。
Probably the work kept both Helen and Mary from thinking of their past lives and their sorrows.	たぶん、ヘレネーもメアリも昔の生活と悲しみを思いながら刺繍をしてたんだろうね。
When Helen heard that her husband was to fight Paris, she wept, and threw a shining veil over her head, and with her two bower maidens went to the roof of the gate tower, where king Priam was sitting with the old Trojan chiefs.	ヘレネーは自分の夫がパリスと戦うことになったと聞くと、泣いて、輝くヴェールで顔を覆い、二人の部屋付き小間使いをつれて、プリアモス王がトロイアの老将軍と座っている門塔の屋根に行った。
They saw her and said that it was small blame to fight for so beautiful a lady,	彼らはヘレネーを見て、このような美しい婦人のために戦うことにちょっととがめだてをした。
and Priam called her	プリアモスは彼女を
"dear child,"	「愛しい子よ」
and said,	「わしはお前をとがめはしない。
"I do not blame you,	この戦争をもたらした神々を非難するのだ。」
I blame the Gods who brought about this war."	と言った。
But Helen said that she wished she had died before she left her little daughter and her husband, and her home:	でもヘレネーは小さな娘や夫を置き去りにして故郷を離れる前に死んでしまえばよかったのにと言った。
"Alas! shameless me!"	「ああ、恥知らずの私！」
Then she told Priam the names of the chief Greek warriors, and of Ulysses, who was shorter by a head than Agamemnon, but broader in chest and shoulders.	そうして彼女はプリアモスに主なギリシアの戦士たちの名前、それにアガメムノーンより頭一つ低いが胸と肩が広いユリシーズの名前を教えた。
She wondered that she could not see her own two brothers, Castor and Polydeuces, and thought that they kept aloof in shame for her sin;	ヘレネーは自分の二人の兄弟カストルとポリュデウケスに会えないが不思議だったが、彼女の罪を恥じて遠く離れているのだろうと思った。
but the green grass covered their graves,	でも緑の草が彼らの墓を覆っていた。
for they had both died in battle, far away in Lacedaemon, their own country.	なぜかというと、二人ともはるか遠くの自分たちの国、ラケダエモンで戦いで死んでいたんだ。
Then the lambs were sacrificed, and the oaths were taken,	さて、子羊は犠牲にされ、誓いが立てられた。
and Paris put on his brother's armour, helmet, breastplate, shield, and leg-armour.	パリスは兄弟の防具、兜、胸当て、盾、すね当てを着けた。
Lots were drawn to decide whether Paris or Menelaus should throw his spear first, and, as Paris won, he threw his spear,	くじ引きで、パリスとメネラーオスのどちらが先に槍を投げるかを決めたが、パリスが勝ったので、槍を投げた。
but the point was blunted against the shield of Menelaus.	でもメネラーオスの盾に当たって切先が鈍った。
But when Menelaus threw his spear it went clean through the shield of Paris, and through the side of his breastplate, but only grazed his robe.	メネラーオスが槍を投げると、パリスの盾をきれいに貫き、胸当ての脇を通ったが、パリスのローブをかすめただけだった。
Menelaus drew his sword, and rushed in, and smote at the crest of the helmet of Paris, but his bronze blade broke into four pieces.	メネラーオスは剣を抜き、突進してパリスの兜の前立に一撃を加えが、その青銅の刃は４つに砕けた。
Menelaus caught Paris by the horsehair crest of his helmet, and dragged him towards the Greeks, but the chin-strap broke,	メネラーオスはパリスの兜の馬のたてがみの前立をつかみ、ギリシア軍のほうへひきずったが、顎紐が切れた。
and Menelaus turning round threw the helmet into the ranks of the Greeks.	メネラーオスは振り向いて、兜をギリシア軍の隊列に投げ込んだ。
But when Menelaus looked again for Paris, with a spear in his hand, he could see him nowhere!	でもメネラーオスが槍を手に、パリスをもう一度捜すと、どこにも見当たらない！
The Greeks believed that the beautiful goddess Aphrodite, whom the Romans called Venus, hid him in a thick cloud of darkness and carried him to his own house,	ギリシア人は美しい女神アフロディテ、ローマ人はヴィーナスと呼ぶ女神がパリスを暗闇の厚い雲で隠し、彼の町に運んだと信じた。
where Helen of the fair hands found him and said to him,	その町で美しい手のヘレネーはパリスを見つけて、
"Would that thou hadst perished, conquered by that great warrior who was my lord!	「私の主人である偉大な戦士に打ち破られて、あなたは非業の死を遂げるところだったのに！
Go forth again and challenge him to fight thee face to face."	もう一度行って、顔を突き合わせ戦うよう挑戦してきてください。」
But Paris had no more desire to fight, and the Goddess threatened Helen, and compelled her to remain with him in Troy, coward as he had proved himself.	でもパリスはもう戦いたいとは思わなかったし、ヘレネーは女神に脅され、無理矢理パリスと一緒にトロイアに留まらなければならなくなり、パリスは自分で臆病者だと証明したんだ。
Yet on other days Paris fought well;	けれど別の日にはパリスはよく戦っていたんだから、
it seems that he was afraid of Menelaus because, in his heart, he was ashamed of himself.	彼は心の中で自分を恥じていたので、メネラーオスを恐れていたんじゃないの。
Meanwhile Menelaus was seeking for Paris everywhere,	その間、メネラーオスはそこら中くまなくパリスを捜していた。
and the Trojans, who hated him, would have shown his hiding place.	トロイア人は、パリスを憎んでいたんで、知っているなら隠れている場所を教えてやりたかっただろう。
But they knew not where he was,	でもだれもパリスがどこにいるか知らなかった。
and the Greeks claimed the victory, and thought that, as Paris had the worst of the fight, Helen would be restored to them, and they would all sail home.	そこでギリシア勢は勝利を宣言し、パリスは戦いに負けたんだから、ヘレネーを返してもらい、全員故郷へと船出しようと思ったんだ。
TROJAN VICTORIES	トロイア方の勝利
The war might now have ended,	戦はそこで終ったかに見えた。
but an evil and foolish thought came to Pandarus, a prince of Ida, who fought for the Trojans.	だがイーデーの王パンダロスに邪まで愚かしい考えがうかんだ。
He chose to shoot an arrow at Menelaus, contrary to the sworn vows of peace,	彼は平和の誓に背いて、メネラーオスを矢で射ることにしたのだ。
and the arrow pierced the breastplate of Menelaus through the place where the clasped plates meet, and drew his blood.	矢は留め板の継目から胸当てを貫き、血が流れ出た。
Then Agamemnon, who loved his brother dearly, began to lament, saying that if he died, the army would all go home and Trojans would dance on the grave of Menelaus.	弟をとても愛していたアガメムノーンは悲嘆し、もしメネラーオスが死なば、ギリシア軍は全軍帰国し、トロイア人はメネラーオスの墓の上で踊るだろうと言った。
"Do not alarm all our army,"	「我が軍中を心配させてはなりませぬぞ。」
said Menelaus,	とメネラーオスは言った。
"the arrow has done me little harm;"	「矢はさして傷つけてはおりませぬ。」
and so it proved, for the surgeon easily drew the arrow out of the wound.	そして軍医はたやすく傷口から矢を引き抜いたので、傷があさいことは明らかになった。
Then Agamemnon hastened here and there, bidding the Greeks arm and attack the Trojans,	そこでアガメムノーンはそこいらを急き立て、ギリシア軍に武装してトロイア軍を攻撃するよう命じた。
who would certainly be defeated,	トロイア軍は明らかに負けていた。
for they had broken the oaths of peace.	それは彼らが誓を破ったゆえであった。
But with his usual insolence he chose to accuse Ulysses and Diomede of cowardice,	だがアガメムノーンはいつもの横柄さから、ユリシーズとディオメーデースを臆病だと非難した。
though Diomede was as brave as any man, and Ulysses had just prevented the whole army from launching their ships and going home.	ディオメーデースは人並に勇敢であったし、ユリシーズこそが全軍あげて船を進水させ帰国しようするのを防いだというのに。
Ulysses answered him with spirit, but Diomede said nothing at the moment;	ユリシーズは気迫で応えたが、ディオメーデースはしばらくは何も言わなかった。
later he spoke his mind.	彼は後になってその心のうちを語った。
He leaped from his chariot, and all the chiefs leaped down and advanced in line, the chariots following them,	ディオメーデースは戦車から飛び降り、それに続いて大将たち全員が飛び降りて、一線となって前進した。
while the spearmen and bowmen followed the chariots.	その後に戦車が続き、さらに槍兵と弓兵が続いた。
The Trojan army advanced, all shouting in their different languages,	トロイア軍は前進し、全員がそれぞれ異なった言葉で叫び立てた。
but the Greeks came on silently.	だがギリシア軍は黙したまま近づいた。
Then the two front lines clashed, shield against shield, and the noise was like the roaring of many flooded torrents among the hills.	その時二つの前線は崩れ、盾と盾とがぶつかりあい、その音は山の間を流れる激流の轟音さながらであった。
When a man fell he who had slain him tried to strip off his armour, and his friends fought over his body to save the dead from this dishonour.	倒れると、殺した者が武具をはぎ取ろうとし、友人が死者をこの不名誉から護ろうと骸のうえで戦った。
Ulysses fought above a wounded friend, and drove his spear through head and helmet of a Trojan prince,	ユリシーズは傷ついた友のうえで戦い、槍でトロイアの王侯の頭と兜を貫き通した。
and everywhere men were falling beneath spears and arrows and heavy stones which the warriors threw.	あたり一帯で戦士たちの投げる槍と矢と重い石の下で人が倒れた。
Here Menelaus speared the man who built the ships with which Paris had sailed to Greece;	ここでメネラーオスは、パリスがギリシアへと航海した船を造った男を槍で刺し殺した。
and the dust rose like a cloud, and a mist went up from the fighting men,	塵が雲のごとく舞い上がり、戦う男たちからは霧が立ち上った。
while Diomede stormed across the plain like a river in flood, leaving dead bodies behind him as the river leaves boughs of trees and grass to mark its course.	一方ではディオメーデースが、氾濫した川のごとくに平原を横切り、川がその流れのあとに木の枝や草を残していくように、その後には屍が累々とした。
Pandarus wounded Diomede with an arrow, but Diomede slew him,	パンダロスは矢でディオメーデースに傷を負わせたものの、ディオメーデースに殺された。
and the Trojans were being driven in flight, when Sarpedon and Hector turned and hurled themselves on the Greeks;	サルペードーンとヘクトールが向きをかえ、猛然とギリシア軍にぶつかっていった時は、トロイア軍は敗走する寸前であった。
and even Diomede shuddered when Hector came on, and charged at Ulysses,	ヘクトールが押し寄せ、ユリシーズめがけて突撃したときは、ディオメーデースでさえ身震いした。
who was slaying Trojans as he went,	そのユリシーズは行く先々でトロイア勢を殺してまわった。
and the battle swayed this way and that, and the arrows fell like rain.	戦況は一進一退めまぐるしく変わり、矢は雨のごとくに降り注いだ。
But Hector was sent into the city to bid the women pray to the goddess Athene for help,	だがヘクトールは、女神アテーナーに助力を祈願するよう命じるために町に派遣された。
and he went to the house of Paris, whom Helen was imploring to go and fight like a man,	そしてパリスの家へ行ってみると、ヘレネーがパリスに男らしく戦いに行くよう懇願していた。
saying:	そして曰く
"Would that the winds had wafted me away, and the tides drowned me,	「我が身など風に飛ばされ、潮に溺れてしまえばよいものを。
shameless that I am, before these things came to pass!"	かようなことの起こるまでは、私は恥知らずなまま。」
Then Hector went to see his dear wife, Andromache,	それからヘクトールは愛しい妻アンドロマケーに会いにいった。
whose father had been slain by Achilles early in the siege,	彼女の父は包囲戦のはじめのころにアキレウスに殺されていた。
and he found her and her nurse carrying her little boy, Hector's son,	ヘクトールは妻と乳母がヘクトールの幼き息子を連れて来たのに気がついた。
and like a star upon her bosom lay his beautiful and shining golden head.	アンドロマケーの胸の上に星のごとくに、息子の美しい金に輝く頭があった。
Now, while Helen urged Paris to go into the fight, Andromache prayed Hector to stay with her in the town,	さて、一方でヘレネーがパリスに戦いに行くよう急き立てていたころ、アンドロマケーはヘクトールに自分と一緒に町に残るよう頼み込んでいた。
and fight no more lest he should be slain and leave her a widow, and the boy an orphan, with none to protect him.	戦死して、自分を寡婦とし、子供を護る者とてない孤児として残すことのないよう、これ以上戦うのを思い止まって欲しいと言うのだ。
The army she said, should come back within the walls, where they had so long been safe, not fight in the open plain.	軍勢はやがて城中に戻りましょう、さすれば平原で戦うこともなく、しばらくは安全となるでしょうと彼女は言った。
But Hector answered	けれどヘクトールはこう応えた。
that he would never shrink from battle,	自分は戦いに尻込みするものではないが
"yet I know this in my heart, the day shall come for holy Troy to be laid low, and Priam and the people of Priam.	「聖なるトロイアもプリアモス王もその民も亡び去る日がこようという予感がする。
But this and my own death do not trouble me so much as the thought of you, when you shall be carried as a slave to Greece, to spin at another woman's bidding, and bear water from a Grecian well.	だがトロイアの滅亡も私の死も、お前が奴隷としてギリシアに連れ去られ、他の女に命じられて糸を紡ぎ、ギリシアの井戸から水を汲むかと思うことほど、悩ましくはない。
May the heaped up earth of my tomb cover me ere I hear thy cries and the tale of thy captivity."	お前の泣き叫ぶ声、お前の捕らわれの物語を聞く前に、我が墓の積み上げられた土に覆われていたいものだ。」
Then Hector stretched out his hands to his little boy,	それからヘクトールは幼き我が子に手を伸ばした。
but the child was afraid when he saw the great glittering helmet of his father and the nodding horsehair crest.	だが子供は父親のきらめく兜と垂れ下がった馬のたてがみの前立てを見て怖がった。
So Hector laid his helmet on the ground and dandled the child in his arms, and tried to comfort his wife, and said good-bye for the last time,	そこでヘクトールは兜を地面に置き、子供を腕の中であやし、妻を慰めようとしてから、最後の別れを告げた。
for he never came back to Troy alive.	なんとなれば、ヘクトールは生きてトロイアに戻ることはなかったのだ。
He went on his way back to the battle, and Paris went with him, in glorious armour,	ヘクトールは戦場に戻り、パリスも荘厳な武具を着けて、それに続いた。
and soon they were slaying the princes of the Greeks.	そしてすぐにギリシアの王侯を殺したのだ。
The battle raged till nightfall, and in the night the Greeks and Trojans burned their dead;	戦闘は夕暮れまで続いたが、夜になるとギリシア軍もトロイア軍も死者を焼いた。
and the Greeks made a trench and wall round their camp,	ギリシア軍は野営地のまわりに塹壕と防壁を作った。
which they needed for safety now that the Trojans came from their town and fought in the open plain.	トロイア軍が町を出て平原で戦っている今では、安全のために必要となったのだ。
Next day the Trojans were so successful that they did not retreat behind their walls at night, but lit great fires on the plain:	次の日、トロイア軍は大勝し、夜になっても城壁の向うへと退かず、平原に大きな焚火を焚いた。
a thousand fires, with fifty men taking supper round each of them, and drinking their wine to the music of flutes.	千もの焚火で、それぞれの焚火を五十人が取り囲んで夕食をとり、笛の楽を聞きながら葡萄酒を飲んだ。
But the Greeks were much discouraged, and Agamemnon called the whole army together, and proposed that they should launch their ships in the night and sail away home.	けれどギリシア軍は意気消沈して、アガメムノーンは全軍を呼び集めて、夜のうちに船を発進して故郷へ船出しようと提案した。
Then Diomede stood up, and said:	そのときディオメーデースが立ち上がり、
"You called me a coward lately.	「貴殿は先頃私を臆病者とよばわったが、
You are the coward!	貴殿こそが臆病者。
Sail away if you are afraid to remain here,	ここに残るが恐ければ、船にのって逃げるがよい。
but all the rest of us will fight till we take Troy town."	だが我ら残り全員は、トロイアの町を手にいれるまで戦おうぞ。」
Then all shouted in praise of Diomede,	かくして全軍がディオメーデースに称讃の声をあげた。
and Nestor advised them to send five hundred young men, under his own son, Thrasymedes, to watch the Trojans, and guard the new wall and the ditch, in case the Trojans attacked them in the darkness.	ネストールはみなに、自分の子トラシュメデス配下の五百人の若者をトロイア軍の監視に遣わし、トロイア軍が暗闇に紛れて攻撃してきたときには、新しい防壁と塹壕を護らせるよう助言した。
Next Nestor counselled Agamemnon to send Ulysses and Aias to Achilles, and promise to give back Briseis, and rich presents of gold, and beg pardon for his insolence.	次にネストールはアガメムノーンに、ユリシーズとアイアースをアキレウスのもとに遣わし、ブリセーイスを返し、たくさんの黄金の贈物を与える約束をして、横柄な振舞を詫びるよう勧めた。
If Achilles would be friends again with Agamemnon, and fight as he used to fight, the Trojans would soon be driven back into the town.	もしアキレウスがアガメムノーンの味方となり、これまで通り一緒に戦うなら、トロイア軍はすぐにも町へと追い返されるであろうと。
Agamemnon was very ready to beg pardon,	アガメムノーンはいましも許しを乞おうとしていたところであった。
for he feared that the whole army would be defeated, and cut off from their ships, and killed or kept as slaves.	なんとなれば彼は全軍が敗北を喫し、船から切り離されて、殺されるか奴隷とされるのを恐れたからなのだ。
So Ulysses and Aias and the old tutor of Achilles, Phoenix, went to Achilles and argued with him, praying him to accept the rich presents, and help the Greeks.	そこでユリシーズとアイアースそれにアキレウスの老師フォエニクスはアキレウスのところに赴き、彼と話合い、たくさんの贈物を受けて、ギリシア軍に助力するよう頼み込んだ。
But Achilles answered that he did not believe a word that Agamemnon said;	だがアキレウスは、アガメムノーンの言った言葉など信じられぬ、
Agamemnon had always hated him, and always would hate him.	アガメムノーンはこれまでずっとアキレウスを憎んでおり、これからも憎み続けるであろうと言った。
No;	さよう、
he would not cease to be angry, he would sail away next day with all his men,	アキレウスは怒りを鎮めてはおらず、明日にも部下をすべて引き連れて船出しようとしているのだ。
and he advised the rest to come with him.	そして残りの皆も共に行こうと勧めたのだ。
"Why be so fierce?"	「何ゆえ、かくも荒れ狂われるのか。」
said tall Aias, who seldom spoke.	と、めったに喋らぬアイアースが言った。
"Why make so much trouble about one girl?	「なにゆえ、一人の女のことでかくも騒がれるのか。
We offer you seven girls, and plenty of other gifts."	我らは七人の女とそのほか多くの贈物を差し出すというに。」
Then Achilles said that he would not sail away next day, but he would not fight till the Trojans tried to burn his own ships,	アキレウスは明日は船出はしないだろうが、トロイア軍が我が船を焼こうとせぬかぎり戦いはせぬと言った。
and there he thought that Hector would find work enough to do.	アキレウスは、ヘクトールには他にやることがたっぷりあると考えていたのだ。
This was the most that Achilles would promise,	これがアキレウスにできた精一杯の約束であった。
and all the Greeks were silent when Ulysses delivered his message.	ユリシーズがアキレウスの伝言を持ちかえったとき、ギリシア軍は静まりかえった。
But Diomede arose and said that, with or without Achilles, fight they must;	だがディオメーデースは立ち上がり、アキレウスがいようがいまいが、我らは戦わなくてはならぬと言った。
and all men, heavy at heart, went to sleep in their huts or in the open air at their doors.	それから、全員うち沈んで、小屋か戸口の外で眠についた。
Agamemnon was much too anxious to sleep.	アガメムノーンは心配のあまり眠れなかった。
He saw the glow of the thousand fires of the Trojans in the dark, and heard their merry flutes,	暗闇の中にトロイア軍の千の焚火の赤い輝きが見え、楽しげな笛の音が聞こえていた。
and he groaned and pulled out his long hair by handfuls.	アガメムノーンは呻き声をあげ、長い髪を両手でつかんで引き抜いた。
When he was tired of crying and groaning and tearing his hair, he thought that he would go for advice to old Nestor.	叫び、呻き、髪を掻きむしるのに倦むと、老ネストールのもとに助言を乞いに行こうと思った。
He threw a lion skin, the coverlet of his bed, over his shoulder, took his spear, went out and met Menelaus	寝床の覆いの獅子の皮を肩にかけ、槍をつかんで出かけると、メネラーオスに出会った。
--for he, too, could not sleep	というのも、メネラーオスも眠れなかったのだ。
--and Menelaus proposed to send a spy among the Trojans, if any man were brave enough to go,	メネラーオスは、もしかりにさような勇気ある男がいたとしたらの話で、トロイア軍にスパイを送り込もうと提案した。
for the Trojan camp was all alight with fires, and the adventure was dangerous.	なんとなれば、トロイア軍の野営地には一晩中火がともっており、冒険は危険きわまりなかったのだから。
Therefore the two wakened Nestor and the other chiefs,	そこで二人は、ネストールとそのほかの大将たちを起こした。
who came just as they were, wrapped in the fur coverlets of their beds, without any armour.	彼らは目覚めたが、武具をつけず、寝床の毛布の覆いにくるまっていた。
First they visited the five hundred young men set to watch the wall,	まずは防壁の見張りにたつ五百人の若者を見回った。
and then they crossed the ditch and sat down outside and considered what might be done.	それから塹壕を渡って囲いの外に座り込み、何をしたらよいかを考えた。
"Will nobody go as a spy among the Trojans?"	「誰もトロイア軍にスパイとしてもぐりこまぬだろうか。」
said Nestor;	と言った。
he meant would none of the young men go.	若者は誰も行かぬと言いたかったのだ。
Diomede said	ディオメーデースが言った。
that he would take the risk if any other man would share it with him,	誰ぞ危険を分つ者あれば、私が危険を冒しましょうぞ、と。
and, if he might choose a companion, he would take Ulysses.	そして、同行者を選べるものなら、ユリシーズにしたい、とも。
"Come, then, let us be going,"	「では行こう。」
said Ulysses,	とユリシーズは言った。
"for the night is late, and the dawn is near."	「夜は更けており、暁は近いゆえ。」
As these two chiefs had no armour on, they borrowed shields and leather caps from the young men of the guard,	この二人の大将は武具をつけていなかったので、警固の若者から盾と革の帽子を借りた。
for leather would not shine as bronze helmets shine in the firelight.	なんとなれば、青銅の兜なら火の光に輝こうが、革なれば輝くことがないゆえに。
The cap lent to Ulysses was strengthened outside with rows of boars' tusks.	ユリシーズの借りた帽子は外側を猪の牙で補強したものだった。
Many of these tusks, shaped for this purpose, have been found, with swords and armour, in a tomb in Mycenae, the town of Agamemnon.	この目的で加工した牙はたくさん、剣や武具とともに、アガメムノーンの都ミュケーナイの墓から見つかっている。
This cap which was lent to Ulysses had once been stolen by his grandfather, Autolycus, who was a Master Thief, and he gave it as a present to a friend, and so, through several hands, it had come to young Meriones of Crete, one of the five hundred guards, who now lent it to Ulysses.	このユリシーズが借りた帽子は、一度祖父の盗みの達人アウトリュコスが盗んだもので、アウトリュコスは友人に贈物として与え、それから何人かの手を経て、五百人守備隊の一人、クレータのメーリオネースという若者のものとなり、ユリシーズに貸し与えたのだ。
So the two princes set forth in the dark, so dark it was that though they heard a heron cry, they could not see it as it flew away.	そうして二人の王侯は暗闇の中を出発したが、あまりに暗く、鷺の声を聞くも、飛び去ったのは見えなかった。
While Ulysses and Diomede stole through the night silently, like two wolves among the bodies of dead men, the Trojan leaders met and considered what they ought to do.	ユリシーズとディオメーデースが、屍の間をうろつく狼のように、夜陰の中を音もなく忍び入っているころ、トロイア軍の指導者は集まって、何をすべきか考えていた。
They did not know whether the Greeks had set sentinels and outposts, as usual, to give warning if the enemy were approaching;	ギリシア軍が、いつものごとく敵が近づけば警報を出せるよう歩哨や前哨を配置しているのか、
or whether they were too weary to keep a good watch;	それとも疲れ果ててちゃんと見張れない程なのか、
or whether perhaps they were getting ready theirships to sail homewards in the dawn.	あるいはひょっとして夜明けとともに故郷に船出するよう船の準備を整えているのか、皆目分からなかったのだ。
So Hector offered a reward to any man who would creep through the night and spy on the Greeks;	そこでヘクトールは、夜陰の中を忍び入ってギリシア軍をスパイした者には褒美をとらそうとした。
he said he would give the spy the two best horses in the Greek camp.	つまりスパイにはギリシア軍野営地の最良の馬二頭を与えようと言うのだ。
Now among the Trojans there was a young man named Dolon,	さて、トロイア軍の中にドローンという若者がいた。
the son of a rich father, and he was the only boy in a family of five sisters.	金持ちの息子で、五人姉妹の家族の中でただ一人の男子だった。
He was ugly, but a very swift runner, and he cared for horses more than for anything else in the world.	ドローンは醜かったが、足が速く、この世で何より馬が好きだった。
Dolon arose	ドローンは立ち上がり
and said,	「ペーレウスの子アキレウスの馬と戦車をやろうとお誓いくだされば、アガメムノーンの小屋に忍び込み、聴き耳をたてギリシア軍が戦おうというのか逃げようというのか調べて参りましょう。」
"If you will swear to give me the horses and chariot of Achilles, son of Peleus, I will steal to the hut of Agamemnon and listen and find out whether the Greeks mean to fight or flee."	と言った。
Hector swore to give these horses, which were the best in the world, to Dolon,	ヘクトールはその馬をドローンにやると誓ったが、それは世界最良の馬であった。
so he took his bow and threw a grey wolf's hide over his shoulders, and ran towards the ships of the Greeks.	そこでドローンは弓を持ち、回色の狼の皮を肩に掛け、ギリシア軍の船に向かって走っていった。
Now Ulysses saw Dolon as he came, and said to Diomede,	さて、ユリシーズはやってくるドローンを見て、ディオメーデースに
"Let us suffer him to pass us,	「通りすぎるに任せておこう。
and then do you keep driving him with your spear towards the ships, and away from Troy."	そうしておいて、貴殿の槍で船の方へと追いたて、トロイアから引き離そう。」
So Ulysses and Diomede lay down among the dead men who had fallen in the battle, and Dolon ran on past them towards the Greeks.	それで、ユリシーズとディオメーデースは戦死者たちの間に身を伏せ、ドローンはギリシア軍の方へと二人の前を走り過ぎた。
Then they rose and chased him as two greyhounds course a hare,	それから二人は起き上がり、二頭のグレーハウンドが兎を追うように、ドローンを追跡した。
and, when Dolon was near the sentinels, Diomede cried	ドローンが歩哨に近づいたとき、ディオメーデースは
"Stand, or I will slay you with my spear!"	「止まれ、さもなくば槍で殺すぞ。」
and he threw his spear just over Dolon's shoulder.	と叫んで、槍をちょうどドローンの肩の真上越しに投げた。
So Dolon stood still, green with fear, and with his teeth chattering.	ドローンは恐怖で真っ青となり、歯を鳴らして、じっと立ち止まった。
When the two came up, he cried, and said that his father was a rich man, who would pay much gold, and bronze, and iron for his ransom.	二人が近づくと、泣き叫んで、父親が金持ちゆえに、身請けにたくさんの黄金や青銅や鉄を払うだろうと言った。
Ulysses said,	「落ち着いて、死ぬかも知れぬということは頭から振り払い、ここで何をしていたのか言え。」
"Take heart, and put death out of your mind, and tell us what you are doing here."	とユリシーズが言った。
Dolon said that Hector had promised him the horses of Achilles if he would go and spy on the Greeks.	ドローンは、ギリシア軍のスパイをしてくれば、ヘクトールがアキレウスの馬をやろうと約束したことを話した。
"You set your hopes high,"	「高望みをしたものよ。」
said Ulysses,	とユリシーズが言った。
"for the horses of Achilles are not earthly steeds, but divine;	「なんとなれば、アキレウスの馬は、地上の馬ではのうて、天上のもの。
a gift of the Gods, and Achilles alone can drive them.	神々の贈物でアキレウスしか駆ることはできないのだ。
But, tell me,	では、言え。
do the Trojans keep good watch,	トロイア軍はちゃんと見張りを立てているのか。
and where is Hector with his horses?"	ヘクトールは馬とともにどこにおるのか。」
for Ulysses thought that it would be a great adventure to drive away the horses of Hector.	それというのも、ヘクトールの馬を追いたてるのは大冒険になるだろうとユリシーズは思っていたからなのだ。
"Hector is with the chiefs, holding council at the tomb of Ilus,"	「ヘクトール殿は大将方とイーロスの墓のところで軍議を開いておいでです。」
said Dolon;	とドローンは言った。
"but no regular guard is set.	「だが、正規の衛兵は置いてはおりませぬ。
The people of Troy, indeed, are round their watch fires,	トロイアの人々は確かに夜営の篝火のまわりにおります。
for they have to think of the safety of their wives and children;	なんとなれば、妻子の安全を考えなければならぬゆえ。
but the allies from far lands keep no watch,	けれど遠くの国から参った同盟軍は見張りを立ててはおりませぬ。
for their wives and children are safe at home."	妻子とも故郷で安全なるゆえに。」
Then he told where all the different peoples who fought for Priam had their stations;	それからドローンはプリアモスに味方して戦っている様々な民の持ち場を教えた。
"if you want to steal horses, the best are those of Rhesus, King of the Thracians,	「馬を盗まんとするならば、トラーキア王レーソスの馬が一番。
who has only joined us to-night.	かの王は今宵我らと合流したばかりで、
He and his men are asleep at the furthest end of the line,	その部下ともども戦線の一番遠く離れた端で寝ております。
and his horses are the best and greatest that ever I saw:	その馬は私がこれまで見てきたなかで最良にして最大、
tall, white as snow, and swift as the wind, and his chariot is adorned with gold and silver, and golden is his armour.	雪のごとく白く、風のごとく速く、その戦車は金と銀とに飾られ、その武具は黄金色をしております。
Now take me prisoner to the ships, or bind me and leave me here while you go and try whether I have told you truth or lies."	さあ、私が言ったことが真か嘘か確かめに行く間、私を船で捕虜とするか、さもなくば縛ってここに置き去りにし給え。」
"No,"	「いいや」
said Diomede,	とディオメーデースは言った。
"if I spare your life you may come spying again,"	「お前の命を助ければ、またスパイに来るやも知れぬでな。」
and he drew his sword and smote off the head of Dolon.	そして剣を抜き、ドローンの首をば打ち落とした。
They hid his cap and bow and spear where they could find them easily, and marked the spot, and went through the night to the dark camp of King Rhesus,	二人は見つけやすいところに、ドローンの帽子と弓と槍とを隠し、目印をして、夜陰のなかをレーソス王の暗い夜営地へと向かった。
