THE ABOLITION OF WORK	労働廃絶論
who'd had ample involuntary opportunity for fieldwork whilst exiled in Siberia:	彼は不本意なシベリア追放の間に、実地調査の十分な機会を得ていた：
he knew what he was talking about.)	彼は自分が話していることについてよく知っていたのだ。）
Like most social and political theory, the story Hobbes and his successors told was really unacknowledged autobiography.	大半の社会理論・政治理論と同様、ホッブズや彼の後継者が描くストーリーは、一般論ではなく自分の経験談にすぎないのである。
The anthropologist Marshall Sahlins, surveying the data on contemporary hunter-gatherers, exploded the Hobbesian myth in an article entitled "The Original Affluent Society."	人類学者マーシャル・サーリンス＜注10＞は、現代の狩猟採集民族のデータを調査して、「豊かな原始社会」と名付けられた論文を著し、ホッブズ信者の神話を打破した。
They work a lot less than we do, and their work is hard to distinguish from what we regard as play.	狩猟採集民族は、我々よりもずっと少ししか働かないし、彼らの労働は、我々が「遊び」と見なすものと区別できないのである。
Sahlins concluded that	サーリンスは次のように結論づけた。
"hunters and gatherers work less than we do;	「狩猟採集民族は、私たちよりも働かない。
and rather than a continuous travail,	彼らの生活は絶え間のない労苦などではない。
the food quest is intermittent, leisure abundant,	常に食物探索に汲々としているわけでもなく、豊かな余暇がある。
and there is a greater amount of sleep in the daytime per capita per year than in any other condition of society."	１人当り年当りの睡眠時間を比べると、彼らは他のいかなる社会よりもたっぷり昼寝をしているのである。」
They worked an average of four hours a day,	彼らは平均して一日四時間働くだけだ。
assuming they were "working" at all.	それが「労働」だと仮定しての話だが。
Their "labor," as it appears to us, was skilled labor which exercised their physical and intellectual capacities;	彼らの「労働」は、我々の基準では、身体的・知的能力を働かせた熟練労働である。
unskilled labor on any large scale, as Sahlins says, is impossible except under industrialism.	サーリンスが言うように、大規模な非熟練労働は産業主義の下でなければ不可能なのである。
Thus it satisfied Friedrich Schiller's definition of play,	したがって彼らの「労働」は、フリードリッヒ・シラーの「遊び(play)」の定義にあてはまる。
the only occasion on which man realizes his complete humanity by giving full "play" to both sides of his twofold nature, thinking and feeling.	それは、人間の二つの本性である思考と感覚の両方をフルに「活動(play)」させて、完全な人間性を実感する唯一の時なのである。
As he put it:	シラーが言うように
"The animal works when deprivation is the mainspring of its activity, and it plays when the fullness of its strength is this mainspring,	「動物は、損失が行動の主要動機であるときに働き、力の充足がこの主要動機であるときに遊ぶ。
when superabundant life is its own stimulus to activity."	十分に充たされた生活は、そのこと自体が活動の刺激となる」のである。
(A modern version -- dubiously developmental -- is Abraham Maslow's counterposition of "deficiency" and "growth" motivation.)	（最近の学説 − うさんくさい発展論− は、エイブラハム・マズロウ＜注11＞の「欠乏」と「成長」動機という反対論である）
Play and freedom are, as regards production, coextensive.	「遊び」と「自由」は、生産に関しては、同じ領域にあるのである。
Even Marx, who belongs (for all his good intentions) in the productivist pantheon, observed that	生産性至上主義者の神々に属するマルクス（彼に悪意はなかったとしても）さえ
"the realm of freedom does not commence until the point is passed where labor under the compulsion of necessity and external utility is required."	「必要性に迫られての労働と、外部の効用が必要とされる段階を越えないと、自由の領域が始まらない」と述べていた。
He never could quite bring himself to identify this happy circumstance as what it is,	彼は、この幸福な状態、つまり労働の廃止をあるがままのものとして認識することが全くできなかった。
the abolition of work -- it's rather anomalous, after all, to be pro-worker and anti-work	労働の廃止とは、ちょっと奇妙にも思えるが、結局は、労働者のための反労働（pro-worker and anti-work）なのだ。
-- but we can.	そして、それは可能なのである。
The aspiration to go backwards or forwards to a life without work is evident in every serious social or cultural history of pre-industrial Europe,	労働がない生活に「進む」にしろ「戻る」にしろ、その念願は産業革命以前のヨーロッパの社会的・文化的な歴史にもはっきりと現れている。
among them M. Dorothy George's England In Transition and Peter Burke's Popular Culture in Early Modern Europe.	Ｍ・ドロシー・ジョージの「伝統の中のイングランド」やピーター・バークの「近代ヨーロッパ初期の大衆文化」を読めばよい。
Also pertinent is Daniel Bell's essay, "Work and its Discontents,"	また、ダニエル・ベル＜注12＞のエッセイ「労働とその不満」もいいだろう。
the first text, I believe, to refer to the "revolt against work" in so many words	私が思うに、これは「労働への反乱」に言及した最初のまとまった文章である。
and, had it been understood, an important correction to the complacency ordinarily associated with the volume in which it was collected, The End of Ideology.	もしこれが理解されていたなら、この文章が収められている本「イデオロギーの終焉」に対する「自己満足」という一般的な評価は訂正されていたであろうが・・・。
Neither critics nor celebrants have noticed that Bell's end-of-ideology thesis signaled not the end of social unrest but the beginning of a new, uncharted phase unconstrained and uninformed by ideology.	ベルの「イデオロギーの終焉」に対する賞賛者も反対者も、この本の論点が、社会の不安の終わりではなく、イデオロギーに拘束されたり、吹き込まれたりすることのない、地図にない新しい時代の初まりを示していたことには気付かなかったのだ。
It was Seymour Lipset (in Political Man), not Bell, who announced at the same time that "the fundamental problems of the Industrial Revolution have been solved," only a few years before the post- or meta-industrial discontents of college students drove Lipset from UC Berkeley to the relative (and temporary) tranquility of Harvard.	当時「産業革命の基本的な問題は解決した」と発表したのはベルではなく、セイモア・リプセット （著書「政治的な人間」）＜注13＞であった。わずかその数年後に、リプセットは、ポスト産業主義やメタ産業主義に不満な大学生たちによってＵＣバークレー校から追い出され、比較的平穏なハーバードへ（一時的に）移った。
As Bell notes, Adam Smith in The Wealth of Nations, for all his enthusiasm for the market and the division of labor, was more alert to (and more honest about) the seamy side of work than Ayn Rand or the Chicago economists or any of Smith's modern epigones.	ベルによれば、アダム・スミスは「国富論」で市場と労働分業を熱心に提唱してはいたが、エイン・ランド＜注14＞やシカゴ学派の経済学者、現代のスミスエピゴーネンたちの誰よりも、（そしていっそう正直にも）労働の暗黒面についても警告していた。
As Smith observed:	スミスは次のように言う。
"The understandings of the greater part of men are necessarily formed by their ordinary employments.	「人々の理解力の大部分は、必然的に彼らの日常の仕事によって形成される。
The man whose life is spent in performing a few simple operations... has no occasion to exert his understanding...	人生の大半を、数少ない単純作業に費やしてしまう人は、理解力を養う時間がない・・・。
He generally becomes as stupid and ignorant as it is possible for a human creature to become."	ほとんどの場合、人類がなりうる限りの最も愚かで無知な人間になってしまうであろう。」
Here, in a few blunt words, is my critique of work.	この短くも率直な言葉は、私の労働批判と同じである。
Bell, writing in 1956, the Golden Age of Eisenhower imbecility and American self-satisfaction, identified the unorganized, unorganizable malaise of the 1970's and since,	１９５６年に「アイゼンハワー黄金時代の愚行とアメリカの自己満足」を書いたベルは、１９７０年代より始まる組織されない、組織できない不快感を予見していた。
the one no political tendency is able to harness, the one identified in HEW's report Work in America, the one which cannot be exploited and so is ignored.	それは、政治の流れをどうすることもできない不快感、HEW(健康教育福祉省) の報告「アメリカの労働」で認識された不快感、そして搾取もされずただ無視される不快感であった。
That problem is the revolt against work.	その問題がすなわち「労働への反乱」なのである。
It does not figure in any text by any laissez-faire economist -- Milton Friedman, Murray Rothbard, Richard Posner	自由放任主義のエコノミスト − ミルトン・フリードマン、マレー・ロスランド 、リチャード・ポズナー らの示すどんな数字にも、それは現れない。
-- because, in their terms, as they used to say on Star Trek, "it does not compute."	なぜなら、彼らの用語に従えば、スタートレックのセリフと同じく、「それは計算不能」だからである。
If these objections, informed by the love of liberty, fail to persuade humanists of a utilitarian or even paternalist turn, there are others which they cannot disregard.	自由への愛に基づくこうした労働反対論では、功利的な人道主義者や、父親温情主義の心は説得できないというのであれば、彼らも無視できない問題をとりあげよう。
Work is hazardous to your health, to borrow a book title.	本のタイトルを借用すれば、「労働は人々の健康に有害」である。
In fact, work is mass murder or genocide.	事実、労働は大量殺人あるいは大量虐殺である。
Directly or indirectly, work will kill most of the people who read these words.	この文章を読んでいる人も大半は、直接あるいは間接的に労働によって殺されるであろう。
Between 14,000 and 25,000 workers are killed annually in this country on the job.	この国では毎年、一万四千人から二万五千人の労働者が労働災害によって殺され、二百万人以上が障害者にされている。
Over two million are disabled.	二百万人以上が障害者にされている。
Twenty to twenty-five million are injured every year.	さらに二千万人から二千五百万人が毎年負傷している。
And these figures are based on a very conservative estimation of what constitutes a work-related injury.	しかもこれらの数字は、労働に関わる傷害の非常に保守的な見積りに基づいているのだ。
Thus they don't count the half million cases of occupational disease every year.	毎年、五十万症例を数える職業病は含まれない。
I looked at one medical textbook on occupational diseases which was 1,200 pages long.	私はある職業病に関する医学書を見たことがあるが、それは千二百ページの厚さがあった。
Even this barely scratches the surface.	これでも氷山の一角にすぎない。
The available statistics count the obvious cases	入手可能な統計数値で明白な事例を上げよう。
like the 100,000 miners who have black lung disease, of whom 4,000 die every year,	炭塵肺病を病む十万人の鉱山労働者のうち、四千人が毎年死亡している。
a much higher fatality rate than for AIDS, for instance, which gets so much media attention.	この死亡率は、例えば、多くのメディアが関心を寄せるエイズよりもずっと高い。
This reflects the unvoiced assumption that AIDS afflicts perverts who could control their depravity whereas coal-mining is a sacrosanct activity beyond question.	これは、石炭採掘がこの上なく神聖な行為であるのに対し、エイズは堕落した性的倒錯者を苦しめるのだという無言の仮定を反映している。
What the statistics don't show is that tens of millions of people have heir lifespans shortened by work	何千万という人々が、労働によって寿命を短くされている事実は、統計数値には示されないのである。
-- which is all that homicide means, after all.	結局のところ − 労働とは殺人を意味することに他ならない。
Consider the doctors who work themselves to death in their 50's.	働きすぎが原因で５０代で死ぬ医者のことを考えてみなさい。
Consider all the other workaholics.	他のあらゆるワーカホリックを考えてみなさい。
Even if you aren't killed or crippled while actually working, you very well might be while going to work, coming from work, looking for work, or trying to forget about work.	たとえ実際に、労働中に殺されたり障害者にされたりしなかったとしても、仕事に行く途中、仕事から帰る途中、仕事を探したり、あるいは仕事を忘れようとする間に、そういう目に合うかもしれない。
The vast majority of victims of the automobile are either doing one of these work-obligatory activities or else fall afoul of those who do them.	自動車事故の大多数は、労働に起因する義務的な活動中に被害にあうか、さもなくば活動中の人によって被害にあわされるかのどちらかである。
To this augmented body-count must be added the victims of auto-industrial pollution and work-induced alcoholism and drug addiction.	その上さらに、自動車公害・産業汚染の犠牲者や、労働によって引き起こされたアルコール中毒・麻薬中毒を、この数値に加えなければならない。
Both cancer and heart disease are modern afflictions normally traceable, directly, or indirectly, to work .	また、がんと心臓病は両方とも、直接・間接的に労働に原因があることが多い現代病である。
Work, then, institutionalizes homicide as a way of life.	このように、労働は、人間生活における殺人制度なのである。
People think the Cambodians were crazy for exterminating themselves, but are we any different?	自民族を大量殺戮したカンボジア人は狂っていると誰もが考えるけれども、我々は違うと言えるのだろうか？
The Pol Pot regime at least had a vision, however blurred, of an egalitarian society.	いかに異常だったとしても、ポルポト体制は少なくとも平等主義社会のビジョンを持っていた。
We kill people in the six-figure range (at least)	我々は（少なくとも）六桁の人々を毎年殺している。
in order to sell Big Macs and Cadillacs to the survivors.	それというのも、その生き残りにビッグマックとキャデラックを売るためにである。
Our forty or fifty thousand annual highway fatalities are victims, not martyrs.	四万人から五万人に及ぶ交通事故死者は、殉教者ではなく犠牲者なのだ。
They died for nothing -- or rather, they died for work.	彼らは無駄に死んだ、と言うより、労働のために死んだのである。
But work is nothing to die for.	しかし労働には、命を捧げるような価値などない。
Bad news for liberals:	リベラル派には耳の痛い話だろうが、
regulatory tinkering is useless in this life-and-death context.	制度をいじくり回しても、この生と死の関係には何の役にも立たない。
The federal Occupational Safety and Health Administration was designed to police the core part of the problem, workplace safety.	連邦職業安全保健管理局（OSHA）は問題の核心部分、つまり職場の安全を監督するために設立された。
Even before Reagan and the Supreme Court stifled it, OSHA was a farce.	だが、レーガン政権と最高裁判所に潰される前でさえ、ＯＳＨＡは茶番であった。
At previous and (by current standards) generous Carter-era funding levels, a workplace could expect a random visit from an OSHA inspector once every 46 years.	（現在のレーガンに比べれば）気前が良かった前のカーター政権時代の予算でも、各職場は４６年に１回の割合でＯＳＨＡの検査を受けるにすぎなかったのだ。
State control of the economy is no solution.	国家による経済の統制は、何の解決にもならない。
Work is, if anything, more dangerous in the state-socialist countries than it is here.	国家的社会主義の国では、労働は、この国よりもいっそう危険である。
Thousands of Russian workers were killed or injured building the Moscow subway.	何千というロシアの労働者が、モスクワ地下鉄建設の際に殺されたり、怪我をさせられたりしたのである。
Stories reverberate about covered-up Soviet nuclear disasters which make Times Beach and Three-Mile Island look like elementary-school air-raid drills.	包み隠されているソビエトの重大核事故について伝え聞いた話に比べれば、タイムズビーチやスリーマイル島の事故は小学校の防空訓練程度にしか思えない程である。
On the other hand, deregulation, currently fashionable, won't help and will probably hurt.	他方、現在流行りの「規制緩和」は、問題の解決どころか、有害でしかないであろう。
From a health and safety standpoint, among others, work was at its worst in the days when the economy most closely approximated laissez-faire.	健康と安全の見地から言えば、経済が自由競争主義に最も近付いた日に、労働は最悪のものとなったのだ。
Historians like Eugene Genovese have argued persuasively that	ユージン・ジェノベーゼのような歴史家が、次のように論じているのには説得力がある。
-- as antebellum slavery apologists insisted -- factory wage-workers in the Northern American states and in Europe were worse off than Southern plantation slaves.	「南北戦争前の奴隷制度擁護論者によれば、北アメリカの各州やヨーロッパにおける工場の賃金労働者は、南部のプランテーション奴隷よりもずっと悪い状態にあったという。」
No rearrangement of relations among bureaucrats and businessmen seems to make much difference at the point of production.	官僚と実業家の関係をどうにかしたところで、生産の現場に大きな変化が生じるとは思われない。
Serious enforcement of even the rather vague standards enforceable in theory by OSHA would probably bring the economy to a standstill.	いいかげんなＯＳＨＡの基準も理屈の上では実施可能だが、それをまじめに施行しただけで、経済は立往生してしまうだろう。
The enforcers apparently appreciate this,	取締官たちもそんなことは百も承知だ。
since they don't even try to crack down on most malefactors.	違反者を厳しく取り締まるつもりなどサラサラないのだから。
What I've said so far ought not to be controversial.	私は、議論のためにこれまで論じてきたわけではない。
Many workers are fed up with work.	多くの労働者は労働にうんざりしているのだ。
There are high and rising rates of absenteeism, turnover, employee theft and sabotage, wildcat strikes, and overall goldbricking on the job.	仕事の長期欠勤、裏切り、横領にサボタージュ、ヤマネコストなどの発生率は高く、さらに上昇を続けているし、サボリ病はそこら中に蔓延している。
There may be some movement toward a conscious and not just visceral rejection of work.	単なる本能的な労働嫌いではなく、意識的な労働拒否に向かっての傾向があらわれているように思われる。
And yet the prevalent feeling, universal among bosses and their agents and also widespread among workers themselves is that work itself is inevitable and necessary.	それにも拘わらず「労働それ自体は避けられないし、必要である」という感覚が、ボスたちやその代理人たちの常識であるだけでなく、労働者の間にまで広く行き渡っているのである。
I disagree.	私はそうは思わない。
It is now possible to abolish work and replace it, insofar as it serves useful purposes, with a multitude of new kinds of free activities.	労働を廃止し、有用な目的を満たす労働に限り、それを新しい種類の多様な活動に置き換えていくことは、今や可能なのだ。
To abolish work requires going at it from two directions, quantitative and qualitative.	労働の廃止は、量的・質的な二つの方向から実行することが必要である。
On the one hand, on the quantitative side,	まず一つは量的な側面である。
we have to cut down massively on the amount of work being done.	我々は労働の量を大幅に減らさなければならない。
At present most work is useless or worse and we should simply get rid of it.	現在のところ、たいていの労働は無用であるか、むしろ有害なだけであるから、それは無条件にやめるべきである。
On the other hand -- and I think this the crux of the matter and the revolutionary new departure -- we have to take what useful work remains and transform it into a pleasing variety of game-like and craft-like pastimes,	もう一つ − これが問題の要点であり、革命的な新しい出発だと私は考えるのだが − 我々は有用な労働を残し、それを、ゲームのようなそして技能のような、多種多様な娯楽に変換しなければならない。
indistinguishable from other pleasurable pastimes, except that they happen to yield useful end-products.	それは、たまたま有用な最終製品をもたらす点以外は、他の楽しい娯楽と区別できないものだ。
Surely that shouldn't make them less enticing to do.	それを魅力のないものにしてはならないのである。
Then all the artificial barriers of power and property could come down.	そうすることによって、権力や財産など人工的な障壁をすべて崩すことができる。
Creation could become recreation.	創造（Creation）がレクリエーション（recreation）になる。
And we could all stop being afraid of each other.	そうして我々は、互いにビクビクするような生活を全くやめることができるのだ。
I don't suggest that most work is salvageable in this way.	私は「多くの労働がこのようにして救える」などと言うつもりはない。
But then most work isn't worth trying to save.	ほとんどの労働は救う価値などないのだ。
Only a small and diminishing fraction of work serves any useful purpose independent of the defense and reproduction of the work-system and its political and legal appendages.	有用な目的のための、労働の小さい減少した断片だけが残るにすぎないのであって、労働システムを防衛したり再生産したりしようとする政治的、法律的な企てとは何の関係もない。
Twenty years ago, Paul and Percival Goodman estimated that just five percent of the work then being done -- presumably the figure, if accurate, is lower now -- would satisfy our minimal needs for food, clothing, and shelter.	ポールとパーシバルのグッドマン兄弟＜注15＞は、２０年前に、全労働の５パーセントで、我々の衣食住の最低限の必要は満たされるであろうと推定した。（正確に計算すれば、現在はさらに低いだろう）
Theirs was only an educated guess but the main point is quite clear:	彼らの計算は理論的な推測に過ぎなかったが、重要な点は非常にハッキリしている。
directly or indirectly, most work serves the unproductive purposes of commerce or social control.	直接・間接的に、労働の大半は、商業や社会管理といった非生産的な仕事にすぎないということだ。
Right off the bat we can liberate tens of millions of salesmen, soldiers, managers, cops, stockbrokers, clergymen, bankers, lawyers, teachers, landlords, security guards, ad-men and everyone who works for them.	だから、何千万というセールスマン、軍人、マネージャー、警官、 株式ブローカー 、牧師、銀行家、弁護士、教師、家主、警備員、広告業者、それに彼らのために働く人々をすぐに解放することは可能なのである。
There is a snowball effect since every time you idle some bigshot you liberate his flunkeys and underlings also.	実力者を失業させれば、同時に彼の取巻や下役を解放する雪ダルマ効果があらわれるはずだ。
Thus the economy implodes.	そうして経済は崩壊するのである。
Forty percent of the workforce are white-collar workers, most of whom have some of the most tedious and idiotic jobs ever concocted.	労働力の４０パーセントはホワイトカラー労働者であり、その大部分は、退屈でばかばかしいデッチアゲ仕事をしている。
Entire industries, insurance and banking and real estate for instance, consist of nothing but useless paper-shuffling.	全産業のうち、例えば保険・銀行・不動産業などは意味のないペーパーシャッフル以外には何もしてないのである。
It is no accident that the "tertiary sector," the service sector, is growing while the "secondary sector" (industry) stagnates and the "primary sector" (agriculture) nearly disappears.	「第三次産業」すなわちサービス産業が成長している一方、「第二次産業」（工業）が低迷し、そして「第一次産業」（農業）はほとんど姿を消そうとしているのは偶然ではないのだ。
Because work is unnecessary except to those whose power it secures, workers are shifted from relatively useful to relatively useless occupations as a measure to assure public order.	「公共の要請」などという口実によって、比較的有用な職業から無用な職業に労働者を移動することができるのは、労働が、自分達の権力を確保したい人以外には不必要だからなのである。
Anything is better than nothing.	何もないよりはあった方がいいというわけだ。
That's why you can't go home just because you finish early.	たとえ仕事が早く終わっても、家に帰れない理由はここにある。
They want your time,	連中は、人々の時間を欲しがる。
enough of it to make you theirs,	あなたを支配するために、あなたの時間を拘束したいのである。
even if they have no use for most of it.	たとえ拘束した時間の大部分が無意味であるとしてもだ。
Otherwise why hasn't the average work week gone down by more than a few minutes in the past fifty years?	もしそうでなければ、過去５０年間に、週の平均労働時間がたった数分しか削減されなかったのはなぜなのか？
Next we can take a meat-cleaver to production work itself.	次に、生産労働に大ナタを振るうことにしよう。
No more war production, nuclear power, junk food, feminine hygiene deodorant	軍需産業、原子力産業、ジャンクフード産業、女性用衛生デオドラント製品などは必要ない。
-- and above all, no more auto industry to speak of.	中でも、自動車産業が不要なことは言うまでもない。
An occasional Stanley Steamer or Model-T might be all right, but the auto-eroticism on which such pestholes as Detroit and Los Angeles depend on is out of the question.	たまたま作られるスタンレーの蒸気自動車やＴ型フォード程度なら問題ないかもしれないが、デトロイトやロサンゼルスの厄介者たちが依存しているオートエロティシズム（自慰行為）などは論外である。
Already, without even trying, we've virtually solved the energy crisis, the environmental crisis and assorted other insoluble social problems.	こうすることによって、エネルギー危機、環境危機、それに多くの未解決な社会問題は、何もせずに実質的に解決できてしまう。
Finally, we must do away with far and away the largest occupation, the one with the longest hours, the lowest pay and some of the most tedious tasks around.	最後に、ダントツに最大の職業、最も長い時間を要する職業、賃金が最低で最も退屈な職業を廃絶しなくてはならない。
I refer to housewives doing housework and child-rearing.	私は家事や育児に従事する主婦労働のことを言っているのだ。
By abolishing wage-labor and achieving full unemployment we undermine the sexual division of labor.	賃金労働を廃止し、完全失業を達成することによって、我々は性による分業の基礎を堀り崩すのである。
The nuclear family as we know it is an inevitable adaptation to the division of labor imposed by modern wage-work.	核家族は、現代の賃金労働制度に課される労働分業を可能にするための、不可欠な家族形態なのである。
Like it or not, as things have been for the last century or two it is economically rational for the man to bring home the bacon, for the woman to do the shitwork to provide him with a haven in a heartless world,	男が外へ稼ぎに行き、女は冷酷な世界で男に休息所を提供するため、クソしごとをさせられるのは、好むと好まざるとにかかわらず、過去百年から二百年の間、経済的には合理的であった。
and for the children to be marched off to youth concentration camps called "schools,"	子供たちは「学校」と呼ばれる若年強制収容所に押し込まれる。
primarily to keep them out of Mom's hair but still under control, but incidentally to acquire the habits of obedience and punctuality so necessary for workers.	主にママから引き離して管理し、ついでに労働者として必要な服従の習慣と時間厳守を教え込むためだ。
If you would be rid of patriarchy, get rid of the nuclear family	もし男性支配をなくしたいなら、核家族をやめなければならない。
whose unpaid "shadow work," as Ivan Illich says, makes possible the work-system that makes it necessary.	イワン・イリイチ＜注16＞が言うように、核家族の無給の「シャドウ・ワーク」が、それを必要とする労働システムを可能にしているからである。
Bound up with this no-nukes strategy is the abolition of childhood and the closing of the schools.	この「反核戦略」と、学校を閉鎖して子供たちを子供扱いするのをやめる戦略が密接に結びつく。
There are more full-time students than full-time workers in this country.	この国には、フルタイムの労働者より多くのフルタイムの学生がいる。
We need children as teachers, not students.	しかし我々には、学生としてではなく、教師としての子供たちが必要なのである。
They have a lot to contribute to the ludic revolution because they're better at playing than grown-ups are.	子供たちは成人より「遊ぶ」ことに優れていて、「ばか（ludic）」革命に寄与するべき多くの資質を持っているからだ。
Adults and children are not identical but they will become equal through interdependence.	大人と子供は同じではないけれども、相互依存を通して平等になることができるであろう。
Only play can bridge the generation gap.	「遊び」だけが、ジェネレーションギャップの架け橋となりうるのである。
I haven't as yet even mentioned the possibility of cutting way down on the little work that remains by automating and cybernizing it.	私はまだ、自動化や電脳化によって、残された小さな仕事を削減する可能性について言及しなかった。
All the scientists and engineers and technicians freed from bothering with war research and planned obsolescence would have a good time devising means to eliminate fatigue and tedium and danger from activities like mining.	科学者・エンジニア・技術者は、戦争研究や、わざと陳腐化させた商品のモデルチェンジなどに悩まされることから解放し、鉱山労働のような作業から疲労や退屈・危険をなくす方法の研究など、もっと楽しい研究をさせるべきである。
Undoubtedly they'll find other projects to amuse themselves with.	彼らはきっと、他の楽しいプロジェクトを見つけるだろう。
Perhaps they'll set up world-wide all-inclusive multi-media communications systems or found space colonies. Perhaps.	ワールドワイドで包括的なマルチメディア通信システムを考えたり、スペース・コロニーのための技術を考えたりするかもしれない。
I myself am no gadget freak.	私自身は、メカフリークではない。
I wouldn't care to live in a pushbutton paradise.	押ボタンの天国には住みたくないし、
I don't what robot slaves to do everything;	ロボット奴隷がなんでもしてくれることなど望まない。
I want to do things myself.	私は自分でやる方がいい。
There is, I think, a place for labor-saving technology,	省力技術を研究する余地はある、と私は思う。
but a modest place.	けれども、それは謙虚であるべきだろう。
The historical and pre-historical record is not encouraging.	だが、歴史や有史以前の記録を見る限りでは、あまり期待はできない。
When productive technology went from hunting-gathering to agriculture and on to industry, work increased while skills and self-determination diminished.	生産技術が狩猟採集から農業へ、さらに工業へと進むにつれて、労働は増加し、個人の技能と自律は退化していったのである。
The further evolution of industrialism has accentuated what Harry Braverman called the degradation of work.	産業主義のさらなる進展は、ハリー・ブレイブマンが労働の退廃と呼んだ現象を拡大した。
Intelligent observers have always been aware of this.	知的な観察者は、常にこのことに気付いている。
John Stuart Mill wrote that all the labor-saving inventions ever devised haven't saved a moment's labor.	ジョン・スチュアート・ミルは、「今までに考案された省力の発明が労働時間を削減したことはない」と書いているし、
Karl Marx wrote that "it would be possible to write a history of the inventions, made since 1830, for the sole purpose of supplying capital with weapons against the revolts of the working class."	カール・マルクスは「１８３０年以降の発明の歴史は、労働者階級の反乱に対抗するため、武器に資本を供給することが唯一の目的であったと書くことができる」と記している。
The enthusiastic technophiles -- Saint-Simon, Comte, Lenin, B. F. Skinner -- have always been unabashed authoritarians also;	熱狂的なテクノオタク　−サン - シモン、コント、レーニン、Ｂ・Ｆ・ スキナー− 彼らは皆、常に恥じない権威主義者であった。
which is to say, technocrats.	いわばテクノクラートである。
We should be more than sceptical about the promises of the computer mystics.	コンピュータ神秘主義者の約束に関して、我々はもっと懐疑的になるべきだ。
They work like dogs;	確かに、コンピュータは犬のように働く。
chances are, if they have their way, so will the rest of us.	だが、もしコンピュータがそのように働くのなら、我々人間もそうさせられる公算が大きい。
But if they have any particularized contributions more readily subordinated to human purposes than the run of high tech, let's give them a hearing.	けれども、もしハイテクの継続ではなく、人間らしい目的に従った貢献をするつもりなら、テクノロジーの言い分にも耳を貸そうではないか。
What I really want to see is work turned into play.	私が本当に見たいと望むのは、「労働」を「遊び」に変えることである。
A first step is to discard the notions of a "job" and an "occupation."	その最初のステップは「仕事」や「職業」という観念を捨てることであろう。
Even activities that already have some ludic content lose most of it by being reduced to jobs which certain people,	たとえ若干の「楽しさ（ludic）」を持っている作業であっても、それが「仕事」に堕落させられれば、その楽しさの大部分は失われてしまう。
and only those people are forced to do	仕事は、特定の人々だけに強制される。
to the exclusion of all else.	そして他には何もさせてもらえないからである。
Is it not odd that farm workers toil painfully in the fields while their air-conditioned masters go home every weekend and putter about in their gardens?	農場労働者がつらい畑仕事をしている一方で、彼らの主人は空調の効いた部屋で過ごし、週末ごとに自宅の庭ででぶらぶら過ごすなんておかしいではないか？
Under a system of permanent revelry, we will witness the Golden Age of the dilettante which will put the Renaissance to shame.	永久のばか騒ぎ（permanent revelry）システムの下で、我々は、ルネッサンスも真っ青の、ディレッタントの黄金時代を目撃することになるだろう。
There won't be any more jobs, just things to do and people to do them.	そこにはもはや仕事は存在せず、することがあり、それをする人々がいるだけなのだ。
The secret of turning work into play, as Charles Fourier demonstrated, is to arrange useful activities to take advantage of whatever it is that various people at various times in fact enjoy doing.	労働を「遊び」に変える秘密は、シャルル・フーリエ＜注17＞が証明したように、いろんな人々がいろんな時に、実際に楽しんでやっていることは何でも利用して、有用な活動にアレンジすることである。
To make it possible for some people to do the things they could enjoy it will be enough just to eradicate the irrationalities and distortions which afflict these activities when they are reduced to work.	人々がものごとを楽しんでやれるようにすれば、それが労働に堕した時に発生する不合理や歪みを十分に根絶できるはずだ。
I, for instance, would enjoy doing some (not too much) teaching,	私を例にとれば、私は（あまり多すぎなければ）教えることを楽しんでいる。
but I don't want coerced students and I don't care to suck up to pathetic pedants for tenure.	しかし私は強制された学生は欲しないし、保身のために、おエライ学者先生たちにオベッカを使うつもりもない。
Second, there are some things that people like to do from time to time,	第二に、人々は時々なら、苦にならないことがある。
but not for too long, and certainly not all the time.	ただしそれが長時間だったり、常時だったりしなければである。
You might enjoy baby-sitting for a few hours in order to share the company of kids,	ベビーシッターは、子供たちと友達になるための数時間ならば楽しめるかもしれない。
but not as much as their parents do.	しかし子供たちの親と同じ様にはいかない。
The parents meanwhile, profoundly appreciate the time to themselves that you free up for them,	一方親たちは、子供と過ごす時間のために解放してもらえるならば、とてもありがたいと感じるのだ。
although they'd get fretful if parted from their progeny for too long.	逆にもし子供たちから長い間引き離されるなら、イライラするに違いない。
These differences among individuals are	このように、個人によって欲することは異なるのである。
what make a life of free play possible.	このことが、自由な「遊び」の生活を可能にするのだ。
The same principle applies to many other areas of activity, especially the primal ones.	同じことは他の多くの分野、特に基本的なものに当てはまる。
Thus many people enjoy cooking when they can practice it seriously at their leisure,	料理は、自分のレジャーとしてなら、真剣にやっても楽しいと感じる人は多いはずだ。
but not when they're just fueling up human bodies for work.	しかし、労働のため人体に燃料を補給する作業としてならば、楽しくないに違いない。
Third -- other things being equal -- some things that are unsatisfying if done by yourself or in unpleasant surroundings	第三に、他の条件が同じとして、一人だけでやらされたり、不快な環境でやらされたり、エラそうな奴の命令でやらされるなら、面白く思えないこともあるだろう。
or at the orders of an overlord are enjoyable, at least for a while, if these circumstances are changed.	だが、もしこれらの条件が変わるならば、少なくともしばらくの間は、楽しめるのではないだろうか。
