A LITTLE CLOUD	小さな雲
"Bravo,"	「ブラボー、」
he said,	彼は言った、
"I wouldn't doubt you, Tommy."	「やってくれると思ってたよ、トミー。」
Little Chandler smiled, looked confusedly at his glass and bit his lower lip with three childishly white front teeth.	リトル・チャンドラーは狼狽してグラスを見ながら微笑み、子供のように真っ白な三本の前歯で下唇をかんだ。
"I hope you'll spend an evening with us,"	「一晩うちで過ごしてくれないか、」
he said,	彼は言った、
"before you go back.	「帰る前にさ。
My wife will be delighted to meet you.	妻も君に会えたら大いに喜ぶよ。
We can have a little music and----"	僕たちは音楽もちょっとやれるし−−−」
"Thanks awfully, old chap,"	「ほんとにありがとうなあ、」
said Ignatius Gallaher,	イグネイシャス・ガラハーは言った。
"I'm sorry we didn't meet earlier.	「もっと早く会えなかったのが残念だ。
But I must leave tomorrow night."	しかし明日の晩には発たなくてはならないんだ。」
"Tonight, perhaps...?"	「今夜は、できたら・・・？」
"I'm awfully sorry, old man.	「実にすまないが、なあ。
You see I'm over here with another fellow, clever young chap he is too, and we arranged to go to a little card-party.	だって他のやつとこっちへ来てるんでね、若くて利口なやつさ、あいつも、で、ちょっとしたカードパーティーに行くことに決めてあるんだ。
Only for that..."	それさえなければ・・・」
"O, in that case..."	「ああ、そういうことなら・・・」
"But who knows?"	「でもことによったら」
said Ignatius Gallaher considerately.	とガラハーは思いやって言った。
"Next year I may take a little skip over here now that I've broken the ice.	「これを皮切りに来年もひょいとこっちに飛んでくるかもしれないな。
It's only a pleasure deferred."	楽しみを先に延ばしただけさ。」
"Very well,"	「オーケー、」
said Little Chandler,	リトル・チャンドラーは言った、
"the next time you come we must have an evening together.	「次に来たときは一晩付き合ってくれなくちゃいけないよ。
That's agreed now, isn't it?"	さあ、承知だね？」
"Yes, that's agreed,"	「ああ、承知だ」
said Ignatius Gallaher.	イグネイシャス・ガラハーは言った。
"Next year if I come, parole d'honneur."	「来年やってきたら、名誉にかけて。」
"And to clinch the bargain,"	「それじゃ契約成立ということで、」
said Little Chandler,	リトル・チャンドラーは言った、
"we'll just have one more now."	「ちょっとここでもう一杯としよう。」
Ignatius Gallaher took out a large gold watch and looked a it.	イグネイシャス・ガラハーは大きな金の時計を取り出して見た。
"Is it to be the last?"	「最後になるかな？」
he said.	と彼は言った。
"Because you know, I have an a.p."	「何しろほら、約束があるんでね。」
"O, yes, positively,"	「おお、そりゃもちろん」
said Little Chandler.	とリトル・チャンドラーが言った。
"Very well, then,"	「オーケー、それじゃ、」
said Ignatius Gallaher,	イグネイシャス・ガラハーは言った。
"let us have another one as a deoc an doruis	「deoc an druis--別れの酒としてもう一杯いこうじゃないか
--that's good vernacular for a small whisky, I believe."	−−まったくウィスキーのハーフにぴったりのお国言葉だな。」
Little Chandler ordered the drinks.	リトル・チャンドラーが飲み物を注文した。
The blush which had risen to his face a few moments before was establishing itself.	少し前に顔に上った赤みは定着していた。
A trifle made him blush at any time:	彼はいつだって少量で赤くなった。
and now he felt warm and excited.	そして今彼は体がほてり、興奮していた。
Three small whiskies had gone to his head and Gallaher's strong cigar had confused his mind,	半量のウィスキー三杯は彼を酔わせ、ガラハーの強い葉巻は彼の心を混乱させた。
for he was a delicate and abstinent person.	そのくらい彼は繊細で禁欲的な人間だった。
The adventure of meeting Gallaher after eight years, of finding himself with Gallaher in Corless's surrounded by lights and noise, of listening to Gallaher's stories and of sharing for a brief space Gallaher's vagrant and triumphant life, upset the equipoise of his sensitive nature.	八年ぶりにガラハーに会い、ガラハーとともにコーレスの光と喧騒に取り囲まれ、ガラハーの話に耳を傾け、短い時間だがガラハーの放浪と成功の人生を共有するという経験は、彼の感じやすい性質の均衡を転倒させた。
He felt acutely the contrast between his own life and his friend's and it seemed to him unjust.	彼は自身の人生と友のそれが対照的なことを痛切に感じ、それが彼には不公平に思えた。
Gallaher was his inferior in birth and education.	ガラハーは生まれも教育も彼より劣っていた。
He was sure that he could do something better than his friend had ever done, or could ever do, something higher than mere tawdry journalism if he only got the chance.	彼はただチャンスさえつかめば、友がやってのけたことやいずれやれることより上等なこと、単なる卑俗なジャーナリズムより高尚なことが自分にはできると確信していた。
What was it that stood in his way?	彼の行く手に立ちはだかるものは何だろう？
His unfortunate timidity	彼が運悪く臆病なこと。
He wished to vindicate himself in some way, to assert his manhood.	彼は何とかして自らの正しさを立証し、男らしさを主張したいと思った。
He saw behind Gallaher's refusal of his invitation.	彼にはガラハーが彼の招待を断った裏がわかった。
Gallaher was only patronising him by his friendliness just as he was patronising Ireland by his visit.	ガラハーはこの訪問によりアイルランドに対して恩人を気取るのとちょうど同じように、その友情により彼に対して恩人を気取っているだけなのだ。
The barman brought their drinks.	バーテンが彼らの飲み物を持ってきた。
Little Chandler pushed one glass towards his friend and took up the other boldly.	リトル・チャンドラーは一方のグラスを友の方へ押しやり、大胆に他方を取り上げた。
"Who knows?"	「ひょっとすると」
he said, as they lifted their glasses.	と彼は二人がグラスを上げた時に言った。
"When you come next year I may have the pleasure of wishing long life and happiness to Mr. and Mrs. Ignatius Gallaher."	「来年君が来る時にはイグネイシャス・ガラハー夫妻の長命と幸福を祈る喜びに与れるかもしれないな。」
Ignatius Gallaher in the act of drinking closed one eye expressively over the rim of his glass.	イグネイシャス・ガラハーは酒を飲みながらグラスの縁の向こうで思わせぶりに片目を閉じた。
When he had drunk he smacked his lips decisively, set down his glass and said:	ぐっと飲んだ彼は決然たる舌鼓を打ち、グラスを下に置いて言った。
"No blooming fear of that, my boy.	「そんなとんでもない恐れはないからなあおい。
I'm going to have my fling first and see a bit of life and the world before I put my head in the sack	俺はまずは好き勝手をして、人生、世界をのぞいて見るんだ、厄介なことに首を突っ込む前に
--if I ever do."	−−いずれするにしてもな。」
"Some day you will,"	「いつか君もするさ」
said Little Chandler calmly.	とリトル・チャンドラーは静かに言った。
Ignatius Gallaher turned his orange tie and slate-blue eyes full upon his friend.	イグネイシャス・ガラハーはオレンジのタイとスレートブルーの目をまともに友に向けた。
"You think so?"	「そう思うか？」
he said.	と彼は言った。
"You'll put your head in the sack,"	「厄介なことに首を突っ込むさ、」
repeated Little Chandler stoutly,	リトル・チャンドラーは断固として繰り返した、
"like everyone else if you can find the girl."	「他のみんなと同じように彼女を見つけられればね。」
He had slightly emphasised his tone and he was aware that he had betrayed himself;	彼はわずかに語調を強め、うっかり本音を漏らしたことに気づいた。
but, though the colour had heightened in his cheek, he did not flinch from his friend's gaze.	しかし、頬の色は増したけれども、彼は友の凝視にひるまなかった。
Ignatius Gallaher watched him for a few moments and then said:	イグネイシャス・ガラハーは少しの間彼をじっと見て、それから言った。
"If ever it occurs, you may bet your bottom dollar there'll be no mooning and spooning about it.	「いずれそうなるとしても、それが色だの恋だのってことにはならないさ、有り金はたいて賭けても大丈夫。
I mean to marry money.	俺は金と結婚するつもりさ。
She'll have a good fat account at the bank or she won't do for me."	たっぷり銀行に預金がある女、でなけりゃ俺には用はないな。」
Little Chandler shook his head.	リトル・チャンドラーは首を振った。
"Why, man alive,"	「おい、なんだよ、」
said Ignatius Gallaher, vehemently,	イグネイシャス・ガラハーは激しく言い立てた、
"do you know what it is?	「わからないかなあ？
I've only to say the word and tomorrow I can have the woman and the cash.	俺が来いって言いさえすれば明日には女と金が手に入るんだ。
You don't believe it?	信じないのか？
Well, I know it.	え、そうなんだぜ。
There are hundreds	何百という
--what am I saying?	−−何言ってるんだ俺は
--thousands of rich Germans and Jews, rotten with money, that'd only be too glad....	−−何千という裕福なドイツ人やユダヤ人、金のある堕落したのが、大喜びで・・・
You wait a while my boy.	ちょっと待ってろって。
See if I don't play my cards properly.	俺がうまい手を打つか打たないか見てな。
When I go about a thing I mean business, I tell you.	俺がことに取り掛かるって時は本気だからな、ほんとに。
You just wait."	まあ見てなって。」
He tossed his glass to his mouth, finished his drink and laughed loudly.	彼はグラスを口にほうり込み、酒を飲み干し、大声で笑った。
Then he looked thoughtfully before him and said in a calmer tone:	それから彼は深く考えるように前方を見てやや落ち着いた口調で言った。
"But I'm in no hurry.	「だが急ぐことはない。
They can wait.	向こうが待てばいい。
I don't fancy tying myself up to one woman, you know."	一人の女に縛り付けられるなんて想像もできないからなあ。」
He imitated with his mouth the act of tasting and made a wry face.	彼は口で味わう形をまね、渋面を作った。
"Must get a bit stale, I should think,"	「必ず少しは味が落ちるもんだよな」
he said.	と彼は言った。
Little Chandler sat in the room off the hall, holding a child in his arms.	リトル・チャンドラーは玄関からすぐのあの部屋に座り、子供を腕に抱いていた。
To save money they kept no servant but Annie's young sister Monica came for an hour or so in the morning and an hour or so in the evening to help.	金を節約するために彼らは女中を雇っていなかったがアニーの妹のモニカが朝一時間かそこら、夕方一時間かそこら手伝いに来ていた。
But Monica had gone home long ago.	しかしモニカはだいぶ前に家に帰ってしまっていた。
It was a quarter to nine.	九時十五分前だった。
Little Chandler had come home late for tea and, moreover, he had forgotten to bring Annie home the parcel of coffee from Bewley's.	リトル・チャンドラーはお茶の時間には遅れて帰るし、そのうえアニーにビューリーズのコーヒーの包みを持って帰るのを忘れてしまったのだった。
Of course she was in a bad humour and gave him short answers.	もちろん彼女は不機嫌で、彼にそっけなく応じた。
She said she would do without any tea but when it came near the time at which the shop at the corner closed she decided to go out herself for a quarter of a pound of tea and two pounds of sugar.	彼女は茶などなしで済ますと言ったが角の店の閉まる時間が近づくと、四分の一ポンドの茶と二ポンドの砂糖を買いに自分が行くことに決めた。
She put the sleeping child deftly in his arms and said:	彼女は眠っている子供を巧みに彼の腕に預けて言った。
"Here.	「さ、
Don't waken him."	起こさないでね。」
A little lamp with a white china shade stood upon the table and its light fell over a photograph which was enclosed in a frame of crumpled horn.	白い磁器のシェードの小さなランプがテーブルの上に立ち、その光が曲がった角製の枠に囲まれた写真に当たっていた。
It was Annie's photograph.	アニーの写真だ。
Little Chandler looked at it, pausing at the thin tight lips.	リトル・チャンドラーのそれを眺める目はきつく結んだ薄い唇に止まっていた。
She wore the pale blue summer blouse which he had brought her home as a present one Saturday.	彼女はいつか土曜日に彼がプレゼントとして持って帰った薄いブルーのサマーブラウスを着ていた。
It had cost him ten and elevenpence;	彼はそれに十シリング十一ペンス費やした。
but what an agony of nervousness it had cost him!	しかしそれに費やした彼の神経の苦しさがどれほどであったことか！
How he had suffered that day,	どんなにその日、彼が悩んだことか。
waiting at the shop door until the shop was empty, standing at the counter and trying to appear at his ease while the girl piled ladies' blouses before him, paying at the desk and forgetting to take up the odd penny of his change, being called back by the cashier, and finally, striving to hide his blushes as he left the shop by examining the parcel to see if it was securely tied.	店が空になるまで店の戸口で待ち、彼の前で女店員が婦人もののブラウスを積む間カウンターに立ってくつろいで見えるように努め、デスクで支払いをして余分のペニーのつり銭を取り忘れ、レジ係りに呼び戻され、そして最後に店を出る時にはしっかり縛ってあるか確かめるために包みを調べることで赤面を隠そうと努めた。
When he brought the blouse home Annie kissed him and said it was very pretty and stylish;	彼がブラウスを家に持って帰るとアニーは彼にキスをしてそれがとてもかわいくて流行のものだと言った。
but when she heard the price she threw the blouse on the table and said it was a regular swindle to charge ten and elevenpence for it.	しかし値段を聞くと彼女はブラウスをテーブルの上にほうり、それで十シリング十一ペンス取るとはまったくの詐欺だと言った。
At first she wanted to take it back but when she tried it on she was delighted with it, especially with the make of the sleeves, and kissed him and said he was very good to think of her.	初め彼女はそれを返品したいと思ったが、着けてみると彼女はそれに、特に袖の作りに大喜びで、彼にキスして彼女をことを思う彼はとても優しいと言った。
Hm!...	フム！・・・
He looked coldly into the eyes of the photograph and they answered coldly.	彼が写真の目の中を冷ややかに覗き込むとそちらも冷ややかに応えた。
Certainly they were pretty and the face itself was pretty.	確かにそれはきれいだし顔そのものもきれいだった。
But he found something mean in it.	しかし彼はそこにどこか卑しいものを認めた。
Why was it so unconscious and ladylike?	なぜそれはああまで気のつかない貴婦人然としているのか？
The composure of the eyes irritated him.	その沈着な目が彼をいらだたせた。
They repelled him and defied him:	それは彼をはねつけ、彼をなんとも思っていなかった。
there was no passion in them, no rapture.	そこには少しの情熱もなく、歓喜もなかった。
He thought of what Gallaher had said about rich Jewesses.	彼は金持ちのユダヤ女についてガラハーの言ったことを考えた。
Those dark Oriental eyes, he thought, how full they are of passion, of voluptuous longing!...	ああいう東洋の暗い目は、と彼は思った、どんなに情熱、官能的な欲望に満ち溢れているだろう！・・・
Why had he married the eyes in the photograph?	なぜ彼はこの写真の目と結婚してしまったのか？
He caught himself up at the question and glanced nervously round the room.	彼はその疑問に心を奪われ、神経質に部屋をぐるっと見回した。
He found something mean in the pretty furniture which he had bought for his house on the hire system.	彼はこの家にと月賦で買ったこぎれいな家具にどこか卑しいものを認めた。
Annie had chosen it herself and it reminded hi of her.	アニーが自身でそれを選び、それは彼にアニーを思い出させた。
It too was prim and pretty.	それもまたいやに上品ぶってきれいだった。
A dull resentment against his life awoke within him.	人生に対する鈍い憤りが彼のうちで目覚めた。
Could he not escape from his little house?	彼は自分の小さな家から逃れられないのか？
Was it too late for him to try to live bravely like Gallaher?	ガラハーのように勇敢に生きようとするには遅すぎるだろうか？
Could he go to London?	ロンドンに行けるだろうか？
There was the furniture still to be paid for.	まだ支払いのある家具があった。
If he could only write a book and get it published, that might open the way for him.	本を書いて出版してもらえさえすれば、彼に道が開けるかもしれなかった。
A volume of Byron's poems lay before him on the table.	バイロンの詩の一冊が彼の前のテーブルの上に置いてあった。
He opened it cautiously with his left hand lest he should waken the child and began to read the first poem in the book:	彼は子供を起こさないように左手で注意しながらそれを開き、その本の最初の詩を読み始めた。
Hushed are the winds and still the evening gloom,	風は黙して静かな憂暮れ
Not e'en a Zephyr wanders through the grove,	木立をさまようゼフィロスもなし
Whilst I return to view my Margaret's tomb	マーガレットの墓へと帰り
And scatter flowers on tbe dust I love.	愛しちりの上花まき散らす。
He paused.	彼はちょっと休んだ。
He felt the rhythm of the verse about him in the room.	彼はその部屋の自分の周囲に詩のリズムを感じた。
How melancholy it was!	なんと物悲しい！
Could he, too, write like that, express the melancholy of his soul in verse?	彼にも、そのように書き、彼の心の愁いを韻文に表現できるだろうか？
There were so many things he wanted to describe:	彼には言葉にしたいことがたくさんあった。
his sensation of a few hours before on Grattan Bridge, for example.	あの数時間前のグラタン・ブリッジでの感覚。
If he could get back again into that mood....	もう一度あの気分に帰ることができれば・・・
The child awoke and began to cry.	子供が目を覚まし泣き始めた。
He turned from the page and tried to hush it:	彼はページから目をそらし黙らせようとした。
but it would not be hushed.	が、静まらなかった。
He began to rock it to and fro in his arms but its wailing cry grew keener.	彼はそれを腕の中で前後に揺すり始めたが、泣き叫ぶ声はより激しくなった。
He rocked it faster while his eyes began to read the second stanza:	彼はさらに早くそれを揺らす一方、目は第二節を読み始めた。
Within this narrow cell reclines her clay,	狭い小室に横たう土くれ
That clay where once...	かってそこには・・・
It was useless.	むだだった。
He couldn't read.	彼は読むことができなかった。
He couldn't do anything.	彼は何もできなかった。
The wailing of the child pierced the drum of his ear.	子供の泣き声は彼の鼓膜をつんざいた。
It was useless, useless!	むだだ、むだだ！
He was a prisoner for life.	彼は一生囚人だ。
His arms trembled with anger and suddenly bending to the child's face he shouted:	腕を怒りに震わせ、いきなり子供の顔にかがみながら彼は叫んだ。
"Stop!"	「やめるんだ！」
The child stopped for an instant, had a spasm of fright and began to scream.	その子は一瞬やめ、恐怖の発作を起こして悲鳴を上げ始めた。
He jumped up from his chair and walked hastily up and down the room with the child in his arms.	彼は椅子から跳び上がり、子供を腕に、あわてて部屋を行ったり来たり歩いた。
It began to sob piteously, losing its breath for four or five seconds, and then bursting out anew.	それは哀れげにすすり泣きを始め、四、五秒間息を切らしたり、それから改めてわっと泣いたりした。
The thin walls of the room echoed the sound.	部屋の薄い壁にその音が反響した。
He tried to soothe it but it sobbed more convulsively.	彼はなだめすかそうとしたが、それはますます痙攣を起こしたようにすすり上げた。
He looked at the contracted and quivering face of the child and began to be alarmed.	彼は子供のしかめた震える顔を見て不安になりだした。
He counted seven sobs without a break between them and caught the child to his breast in fright.	彼は休みなく七回すすり上げるのを数え、肝をつぶして子供を胸に抱きとめた。
If it died!...	もし死んだら！・・・
The door was burst open and a young woman ran in, panting.	ドアがぱっと開き、若い女が息を切らして駆け込んだ。
"What is it?	「どうしたの？
What is it?"	どうしたの？」
she cried.	と彼女は叫んだ。
The child, hearing its mother's voice, broke out into a paroxysm of sobbing.	子供は母親の声を聞いて急に激しいすすり泣きの発作に陥った。
"It's nothing, Annie ...	「なんでもないんだ、アニー・・・
it's nothing....	なんでもない・・・
He began to cry..."	この子が泣き出して・・・」
She flung her parcels on the floor and snatched the child from him.	彼女は包みを床に放り出し、子供を彼からひったくった。
"What have you done to him?"	「この子に何をしたの？」
she cried, glaring into his face.	と彼女は彼の顔をにらみつけながら叫んだ。
Little Chandler sustained for one moment the gaze of her eyes and his heart closed together as he met the hatred in them.	リトル・チャンドラーはちょっとの間彼女の目の凝視に耐えたが、その中の憎しみと出会うと同時に彼の心は閉じた。
He began to stammer:	彼は口ごもって言い始めた。
"It's nothing....	「なんにも・・・
He ...	この・・・
he began to cry....	子が泣き出して・・・
I couldn't ...	僕が何かしたはずが・・・
I didn't do anything....	何もしなかった・・・
What?"	え？」
Giving no heed to him she began to walk up and down the room, clasping the child tightly in her arms and murmuring:	彼を気にも留めずに彼女は部屋を行ったり来たり歩き始め、子供を固く抱きしめてささやいていた。
"My little man!	「私の坊や！
My little mannie!	私の坊やちゃん！
Was 'ou frightened, love?...	怖かったわねえ？・・・
There now, love!	さあさあ、ね！
There now!...	さあさあ！・・・
Lambabaun!	いい子ちゃん！
Mamma's little lamb of the world!...	ママの大事なかわいい坊や！・・・
There now!"	さあさあ！」
Little Chandler felt his cheeks suffused with shame and he stood back out of the lamplight.	リトル・チャンドラーは頬に羞恥心が広がるのを感じ、ランプの明かりの外へ引っ込んで立った。
He listened while the paroxysm of the child's sobbing grew less and less;	彼は子供のすすり泣きの発作が次第におさまっていく間耳を傾けていた。
and tears of remorse started to his eyes.	そして良心の呵責の涙が突然彼の目に浮かんできた。
