TO THE HESITATING PURCHASER	読もうかどうか迷っている人へ
and the men came out again, one after another, on the road	それから男たちは一人、また一人と外にでてきた。
and declared that we were nowhere to be found.	そして口々にあいつらはここにはいないですぜと報告した。
And just the same whistle that had alarmed my mother and myself over the dead captain's money was once more clearly audible through the night, but this time twice repeated.	ちょうどそのとき、死んだ船長の金を数えていた僕と母親をはっとさせたのと同じ口笛が夜の空にはっきりと響き渡り、それも今度は二回だった。
I had thought it to be the blind man's trumpet, so to speak, summoning his crew to the assault, but I now found that it was a signal from the hillside towards the hamlet,	僕はそれをめくらの男の甲高い声、いわば襲撃のために仲間を集める声かと思っていたが、今聞いてみると村の方角の丘のあたりからの合図らしかった。
and from its effect upon the buccaneers, a signal to warn them of approaching danger.	その合図を聞いた海賊たちの反応からすると、危険が近づいてるとでもいったような合図だったのだろう。
"There's Dirk again," said one.	「またダークの合図だ、
"Twice!	それも二回！
We'll have to budge, mates."	ずらかったほうが良くねぇか、みんな」と男の一人が口にした。
"Budge, you skulk!"	「ずらかるだって、この臆病者！」
cried Pew.	ピューはどなりつけた。
"Dirk was a fool and a coward from the first--you wouldn't mind him.	「ダークもだいたいからしてばかものだし、おまけに腰抜けときてる、やつにかまうんじゃねぇ。
They must be close by; they can't be far;	あいつらは近くにいるはずだ、それほど遠くにいけるはずがない。
you have your hands on it.	手のとどくところだぞ。
Scatter and look for them, dogs!	手分けして探すんだ、おまえら！
Oh, shiver my soul,"	あぁ、なんてことだ、
he cried, "if I had eyes!"	目が見えさえしたら！」めくらの男は叫んだ。
This appeal seemed to produce some effect, for two of the fellows began to look here and there among the lumber, but half-heartedly, I thought,	この言葉に奮い立ったようで、２人の男があたりの木の間をさがし始めたが、どうも気もそぞろといった感じだった。
and with half an eye to their own danger all the time,	僕が思うに自分たちに危険が迫ってることが頭から離れないようだった。
while the rest stood irresolute on the road.	他の男たちときたら道でぐずぐずしている始末だった。
"You have your hands on thousands, you fools, and you hang a leg!	「手の届くところに大金があるのに、このまぬけども、ぐずぐずするんじゃねぇ！
You'd be as rich as kings if you could find it, and you know it's here,	見つけたら王様ぐらい金持ちになるんだ、それがここにあるんだぞ。
and you stand there skulking.	でもっておまえらは、そこでこそこそ突っ立ってるのか。
There wasn't one of you dared face Bill, and I did it--a blind man!	だいたいおまえらのうち一人としてビルのところへ行かないもんだから、おれが行ったんだ、目が見えないにもかかわらずだ！
And I'm to lose my chance for you!	おまえらのためにチャンスをのがすのか！
I'm to be a poor, crawling beggar, sponging for rum, when I might be rolling in a coach!	おれは一文なしの、人にペコペコ頭を下げて、ラムをせびるこじきになるのか、馬車を乗りまわせるかもしれんのに！
If you had the pluck of a weevil in a biscuit you would catch them still."	もしおまえらに虫けらほどの勇気でもありゃあ、もうあいつらを捕まえてるはずだぞ」
"Hang it, Pew, we've got the doubloons!"	「やめとこうぜ、タブロン金貨を手に入れたことだし、ピュー」
grumbled one.	一人がそうつぶやくと、
"They might have hid the blessed thing,"	「地図はあいつらが隠したかもしれないし、」
said another.	と他の男も続けた。
"Take the Georges, Pew, and don't stand here squalling."	「ジョージ金貨を持ってこうぜ、ピュー、とにかくここで言い争ってる場合じゃあねぇ」
Squalling was the word for it;	言い争うというのは言いえて妙だった。
Pew's anger rose so high at these objections till at last, his passion completely taking the upper hand, he struck at them right and left in his blindness	ピューの怒りはその言葉でいよいよ火に油を注がれたようになり、ついには完全に怒り狂って、右に左にあたりかまわず杖でなぐりつけた。
and his stick sounded heavily on more than one.	殴られたものも一人ではすまなかった。
These, in their turn, cursed back at the blind miscreant, threatened him in horrid terms, and tried in vain to catch the stick and wrest it from his grasp.	そして今度は、周りの男がピューにくってかかり、ひどくおどしつけて、しっかりにぎっている杖をうばおうとしたができなかった。
This quarrel was the saving of us, for while it was still raging, another sound came from the top of the hill on the side of the hamlet--the tramp of horses galloping.	この争いが僕たちの救いとなって、そうこうしているうちに、村の方角の丘の頂上あたりから別の物音がして、それは馬の走る音だった。
Almost at the same time a pistol-shot, flash and report, came from the hedge side.	それと同時に、一発銃声が鳴り響いて、生垣のところでパッと火花が散った。
And that was plainly the last signal of danger,	危険の最後の合図としては十分すぎるほどのものだった。
for the buccaneers turned at once and ran, separating in every direction,	海賊たちはすぐさまきびすを返し、それぞれの方向にずらかった。
one seaward along the cove, one slant across the hill, and so on,	あるものは入り江の海岸に、あるものは丘をななめにといった具合だった。
so that in half a minute not a sign of them remained but Pew.	３０秒もしないうちに、ピューを残して誰一人いなくなってしまった。
Him they had deserted, whether in sheer panic or out of revenge for his ill words and blows I know not;	ピューは見捨てられた、単にパニックに陥ったからかもしれないし、ひどい事を言って杖で打ちつけたから仕返しされたのかもしれない。
but there he remained behind, tapping up and down the road in a frenzy, and groping and calling for his comrades.	僕にはわからないが、とにかく置き去りにされて、狂ったように杖で道をさぐり、手探りで仲間の助けを求めていた。
Finally he took a wrong turn and ran a few steps past me, towards the hamlet, crying, "Johnny, Black Dog, Dirk," and other names, "you won't leave old Pew, mates--not old Pew!"	しまいには、間違った方角をむき、僕のほんのそばを通り過ぎて、村の方向へ「ジョニー、黒犬、ダーク」や他の名前を、「どうか年寄りのピューを見捨てないでおくれよ、仲間だろ、ピューを見捨てないでくれ」とさけびながら走っていった。
Just then the noise of horses topped the rise, and four or five riders came in sight in the moonlight and swept at full gallop down the slope.	ちょうどそのとき、馬の音が大きくなって、４、５人の馬に乗った人が月明かりに姿を現し、全速力で坂を下ってきた。
At this Pew saw his error, turned with a scream, and ran straight for the ditch, into which he rolled.	ピューは自分が間違えたことに気づいて、悲鳴をあげて引き返したが、みぞに転がるようにしてはまり込んでしまった。
But he was on his feet again in a second and made another dash,	でも再びすぐさま自分で立ち上がると、駆け出した。
now utterly bewildered, right under the nearest of the coming horses.	ただまったく混乱していて、駆けおりてくる馬のちょうどすぐ近くに飛び出してしまった。
The rider tried to save him, but in vain.	馬に乗っていた人は、助けようとしたがだめだった。
Down went Pew with a cry that rang high into the night;	ピューは夜にひびきわたる甲高い悲鳴とともに倒れて、
and the four hoofs trampled and spurned him and passed by.	４つのひづめがピューをけって、はねとばし、通りすぎていった。
He fell on his side, then gently collapsed upon his face and moved no more.	ピューは横倒しになり、ゆっくりうつぶせになると、それ以上動くことはなかった。
I leaped to my feet and hailed the riders.	僕は立ち上がると、馬の乗り手を呼び止めた。
They were pulling up, at any rate, horrified at the accident;	その人たちは事故にとても驚いていたが、とにかく立ち止まった。
and I soon saw what they were.	僕は、すぐにだれがやってきたのかがわかった。
One, tailing out behind the rest, was a lad that had gone from the hamlet to Dr. Livesey's;	最後に姿を現したのが、村からリバシー先生のところに行ってくれた若者だったのだ。
the rest were revenue officers, whom he had met by the way, and with whom he had had the intelligence to return at once.	他の人たちは密輸の監視官で、若者と途中で出会って、機転をきかせすぐに一緒にとってかえしてくれたのだった。
Some news of the lugger in Kitt's Hole had found its way to Supervisor Dance and set him forth that night in our direction, and to that circumstance my mother and I owed our preservation from death.	監督官のダンスさんは、キット入り江に小型の船がいると聞きつけてちょうどこちらに来るところだったみたいで、こうして僕と母親は命拾いしたのだった。
Pew was dead, stone dead.	ピューは、完全に死んでいた。
As for my mother, when we had carried her up to the hamlet, a little cold water and salts and that soon brought her back again,	僕の母親は村まで運んでもらって、少しの冷たい水と塩ですぐに気がついた。
and she was none the worse for her terror, though she still continued to deplore the balance of the money.	だからといっていっこうに怖がるわけでもなく、金が足りないとぶつぶつこぼしていた。
In the meantime the supervisor rode on, as fast as he could, to Kitt's Hole;	そうしている間にも、監督官は全速力でキット入り江に馬でかけつけたが、
but his men had to dismount and grope down the dingle, leading, and sometimes supporting, their horses, and in continual fear of ambushes;	一行は馬からおりて手探りで馬を引きながら、ときにはささえて峡谷を下っていかなければならず、そして絶えず、待ち伏せにも気をくばらなければならなかった。
so it was no great matter for surprise that when they got down to the Hole the lugger was already under way,	だから入り江についたときには、小船がすでに出航していたのも、なんら驚くべきことではない。
though still close in.	ただ小船はまだすぐ近くにいたので、
He hailed her.	監督官は船に向かってさけんだが、
A voice replied, telling him to keep out of the moonlight or he would get some lead in him, and at the same time a bullet whistled close by his arm.	「月明かりの下でぐずぐずしてると、鉛玉をくらわせてやる」という声と同時に弾丸が監督官の腕をかすめていった。
Soon after, the lugger doubled the point and disappeared.	すぐに小船は岬をまわって姿を消してしまった。
Mr. Dance stood there, as he said,	ダンスさんはそこに立っていて、言うには
"like a fish out of water,"	「丘にあがった魚みたいなもの」
and all he could do was to dispatch a man to B---- to warn the cutter.	ということで、できるのはせいぜいブリストルに人をやって沿岸警備隊に警告するくらいということだった。
"And that," said he, "is just about as good as nothing.	「それも、なんにもしないのと同じことだな。
They've got off clean, and there's an end.	やつらはすっかり逃げおおせたし、それで終わりだ」
"Only," he added,	とダンスさんは言って、こう付け加えた。
"I'm glad I trod on Master Pew's corns,"	「ただ、ピューのやろうを踏みつけたのはよかった」
for by this time he had heard my story.	このときまでには、僕の話を聞いて知っていたのだ。
I went back with him to the Admiral Benbow, and you cannot imagine a house in such a state of smash;	ダンスさんといっしょにベンボウ提督亭にとってかえしたが、あれほどぐちゃぐちゃになった家というものがみなさんは想像できるだろうか。
the very clock had been thrown down by these fellows in their furious hunt after my mother and myself;	時計さえも母親とこの僕を怒りに任せて探すうちに、やつらが投げ飛ばしているありさまだった。
and though nothing had actually been taken away except the captain's money-bag and a little silver from the till, I could see at once that we were ruined.	そして実際には、船長の金の入った袋と引き出しからちょっとの銀を持っていかれただけだったが、僕はすぐに家はもう使えないということがわかった。
Mr. Dance could make nothing of the scene.	ダンスさんも合点がいかないようだった。
"They got the money, you say?	「やつらは金を持ってったといったね？
Well, then,	まあ、それはいい。
Hawkins, what in fortune were they after?	ホーキンス君、その他に何を探していたんだろう？
More money,	もっと金をか？
I suppose?"	私が考えつくのはそれくらいだがな」
"No, sir;	「違います、ダンスさん。
not money, I think,"	金じゃないと思います」
replied I.	と僕は答えた。
"In fact, sir, I believe I have the thing in my breast pocket;	「本当は、僕が胸ポケットに持っているものだと思うんですが．．．
and to tell you the truth, I should like to get it put in safety."	本当のことを言えばこれを安全なところに隠しておきたいんです」
"To be sure, boy;	「そうだな、
quite right,"	その通りだ」
said he.	ダンスさんは言った。
"I'll take it, if you like."	「よければ私があずかるが」
"I thought perhaps Dr. Livesey--"	「リバシー先生に．．．」
I began.	と僕が言うと、
"Perfectly right,"	「それがいい」
he interrupted very cheerily,	ダンスさんは全然機嫌をそこねた風ではなく僕の言葉をさえぎると、
"perfectly right	「それがいいよ。
--a gentleman and a magistrate.	紳士で、治安判事だしな。
And, now I come to think of it, I might as well ride round there myself and report to him or squire.	私も今思いついたが、リバシー先生か大地主さんのところまで行って、自分でちゃんと報告しておかないとな。
Master Pew's dead, when all's done;	ピューが死んで、すべてが終ったことだし。
not that I regret it,	ただそれを残念には思わんがな。
but he's dead, you see,	ともかく君も見たとおり、やつは死んだ。
and people will make it out against an officer of his Majesty's revenue, if make it out they can.	国王陛下の役人を非難する人もいるかもしれんし、もしできればだけどな。
Now, I'll tell you, Hawkins, if you like, I'll take you along."	さてホーキンス君、もしよければ一緒に連れて行ってやるよ」
I thanked him heartily for the offer,	僕はダンスさんに心からお礼をいった。
and we walked back to the hamlet where the horses were.	そして馬が置いてある村へ歩いて一緒にもどると、
By the time I had told mother of my purpose they were all in the saddle.	僕が母親にどうするかを話している頃には、みんな馬にまたがっていた。
"Dogger,"	「ドガー」
said Mr. Dance,	ダンスさんが言った。
"you have a good horse;	「おまえの馬はいい馬だ、
take up this lad behind you."	この子をおまえの後ろに乗せてやれ」
As soon as I was mounted, holding on to Dogger's belt, the supervisor gave the word, and the party struck out at a bouncing trot on the road to Dr. Livesey's house.	僕がまたがって、ドガーさんのベルトにつかまるとすぐに、監督官は号令をかけ、一行はリバシー先生の家に馬で急いだ。
6  The Captain's Papers	６ 船長の地図
WE rode hard all the way till we drew up before Dr. Livesey's door.	僕たちはリバシーさんの家まで馬を走らせ、玄関にたどりついた。
The house was all dark to the front.	表からみると家はまっ暗だった。
Mr. Dance told me to jump down and knock, and Dogger gave me a stirrup to descend by.	ダンスさんは、僕に馬をおりてドアをノックするようにといったので、ドガーさんがあぶみを差し出してくれて僕は馬を下りた。
The door was opened almost at once by the maid.	それと同時に玄関が開き、メイドが顔をだした。
"Is Dr. Livesey in?"	「リバシー先生はいますか？」
I asked.	と僕は尋ねたが、
No, she said, he had come home in the afternoon but had gone up to the hall to dine and pass the evening with the squire.	いいえというのがメイドの答えで、午後に先生は帰宅しましたけれど、大地主さんの家に夕食に呼ばれて、今晩はそこで過ごしているということだった。
"So there we go, boys,"	「では、そこへ行くとしよう、さぁ」
said Mr. Dance.	とダンスさんは言った。
This time, as the distance was short, I did not mount, but ran with Dogger's stirrup-leather to the lodge gates	今度はすぐ近くだったので僕は馬にも乗らず、ドガーさんのあぶみにつかまりながら走り、門番の小屋のところまで行った。
and up the long, leafless, moonlit avenue to where the white line of the hall buildings looked on either hand on great old gardens.	すっかり葉が散っていて、月明かりに照らされている長い並木道を上っていくと、古くて立派な庭の両側に屋敷の白い輪郭が見えるところまでやってきた。
Here Mr. Dance dismounted, and taking me along with him, was admitted at a word into the house.	そこでダンスさんも馬をおり僕を一緒に連れて、ひとこと断ると家の中に通された。
The servant led us down a matted passage and showed us at the end into a great library,	召使が先導し、僕らはマットが敷いてある廊下を歩き、つきあたりの大きな書斎に案内された。
all lined with bookcases and busts upon the top of them, where the squire and Dr. Livesey sat, pipe in hand, on either side of a bright fire.	そこには書棚がならんでいて、その上には胸像がおいてあり、大地主さんとリバシー先生はパイプを手にして暖炉の両脇に腰かけていた。
I had never seen the squire so near at hand.	僕は、そのときまで大地主さんをそんな近くで見たことはなかった。
He was a tall man, over six feet high, and broad in proportion, and he had a bluff, rough-and-ready face, all roughened and reddened and lined in his long travels.	大地主さんは背の高い人で６フィート以上あり、相応に肩幅がひろく、ぶっきらぼうで無骨な顔立ちをしており、長い旅行を重ねたためすっかり荒れた、赤茶けてしわだらけの顔をしていた。
His eyebrows were very black, and moved readily,	まゆげはまっくろで、よく動いていた。
and this gave him a look of some temper, not bad, you would say, but quick and high.	そのために機嫌がわるいというのではないけれど、いくぶん短気で怒りっぽいようにもみえた。
"Come in, Mr. Dance,"	「お入り、ダンス君」
says he, very stately and condescending.	と大地主さんが堂々として、ていねいにこういうと、
"Good evening, Dance," says the doctor with a nod.	先生も「こんばんは、ダンス君」と言ってうなずいた。
"And good evening to you, friend Jim.	「こんばんは、ジム君。
What good wind brings you here?"	ここにくるなんてどういう風のふきまわしだい？」
The supervisor stood up straight and stiff and told his story like a lesson;	監察官はピンとまっすぐ立つと、授業でもするかのように話を始めた。
and you should have seen how the two gentlemen leaned forward and looked at each other, and forgot to smoke in their surprise and interest.	２人の紳士が身を乗り出しお互いに見つめあいながら、驚きと興味のあまりタバコを吸うことも忘れている姿がどんなふうだったか、みなさんにお見せしたかったくらいだ。
When they heard how my mother went back to the inn, Dr. Livesey fairly slapped his thigh, and the squire cried "Bravo!" and broke his long pipe against the grate.	２人が僕の母親がどうやって宿屋に引き返したかを聞いたとき、リバシー先生は腿をパンと打ち、大地主さんは「偉いぞ！」と叫び、長いパイプを暖炉にぶつけて壊してしまった。
Long before it was done, Mr. Trelawney (that, you will remember, was the squire's name) had got up from his seat and was striding about the room,	話し終わるずっと前から、トレローニーさんは（おぼえているだろうか、それは大地主さんの名前だ）立ち上がって、部屋を大またで歩き回っていた。
and the doctor, as if to hear the better, had taken off his powdered wig and sat there looking very strange indeed with his own close-cropped black poll."	そして先生はもっとよく聞こうとでもするかのように髪粉をつけたかつらをはずして座り込んでいたが、短く刈り込んだ黒い頭はとても奇妙に見えたものだった。
At last Mr. Dance finished the story.	とうとうダンスさんは話し終えた。
"Mr. Dance,"	「ダンス君」
said the squire,	大地主さんは言った。
"you are a very noble fellow.	「君は見上げた男だよ。
And as for riding down that black, atrocious miscreant, I regard it as an act of virtue, sir, like stamping on a cockroach.	あの腹黒いたちの悪い悪党を馬で踏みつけたことについて言えば、ゴキブリを踏みつぶすような善行と考えていいと思うな。
This lad Hawkins is a trump, I perceive.	ホーキンズ君も大手柄だ。
Hawkins, will you ring that bell?	ホーキンズ君、ベルをならしてくれるかな？
Mr. Dance must have some ale."	ダンス君はビールを飲まなきゃいかん」
"And so, Jim,"	「そしてジム君」
said the doctor,	先生は言った。
"you have the thing that they were after, have you?"	「君はやつらが捜し求めてたものをもってるんだね、そうだろう？」
"Here it is, sir,"	「ええ、ここにあります」
said I, and gave him the oilskin packet.	と僕は言って、油布の包みを先生に渡した。
The doctor looked it all over, as if his fingers were itching to open it;	先生はそれをよく調べると、先生の指はそれを開けたくてうずうずしているようだったが、
but instead of doing that, he put it quietly in the pocket of his coat.	開ける代わりにコートのポケットに静かにしまいこんだ。
"Squire,"	「大地主さん」
said he,	先生は言った。
"when Dance has had his ale he must, of course, be off on his Majesty's service;	「ダンス君がビールを飲み終わったら、もちろん陛下のために働くため席をはずさなきゃなりません。
but I mean to keep Jim Hawkins here to sleep at my house,	でもジムはここにおいて、家に泊めてやろうと思うんです。
and with your permission, I propose we should have up the cold pie and let him sup."	お許しねがえるなら、冷たいパイをとりよせてジムに夕食をとらせてやりたいんですが」
"As you will, Livesey,"	「どうぞ、リバシーさん」
said the squire;	大地主さんはそういうと、
"Hawkins has earned better than cold pie."	「ホーキンズ君は、冷たいパイよりずっとすごいものを手に入れたんだしな」と続けた。
So a big pigeon pie was brought in and put on a sidetable, and I made a hearty supper, for I was as hungry as a hawk,	そして大きな鳩みたいなパイが運ばれてきて、僕は鷹みたいに腹を空かせていたので心ゆくまで食事をした。
while Mr. Dance was further complimented and at last dismissed.	その間ダンスさんはいろいろ誉められて、そして退席した。
"And now, squire,"	「さて、大地主さん」
said the doctor.	先生は言った。
"And now, Livesey,"	「さて、リバシーさん」
said the squire in the same breath.	大地主さんも同時に口を開いた。
"One at a time, one at a time,"	「一人ずつ、一人ずつ」
laughed Dr. Livesey.	リバシー先生は笑いながら言った。
"You have heard of this Flint, I suppose?"	「フリントのことは聞いたことがあるだろうねぇ」
"Heard of him!"	「フリントのことを聞いたことがあるかだって！」
cried the squire.	大地主さんが叫んだ。
"Heard of him, you say!	「聞いたことがあるかって言いましたな！
He was the bloodthirstiest buccaneer that sailed.	やつほど残虐無比な海賊はいませんぜ。
Blackbeard was a child to Flint.	黒ひげでさえフリントに比べれば子供みたいなもんだ。
The Spaniards were so prodigiously afraid of him that, I tell you, sir, I was sometimes proud he was an Englishman.	スペイン人のやつらときたらあんまりやつを恐れるもんで、正直な話、私はフリントがイギリス人なのを自慢したこともあったくらいだ。
I've seen his top-sails with these eyes, off Trinidad,	実際私はこの目でフリントのトップセイル（トップマストの帆）をみたことがあるんだ、トリニダードの沖合いでね。
and the cowardly son of a rum-puncheon that I sailed with put back--put back, sir, into Port of Spain."	私の乗ってた船の、あのラムばかりあおっていた臆病者の船長が逃げ出したんだ、そう、ポートオブスペインにね」
"Well, I've heard of him myself, in England,"	「そう、私もイギリスで彼のことは耳にしましたぞ」
said the doctor.	先生は言った。
"But the point is, had he money?"	「ただ肝心なのは、やつが金をもっていたかどうかですな？」
"Money!"	「金だって！」
cried the squire.	大地主さんは叫んだ。
"Have you heard the story?	「話をちゃんと聞いてなかったな？
What were these villains after but money?	あの悪党どもが探し回っているのが金じゃないなら何なんだい？
What do they care for but money?	やつらが金以外のなにを欲しがるというんだ？
For what would they risk their rascal carcasses but money?"	やつらが金以外のいったい何のために、自分の身を危険にさらすもんかい？」
"That we shall soon know,"	「すぐにわかりますよ」
replied the doctor.	先生は答えた。
"But you are so confoundedly hot-headed and exclamatory that I cannot get a word in.	「でもそんなにひどく興奮して大声をだされるようだと、一言もいえやしませんよ。
What I want to know is this:	私が知りたいのはこういうことです。
Supposing that I have here in my pocket some clue to where Flint buried his treasure, will that treasure amount to much?"	私のいまこのポケットにあるものが、フリントが宝物を埋めた場所への手がかりだとしたら、その宝物はすごいものでしょうかな？」
"Amount, sir!"	「そりゃあ！」
cried the squire.	大地主さんは叫ぶと、こう続けた。
"It will amount to this:	「そうですな、
If we have the clue you talk about, I fit out a ship in Bristol dock, and take you and Hawkins here along,	あなたが言うとおりの手がかりがあるなら、わたしはブリストルの波止場で船を見つけてきて、あなたとこのホーキンズ君と一緒にいきますぞ。
and I'll have that treasure if I search a year."	一年がかりでもその宝物を手に入れますよ。
"Very well,"	「よろしい」
said the doctor.	先生は続けた。
"Now, then, if Jim is agreeable, we'll open the packet";	「では、ジム君が賛成してくれるなら、この包みをあけてみることにしましょう」
and he laid it before him on the table.	と包みをテーブルの上に置いた。
The bundle was sewn together, and the doctor had to get out his instrument case and cut the stitches with his medical scissors.	包みは縫いつけられていたので、先生は自分の医療箱を取りだしてきて、医療用のはさみで縫い目を切らなければならなかった。
It contained two things--a book and a sealed paper.	中には２つのものが入っていて、１冊の帳簿と、一枚の封をした紙があった。
"First of all we'll try the book,"	「まず帳簿を調べてみよう」
observed the doctor.	先生はそう言った。
The squire and I were both peering over his shoulder as he opened it,	大地主さんと僕は、先生の肩ごしに帳簿を開くのをみていた。
for Dr. Livesey had kindly motioned me to come round from the side-table, where I had been eating, to enjoy the sport of the search.	リバシー先生は親切に僕にも食事をしていたサイドテーブルからこちらへくるように手招きしてくれたので、僕もそれを調べる楽しみに加わることができたのだ。
On the first page there were only some scraps of writing, such as a man with a pen in his hand might make for idleness or practice.	最初のページには、ペンを手にした人が試し書きでもしたような殴り書きがあるだけだった。
One was the same as the tattoo mark, "Billy Bones his fancy";	その一つはあの入れ墨と同じ「ビリーボーンズのお気に入り」というものだったし、
then there was "Mr. W. Bones, mate," "No more rum," "Off Palm Key he got itt," and some other snatches, mostly single words and unintelligible.	「Ｗ・ボーンズ氏、船乗り」、「ラムはけっこう」、「パルムキーの沖でそれを手に入れた」とかそんな殴り書きが、ほとんどは単語ではっきりしない文字が書かれていた。
I could not help wondering who it was that had "got itt," and what "itt" was that he got.	僕は「それを手に入れた」というのは誰がなのかとか、手に入れた「それ」とは何なのか、不審に思わずにはいられなかった。
A knife in his back as like as not.	背中にナイフでもくらったとかそんなことなんだろう。
"Not much instruction there,"	「ここにはたいした手がかりはないな」
said Dr. Livesey as he passed on.	リバシー先生はページを送りながらそう言った。
The next ten or twelve pages were filled with a curious series of entries.	次の10 〜12ぺージは奇妙な書き込みで埋めつくされていた。
There was a date at one end of the line and at the other a sum of money, as in common account-books, but instead of explanatory writing, only a varying number of crosses between the two.	行の端に日付があり、もう一方の端に金額があるのは普通の会計の帳簿と同じだったが、２つの間には説明書きのかわりにただ十字のしるしがそれぞれの行に違った数記入されているだけだった。
On the 12th of June, 1745, for instance, a sum of seventy pounds had plainly become due to someone, and there was nothing but six crosses to explain the cause.	例えば、1745年の6月12日には明らかに70ポンドを誰かに支払っていたが、その理由を説明しているのは６つの十字だけだった。
In a few cases, to be sure, the name of a place would be added, as "Offe Caraccas," or a mere entry of latitude and longitude, as "62o 17' 20", 19o 2' 40"."	確かに場所の名前を「カラカッサ沖」とか、単に緯度経度が62度17分20秒、19度2分40秒といったぐあいに書いてあるところもあった。
The record lasted over nearly twenty years, the amount of the separate entries growing larger as time went on, and at the end a grand total had been made out after five or six wrong additions, and these words appended, "Bones, his pile."	記録はおおよそ20年をこえるくらいも続いていて、金額の合計は年を経るにつれだんだん大きくなっていき、ついには総合計が５、６回も間違って合計されたあげくにはじき出されていて、「ボーンズ、その財産」となっていた。
"I can't make head or tail of this,"	「まったく訳がわからんな」
said Dr. Livesey.	と先生が言うと、
"The thing is as clear as noonday,"	「きわめて明らかじゃないか」
cried the squire.	大地主さんは叫んで、
"This is the black-hearted hound's account-book.	「これはあの悪魔のような犬畜生の会計簿ですよ。
These crosses stand for the names of ships or towns that they sank or plundered.	この十字のしるしはやつらが沈めたり、略奪した船や町の名前を示しているんでしょう。
The sums are the scoundrel's share, and where he feared an ambiguity, you see he added something clearer.	金額があの悪いやつの取り分で、あいまいかもしれないと思ったところに、あんたも見たようにはっきりと書き加えているんですな、
'Offe Caraccas,' now;	“カラカッサ沖”とか。
you see, here was some unhappy vessel boarded off that coast.	つまりその沖合いで海賊どもが横付けした不幸な船が何艘があって、
Godhelp the poor souls that manned her--coral long ago."	乗ってた人の骨はかわいそうにずっと昔にさんごにでもなってるかな、冥福を祈るよ（訳注1-1 ）」
"Right!"	「その通りだ！」
said the doctor.	先生は言った。
"See what it is to be a traveller.	「やっぱり旅行家たるものは違うなぁ。
Right!	その通りだ！
And the amounts increase, you see, as he rose in rank."	金額が増えているのは、そう、やつが偉くなるにつれてなんだ」
There was little else in the volume but a few bearings of places noted in the blank leaves towards the end and a table for reducing French, English, and Spanish moneys to a common value.	後はその冊子の最後の数ページの白紙にいくつかの場所の方角と、フランスとイギリスとスペインの換算表が書いてあるくらいのものだった。
"Thrifty man!"	「しっかりした男だ！」
cried the doctor.	先生は叫んだ。
"He wasn't the one to be cheated."	「だまされるような男じゃないな」
"And now,"	「さて」
said the squire,	大地主は言った。
"for the other."	「もう一つだ」
The paper had been sealed in several places with a thimble by way of seal;	その紙は何ヶ所も指貫で封印がされていた。
the very thimble, perhaps, that I had found in the captain's pocket.	たぶん僕が船長のポケットで見つけたあの指貫だ。
The doctor opened the seals with great care, and there fell out the map of an island, with latitude and longitude, soundings, names of hills and bays and inlets, and every particular that would be needed to bring a ship to a safe anchorage upon its shores.	先生はとても注意深く封を開けると、島の地図が出てきて、緯度経度と、水深、丘や湾そして入り江の名前があり、船が安全にその岸の停泊所に入港するのに必要な点がすべて記入されていた。
It was about nine miles long and five across, shaped, you might say, like a fat dragon standing up,	縦に９マイル横に５マイルほどで、その形は、こう言えるかもしれない、太った竜が立ち上がっているような形だと。
and had two fine land-locked harbours, and a hill in the centre part marked "The Spy-glass."	２つの陸に囲まれた良港があり、中央には「望遠鏡」という名前の丘が一つあった。
There were several additions of a later date, but above all, three crosses of red ink--two on the north part of the island, one in the southwest	その後の日付でもいくつかの追記があったが、結局、赤いインクで３つの十字が、２つは島の北の方に、１つが南西の方に記されていた。
--and beside this last, in the same red ink, and in a small, neat hand, very different from the captain's tottery characters, these words:	南西の方のしるしの側には、同じ赤いインクだが、小さなきちんとした字で、船長のよろめいた字とは似ても似つかない文字でこう書かれていた。
"Bulk of treasure here."	「宝物の大部分はここに」
Over on the back the same hand had written this further information:	裏にも同じ筆跡でより詳しいことが書かれていた。
Tall tree, Spy-glass shoulder, bearing a point to the N. of N.N.E.	北北東より１ポイント（訳注1-2）北の、望遠鏡の丘の肩の部分、高い木
Skeleton Island E.S.E. and by E.	どくろの島の東南東より東
Ten feet.	10フィート
The bar silver is in the north cache;	銀の延べ棒が北の隠し場所。
ten fathoms south of the black crag with the face on it.	東の小高い丘の傾斜面で、10尋（ひろ：手をひろげた大きさ）南の黒いごつごつした岩に面したところで見つかるだろう。
The arms are easy found,	武器はすぐにも見つかる。
in the sand-hill, N. point of north inlet cape, bearing E. and a quarter N.	北の入り江の岬の北方の、東から四分の一北の砂丘にある。
J.F.	Ｊ・Ｆ
That was all;	以上で、
but brief as it was, and to me incomprehensible, it filled the squire and Dr. Liveseywith delight.	短いけれども僕にはなんのことやらさっぱり分からなかったが、大地主さんとリバシー先生ときたら大喜びだった。
"Livesey,"	「リバシーさん」
said the squire,	大地主さんが言った。
