Classic Mystery and Detective Stories	世界怪談名作集
"I have no peace or rest for it.	「私はもうそれがために平和も安息も得られないのです。
It calls to me, for many minutes together, in an agonised manner,	あの幽霊はなんだか苦しそうなふうをして、何分間もつづけて私を呼ぶのです。
'Below there!	……〈下にいる人！
Look out!	見ろ、
Look out!'	見ろ〉
It stands waving to me.	……そうして、私を差し招くのです。
It rings my little bell--"	そうして、その小さいベルを鳴らすのです」
I caught at that.	私はそれを引き取って言った。
"Did it ring your bell yesterday evening when I was here,	「では、私がゆうべ来ていたときに、そのベルが鳴ったのですか。
and you went to the door?"	君はそれがために戸のところへ出て行ったのですか」
"Twice."	「そうです。
"Why, see,"	「どうもおかしいな」
said I,	と、私は言った。
"how your imagination misleads you.	「その想像は間違っているようですね。
My eyes were on the bell, and my ears were open to the bell, and if I am a living man, it did NOT ring at those times.	あのとき私の眼はベルの方を見ていて、私の耳はベルの方に向いていたのだから、私のからだに異状がない限りは、あのときにベルは一度も鳴らないと思いますよ。
No, nor at any other time,	あのとき以外にも鳴りませんでした。
except when it was rung in the natural course of physical things by the station communicating with you."	もっとも、君が停車場と通信をしていたときは別だが……」
He shook his head.	彼はかしらをふった。
"I have never made a mistake as to that yet, sir.	「わたしは今までベルを聞き誤まったことは一度もありません。
I have never confused the spectre's ring with the man's.	わたしは幽霊が鳴らすベルと、人間が鳴らすベルとを混同したことはありません。
The ghost's ring is a strange vibration in the bell that it derives from nothing else, and I have not asserted that the bell stirs to the eye.	幽霊の鳴らすベルは、なんともいえない一種異様のひびきで、そのベルは人の眼にみえるように動くのではないのです。
I don't wonder that you failed to hear it.	それがあなたの耳には聞こえなかったかも知れませんが、
But I heard it."	私には聞こえたのです」
"And did the spectre seem to be there, when you looked out?"	「では、あのときに外を見たらば、怪しい物がいたようでしたか」
"It WAS there."	「あすこにいました」
"Both times?"	「二度ながら……？」
He repeated firmly:	「二度ながら……」
"Both times."	と、彼ははっきりと言い切った。
"Will you come to the door with me, and look for it now?"	「では、これから一緒に出て行って見ようじゃありませんか」
He bit his under lip as though he were somewhat unwilling, but arose.	彼は下くちびるを噛みしめて、あまり行きたくない様子であったが、それでも故障なしに起ちあがった。
I opened the door, and stood on the step, while he stood in the doorway.	私はドアをあけて階段に立つと、彼は入り口に立った。
There was the Danger-light.	そこには危険信号燈が見える。
There was the dismal mouth of the tunnel.	暗いトンネルの入り口がみえる。
There were the high, wet stone walls of the cutting.	ぬれた岩の高い断崖がみえる。
There were the stars above them.	その上にはいくつかの星がかがやいていた。
"Do you see it?"	「見えますか」
I asked him, taking particular note of his face.	と、私は彼の顔に特別の注意を払いながら訊いた。
His eyes were prominent and strained, but not very much more so, perhaps, than my own had been when I had directed them earnestly towards the same spot.	彼の眼は大きく
"No," he answered. "It is not there."	「いえ、いません」
"Agreed,"	「わたしにも見えない」
We went in again, shut the door, and resumed our seats.	二人は再びうちにはいって、ドアをしめて椅子にかかった。
I was thinking how best to improve this advantage,	私はいまこの機会をいかによく利用しようかということを考えていたのである。
if it might be called one, when he took up the conversation in such a matter-of-course way, so assuming that there could be no serious question of fact between us,	たとい何か彼を呼ぶものがあるとしても、ほとんど真面目に論議するにも足らないような事実を楯（たて）にとって、彼がそれを当然のことのように主張する場合には、なんと言ってそれを説き導いてよかろうか。
that I felt myself placed in the weakest of positions.	そうなると、わたしははなはだ困難な立場にあると思ったからである。
"By this time you will fully understand, sir," he said, "that what troubles me so dreadfully is the question, What does the spectre mean?"	「これで、私がどんなに困っているかということが、あなたにもよくお分かりになったろうと思いますが、いったいなんであの幽霊が出るのでしょうか」
I was not sure, I told him, that I did fully understand.	私は彼に対して、自分はまだ十分に理解したとは言いかねると答えると、
"What is its warning against?"	彼はその眼を爐の火に落として、時どきに私の方をみかえりながら、沈みがちに言った。
he said, ruminating, with his eyes on the fire, and only by times turning them on me.	「なんの知らせでしょうか。
"What is the danger?	どんな変事が起こるのでしょうか。
Where is the danger?	その変事はどこに起こるのでしょうか。
There is danger overhanging somewhere on the Line.	線路の上のどこかに危険がひそんでいて、
Some dreadful calamity will happen.	おそるべき禍（わざわ）いが起こるのでしょう。
It is not to be doubted this third time, after what has gone before.	いままでのことを考えると、今度は三度目です。
But surely this is a cruel haunting of ME.	しかし、これはたしかに私を残酷に苦しめるというものです。
What can I do?"	どうしたらいいでしょうか」
He pulled out his handkerchief, and wiped the drops from his heated forehead.	彼はハンカチーフを取り出して、その熱いひたいからしたたる汗を拭いた。
"If I telegraph Danger, on either side of me, or on both, I can give no reason for it,"	そうして、さらに手のひらを拭きながら言った。
he went on, wiping the palms of his hands.	「わたしが上下線の一方か、または両方へ危険信号を発するとしても、さてその理由をいうことが出来ないのです。
"I should get into trouble, and do no good.	私はいよいよ困るばかりで、碌（ろく）なことにはなりません。
They would think I was mad.	みんなは私が気でも狂ったと思うでしょう。
This is the way it would work,	まずこんなことになります。
--Message:  'Danger!  Take care!'	……私が〈危険、警戒ヲ要ス〉という信号をすると、
Answer:  'What Danger?  Where?'	〈イカナル危険ナリヤ、場所ハイズコナリヤ〉という返事が来ます。
Message:  'Don't know. But, for God's sake, take care!' They would displace me.	それにたいして、私が〈ソレハ不明、ゼヒトモ警戒ヲ要ス〉と答えるとしたら、どうなるでしょう。
What else could they do?"	結局わたしは免職になるのほかはありますまい」
His pain of mind was most pitiable to see.	彼の悩みは見るにたえないほどであった。
It was the mental torture of a conscientious man, oppressed beyond endurance by an unintelligible responsibility involving life.	こんな不可解の責任のために、その生活をもくつがえすということは、実直な人間にとって精神的苦痛に相違なかった。
"When it first stood under the Danger-light,"	彼は黒い髪をうしろへ押しやって、極度の苦悩にこめかみをこすりながら言いつづけた。
he went on, putting his dark hair back from his head, and drawing his hands outward across and across his temples in an extremity of feverish distress,	「その怪しい影が初めて危険信号燈の下に立った時に、どこに事件が起こるかということを、なぜ私に教えてくれないのでしょう。
--if it must happen?	それがどうしても起こるのなら……。
Why not tell me how it could be averted,--if it could have been averted?	そうしてまた、それが避けられるものならば、どうしたらそれを避けられるかということを、なぜ私に話してくれないのでしょう。
When on its second coming it hid its face, why not tell me, instead,	二度目に来た時には顔を隠していましたが、なぜその代りに
'She is going to die.	〈女が死ぬ、
Let them keep her at home'?	外へ出すな〉
If it came, on those two occasions, only to show me that its warnings were true, and so to prepare me for the third, why not warn me plainly now?	前の二度の場合は、その予報が事実となって現われることを示して、私に三度目の用意をしろと言うにとどまるならば、なぜもっとはっきりと私に説明してくれないのでしょう。
And I, Lord help me!	悲しいかな、
A mere poor signal-man on this solitary station!	私はこの寂寥（せきりょう）たるステーションにある一個の哀れなる信号手に過ぎないのです。
Why not go to somebody with credit to be believed, and power to act?"	彼はなぜ私以上に信用もあり実力もある人のところへ行かないのでしょうか」
When I saw him in this state, I saw that for the poor man's sake, as well as for the public safety, what I had to do for the time was to compose his mind.	このありさまを見た時に、私はこの気の毒な男のために、また二つには公衆の安全のために、自分としてはこの場合、つとめて彼の心を取り鎮めるように仕向けなければならないと思った。
Therefore, setting aside all question of reality or unreality between us, I represented to him that whoever thoroughly discharged his duty must do well, and that at least it was his comfort that he understood his duty, though he did not understand these confounding Appearances.	そこで私は、それが事実であるかないかというような問題を別にして、誰でもその義務をまっとうするほどの人は、せいぜいその仕事をよくしなければならないということを説きすすめると、彼は怪しい影の出現について依然その疑いを解かないまでも、自己の職責をまっとうするということについて一種の慰藉（いしゃ）を感じたらしく、
In this effort I succeeded far better than in the attempt to reason him out of his conviction.	この努力は彼が信じている怪談を理屈で説明してやるよりも遙かに好結果を奏したのであった。
He became calm;	彼は落ちついてきた。
the occupations incidental to his post as the night advanced began to make larger demands on his attention:	夜の更（ふ）けるにしたがって、彼は自分の持ち場に偶然おこるべき事故に対して、いっそうの注意を払うようになった。
and I left him at two in the morning.	私は午前二時ごろに彼に別れて帰った。
I had offered to stay through the night, but he would not hear of it.	朝まで一緒にとどまっていようと言ったのであるが、彼はそれには及ばないと断わったのである。
That I more than once looked back at the red light as I ascended the pathway,	わたしは坂路を登るときに、いくたびか、あの赤い灯をふり返って見た。
that I did not like the red light,	その灯はどうも心持ちがよくなかった。
and that I should have slept but poorly if my bed had been under it,	もしあの下にわたしの寝床があったとしたら、私はおそらく眠られないであろう。
I see no reason to conceal.	まったくそうである。
Nor did I like the two sequences of the accident and the dead girl.	私はまた、鉄道事故と死んだ女との二つの事件についても、いい心持ちがしない。
I see no reason to conceal that either.	どちらもまったくそうである。
But what ran most in my thoughts was the consideration how ought I to act, having become the recipient of this disclosure?	しかもそれらのことよりも最も私の気にかかるのは、この打ち明け話を聴いた私の立ち場として、これをどうしたらいいかということであった。
I had proved the man to be intelligent, vigilant, painstaking, and exact;	かの信号手は相当に教育のある、注意ぶかい、丹念な確かな人間であるには相違ないが、
but how long might he remain so, in his state of mind?	ああいう心持ちでいた日には、それがいつまで続くやら分からない。
Though in a subordinate position, still he held a most important trust,	彼の地位は低いけれども、最も重要な仕事を受け持っているのである。
and would I (for instance) like to stake my own life on the chances of his continuing to execute it with precision?	私もまた彼があくまでも、かの事件の探究を続けるという場合に、いつまでも一緒になって自分の暇をつぶしてはいられないのである。
Unable to overcome a feeling that there would be something treacherous in my communicating what he had told me to his superiors in the Company, without first being plain with himself and proposing a middle course to him, I ultimately resolved to offer to accompany him (otherwise keeping his secret for the present) to the wisest medical practitioner we could hear of in those parts, and to take his opinion.	わたしは彼が所属の会社の上役に書面をおくって、彼から聴いた顛末（てんまつ）を通告しようかと思ったが、彼になんらの相談もしないで仲介の位地（いち）に立つことは、なんだか彼を裏切るような感じが強かったので、私は最後に決心して、この方面で知名の熟練の医師のところへ彼を同伴して、一応（いちおう）その医師の意見を聴くことにした。
A change in his time of duty would come round next night, he had apprised me, and he would be off an hour or two after sunrise, and on again soon after sunset.	彼の話によると、信号手の交代時間は次の日の夜に廻って来るので、彼は日の出後一、二時間で帰ってしまって、日没後から再び職務に就くことになっているというので、
I had appointed to return accordingly.	私もひとまず帰ることにした。
Next evening was a lovely evening, and I walked out early to enjoy it.	次の夜は心持ちのいい晩で、わたしは遊びながらに早く出た。
The sun was not yet quite down when I traversed the field-path near the top of the deep cutting.	例の断崖の頂上に近い畑路を横ぎるころには、夕日がまだまったく沈んでいなかったので、
I would extend my walk for an hour, I said to myself,	もう一時間ばかり散歩しようと私は思った。
half an hour on and half an hour back, and it would then be time to go to my signal-man's box.	半時間行って、半時間戻れば、信号手の小屋へ行くにはちょうどいい刻限になるのであった。
Before pursuing my stroll, I stepped to the brink, and mechanically looked down, from the point from which I had first seen him.	そこで、このそぞろ歩きをつづける前に、わたしは崖のふちへ行って、先夜初めて信号手を見た地点から何ごころなく見おろすと、
I cannot describe the thrill that seized upon me,	私はなんとも言いようがないようにぞっとした。
when, close at the mouth of the tunnel, I saw the appearance of a man, with his left sleeve across his eyes, passionately waving his right arm.	トンネルの入り口に近いところで、ひとりの男が左の袖（そで）を眼にあてながら、熱狂的にその右の手を振っているのである。
The nameless horror that oppressed me passed in a moment,	わたしを圧迫したその言い知れない恐怖は、一瞬間にして消え失せた。
for in a moment I saw that this appearance of a man was a man indeed,	次の瞬間には、その男がほんとうの人間であることが分かったのである。
and that there was a little group of other men, standing at a short distance, to whom he seemed to be rehearsing the gesture he made.	それから少し離れたところには、いくらかの人がむらがっていて、かの男はその群れにむかって何かの手真似をしているのであった。
The Danger-light was not yet lighted.	危険信号燈にはまだ灯がはいっていなかった。
Against its shaft, a little low hut, entirely new to me,	私はこのとき初めて見たのであるが、信号燈の柱のむこうに小さい低い小屋があった。
had been made of some wooden supports and tarpaulin.	それは木材と脂布（あぶらぬの）とで作られて、
It looked no bigger than a bed.	やっと寝台を入れるくらいの大きさであった。
With an irresistible sense that something was wrong,	何か変事が出来（しゅったい）したのではないか。
--with a flashing self-reproachful fear that fatal mischief had come of my leaving the man there,	私が信号手ひとりをそこに残して帰ったがために、何か致命的（ちめいてき）の災厄が起こったのではあるまいか。
and causing no one to be sent to overlook or correct what he did,	だれも彼のすることを見ている者もなく、またそれを注意する者もなかったがために、何かの変事が出来したのではあるまいか。
--I descended the notched path with all the speed I could make.	――こういう自責の念に駆（か）られながら、私は出来るだけ急いで坂路を降りて行った。
"What is the matter?"	「何事が起こったのです」
I asked the men.	と、私はそこらにいる人たちに訊いた。
"Signal-man killed this morning, sir."	「信号手が、けさ殺されたのです」
"Not the man belonging to that box?"	「この信号所の人ですか」
"Yes, sir."	「そうです」
"Not the man I know?"	「では、わたしの知っている人ではないかしら」
"You will recognise him, sir, if you knew him,"	「ご存じならば、お分かりになりましょう」
said the man who spoke for the others, solemnly uncovering his own head,	と、一人の男が他に代って、丁寧に脱帽して答えた。
and raising an end of the tarpaulin,	そうして、脂布のはしをあげて、
"for his face is quite composed."	「まだ顔はちっとも変わっていません」
"Oh,	「おお。
how did this happen, how did this happen?"	どうしたのです、どうしてこんなことになったのです」
I asked, turning from one to another as the hut closed in again.	小屋が再びしめられると、私は人びとを交るがわるに見まわしながら訊いた。
"He was cut down by an engine, sir.	「機関車に轢（ひ）かれたのです。
No man in England knew his work better.	英国じゅうでもこの男ほど自分の仕事をよく知っている者はなかったのですが、
But somehow he was not clear of the outer rail.	あるいは外線のことについていくらか暗いところがあったと見えます。
It was just at broad day.	時は真っ昼間で、
He had struck the light, and had the lamp in his hand.	この男は信号燈をおろして、手にランプをさげていたのです。
As the engine came out of the tunnel, his back was towards her, and she cut him down.	機関車がトンネルから出て来たときに、この男は機関車の方へ背中をむけていたものですから、たちまちに轢かれてしまいました。
That man drove her, and was showing how it happened .	あの男が機関手で、今そのときの話をしているところです。
Show the gentleman, Tom."	おい、トム。
The man, who wore a rough dark dress, stepped back to his former place at the mouth of the tunnel.	粗末な黒い服を着ている男が、さきに立っていたトンネルの入り口に戻って来て話した。
"Coming round the curve in the tunnel, sir,"	「トンネルの曲線（カーブ）まで来たときに、
"I saw him at the end, like as if I saw him down a perspective-glass.	そのはずれの方にあの男が立っている姿が遠眼鏡をのぞくように見えたのですが、
There was no time to check speed,	もう速力をとめる暇（ひま）がありません。
and I knew him to be very careful.	また、あの男もよく気がついていることだろうと思っていたのです。
As he didn't seem to take heed of the whistle, I shut it off when we were running down upon him, and called to him as loud as I could call."	ところが、あの男は汽笛をまるで聞かないらしいので、私は汽笛をやめて、精いっぱいの大きい声で呼びましたが、もうその時にはあの男を轢き倒しているのです」
"What did you say?"	「なんと言って呼んだのです」
"I said,	「下にいる人！
'Below there!	見ろ、見ろ。
Look out!	どうぞ退（ど）いてくれ。
Look out!	……と、言いました」
I started.	私はぎょっとした。
"Ah! it was a dreadful time, sir.	「実にどうも忌（いや）でしたよ。
I never left off calling to him.	私はつづけて呼びました。
I put this arm before my eyes not to see, and I waved this arm to the last;	もう見ているのがたまらないので、私は自分の片腕を眼にあてて、片手を最後まで振っていたのですが、
but it was no use."	やっぱり駄目（だめ）でした」
Without prolonging the narrative to dwell on any one of its curious circumstances more than on any other, I may, in closing it, point out the coincidence that the warning of the Engine-Driver included, not only the words which the unfortunate Signal-man had repeated to me as haunting him, but also the words which I myself--not he--had attached, and that only in my own mind, to the gesticulation he had imitated.	この物語の不思議な事情を詳細に説明するのはさておいて、終わりに臨んで私が指摘したいのは、不幸なる信号手が自分をおびやかすものとして、私に話して聞かせた言葉ばかりでなく、わたし自身が
