PETER PAN IN KENSINGTON GARDENS 　James Matthew Barrie	ケンジントン公園のピーターパン
anything useless which drifted upon the island was usually given to Peter as a play-thing.	島に流れ着いた役にたたないものは、いつもピーターのおもちゃとして与えられるのでした。
But he did not play with his precious bank-note,	でもピーターは、この大事な紙幣を遊び道具にはしませんでした。
for he knew what it was at once, having been very observant during the week when he was an ordinary boy.	というのも、普通の子供だった一週間の間に注意深くみていたので、これが何かはちゃんと分かっていたのです。
With so much money, he reflected, he could surely at last contrive to reach the Gardens,	こんなにお金を持っていて、その上ピーターはよく考えたので、とうとう公園までたどりつくことができたのです。
and he considered all the possible ways, and decided (wisely, I think) to choose the best way.	ピーターはいろいろな方法を考えて、もっともいい方法を選びました（とても賢いですね）。
But, first, he had to tell the birds of the value of Shelley's boat;	でも最初に鳥たちにシェリーのボートの価値を言わなければなりません。
and though they were too honest to demand it back, he saw that they were galled,	鳥たちは正直者で紙幣を返しておくれとは言いませんでしたが、ピーターは鳥たちが悔しがっているのが分かりました。
and they cast such black looks at Solomon, who was rather vain of his cleverness, that he flew away to the end of the island, and sat there very depressed with his head buried in his wings.	そして自分の賢さを自慢していたソロモンを軽蔑したような目でみたので、ソロモンは島の隅の方に飛んでいって、羽に頭をうずめてしょんぼり座りこんでしまいました。
Now Peter knew that unless Solomon was on your side, you never got anything done for you in the island, so he followed him and tried to hearten him.	でもピーターはソロモンが味方になってくれなければ、この島ではなにもできないことを知っていたので、ソロモンのあとを追って励まそうとしたのでした。
Nor was this all that Peter did to pin the powerful old fellow's good will.	ピーターが力をもっている老ソロモンの好意を射止めようとして、やった事はこれだけではありません。
You must know that Solomon had no intention of remaining in office all his life.	あなたも知ってるように、ソロモンはそもそも一生仕事にあけくれるなんて夢にも思っていません。
He looked forward to retiring by-and-by, and devoting his green old age to a life of pleasure on a certain yew-stump in the Figs which had taken his fancy,	だんだんリタイアして、老年期はソロモンが大好きなイチジクの森にある、あのセイヨウイチイの切り株あたりで楽しい余生をおくりたいと夢見ていました。
and for years he had been quietly filling his stocking.	それで何年もの間、もくもくと靴下に蓄えをしていたのでした。
It was a stocking belonging to some bathing person which had been cast upon the island,	その靴下は水浴びをしていた人の持ち物で、その人が島の方へと投げ込んだものでした。
and at the time I speak of it contained a hundred and eighty crumbs, thirty-four nuts, sixteen crusts, a pen-wiper and a bootlace.	初めから靴下の中には１８０ものパンくず、３４の木の実、１６のパンの耳、万年筆のインクふき、そして靴ひも一本が入ったことは言っておきましょう。
When his stocking was full, Solomon calculated that he would be able to retire on a competency.	靴下が一杯になった時、ソロモンは収入の心配はしなくてもリタイアできるという計画を立てたのです。
Peter now gave him a pound.  He cut it off his bank-note with a sharp stick.	ピーターは、５ポンド紙幣を先の鋭いもので切り分けて、１ポンドをソロモンにあげました。
This made Solomon his friend for ever,	これでピーターとソロモンは生涯の友になりました。
and after the two had consulted together they called a meeting of the thrushes.	２人は一緒に相談して、つぐみの集会を呼びかけました。
You will see presently why thrushes only were invited.	どうしてつぐみだけに呼びかけたのかは、いずれおわかりになるでしょう。
The scheme to be put before them was really Peter's, but Solomon did most of the talking, because he soon became irritable if other people talked.	つぐみたちの前に持ち出された計画というのは、本当はピーターが考えたものでしたが、ソロモンは他人が話しているとすぐにいらいらし始めるので、ほとんどの部分をソロモン自身で説明しました。
He began by saying	ソロモンはこういう話からはじめました。
that he had been much impressed by the superior ingenuity shown by the thrushes in nest-building, and this put them into good-humour at once,	つぐみたちの巣作りの見事なことにわしはずっと感心してきたんだと、これはつぐみたちをたちまち上機嫌にさせました。
as it was meant to do;	もちろんそうするつもりで言ったことです。
for all the quarrels between birds are about the best way of building nests.	なぜ上機嫌になるかといえば、鳥たちの言いあらそいの原因は、いつも誰が一番巣を作るのが上手いかということなのです。
Other birds, said Solomon, omitted to line their nests with mud, and as a result they did not hold water.	ソロモンはこうも言いました。
Here he cocked his head as if he had used an unanswerable argument;	そしてソロモンは、反論は許さんとばかりにふんぞり返りました。
but, unfortunately, a Mrs. Finch had come to the meeting uninvited, and she squeaked out,	ただ、不運なことに、ちいさな鳥のご婦人が１匹紛れ込んでいてこう叫んだのです。
"We don't build nests to hold water, but to hold eggs,"	「わたしらは、水をためるためじゃなくて、卵を入れとくために巣を作りますけどね」
and then the thrushes stopped cheering, and Solomon was so perplexed that he took several sips of water.	つぐみたちはおしゃべりを止め、ソロモンは慌てふためいて何杯も水を飲む始末です。
"Consider,"	「考えてもみなさい」
he said at last,	やっとソロモンは口を開くと
"how warm the mud makes the nest."	「泥がどれほど巣を暖かくしてくれてることか」と言いました。
"Consider,"	「考えてもください、」
cried Mrs. Finch,	ちいさな鳥のご婦人は答えました。
"that when water gets into the nest it remains there and your little ones are drowned".	「巣の中に水が入ってたまったら、子供はおぼれてしまいます」
The thrushes begged Solomon with a look to say something crushing in reply to this,	つぐみたちは、ソロモンがこれを論破してくれるのを期待するような顔つきです。
but again he was perplexed.	でもソロモンは、またまた慌てふためいてしまいました。
"Try another drink,"	「もう一杯水をのんで」
suggested Mrs. Finch pertly.	ケイトと言う名前のちいさな鳥のご婦人は小生意気そうに言いました。
Kate was her name, and all Kates are saucy.	ケイトなんて名前の人は生意気って相場がきまってます。
Solomon did try another drink, and it inspired him.	ソロモンはもう一杯水を飲もうとして、ひらめきました。
"If," said he, "a finch's nest is placed on the Serpentine it fills and breaks to pieces,	「もしちいさな鳥のご婦人の巣をサーペンタイン池に置いたら、水浸しでばらばらになるよ。
but a thrush's nest is still as dry as the cup of a swan's back."	でもつぐみの巣ときたら、白鳥の背中にのったカップみたいにぬれることはない」
How the thrushes applauded!	どれほどつぐみたちが喜んだことでしょう！
Now they knew why they lined their nests with mud,	ようやくどうして自分たちが巣を泥でかためるかの理由が分かったのですから。
and when Mrs. Finch called out,	そしてちいさな鳥のご婦人が
"We don't place our nests on the Serpentine,"	「サーペンタイン池に巣を置くことなんてないわ」
they did what they should have done at first:	なんて叫んだときには、最初からそうすべきだったことをつぐみたちはしてのけました。
chased her from the meeting.	つまりちいさな鳥のご婦人を集会から追い払ったのです。
After this it was most orderly.	追い出した後は、整然と話は進みました。
What they had been brought together to hear, said Solomon, was this:	「君達にわざわざ集まって聞いてもらいたかったことは、こういうことなんだ」
their young friend, Peter Pan, as they well knew, wanted very much to be able to cross to the Gardens,	「きみたちの若き友人でもあるピーターパン君が、きみらもよくご存知だろうが、ケンジントン公園まで是が非でも池を渡ってｎいきたいということなんだよ」
and he now proposed, with their help, to build a boat.	だからつぐみたちに手伝ってもらって、ボートが作れないだろうかと申し出たのでした。
At this the thrushes began to fidget, which made Peter tremble for his scheme.	これを聞くとつぐみたちがそわそわしはじめましたので、ピーターは自分の計画が心配になりました。
Solomon explained hastily	ソロモンはあわてて自分の言ったことを説明しました。
that what he meant was not one of the cumbrous boats that humans use;	人間たちが使うようなかさばるボートじゃなくて、
the proposed boat was to be simply a thrush's nest large enough to hold Peter.	ピーターを乗せるのに十分なくらいの簡単なつぐみの巣を作りたいんだと。
But still, to Peter's agony, the thrushes were sulky.	でもまだピーターにとっては心配なことに、つぐみたちは不機嫌でした。
"We are very busy people,"	「わたしたちは忙しいですからね、」
they grumbled,	とぶつくさ言いました。
"and this would be a big job."	「大変な仕事です」
"Quite so,"	「そうだろうとも」
said Solomon,	ソロモンは言いました。
"and, of course, Peter would not allow you to work for nothing.	「もちろんピーターは、ただで働いてもらおうなんて思ってないよ。
You must remember that he is now in comfortable circumstances,	ピーターが、今とても裕福だという事を忘れてもらいたくないね。
Peter Pan authorises me to say	ピーターパンは私にこう発言することを許してくれたよ。
that you shall all be paid sixpence a day."	君たちみんな１日６ペンスもらえるとね」
Then all the thrushes hopped for joy,	そしてつぐみたちは全員、喜びのあまり飛び跳ねました。
and that very day was begun the celebrated Building of the Boat.	まさにその日から名高いボート作りが始まったのです。
All their ordinary business fell into arrears.	いつもの仕事は全部後回しです。
It was the time of year when they should have been pairing, but not a thrush's nest was built except this big one,	この時期は１年の内でちょうどつぐみがつがいになっているときでしたが、この大きな巣以外はひとつもつぐみの巣は作られませんでした。
and so Solomon soon ran short of thrushes with which to supply the demand from the mainland.	そしてソロモンのところでは、すぐに人間界からうけた注文をこなすつぐみが足りなくなりました。
The stout, rather greedy children, who look so well in perambulators but get puffed easily when they walk, were all young thrushes once,	頑丈でどちらかといえばがつがつ食べるような、乳母車の中では元気一杯で歩かせても息を切らさないような子供は、みんなかつて若いつぐみだったのです。
and ladies often ask specially for them.	女の人たちは、格別つぐみを欲しがるものです。
What do you think Solomon did?	ソロモンはどうしたと思います？
He sent over to the housetops for a lot of sparrows and ordered them to lay their eggs in old thrushes' nests	屋根の上にたくさんいるすずめたちに使いをやって、古いつぐみの巣でたまごを生むように命令しました。
and sent their young to the ladies and swore they were all thrushes!	そして女の人たちにすずめの子供を送りつけ、みんなつぐみだよと断言したのでした。
It was known afterward on the island as the Sparrows' Year,	のちになってこの島では、その年はすずめの年として知られるようになりました。
and so, when you meet, as you doubtless sometimes do, grown-up people who puff and blow as if they thought themselves bigger than they are,	あなたも、まるで自分が実際より年をとっていると考えていて、すぐ息を切らす大人に会ったことが、たしかに時々会うことでしょう。
very likely they belong to that year.	彼らはたぶん、その年に生まれたにちがいありません。
You ask them.	聞いてみてください。
Peter was a just master,	ピーターはきちんとした親方でした。
and paid his work-people every evening.	毎日夕方に給料を払いました。
They stood in rows on the branches, waiting politely while he cut the paper sixpences out of his bank-note,	つぐみたちは木の枝に一列になって礼儀正しく、ピーターが紙幣を６ペンスに切り分ける間、待っていました。
and presently he called the roll, and then each bird, as the names were mentioned, flew down and got sixpence.	そしてしばらくするとピーターが名簿を読み上げて、それぞれの鳥が自分の名前が呼ばれると降りてきて、６ペンスを持って飛んで行きました。
It must have been a fine sight.	それはそれは、すてきな光景だったに違いありません。
And at last, after months of labor, the boat was finished.	何ヶ月も働いた末に、ついにボートができあがりました。
Oh, the deportment of Peter as he saw it growing more and more like a great thrush's nest!	ええ、だんだん素晴らしいつぐみの巣みたいに大きくなっていくのを見ているピーターの態度といったら。
From the very beginning of the building of it he slept by its side, and often woke up to say sweet things to it,	ほんの少しばかりできたときから、ボートの横でねて、すぐ起きてはやさしい言葉をかけていました。
and after it was lined with mud and the mud had dried he always slept in it.	そして泥でかためられて、泥がすっかり乾いてからは、いつもボートの中で寝ていました。
He sleeps in his nest still,	ピーターは、今でもボートの中で寝ます。
and has a fascinating way of curling round in it,	背中をまげたかわいい姿で寝るのです。
for it is just large enough to hold him comfortably when he curls round like a kitten.	というのもボートは、ピーターが子猫のように丸まって入って、ちょうど快適という大きさですから。
It is brown inside, of course, but outside it is mostly green, being woven of grass and twigs,	ボートはもちろん中は茶色で、外は草と枝で編み上げられていて、ほとんど緑色でした。
and when these wither or snap the walls are thatched afresh.	草と枝が枯れたり折れたりすると、新しくふきかえるのでした。
There are also a few feathers here and there, which came off the thrushes while they were building.	あちらこちらに鳥の羽も編みこまれていますが、巣を作る時につぐみたちから抜けたものでしょう。
The other birds were extremely jealous and said	他の鳥たちはとってもやっかんでこう言いました。
that the boat would not balance on the water,	そのボートは水の中ではバランス悪いわね、なんて。
but it lay most beautifully steady;	ところが水に浮かべると見事に安定して浮かびました。
they said the water would come into it, but no water came into it.	他の鳥たちは水が入ってくるよなんて言いましたが、一滴も入ってきません。
Next they said that Peter had no oars, and this caused the thrushes to look at each other in dismay,	それからピーターはオールをもってないと言いましたが、これにはつぐみたちもお互いにうろたえて、顔を見合わせるだけでした。
but Peter replied that he had no need of oars, for he had a sail,	ただピーターは、僕にはオールはいらないよ、帆があるものと答えました。
and with such a proud, happy face he produced a sail which he had fashioned out of this night-gown,	ピーターは得意満面で、ねまきから作った帆を出してきました。
and though it was still rather like a night-gown it made a lovely sail.	そして帆は見方によってはねまきそのままでしたが、とにかく素敵な帆でした。
And that night, the moon being full, and all the birds asleep, he did enter his coracle (as Master Francis Pretty would have said) and depart out of the island.	そしてあの夜、満月で、全ての鳥が寝静まったころ、かご船（フランシス・プリティー坊ちゃんならそう呼んだことでしょう）に乗り込んで、島を離れたのでした。
And first, he knew not why, he looked upward, with his hands clasped,	そして最初になぜかは分かりませんが、上を見上げて両手を組みました。
and from that moment his eyes were pinned to the west.	そのとき、ピーターの目は西の方を見つめていました。
He had promised the thrushes to begin by making short voyages, with them to his guides,	ピーターは、つぐみたちに航海を始める時には案内をしてくれるように頼んでいました。
but far away he saw the Kensington Gardens beckoning to him beneath the bridge, and he could not wait.	けれども遠くのケンジントン公園が橋の下においでと誘っているような気がしたので、待っていられなかったのです。
His face was flushed, but he never looked back;	ピーターの顔は紅潮していましたが、振り返りませんでした。
there was an exultation in his little breast that drove out fear.	ピーターが小さく吐く息は喜びで一杯で、恐怖を吹き飛ばしてしまいました。
Was Peter the least gallant of the English mariners who have sailed westward to meet the Unknown?	なんといってもピーターは、未知なるものを目指して西に向かったイギリスの勇敢な船乗りの末裔ですから。
At first, his boat turned round and round, and he was driven back to the place of his starting,	最初、ピーターのボートはくるくる回って、スタートした場所に流されて戻ってしまいました。
whereupon he shortened sail, by removing one of the sleeves,	そこでそでの片方を取り去って、帆をたたみました。
and was forthwith carried backward by a contrary breeze,	するとすぐに具合の悪い風がふき、後向きに運ばれてしまいました。
to his no small peril.	ピーターにとってはかなり危険なことです。
He now let go the sail, with the result that he was drifted toward the far shore,	そこで帆をあげると、岸から遠くのほうへ運ばれて行きました。
where are black shadows he knew not the dangers of, but suspected them, and so once more hoisted his night-gown	そちらの方には暗闇が広がっており、ピーターは暗闇が危険なものではないことを知っていましたが、かなり危ないとは思ったので、もう一回ねまきの帆を高くあげました。
and went roomer of the shadows until he caught a favouring wind, which bore him westward,	そして暗闇から遠ざかり、よい風をうけ、ピーターは西の方へと運ばれていきました。
but at so great a speed that he was like to be broke against the bridge.	ただスピードがのりすぎて、橋に激しくぶつかるところでした。
Which, having avoided, he passed under the bridge and came, to his great rejoicing, within full sight of the delectable Gardens.	衝突をさけて橋の下をくぐると、ピーターにはうれしかったことに、公園の美しい光景が一望できる場所へやってきました。
But having tried to cast anchor, which was a stone at the end of a piece of the kite-string, he found no bottom,	錨、それはたこの糸のはしに石を結んだものでした、を下ろそうとしましたが、池の底までとどきません。
and was fain to hold off, seeking for moorage, and, feeling his way, he buffeted against a sunken reef that cast him overboard by the greatness of the shock,	そして岸から離れたところで、停泊する場所を探したのですが、手探りで進んで、海底の暗礁にぶつかり、その大きなショックで船の外に投げ出されてしまいました。
and he was near to being drowned, but clambered back into the vessel.	ピーターは溺れかけましたが、ようやくよじ登って船に戻りました。
There now arose a mighty storm, accompanied by roaring of waters,	そこに今度は強い嵐がおこって、波がとどろく音がしました。
such as he had never heard the like, and he was tossed this way and that, and his hands so numbed with the cold that he could not close them.	ピーターは、そんな音を聞いたことがありませんでしたし、あちらこちらへと揺られ、両手は寒さで凍えて、握りしめることもできませんでした。
Having escaped the danger of which, he was mercifully carried into a small bay,	その危険からようやく逃れると、ピーターは幸運にも小さな港に運ばれて行きました。
where his boat rode at peace.	小さな港でピーターのボートは落ち着いて停泊することができました。
Nevertheless, he was not yet in safety;	けれどもピーターは、まだまだ安心というわけにはいきません。
for, on pretending to disembark, he found a multitude of small people drawn up on the shore to contest his landing;	なぜならピーターが上陸しようとすると、岸のところに小さな姿が列になって、ピーターが上陸するのを妨げようとしましたから。
and shouting shrilly to him to be off, for it was long past Lock-out Time.	そしてピーターに向かって甲高い声で、もう閉門の時間はとっくに過ぎたからあっちに行け、と叫ぶのです。
This, with much brandishing of their holly-leaves, and also a company of them carried an arrow which some boy had left in the Gardens,	ひいらぎの葉を振りまわすものもいれば、その上に男の子が公園に忘れて行った矢を持ってくる一団もいました。
and this they were prepared to use as a battering-ram.	その矢を、城を打ち壊す棒のように使おうとしているのです。
Then Peter, who knew them for the fairies, called out that he was not an ordinary human and had no desire to do them displeasure, but to be their friend,	ピーターには、彼らが妖精であることがわかったので、自分がただの人間ではないこと、そして妖精を怒らせるようなことはするつもりがなく、妖精と友達になりたいということを大声で伝えました。
nevertheless, having found a jolly harbour, he was in no temper to draw off there-from, and he warned them if they sought to mischief him to stand to their harms.	でもピーターはよい港を探していて、ここから引き返すつもりはなかったので、もし妖精がピーターに危害を及ぼそうとしてるなら、ピーターもだまってないぞと妖精に警告したのでした。
So saying; he boldly leapt ashore,	そういうと、ピーターは大胆にも岸へ飛び移りました。
and they gathered around him with intent to slay him, but there then arose a great cry among the women,	すると妖精たちは、ピーターをこらしめようと集まってきましたが、そのとき一団から、女の人たちがひときわ大きい声をあげました。
and it was because they had now observed that his sail was a baby's night-gown.	それは、ピーターの船の帆が赤ん坊のねまきであることに気づいたからでした。
Whereupon, they straightway loved him,	そうして女の人たちは、すぐさまピーターのことが好きになりました。
and grieved that their laps were too small,	そしてピーターをひざ枕するには、自分たちのひざがあまりに小さいのを残念がりました。
the which I cannot explain, except by saying that such is the way of women.	それが私には上手く言えませんが、女の人たちのやり方ということでしょう。
The men-fairies now sheathed their weapons on observing the behaviour of their women,	男の妖精たちは、女の人たちの様子をみて、刀をさやにおさめました。
on whose intelligence they set great store,	男の妖精たちは、女の人たちの聡明さを大事にしていたのです。
and they led him civilly to their queen,	そこで妖精たちは、ピーターを礼儀正しく妖精の女王のところに連れて行きました。
who conferred upon him the courtesy of the Gardens after Lock-out Time,	女王も丁寧に、ピーターに門が閉まった後も公園で過ごすことを認めてくれました。
and henceforth Peter could go whither he chose, and the fairies had orders to put him in comfort.	そしてピーターは行きたいところにはどこでも行くことができましたし、妖精たちはピーターに親切にするようにと女王に命令されたのです。
Such was his first voyage to the Gardens,	それが、ピーターの公園への最初の航海でした。
and you may gather from the antiquity of the language that it took place a long time ago.	そしてあなたは言葉が古めかしいので、ずっと昔のことだと思ったかもしれません。
But Peter never grows any older, and if we could be watching or him under the bridge to-night (but, of course, we can't), I daresay	ただピーターは決して年をとらないので、もし今夜ピーターを橋の下で見かけたとすると（もちろん、見かけないでしょうけど）私はあえてこういいたいのです。
we should see him hoisting his night-gown and sailing or paddling toward us in the Thrush's Nest.	ピーターがねまきの帆をかかげ、つぐみの巣にのって、私たちの方へ帆をあげたり、オールで漕いだりしてやってくるのをみることでしょうと。
When he sails, he sits down, but he stands up to paddle.	ピーターは帆で船を走らせている時は、腰をおろしていましたが、オールで漕ぐときには立ちあがるのです。
I shall tell you presently how he got his paddle.	わたしは、ピーターがどんな風にしてオールを手に入れたか、追ってお話しすることにしましょう。
Long before the time for the opening of the gates comes he steals back to the island,	門が開くずっと前に、ピーターはこっそり島へと戻ってきました。
for people must not see him	人に姿を見られないためです。
(he is not so human as all that)	（ピーターはまったく普通の人間というわけではありませんから）
but this gives him hours for play,	ただこうすることでピーターは、何時間も遊ぶことができました。
and he plays exactly as real children play.	ピーターは、本当の子供たちのように遊びました。
At least he thinks so,	少なくともピーターはそう考えていました。
and it is one of the pathetic things about him that he often plays quite wrongly.	そしてピーターがしばしば全然見当違いな方法で遊んでいる姿は、涙なしでは見られないものでした。
You see,	そうです。
he had no one to tell him how children really play,	ピーターに本当は子供がどうやって遊ぶものか、教えてくれる人はいませんでした。
for the fairies were all more or less in hiding until dusk, and so know nothing,	妖精たちは、みんなだいたい暗くなるまで隠れていましたからなにも知りません。
and though the buds pretended that they could tell him a great deal, when the time for telling came, it was wonderful how little they really knew.	妖精の若者たちはピーターにいろいろ教えてやるふりをしましたが、いざ話すときになると、実際にはほとんど何も知らないのは不思議なことです。
They told him the truth about hide-and-seek,	かくれんぼについては、妖精たちは本当のことを教えてくれました。
and he often plays it by himself,	ピーターは、ひとりでかくれんぼをしたものでした。
but even the ducks on the Round Pond could not explain to him what it is that makes the pond so fascinating to boys.	でも丸い池のあひるたちでさえ、なぜ池がふつうの男の子たちにとっておもしろい場所であるかをピーターに説明することができません。
Every night the ducks have forgotten all the events of the day,	夜になると、あひるは昼間のことをすっかり忘れてしまいます。
except the number of pieces of cake thrown to them.	覚えているのは、池に投げてもらったケーキのかけらの数だけなんです。
They are gloomy creatures, and say that cake is not what it was in their young days.	あひるなんて憂鬱などうぶつで、このごろのケーキはわしらの若い頃とは比べ物にならん、なんて言ってるものです。
So Peter had to find out many things for himself.	だからピーターは、なにもかも自分で学ばなければなりませんでした。
He often played ships at the Round Pond,	ピーターはしばしば丸い池で船遊びをしました。
but his ship was only a hoop which he had found on the grass.	でもピーターの船は、芝生でみつけたただの輪っかでした。
Of course, he had never seen a hoop, and he wondered what you play at with them, and decided that you play at pretending they are boats.	もちろん、輪っかなんてみたこともありませんでしたから、どうやって遊ぶんだろうと不思議に思って、船にして遊ぶと決めつけたのです。
This hoop always sank at once, but he waded in for it, and sometimes he dragged it gleefully round the rim of the pond,	輪っかはすぐに沈んでしまいますが、ピーターは拾い上げるために水の中に入っていって、時々うれしそうに輪っかを引きずって池の周りをまわるのでした。
and he was quite proud to think that he had discovered what boys do with hoops.	ピーターはとてもプライドが高かったので、どうやって男の子たちが輪っかで遊ぶのかすっかりわかったと思いこんでいました。
Another time, when he found a child's pail, he thought it was for sitting in,	別の時には、ピーターは子供のバケツを見つけると、椅子だと思いました。
and he sat so hard in it that he could scarcely get out of it.	そしてバケツの中に勢いよく座りこんだものですから、抜けられなくなるくらいでした。
Also he found a balloon.	また風船を見つけたこともありました。
It was bobbing about on the Hump, quite as if it was having a game by itself,	風船は、まるで一人でゲームでもしているみたいに丸い丘でゆらゆら漂っていました。
and he caught it after an exciting chase.	そしてピーターは、喜び勇んで風船を追いかけ捕まえました。
But he thought it was a ball,	でもピーターは、それをボールだと思っていました。
and Jenny Wren had told him that boys kick balls, so he kicked it;	ミソサザイのジェニーが、ピーターに男の子たちはボールを蹴ってたよといいましたから、ピーターもボールだと思って風船を蹴り飛ばし、
and after that he could not find it anywhere.	風船はどこかに行ってしまいました。
Perhaps the most surprising thing he found was a perambulator.	たぶんピーターが見つけて、最も驚いたのは、うばぐるまでしょう。
It was under a lime-tree, near the entrance to the Fairy Queen's Winter Palace	うばぐるまはシナノキの下にあって、そこは妖精の女王の冬の宮殿の入り口の近くでした。
(which is within the circle of the seven Spanish chestnuts),	宮殿はスペインのクリの７本の木が丸く植えられた場所の中にありました。
and Peter approached it warily, for the birds had never mentioned such things to him.	そしてピーターは、鳥たちがうばぐるまが何かは教えてくれないので、用心してうばぐるまに近づきました。
Lest it was alive, he addressed it politely,	それは生きているかもしれないので、ピーターは丁寧に話しかけました。
and then, as it gave no answer, he went nearer and felt it cautiously.	そして返事がないので、もっと近づくと用心深くふれて、
He gave it a little push,	ちょっと押してみました。
and it ran from him,	するとピーターから離れていきます。
which made him think it must be alive after all;	ピーターは、なんだやっぱり生きてるんじゃないかと思いました。
but, as it had run from him, he was not afraid.	でも離れて行ったので、恐くはありません。
So he stretched out his hand to pull it to him,	ピーターは手を伸ばして、自分の方へうばぐるまを引き寄せてみました。
but this time it ran at him,	今度はピーターの方へ向かってきます。
and he was so alarmed that he leapt the railing and scudded away to his boat.	ピーターはびっくりぎょうてんして柵を越え、自分のボートに駆けこみました。
You must not think, however, that he was a coward, for he came back next night with a crust in one hand and a stick in the other,	なんて臆病だなんて思うでしょうが、ピーターは次の夜には片手にパンの耳、片手に棒をもってもどってきました。
but the perambulator had gone, and he never saw another one.	ただうばぐるまはすっかり姿を消していて、ピーターは二度とうばぐるまを見ることはありませんでした。
I have promised to tell you also about his paddle.	私は、ピーターのオールのお話をする約束をしました。
It was a child's spade which he had found near St. Govor's Well,	それはピーターが聖ガーバーの井戸の近くでみつけた子供用のくわでした。
and he thought it was a paddle.	ピーターは、くわをオールだと思ったのです。
Do you pity Peter Pan for making these mistakes?	こんな間違いばかりで、ピーターパンがかわいそうなんて思われるかもしれません。
If so, I think it rather silly of you.	もしそうなら、あなたたちの方が浅はかというものです。
What I mean is that, of course, one must pity him now and then, but to pity him all the time would be impertinence.	浅はかというのは、もちろんピーターのことを時々はかわいそうと思う必要はありますが、いつもいつもかわいそうなんて思うのは見当違いだからです。
He thought he had the most splendid time in the Gardens,	ピーターは、公園でとっても楽しんでいると自分自身では思っていました。
and to think you have it is almost quite as good as really to have it.	そしてそう思っているという事は、実際にそうするのと同じくらいすばらしいことなんです。
He played without ceasing,  while you often waste time by being mad-dog or Mary-Annish.	みなさんが狂ったような男の子や憂鬱な女の子になって時間を無駄にしている間、ピーターは遊びつづけていました。
He could be neither of these things,	ピーターは狂ったようになったり憂鬱になったりすることはありません。
for he had never heard of them,	ピーターはそんなことは聞いたこともありませんでしたから。
but do you think he is to be pitied for that?	さあ、これでもピーターのことをかわいそうだなんてお思いになるでしょうか？
Oh, he was merry.	そうです、ピーターは朗らかでした。
He was as much merrier than you, for instance, as you are merrier than your father.	ピーターはあなたたち、たとえばひあなたたちのお父さんに負けず劣らず朗らかだったんです。
Sometimes he fell, like a spinning-top, from sheer merriment.	時々は、コマみたいに笑いころげてしまうことさえありました。
Have you seen a greyhound leaping the fences of the Gardens?	公園の柵を飛び越えるグレイハウンドを見たことがあるでしょうか？
That is how Peter leaps them.	ピーターもそんな風に柵をこえるのです。
And think of the music of his pipe.	ピーターの笛の調べを想像してみましょう。
Gentlemen who walk home at night write to the papers to say they heard a nightingale in the Gardens,	家路をいそぐ紳士たちは、公園でナイチンゲールが一匹さえずっているのを耳にしたと新聞に書きました。
but it is really Peter's pipe they hear.	実際に彼らが聞いたのは、ピーターの笛の調べです。
Of course, he had no mother	もちろんピーターにはお母さんはいません。
--at least, what use was she to him?	でも少なくともピーターにとっては、お母さんが何の役にたったでしょうか？
You can be sorry for him for that,	そのことでピーターをかわいそうに思うかもしれません。
but don't be too sorry,	でも思いすぎるのはいけないことです。
for the next thing I mean to tell you is how he revisited her.	次にお話しすることは、どのようにしてピーターがお母さんのもとへと戻って行ったのかということです。
It was the fairies who gave him the chance.	妖精たちがチャンスをくれました。
The Little House	３章　小さな家
Everybody has heard of the Little House in the Kensington Gardens,	だれもがケンジントン公園の小さな家のことを聞いたことがあるでしょう。
which is the only house in the whole world that the fairies have built for humans.	小さな家は世界でたった一つの、妖精が人間のために作った家です。
But no one has really seen it, except just three or four,	でもほんの３、４人しかそれを見た人はいません。
and they have not only seen it but slept in it,	でもその３、４人は見ただけでなく、その中で寝泊りさえしました。
and unless you sleep in it you never see it.	でも寝泊りしないかぎり、見ることもできません。
This is because it is not there when you lie down, but it is there when you wake up and step outside.	なぜなら小さな家は寝ているときは見えなくて、起き出して外にでると見えるものだからです。
In a kind of way everyone may see it, but what you see is not really it, but only the light in the windows.	あなたがたは、まちまちの方法で小さな家を見るでしょうが、見えたものは本当の小さな家ではなくて、窓の明かりだけということもあります。
You see the light after Lock-out Time.	門が閉まった後は、その家の窓の明かりが見えるのです。
David, for instance, saw it quite distinctly far away among the trees as we were going home from the pantomime,	例えば、デビットはパントマイムを見た帰り道で、木々の間から遠くに見える明かりをはっきり目にしました。
and Oliver Bailey saw it the night he stayed so late at the Temple, which is the name of his father's office.	そしてオリバー・ベイリーは、テンプルと言う名前の父親の事務所に遅くまでいた晩にその明かりを見ています。
Angela Clare, who loves to have a tooth extracted because then she is treated to tea in a shop, saw more than one light, she saw hundreds of them all together,	アンジェラ・クレアは、店でお茶をご馳走になると、ついでに歯の一本もよろこんで抜いてもらうといった女性でしたが、一つより多くの明かりを、何百もの明かりを一度に目にしました。
and this must have been the fairies building the house,	それは、妖精たちが家を建てていたところだったのでしょう。
for they build it every night and always in a different part of the Gardens.	妖精たちは毎晩家を建てるのですが、いつも公園の違う場所に建てるのです。
She thought one of the lights was bigger than the others, though she was not quite sure,	アンジェラには明かりの一つが、はっきりというわけではありませんが、他のものより明るい感じがしました。
for they jumped about so, and it might have been another one that was bigger.	まあ明かりは飛びはねたりもしていましたし、大きかったのは何か別のものだったのかもしれません。
