What the Moon Saw	絵のない絵本
"I have followed the polar bird and the swimming whale to the eastern coast of Greenland.	「私は北極鳥と泳いでいる鯨を追って、グリーンランドの東端まできていました。
Gaunt ice-covered rocks and dark clouds hung over a valley,	荒涼とした氷に覆われた岩々と暗い雲が谷にたちこめています。
where dwarf willows and barberry bushes stood clothed in green.	そこには小さなやなぎとヒロハヘビノボラズが緑に装い、
The blooming lychnis exhaled sweet odours.	花をつけたセンソウが甘い香りを漂わせていました。
My light was faint, my face pale as the water lily that, torn from its stem, has been drifting for weeks with the tide.	私の光はぼんやりとしていて、茎からちぎれて何週間も流れにただよったすいれんのように私の顔は青白くなっていました。
The crown-shaped Northern Light burned fiercely in the sky.	王冠の形をしたオーロラが夜空にはげしく燃えています。
Its ring was broad, and from its circumference the rays shot like whirling shafts of fire across the whole sky,	オーロラの輪は大きく、そのまわりでは光線が夜空全体に何本もの火柱のように放たれていました。
flashing in changing radiance from green to red.	オーロラは、緑から赤へときらきら色を変えながらきらめていました。
The inhabitants of that icy region were assembling for dance and festivity;	氷におおわれた場所に住んでいる原住民たちはダンスとお祭りのために集まってきています。
but, accustomed to this glorious spectacle, they scarcely deigned to glance at it.	ただかれらはそういったすばらしい見ものには慣れっこで、わざわざ目をやったりはしません。
'Let us leave the soul of the dead to their ball-play with the heads of the walruses,'	「死人の魂は、セイウチの頭でボール遊びをさせておけばいい」
they thought in their superstition,	という迷信を信じていたのです。
and they turned their whole attention to the song and dance.	かれらのすべての関心は歌とダンスに向けられていました。
In the midst of the circle, and divested of his furry cloak, stood a Greenlander, with a small pipe,	輪の中心では、一人のグリーンランド人が毛皮の上着をぬぎすて、小さな縦笛をもち立っていました。
and he played and sang a song about catching the seal,	かれはアザラシ狩りの歌を演奏しました。
and the chorus around chimed in with, 'Eia, Eia, Ah.'	まわりのコーラスがそれに「エイ、エイ、ヤ」と合いの手をいれています。
And in their white furs they danced about in the circle, till you might fancy it was a polar bear's ball.	白い毛皮をきて輪になっておどっているさまは、まるで北極熊がダンスをしているかのようでした」
"And now a Court of Judgment was opened.	「そして裁判が行われました。
Those Greenlanders who had quarrelled stepped forward, and the offended person chanted forth the faults of his adversary in an extempore song, turning them sharply into ridicule, to the sound of the pipe and the measure of the dance.	争っていたグリーンランドの人たちが前に進み出て、被害を受けたものが前に出て相手の非を縦笛の音楽にあわせてダンスしながら即興で歌い、物笑いの種にするわけです。
The defendant replied with satire as keen, while the audience laughed, and gave their verdict.	相手もするどい皮肉でもってそれに答え、観衆はわらいながら評決を下します。
The rocks heaved, the glaciers melted, and great masses of ice and snow came crashing down, shivering to fragments as they fall;	岩々が動き、氷河がきしみ、大量の氷と雪がくずれおち、こなごなに砕けました。
it was a glorious Greenland summer night.	すばらしいグリーンランドの夏の夜でした。
A hundred paces away, under the open tent of hides, lay a sick man.	100歩ほど向こうに革のテントがあり、一人の病人が横たわっていました。
Life still flowed through his warm blood, but still he was to die	まだ温かい血には生命がかよっていましたが、この男は死ぬ運命なのでしょうか？
- he himself felt it, and all who stood round him knew it also;	男は自分でもそれを感じていましたし、男のまわりをとりかこんでいたものも全員それを知っていました。
therefore his wife was already sewing round him the shroud of furs,	だから男の妻はすでに体の周りに毛皮の覆いを縫いつけていました。
that she might not afterwards be obliged to touch the dead body.	死んだ後、死体にさわらなくてもすむようにです。
And she asked,	妻は尋ねました。
'Wilt thou be buried on the rock, in the firm snow?	「岩にうめてほしいの、それとも固い雪の中に？
I will deck the spot with thy kayak, and thy arrows,	その場所をあんたのカヤックと矢でかざりたてるよ。
and the angekokk shall dance over it.	祈祷師がその上でおどってくれるだろうよ。
Or wouldst thou rather be buried in the sea?'	それとも海に沈めたほうがいいかい？」
'In the sea,'	「海に沈めてくれ」
he whispered, and nodded with a mournful smile.	男はささやき、悲しげな笑みをうかべうなずきました。
'Yes, it is a pleasant summer tent, the sea,'	「あぁ、海は夏には心地いいテントだものね」
observed the wife.	妻も口にしました。
'Thousands of seals sport there, the walrus shall lie at thy feet, and the hunt will be safe and merry!'	「何千というアザラシがそこでたわむれてるし、セイウチも足元でよこたわり、安全ですてきな漁ができるだろうよ」
And the yelling children tore the outspread hide from the window-hole, that the dead man might be carried to the ocean,	泣き叫ぶ子供たちが、死体を海へと運んでいくために窓の穴から覆いをはずしました。
the billowy ocean, that had given him food in life, and that now, in death, was to afford him a place of rest.	大波がうねる海に、そこは生きているときは食べ物をもたらし、今死んでからは休息の地となるわけです。
For his monument, he had the floating, ever-changing icebergs, whereon the seal sleeps, while the storm bird flies round their gleaming summits!"	男の墓は浮かんでいて常に形を変える氷山で、その上でアザラシが眠り、コアシウミツバメがきらきら光るその天辺の上を飛んでいくのです」
TENTH EVENING	第十夜
"I knew an old maid,"	「私はひとりのおばあさんを知っていました」
said the Moon.	お月さまは話しだします。
"Every winter she wore a wrapper of yellow satin,	「彼女は冬になるといつも黄色のサテンを羽織っていました。
and it always remained new, and was the only fashion she followed.	それはいつも流行のもので、それが彼女が唯一流行についていってると思っているものでした。
In summer she always wore the same straw hat,	夏になると、同じむぎわらぼうしをかぶります。
and I verily believe the very same gray-blue dress.	そして私は、いつも同じ青灰色のドレスを着ていたと本当に信じています」
"She never went out, except across the street to an old female friend;	「おばあさんは、通りの向こう側の昔からの親友のところまで行く以外は外出しませんでした。
and in later years she did not even take this walk, for the old friend was dead.	ここ数年は、親友が死んでしまったので、それさえしません。
In her solitude my old maid was always busy at the window,	ひとりぼっちですが、おばあさんはいつも窓際で忙しそうにしていました。
which was adorned in summer with pretty flowers, and in winter with cress, grown upon felt.	窓際ではフェルトの上に、夏は小さな花々が飾り立てられ、冬はカラシナが育てられています。
During the last months I saw her no more at the window,	ここ数ヶ月は、おばあさんを窓際でみかけることもありませんでした。
but she was still alive.	ただ彼女は生きていますし、
I knew that,	私にはそれがわかっています。
for I had not yet seen her begin the 'long journey,'	なぜなら私はまだ彼女が『長い旅路』につくのを見ていないからです。
of which she often spoke with her friend.	『長い旅路』とは、おばあさんが親友とよく話していたことでした。
'Yes, yes,' she was in the habit of saying,	『そう、そう』おばあさんはよく言っていたものです。
'when I come to die I shall take a longer journey than I have made my whole life long.	『死ぬときには、一生の中で一番長い旅をするのよ。
Our family vault is six miles from here.	わが家の墓はここから六マイルもはなれていて、
I shall be carried there, and shall sleep there among my family and relatives.'	わたしはそこに運ばれ、家族や親戚といっしょに眠ることになるわけ』
Last night a van stopped at the house.	昨晩、一台の馬車がその家の前に停まりました。
A coffin was carried out,	ひつぎが運び出されてきます。
and then I knew that she was dead.	私にはおばあさんが亡くなったことがわかりました。
They placed straw round the coffin, and the van drove away.	ひつぎの周りにはわらがしきつめられ、馬車は走り出しました。
There slept the quiet old lady, who had not gone out of her house once for the last year.	そこには、ここ一年は一度も外にでたことがなかった物言わぬおばあさんが眠っていました。
The van rolled out through the town-gate as briskly as if it were going for a pleasant excursion.	馬車は楽しい遠足にでもいくみたいに軽やかに街の門をくぐりぬけました。
On the high-road the pace was quicker yet.	街道ではペースはさらに上がりました。
The coachman looked nervously round every now and then	御者はときどきあたりを不安そうにみていました。
- I fancy he half expected to see her sitting on the coffin, in her yellow satin wrapper.	私が思うに、黄色いサテンの上着をきたおばあさんがひつぎの上に座ってるのでも想像したんでしょう。
And because he was startled, he foolishly lashed his horses,	御者はびくびくしていたので、考えなしに馬たちをいそがせました。
while he held the reins so tightly that the poor beasts were in a foam:	手綱をあんまりつよく持っていたので、かわいそうな馬たちはあぶくをだしている始末です。
they were young and fiery.	馬たちはまだ若くて、元気いっぱいでした。
A hare jumped across the road and startled them, and they fairly ran away.	一匹の野うさぎが街道にでてきて、馬たちを驚かせ、そして馬たちは猛烈な勢いではしりだしました。
The old sober maiden, who had for years and years moved quietly round and round in a dull circle, was now, in death, rattled over stock and stone on the public highway.	落ち着いたおばあさんは、何年も何年もきまった場所をしずかに行き来していたのに、死んだ今になって街道の木や石でガタガタさわがしくしているわけです。
The coffin in its covering of straw tumbled out of the van, and was left on the high-road,	わらをかぶったひつぎが、馬車から転げ落ち、街道に置き去りになりました。
while horses, coachman, and carriage flew past in wild career.	にもかかわらず、馬たち、御者、馬車はものすごいスピードで走り去っていきました。
The lark rose up carolling from the field,	ひばりが野原からとびたち、さえずりの声をあげました。
twittering her morning lay over the coffin,	ひつぎのところに立ち寄って、朝をつげているみたいです。
and presently perched upon it, picking with her beak at the straw covering, as though she would tear it up.	ひつぎの上にとまり、覆い被さっているわらを取り除こうとでもするようにつついています。
The lark rose up again, singing gaily,	ひばりは再びとびたち、楽しげにさえずりました。
and I withdrew behind the red morning clouds."	そして私は朝焼けの真っ赤な雲の後ろに姿を隠しました」
ELEVENTH EVENING	第十一夜
"I will give you a picture of Pompeii,"	「さて、ポンペイの絵をお見せしましょう」
said the Moon.	お月さまは語りました。
"I was in the suburb in the Street of Tombs, as they call it,	「私は郊外の墓場通りとよばれているところにいました。
where the fair monuments stand, in the spot where, ages ago, the merry youths, their temples bound with rosy wreaths, danced with the fair sisters of Lais.	そこにはすばらしい記念碑がたっていて、ずいぶん昔には陽気な若者たちが頭にバラの冠をのせレイ姉妹とおどったところです。
Now, the stillness of death reigned around.	今は死の沈黙があたりをおおっています。
German mercenaries, in the Neapolitan service, kept guard, played cards, and diced;	ドイツ人の傭兵たちがナポリで軍役につき、カード遊びやサイコロをふりながらそこの警備をしていました。
and a troop of strangers from beyond the mountains came into the town, accompanied by a sentry.	一人の見張りにつきそわれて、観光客の一団が山々の向こうから町にやってきました。
They wanted to see the city that had risen from the grave illumined by my beams;	月の光にてらしだされて、墓からよみがえった町を見に来たのです。
and I showed them the wheel-ruts in the streets paved with broad lava slabs;	私は、溶岩にすっかりおおわれた道のわだちを照らし出し、
I showed them the names on the doors, and the signs that hung there yet:	ドアの表札やまだそこらにのこっている看板を照らし出しました。
they saw in the little courtyard the basins of the fountains, ornamented with shells;	観光客はせまい中庭で貝殻におおわれた噴水台を目にしましたが、
but no jet of water gushed upwards, no songs sounded forth from the richly-painted chambers, where the bronze dog kept the door.	水も噴出していなければ、ブロンズの犬が門のところで番をしている豪華にかざられた部屋から歌声が響いてくることもありませんでした」
"It was the City of the Dead;	「そこは死の都でした。
only Vesuvius thundered forth his everlasting hymn,	ただベスビオ山だけがいつまでも轟きを響かせていました。
each separate verse of which is called by men an eruption.	その一つ一つが人にとっては、噴火とよばれているものなのです。
We went to the temple of Venus, built of snow-white marble, with its high altar in front of the broad steps, and the weeping willows sprouting freshly forth among the pillars.	私たちは雪のように真っ白な大理石でできたビーナスの神殿に行き、その広い階段の前には高い祭壇があり、円柱のあいだで生き生きとしている柳が風にそよいでいました。
The air was transparent and blue, and black Vesuvius formed the background, with fire ever shooting forth from it, like the stem of the pine tree.	空気は澄みわたり青く、黒いベスビオ山が常に松の幹のような火柱を噴出しながら背景にそびえていました。
Above it stretched the smoky cloud in the silence of the night, like the crown of the pine,	その上には夜の帳の中に薄雲がひろがっていて、まるで松の樹冠のようでした。
but in a blood-red illumination.	ただ血のように真っ赤にうかびあがっていたのですが。
Among the company was a lady singer,	団体の中には一人の女性の歌い手がいました。
a real and great singer.	本物のすばらしい歌い手です。
I have witnessed the homage paid to her in the greatest cities of Europe.	私はヨーロッパの大都市で彼女が絶賛の嵐を受けたのも見ています。
When they came to the tragic theatre, they all sat down on the amphitheatre steps,	悲劇の劇場までやってきたとき、観光客は円形劇場の段のところに腰をおろしました。
and thus a small part of the house was occupied by an audience, as it had been many centuries ago.	劇場のほんの一角に、数世紀前とおなじように観客がもどってきたのです。
The stage still stood unchanged, with its walled side-scenes, and the two arches in the background,	舞台は昔のままで、両脇には壁があり、背景には２つのアーチがかかっていました。
through which the beholders saw the same scene that had been exhibited in the old times	観客はアーチのむこうに昔に舞台を飾ったのと同じ風景をみることができたのでしょうか？
- a scene painted by nature herself, namely, the mountains between Sorento and Amalfi.	それはまさしく自然のままの風景で、つまり、ソレントとアマルフィの町のあいだの山々がみてとれるわけです。
The singer gaily mounted the ancient stage, and sang.	歌い手はたわむれに古代の舞台に立ち、歌いました。
The place inspired her, and she reminded me of a wild Arab horse,	その場所が歌う気にさせ、その歌声は私にアラブの野生の馬を思わせました。
that rushes headlong on with snorting nostrils and flying mane	鼻息あらく、たてがみをなびかせ、一目散に駆ける馬を。
- her song was so light and yet so firm.	歌はかろやかであるとともに、聞きごたえがありました。
Anon I thought of the mourning mother beneath the cross at Golgotha, so deep was the expression of pain.	すぐに私はゴルゴタの十字架の下でなげきかなしむ母親のことを思いました。
And, just as it had done thousands of years ago, the sound of applause and delight now filled the theatre.	劇場は拍手喝采と歓喜の渦につつまれています。
'Happy, gifted creature!'	『すばらしい、たぐいまれな才能』
all the hearers exclaimed.	聞いていた人はみなそう誉めそやしました。
Five minutes more, and the stage was empty,	五分後、舞台には人っ子一人いません。
the company had vanished, and not a sound more was heard	一団は去っていき、物音一つ聞こえないでしょう？
- all were gone.	すべては終わったのです。
But the ruins stood unchanged,	ただ廃墟は姿をかえず残っています。
as they will stand when centuries shall have gone by,	何世紀たってもこのままでしょう。
and when none shall know of the momentary applause and of the triumph of the fair songstress;	すばらしい歌に対する一時の拍手喝采や歓喜の渦のことを知るものが一人もいなくなっても、廃墟はこのままです。
when all will be forgotten and gone,	全てが忘れさられ、去っていっても、廃墟はこのままでしょう。
and even for me this hour will be but a dream of the past."	そして私にとってもこの一時は、ほんの過去の夢にすぎないのです」
TWELFTH EVENING	第十二夜
"I looked through the windows of an editor's house,"	お月さまは話をします
said the Moon.	「私はある編集者の家の窓からのぞき込んでいました。
"It was somewhere in Germany.	ドイツのどこかで、
I saw handsome furniture, many books, and a chaos of newspapers.	家にはりっぱな家具、多くの本があり、新聞が散乱していました。
Several young men were present:	わかい男が何人かおり、
the editor himself stood at his desk,	編集者は机の側に立っていました。
and two little books, both by young authors, were to be noticed.	いずれも若い作家が書いたニ冊のささやかな本が批評されています。
'This one has been sent to me,'	『これは私に送ってきたものだ』
said he.	と編集者はコメントしました。
'I have not read it yet;	『まだ読んでいないが、
what think you of the contents?'	あなたがたはどう思う？』
'Oh,'	『えぇ』
said the person addressed	一人が答えました、
- he was a poet himself -	彼自身も詩人でしたが
'it is good enough;	『充分いいできだと思いますよ、
a little broad, certainly;	確かに少し自由奔放なところあるけど、
but, you see, the author is still young.	作者もまだ若いことだし。
The verses might be better, to be sure;	確かにもっと改良する余地はあるとおもいますが。
the thoughts are sound, though there is certainly a good deal of common-place among them.	考え方もしっかりしてます、まぁ、どちらかといえばありふれたものといっていいかもしれませんが。
But what will you have?	でもいったい何を期待するっていうんでしょう？
You can't be always getting something new.	いつも新しいものが手に入るわけじゃありません。
That he'll turn out anything great I don't believe,	もちろん私もこの作者が偉大な詩人になるとは思いません。
but you may safely praise him.	でもまぁ、誉めてやってもいいんじゃないですか。
He is well read, a remarkable Oriental scholar, and has a good judgment.	なんといっても読めるし、東洋学者としてはなかなかだし、分別もありますよ。
It was he who wrote that nice review of my 'Reflections on Domestic Life.'	私の『家庭生活に対する感想』にけっこういい批評をしてくれましたから。
We must be lenient towards the young man.'	この若者を寛大に扱ってやりましょうよ」
"'But he is a complete hack!'	「でもあれはまったくのやっつけ仕事ですよ」
objected another of the gentlemen.	他の男が意見をのべた。
'Nothing worse in poetry than mediocrity, and he certainly does not go beyond this.'	「月並みほど詩にとって最悪なことはありませんし、この作品はまったく月並みそのものといっていい」
"'Poor fellow,'	「かわいそうな若者だ」
observed a third,	また別の男が口をはさみました
'and his aunt is so happy about him.	「かれの叔母さんはかれのことを誇りに思ってるんだがね。
It was she, Mr. Editor, who got together so many subscribers for your last translation.'	そう編集長、叔母さんっていうのは、こないだのあなたの翻訳にあれほどたくさんの予約をかきあつめてくれた人ですよ」
"'Ah, the good woman!	「あぁ、あのすばらしい女性か。
Well, I have noticed the book briefly.	この本に手短な批評をしよう。
Undoubted talent - a welcome offering - a flower in the garden of poetry - prettily brought out - and so on.	疑いなき才能、歓迎すべき贈り物、詩の庭にさいた一輪の花、上品にまとまっている、など。
But this other book - I suppose the author expects me to purchase it?	ではもう一冊の本はどうだろう、作者はどうやら僕にも買わせる気らしい。
I hear it is praised.	誉め言葉は耳にするね。
He has genius, certainly:	作者は、間違いなく天才だがね。
don't you think so?'	さぁ、どう思う？」
"'Yes, all the world declares as much,'	「えぇ、全世界がそう宣言しているかのようですね」
replied the poet,	詩人は答えた。
'but it has turned out rather wildly.	「ただちょっと雑な感じもしますがね。
The punctuation of the book, in particular, is very eccentric.'	この本の句点のつけ方なんてとくに、とっぴょうしもないものですよ」
"'It will be good for him if we pull him to pieces, and anger him a little,	「この男はすこしこきおろして、ちょっとばかし怒らした方がいいんですよ。
otherwise he will get too good an opinion of himself.'	さもなきゃ、うぬぼれすぎますから」
"'But that would be unfair,'	「でもそれはあまりにフェアじゃないなぁ」
objected the fourth.	別の男が異議をとなえます。
'Let us not carp at little faults, but rejoice over the real and abundant good that we find here:	「ちいさな欠点をあれこれ言うのはやめて、目の前にあるまさに本物の豊潤な才能を楽しもうじゃありませんか。
he surpasses all the rest.'	かれは群をぬいてる」
"'Not so.	「そうでもないだろう。
If he is a true genius, he can bear the sharp voice of censure.	本物の天才なら、きびしい批判にもたえうるもんだよ。
There are people enough to praise him.	褒め称える人は大勢いるんだから、
Don't let us quite turn his head.'	思い上がらせないようにしないと」
"'Decided talent,'	「まぎれもない才能」
wrote the editor,	編集者は書きました。
'with the usual carelessness.	「ただときおりいい加減なところがあり、
that he can write incorrect verses may be seen in page 25, where there are two false quantities.	25ページには間違った詩がみうけられ、そこでは2箇所ほど韻が誤っている。
We recommend him to study the ancients, etc.'	もっと古典をまなぶことを薦めたい、など」
"I went away,"	「私はその場を去りました」
continued the Moon,	お月さまはつづけました。
"and looked through the windows in the aunt's house.	「そしてあの叔母の家の窓をのぞきこみました。
There sat the be-praised poet, the tame one;	そこには賞賛された詩人、平凡な方、が座っていました。
all the guests paid homage to him, and he was happy.	招かれた客は全員かれに尊敬の念をいだき、かれはとても幸福そうでした」
"I sought the other poet out, the wild one;	「私はもう一人の詩人、並外れた方、も探し出しました。
him also I found in a great assembly at his patron's,	かれもパトロンの家にいて、そこには大勢の人が集まっていました。
where the tame poet's book was being discussed.	そこでも平凡な詩人の本が論じられていました」
"'I shall read yours also,'	「『もちろんあなたの本も読みましょう』
said Maecenas;	パトロンは言いました。
'but to speak honestly -	『でも正直にいわせてもらえば、
you know I never hide my opinion from you	わたしが自分の意見を隠せるような男じゃないことはわかってるだろうし、
- I don't expect much from it,	この本にはたいして期待してないんだ。
for you are much too wild, too fantastic.	その理由は君があまりにとっぴょうしもなく、空想的だからだよ。
But it must be allowed that, as a man, you are highly respectable.'	でも人間としては君はものすごく尊敬に値する人物であることは認めざるをえないが』」
"A young girl sat in a corner;	「一人の少女がすみの方に腰掛け、
and she read in a book these words:	本の次の部分を読んでいました」
"'In the dust lies genius and glory,	「天才と栄光は塵にまみれど
But ev'ry-day talent will pay.	平凡な才能はみとめられる。
It's only the old, old story,	これは古き、古い話なれど
But the piece is repeated each day.'"	同じことは日々繰り返される」
THIRTEENTH EVENING	第十三夜
The Moon said,	お月さまは口を開きました
"Beside the woodland path there are two small farm-houses.	「森の小道の脇に二軒の農家がありました。
The doors are low, and some of the windows are placed quite high, and others close to the ground;	ドアは背が低いもので、窓のいくつかは高いところについていますが、他の窓は低いところについています。
and whitethorn and barberry bushes grow around them.	セイヨウサンザシとヒロハヘビノボラズが低い窓の周りに生い茂っていました。
The roof of each house is overgrown with moss and with yellow flowers and houseleek.	二軒の家の屋根にはコケがむしていて、黄色い花とバンダイソウが育っていました。
Cabbage and potatoes are the only plants cultivated in the gardens, but out of the hedge there grows a willow tree,	庭で栽培されているのはキャベツとじゃかいもだけですが、生垣の向こうには柳の木が一本ありました。
and under this willow tree sat a little girl, and she sat with her eyes fixed upon the old oak tree between the two huts.	柳の木の下には少女が一人座りこみ、その少女の目は二軒の家のあいだにある古い樫の木をみつめています」
"It was an old withered stem.	「樫の木の幹はすっかりやつれていて、
It had been sawn off at the top, and a stork had built his nest upon it;	上の方は切られ、コウノトリがそこに巣をつくっていました。
and he stood in this nest clapping with his beak.	コウノトリは巣にいて、くちばしをガタガタいわせています。
A little boy came and stood by the girl's side:	少年が一人やってきて、少女の脇に立ちました。
they were brother and sister.	二人は兄と妹でした」
"'What are you looking at?'	「何をみてるんだい？」
he asked.	兄がたずねます。
"'I'm watching the stork,'	「コウノトリを見てるの」
she replied:	妹はそう答えると
'our neighbors told me that he would bring us a little brother or sister to-day;	「となりの人はわたしに、今日コウノトリが小さな弟か妹を連れてきてくれるっていったの。
let us watch to see it come!'	見てましょうよ」と続けました。
"'The stork brings no such things,'	「コウノトリはそんなものは運んでこないぞ」
the boy declared,	兄は胸をはっていいます
'you may be sure of that.	「おまえは信じてるかもしれないけどね。
Our neighbor told me the same thing,	おとなりさんは僕にも同じことをいったんだ。
but she laughed when she said it,	でも笑いながらだったし。
and so I asked her if she could say 'On my honor,' and she could not;	それで僕が『神にかけて？』と聞いたら、答えられなかったんだ。
and I know by that the story about the storks is not true,	だから僕はコウノトリの話はホントじゃないってわかったよ。
and that they only tell it to us children for fun.'	子供を喜ばせるためにいってるんだ」
"'But where do babies come from, then?'	「じゃあいったい赤ちゃんはどこからくるの？」
asked the girl.	妹は聞きました。
"'Why, an angel from heaven brings them under his cloak,	「天国から天使が樫の木の下に連れて来るんだよ。
but no man can see him;	でもだれも天使を見ることはできないから、
and that's why we never know when he brings them.'	いつ連れてきてくれるのかは分からないんだ」
"At that moment there was a rustling in the branches of the willow tree,	「そのとき柳の木の枝がざわめきました。
and the children folded their hands and looked at one another:	子供たちはお互いの手をにぎりしめ、みつめあいました。
it was certainly the angel coming with the baby.	まちがいなく天使が子供をつれてきたのです。
They took each other's hand, and at that moment the door of one of the houses opened, and the neighbour appeared.	二人はたがいの手をとり、そのとき二軒の家のうちの一軒のドアが開き、おとなりさんが顔をだしました」
"'Come in, you two,' she said.	「二人ともおいで、
'See what the stork has brought.	コウノトリが運んできたものをみてごらん。
It is a little brother.'	弟よ」
"And the children nodded gravely at one another,	「子供たちは真剣な顔でお互いにうなずきました。
for they had felt quite sure already that the baby was come."	というのは、二人とも赤んぼうがきたのがはっきりわかっていたからです」
FOURTEENTH EVENING	第十四夜
"I was gliding over the Luneburg Heath,"	「私はリューネブルグの荒野の上を照らしていました」
the Moon said.	とお月さまは語りかけました。
"A lonely hut stood by the wayside, a few scanty bushes grew near it,	「道端には一軒きりの小屋が建っていて、そのまわりにはまばらな茂みが生えていました。
and a nightingale who had lost his way sang sweetly.	ナイチンゲールが一匹道に迷って、鳴き声をひびきわたらせていました。
it was his farewell song that I heard.	私が耳にしたのは、お別れの歌でした」
"The morning dawn came glimmering red.	「朝焼けがかすかに赤く空をそめ、
I saw a caravan of emigrant peasant families	私はハンブルグに向かう小作農の移民の一団を目にしました。
who were bound to Hamburgh, there to take ship for America, where fancied prosperity would bloom for them.	ハンブルグからアメリカにわたり、そこで一旗あげようというのでしょう。
The mothers carried their little children at their backs, the elder ones tottered by their sides, and a poor starved horse tugged at a cart that bore their scanty effects.	母親たちは赤んぼうを背負い、子供たちは母親の脇をよろよろと歩き、かわいそうな飢えた馬が家族のわずかな財産を乗せた馬車を引いていました。
The cold wind whistled, and therefore the little girl nestled closer to the mother,	冷たい風がふきすさび、少女は母親にぴったり寄り添いました。
who, looking up at my decreasing disc, thought of the bitter want at home, and spoke of the heavy taxes they had not been able to raise.	母親は私の欠けていく様子をみながら、故郷での困窮を思い、支払えなかったほどの重税について口にしました。
The whole caravan thought of the same thing;	一団の全員が同じことを考えていました。
therefore, the rising dawn seemed to them a message from the sun,	だから夜が明け行く様子は、みんなにとってのメッセージのように思えたことでしょう。
of fortune that was to gleam brightly upon them.	みんなの頭上にかがやくだろう幸運のメッセージが。
They heard the dying nightingale sing;	みんなは死にゆくナイチンゲールの鳴き声を耳にしました。
it was no false prophet, but a harbinger of fortune.	それは偽の予言というわけではなく、幸運の前触れでした。
The wind whistled, therefore they did not understand that the nightingale sung,	風が吹きすさび、ナイチンゲールの歌っている内容はみんなには分からなかったのです。
'Fare away over the sea!	『海を越えていく。
Thou hast paid the long passage with all that was thine,	おまえはすべてのものを抱え、長い旅路をやってきた。
and poor and helpless shalt thou enter Canaan.	そうして貧しく無力なものがカナンの地に至るのだ。
Thou must sell thyself, thy wife, and thy children.	おまえは自分自身も妻も子供も売らなければならない。
But your griefs shall not last long.	でもおまえの苦悩は長くはない。
Behind the broad fragrant leaves lurks the goddess of Death,	十分に楽しい別離のかげには、死の女神がかくれている。
and her welcome kiss shall breathe fever into thy blood.	女神のお迎えの口づけは、あなたの血を沸き立たせる。
Fare away, fare away, over the heaving billows.'	旅立て、旅立つんだ、荒れ果てた海を越えて』
And the caravan listened well pleased to the song of the nightingale, which seemed to promise good fortune.	そしてよく耳をすませた一行は、幸運を約束してくれるようなナイチンゲールの鳴き声を楽しみました。
Day broke through the light clouds;	明るい雲を通して夜明けの光が射し込んできます。
country people went across the heath to church;	地元の人たちが荒野をよこぎって教会へといそいでいます。
the black-gowned women with their white head-dresses looked like ghosts that had stepped forth from the church pictures.	白い髪飾りをつけ、黒いガウンを羽織った女性は、教会の絵からぬけだしてきた幽霊のように見えました。
All around lay a wide dead plain, covered with faded brown heath, and black charred spaces between the white sand hills.	辺りはみわたすかぎりまっ平らで、枯れた茶色の荒野でおおわれ、白い砂の丘にはところどころ黒焦げのような黒い場所がありました。
The women carried hymn books, and walked into the church.	さきほどの女性は賛美歌の本をもち、教会に入っていきました。
Oh, pray, pray for those who are wandering to find graves beyond the foaming billows."	あぁ、祈りましょう、荒れた海をこえて死に場所をさがしさまようものたちのために祈りましょう」
FIFTEENTH EVENING	第十五夜
"I know a Pulcinella,"	「私はある道化役（訳注１　Pulcinella）を知っていました」
the Moon told me.	お月さまは、わたしにそう話しかけてきました。
