The Horse Dealer's Daughter	馬商の娘馬商の娘
He slowed down as he walked, watching her as if spell-bound.	彼は徐々に歩調をゆるめ、呪縛されたように、彼女を見つめた。
She lifted her eyes, feeling him looking.	その眼差しを感じて、彼女は眼を上げた。
Their eyes met.	二人の目線が合った。
And each looked again at once, each feeling, in some way, found out by the other.	すると何故か、互いに、相手に心際を見抜かれたというような気がして、あらためて相手を見つめ直した。
He lifted his cap and passed on down the road.	彼は少し帽子を持ち上げて見せて、それから先を急いだ。
There remained distinct in his consciousness, like a vision, the memory of her face, lifted from the tombstone in the churchyard, and looking at him with slow, large, portentous eyes.	教会墓地のなかで、墓石の傍から頭をもたげ、鈍い、大きな、不吉な瞳で彼を見つめていた彼女の姿が、幻影のように、彼の意識に克明にとどまった。
It _was_ portentous, her face.	そう、彼女の面差しはいかにも不吉だった。
It seemed to mesmerize him.	しかもその顔は、彼を魅するかのようだった。
There was a heavy power in her eyes which laid hold of his whole being, as if he had drunk some powerful drug.	まるで劇薬を呑まされたかのように、彼の存在を捉え尽くす、苛烈な力を、彼女の両眼は帯びていた。
He had been feeling weak and done before.	彼はずっと以前から、自分の人生に見切りをつけ、凋衰に甘んじていたのだが、
Now the life came back into him, he felt delivered from his own fretted, daily self.	今、不意に彼に、生の手応えが戻って来て、自身を擦り減らす日々の暮らしから、解き放たれたように感じた。
He finished his duties at the surgery as quickly as might be, hastily filling up the bottles of the waiting people with cheap drugs.	彼は、病院での仕事を、急くように、並んで待っている患者たちの薬瓶に、間に合わせの薬をつめたりして、許されるかぎりの手早さで済ませた。
Then, in perpetual haste, he set off again to visit several cases in another part of his round, before teatime.	それからやはり急いで、お茶の時間の前の午後の往診に、幾人かの患者を訪ねるため、ふたたび病院を出た。
At all times he preferred to walk, if he could, but particularly when he was not well.	彼は常日頃、もしそうできるなら、いつでも歩いて行くことを好んだが、とりわけ、身体の具合が悪いときはそうだった。
He fancied the motion restored him.	身体を動かすことで調子を取り戻せると、彼は信じていたのだ。
The afternoon was falling.	午後は暮れていった。
It was grey, deadened, and wintry, with a slow, moist, heavy coldness sinking in and deadening all the faculties.	あたりは冬めいて薄暗く、生彩を無くし、そして緩い、潤むような重苦しい霜気が、肌に沁み入り、彼の知覚を鈍磨させるようだった。
But why should he think	だからどうしたというのか？
or notice?	──彼はそんなことを気にかけなかった。
He hastily climbed the hill and turned across the dark-green fields, following the black cinder-track.	忙しげに丘を登ると、黒々と石炭殻を敷きつめた路づたいに、深緑の野の方へ折れて行った。
In the distance, across a shallow dip in the country, the small town was clustered like smouldering ash, a tower, a spire, a heap of low, raw, extinct houses.	遠い彼方、浅く広い窪地になった先に、教会の塔が、尖り屋根が、そして圧し伏された、不熟な、凍てついた家々が、燻る灰のように群がり、小さな街をなしているのが見えた。
And on the nearest fringe of the town, sloping into the dip, was Oldmeadow, the Pervins' house.	そして、街の縁の一番手前、窪地へと下る勾配には、パーヴィン家の寂びた牧場があった。
He could see the stables and the outbuildings distinctly, as they lay towards him on the slope.	彼と真直ぐ向き合うように斜面に並んでいる、厩舎や、納屋を、彼ははっきりと眺めることができた。
Well, he would not go there many more times!	もはや、彼があの家へ頻々に足を運ぶことはないだろう。
Another resource would be lost to him, another place gone:	また一つ彼の生の慰めが失われ、貴重な場所が失われていく。
the only company he cared for in the alien, ugly little town he was losing.	彼の馴染むことのできない、この醜悪な小さな街で、ただ一人の気心の知れた仲間を、彼は失おうとしているのだった。
Nothing but work,	あとに残るのはただ仕事だけ
drudgery, constant hastening from dwelling to dwelling among the colliers and the iron-workers.	──炭坑夫たちと鉄工夫たちの棲家から棲家へと、絶えず急き立てられる、退屈な骨折り仕事だけだ。
It wore him out, but at the same time he had a craving for it.	だがその仕事は、彼を疲弊させつつ、同時に彼に渇望されてもいた。
It was a stimulant to him to be in the homes of the working people, moving as it were through the innermost body of their life.	労働者たちの棲家へ分け入ることは、あたかも彼らの生の、もっとも奥底の本性を手探りするようで、それは彼に非常な刺激なのだった。
His nerves were excited and gratified.	それは彼の神経を昂奮させ、満足を与える。
He could come so near, into the very lives of the rough, inarticulate, powerfully emotional men and women.	医師である彼は、荒々しく、支離滅裂な人々、凶暴な情動をかかえた男たちと女たちの生活そのものに、微に入り近づくことができた。
He grumbled, he said he hated the hellish hole.	彼はつねづね不平を言い、あの地獄の穴ぐらのような住居にはぞっとする、と口にした。
But as a matter of fact it excited him, the contact with the rough, strongly-feeling people was a stimulant applied direct to his nerves.	その実、それらは彼の情思をそそっていたのであり、野太い感情を持つ、無骨な人々に接することは、彼にとって、直に神経を焦がすような刺激なのだった。
Below Oldmeadow, in the green, shallow, soddened hollow of fields, lay a square, deep pond.	寂びた牧場の下方、緑色を帯び、浅く、水に浸かって落ちくぼんだところに、四角い形の深い池が横たわっていた。
Roving across the landscape, the doctor's quick eye detected a figure in black passing through the gate of the field, down towards the pond.	陰湿な眺めを当処なく見渡していた医師の、敏い眼が、木戸をくぐり、草地を横切り、その池へと真直ぐ下っていく黒衣の人影を捉えた。
He looked again.	彼は瞬きして眺め直した。
It would be Mabel Pervin.	その人影はメイベル・パーヴィンのようだった。
His mind suddenly became alive and attentive.	彼の意識は俄かに、かっと燃え立ち、注意は張りつめた。
Why was she going down there?	彼女はなぜ坂を下っているのだろうか？
He pulled up on the path on the slope above, and stood staring.	彼は池につづく勾配の上の小径で足を止めて、じっと眼を凝らした。
He could just make sure of the small black figure moving in the hollow of the failing day.	彼に分ったのは、薄ら陽に照らされた窪地を、黒い小さな人影が横切っているということだけだった。
He seemed to see her in the midst of such obscurity, that he was like a clairvoyant, seeing rather with the mind's eye than with ordinary sight.	彼の眼に、彼女があまりに危うい朧ろな姿に映るのは、あたかも彼が、普段の眼によらず、心の眼で見澄ます、神秘の力を得た者と化したかのようだった。
Yet he could see her positively enough, whilst he kept his eye attentive.	とはいえ、彼が注意を凝らして見つめているかぎり、彼女の姿は、はっきり捉えられていた。
He felt, if he looked away from her, in the thick, ugly falling dusk, he would lose her altogether.	彼は、もし自分が眼を逸らせば、この濃密に濁った暮れ方の陽光の下で、彼女を永遠に見失ってしまうのではないか、と感じた。
He followed her minutely as she moved, direct and intent, like something transmitted rather than stirring in voluntary activity, straight down the field towards the pond.	彼は彼女の動きを──一にひたむきに、意志を持って進むというより、何かに導かれるかのように、池へと真直ぐに草地を突っ切って行く彼女の動きを、一時も見失わぬよう、眼で追っていた。
There she stood on the bank for a moment.	岸にたどりついて、彼女はしばらく立ち止まっていた。
She never raised her head.	彼女は決して頭を上げなかった。
Then she waded slowly into the water.	やがて彼女は、ゆっくりと水のなかに足を踏み入れた。
He stood motionless as the small black figure walked slowly and deliberately towards the centre of the pond, very slowly, gradually moving deeper into the motionless water, and still moving forward as the water got up to her breast.	小さな黒い人影が、急がず、落ち着いて真直ぐに池の深みへ向うあいだ──とてもゆっくりと、徐々に徐々に、波立たぬ平らな水面へ沈んでいき、ついには、彼女の胸元が水につかるまで歩いて進むあいだ──彼は、身じろぎせず立ち尽くしていた。
Then he could see her no more in the dusk of the dead afternoon.	それから不意に、死んだような午後の夕闇に、彼女の姿が溶け去り、彼に見えなくなった。
'There!'	「まさか！」
he exclaimed.	と彼は叫んだ。
'Would you believe it?'	「くそっ、こんなことあり得るだろうか？」
And he hastened straight down, running over the wet, soddened fields, pushing through the hedges, down into the depression of callous wintry obscurity.	彼は湿深い、水に浸かった野を飛ぶように駈け下り、叢をかき分け、鈍く冷たい冬の瞑色におおわれた窪地へ下りて行った。
It took him several minutes to come to the pond.	すぐさま池にたどり着くというわけにはいかなかった。
He stood on the bank, breathing heavily.	彼は荒い息づかいで、岸に立った。
He could see nothing.	何も見えなかった。
His eyes seemed to penetrate the dead water.	彼は死んだような水面を見澄ました。
Yes, perhaps that was the dark shadow of her black clothing beneath the surface of the water.	いや、確かにこの静かな水面は、彼女の黒い服の影を隠しているにちがいない。
He slowly ventured into the pond.	彼は意を決して、慎重に池に踏み入った。
The bottom was deep, soft clay, he sank in, and the water clasped dead cold round his legs.	池底は深く、柔らかい粘った泥で、一歩ごとに足は沈み、そして水は冷たい死の感触で彼の膝に巻きついた。
As he stirred he could smell the cold, rotten clay that fouled up into the water.	みだりに動くと、水のなかに立ちのぼる、腐敗した泥の冷え冷えした臭いが、鼻についた。
It was objectionable in his lungs.	彼の肺臓に堪える臭いだった。
Still, repelled and yet not heeding, he moved deeper into the pond.	しかし、彼はなお水を踏み分け、ほとんど盲目的に、池の深みへと進んで行った。
The cold water rose over his thighs, over his loins, upon his abdomen.	冷えきった水が彼の腿に触れ、彼の腰を突き刺し、みぞおちまでを浸した。
The lower part of his body was all sunk in the hideous cold element.	もう彼の身体の下半が、総毛立つような冷ややかな存在に捕えられていた。
And the bottom was so deeply soft and uncertain, he was afraid of pitching with his mouth underneath.	足裏に触れる池底は深々と柔らかく、不確かで、彼は身体が傾いで前につんのめるのを、恐れはじめた。
He could not swim,	彼は泳げないのだ。
He crouched a little, spreading his hands under the water and moving them round, trying to feel for her.	彼は少し腰をかがめ、腕をひろげて水の下をめぐらし、彼女の気配を掴もうとした。
The dead cold pond swayed upon his chest.	死のように凍えた池水が彼の胸元でうねった。
He moved again, a little deeper, and again, with his hands underneath,	もう一度、手をより深いところまで伸ばし、幾度も、腕をめぐらせた。
he felt all around under the water.	周囲には水の動きしか感じられない
And he touched her clothing.	──と思うと、指先に彼女の衣服が触れた。
But it evaded his fingers.	しかし掴む間もなく、それは彼の指から逃れた。
He made a desperate effort to grasp it.	ふたたび彼女を捕えようと、彼は必死になった。
And so doing he lost his balance and went under, horribly, suffocating in the foul earthy water, struggling madly for a few moments.	だがそうするうちに彼は平衡を失い、溺れ沈み、すると、土臭く濁った水に息ができなくなり、狼狽して、足手限りにもがいた。
At last, after what seemed an eternity, he got his footing, rose again into the air and looked around.	永遠とも思える一時の後、なんとか池底に足をついて、彼は、水面に浮びあがり、あたりを見回した。
He gasped, and knew he was in the world.	喘ぐように息をしていたが、ともかく、自分がまだ生きていると実感できた。
Then he looked at the water.	池水を見やると、彼女も彼のそばに浮んでいた。
She had risen near him. He grasped her clothing, and drawing her nearer, turned to take his way to land again.	彼女の衣服をしっかり握り、彼女を引き寄せた彼は、ふたたび陸に上がるため向きを転じた。
He went very slowly, carefully, absorbed in the slow progress.	彼はゆっくりと、できるだけ慎重に、少しずつ前へ前へ足を運ぶことに集中した。
He rose higher, climbing out of the pond.	やがて彼は、這い上がるように池から身体を現した。
The water was now only about his legs;	もう水は彼の足元までしかとどいていない。
he was thankful, full of relief to be out of the clutches of the pond.	纏いつくような池水の感触から逃れて、彼は、深い安堵とありがたみとを覚えた。
He lifted her and staggered on to the bank, out of the horror of wet, grey clay.	彼女を抱え上げ、よろめきながら、彼は恐ろしい灰色の緩い泥土を脱け出して、岸に上がった。
He laid her down on the bank.	彼は彼女を岸に寝かせた。
She was quite unconscious and running with water.	彼女は意識がなく、かなり水を呑んでいた。
He made the water come from her mouth, he worked to restore her.	彼は彼女に水を吐かせ、幾度もみぞおちを圧してやった。
He did not have to work very long before he could feel the breathing begin again in her;	彼女が息を吹き返すのにそれほど時間はかからなかった
she was breathing naturally.	──彼女の息差しはすぐ普段どおりに戻った。
He worked a little longer.	もうしばらくのあいだ、彼はみぞおちを圧しつづけた。
He could feel her live beneath his hands;	彼女の生の温みが手のひらに感じられた
she was coming back.	──彼女はもう意識を取り戻していた。
He wiped her face, wrapped her in his overcoat, looked round into the dim, dark-grey world, then lifted her and staggered down the bank and across the fields.	彼女の顔を拭い、自分の外套で身体をくるんでやり、彼は、あたりの薄闇をしばらく眺め渡して、それから、彼女を抱え上げると、危うい足取りで、岸を離れ、野の方へ歩いて行った。
It seemed an unthinkably long way, and his burden so heavy he felt he would never get to the house.	パーヴィン家までの道のりは、気が遠くなるほど長く、彼の負う荷は重く、永久に家に辿り着けないのではないかとさえ、彼に感じられた。
But at last he was in the stable-yard, and then in the house-yard.	だが、とうとう厩舎の並ぶ庭にさしかかり、ついで母屋の中庭に辿り着いた。
He opened the door and went into the house.	彼は扉を開け、家のなかへ入った。
In the kitchen he laid her down on the hearthrug, and called.	彼女を台所に横たえてから、人を呼んでみた。
The house was empty.	家には誰も居ないようだった。
But the fire was burning in the grate.	しかし、暖炉の格子の奥には火の気があった。
Then again he kneeled to attend to her.	彼は跪いて彼女の様子をうかがった。
She was breathing regularly, her eyes were wide open and as if conscious, but there seemed something missing in her look.	彼女の息合いは規則正しく、もう正気づいたように眼は開かれていたが、まだどこか虚ろなようだった。
She was conscious in herself, but unconscious of her surroundings.	彼女自身の内奥は目覚めているが、周囲にはまだ意識が触れていないような虚脱だった。
He ran upstairs, took blankets from a bed, and put them before the fire to warm.	彼は階段を駆けのぼり、毛布を幾枚か取って来ると、それらを暖炉の火にかざして暖めた。
Then he removed her saturated, earthy-smelling clothing, rubbed her dry with a towel, and wrapped her naked in the blankets.	それから水浸しの、泥臭い彼女の服を脱がせ、ずぶ濡れの身体をタオルで拭いてやり、裸のまま毛布にくるんでやった。
Then he went into the dining-room, to look for spirits.	強い酒か何かを探して台所へ行った彼は、
There was a little whisky.	ほんの少し残っていたウィスキーを見つけた。
He drank a gulp himself, and put some into her mouth.	まずそれを、自分でも一息飲んでから、幾らか彼女の口のなかへ含ませた。
The effect was instantaneous.	効き目はすぐに表われた。
She looked full into his face, as if she had been seeing him for some time, and yet had only just become conscious of him.	あたかも、その時まで眼に映ってはいたものの、今はじめて彼の存在に気づいたかのように、彼女は、彼の顔をまじまじと眺めた。
'Dr. Fergusson?'	「ファーガソン先生？」
she said.	と彼女は声を出した。
'What?'	「何ですか？」
he answered.	彼は応じた。
He was divesting himself of his coat, intending to find some dry clothing upstairs.	外套を脱ぎながら、上の階に乾いた衣服がなかったろうかと、彼は考えていた。
He could not bear the smell of the dead, clayey water, and he was mortally afraid for his own health.	死のような粘った泥水の臭いに苛まれ、彼は自分の体の具合を危惧した。
'What did I do?'	「私、どうしたんでしょう？」
she asked.	彼女は訊ねた。
'Walked into the pond,'	「池へ入って行ったんですよ、」
he replied.	と彼は答えた。
He had begun to shudder like one sick, and could hardly attend to her.	病熱を帯びたように身体が慄えはじめていて、彼女に応対するのも辛いようだった。
Her eyes remained full on him,	だが、彼女の眼は彼にじっと注がれていた。
he seemed to be going dark in his mind, looking back at her helplessly.	彼女のその姿を見つめ返すと、気がゆるみ、彼の意識は、暗くしびれてくるようだった。
The shuddering became quieter in him, his life came back in him, dark and unknowing, but strong again.	身震いは、徐々におさまり、陰った、未知の生き生きしさが、彼の内に打ち寄せるように、戻って来た。
'Was I out of my mind?'	「気を失っていたんですか？」
she asked, while her eyes were fixed on him all the time.	彼に堅い眼差しを向けたまま、彼女は訊ねた。
'Maybe, for the moment,'	「そうです、しばらくの間ね、」
he replied.	と彼は答えた。
He felt quiet,	彼は落ち着いていた
because his strength had come back.	──もう彼は生気を取り戻していた。
The strange fretful strain had left him.	言い知れず焦らされるような不安は、もう彼になかった。
'Am I out of my mind now?'	「今も気を失っているんですか？」
she asked.	と彼女は言った。
'Are you?'	「今も？」
he reflected a moment.	と彼は驚いて応えた。
'No,'	「いいえ、」
he answered truthfully,	と生真面目に言った、
'I don't see that you are.'	「そうは見えませんね。」
He turned his face aside.	彼は顔をそむけた。
He was afraid now, because he felt dazed, and felt dimly that her power was stronger than his, in this issue.	どうやら彼よりも確かに力強い、彼女の精気に圧されて、意識があやふやに、眩んでしまうのを感じて、彼は怖れはじめたのだ。
And she continued to look at him fixedly all the time.	彼女は瞬きもせず彼を見つめていた。
'Can you tell me where I shall find some dry things to put on?'	「僕が着られるような乾いた服が、どこかにありませんか？」
he asked.	と彼は訊ねた。
'Did you dive into the pond for me?'	「私のために池に飛び込んでくれたんですか？」
she asked.	彼女は訊ねた。
'No,'	「いや、」
he answered.	と彼は応えた。
'I walked in.	「歩いて入ったんです。
But I went in overhead as well.'	結局頭まで水を被ってしまいましたが。」
There was silence for a moment.	しばらく沈黙がつづいた。
He hesitated.	彼は迷っていた。
He very much wanted to go upstairs to get into dry clothing.	すぐにでも上の階へ行って服を着替えたかった。
But there was another desire in him.	しかし、それとはまた別の欲求も感じていた。
And she seemed to hold him.	それに彼女も、彼に傍に居てほしいようだった。
His will seemed to have gone to sleep, and left him, standing there slack before her.	彼女の前に茫漠と突っ立ったままに、彼の意志は眠りへと引きずられて行きそうだった。
But he felt warm inside himself.	それでいて、彼の身内には暖かいものがあった。
He did not shudder at all, though his clothes were sodden on him.	濡れそぼつ服に身をつつんでいながら、彼はまったく寒気を感じなかった。
'Why did you?'	「でも、なぜ？」
she asked.	と彼女は訊ねた。
'Because I didn't want you to do such a foolish thing,'	「あなたにそんな馬鹿げた真似をさせたくなかったからですよ、」
he said.	と彼は言った。
'It wasn't foolish,'	「馬鹿げてません、」
she said, still gazing at him as she lay on the floor, with a sofa cushion under her head.	と、彼女は、クッションを枕にして床に横たわったまま、やはり彼を見つめて、言った。
'It was the right thing to do.	「当然するべきことをしたんです。
_I_ knew best, then.'	気紛れでもありません。」
'I'll go and shift these wet things,'	「ちょっと、この濡れた服を取り替えてきます、」
he said.	と彼は言った。
But still he had not the power to move out of her presence, until she sent him.	しかし、彼女の気配が、彼を射抜いているかぎり、彼はその場を立ち去れなかった。
It was as if she had the life of his body in her hands, and he could not extricate himself.	彼女の手に自身の生を握られてしまったように、彼は逃れがたさを感じた。
Or perhaps he did not want to.	そして、おそらくは彼も、自らそれを望んでいたのかもしれない。
Suddenly she sat up.	不意に彼女は体を起した。
Then she became aware of her own immediate condition.	それで、彼女は自分が今どんな姿であるかに気づいた。
She felt the blankets about her, she knew her own limbs.	身にまとった毛布を手でさぐり、自分の裸の四肢に触れた。
For a moment it seemed as if her reason were going.	しばらく、彼女は放心したように動かなかった。
She looked round, with wild eye, as if seeking something.	それから、荒々しい目付きで、何か探すようにあたりを見回した。
He stood still with fear.	彼は恐怖に身動きできず、立ち尽くしていた。
She saw her clothing lying scattered.	自分の服が投げ散らかっているのを、彼女は見た。
'Who undressed me?'	「誰が私を脱がせたんです？」
she asked, her eyes resting full and inevitable on his face.	避けられないような目線を、彼の顔にじっと据えて、彼女は訊ねた。
'I did,'	「僕です、」
he replied,	と彼は応えた、
'to bring you round.'	「あなたを介抱するために──」
For some moments she sat and gazed at him awfully, her lips parted.	しばらくのあいだ、体を起した彼女は、唇を半ば開き、彼を獰猛に見据えていた。
'Do you love me then?'	「じゃあ、私を愛してるのね？」
she asked.	と、彼女は訊ねた。
He only stood and stared at her, fascinated.	彼は、答えずに、ただ惹き入られるように彼女を見つめていた。
His soul seemed to melt.	彼の精神は恍惚に溶けるようだった。
She shuffled forward on her knees, and put her arms round him, round his legs, as he stood there, pressing her breasts against his knees and thighs, clutching him with strange, convulsive certainty, pressing his thighs against her, drawing him to her face, her throat, as she looked up at him with flaring, humble eyes, of transfiguration, triumphant in first possession.	彼女は膝を引きずってゆっくりと彼に近寄り、両の腕を彼に──彼の脚にまわして、彼が立ち尽くしているのにかまわず、胸先を彼の膝と腿に押し当て、不可思議な、戦くような力強さで締め付け、さらに彼の両膝を強くかき抱くと、自分の顔に、喉元に、彼を引き寄せ、この初めての抱擁を勝ち誇るかのような、それまでとはまるで違った、燃え輝く、野卑な眼差しで、彼を見上げた。
'You love me,'	「愛してるのね、」
she murmured, in strange transport, yearning and triumphant and confident.	想い焦がれるように、勝ち誇るように、確信に充ちて、彼女は異様な無心のままにつぶやいた。
'You love me.	「愛しているのね──、
I know you love me, I know.'	分ったわ、やっと分ったわ、私を愛しているのね。」
And she was passionately kissing his knees, through the wet clothing, passionately and indiscriminately kissing his knees, his legs, as if unaware of every thing.	それから彼女は、濡れた服を着たままの、彼の膝に、熱烈に接吻し、さらに憑かれたように、膝に、脚に、見境いなく熱い唇を押し付けた。
He looked down at the tangled wet hair, the wild, bare, animal shoulders.	彼は彼女の濡れて縺れた髪筋と、荒れ立った、むき出しの、獣ののような肩先とを見下ろしていた。
He was amazed, bewildered, and afraid.	彼が感じていたのは、驚きと、当惑と、恐怖だった。
He had never thought of loving her.	彼は、自分が彼女を愛しているなど、思ってみたこともなかった。
He had never wanted to love her.	彼女を愛したいと考えたことさえなかった。
When he rescued her and restored her, he was a doctor, and she was a patient.	彼が彼女を助け、正気づかせたのは、医師としてであり、相手は患者に過ぎなかった。
He had had no single personal thought of her.	彼女に対する、彼個人としての想いなどあろうはずはなかった。
Nay, this introduction of the personal element was very distasteful to him, a violation of his professional honour.	のみならず、こうして個人の事柄を交えられるのは、彼には不快で、自分の職業の尊厳を傷つけられたとさえ、感じた。
It was horrible to have her there embracing his knees.	彼女にこんな風に膝に抱きつかれているのは、おぞましかった。
It was horrible.	息詰まる嫌悪を感じた。
He revolted from it, violently.	荒々しい反感がつのった。
And yet--and yet--he had not the power to break away.	しかしそれでいて──なお、彼はそこから逃げ出す力が出なかった。
She looked at him again, with the same supplication of powerful love, and that same transcendent, frightening light of triumph.	彼女は変わらず、猛々しい愛執と、度外れの、脅かすような勝ち誇った眼の輝きで、ふたたび彼を見上げた。
In view of the delicate flame which seemed to come from her face like a light, he was powerless.	彼女の面差しの、ゆらめき放たれるような繊細な炎を間近にして、彼は無力だった。
And yet he had never intended to love her.	しかし、なお彼は彼女を自ら愛そうとは考えなかった。
He had never intended.	そんな気にはならなかった。
And something stubborn in him could not give way.	なにかしら頑ななものが、折れずに、彼の内にとどまっていた。
'You love me,'	「私を愛してるのね、」
she repeated, in a murmur of deep, rhapsodic assurance.	と、夢のように深い確信を帯びたつぶやきで、彼女はくり返した。
'You love me.'	「愛してるのね。」
Her hands were drawing him, drawing him down to her.	彼女の腕に引き寄せられ、彼は身をかがめた。
He was afraid, even a little horrified.	彼は恐怖と、そして幾分ぞっとするような嫌悪も感じていた。
For he had, really, no intention of loving her.	彼女を愛そうなどという考えは、彼にまったく無かった。
Yet her hands were drawing him towards her.	だが彼女の腕はしきりに彼を抱き寄せようとする。
He put out his hand quickly to steady himself, and grasped her bare shoulder.	彼は倒れぬよう、とっさに手を伸ばし、彼女の肩の素肌を掴んだ。
A flame seemed to burn the hand that grasped her soft shoulder.	すると、彼の手と彼女の柔らかい肩との触れ先に、熱い、火傷ような感覚が走った。
He had no intention of loving her:	だが、決して、彼は彼女を愛しはしない
his whole will was against his yielding.	──彼女に屈してはならないと、彼の意志は必死に抵抗していた。
It was horrible.	彼女を愛する──それはおぞましい事だ。
And yet wonderful was the touch of her shoulders, beautiful the shining of her face.	しかし彼女の肩のふくらかな感触はすばらしく、彼女の顔は美しく輝いている。
Was she perhaps mad?	彼女は正気なのだろうか？
He had a horror of yielding to her.	彼女に屈するのは恐ろしいことだ。
Yet something in him ached also.	しかし、彼の内には、何かしら疼くようなものもあった。
He had been staring away at the door, away from her.	彼は彼女を避けるように、遠くの扉を見つめ続けていた。
But his hand remained on her shoulder.	だが彼の手は彼女の肩に置かれていた。
She had gone suddenly very still.	突然、彼女は動きを止めて、静かになった。
He looked down at her.	彼は彼女に目を向けた。
Her eyes were now wide with fear, with doubt, the light was dying from her face, a shadow of terrible greyness was returning.	不安と疑念とに、彼女の眼は大きく見開かれ、彼女の面差しの明るさは消え去り、影のような、痛ましい蒼味に覆われていた。
He could not bear the touch of her eyes' question upon him, and the look of death behind the question.	そして、彼女の問い掛けの眼差しの強迫と、その問いの裏にある絶望の色は、もはや彼には堪えられなかった。
With an inward groan he gave way, and let his heart yield towards her.	心の内で呻きながら、彼は屈服し、自分の心が彼女に惹き入られるにまかせた。
A sudden gentle smile came on his face.	不意に彼の顔に、優しい微笑が浮んだ。
And her eyes, which never left his face, slowly, slowly filled with tears.	すると、片時も彼の顔から離れることのなかった彼女の眼に、ゆっくりと、とてもゆっくりと、涙があふれてきた。
He watched the strange water rise in her eyes, like some slow fountain coming up.	その不可思議な水が、あたかも、ひっそりと泉が湧き出るように、彼女の眼に満ち溢れるのを、彼は見ていた。
And his heart seemed to burn and melt away in his breast.	そして彼の心臓は、胸のなかで爆ぜ、溶け崩れていくかのようだった。
He could not bear to look at her any more.	もう彼は彼女を見ていられなかった。
He dropped on his knees and caught her head with his arms and pressed her face against his throat.	膝を床につき、彼女の頭を腕にかかえ、喉元に彼女の顔を押し当てるように抱きしめた。
She was very still.	彼女はとても静かにしていた。
His heart, which seemed to have broken, was burning with a kind of agony in his breast.	もはや裂け潰れてしまったように思える彼の心臓は、胸のなかで、灼けるような苦悶に焦がれていた。
And he felt her slow, hot tears wetting his throat.	やがて彼は、静かに、熱い涙が彼の襟首を伝っていくのを感じた。
But he could not move.	彼は身動きできなかった。
He felt the hot tears wet his neck and the hollows of his neck, and he remained motionless, suspended through one of man's eternities.	熱い涙が彼の首と喉元のくぼみを濡らすのを感じながら、彼は、人が知り得る永遠の感情の一つを抱いて、じっと動かずにいた。
Only now it had become indispensable to him to have her face pressed close to him;	今はじめて、彼は身際にある彼女の顔を、失いたくないと感じた
he could never let her go again.	──もう彼はそれを放すことができなかった。
He could never let her head go away from the close clutch of his arm.	彼女の頭をきつく抱えているその腕を解くことができなかった。
He wanted to remain like that for ever, with his heart hurting him in a pain that was also life to him.	心臓に、彼にとって生そのものである痛苦を感じながら、永遠にその形姿のままでいることを、彼は望んだ。
Without knowing, he was looking down on her damp, soft brown hair.	意識せぬままに、彼は彼女の蒸れた、柔らかな褐色の髪を見下ろした。
Then, as it were suddenly, he smelt the horrid stagnant smell of that water.	すると、不意打ちのように、泥水の淀んだ厭わしい臭いが彼の鼻を衝いた。
And at the same moment she drew away from him and looked at him.	同時に、彼女は彼から身を離して、彼を見つめた。
Her eyes were wistful and unfathomable.	想い沈むような、測りがたい目色だった。
He was afraid of them, and he fell to kissing her, not knowing what he was doing.	その眼に恐れおののき、彼は、自分が何をしているか覚束ないまま、彼女に接吻しはじめていた。
He wanted her eyes not to have that terrible, wistful, unfathomable look.	そのような、痛々しい、沈鬱な、測りがたい光りが彼女の眼に浮ぶのが、彼には辛かったのだ。
When she turned her face to him again, a faint delicate flush was glowing, and there was again dawning that terrible shining of joy in her eyes,	ふたたび彼女が彼と向き合ったときには、彼女の顔は赤らんで、繊細な光りにほのめき、そして、眼にはまたも彼を脅かす熾烈な喜びの輝きが現れていた
which really terrified him, and yet which he now wanted to see, because he feared the look of doubt still more.	──その輝きはたしかに彼を脅かしたが、彼女の疑いの目色をもう堪え難いと感じる彼には、むしろ望まれている輝きなのだった。
'You love me?'	「私を愛してるの？」
she said, rather faltering.	と、彼女はおずおずと言った。
'Yes.'	「ええ。」
The word cost him a painful effort	この言葉は、彼には苦渋の一言だった。
Not because it wasn't true.	それが虚偽だからではない。
But because it was too newly true, the _saying_ seemed to tear open again his newly-torn heart.	それはあまりに、彼に未知の真実であり、それを告げることは、すでに生々しい裂け目のある彼の心を、さらに裂き開くような痛みなのだった。
And he hardly wanted it to be true, even now.	そして、それが真実であってほしくないという気持も、彼にはまだあった。
She lifted her face to him, and he bent forward and kissed her on the mouth, gently, with the one kiss that is an eternal pledge.	彼女が顔を上げると、彼は前へ身を傾けて、永久の誓約であるかのように、優しく、彼女と唇を重ねた。
And as he kissed her his heart strained again in his breast.	と同時に、彼の心臓は胸の内で、ふたたび締めつけられた。
He never intended to love her.	彼は彼女を愛そうとしたことは決してなかった。
But now it was over.	だが、その抵抗も終わりだった。
He had crossed over the gulf to her, and all that he had left behind had shrivelled and become void.	彼は彼女のいる側へ、遠い隔たりを越えて渡ったのであり、彼が後に残してきたものは、もはや瑣末な、空ろなものとしか感じられない。
After the kiss, her eyes again slowly filled with tears.	接吻の後、またも彼女の眼をゆっくりと涙が満たしていった。
She sat still, away from him, with her face drooped aside, and her hands folded in her lap.	彼女は、彼から離れ、顔を脇に俯け、膝の上に腕を組んで静かに坐っていた。
The tears fell very slowly.	涙はとてもゆるやかに頬を流れていた。
