Stay for me there  !	この地にて我を待たなむ！
"the Venus	「ビーナス像？
- the beautiful Venus ?	美しきビーナス、
- the Venus of the Medici ?	メディチのビーナス像？
- she of the diminutive head and the gilded hair ?	頭が小さくて髪の毛が金色の、あの像のこと？
Part of the left arm (here his voice dropped so as to be heard with difficulty,) and all the right, are restorations ;	左腕の一部と（彼の声が聞き取れないほど低くなって）　右腕は全部修復されているんだよ。
and in the coquetry of that right arm lies, I think, the quintessence of all affectation.	それにあの右腕の艶っぽさときたら、いかにもわざとらしい感じがして、
Give _me_ the Canova !	僕ならカノヴァ像の方にするね。
The Apollo, too,	アポロ像だってそうさ。
is a copy	これも模造品だ。
- there can be no doubt of it	絶対そうさ。
- blind fool that I am, who cannot behold the boasted inspiration of the Apollo !	アポロ像からご自慢の霊感が見えないのだから僕は目の不自由な馬鹿者ということかな。
I cannot help - pity me !	情けないとは思うが、しょうがない。
- I cannot help preferring the Antinous.	僕はアンティノスの像の方を選ぶほかないんだ。
Was it not Socrates who said that the statuary found his statue in the block of marble ?	彫刻家は大理石の固まりの中に自身の姿を見ると言ったのはソクラテスじゃなかったかな？
Then Michael Angelo was by no means original in his couplet - 'Non ha l'ottimo artista alcun concetto Che un marmo solo in se non circunscriva.' "	だったら、『最高の芸術家であり、独創的な理想を持っていたとしても、それは大理石自らが描き出したのだ』とかいたミケランジェロの対句も独創的というわけにはいかなくなる」
It has been, or should be remarked, that, in the manner of the true gentleman, we are always aware of a difference from the bearing of the vulgar, without being at once precisely able to determine in what such difference consists.	本物の紳士と通俗なやからとではその立ち居振る舞いに違いがあると昔から言われており、至極もっともなことですし、私達もそのようなことに気が付いてはいますが、何処にその違いがあるかと問われると即、解答できないのです。
Allowing the remark to have applied in its full force to the outward demeanor of my acquaintance, I felt it, on that eventful morning, still more fully applicable to his moral temperament and character.	この言葉は私の友人の立ちい振る舞いを表しているといってもよさそうなのですが、あの事件が持ち上がった朝、この言葉は私の友人に備わっている道徳観や性格に見事に合致しているように感じたのです。
Nor can I better define that peculiarity of spirit which seemed to place him so essentially apart from all other human beings, than by calling it a _habit_ of intense and continual thought,	それに他の人間と根本的に違うと思われるあの一種独特な精神を、激しい継続する思考癖と呼ぶよりももっと上手く言い表していると思うのです。
pervading even his most trivial actions	この精神は彼の些細な動作にまで浸透し、
- intruding upon his moments of dalliance	女性と戯れている最中にも入り込み、
- and interweaving itself with his very flashes of merriment	不意に浮かれて騒ぎ出す時も紛れ込み、
- like adders which writhe from out the eyes of the grinning masks in the cornices around the temples of Persepolis.	まるで、ペルセポリスの神殿を取り巻く軒蛇腹でにやにや笑っているお面の目から身もだえしながらはいずり出てきた毒蛇のようです。
I could not help, however, repeatedly observing, through the mingled tone of levity and solemnity with which he rapidly descanted upon matters of little importance, a certain air of trepidation	彼がさほど重要ではない事柄を意気揚々とまくし立てているときの軽薄さと真剣さの入り交ざった口調から何度となく目にせざるを得なかったものは、何かに怯えているような恐怖感、
- a degree of nervous _unction_ in action and in speech - an unquiet excitability of manner which appeared to me at all times unaccountable, and upon some occasions even filled me with alarm.	動作や話の中にわざと精神を高ぶらせているような感じ、私には常に不可解にみえ、何かにつけて私を不安に落とし込めてしまうような人の感情を刺激する落ち着きのない態度なのです。
Frequently, too, pausing in the middle of a sentence whose commencement he had apparently forgotten, he seemed to be listening in the deepest attention, as if either in momentary expectation of a visiter, or to sounds which must have had existence in his imagination alone.	それに、話すことを忘れてしまったように途中で口をつぐんでしまうことも度々あり、彼の心の中だけにしか存在しない音か誰かを待ち望んでいるような、心の奥深くでじっと聞き耳をたてているような、そんな感じがするのです。
It was during one of these reveries or pauses of apparent abstraction, that, in turning over a page of the poet and scholar Politian's beautiful tragedy "The Orfeo," (the first native Italian tragedy,) which lay near me upon an ottoman,	こうして彼の意識が別の空間に遠のいていったり何かを畏怖しているようなときには、私は長椅子の上の手の届くところに置いてある詩人にして学者であったポリティアンの悲しくも美しい物語『オルフェオ』 の頁をくっていました。
I discovered a passage underlined in pencil.	その中に鉛筆で下線の引いてある箇所をみつけたのです。
It was a passage towards the end of the third act - a passage of the most heart-stirring excitement - a passage which, although tainted with impurity, no man shall read without a thrill of novel emotion - no woman without a sigh.	それは第三幕の終わり頃、心が揺さぶられるほど感動する場面、不道徳なところがあるとはいえ、男性にはいまだかって経験したことのない新たな感動を、女性は、涙と溜息なしにはおれない場面、
The whole page was blotted with fresh tears ;	その頁には新たな涙のしみが全体に広がっていて、
and, upon the opposite interleaf, were the following English lines,	反対側の頁には英語の詩が書かれてありました。
written in a hand so very different from the peculiar characters of my acquaintance, that I had some difficulty in recognising it as his own :  -	その筆跡は、私の友人の特異な性格からはおよそ想像のつかないものだったので、すぐには彼の書いた詩だとはわかりませんでした。
Thou wast that all to me, love,	恋人よ
For which my soul did pine -	我が魂の道連れなり
A green isle in the sea, love,	恋人よ
A fountain and a shrine, All wreathed with fairy fruits and flowers ; 	たわわに実る果実と花にかこまれし泉と社
And all the flowers were mine.	花はすべて我のものなり
Ah, dream too bright to last !	ああ、かくも短き麗しき夢よ
Ah, starry Hope, that didst arise But to be overcast !	星の如くにまたたく望みは雲でおおわれぬ
A voice from out the Future cries,	時の彼方より叫ぶ声あり
"Onward !  "	「すすめ！」
- but o'er the Past (Dim gulf !  ) my spirit hovering lies,	その声きけど、我は恐れおののき青ざめて、声もでず、動きもやらで
Mute - motionless - aghast !	薄暗き過去の割れ目によこたわる
For alas !	ああ、なんと！
alas !  with me	なんと悲しや
The light of life is o'er.	我が命の灯はきえぬ
"No more - no more - no more,"	「もはやこれまで、もはやこれまで、もはやこれまで」
(Such language holds the solemn sea To the sands upon the shore,)	厳かなる海に、その浜辺の砂にさえ染み渡るその言葉
Shall bloom the thunder-blasted tree,	雷にうたれて枯れた木は実をつけず
Or the stricken eagle soar !	傷ついた鷲は飛翔せず
Now all my hours are trances ;	今、陽のある時は夢幻なり
And all my nightly dreams	夜ごと見る我が夢は
Are where the dark eye glances,	君が黒き瞳の輝くところ
And where thy footstep gleams,	白く輝く君が足もと
In what ethereal dances,	イタリアの水辺にて
By what Italian streams.	君が踊るは彼の世の舞か
Alas !  for that accursed time	ああ、あの悲しき時は呪われよ
They bore thee o'er the billow,	よせくる波は君を彼方へつれさりき
From Love to titled age and crime,	我がもとから、我らの罪を包む深い霧の中から
And an unholy pillow !  - From me, and from our misty clime,	年老いて罪深き偽りの枕べへ
Where weeps the silver willow  !	涙にむせぶ銀の柳よ！
That these lines were written in English	この数行の詩は英語で、
- a language with which I had not believed their author acquainted	それも作者が知らないだろうと思っていた言語で書かれていたのですが、
- afforded me little matter for surprise.	私は別段驚きもしませんでした。
I was too well aware of the extent of his acquirements, and of the singular pleasure he took in concealing them from observation, to be astonished at any similar discovery ;	彼の知識は広範囲に及んでいること、その知識を知られないように隠すことに異常な喜びを感じる性格であることを知っていたからです。
but the place of date, I must confess, occasioned me no little amazement.	ですが、この詩の日付の横に記されてある場所、これには多少なりとも驚かされたと正直に告白しましょう。
It had been originally written _London_, and afterwards carefully overscored	始めはロンドンと書いてあった字を後で線を引いて丹念に消してあるのです。
- not, however, so effectually as to conceal the word from a scrutinizing eye.	細かいところにも目がきく私には、文字を隠したところであまり効果はありませんが。
I say, this occasioned me no little amazement ;	多少なりとも驚いたと言いましたのは、
for I well remember that,	以前、彼と二人で話したことをはっきり覚えていたからなのです。
in a former conversation with a friend, I particularly inquired if he had at any time met in London the Marchesa di Mentoni,	と言いますのは、彼にロンドンでいつかメントーニ公爵夫人に会ったことがあるのかと聞いたことがあったのです。
(who for some years previous to her marriage had resided in that city,)	（婦人は結婚する前に数年間、ロンドンに住んでいました）
when his answer, if I mistake not, gave me to understand that he had never visited the metropolis of Great Britain.	私の思い違いでなければ、その時の彼の返事は、大英帝国の首都を訪れたことは一度もないと受け取れる答えでした。
I might as well here mention, that I have more than once heard,	さて、この辺で私が一度ならず耳にしたことを話しておいたほうがよろしいでしょう。
(without, of course, giving credit to a report involving so many improbabilities,)	（あまたの胡散臭い話は横に置くとして）
that the person of whom I speak, was not only by birth, but in education, an _Englishman_.	私が話しているこの青年は出身ばかりでなく、教育の点に関しても生粋の英国人であるということなのです。
"There is one painting,"	「もう一枚絵があるんだが」
said he, without being aware of my notice of the tragedy -	と、彼は私が今オルフェオの悲劇に関心がいっていることなどまるで気づいていない様子でこう言いました。
"there is still one painting which you have not seen."	「君がまだ見てない絵がもう一枚あるんだ」
And throwing aside a drapery, he discovered a full-length portrait of the Marchesa Aphrodite.	そういって壁の掛け布をまくり上げた下から現れたのはアフロディテ公爵夫人の等身大の肖像画だったのです。
Human art could have done no more in the delineation of her superhuman beauty.	婦人のこの世のものとは思えないほどの美しさをこれほど見事に表現したものは人の手による芸術作品のなかでも此より他にはありますまい。
The same ethereal figure which stood before me the preceding night upon the steps of the Ducal Palace, stood before me once again.	昨日の晩、デュカーレ宮殿の階段の上で私の前に立っていたのと同じ天女と見まがうほどの美しい姿。
But in the expression of the countenance, which was beaming all over with smiles, there still lurked (incomprehensible anomaly !) that fitful stain of melancholy which will ever be found inseparable from the perfection of the beautiful.	その顔は微かな笑みをたたえて神々しいばかりなのですが、完璧な美に付き物の憂鬱のかげりが潜んでいるのです。（何故かはわからない例外とでもいいましょうか）
Her right arm lay folded over her bosom.	婦人は右腕を胸の前で曲げ、
With her left she pointed downward to a curiously fashioned vase.	左腕は妙な形をした壺の方に向けられています。
One small, fairy foot, alone visible, barely touched the earth ;	片方だけ見える小さくて優雅な足は地にかろうじて付いているというふうです。
and, scarcely discernible in the brilliant atmosphere which seemed to encircle and enshrine her loveliness, floated a pair of the most delicately imagined wings.	婦人の美しさを大切に取り囲んでいる輝くばかりの背景の中に浮かんで見えるのは、想像で描かれた至極薄い一対の翼です。
My glance fell from the painting to the figure of my friend,	私は視線をこの絵から友人に移しました。
and the vigorous words of Chapman's _Bussy D'Ambois_, quivered instinctively upon my lips :	と、不意に閃いて私の唇からもれたのは、チャップマンのビュッシーダンボアの男性的な詩の一節です。
"He is up	彼は立つ
There like a Roman statue !  He will stand	ローマの彫像の如く立ち続けるのだ
Till Death hath made him marble !"	死が彼を大理石に変えるまで
"Come,"	「さあ！」
he said at length, turning towards a table of richly enamelled and massive silver,	やがて彼は豪華なエナメルを施した銀製の立派なテーブルの方に向き直りました。
upon which were a few goblets fantastically stained, together with two large Etruscan vases, fashioned in the same extraordinary model as that in the foreground of the portrait,	その上には、婦人の肖像画に描かれているのと同じ変わった形をした大きなエトルリアの壺が二つと、不思議な色をした酒杯が２〜３個置かれていました。
and filled with what I supposed to be Johannisberger.	壺のくちもとまで入っているのはおそらくヨハネスブルグ酒でしょう。
"Come,"	「さあ！」
he said, abruptly,	藪から棒に彼が言いました。
"let us drink !	「一杯どうです。
It is early - but let us drink.	飲むには時間が早いけど、でも一杯やろうよ。
It is _indeed_ early,"	ほんとに早すぎるんだけど」
he continued, musingly,	と、彼はとつとつと話続けるのです。
as a cherub with a heavy golden hammer made the apartment ring with the first hour after sunrise :	そのとき、重い黄金の槌を持った天使ケルビムが日の出後第一番目の時を知らせる鐘をうち鳴らしました。
"It is _indeed_ early	「まったくもって早すぎるけど、
- but what matters it ?	まあ、そんなことはどうでもいい、
let us drink !	とにかく一杯飲もうよ。
Let us pour out an offering to yon solemn sun which these gaudy lamps and censers are so eager to subdue !"	この部屋でぎらついているランプや香炉が太陽の光を必死で征服しようとしてるよ。
And, having made me pledge him in a bumper, he swallowed in rapid succession several goblets of the wine.	そうして彼は私の杯に並々と酒をついで乾杯させるや、葡萄酒を５〜６杯、たて続けに飲み干したのです。
"To dream,"	「夢見ることは」
he continued, resuming the tone of his desultory conversation, as he held up to the rich light of a censer one of the magnificent vases -	彼は見事な壺をひとつ、明るく輝く香炉のほうへ掲げて、とりとめのない話をまた続けていきます。
"to dream has been the business of my life.	「夢見ることは、僕の生涯の仕事だったんだ。
I have therefore framed for myself, as you see, a bower of dreams.	だから、自分の為にこの夢の個室を作ったんだ。
In the heart of Venice could I have erected a better ?	ベニスの真ん中にこの部屋以上のものを作れるかい？
You behold around you, it is true, a medley of architectural embellishments.	部屋を見回せば、確かに建築用の装飾品を羅列してあるだけにしかみえないけどね。
The chastity of Ionia is offended by antediluvian devices, and the sphynxes of Egypt are outstretched upon carpets of gold.	イオニア風の素朴さが大昔の図柄で台無しになってるし、エジプトのスフィンクスが黄金の絨毯の上でのうのうと寝そべっているといったところかな。
Yet the effect is incongruous to the timid alone.	これが不調和に映るのはその人間が臆病だからだ。
Proprieties of place, and especially of time, are the bugbears which terrify mankind from the contemplation of the magnificent.	場所柄にふさわしいかとか特に時代にかなってるかとか、そんなことが気になって荘厳なものがわからなくなってしまうんだ。
Once I was myself a decorist ;	そういう僕も昔は端正さを好んだものさ。
but that sublimation of folly has palled upon my soul.	でも、あんな愚劣極まりないものを、さも高尚なものとして扱うなんて僕はもううんざりなんだ。
All this is now the fitter for my purpose.	ここにあるものはみんな、僕の思いにぴったりのものばかりさ。
Like these arabesque censers, my spirit is writhing in fire,	この部屋にあるアラビア風のつり香炉みたいに、僕の魂は火の中でのたうちまわっているのさ。
and the delirium of this scene is fashioning me for the wilder visions of that land of real dreams whither I am now rapidly departing."	精神錯乱をおこしそうなこの部屋の雰囲気が、僕がこれから旅立とうとしている本当の夢の世界、狂気じみた理想の世界にふさわしい人間にしてくれるはずだ」
He here paused abruptly, bent his head to his bosom, and seemed to listen to a sound which I could not hear.	というと、こうべ頭をたれて、私には聞こえないある音に耳をかたむけているようなです。
At length, erecting his frame, he looked upwards, and ejaculated the lines of the Bishop of Chichester :	やがて姿勢をもどすと、上を見上げて、チチェスターの司教の詩を口ずさみました。
_"Stay for me there !  I will not fail_	この地にて我を待たなむ！
_To meet thee in that hollow vale."_	空ろなるこの狭間にて、我、必ずや君とあい見む
In the next instant, confessing the power of the wine, he threw himself at full-length upon an ottoman.	それからすぐに彼は酒に酔ったようだと言うと、長椅子の上に長々と身を投げ出してしまいました。
A quick step was now heard upon the staircase,	と、階段を駆け上がってくるあわただしい足音。
and a loud knock at the door rapidly succeeded.	そして次にはこの部屋の扉をたてつずけにがんがん叩くのです。
I was hastening to anticipate a second disturbance, when a page of Mentoni's household burst into the room,	一瞬、今度は何だと思ったとたん、メントーニ邸の使いの者が部屋に飛び込んできました。
and faltered out, in a voice choking with emotion, the incoherent words,	足もとはふらふらで、息が切れて、気が動転しているのか、言葉もしどろもどろで、
"My mistress !  - my mistress !  - Poisoned !  - poisoned ! Oh, beautiful - oh, beautiful Aphrodite !"	「奥様が、奥様が、毒を、毒を飲まれて、ああ、美しいアフロディテ様が！」
Bewildered, I flew to the ottoman, and endeavored to arouse the sleeper to a sense of the startling intelligence.	私はうろたえてしまい、この恐ろしい出来事を知らせなくてはと長椅子にかけより眠っている彼を起こそうとしたのです。
But his limbs were rigid	でも彼の四肢は硬直し
- his lips were livid	唇は鉛色になっているではありませんか。
- his lately beaming eyes were riveted in _death_.	今しがたまで輝いていた眼は死に捕らえられてしまったのです。
I staggered back towards the table	私はよろけるようにテーブルの方に後ずさりし、
- my hand fell upon a cracked and blackened goblet	そのとき、割れて黒ずんだ酒杯に手がふれたのです。
- and a consciousness of the entire and terrible truth flashed suddenly over my soul.	その途端、私の脳裏に閃いたのは恐ろしい真実の全貌だったのです。
