There was a law in the city of Athens	昔々、アテネという都市に１つの法律が施行されていた。
"This fellow," said he, "shall be my Titania's true love";	「こいつをティターニアの恋人にしてやろう。」と言った。
and clapping an ass's head over the clown's,	そして、ろばの頭をいなか者の頭にのせた。
it seemed to fit him as well as if it had grown upon his own shoulders.	その頭はもともといなか者の肩から生えてきたかのようにぴったりくっついているように見えた。
Though Oberon fixed the ass's head on very gently, it awakened him, and, rising up,	オーベロンは、ろばの頭をそっとのせたのだが、それで彼は目を覚まし、起きあがった。
unconscious of what Oberon had done to him, he went toward the bower where the fairy queen slept.	そして、オーベロンがしたことに気づかないままに、女王が眠っている木陰の方に歩いていった。
"Ah I what angel is that I see?"	「あら！　なんという天使がいるのでしょう。」
said Titania, opening her eyes,	ティターニアは目を開くと言った。
and the juice of the little purple flower beginning to take effect.	あの紫花の汁が効きはじめていたのだ。
"Are you as wise as you are beautiful?"	「あなたはその美しさとともに、賢さをあわせもっているのかしら。」
"Why, mistress,"	「いや奥様。」
said the foolish clown,	と愚かないなか者はいった。
"if I have wit enough to find the way out of this wood, I have enough to serve my turn."	「この森を抜けだす道が見つけられれば、それで十分です。」
"Out of the wood do not desire to go,"	「森を抜けだすなんて考えないでくださいな。」
said the enamoured queen.	恋に落ちた女王は言った。
"I am a spirit of no common rate.	「私はふつうの妖精《フェアリー》ではないのよ。
I love you.	私、あなたが好きなの。
Go with me,	私といっしょにいらっしゃい。
and I will give you fairies to attend upon you."	あなたのお世話をする妖精《フェアリー》をさしあげますわ。」
She then called four of her fairies.	それから女王は４人の妖精《フェアリー》を呼んだ。
Their names were Peas-blossom, Cobweb, Moth, and Mustard-seed.	その名は豆の花、くもの巣、蛾、からし種と言った。
"Attend,"	「お世話をしなさい。」
said the queen,	女王は言った。
"upon this sweet gentleman.	「この立派な紳士の。
Hop in his walks and gambol in his sight;	この方のお歩きになるところでとんだり、見えるところで踊ってさしあげなさい。
feed him with grapes and apricots, and steal for him the honey-bags from the bees.	ぶどうやあんずを食べていただいたり、みつばちからみつ袋をとってきてさしあげなさい。
Come, sit with me,"	あなた、私といっしょにお座りなさい。」
said she to the clown.	最後の言葉はいなか者に向けて、女王は言った。
"and let me play with your amiable hairy cheeks, my beautiful ass!	「あなたのかわいい毛むくじゃらのほっぺに触らせて、私のかわいいろばさん。
and kiss your fair large ears,	あなたのきれいな大きい耳にキスさせてね。
my gentle joy."	私のやさしい大事な方。」
"Where is Peas-blossom?"	「豆の花はどこにいるかね。」
said the ass-headed clown,	ろばの頭をつけたいなか者が言った。
not much regarding the fairy queen's courtship, but very proud of his new attendants.	彼は女王が甘えてくるのは気にしておらず、むしろ新しい侍女がいるのを得意がっていた。
"Here, sir,"	「ここにおります。」
said little Peas-blossom.	小さな豆の花が言った。
"Scratch my head,"	「私の頭をかいておくれ。」
said the clown.	いなか者は言った。
"Where is Cobweb?"	「くもの巣はどこかね。」
"Here, sir,"	「ここにおります。」
said Cobweb.	くもの巣は言った。
"Good Mr. Cobweb,"	「くもの巣君。」
said the foolish clown,	愚かないなか者は言った。
"kill me the red humblebee on the top of that thistle yonder;	「向こうのあざみのてっぺんにいる、赤いまるはなばちを殺しておくれ。
and, good Mr. Cobweb, bring me the honey-bag.	それから、くもの巣君、私にみつ袋を持ってきておくれ。
Do not fret yourself too much in the action, Mr. Cobweb,	持ってくるときに、あまり気短にしないでくれよ、くもの巣君。
and take care the honey-bag break not;	みつ袋が破れないように気をつけてくれよ。
I should be sorry to have you overflown with a honey-bag.	君がみつ袋をひっかぶったら気の毒だからね。
Where is Mustard-seed?"	からし種はどこにいるかね。」
"Here, sir, "	「ここにおります。」
said Mustard-seed.	からし種は答えた。
"What is your will?"	「ご用はなんでしょうか。」
"Nothing,"	「なんでもないんだ。」
said the clown,	いなか者は答えた。
"good Mr. Mustard-seed, but to help Mr. Peas-blossom to scratch;	「からし種君、豆の花君を手伝って、頭をかいておくれ。
I must go to a barber's, Mr. Mustard-seed, for methinks I am marvelous hairy about the face."	どうも床屋へ行かなきゃならんな、そうだろ、からし種君、どうも、私の顔のあたりがとても毛むくじゃらになっているようだからな。」
"My sweet love,"	「あなた。」
said the queen,	女王が言った。
"what will you have to eat?	「あなたは何をお食べになるの。
I have a venturous fairy	私は冒険好きな妖精《フェアリー》を従えています。
shall seek the squirrel's hoard, and fetch you some new nuts."	その子にりすの貯えを探させて、あなたに新しい木の実をさしあげるつもりですけど。」
"I had rather have a handful of dried peas,"	「それより乾豆一握りの方がいいね。
said the clown,	いなか者が言った。
who with his ass's head had got an ass's appetite.	ろばの頭がついたので、ろばの食欲を持っていたのだ。
"But, I pray,	「だがお願いだ。
let none of your people disturb me,	あなたの部下に私の邪魔をさせないようにしてください。
for I have a mind to sleep."	私は眠たいんだ。」
"Sleep, then,"	「では、おやすみなさい。」
said the queen,	女王は言った。
"and I will wind you in my arms.	「私が抱いてさしあげましょう。
Oh, how I love you!	あなたを愛してるわ。
how I dote upon you!"	とっても大好き。」
When the fairy king saw the clown sleeping in the arms of his queen, he advanced within her sight,	妖精《フェアリー》の王は、いなか者が女王の腕の中で眠っているのを見た。
and reproached her with having lavished her favors upon an ass.	彼女の前にでてきて、彼女がろばに対してふんだんに愛情を注いだことをとがめた。
This she could not deny,	これを彼女は否定できなかった。
as the clown was then sleeping within her arms, with his ass's head crowned by her with flowers.	相手の男は、彼女に作ってもらった花飾りで頭を飾っており、また、腕の中で眠っているところだったから。
When Oberon had teased her for some time, he again demanded the changeling boy;	オーベロンはしばらくティターニアをいじめた後で、またとりかえ子を要求した。
which she, ashamed of being discovered by her lord with her new favorite, did not dare to refuse him.	彼女は、新しいお気に入りといっしょにいるところを主人に見られてしまい、恥じ入っていたから、オーベロンの要求を断れなかった。
Oberon, having thus obtained the little boy he had so long wished for to be his page,	オーベロンは、ついに長らく小姓に欲しいと思っていたとりかえ子を得た。
took pity on the disgraceful situation into which, by his merry contrivance, he had brought his Titania,	そうすると、オーベロンの愉快な計略によって不名誉な立場にたってしまったティターニアのことがかわいそうに思えてきた。
and threw some of the juice of the other flower into her eyes;	そこで、別の花の汁を彼女の目に垂らしてやった。
and the fairy queen immediately recovered her senses,	すると、妖精《フェアリー》の女王はたちまち正気に返った。
and wondered at her late dotage, saying how she now loathed the sight of the strange monster.	ついさっきまでののぼせようを不思議がり、その相手だった奇妙な怪物を、もう見るのもいやだというのだった。
Oberon likewise took the ass's head from off the clown, and left him to finish his nap with his own fool's head upon his shoulders.	同じように、オーベロンはろばの頭をいなか者からとってしまって、もう元の頭を肩の上にのせているそのいなか者が、昼寝をし終えるまで放っておいた。
Oberon and his Titania being now perfectly reconciled,	オーベロンと、彼の妻ティターニアは、今や完全に仲直りしていた。
he related to her the history of the lovers and their midnight quarrels,	オーベロンは、ティターニアに恋人たちの物語と深夜のけんかのことを話した。
and she agreed to go with him and see the end of their adventures.	彼女は、彼といっしょに話の結末を見に行くことに賛同した。
The fairy king and queen found the lovers and their fair ladies, at no great distance from one another, sleeping on a grass-plot;	妖精《フェアリー》の王と女王の２人は、恋人たちと、その美しい娘たちが、ごく近い距離をおいて、草地の上に眠っているのを見つけた。
for Puck, to make amends for his former mistake, had contrived with the utmost diligence to bring them all to the same spot, unknown to one another;	パックが、自分の間違いの埋め合わせをしようと、恋人たち全員を同じ場所に、互いにそれと知れぬまま集めようと全力を尽くしたのだった。
and he bad carefully removed the charm from off the eyes of Lysander with the antidote the fairy king gave to him.	すでにライサンダーの目からは、王が与えた解毒剤を使って、魔力を取り除いてあった。
Hermia first awoke,	ハーミアが最初に目を覚ました。
and, finding her lost Lysander asleep so near her, was looking at him and wondering at his strange inconstancy.	彼女は、見失ってしまったはずのライサンダーがそばにいるのを見て、彼が見せた奇妙な心変わりを不審がっていた。
Lysander presently opening his eyes,	まもなくライサンダーが目を開けた。
and seeing his dear Hermia, recovered his reason which the fairy charm had before clouded, and with his reason his love for Hermia;	愛するハーミアを見ているうちに、妖精《フェアリー》の魔力で曇っていた正気が戻ってきて、再びハーミアを愛するようになった。
and they began to talk over the adventures of the night,	２人はその夜起こった事件について語り始めた。
doubting if these things had really happened, or if they bad both been dreaming the same bewildering dream.	果たして事件が本当に起こったのか、それとも同じ夢を見ていただけなのか、疑っていた。
Helena and Demetrius were by this time awake;	ヘレナとディミートリアスは、そのとき、もう起きていた。
and a sweet sleep having quieted Helena's disturbed and angry spirits,	快い眠りによって、ヘレナの中では腹だたしい気分はすっかりおさまっていた。
she listened with delight to the professions of love which Demetrius still made to her,	そして、ディミートリアスが聞かせてくれる愛の告白に喜んで耳を傾けていた。
and which, to her surprise as well as pleasure, she began to perceive were sincere.	嬉しくも驚いたことに、ヘレナはその告白が誠実なものだと思い始めていたのだった。
These fair night-wandering ladies, now no longer rivals, became once more true friends;	不思議な夜を体験した美しい娘たちは、今ではもう競争相手ではなく、再び親友同士となった。
all the unkind words which had passed were forgiven, and they calmly consulted together what was best to be done in their present situation.	これまでのひどい言葉はみな許されて、今やるべき最前のことは何だろうと一同で話しあった。
It was soon agreed that, as Demetrius bad given up his pretensions to Hermia, he should endeavor to prevail upon her father to revoke the cruel sentence of death which had been passed against her.	やがて決まったことは、ディミートリアスはハーミアに対する要求を放棄したのだから、ハーミアの父を説得して、ハーミアに下された死刑宣告を取り消させる、ということだった。
Demetrius was preparing to return to Athens for this friendly purpose,	ディミートリアスが、この親切な目的のためにアテネに帰る準備を始めた。
when they were surprised	そのとき、驚くべきことが起こった。
with the sight of Egeus, Hermia's father,	ハーミアの父イージアスが現れたのだ。
who came to the wood in pursuit of his runaway daughter.	彼は逃げだした娘を追って森にやってきたのだ。
When Egeus understood that Demetrius would not now marry his daughter, he no longer opposed her marriage with Lysander,  but gave his consent that they should be wedded on the fourth day from that time,	イージアスは、ディミートリアスがもう娘と結婚する気がなくなったことを知って、これ以上ライサンダーと娘との結婚を反対しないことにして、今から４日後に娘とライサンダーが結婚することを許可した。
being the same day on which Hermia had been condemned to lose her life;	その日はちょうど、ハーミアが命を失うことになっていた日だった。
and on that same day Helena joyfully agreed to marry her beloved and now faithful Demetrius.	また、同じ日にヘレナは、今や誠実な彼女の愛人となったディミートリアスと結婚することに、喜んで同意した。
The fairy king and queen, who were invisible spectators of this reconciliation,	妖精《フェアリー》の王と女王は、この和解の見えざる目撃者となった。
and now saw the happy ending of the lovers' history, brought about through the good offices of Oberon, received so much pleasure	恋人たちの物語が、オーベロンの親切な計らいによって、めでたい結末に終わったのを見て、大いに喜んだ。
that these kind spirits resolved to celebrate the approaching nuptials with sports and revels throughout their fairy kingdom.	この親切な妖精《フェアリー》たちは、近づく婚礼を、妖精《フェアリー》国全土を挙げての宴楽でもって祝うことに決めた。
And now, if any are offended with this story of fairies and their pranks, as judging it incredible and strange, they have only to think	ところで、もし妖精《フェアリー》たちが悪ふざけをしたこの物語に対して、信じられない奇談と判断して腹を立てる人がいるなら、その人たちには以下のように考えてもらえばそれでいい。
that they have been asleep and dreaming, and that all these adventures were visions which they saw in their sleep.	その人たちは夢を見ていたんだろうし、この事件は夢の中で見た幻に過ぎないのだと。
And I hope none of my readers will be so unreasonable as to be offended with a pretty, harmless Midsummer Night's Dream.	そして、読者の中に、この美しく無邪気な真夏の夜の夢に腹を立てるような、わけの分からぬ人などいないことを私は望んでいるのだ。
