Lappin And Lapinova	ラピンとラピノヴァラピンとラピノヴァ
and every room she passed and peered into seemed to be a dining―room where people sat eating under steel engravings, with thick yellow lace curtains, and mahogany sideboards.	通りすがりにのぞきこむ、人々が食事の席についている部屋のどれもが、鉄の彫像が飾られ、厚ぼったい黄色いレースのカーテンが垂れ下がり、マホガニーの食器棚が据えつけられた、あのダイニングルームのように見えた。
At last she reached the Natural History Museum;	やがて彼女は自然史博物館に到着した。
she used to like it when she was a child.	この博物館が、子どもの頃好きだった。
But the first thing she saw when she went in was a stuffed hare standing on sham snow with pink glass eyes.	けれど、入場してはじめに目にしたものは、作り物の雪の上に立つ、ピンクの瞳をした剥製の野うさぎだった。
Somehow it made her shiver all over.	どういうわけか、それを見ると全身に震えが走った。
Perhaps it would be better when dusk fell.	ひょっとしたら、日が落ちれば事態は改善されるかもしれない。
She went home and sat over the fire, without a light, and tried to imagine that she was out alone on a moor;	彼女は家に帰り、灯りをつけないまま暖炉の前に座って、荒野にひとりでいるところを想像してみようとした。
But she could get no further than the stream.	だが、彼女は小川よりも先に行くことができなかった。
At last she squatted down on the bank on the wet grass, and sat crouched in her chair, with her hands dangling empty, and her eyes glazed, like glass eyes, in the firelight.	とうとう、露に濡れた草の茂る土手にしゃがみこみ、そして、椅子の中で身を縮め、両手をむなしく下ろし、じっと、ちょうどガラス玉のようなその瞳で、暖炉の炎を見つめた。
Then there was the crack of a gun. . ..	そのうち、銃声がした。
She started as if she had been shot.	まるで自分が撃たれたかのように、はっとした。
It was only Ernest, turning his key in the door.	それは単に、アーネストがドアの鍵を回しただけのことだった。
She waited, trembling.	彼女は震えながら待った。
He came in and switched on the light.	かれは部屋に入り、灯りのスイッチを入れた。
There he stood, tall, handsome, rubbing his hands that were red with cold.	それから、背が高く、端正な顔をかれは、寒さのために赤くなった手をこすりはじめた。
“Sitting in the dark?”	「なんで真っ暗ななかに座りこんでるの？」
he said.	とかれは言った。
“Oh, Ernest, Ernest!”	「ああ、アーネスト、アーネスト！」
she cried, starting up in her chair.	と、椅子から飛びあがった彼女は叫んだ。
“Well, what’s up now?”	「おやおや、どうしたんだよ？」
he asked briskly, warming his hands at the fire.	と、両手を暖炉であぶりながら軽く尋ねる。
“It’s Lapinova . . .”	「ラピノヴァよ」
she faltered,	ロザリンドはようやくのことで声を出した。
glancing wildly at him out of her great startled eyes.	その瞳を大きく見開かれ、落ちつきなくアーネストの姿を追う。
“She’s gone, Ernest.	「ラピノヴァがいなくなったのよ、アーネスト。
I’ve lost her!”	わたし、ラピノヴァをなくしてしまったの！」
Ernest frowned.	アーネストは眉をひそめた。
He pressed his lips tight together.	口元を固く引きしめた。
“Oh, that’s what’s up, is it?”	「ふうん、そんなことがあったんだ、なるほどね？」
he said, smiling rather grimly at his wife.	とかれは、気味の悪いとさえいえるほほえみを妻に向かって浮かべてみせた。
For ten seconds he stood there, silent;	10秒ほど、一言もきかずに立ち尽くしていた。
and she waited, feeling hands tightening at the back of her neck.	その間ロザリンドは、首の後ろを手で掴まれているような気がしていた。
“Yes,”	「そうだよ」
he said at length.	とかれはようやく口を開いた。
“Poor Lapinova. . .”	「かわいそうなラピノヴァ――」
He straightened his tie at the looking―glass over the mantelpiece.	かれはマントルピースの鏡に向かってネクタイを整えた。
“Caught in a trap,”	「罠にかかって」
he said,	とかれは言った。
“killed,”	「殺された」
and sat down and read the newspaper.	そして腰を下ろして新聞を読みはじめた。
So that was the end of that marriage.	それが結婚生活の終わりだった。
