The Great Gatsby	グレイト・ギャツビー
Then, taking a long breath and straightening his shoulders, he remarked in a determined voice:	それから深呼吸し、肩をぴんと張ったかれは、力強くこう述べた。
“Wonder’ff tell me where there’s a gas’line station?”	「だれか、ガソリンスタンドはどこか教えてもらえるかな？」
At least a dozen men, some of them little better off than he was, explained to him	すくなくとも1ダースの男たちが、中にはかれに劣らず非常識なものもいたけど、口をそろえて説明した。
that wheel and car were no longer joined by any physical bond.	タイヤとボディはどうがんばっても二度ともとどおりにならないのだ、と。
“Back out,”	「バックしよう」
he suggested after a moment.	とかれは言い出した。
“Put her in reverse.”	「向きを変える」
“But the WHEEL’S off!”	「タイヤが外れてるんだって！」
He hesitated.	かれは一瞬ためらった。
“No harm in trying,”	「やってみて損はない」
The caterwauling horns had reached a crescendo and I turned away and cut across the lawn toward home.	ぼくは最高潮に達したクラクションの響きに背を向け、芝生を突っ切って自分の家へと急いだ。
I glanced back once.	一度だけふりかえってみた。
A wafer of a moon was shining over Gatsby’s house,	ギャツビーの屋敷の上にはウェハースのような月が輝いていた。
making the night fine as before, and surviving the laughter and the sound of his still glowing garden.	そう、庭はもう笑い声も低い物音も絶えて静まりかえっていたけれど、夜空はあいもかわらず澄みきっている。
A sudden emptiness seemed to flow now from the windows and the great doors, endowing with complete isolation the figure of the host, who stood on the porch, his hand up in a formal gesture of farewell.	それを見たとたん、開けっぱなしのドアや窓から溢れ出してきた空虚さが、ポーチに立って堅苦しく片手をあげ、別れの挨拶を送る主人の姿を完全に孤立させてしまった。
Reading over what I have written so far, I see I have given the impression that the events of three nights several weeks apart were all that absorbed me.	ここまで書いてきたものを読みかえしてみると、これでは、ぼくが数週間の間隔を空けた3夜のできごとにばかり気をとられていたような印象を与えてしまいそうだ。
On the contrary, they were merely casual events in a crowded summer, and, until much later, they absorbed me infinitely less than my personal affairs.	実際はまったく反対で、あの夜々はごたごたしたあの夏を何気なく通りすぎていったイベントにすぎず、ぼくは、ずっと後になるまで、個人的なものごとのほうへだんぜん気をとられていた。
Most of the time I worked.	ぼくは時間の大部分を仕事につぎこんだ。
In the early morning the sun threw my shadow westward as I hurried down the white chasms of lower New York to the Probity Trust.	朝日に照らされて影を西側にしたがえながら、ニョーヨーク下町という白い谷間からプロビティ・トラストへと向かう。
I knew the other clerks and young bond-salesmen by their first names, and lunched with them in dark, crowded restaurants on little pig sausages and mashed potatoes and coffee.	他の事務員や証券マンとファーストネームで呼び合う仲になり、昼になるとかれらと薄暗くて混んだレストランにでかけ、小さなポークソーセージにマッシュポテト、それからコーヒーをかきこんだ。
I even had a short affair with a girl who lived in Jersey City and worked in the accounting department, but her brother began throwing mean looks in my direction, so when she went on her vacation in July I let it blow quietly away.	ジャージー・シティに暮らしていた、経理の女の子とちょっとした火遊びをやったりもしたけど、彼女の兄から険悪な目を向けられるようになったから、7月になって彼女が休暇をとると、ぼくはそのまま自然消滅させてしまった。
I took dinner usually at the Yale Club――	ふだんはエール・クラブで夕食をとった――
for some reason it was the gloomiest event of my day――	わけあって、それはぼくの日課でもっとも憂鬱なものだった――
and then I went up-stairs to the library and studied investments and securities for a conscientious hour.	それから上の図書室にこもって、1時間まるまる、投資や保証について勉強した。
There were generally a few rioters around, but they never came into the library, so it was a good place to work.	クラブにはいつも騒ぎ屋がいたけれど、連中はけっして図書室には入ってこなかったから、ここにいれば集中してとりくむことができた。
After that, if the night was mellow, I strolled down Madison Avenue past the old Murray Hill Hotel, and over 33rd Street to the Pennsylvania Station.	その後、おだやかな夜であれば、マジソン区から旧マレー・ヒル・ホテル前に出て、33番街を抜けペンシルベニア駅まで歩く。
I began to like New York,	ぼくはニューヨークが好きになりはじめていた。
the racy, adventurous feel of it at night,	活気と冒険気分に満ちた夜。
and the satisfaction that the constant flicker of men and women and machines gives to the restless eye.	絶えずゆらめく男女の群れと機械が落ちつきのない瞳に満足感を与える。
I liked to walk up Fifth Avenue and pick out romantic women from the crowd and imagine that in a few minutes I was going to enter into their lives, and no one would ever know or disapprove.	ぼくは5番街を歩き、群集の中からロマンティックな女性を選りぬき、彼女たちの生活にぼくがだれに知られることもだれに後ろ指さされることもなく入りこんでいくという空想にしばらくの間遊んでみるのが好きだった。
Sometimes, in my mind, I followed them to their apartments on the corners of hidden streets,	ときには、心の中で、知らない街角にある彼女たちの部屋までその後を追ってみることもある。
and they turned and smiled back at me before they faded through a door into warm darkness.	ドアの前で彼女たちはぼくをふりかえってほほえむと、戸内の暖かい闇の中へ染み入るように消える。
At the enchanted metropolitan twilight I felt a haunting loneliness sometimes,	大都会の黄昏に行き場のない孤独感を感じることもあった。
and felt it in others――	そして、それを他人に見出すこともあった――
poor young clerks who loitered in front of windows waiting until it was time for a solitary restaurant dinner――	ショーウィンドウの前をぶらぶらしながら、レストランでの孤独な夕食の時間を待ちわびる若くて貧乏な勤め人たちに――
young clerks in the dusk, wasting the most poignant moments of night and life.	もっともつらい夜を、もっともつらい日々をただ空費しているだけのたそがれ時の勤め人たちに。
Again at eight o’clock, when the dark lanes of the Forties were five deep with throbbing taxi-cabs, bound for the theatre district, I felt a sinking in my heart.	8時になり、40数番代のレーンに劇場区に向かうタクシーが描く5筋のはっきりとした線があらわれると、ぼくの心は沈んだ。
Forms leaned together in the taxis as they waited, and voices sang,	タクシーの中に肩を寄せあって声をはずませる人影。
and there was laughter from unheard jokes,	ぼくには聞き取れないジョークに応える笑い声。
and lighted cigarettes outlined unintelligible 70 gestures inside.	中で煙草の火が揺れ、なんとも形容しがたい弧を描く。
Imagining that I, too, was hurrying toward gayety and sharing their intimate excitement, I wished them well.	自分もまた、くつろいだ、わくわくするような夜をかれらとともにすごすため、待ち合わせ場所に急いでいるのだと空想しながら、ぼくは、かれらに幸あれと祈った。
For a while I lost sight of Jordan Baker,	しばらくジョーダン・ベイカーの姿を見かけなかった。
and then in midsummer I found her again.	ふたたび彼女を見たのは夏も盛りのころだ。
At first I was flattered to go places with her,	はじめのうち、ぼくは彼女とともにいろいろなところに出かけるのを得意に思った。
because she was a golf champion, and every one knew her name.	彼女はゴルフのチャンピオンで、だれもがその名前を知っていたから。
Then it was something more. I wasn’t actually in love, but I felt a sort of tender curiosity.	別に恋というほどのものでもないけれど、ぼくはある種の優しい興味を彼女に抱いていた。
The bored haughty face that she turned to the world concealed something――	彼女が世間に向ける、いかにも飽いたといいたげな傲慢な顔には、なにかが秘められていた――
most affectations conceal something eventually, even though they don’t in the beginning――	結局ポーズというものは、最初はちがったかもしれないけど、たいていなにかを秘めるものなのだ――
and one day I found what it was.	そしてある日、彼女が秘めたものを見いだした。
When we were on a house-party together up in Warwick, she left a borrowed car out in the rain with the top down, and then lied about it――	ぼくらが一緒にウォーウィックでのホームパーティーに行ったとき、彼女は借りた車の幌を下ろしたまま雨の中に放置しておいて、そのことについて嘘をついたのだ――
and suddenly I remembered the story about her that had eluded me that night at Daisy’s.	そのときぼくは、デイジーと再会した夜に思い出しそこねたエピソードを急に思い出した。
At her first big golf tournament there was a row that nearly reached the newspapers――	彼女がはじめて出場を果たした大きなトーナメントであやうく新聞に載りかけた騒ぎが持ちあがった――
a suggestion that she had moved her ball from a bad lie in the semi-final round.	準決勝で彼女は自分のボールを具合の悪い位置から移動させたという話がでたのだ。
The thing approached the proportions of a scandal――	その話はスキャンダルにまでなりかけ――
then died away.	立ち消えになった。
A caddy retracted his statement, and the only other witness admitted that he might have been mistaken.	キャディーが証言を撤回し、さらにもうひとりだけいた目撃者も自分の勘違いを認めた。
The incident and the name had remained together in my mind.	けれどもその事件とその名前は、セットでぼくの頭に刻まれていた。
Jordan Baker instinctively avoided clever, shrewd men,	ジョーダン・ベイカーは利口で抜け目のない男を本能的に避けた。
and now I saw that this was because she felt safer on a plane where any divergence from a code would be thought impossible.	いまにしてみれば、それは規範からそれるなど言語道断という世界にいたほうが安心できたからだと思う。
She was incurably dishonest.	彼女の不誠実には手のつけようがなかった。
She wasn’t able to endure being at a disadvantage	彼女は不利な立場に立たされるのに耐えられなかった。
and, given this unwillingness, I suppose she had begun dealing in subterfuges when she was very young in order to keep that cool, insolent smile turned to the world	迂闊にもそういう立場に立たされたときは、思うにごく若い頃から冷静さをたもつためにそういう欺瞞をやりはじめたのだろう、斜めに構えて世間を嗤った。
and yet satisfy the demands of her hard, jaunty body.	それでも自分の頑健で奔放な肉体からの要求には応えていたわけだけど。
It made no difference to me.	それは、ぼくにとっては別にどうでもいいことだった。
Dishonesty in a woman is a thing you never blame deeply――	女性の不誠実さなど、くどくどと責めたてるべきものではないのだ――
I was casually sorry, and then I forgot.	とりあえずは情けなく思ったけれど、それで忘れてしまった。
It was on that same house party that we had a curious conversation about driving a car.	同じホームパーティーに向かう途中、ぼくとジョーダンは車の運転についておもしろい話をしたことがある。
It started because she passed so close to some workmen that our fender flicked a button on one man’s coat.	きっかけは、ジョーダンが労働者をかすめるように車を走らせたためにフェンダーが男のコートのボタンをひとつ弾き飛ばしてしまったことだった。
“You’re a rotten driver,”	「すごい運転だね。
“Either you ought to be more careful, or you oughtn’t to drive at all.”	もっと注意して運転しろよ、じゃなきゃ運転なんかするな」
“I am careful.”	「注意してるよ」
“No, you’re not.”	「どこが」
“Well, other people are,”	「まあ、他の人のほうで注意してくれるでしょ」
“What’s that got to do with it?”	「それとこれといったいどんな関係が？」
“They’ll keep out of my way,”	「つまり向こうから避けてくれるってこと。
“It takes two to make an accident.”	事故ってのは両者の問題なんだから」
“Suppose you met somebody just as careless as yourself.”	「きみと同じくらい不注意なやつに会ったときはどうする」
“I hope I never will,”	「会いたくないな、そんな人とは。
“I hate careless people.	わたし、不注意な人って大嫌い。
That’s why I like you.”	だからあなたのこと好きなのよ」
Her gray, sun-strained eyes stared straight ahead, but she had deliberately shifted our relations,	陽に細められた灰色の瞳はまっすぐ前をみつめていたけれど、彼女のその言葉にはぼくたちの関係を変ようとする意思があった。
and for a moment I thought I loved her.	ぼくは一瞬、彼女をいとおしく思った。
But I am slow-thinking and full of interior rules that act as brakes on my desires,	ところが、ぼくはもともと決断の遅いたちだし、胸の内には個人的な欲求にブレーキをかけるいろいろなルールが刻まれている。
and I knew that first I had to get myself definitely out of that tangle back home.	しかも、なにより先に故郷でのもつれにはっきりした処理をしなければならないというのを知っていた。
I’d been writing letters once a week and signing them: “Love, Nick,” and all I could think of was how, when that certain girl played tennis, a faint mustache of perspiration appeared on her upper lip.	ぼくには1週間に1通のペースで「愛するニック」として手紙を書く相手がいたけれど、それについてぼくの頭の中にあることといったら、その娘がテニスをするとき、鼻の下にうっすらとした汗を浮かばせること、それがまるで薄い髭のように思えたことくらいしかない。
Nevertheless there was a vague understanding that had to be tactfully broken off before I was free.	それでもやはり、ぼくらの間にはおぼろな了解があったから、自由になるためにはそれを巧みに断ち切ってみせなければならなかった。
Every one suspects himself of at least one of the cardinal virtues, and this is mine:	だれだって自分に7つの徳の1つくらいは備わっていると思うものだけど、ぼくの場合はこれだ。
I am one of the few honest people that I have ever known.	個人的に知っている範囲では数少ないもっとも誠実な人間、その1人がぼくなのだ。
Chapter 4	第4章
On Sunday morning while church bells rang in the villages alongshore, the world and its mistress returned to Gatsby’s house and twinkled hilariously on his lawn.	日曜の朝、教会の鐘が海岸の村々に鳴り響く中、ギャツビー邸には俗世とその女主人がもどってきて、芝生の上に狂騒を繰り広げる。
“He’s a bootlegger,”	「あのひとはね、お酒の密造をやってるの」
said the young ladies, moving somewhere between his cocktails and his flowers.	と若い女性たちは、話題の人物のカクテルと花々とを往復しながら言った。
“One time he killed a man who had found out that he was nephew to Von Hindenburg and second cousin to the devil.	「あるときなんか、あのひとがヒンデンブルク元帥の甥で、悪魔のまた従弟だってのをかぎつけたやつを殺したこともあるのよ。
Reach me a rose, honey,	ねえあなた、そこのバラ、こっちに回して。
and pour me a last drop into that there crystal glass.”	それから、あそこのクリスタルグラスに最後の1滴を注いでよ」
Once I wrote down on the empty spaces of a time-table the names of those who came to Gatsby’s house that summer.	ぼくは一度、時刻表の余白に、あの夏ギャツビーのところを訪れた人々の名前を書きとめてみたことがある。
It is an old time-table now, disintegrating at its folds,	すでに古くなったその時刻表は、折り目のところから千切れてしまいそうだ。
and headed “This schedule in effect July 5th, 1922.”	ヘッダには「1922年7月5日以降の運行予定」とある。
But I can still read the gray names, and they will give you a better impression than my generalities of those who accepted Gatsby’s hospitality and paid him the subtle tribute of knowing nothing whatever about him.	それでもまだ、そこにあるかすれた名前は読めるし、その名前を並べたてるほうが、あの夏にギャツビーのもてなしを受け、それでいてギャツビーについてはまったくなにひとつ知りはしないという報いるところの薄い人々のことをぼくが大雑把にまとめてしまうよりも、イメージとして分かりやすいだろう。
From East Egg, then, came the Chester Beckers and the Leeches,	イースト・エッグからきていたのは、チェスター・ベッカー夫妻にリーチ夫妻。
and a man named Bunsen,	それからブンセンという男。
whom I knew at Yale,	かれについてはぼくもエール時代に知っていた。
and Doctor Webster Civet,	ドクター・ウェブスター・シベット。
who was drowned last summer up in Maine.	こちらは昨年夏にメーンで溺死した。
And the Hornbeams and the Willie Voltaires,	ホーンビーム夫妻、ウィーリー・ボルテール夫妻。
and a whole clan named Blackbuck,	それからブラックバックという名の一族郎党。
who always gathered in a corner and flipped up their noses like goats at whosoever came near.	かれらはいつも隅に席をとり、近づくものがあると鼻を山羊みたいにつんとそらした。
And the Ismays and the Chrysties (or rather Hubert Auerbach and Mr. Chrystie’s wife),	イズメイ夫妻、クリスティ夫妻（というよりむしろヒューバート・アウアバッハとクリスティ夫人というべきだろうか）。
and Edgar Beaver,	エドガー・ビーバー。
whose hair, they say, turned cotton-white one winter afternoon for no good reason at all.	かれの頭髪はある冬の午後わけもなにもなく突如真っ白になったという噂だ。
Clarence Endive was from East Egg, as I remember.	クラレンス・エンディブもイースト・エッグからきていたように記憶している。
He came only once, in white knickerbockers, and had a fight with a bum named Etty in the garden.	やってきたのは一度だけで、白のニッカボッカー姿で現れたかれは、庭でエティという放蕩者と喧嘩をやらかした。
From farther out on the Island came the Cheadles and the O. R. P. Schraeders, and the Stonewall Jackson Abrams of Georgia, and the Fishguards and the Ripley Snells.	ロング・アイランドのはずれからやってきたのはシードル夫妻、O.R.P.シュレーダー夫妻、ジョージアのストーンウォール・ジャクソン・エイブラム夫妻、フィッシュガード夫妻、リプリー・スネル夫妻。
Snell was there three days before he went to the penitentiary, so drunk out on the gravel drive that Mrs. Ulysses Swett’s automobile ran over his right hand.	スネルは刑務所行きの3日前にもきて、さんざん飲んだあげく砂利敷きの私道に寝そべり、ミセス・ユリシーズ・スウェットの自動車に右手を轢かれた。
The Dancies came, too, and S. B. Whitebait,	ダンシー夫妻もいたし、S.B.ホワイトベイトもいた。
who was well over sixty,	これは齢60をゆうに超える老人だ。
and Maurice A. Flink, and the Hammerheads, and Beluga the tobacco importer, and Beluga’s girls.	モーリス A.フリンク、ハンマーヘッド夫妻、煙草輸入商ベルガ、それからベルガの娘たち。
From West Egg came the Poles and the Mulreadys and Cecil Roebuck and Cecil Schoen and Gulick the state senator	ウエスト・エッグからはポール夫妻、マーリーディー夫妻、セシル・ローバック、セシル・ショーエン、ガリック上院議員。
and Newton Orchid, who controlled Films Par Excellence,	ニュートン・オーキッド、これはフィルム・パー・エクセレンスの経営者だ。
and Eckhaust and Clyde Cohen and Don S. Schwartze (the son) and Arthur McCarty,	エクホースト、クライド・コーエン、ドン S.シュワルツ（息子のほうだ）、それからアーサー・マッカーティー。
all connected with the movies in one way or another.	ここまでは何らかの形で映画界にコネのある連中。
And the Catlips and the Bembergs and G. Earl Muldoon,	続いてカトリップ夫妻、ベンバーグ夫妻、G.アール・マルドゥーン。
brother to that Muldoon who afterward strangled his wife.	後に細君を絞め殺したマルドゥーンの兄弟にあたる。
Da Fontano the promoter came there, and Ed Legros and James B. (“Rot-Gut.”) Ferret and the De Jongs and Ernest Lilly――	映画界のパトロンであるダ・フォンタノもきていたし、エド・レグロスにジェイムズ B.（“安酒”）フェレット、ド・ジョング夫妻、アーネスト・リリーもいた――
they came to gamble, and when Ferret wandered into the garden it meant he was cleaned out and Associated Traction would have to fluctuate profitably next day.	かれらはギャンブルをやりにきていて、フェレットがぶらりと庭に出てきたときはつまりかれがすってんてんになったということであり、それと同時に、翌日のアソシエイテッド・トラクション株は上向きになると見て間違いなかった。
A man named Klipspringer was there so often and so long that he became known as “the boarder.”――	クリップスプリンガーという名の男はしょっちゅうギャツビー邸にきて、しかも長々といつづけるものだから、「下宿人」として知られていた――
I doubt if he had any other home.	かれには他に帰るところがなかったのではないかと思う。
Of theatrical people there were Gus Waize and Horace O’donavan and Lester Meyer and George Duckweed and Francis Bull.	演劇人としては、ガス・ウェイズ、ホレイス・オドネイバン、レスター・ミアー、ジョージ・ダックウィード、フランシス・ブル。
Also from New York were the Chromes and the Backhyssons and the Dennickers and Russel Betty and the Corrigans and the Kellehers and the Dewars and the Scullys and S. W. Belcher and the Smirkes and the young Quinns, divorced now,	またニューヨークからはクロム夫妻、バックヒッソン夫妻、デニッカー夫妻、それからラッセル・ベティーにコリッガン夫妻、ケルハー夫妻、デウォー夫妻、スカリー夫妻、S. W.ベルチャー、スマーク夫妻、すでに離婚済みだが、若き日のクイン夫妻。
and Henry L. Palmetto, who killed himself by jumping in front of a subway train in Times Square.	それからヘンリー L.パルメトー、後にタイムズ・スクウェアで地下鉄の正面に飛び出し、自殺。
Benny McClenahan arrived always with four girls.	ベニー・マクレナハンはいつも4人の娘を連れてきた。
They were never quite the same ones in physical person, but they were so identical one with another that it inevitably seemed they had been there before.	ぶれはいつも違っていたはずなのに、ひとりひとりが似通っていたもので、これは以前もきていた娘だと思えてならなかった。
I have forgotten their names――	名前はもう覚えていない――
Jaqueline, I think, or else Consuela, or Gloria or Judy or June,	ジャクリーンとかコンスエラとかグローリアとかジュディとかジューンとか、そういう名前だ。
and their last names were either the melodious names of flowers and months or the sterner ones of the great American capitalists	ラストネームは花とか月とかの響きのよいものでもあったように思うし、あるいはアメリカを代表する富豪と同じいかめしいものだったようにも思う。
whose cousins, if pressed, they would confess themselves to be.	突っ込んで聞いてみれば、従弟にあたるという自白が得られたかもしれない。
In addition to all these I can remember that Faustina O’brien came there at least once and the Baedeker girls	加えて、たしかフォースティナ・オブライエンもすくなくとも一度は顔を見せたし、ベデッカー家の娘たちもいた。
and young Brewer, who had his nose shot off in the war,	それからブリュワー青年、これは大戦で鼻を吹き飛ばされた男だ。
and Mr. Albrucksburger and Miss Haag, his fiancee,	ミスター・アルバックバーガーとその婚約者ミス・ハーグ。
and Ardita Fitz-Peters	アーディタ・フィッツビーターズ。
and Mr. P. Jewett, once head of the American Legion,	ミスター P.ジュウェット、かつての在米軍人会会長。
and Miss Claudia Hip, with a man reputed to be her chauffeur,	ミス・クローディア・ヒップは自分のお抱え運転手という噂の男を連れていた。
and a prince of something,	それからなんとかの王子。
whom we called Duke, and whose name, if I ever knew it, I have forgotten.	ぼくらはかれのことを公爵と呼んでいたけど、名前のほうは聞いたことがあるにしても忘れてしまった。
All these people came to Gatsby’s house in the summer.	こういった人々が、あの夏のギャツビー邸にこぞって押しかけてきたのだ。
At nine o’clock, one morning late in July, Gatsby’s gorgeous car lurched up the rocky drive to my door and gave out a burst of melody from its three-noted horn.	7月下旬のある朝、9時にギャツビーの豪華な車が我が家の砂利だらけの私道に入ってきて、3和音のクラクションを派手に鳴らした。
It was the first time he had called on me, though I had gone to two of his parties, mounted in his hydroplane, and, at his urgent invitation, made frequent use of his beach.	ぼくは2回かれのパーティーに行き、モーターボートにも乗り、しきりの要望を受け、ビーチを頻繁に使わせてもらっていたけれど、かれのほうから訪ねてきたのはこれがはじめてだった。
“Good morning, old sport.	「おはようございます、親友。
You’re having lunch with me to-day	今日は御一緒に昼食でも如何ですか。
and I thought we’d ride up together.”	車で御一緒にと思いまして」
He was balancing himself on the dashboard of his car with that resourcefulness of movement that is so peculiarly American――	かれは車のダッシュボードに手をついてバランスをとりながら、アメリカ人に特有なあのひっきりなしの身振りをしめした――
that comes, I suppose, with the absence of lifting work or rigid sitting in youth and, even more, with the formless grace of our nervous, sporadic games.	これは、ぼくが思うに、若いころに力仕事をやらなかったせいであり、さらには、ぼくらが秘める神経質で発作的な勝負心が不定形の優美さをともなって現れたものでもあるのではないか。
This quality was continually breaking through his punctilious manner in the shape of restlessness.	この特質は、かれの堅苦しい仕草のそこかしこに、落ち着きのなさという形で絶えず飛び出してきた。
He was never quite still;	かれはひとときもじっとしていなかった。
there was always a tapping foot somewhere or the impatient opening and closing of a hand.	足元をとんとんと踏み鳴らしたり、じれったそうに手のひらを閉じたり開いたり。
He saw me looking with admiration at his car.	ぼくが車に見とれているのにかれは気づいた。
“It’s pretty, isn’t it, old sport?”	「きれいでしょう、親友？」
He jumped off to give me a better view.	車がぼくによく見えるようひょいと飛びのく。
“Haven’t you ever seen it before?”	「以前、お目にかけたことはありませんでしたか？」
I’d seen it.	見たことはあった。
Everybody had seen it.	だれだって見ていた。
It was a rich cream color, bright with nickel, swollen here and there in its monstrous length with triumphant hat-boxes and supper-boxes and tool-boxes, and terraced with a labyrinth of wind-shields that mirrored a dozen suns.	優雅なクリーム色、ニッケルがきらりと輝き、そのおそろしく長大な車内のあちこちには帽子箱や弁当箱や道具箱が積みこまれており、太陽を1ダースも映しこんでいる段々状の複雑な風除けが備わっている。
Sitting down behind many layers of glass in a sort of green leather conservatory, we started to town.	幾層も重なるガラスを前とする一種の温室の緑の革椅子に腰を下ろしたぼくらは、街へと出発した。
I had talked with him perhaps half a dozen times in the past month and found, to my disappointment, that he had little to say:	かれと対話の場をもったのはここまでで6回ほどだろうか、がっかりしたことにギャツビーは口数の少ない人物だった。
So my first impression, that he was a person of some undefined consequence, had gradually faded and he had become simply the proprietor of an elaborate road-house next door.	だからぼくの第一印象、これはなにかひどく重要な人物に違いないと思ったところがだんだん薄れ、隣の豪華なロードハウスの単なる所有者に過ぎないと思えてきていた。
And then came that disconcerting ride.	そこにきたのがこの謎めいたドライブだ。
We hadn’t reached West Egg village before Gatsby began leaving his elegant sentences unfinished and slapping himself indecisively on the knee of his caramel-colored suit.	やがてぼくらがウエスト・エッグ・ビレッジへの道をなかばまでも行かないうちに、ギャツビーの優雅な口ぶりはまとまりのないものになり、心を決めかねるといった雰囲気でキャラメル色のスーツの膝を叩きはじめた。
“Look here, old sport,”	「ところでですね、親友」
he broke out surprisingly.	と、不意に口を開く。
“What’s your opinion of me, anyhow?”	「私のことを、どうお考えですか？」
A little overwhelmed,	これにはちょっと参った。
I began the generalized evasions which that question deserves.	そこでぼくは、この手の質問の答えにふさわしい非具体的な一般論を述べはじめた。
“Well, I’m going to tell you something about my life,”	「いえね、私は私の過去についてすこしお話しようと思っております」
he interrupted.	とさえぎられた。
“I don’t want you to get a wrong idea of me from all these stories you hear.”	「いろいろお聞き及びと思いますが、そのような噂話から私を間違って理解して頂きたくないということなのですよ」
So he was aware of the bizarre accusations that flavored conversation in his halls.	ということは、かれの大広間に興を添えたかれに対する奇抜な告発に、かれも気づいていたわけだ。
“I’ll tell you God’s truth.”	「神に誓って本当のことをお話しますよ」
His right hand suddenly ordered divine retribution to stand by.	かれは宣誓の作法にのっとり、とつぜん右手をあげた。
“I am the son of some wealthy people in the Middle West――	「私は中西部の資産家の息子です――
all dead now.	いまはみな亡くなってしまいましたが。
I was brought up in America but educated at Oxford,	アメリカで幼少期を過ごしましたが、オックスフォードで教育を受けました。
because all my ancestors have been educated there for many years.	私の先祖はもう何世代もみなあそこで教育を受けているものですから。
It is a family tradition.”	それが我が一族の伝統なのです」
He looked at me sideways――	かれはぼくを盗み見た――
and I knew why Jordan Baker had believed he was lying.	そのときぼくは、ジョーダン・ベイカーがかれの言葉を嘘と思いこんだ理由がよく分かった。
He hurried the phrase “educated at Oxford,” or swallowed it, or choked on it,	かれは「オックスフォードで教育を受け」というフレーズを急ぎ足で、というか、飲みこむようにというか、喉にひっかかったように話すのだ。
as though it had bothered him before.	嫌な思い出を話しているみたいだった。
And with this doubt, his whole statement fell to pieces, and I wondered if there wasn’t something a little sinister about him, after all.	いったんこのように疑ってしまうと、かれの言葉すべてがばらばらに崩れ落ち、つまりは、そこに伏せられている裏みたいなものがなかったかと思いをめぐらす自分がいた。
“What part of the Middle West?”	「中西部はどちらで？」
I inquired casually.	と、ぼくはさりげなく尋ねた。
“San Francisco.”	「サン・フランシスコ」
“I see.”	「なるほど」
“My family all died and I came into a good deal of money.”	「一族は全員亡くなりましてね、私は相当の財産を相続することになりました」
His voice was solemn, as if the memory of that sudden extinction of a clan still haunted him.	かれの声は厳粛そのもので、一族を襲った悲劇がいまだかれを苦しめているような口ぶりだった。
For a moment I suspected that he was pulling my leg, but a glance at him convinced me otherwise.	一瞬、ぼくはかつがれようとしているのではないかと思ったものの、横目でかれを見てみると、どうもそのようには思えない。
“After that I lived like a young rajah in all the capitals of Europe――	「それから私は若いラジャのような暮らしをヨーロッパの各都市で送りました――
Paris, Venice, Rome――	パリ、ベニス、ローマ――
collecting jewels, chiefly rubies, hunting big game, painting a little, things for myself only,	宝石、主にルビーを集め、猛獣を狩り、人に見せるようなものではありませんが、絵を描いてみたりもしました。
and trying to forget something very sad that had happened to me long ago.”	そうやって、遠い昔のとても悲しい出来事を忘れようとしてきたのです」
With an effort I managed to restrain my incredulous laughter.	ぼくは不信の笑いを必死の思いでなんとかこらえた。
The very phrases were worn so threadbare that they evoked no image except that of a turbaned “character.”leaking sawdust at every pore as he pursued a tiger through the Bois de Boulogne.	一語一句がどろどろに手垢まみれで、そこから思い起こされるのは、せいぜい、ターバンを巻いた「キャラクター」がブーローニュの森で虎を追いまわしながら、ことあるごとに馬脚をあらわすといったイメージくらいのものだった。
“Then came the war, old sport.	「そこにあの戦争が起こったのですよ、親友。
It was a great relief, and I tried very hard to die, but I seemed to bear an enchanted life.	私は大変に安堵し、早速死に場所を求めて回りましたが、どうやら私の命には魔法がかかっていたらしい。
I accepted a commission as first lieutenant when it began.	戦争当初、私は中尉に任官されました。
In the Argonne Forest I took two machine-gun detachments so far forward	アルゴンヌの森で私は、突出してしまった機関銃部隊の指揮を任せられました。
that there was a half mile gap on either side of us where the infantry couldn’t advance.	どちら側にも半マイルに渡って敵が押し寄せていて、歩兵部隊による救出ができなかったのです。
We stayed there two days and two nights,	私の部隊はそこで2日2晩奮闘しました。
a hundred and thirty men with sixteen Lewis guns,	130名の兵士と16丁のルイス銃。
and when the infantry came up at last they found the insignia of three German divisions among the piles of dead.	ようやく歩兵部隊がたどりついたときは、山と折り重なった死体がつけていたドイツ軍記章は3師団にも及んでいました。
I was promoted to be a major, and every Allied government gave me a decoration――	私は少佐に昇進し、連合国は争って勲章をくれました――
even Montenegro, little Montenegro down on the Adriatic Sea!”	モンテネグロさえも、アドリア海のちっぽけなモンテネグロも！」
Little Montenegro!	ちっぽけなモンテネグロ！
He lifted up the words and nodded at them――	かれは宙に浮かべられたその言葉に向かってうなずいてみせた――
with his smile.	例のようにほほえみながら。
The smile comprehended Montenegro’s troubled history and sympathized with the brave struggles of the Montenegrin people.	そのほほえみにはモンテネグロの多難な歴史への理解があり、モンテネグロの人々による奮闘への同情があった。
It appreciated fully the chain of national circumstances which had elicited this tribute from Montenegro’s warm little heart.	そしてモンテネグロの温かい心づくしから与えられた記念品を引き出した国際情勢の連鎖への感謝にあふれていた。
My incredulity was submerged in fascination now;	そのあまりの魅力にぼくの不信はなりをひそめた。
it was like skimming hastily through a dozen magazines.	十数冊もの雑誌をあわただしく拾い読みしているような感じだった。
He reached in his pocket, and a piece of metal, slung on a ribbon, fell into my palm.	かれはポケットに手を入れてリボンをつまみだした。
“That’s the one from Montenegro.”	「それはモンテネグロからのものです」
To my astonishment, the thing had an authentic look.	驚いたことに、見たところそれは本物のようだった。
