PETER PAN [PETER AND WENDY]	ピーターパンとウェンディ
The pirates had fired Long Tom at them.	海賊たちが、艦載砲をみんなに向けてぶっ放したのでした。
The roar of it echoed through the mountains, and the echoes seemed to cry savagely,	大砲の轟音は、山々にひびきわたり、そのやまびこは、まるで野蛮人のおたけびのようでした。
"Where are they, where are they, where are they?"	「やつらはどこだ、やつらはどこだ、やつらはどこだ．．．」
Thus sharply did the terrified three learn the difference between an island of make-believe and the same island come true.	突然おきた恐ろしいことで、３人はつくりごとの島とその同じ島が現実になったことの違いがよくわかりました。
When at last the heavens were steady again, John and Michael found themselves alone in the darkness.	空がふたたび平穏をとりもどしたとき、ジョンとマイケルはくらやみのなかで、自分たちだけであること事が分かりました。
John was treading the air mechanically, and Michael without knowing how to float was floating.	ジョンは無意識に空中を歩いていて、マイケルときたらどうやって浮いてるかもしらずに浮いています。
"Are you shot?"	「うたれたか？」
John whispered tremulously.	ジョンは、びくびくしながらささやくと、
"I haven't tried [myself out] yet,"	「まだみたい」
Michael whispered back.	マイケルもささやき声で答えました。
We know now that no one had been hit.	わたしたちは、今やだれも撃たれていないことはわかってます。
Peter, however, had been carried by the wind of the shot far out to sea, while Wendy was blown upwards with no companion but Tinker Bell.	しかしながらピーターは、海のはるかむこうの方まで、爆風で運ばれて行ってしまいましたし、一方ウェンディはといえば、一人で、ティンカーベルは一緒ですけど、上空にふきとばされました。
It would have been well for Wendy if at that moment she had dropped the hat.	ウェンディにしてみれば、撃たれたときに帽子も落っことしちゃえばよかったんですけど。
I don't know whether the idea came suddenly to Tink, or whether she had planned it on the way,	そんな考えが、突然ティンクに浮かんだのか、来る途中にすでに計画していたのかは知りません。
but she at once popped out of the hat and began to lure Wendy to her destruction.	だけどティンクは、すぐに帽子から飛び出してきて、ウェンディを破滅へと誘惑するのでした。
Tink was not all bad;	ティンクは、根っから悪い妖精というわけではなかったのですが、
or, rather, she was all bad just now,	いやどちらかといえば、今は根っから悪い妖精なのでした。
but, on the other hand, sometimes she was all good.	でもこの反対で、時々は根っからいい妖精になるのでした。
Fairies have to be one thing or the other,	妖精というものは、あるもの、あるいはそうでないもののどちらかにしかなれないのです。
because being so small they unfortunately have room for one feeling only at a time.	なぜならとても小さいので、残念なことに一度には一つの感情しか入る余地がないのです。
They are, however, allowed to change, only it must be a complete change.	もちろん変わることはできますが、完全に変わることしかできないものなのです。
At present she was full of jealousy of Wendy.	今のところティンクは、ウェンディへの嫉妬でいっぱいでした。
What she said in her lovely tinkle Wendy could not of course understand,	ティンクが愛らしくベルをならすように言ったことは、もちろんウェンディには理解できませんでした。
and I believe some of it was bad words, but it sounded kind, and she flew back and forward, plainly meaning "Follow me, and all will be well."	わたしもそのいくつかはひどい言葉だったと思いますが、とてもやさしく響いたし、行ったり来たり飛んでいたので、それはまるで「ついてらっしゃい、心配ないから」なんて意味みたいに思えたのでした。
What else could poor Wendy do?	かわいそうなウェンディ、他にどうできたというのでしょうか？
She called to Peter and John and Michael, and got only mocking echoes in reply.	ピーター、ジョン、マイケルの名前を呼びましたが、返事として聞こえてくるのはからかうようなこだまだけでした。
She did not yet know that Tink hated her with the fierce hatred of a very woman.	ウェンディは、ティンクが自分のことを、まさに大人の女の人が憎むぐらいの残忍さで憎んでるなんて、まだ思いもよらなかったのでした。
And so, bewildered, and now staggering in her flight, she followed Tink to her doom.	そして途方にくれて、よろめくように飛びながらもティンクの後をついて、破滅への第一歩を踏み出したのでした。
Chapter 5    THE ISLAND COME TRUE	５章　ネバーランドが現実に
Feeling that Peter was on his way back, the Neverland had again woke into life.	ネバーランドはピーターが帰ってきたことを感じて、再び活っ気づいたのでした。
We ought to use the pluperfect and say wakened, but woke is better and was always used by Peter.	本当は「活気づいたのでした」といわなければならないのですが、「活っ気づいたのでした」という方がピーターらしくていいんです。
In his absence things are usually quiet on the island.	ピーターがいないと島は静かなものです。
The fairies take an hour longer in the morning, the beasts attend to their young,	妖精たちは朝は一時間よけいに寝ぼうしますし、けもの達は自分のコドモの世話をします。
the redskins feed heavily for six days and nights, and when pirates and lost boys meet they merely bite their thumbs at each other.	インディアンたちは６日間昼夜をとわず食事をたっぷりとりますし、海賊と迷子の男の子達が出会っても、お互いにばかにしあうだけなのでした。
But with the coming of Peter, who hates lethargy, they are under way again:	けれども、とにかく静かにしてることにガマンできないピーターが帰ってくると、みんな再び前に進み始めるのがつねでした。
if you put your ear to the ground now, you would hear the whole island seething with life.	今地面に耳をおしあてれば、島全体が生命のいぶきでわきかえっているのが聞こえることでしょう。
On this evening the chief forces of the island were disposed as follows.	その夜、島の主だった軍勢はこのようになっていました。
The lost boys were out looking for Peter,	迷子の男の子達は、ピーターを捜しに外に出ていました。
the pirates were out looking for the lost boys, the redskins were out looking for the pirates, and the beasts were out looking for the redskins.	インディアン達は海賊たちを捜しに、海賊たちは迷子の男の子達を捜しに、けもの達がインディアン達を捜しに、それぞれ外に出ていたのでした。
They were going round and round the island, but they did not meet because all were going at the same rate.	くるくる島をまわっていたのですが、みんなが同じ速度でまわっているので、決して出会うことはなかったのでした。
All wanted blood except the boys, who liked it as a rule, but to-night were out to greet their captain.	男の子達以外は血に飢えており、いつもは男の子達も血を好むのでしたが、今夜ばかりは隊長を出迎えにでていたのです。
The boys on the island vary, of course, in numbers, according as they get killed and so on;	ネバーランドの男の子達は、もちろん数もヘンカしています、というのも殺されたりしてるからなんです。
and when they seem to be growing up, which is against the rules, Peter thins them out;	大人になったように見えるとルール違反ですから、ピーターが数を少なくしちゃうのでした。
but at this time there were six of them, counting the twins as two.	今は男の子達は双子を２人として数えてですが６人いました。
Let us pretend to lie here among the sugar-cane and watch them as they steal by in single file, each with his hand on his dagger.	さとうきびの間に横たわったように見せかけて、男の子達が短剣に手をかけて、一列でそばにこっそり近づいてくるのを見てみましょう。
They are forbidden by Peter to look in the least like him, and they wear the skins of the bears slain by themselves,	男の子達は少しでもピーターらしく見えることはピーターから固く禁止されていましたから、自分たちで殺した熊の毛皮をきていました。
in which they are so round and furry that when they fall they roll.	すると男の子たちは丸々と太って毛むくじゃらになり、足をすべらすと転がってしまうのです。
They have therefore become very sure-footed.	だから、男の子達の足取りは非常にしっかりしたものでした。
The first to pass is Tootles, not the least brave but the most unfortunate of all that gallant band.	最初に通りすぎたのはトゥートルズです、その勇敢な一団のなかでかなりの勇気の持ち主なんですが、とにかくもっとも運の悪い子でした。
He had been in fewer adventures than any of them,	だれよりも経験した冒険の数が少ないのです。
because the big things constantly happened just when he had stepped round the corner;	というのもトゥートルズが角を曲がった瞬間にいつも大事件勃発といったぐあいだし、
all would be quiet, he would take the opportunity of going off to gather a few sticks for firewood, and then when he returned the others would be sweeping up the blood.	あたりが平穏なので今がチャンスとばかりに薪用の木の枝を集めにでかけたりすると、帰ってきた時には他の仲間たちは血をキレイに掃除しているといったありさまでした。
This ill-luck had given a gentle melancholy to his countenance, but instead of souring his nature had sweetened it, so that he was quite the humblest of the boys.	こんなに運が悪いので表情には影がありましたが、気難しくなるでもなく性格が運の悪さをやわらげて、男の子たちの中でも一番謙虚でした。
Poor kind Tootles, there is danger in the air for you to-night.	なんてかわいそうなやさしいトゥートルズ、今晩きみには空中で危険がふりかかるんだよ。
Take care lest an adventure is now offered you,	冒険が目の前に差し出されても、気をつけるんだよ。
which, if accepted, will plunge you in deepest woe.	手を出そうものなら、奈落の底に落ちちゃうかもしれないし。
Tootles, the fairy Tink, who is bent on mischief this night is looking for a tool [for doing her mischief],	トゥートルズ、妖精のティンクだよ、今夜はいたずらに熱中してて、そのお膳立てを探しているんだよ。
and she thinks you are the most easily tricked of the boys.	しかもティンクは、君トゥートルズがもっともひっかかりやすいなんて思ってるんだから。
'Ware Tinker Bell.	「ティンカーベルには気をつけて」
Would that he could hear us,	トゥートルズに、わたし達が話したことが聞こえたならいいんですが。
but we are not really on the island, and he passes by, biting his knuckles.	でもわたし達は実際にこの島にいるわけではないですし、トゥートルズはこぶしをかみしめながら通りすぎていきました。
Next comes Nibs, the gay and debonair, followed by Slightly,	次にくるのは、陽気で快活な男の子のニブスです、スライトリーが後につづきました。
who cuts whistles out of the trees and dances ecstatically to his own tunes.	スライトリーは木から笛をつくって、自分の笛にあわせて夢中でおどるのでした。
Slightly is the most conceited of the boys.	スライトリーは男の子のうちでも一番のうぬぼれやで、
He thinks he remembers the days before he was lost, with their manners and customs, and this has given his nose an offensive tilt.	迷子になる前の風俗習慣なんてことを覚えてると思っていて、それで彼の鼻はあんなにいやにかたむいているのでした。
Curly is fourth;	カーリーが４番目です。
he is a pickle, [a person who gets in pickles-predicaments] and so often has he had to deliver up his person when Peter said sternly, "Stand forth the one who did this thing," that now at the command he stands forth automatically whether he has done it or not.	いたずらっ子で、ピーターが厳しく「これをやったやつ、一歩前にでろ」というといつも自首しなければならなかったので、今や自分がやってるかどうかにかかわらず、命令されると自然と足が一歩前にでてしまいます。
Last come the Twins, who cannot be described	最後に双子がきますが、説明はできません。
because we should be sure to be describing the wrong one.	なぜなら必ず違う方のことを説明してしまうからです。
Peter never quite knew what twins were,	ピーターも双子がどういうものか良く分かっていません。
and his band were not allowed to know anything he did not know,	ピーターの手下としては、ピーターが知らないことを知るなんて許されないことでした。
so these two were always vague about themselves, and did their best to give satisfaction by keeping close together in an apologetic sort of way.	だから双子もいつもどっちがどっちか自分たちでさえあいまいで、一生懸命弁解するみたいに、なるべく二人一緒にいることで満足してもらおうとしているのでした。
The boys vanish in the gloom, and after a pause, but not a long pause, for things go briskly on the island, come the pirates on their track.	男の子達は暗闇に消え、それからしばらくして、この島では物事はきびきびしているのでそんなに長くではありません、海賊たちが男の子達のあとをつけてやってきました。
We hear them before they are seen,	姿が見える前から声がきこえてきます。
and it is always the same dreadful song:	いつものあの恐ろしい歌声です。
"Avast belay, yo ho, heave to,	「まて、とめろ、よーほー、停船だ！
A-pirating we go,	海賊さまのおとおりだい。
And if we're parted by a shot We're sure to meet below!"	うたれて死んだら、地獄であおうぜ！」
A more villainous-looking lot never hung in a row on Execution dock.	処刑場でも、これより悪党面したようなやつが一列にならんでしばり首になるなんてことは決してありません。
Here, a little in advance, ever and again with his head to the ground listening, his great arms bare, pieces of eight in his ears as ornaments, is the handsome Italian Cecco,	まず少し先行していて、時々地面に頭をつけて物音を聞き、太い腕をむきだしにして耳には８つも飾りをつけているのは、ハンサムなイタリア人のセッコです。
who cut his name in letters of blood on the back of the governor of the prison at Gao.	ガオ牢獄の刑務所所長の背中に血染めの文字でその名前を刻み込んだやつです。
That gigantic black behind him has had many names since he dropped the one	セッコの後ろのバカでかい黒人はある名前を捨てて以来、いろんな名前を使ってきたやつでした。
with which dusky mothers still terrify their children on the banks of the Guadjo-mo.	その名前ときたら、黒人の母親がグアドジョモ川のほとりでコドモを脅かすのに未だに使っているくらい、ビル・ジュークスです。
Here is Bill Jukes, every inch of him tattooed, the same Bill Jukes who got six dozen on the WALRUS from Flint before he would drop the bag of moidores [Portuguese gold pieces];	全身いれずみだらけで、ポルトガル金貨の袋から手を離すまでにウォレス号のフリント船長から６ダースは奪い取ったいうあのビル・ジュークス。
and Cookson, said to be Black Murphy's brother (but this was never proved),	コックソン、ブラック・マーフィーの兄弟と言われていましたが（本当のことは誰にもわかりません）。
and Gentleman Starkey, once an usher in a public school and still dainty in his ways of killing;	ジェントルマン・スターキー、かつてパブリックスクールの門番だったので殺し方も優雅なものでした。
and Skylights (Morgan's Skylights);	スカイライト（モーガンのスカイライトです）
and the Irish bo'sun Smee, an oddly genial man who stabbed, so to speak, without offence, and was the only Non-conformist in Hook's crew;	そしてアイルランドの甲板長のスメーで、腹を立てることもなく人を刺すなんて言われていて、不思議なことに温和な男でフックの船員でたった一人の非国教徒なのでした。
and Noodler, whose hands were fixed on backwards;	ヌードラー、その両手をいつも背後にまわしているのでした。
and Robt. Mullins and Alf Mason and many another ruffian long known and feared on the Spanish Main.	そしてカリブ海ではその名を知らない者はないくらい恐れられていた、ロバート・マリンズ、アルフ・メイソンとその他大勢の悪党どもがいたのでした。
In the midst of them, the blackest and largest in that dark setting, reclined James Hook, or as he wrote himself, Jas. Hook,	やつらの真ん中に、その暗い場面の中でももっとも邪悪でもっとも大きいジェームズフックが、自分ではJas.Hookと自分の名前をつづりましたが、横たわっていたのでした。
of whom it is said he was the only man that the Sea-Cook feared.	フックは、シークックが恐れたたった一人の男であると言われています。
He lay at his ease in a rough chariot drawn and propelled by his men, and instead of a right hand he had the iron hook with which ever and anon he encouraged them to increase their pace.	手下が引っ張って進めている馬車みたいなものに乗ってゆったりくつろいで、右手のかわりに鉄のフックがあり、それで時々ペースをあげるために手下どもの尻をたたいたりしていました。
As dogs this terrible man treated and addressed them, and as dogs they obeyed him.	この恐ろしい男は、イヌみたいに手下どもを扱い命令を下し、手下どももイヌみたいに従うのでした。
In person he was cadaverous [dead looking] and blackavized [dark faced], and his hair was dressed in long curls, which at a little distance looked like black candles, and gave a singularly threatening expression to his handsome countenance.	容姿はといえば死人みたいな暗い顔つきで、髪ときたら長い巻き毛にしており、その髪はちょっと離れたところから見ると黒いろうそくみたいで、ハンサムな顔立ちにひどく人をおどすような印象を与えていました。
His eyes were of the blue of the forget-me-not, and of a profound melancholy, save when he was plunging his hook into you,	すばやく右腕のフックをあなたに見舞う時を除いては、目はワスレナグサみたいなブルーで深い憂いに満ちています。
at which time two red spots appeared in them and lit them up horribly.	ただ右腕のフックを見舞うようなときには、目の中に２つの赤い点があらわれ、身の毛もよだつ炎を燃え上がらせたのでした。
In manner, something of the grand seigneur still clung to him, so that he even ripped you up with an air,	態度といえばどこか偉大な君主みたいなところにこだわっていて、空中にいるうちにあなたを引き裂いたりするのでした。
and I have been told that he was a RACONTEUR [storyteller] of repute.	フックは評判になるほどの話し上手だと言われていましたし、
He was never more sinister than when he was most polite, which is probably the truest test of breeding;	礼儀正しいときほどもっとも残酷なときで、それこそたぶんフックが本物の礼儀作法を身につけているということの証明になるのでしょう。
and the elegance of his diction, even when he was swearing, no less than the distinction of his demeanour, showed him one of a different cast from his crew.	ののしってるときでさえ、フックの言葉使いの優雅な事ときたら、態度に気品があるのと同じように、他の船員とはひときわちがった気質の持ち主であることを示していました。
A man of indomitable courage, it was said that the only thing he shied at was the sight of his own blood,	不屈の勇気をもった男にも、ひとつだけは後ずさりするようなものがあるといわれていますが、フックにとってそれは自分の血を見ることでした。
which was thick and of an unusual colour.	その血はどろどろしており、ふつうとは違った色なのでした。
In dress he somewhat aped the attire associated with the name of Charles II, having heard it said in some earlier period of his career that he bore a strangeresemblance to the ill-fated Stuarts;	正装する時は、フックはチャールズII世の名前を思わせるような衣装をいくぶん真似していました、若い頃にはあの不幸な運命のスチュアート王家の人々をほうふつとさせるだなんていわれていたのを聞いたものでした。
and in his mouth he had a holder of his own contrivance which enabled him to smoke two cigars at once.	口には、自分で発明した同時に２本ハマキがすえるパイプをくわえていました。
But undoubtedly the grimmest part of him was his iron claw.	でもなんといってもフックの体の部分でもっとも恐ろしいのは、疑いなく鉄のカギヅメでした。
Let us now kill a pirate, to show Hook's method.	フックがどうやって人を殺すのかを見るため、海賊を一人血祭りにあげてみましょう。
Skylights will do.	スカイライトがいいでしょう。
As they pass, Skylights lurches clumsily against him, ruffling his lace collar;	通りすぎて行くときにスカイライトがうかつにもフックの方によろめいて、フックのレースのカラーにしわをつけてしまいました。
the hook shoots forth, there is a tearing sound and one screech, then the body is kicked aside, and the pirates pass on.	右腕のフックが宙を舞い、引き裂く音と悲鳴がひとつ、そして死体は脇へ蹴りとばされ、海賊たちが通りすぎていきます。
He has not even taken the cigars from his mouth.	フックが口からハマキを離すことさえありません。
Such is the terrible man against whom Peter Pan is pitted.	ピーターが立ち向かうのは、こんな恐ろしい男でした。
Which will win?	どちらが勝つでしょうか。
On the trail of the pirates, stealing noiselessly down the war-path, which is not visible to inexperienced eyes, come the redskins, every one of them with his eyes peeled.	海賊たちのあとをつけてぬきあしさきあしで、慣れない者の目には決して見つけられない戦の道を、音もなくインディアン達がみんな目ん玉をひんむいてやってきました。
They carry tomahawks and knives,	インディアン達はトマホーク（石でできたおの）とナイフをもっています。
and their naked bodies gleam with paint and oil.	はだかの体には模様とオイルがてかてかと光っていて、
Strung around them are scalps,	自分たちの周りには頭皮をじゅずつなぎにして並べていました。
of boys as well as of pirates,	頭の皮は、男の子達のものもあれば、海賊たちのものもありました。
for these are the Piccaninny tribe, and not to be confused with the softer-hearted Delawares or the Hurons.	なぜこんなことをするのかといえばピカニニ族だからで、もっと臆病なデラウェア族やヒューロン族と間違えられちゃたまらないからでした。
In the van, on all fours, is Great Big Little Panther,	先頭で四つんばいなのは、グレート・ビック・リトル・パンサーです。
a brave of so many scalps that in his present position they somewhat impede his progress.	とても勇敢であんまり多くの頭皮をはいでいるので、今の姿勢のまま前進するのには頭皮がすこし邪魔っけなくらいでした。
Bringing up the rear, the place of greatest danger, comes Tiger Lily,	しんがりを務めるのは、なんといったって一番危険な場所ですから、タイガーリリーでした。
proudly erect, a princess in her own right.	誇らしげにまっすぐ立ち、生まれながらにして王女でした。
She is the most beautiful of dusky Dianas [Diana = goddess of the woods] and the belle of the Piccaninnies,	リリーは色の黒い森の女神達の中でももっとも美しく、ピカニニ族一番の美人でした。
coquettish [flirting], cold and amorous [loving] by turns;	コケティッシュだったり冷たかったり色っぽかったりと、ころころ態度を変え
there is not a brave who would not have the wayward thing to wife,	このわがまま娘を妻にと願わない勇者は一人としていませんでした。
but she staves off the altar with a hatchet.	しかしいくさ斧でもって、だれかと結ばれるのを避けているのです。
Observe how they pass over fallen twigs without making the slightest noise.	まったく音をたてずにインディアン達が落ちてる小枝の上を通りすぎていくさまに注意してみてください。
The only sound to be heard is their somewhat heavy breathing.	聞こえるのは、ただインディアン達のややはげしい息づかいだけです。
The fact is that they are all a little fat just now after the heavy gorging,	事実インディアン達はがつがつ食べ過ぎた直後だったので、すこしふとり気味でした。
but in time they will work this off.	しばらくすれば身も引き締まることでしょうが、
For the moment, however, it constitutes their chief danger.	当面はふとり気味なのが一番の危険のもとなのでした。
The redskins disappear as they have come like shadows,	影のように登場したのと同じように、インディアン達は姿を消しました。
and soon their place is taken by the beasts, a great and motley procession:	そしてすぐにけもの達が沢山のごたまぜの行列になって、その場所にあらわれました。
lions, tigers, bears, and the innumerable smaller savage things that flee from them,	ライオン、とら、くま、そしてそれから命からがら逃げ出すたくさんの小さな野生動物がいました。
for every kind of beast, and, more particularly, all the man-eaters, live cheek by jowl on the favoured island.	どのけものもみんな、特に人食い動物はみな、この恵まれた島では頬と頬を寄せ合って仲良く暮らしていました。
Their tongues are hanging out, they are hungry to-night.	ただけもの達の舌が垂れ下がっていて、どうやら今夜は腹をすかせているみたいです。
When they have passed, comes the last figure of all, a gigantic crocodile.	けもの達が通りすぎ、全員の最後に姿をあらわすのは、巨大なワニです。
We shall see for whom she is looking presently.	しばらくすると、ワニが誰を探し求めているのかわかるでしょう。
The crocodile passes, but soon the boys appear again,	ワニが通りすぎると、男の子達がふたたび姿をあらわしました。
for the procession must continue indefinitely until one of the parties stops or changes its pace.	なぜならその行列はだれかが止まるかペースを変えるかしない限り、ずーっと続くに違いなかったからです。
Then quickly they will be on top of each other.	ただ止まるかペースをかえるとすぐ、お互いだれが強いか争いが始まるのでした。
All are keeping a sharp look-out in front, but none suspects that the danger may be creeping up from behind.	前方にばかり注意を払っていましたけど、後ろから危険がせまってるかもしれないなんてことは疑ってもみません。
This shows how real the island was.	このことから、ネバーランドがどんなに現実そっくりだったかわかるでしょう。
The first to fall out of the moving circle was the boys.	最初にくるくるまわる輪から抜け出したのは、男の子達でした。
They flung themselves down on the sward [turf], close to their underground home.	男の子達は、地下のわが家のすぐ近くの芝生の上に身を投げ出しました。
"I do wish Peter would come back,"	「ホントにピーターが帰ってきてくれたらなぁ」
every one of them said nervously, though in height and still more in breadth they were all larger than their captain.	と、背もとくに体の幅なんてとっくに隊長のピーターより大きかったというのに、みんなは、口々に不安がって言うのでした。
"I am the only one who is not afraid of the pirates,"	「ぼくだけだな、海賊なんてちっともこわくないのは」
Slightly said, in the tone that prevented his being a general favourite;	スライトリーは、およそみんなには好かれそうもない風に言いました。
but perhaps some distant sound disturbed him, for he added hastily,	ただいくぶん遠くの方で物音がして声がさえぎられたので、急いでこう付け加えました。
"but I wish he would come back, and tell us whether he has heard anything more about Cinderella."	「でもピーターが帰ってきて、シンデレラについてなにか聞いてきてくれたかどうか教えてくれたらなぁ」
They talked of Cinderella, and Tootles was confident that his mother must have been very like her.	男の子達はシンデレラの話をしていて、トゥートルズは自分のママがシンデレラそっくりに違いないって自信たっぷりでした。
It was only in Peter's absence that they could speak of mothers,	お母さんのことを話せるのは、ピーターが留守のときだけです。
the subject being forbidden by him as silly.	そんな話はばかげてるからとピーターには禁止されていたのでした。
"All I remember about my mother,"	「僕がお母さんについて覚えているのは、」
Nibs told them,	ニブスは言いました。
"is that she often said to my father,	「お父さんによくこう言ってたことだなぁ。
`Oh, how I wish I had a cheque-book of my own!'	“自分の小切手帳があればねぇ”だって。
I don't know what a cheque-book is, but I should just love to give my mother one."	小切手帳ってなんだか知らないけど、お母さんにあげられるなら一つあげたかったなぁ」
While they talked they heard a distant sound.	話している間にも、遠くで物音がしたのが聞こえました。
You or I, not being wild things of the woods, would have heard nothing,	森で野生で暮らしているものでもなければ、わたしやあなたにはなにも聞こえなかったことでしょう。
but they heard it, and it was the grim song:	でも男の子達には聞こえたのでした、こわーい歌です。
"Yo ho, yo ho, the pirate life,	「よーほー、よーほー、
The flag o' skull and bones,	海賊暮らしはどくろと骨の旗だぜ、
A merry hour, a hempen rope,	たのしいじゃねぇかっあさ縄もって、
And hey for Davy Jones."	海神ばんざい！」
At once the lost boys -- but where are they?	すぐさま迷子の男の子達は、あらどこでしょう、
They are no longer there.	すでにもうそこにはいませんでした。
Rabbits could not have disappeared more quickly.	うさぎでさえこんなに早く姿を消せなかったことでしょう。
I will tell you where they are.	どこにいるかをお教えしましょう。
With the exception of Nibs, who has darted away to reconnoitre [look around], they are already in their home under the ground,	ニブスを別にして、ニブスは見張りをするために駆けだしていったのでしたが、男の子達はすでに地中の家にいました。
a very delightful residence of which we shall see a good deal presently.	とてもすごしやすい住居でしばらくしたらもっと詳しくみてみることにしましょう。
But how have they reached it?	でもどうやってそこまで行ったのかって？
for there is no entrance to be seen, not so much as a large stone,	入り口は見当たらないし、大きな石ひとつさえありません。
which if rolled away, would disclose the mouth of a cave.	もしそうなら石をどければ、どうくつの入り口が姿をあらわしたなんて事になるかもしれません。
Look closely, however, and you may note that there are here seven large trees,	でも近寄って見てみると、７本の大きな木がここにあるのに気づくでしょう。
each with a hole in its hollow trunk as large as a boy.	それぞれには、男の子と同じ大きさの穴が木の幹の中にあったのでした。
These are the seven entrances to the home under the ground, for which Hook has been searching invain these many moons.	地中の家には７つの入り口があり、フックはいく夜もこの入り口を探していたのですが、見つかりませんでした。
Will he find it tonight?	さて今夜はみつけられるのでしょうか？
As the pirates advanced, the quick eye of Starkey sighted Nibs disappearing through the wood,	海賊たちが進んで行くと、スターキーのすばしっこい目が、ニブスが森へ姿を消すのをとらえました。
and at once his pistol flashed out.  But an iron claw gripped his shoulder.	そしてすぐにピストルをさっと取り出したのですが、鉄のカギがスターキーの肩を押しとどめました。
"Captain, let go!"	「船長、放してくだせぇ」
he cried, writhing.	身もだえしながらスターキーは叫びました。
Now for the first time we hear the voice of Hook.	さあフックの声を聞くのは初めてですね、
It was a black voice.	むっとした声でした。
"Put back that pistol first,"	「まずピストルをしまうんだ」
it said threateningly.	脅すような口調です。
"It was one of those boys you hate.	「おかしらの憎んでる坊やの１人じゃねえですか？
I could have shot him dead."	撃ち殺せたのに」
"Ay, and the sound would have brought Tiger Lily's redskins upon us.	「おう、でタイガーリリーのインディアン達にもその音は聞こえて、すぐさまやってくるぞ。
Do you want to lose your scalp?"	頭の皮をなくしたいとでもいうのか？」
"Shall I after him, Captain,"	「あとをつけましょうか、船長」
asked pathetic Smee,	哀れなスメーはたずねました。
"and tickle him with Johnny Corkscrew?"	「で、コルク抜きジョニーでくすぐってやるんでさぁ」
Smee had pleasant names for everything,	スメーはなにもかもに楽しい名前をつけるのでした。
and his cutlass was Johnny Corkscrew, because he wiggled it in the wound.	そり身の短剣がコルク抜きジョニーというわけで、なぜなら傷口にそれをねじ込むからなんです。
One could mention many lovable traits in Smee.	スメーの愛すべき点ならいろいろ挙げられます。
For instance, after killing, it was his spectacles he wiped instead of his weapon.	たとえば殺した後なんか、武器の血をぬぐうかわりにめがねを拭いたりしてるんですｓから。
"Johnny's a silent fellow,"	「ジョニーは音がしないからに」
he reminded Hook.	スメーはフックに念をおしました。
"Not now, Smee,"	「まだだ、スメー」
Hook said darkly.	フックは陰気に言いました。
"He is only one, and I want to mischief all the seven.	「１人じゃねぇか、俺は７人ともこらしめたいんだ。
Scatter and look for them."	散れ、奴らをさがすんだ」
The pirates disappeared among the trees, and in a moment their Captain and Smee were alone.	海賊たちは木々の間に姿をけし、たちまち船長とスメーが残されました。
Hook heaved a heavy sigh, and I know not why it was, perhaps it was because of the soft beauty of the evening,	フックは大きくため息をつくと、どうしてかはわかりませんが、たぶん夕焼けの美しさなんかがその理由なんでしょう。
but there came over him a desire to confide to his faithful bo'sun the story of his life.	急にこの忠実なる甲板長のスメーに、自分のこれまでの人生を打ちあけたい欲望にかられました。
He spoke long and earnestly, but what it was all about Smee, who was rather stupid, did not know in the least.	フックは長々と熱心に話したのですが、スメーは少し頭が足りなかったので、話された内容がどういうことなのか全くわかっていなかったのでした。
Anon [later] he caught the word Peter.	しばらくして、自分が口にしたピーターと言う言葉にはっとすると
"Most of all," Hook was saying passionately,	「とりわけだ、」フックはすっかり興奮して語りました。
"I want their captain, Peter Pan.	「やつらの隊長のピーターパンだ、
'Twas he cut off my arm."	わしの腕を切り落としやがった」
He brandished the hook threateningly.	フックは、右腕のフックを脅すようにふりまわしました。
"I've waited long to shake his hand with this.	「こいつでやつの手と握手するのを長い間待ちわびてんだ、
Oh, I'll tear him!"	やつを引き裂いてやる」
"And yet,"	「でも、」
said Smee,	スメーは言いました。
"I have often heard you say that hook was worth a score of hands,	「わしはかしらが右腕のフックは２０本の腕に値するなんて言ったのをよく聞いてますぜ。
for combing the hair and other homely uses."	髪をすいたりその他いろいろ日常の役にたつなんてね」
"Ay,"	「あぁ」
the captain answered.	船長は答えました。
"if I was a mother I would pray to have my children born with this instead of that,"	「おまえの母親だったら、手なんかのかわりにフックで自分の子供が生まれてくるように祈るところだな」
and he cast a look of pride upon his iron hand and one of scorn upon the other.	そして鉄の手を誇らしげに一瞥すると、もう一方の手をあざけりの目でみつめるのでした。
Then again he frowned.	それから再び眉をひそめました。
"Peter flung my arm,"	「ピーターがわしの腕をほうりなげたんだ」
he said, wincing,	フックは、一瞬びくっとしながら言いました。
"to a crocodile that happened to be passing by."	「よりによって、ちょうど通りすぎるところだったワニに向かってな」
"I have often," said Smee, "noticed your strange dread of crocodiles."	「わしはおかしらが妙にワニを恐がるのに時々気づいてましたよ」スメーは言いました。
"Not of crocodiles,"	「ワニが恐いんじゃない、」
Hook corrected him,	フックはスメーの言葉を訂正しました。
"but of that one crocodile."	「あの例のワニだ」
He lowered his voice.	フックは声をひそめました。
"It liked my arm so much, Smee,	「とってもわしの腕が気に入ったらしいよ、スメー。
that it has followed me ever since, from sea to sea and from land to land,	それ以来ずっと、海から海へ陸から陸へとわしを追いかけ回しとる。
licking its lips for the rest of me."	わしの体の残りの部分に舌なめずりしながらな」
"In a way," said Smee, "it's sort of a compliment."	「とりかたによっては、一種の敬意を表されてるようなもんですな」スメーは答えました。
"I want no such compliments,"	「そんな敬意がいるものか」
Hook barked petulantly.	フックは、いらいらしながらほえるように言いました。
