There was a certain island in the sea,	海の中にとある島があった。
Then, to their utter amazement, this seeming harpy spoke to them, reminding them of their cruelty in driving Prospero from his dukedom, and leaving him and his infant daughter to perish in the sea,	２人はとても驚いたのだが、このハーピーと見えた怪物は２人に話しかけ、プロスペロウを公国から追い出し、彼とその幼い娘とを海の中に置き去りにして殺そうとした残虐ぶりを思い出させた。
saying, that for this cause these terrors were suffered to afflict them.	そして、そのためにこういう恐ろしいことで２人を悩ませてもいいのだ、と語った。
The King of Naples, and Antonio the false brother, repented the injustice they had done to Prospero;	ナポリの王と不実の弟アントニオは、プロスペロウに与えた仕打ちを悔いた。
and Ariel told his master he was certain their penitence was sincere, and that he, though a spirit, could not but pity them.	エアリエルは主人に、２人は確かに心から悔い改めていた、自分は精霊だけれども、２人に同情せずにはいられなかった、と語った。
"Then bring them hither, Ariel,"	「それなら２人をここに連れてきなさい、エアリエル。」
said Prospero:	プロスペロウは言った。
"if you, who are but a spirit, feel for their distress, shall not I, who am a human being like themselves, have compassion on them?	「もし君が、精霊にすぎないのに２人の苦悩に同情するんなら、２人と同じ人間である私が２人をあわれまないでいられようか。
Bring them quickly, my dainty Ariel."	つれてくるんだ、すぐにな、やさしいエアリエルよ。」
Ariel soon returned with the king, Antonio, and old Gonzalo in their train, who had followed him,	エアリエルはすぐに王とアントニオと、２人についてきた老ゴンザーロウをつれて帰ってきた。
wondering at the wild music he played in the air to draw them on to his master's presence.	彼らは空中で鳴り響く風変わりな音楽を不思議に思ってついて来たのだが、その音楽こそ、エアリエルが主人のところへ彼らを連れてくるために奏でたものであった。
This Gonzalo was the same who had so kindly provided Prospero formerly with books and provisions, when his wicked brother left him, as he thought, to perish in an open boat in the sea.	このゴンザーロウは以前、悪い弟がプロスペロウを、甲板もない小舟の中に押し込めて海に追放しよう（彼はそう思った）としたときに、親切にもプロスペロウに本や食料を差し入れてくれた、その当人であった。
Grief and terror had so stupefied their senses that they did not know Prospero.	悲しみと恐怖に彼らの感覚は麻痺していたので、みんなプロスペロウが分からなかった。
He first discovered himself to the good old Gonzalo, calling him the preserver of his life;	プロスペロウはまず善良な老ゴンザーロウに自分の身分を明かし、ゴンザーロウを命の恩人と呼んだ。
and then his brother and the king knew that he was the injured Prospero.	そのとき弟と王は、彼がひどい目にあったプロスペロウだと気づいた。
Antonio, with tears and sad words of sorrow and true repentance, implored his brother's forgiveness,	アントニオは涙ながらに、悲しみと真実の改心とをこめた悲痛な言葉で兄に許しを乞うた。
and the king expressed his sincere remorse for having assisted Antonio to depose his brother:	ナポリ王はアントニオが兄を退ける手助けをしたことに対して、心から悔やんでいることを明らかにした。
and Prospero forgave them;	プロスペロウは２人を許した。
and, upon their engaging to restore his dukedom, he said to the King of Naples,	そして、２人が彼の公国を返還する約束をすると、ナポリ王に言った。
"I have a gift in store for you, too";	「私もあなたに差し上げる贈り物を用意しています。」
and, opening a door, showed him his son Ferdinand playing at chess with Miranda.	そして扉を開き、ミランダとチェスをしているファーディナンドを王に見せた。
Nothing could exceed the joy of the father and the son at this unexpected meeting,	思いがけない再会に、父と子とはこの上なく喜んだ。
for they each thought the other drowned in the storm.	互いにあらしの中で溺れ死んだと思っていたのだから、当然といえよう。
"O wonder!"	「まあ、不思議なこと。」
said Miranda,	ミランダは言った。
"what noble creatures these are!	「とても立派な人たちがいますわ！
It must surely be a brave world that has such people in it."	こんな人たちが住んでいるところはさぞ素晴らしい世界なんでしょうね。」
The King of Naples was almost as much astonished at the beauty and excellent graces of the young Miranda, as his son had been.	ナポリ王は、ミランダの美しさと、とても上品な雰囲気をただよわせていることに、息子同様びっくりしていた。
"Who is this maid?"	「この娘はどなたですか？」
said he;	王は言った。
"she seems the goddess that has parted us, and brought us thus together."	「この方は我々を引き離し、再び会わせてくれた女神のようだ。」
"No, sir,"	「ちがいますよ。」
answered Ferdinand,	ファーディナンドは答えた。
smiling to find his father had fallen into the same mistake that he had done when he first saw Miranda,	彼は父が、自分が最初にミランダを見たときにやった同じ間違いに陥ったのを見て笑っていた。
"she is a mortal,	「彼女は人間ですよ。
but by immortal Providence she is mine;	神の摂理によって私のものとなったのです。
I chose her when I could not ask you, my father, for your consent,	父上、あなたのお許しを得られぬままに、私は彼女を選びました。
not thinking you were alive.	あなたが生きているとは思わなかったからです。
She is the daughter to  this Prospero,	彼女はここにおられるプロスペロウ様のお嬢さんなのです。
who is the famous duke of Milan,	プロスペロウ様は、ミラノでも有名な公爵なのです。
of whose renown I have heard so much, but never saw him till now:	御高名はかねがね耳にしておりましたが、今日までお目にかかったことはありませんでした。
of him I have received a new life:	この方から私は新しい命を頂きました。
he has made himself to me a second father, giving me this dear lady."	自ら私の父となってくださり、お嬢さんを私にくださったのです。」
"Then I must be her father,"	「では私はこの人の父親となるのだな。」
said the king;	王は言った。
"but, oh! how oddly will it sound, that I must ask my child forgiveness."	「ああ、おかしなことになってしまったな、我が子に許しを乞わねばならんとはな。」
"No more of that,"	「もうやめにしましょう。」
said Prospero:	プロスペロウは言った。
"let us not remember our troubles past,	「過去のいざこざは忘れることにいたしましょう。
since they so happily have ended."	万事めでたく終わったのですから。」
And then Prospero embraced his brother, and again assured him of his forgiveness;	それからプロスペロウは弟を抱き、重ねて確かに許したと確言した。
and said	そしてこう言った。
that a wise over-ruling Providence had permitted that he should be driven from his poor dukedom of Milan, that his daughter might inherit the crown of Naples,	すべてをつかさどる摂理の神が、自分がミラノの貧しい公国から追放されることを許したもうたが、それは我が娘がナポリの王位を継ぐためだった。
for that by their meeting in this desert island, it had happened that the king's son had loved Miranda.	２人がこの無人島で出会ったからこそ、ナポリ王の息子がミランダを愛するようになったのだから。
These kind words which Prospero spoke, meaning to comfort his brother, so filled Antonio with shame and remorse, that he wept and was unable to speak;	このようなやさしい言葉がプロスペロウの口から、弟を慰めようとして語られるうちに、アントニオの胸は恥と悔いとでいっぱいになり、何も言わずに泣くばかりだった。
and the kind old Gonzalo wept to see this joyful reconciliation, and prayed for blessings on the young couple.	親切な老ゴンザーロウもこのうれしい和解のさまを見て涙にくれ、若い夫婦のために祝福を祈った。
Prospero now told them	さて、プロスペロウは、一同に向かってこう言った。
that their ship was safe in the harbor, and the sailors all on board her, and that he and his daughter would accompany them home the next morning.	あなた方の船は無事に港の中にあります、乗員もみな船の中にいます、自分も娘も、次の朝みんなと一緒に国へ帰ります。
"In the mean time," says he, "partake of such refreshments as my poor cave affords;	「とにかく、貧しい岩屋にあり合わせの食べ物を召し上がってください。
and for your evening's entertainment I will relate the history of my life from my first landing in this desert island."	今夜のもてなしとして、この無人島に上陸してからの私の身の上話をいたしましょう。」
He then called for Caliban to prepare some food, and set the cave in order;	それからプロスペロウは、キャリバンを呼んで食事を用意させ、岩屋を片付けさせた。
and the company were astonished at the uncouth form and savage appearance of this ugly monster, who (Prospero said) was the only attendant he had to wait upon him.	一同はこの醜い怪物の異様な格好と野蛮な顔つきに肝をつぶしたのだが、（プロスペロウに言わせると）キャリバンはプロスペロウに付き従うただ１人の従者なのだった。
Before Prospero left the island, he dismissed Ariel from his service, to the great joy of that lively little spirit;	プロスペロウは島を去る前に、エアリエルを自由の身にしたので、あの元気のいい小さな精霊は大喜びした。
who, though he had been a faithful servant to his master, was always longing to enjoy his free liberty, to wander uncontrolled in the air, like a wild bird, under green trees, among pleasant fruits, and sweet-smelling flowers.	エアリエルは主人には忠実に仕えてきたのだけれども、自由気ままに空を飛びまわったり、野鳥のように緑の木々の下やおいしい果物やかおりのいい花の間を飛んだりする自由をいつも欲しがってきたのだ。
"My quaint Ariel,"	「かわいいエアリエルや。」
said Prospero to the little sprite when he made him free,	プロスペロウは小さな精霊に暇を与えるときにこう言った。
"I shall miss you;	「君がいなくなると寂しいけれど、
yet you shall have your freedom."	自由の身にしてあげよう。」
"Thank you, my dear master,"	「ありがとうございます、ご主人様。」
said Ariel;	エアリエルは言った。
"but give me leave to attend your ship home with prosperous gales, before you bid farewell to the assistance of your faithful spirit;	「ですが、あなたの忠実な精霊のお手伝いに対しておさらばをおっしゃる前に、あなたが帰国なさる船に追い風を差し上げましょう。
and then, master, when I am free, how merrily I shall live!"	その上で私が自由の身になったら、私も本当に楽しく暮らせますでしょう。」
Here Ariel sang this pretty song:	ここでエアリエルはこんなかわいい歌を歌った。
"Where the bee sucks, there suck I;	みつばち蜜吸や　わたしも吸うよ
In a cowslip's bell I lie;	九輪草の花で　私は寝るよ
There I crouch when owls do cry.	ふくろが鳴くなら　丸くなろ
On the bat's back	こうもりの背に　またがって、
I do fly After summer merrily.	夏のあとをば　楽しく追うよ
Merrily, merrily shall I live now	おもしろおかしく　わたしは暮らす
Under the blossom that hangs on the bough."	枝にかかった　花かげで
Prospero then buried deep in the earth his magical books and wand,	それからプロスペロウは、魔法の本と杖とを地中深く埋めた。
for he was resolved never more to make use of the magic art.	もう二度と魔法は使わないことにしようと決心したからである。
And having thus overcome his enemies,	こうしてプロスペロウは敵に打ち勝った。
and being reconciled to his brother and the King of Naples, nothing now remained to complete his happiness but to revisit his native land, to take possession of his dukedom, and to witness the happy nuptials of his daughter and Prince Ferdinand,	弟やナポリ王と和解した今、幸せの仕上げとしては、ただ故国に帰り、公国を所有し、娘ミランダと王子ファーディナンドとがめでたく結婚するのに立ち会うだけだった。
which the king said should be instantly celebrated with great splendour on their return to Naples.	ナポリ王は、ナポリに帰りしだい即刻盛大な結婚式をとりおこなうつもりだ、と言った。
At which place, under the safe convoy of the spirit Ariel, they, after a pleasant voyage, soon arrived.	精霊エアリエルの警護のもと、一同は、愉快な航海を終えて、ほどなくナポリに到着したのである。
