TWO GALLANTS	二人の色男
His friends talked very little.	友人たちはほとんどしゃべらなかった。
They looked vacantly after some figures in the crowd and sometimes made a critical remark.	彼らは何度か群衆の中の人の姿をぼんやりと目で追い、時々批評するように意見を言った。
One said that he had seen Mac an hour before in Westmoreland Street.	一人が一時間前にウエストモーランド・ストリートでマックに会ったと言った。
At this Lenehan said that he had been with Mac the night before in Egan's.	これを聞いてレネハンは昨日の夜イーガンの店でマックと一緒だったと言った。
The young man who had seen Mac in Westmoreland Street asked was it true that Mac had won a bit over a billiard match.	ウエストモーランド・ストリートでマックに会った若い男は、マックがビリヤードの試合で少しばかり勝ったのは本当かと尋ねた。
Lenehan did not know:	レネハンは知らなかった。
he said that Holohan had stood them drinks in Egan's.	イーガンの店ではホラハンが彼らに酒をおごったと彼は言った。
He left his friends at a quarter to ten and went up George's Street.	十時十五分前に彼は友人たちを残してジョージズ・ストリートを行った。
He turned to the left at the City Markets and walked on into Grafton Street.	彼はシティ・マーケットの所で左に曲がり、グラフトン・ストリートへと歩いていった。
The crowd of girls and young men had thinned and on his way up the street he heard many groups and couples bidding one another good-night.	群れをなしていた娘たちや若い男たちは既にまばらになり、通りを行く彼にたくさんのグループやカップルが互いにさよならの挨拶を交わすのが聞こえた。
He went as far as the clock of the College of Surgeons:	彼は王立外科医大学の時計まで行った。
it was on the stroke of ten.	十時を打っていた。
He set off briskly along the northern side of the Green hurrying for fear Corley should return too soon.	彼はコーリーの帰りが早すぎるといけないのできびきびとグリーンの北側に沿って急ぎ始めた。
When he reached the corner of Merrion Street he took his stand in the shadow of a lamp and brought out one of the cigarettes which he had reserved and lit it.	メリオン・ストリートの角に着いた彼はランプの陰に立ち、取って置いたタバコを一本出して火をつけた。
He leaned against the lamp-post and kept his gaze fixed on the part from which he expected to see Corley and the young woman return.	彼は街灯の柱に寄りかかり、コーリーと若い女が帰ってくるのが見えると思われる部分に、視線をじっと据え続けていた。
His mind became active again.	彼の心は再び活発になった。
He wondered had Corley managed it successfully.	コーリーは何とかうまくやってのけたろうかと彼は思った。
He wondered if he had asked her yet or if he would leave it to the last.	あいつは彼女にもう尋ねたろうか、それとも最後に残したろうかと彼は思った。
He suffered all the pangs and thrills of his friend's situation as well as those of his own.	彼は自身の立場だけでなく友達の分の苦痛やスリルまですっかり味わった。
But the memory of Corley's slowly revolving head calmed him somewhat:	しかしコーリーのゆっくりと回転する頭を思い出すといくぶん落ち着いた。
he was sure Corley would pull it off all right.	コーリーはちゃんと見事にやってのけるだろうと確信したのだ。
All at once the idea struck him that perhaps Corley had seen her home by another way and given him the slip.	突然、ことによるとコーリーは別の道を通って彼女を家へ送り、彼をまいてずらかるかもしれないという考えが彼の頭に浮かんだ。
His eyes searched the street:	彼の目は通りを捜していた。
there was no sign of them.	彼らの気配はなかった。
Yet it was surely half-an-hour since he had seen the clock of the College of Surgeons.	そのうえ王立外科医大学の時計を見てから間違いなく三十分になる。
Would Corley do a thing like that?	コーリーがそんなことをするだろうか？
He lit his last cigarette and began to smoke it nervously.	彼は最後のタバコに火をつけ、神経質にすい始めた。
He strained his eyes as each tram stopped at the far corner of the square.	スクエアの向こうの角に電車が停まるたびに彼は目を凝らした。
They must have gone home by another way.	彼らは別の道で家に帰ったに違いなかった。
The paper of his cigarette broke and he flung it into the road with a curse.	タバコの紙が破れ、彼はそれを悪態とともに道に投げつけた。
Suddenly he saw them coming towards him.	不意に彼はこちらに向かって来る彼らを見た。
He started with delight and keeping close to his lamp-post tried to read the result in their walk.	彼は嬉しくて飛び上がり、街灯の柱にぴたりとついたまま、彼らの歩きぶりから結果を読み取ろうとした。
They were walking quickly, the young woman taking quick short steps, while Corley kept beside her with his long stride.	彼らは急いで歩いていて、若い女は短い歩幅で速足に、コーリーの方は大また歩きで彼女のそばについていた。
They did not seem to be speaking.	彼らは話しているように見えなかった。
An intimation of the result pricked him like the point of a sharp instrument.	結果を暗示するものが尖った器具の先端のように彼をちくりと刺した。
He knew Corley would fail;	コーリーが失敗するに違いないことを彼は知った。
he knew it was no go.	うまくいかないことを彼は知った。
They turned down Baggot Street and he followed them at once, taking the other footpath.	彼らはバゴット・ストリートへと曲がり、彼はすぐに彼らを追って反対側の歩道を行った。
When they stopped he stopped too.	彼らが止まった時、彼も止まった。
They talked for a few moments and then the young woman went down the steps into the area of a house.	彼らはほんの少し話をして、それから若い女は一軒の家の地下勝手口への階段を下りていった。
Corley remained standing at the edge of the path, a little distance from the front steps.	コーリーは正面の階段から少し離れた歩道のへりに立ち続けた。
Some minutes passed.	数分が過ぎた。
Then the hall-door was opened slowly and cautiously.	それから玄関のドアがゆっくり、用心深く開けられた。
A woman came running down the front steps and coughed.	一人の女が正面の階段を駆け下りてきて咳払いをした。
Corley turned and went towards her.	コーリーは振り返り、彼女の方へ行った。
His broad figure hid hers from view for a few seconds and then she reappeared running up the steps.	彼の幅広い姿が数秒間彼女を視界から隠し、それから階段を駆け上がる彼女が再び現れた。
The door closed on her and Corley began to walk swiftly towards Stephen's Green.	ドアが彼女の方へ閉まり、コーリーは急ぎ足でスティーブンス・グリーンに向かって歩き始めた。
Lenehan hurried on in the same direction.	レネハンは急いで同じ方向に行った。
Some drops of light rain fell.	小雨が数滴落ちた。
He took them as a warning and, glancing back towards the house which the young woman had entered to see that he was not observed, he ran eagerly across the road.	彼はそれを警告と受け取り、若い女が入っていった家の方をチラッと振り返って観察されていないか見て、焼け付く思いで道路を横切って走った。
Anxiety and his swift run made him pant.	不安と速く走ることで彼はあえいでいた。
He called out:	彼は大声で呼んだ。
"Hallo, Corley!"	「おーい、コーリー！」
Corley turned his head to see who had called him, and then continued walking as before.	コーリーは頭を回転させ、誰が彼を呼んだのか見て、それから前と同じに歩き続けた。
Lenehan ran after him, settling the waterproof on his shoulders with one hand.	レネハンは片手でレインコートに肩を入れながら彼を追った。
"Hallo, Corley!"	「おーい、コーリー！」
he cried again.	と彼は再び叫んだ。
He came level with his friend and looked keenly in his face.	彼は友の真横に来てその顔を熱心に覗き込んだ。
He could see nothing there.	彼はそこに何も見出すことができなかった。
"Well?"	「それで？」
he said.	と彼は言った。
"Did it come off?"	「うまくいったのかい？」
They had reached the corner of Ely Place.	彼らはエリー・プレースの角に着いた。
Still without answering, Corley swerved to the left and went up the side street.	依然答えずにコーリーは急に左に向きを変え、横町を行った。
His features were composed in stern calm.	彼の顔はどこを見ても冷静で人を寄せつけない落ち着きを示していた。
Lenehan kept up with his friend, breathing uneasily.	レネハンは不安そうな息遣いで、友についていった。
He was baffled and a note of menace pierced through his voice.	彼は困惑し、威嚇の気配が彼の声を貫いた。
"Can't you tell us?"	「なぜだまってる？」
he said.	と彼は言った。
"Did you try her?"	「当たってみたのか？」
Corley halted at the first lamp and stared grimly before him.	コーリーは最初の街灯で立ち止まり、いかめしく前方を凝視した。
Then with a grave gesture he extended a hand towards the light and,smiling, opened it slowly to the gaze of his disciple.	それから彼は厳粛なしぐさで手を明かりの方へ差し出してそして、にっこりして、じっと見つめる門弟の前にゆっくりそれを開いた。
A small gold coin shone in the palm.	小さな金のコインが掌で輝いていた。
