THE FIR TREE	もみの木
"Do you know only one story?"	「君のしっているお話は、それひとつきりなのかい。」
asked the Rats.	と、おやねずみはいいました。
"Only that one,"	「ああ、これひとつさ。」
answered the Tree.	と、もみの木はこたえました。
"I heard it on my happiest evening;	「なにしろわたしはうまれていちばんしあわせだった晩に、そのおはなしをきいたのだからね。
but I did not then know how happy I was."	けれど、そのときは、それがそんなにしあわせだとはしらなかった。」
"It is a very stupid story!	「ずいぶん、つまらないおはなしだなあ。
Don't you know one about bacon and tallow candles?	君は豚（ぶた）のあぶらみとか、あぶらろうそくというようなものはなんにもしらないのかね。
Can't you tell any larder stories?"	たべものやのはなしは、しらないのかね。」
"No,"	「しらないねえ。」
said the Tree.	と、もみの木はこたえました。
"Then	「そう。
good-bye,"	じゃあどうもありがとう。」
said the Rats; and they went home.	と、おやねずみたちはいって、なかまのところへかえっていきました。
At last the little Mice stayed away also;	とうとう、小ねずみたちもいってしまいました。
and the Tree sighed:	すると、もみの木は、またひとりぼっちになったので、ためいきをつきながらいいました。
"After all, it was very pleasant when the sleek little Mice sat round me, and listened to what I told them.	「げんきのいい、小ねずみたちが、わたしをとりまいて、おもしろそうに、はなしをきいてくれたのは、ほんとにゆかいだったなあ。
Now that too is over.	だが、それもおわりさ。
But I will take good care to enjoy myself when I am brought out again."	でも今にここからはこびだされれば、せいぜいものをたのしくかんがえることだ。」
But when was that to be?	ところで、いつそんなことになったでしょうか。
Why, one morning there came a quantity of people and set to work in the loft.	なるほど、あくる朝、大勢（おおぜい）してがたがた、ものおきをかたづけにきました。
The trunks were moved, the tree was pulled out	そして箱をどけて、もみの木をはこびだしました。
and thrown--rather hard, it is true--down on the floor,	それから、かなりらんぼうに床（ゆか）のうえになげだしました。
but a man drew him towards the stairs,	やがてひとりの下男が、それをそのままはしごだんのほうへひきずっていきました。
where the daylight shone.	こうしてもみの木は、もういちど、日の目を見ることができました。
"Now a merry life will begin again,"	「さあ、また生（い）きかえったぞ。」
thought the Tree.	と、もみの木はおもいました。
He felt the fresh air, the first sunbeam	もみの木は、すずしい風に吹かれて、朝のお日さまの光にあたりました。
--and now he was out in the courtyard.	――そこはほんとうに家（いえ）のそとの、にわのなかでした。
All passed so quickly, there was so much going on around him, the Tree quite forgot to look to himself.	いろいろなことが、目まぐるしいほど、はたで、どんどんおこってくるので、もみの木はすっかり、じぶんのことをわすれてしまいました。
The court adjoined a garden, and all was in flower;	このにわは、すぐ花ぞのにつづいていて、そこには、いろいろの花が、いっばい咲いていました。
the roses hung so fresh and odorous over the balustrade, the lindens were in blossom,	ほんのりいいにおいのするばらが、ひくいかきねにからんでいましたし、ぼだいじゅも、ちょうど花ざかりでした。
the Swallows flew by, and said,	つばめたちは、その上をとびまわりながら、さえずっていました。
"Quirre-vit!	「びいちくち、ぴいちくち、
My husband is come!"	うちのひとがかえってきましたよ。」
but it was not the Fir Tree that they meant.	けれどもそれは、もみの木のことではありませんでした。
"Now, then, I shall really enjoy life,"	「さあ、いよいよこれから、わたしは生きるのだぞ。」
said he exultingly, and spread out his branches;	と、うれしそうな声をだして、もみの木はおもいきり、枝（えだ）をいっぱいのばしました。
but, alas, they were all withered and yellow!	けれど、やれやれかわいそうに、その枝のさきは、がさがさに乾（ひ）からびて、黄（き）いろくなっていました。
It was in a corner that he lay, among weeds and nettles.	そして、じぶんはにわのすみっこ［＃「すみっこ」は底本では「すみこっ」］で、雑草（ざっそう）や、いばらのなかに、ころがされていました。
The golden star of tinsel was still on the top of the Tree,	金紙（きんがみ）の星はまだあたまのてっぺんについていました。
and glittered in the sunshine.	そしてその星は、あかるいお日さまの光で、きらきらかがやいていました。
In the court-yard some of the merry children were playing who had danced at Christmas round the Fir Tree, and were so glad at the sight of him.	ところで、そのとき、にわには、あのクリスマスの晩、この木のまわりをとびまわった、けんきのいいこどもたちが、あそんでいました。
One of the youngest ran and tore off the golden star.	するとひとり、いちばんちいさい子がかけてきて、いきなり金の星を、もぎとってしまいました。
"Only look	「ごらんよ。
what is still on the ugly old Christmas tree!"	きたない、ふるいもみの木にくっついていたんだよ。」
said he, trampling on the branches, so that they all cracked beneath his feet.	その子はそうさけびながら、枝をふんづけましたから、枝はくつの下で、ぽきぽき音を立てました。
And the Tree beheld all the beauty of the flowers, and the freshness in the garden;	もみの木は、目のさめるようにうつくしい、花ぞののなかの花をみました。
he beheld himself, and wished he had remained in his dark corner in the loft;	そしてみすぼらしいじぶんのすがたを見まわしてみて、これならいっそ、ものおきのくらいかたすみにほうり出されていたほうが、よかったとおもいました。
he thought of his first youth in the wood,	それからつづいて森のなかにいたときの、わかいじぶんのすがたを、目にうかべました。
of the merry Christmas-eve,	楽しかったクリスマスの前の晩のことを、おもいだしました。
and of the little Mice who had listened with so much pleasure to the story of Humpy-Dumpy.	でっくりもっくりさんのおはなしを、うれしそうにきいていた、小ねずみたちのことをおもいだしました。
"'Tis over--'tis past!"	「もうだめだ、もうだめだ。」
said the poor Tree.	と、かわいそうなもみの木はためいきをつきました。
"Had I but rejoiced when I had reason to do so!	「たのしめるときに、たのしんでおけばよかった。
But now 'tis past, 'tis past!"	もうだめだ。
And the gardener's boy chopped the Tree into small pieces; there was a whole heap lying there.	やがて、下男（げなん）が来て、もみの木を小さくおって、ひとたばの薪（まき）につかねてしまいました。
The wood flamed up splendidly under the large brewing copper,	それから大きなゆわかしがまの下へつっこまれて、かっかと赤くもえました。
and it sighed so deeply!	もみの木はそのとき、ふかいためいきをつきました。
Each sigh was like a shot.	そのためいきは、パチパチ弾丸（だんがん）のはじける音のようでした。
The boys played about in the court,	こどもたちは、やはり、にわであそんでいました。
and the youngest wore the gold star on his breast	そのいちばん小さい子は、金の星をむねの上につけていました。
which the Tree had had on the happiest evening of his life.	その星は、もみの木が一生のうちで、いちばんたのしかった晩、あたまにつけていたものでした。
However, that was over now	けれど、いまはそれも、おしまいになりました。
--the Tree gone, the story at an end.	もみの木も、そのおはなしも、おしまいになりました。
All, all was over	おしまい。
--every tale must end at last.	さて、どんなおはなしも、そうしておしまいになっていくのです。
