The Time Machine	タイムマシン
I've had a most amazing time.'	とんでもない時間を過ごしていたのです」
He reached out his hand for a cigar, and cut the end.	かれは葉巻に手を伸ばして、その一端を切った。
`But come into the smoking-room.	「だが喫煙室にきてください。
It's too long a story to tell over greasy plates.'	脂まみれの皿越しに語るには、長すぎる話ですから」
And ringing the bell in passing, he led the way into the adjoining room.	そして通りすがりに鐘をならしつつ、かれは隣室へと一同を先導した。
`You have told Blank, and Dash, and Chose about the machine?'	「ブランクとダッシュとチョーズに、マシンの話をなさったんですか？」
he said to me, leaning back in his easy-chair and naming the three new guests.	とかれは安楽椅子に身を沈め、新参の客を名指しつつわたしに尋ねた。
`But the thing's a mere paradox,'	「だがあんなのはただのパラドックスだ」
said the Editor.	と編集者。
`I can't argue to-night.	「今晩は議論できません。
I don't mind telling you the story, but I can't argue.	お話はできますが議論はできません。
I will,' he went on, `tell you the story of what has happened to me, if you like, but you must refrain from interruptions.	もしお望みなら、何が起きたかはお話しますが、でも割り込むのはご遠慮を。
I want to tell it.	わたしも話したいのです。
Badly.	それもひどく。
Most of it will sound like lying.	ほとんどはウソに聞こえるでしょう。
So be it!	ならそれでもいい！
It's true--every word of it, all the same.	そう思われようと、全部本当なのです――一つ残らず。
I was in my laboratory at four o'clock, and since then . . .	四時に研究室にいて、それ以来……
I've lived eight days . . .	わたしは八日間を過ごしたのです……
such days as no human being ever lived before!	どんな人間もこれまで過ごしたことのないような日々を！
I'm nearly worn out, but I shan't sleep till I've told this thing over to you.	もう疲れ果てていますが、この話をみなさんにするまでは眠りますまい。
Then I shall go to bed.	話したらベッドに行きます。
But no interruptions!	でも中断しないでください！
Is it agreed?'	ご了解いただけますか？」
`Agreed,'	「了解」
said the Editor, and the rest of us echoed `Agreed.'	と編集者が述べ、残りのみんなも「了解」と反響した。
And with that the Time Traveller began his story as I have set it forth.	そしてそれとともに時間旅行者は、以下に記したようにその物語を語りはじめた。
He sat back in his chair at first, and spoke like a weary man.	最初は椅子に深くもたれて、疲れ切った人物のように話をした。
Afterwards he got more animated.	その後、だんだん生き生きとしてきた。
In writing it down I feel with only too much keenness the inadequacy of pen and ink	それを書き記すにあたって、わたしはその語り口を表現するペンとインクの至らなさを
--and, above all, my own inadequacy	――そして何よりもわたし自身の至らなさを
--to express its quality.	――実に切実に感じている。
You read, I will suppose, attentively enough;	みなさんはおそらく、十分に慎重に読んでくださるだろう。
but you cannot see the speaker's white, sincere face in the bright circle of the little lamp, nor hear the intonation of his voice.	でも小さなランプの明るい輪の中に浮かぶ、話者の白い率直な顔も見られなければ、かれの声の抑揚も聞こえない。
You cannot know how his expression followed the turns of his story!	物語の展開につれてのかれの表情の推移もわからない！
Most of us hearers were in shadow,	われら聞き手のほとんどは影の中にいた。
for the candles in the smoking-room had not been lighted, and only the face of the Journalist and the legs of the Silent Man from the knees downward were illuminated.	というのも喫煙室のロウソクには火がともされず、照らされているのはジャーナリストの顔と、物静かな男のひざから下の脚だけだったのだ。
At first we glanced now and again at each other.	最初のうちは、みんなお互いに何度も顔を見合わせた。
After a time we ceased to do that, and looked only at the Time Traveller's face.	しばらくするうちにそれもやめ、みんな時間旅行者の顔だけを見つめていた。
`I told some of you last Thursday of the principles of the Time Machine, and showed you the actual thing itself, incomplete in the workshop.	「先週の木曜日に、みなさんの一部にはタイムマシンの原理をおはなしして、実物を未完成の状態で工作室でお目にかけました。
There it is now,	いまここにあるものです。
a little travel-worn, truly;	ちょっと旅でくたびれていますが。
and one of the ivory bars is cracked, and a brass rail bent;	そして象牙のバーの一つはひびが入り、真鍮のレールが曲がっています。
but the rest of it's sound enough.	でも残りはちゃんとしっかりしています。
I expected to finish it on Friday, but on Friday, when the putting together was nearly done, I found that one of the nickel bars was exactly one inch too short, and this I had to get remade;	金曜日に完成させるつもりでしたが、金曜に組み立てが終わりかけたところで、ニッケルのバーの一つがちょうど1インチ短いことに気がついて、これを作り直させなければなりませんでした。
so that the thing was not complete until this morning.	ですからマシンは、今朝まで完成しなかったのです。
It was at ten o'clock to-day that the first of all Time Machines began its career.	初のタイムマシンがその第一歩を記したのは、今朝の十時でした。
I gave it a last tap, tried all the screws again, put one more drop of oil on the quartz rod, and sat myself in the saddle.	わたしは最後の一たたきを加え、ねじを全部締め直して、水晶ロッドにもう一滴油をさして、サドルにすわりました。
I suppose a suicide who holds a pistol to his skull feels much the same wonder at what will come next as I felt then.	次に何がくるのだろうかというわたしのその時の気分は、自分の頭に拳銃をあてた自殺者さながらだったでしょう。
I took the starting lever in one hand and the stopping one in the other, pressed the first, and almost immediately the second.	片手に軌道レバーを握り、停止レバーをもう片方で握って、最初のを押して、そのほぼ一瞬後に二番目のを押しました。
I seemed to reel;	くらっときたようです。
I felt a nightmare sensation of falling;	落ちていくような、悪夢のような感覚がしました。
and, looking round, I saw the laboratory exactly as before.	そして見回すと、研究室はまったく前のままです。
Had anything happened?	何か起きたのでしょうか？
For a moment I suspected that my intellect had tricked me.	一瞬、頭が混乱したのかと思いました。
Then I noted the clock.	それから時計に気がつきました。
A moment before, as it seemed, it had stood at a minute or so past ten;	一瞬前と思えた時点では、時計は十時一分過ぎかそこらでした。
now it was nearly half-past three!	いまそれは、ほぼ三時半になっていました！
`I drew a breath, set my teeth, gripped the starting lever with both hands, and went off with a thud.	わたしは深呼吸して歯を食いしばり、両手でスタートレバーを握ると、ズンッという音をたてて出発しました。
The laboratory got hazy and went dark.	研究室は霞がかったようで暗くなりました。
Mrs. Watchett came in and walked, apparently without seeing me, towards the garden door.	ワッチェットさんが入ってきて、どうやらわたしが見えないようで、そのまま庭のドアに向かいました。
I suppose it took her a minute or so to traverse the place,	たぶんここを横切るのに一分もかかったでしょうか。
but to me she seemed to shoot across the room like a rocket.	でもわたしには、ロケットのように部屋を突進して横切るように見えました。
I pressed the lever over to its extreme position.	レバーを目一杯先へ進めました。
The night came like the turning out of a lamp, and in another moment came to-morrow.	ランプを消したようによるがやってきて、一瞬で明日がやってきました。
The laboratory grew faint and hazy, then fainter and ever fainter.	研究室は幽かで霞がかったように見え、それからだんだん薄れてきました。
To-morrow night came black, then day again, night again, day again, faster and faster still.	明日の夜が真っ暗になってやってきて、それから昼、また夜、また昼、それがどんどん速度を増しました。
An eddying murmur filled my ears, and a strange, dumb confusedness descended on my mind.	渦巻くつぶやきが耳を満たし、奇妙なめくらめっぽうの混乱が意識にふりかかってきました。
`I am afraid I cannot convey the peculiar sensations of time travelling.	時間旅行の奇妙な感覚は、どうもお伝えしようがありません。
They are excessively unpleasant.	とんでもなく不快なものです。
There is a feeling exactly like that one has upon a switchback	スイッチバックの鉄道にのった時とまさに同じ感覚があります
--of a helpless headlong motion!	――どうしようもない真っ逆さまな移動の感覚です！
I felt the same horrible anticipation, too, of an imminent smash.	やがて衝突するという、同じ恐ろしい予想も感じました。
As I put on pace, night followed day like the flapping of a black wing.	勢いを増すにつれて、昼と夜が黒い翼の羽ばたきのように入れ替わります。
The dim suggestion of the laboratory seemed presently to fall away from me, and I saw the sun hopping swiftly across the sky,	研究室を示唆するおぼろな様子は、すぐに崩れ去り、そして天を高速に太陽が横切るのが見えました。
leaping it every minute, and every minute marking a day.	一分ごとに空をよぎり、一分ごとに一日が記されるわけです。
I supposed the laboratory had been destroyed and I had come into the open air.	たぶん研究室は破壊されて、空き地になったのでしょう。
I had a dim impression of scaffolding, but I was already going too fast to be conscious of any moving things.	なにか建築の足場のような印象が漠然とありましたが、動くものを識別するにはすでにあまりに高速に動いているところでした。
The slowest snail that ever crawled dashed by too fast for me.	這いずるきわめて低速なカタツムリですら、わたしには速すぎた。
The twinkling succession of darkness and light was excessively painful to the eye.	闇と明かりのきらめく連続は、目にはあまりに苦痛でした。
Then, in the intermittent darknesses, I saw the moon spinning swiftly through her quarters from new to full, and had a faint glimpse of the circling stars.	それから間欠的な闇の中で、月が新月から満月までの月齢で急速に回転するのが見え、そして回転する星もかすかにうかがえました。
Presently, as I went on, still gaining velocity, the palpitation of night and day merged into one continuous greyness;	速度を増しつつ進むにつれて、やがて昼と夜の点滅は、一つの連続的な灰色へと融合しました。
the sky took on a wonderful deepness of blue,	空はすばらしく深見のある青となりました。
a splendid luminous color like that of early twilight;	夕暮れすぐに、あのすばらしく明るい色です。
the jerking sun became a streak of fire, a brilliant arch, in space;	とびまわる太陽は、炎の帯となり、輝くアーチとなって宙に浮かびます。
the moon a fainter fluctuating band;	月はもっとかすかに点滅する帯です。
and I could see nothing of the stars, save now and then a brighter circle flickering in the blue.	そして星は、空の青の中でちょっと明るい円がときどき一瞬ともるのを除けば、まったく見えませんでした。
`The landscape was misty and vague.	風景は霧がかってぼんやりとしていました。
I was still on the hill-side upon which this house now stands, and the shoulder rose above me grey and dim.	わたしは相変わらず、この家が今も建っている斜面におりまして、斜面の肩が頭上に灰色くぼやけてそびえていました。
I saw trees growing and changing like puffs of vapour,	木々が蒸気の固まりのように、成長して変化するのが見えました。
now brown, now green;	茶色になったと思えば緑になり。
they grew, spread, shivered, and passed away.	育ち、広がり、ふるえ、そして枯れます。
I saw huge buildings rise up faint and fair, and pass like dreams.	巨大な建物が幽かに美しく立ち上がり、夢のように消えるのを見ました。
The whole surface of the earth seemed changed	地表面のすべてが変わったようです
--melting and flowing under my eyes.	――目の前で溶けて流れるかのよう。
The little hands upon the dials that registered my speed raced round faster and faster.	わたしの速度を記録するダイヤルの針は、ますます速く回転しています。
Presently I noted that the sun belt swayed up and down, from solstice to solstice, in a minute or less,	すぐに太陽の軌道が、一分以下で夏至から夏至へと上下するのに気がつきました。
and that consequently my pace was over a year a minute;	つまりわたしの速度が、一分一年に相当すると言うことです。
and minute by minute the white snow flashed across the world, and vanished, and was followed by the bright, brief green of spring.	そして一分ごとに白い雪が世界にちらついては消え、そしてまばゆく短い春の緑に取って代わられました。
`The unpleasant sensations of the start were less poignant now.	出発したときの不快な感覚は、もうさっきより収まっていました。
They merged at last into a kind of hysterical exhilaration.	最後にそれは、一種のヒステリックな陽気さへと煮詰まっていったのです。
I remarked indeed a clumsy swaying of the machine, for which I was unable to account.	マシンの説明のつかない奇妙な揺れについては申し上げました。
But my mind was too confused to attend to it, so with a kind of madness growing upon me, I flung myself into futurity.	でも意識が混乱しすぎて、それに対処することもできず、一種の狂気にとらわれて、わたしは未来に飛び込んでいったのです。
At first I scarce thought of stopping, scarce thought of anything but these new sensations.	当初は、止まろうとはほとんど思わず、こうした新しい感覚以外のことはほとんど考えませんでした。
But presently a fresh series of impressions grew up in my mind	でもすぐに、新しい一連の印象が心中にふくれあがり始めました
--a certain curiosity and therewith a certain dread	――一種の好奇心と、それにともなうある種の恐怖です
--until at last they took complete possession of me.	――そしてそれがついには完全にわたしを圧倒しました。
What strange developments of humanity, what wonderful advances upon our rudimentary civilization, I thought, might not appear when I came to look nearly into the dim elusive world that raced and fluctuated before my eyes!	目の前を駆け抜けては変動する、おぼろでぼやけた世界を間近で見れば、いかに奇妙な人類の進歩、われわれの未発達な文明からいかにすばらしい進歩が実現したかを見られるかもしれない！
I saw great and splendid architecture rising about me, more massive than any buildings of our own time, and yet, as it seemed, built of glimmer and mist.	巨大ですばらしい建築、われわれの時代のどんな建物よりもはるかに壮大なものがまわりに建ちましたが、それは輝きと霧でできているかのようでした。
I saw a richer green flow up the hill-side, and remain there, without any wintry intermission.	もっと豊かな緑が斜面を流れるように登り、冬らしき中断なしにそこにとどまりました。
Even through the veil of my confusion the earth seemed very fair.	わたしの混乱のヴェールを通してでさえ、地球はとても平穏に見えました。
And so my mind came round to the business of stopping,	そしてわたしの頭はやっと、止まるにはどうしようかという問題にたどりついたのです。
`The peculiar risk lay in the possibility of my finding some substance in the space which I, or the machine, occupied.	ここで固有の危険性は、わたしまたはマシンが占有する空間に別の物質が存在するという可能性でした。
So long as I travelled at a high velocity through time, this scarcely mattered;	時間の中を高速で移動する限りにおいては、これはほとんど問題になりませんでした。
I was, so to speak, attenuated	わたしは、いわば薄まっていました
--was slipping like a vapour through the interstices of intervening substances!	――間に入る物質のすき間を蒸気のようにすりぬけていたわけです！
But to come to a stop involved the jamming of myself, molecule by molecule, into whatever lay in my way;	でも停止するには、わたし自身を分子ごとに、なんであれわたしの行く手のあるモノの中に押し込むことになるわけです。
meant bringing my atoms into such intimate contact with those of the obstacle that a profound chemical reaction	つまり、わたしの原子を障害物の原子と非常に密接な接触状態に持ち込むわけで、すさまじい化学反応
--possibly a far-reaching explosion	――ヘタをすると大規模な爆発
--would result, and blow myself and my apparatus out of all possible dimensions--into the Unknown.	――が生じ、わたしと我が装置をあらゆる次元から未知の世界へと吹き飛ばす可能性があります。
This possibility had occurred to me again and again while I was making the machine;	この可能性は、マシンを作っている時に何度も何度も頭に浮かんだのですが、
but then I had cheerfully accepted it as an unavoidable risk	そのときは仕方がないリスクだと思って喜んでそれを受け入れたのです
-- one of the risks a man has got to take!	――男として引き受けるべきリスクだと！
Now the risk was inevitable, I no longer saw it in the same cheerful light.	いまやリスクが回避不能となって、わたしはかつてほど嬉しげにはそれを考えられなくなりました。
The fact is that insensibly, the absolute strangeness of everything, the sickly jarring and swaying of the machine, above all, the feeling of prolonged falling, had absolutely upset my nerve.	実際問題として、すべてのものの異様な奇妙さ、マシンの気分が悪くなりそうな振動と揺れ、何よりも果てしなく落ち続けているような感覚のおかげで、知らぬ間に神経が完全におかしくなってしまったのです。
I told myself that I could never stop, and with a gust of petulance I resolved to stop forthwith.	このまま絶対止まれないんだと自分に言い聞かせると、かんしゃくを爆発させたようにわたしはすぐに止まろうと決意しました。
Like an impatient fool, I lugged over the lever, and incontinently the thing went reeling over, and I was flung headlong through the air.	あわてた愚か者のように、わたしはレバーの上にlugして、するとマシンはだらしなく横転して、そしてわたしは宙を投げ出されました。
`There was the sound of a clap of thunder in my ears.	耳の中で雷のような音がしました。
I may have been stunned for a moment.	一瞬気絶していたかもしれません。
A pitiless hail was hissing round me, and I was sitting on soft turf in front of the overset machine.	まわりには無情にもヒョウがうなって降り、わたしは横転したマシンの前の柔らかい土盛りにすわっていました。
Everything still seemed grey, but presently I remarked that the confusion in my ears was gone.	すべてはまだ灰色に見えましたが、すぐに耳の混乱が消えたことに気がつきました。
I looked round me.	見回すと、
I was on what seemed to be a little lawn in a garden, surrounded by rhododendron bushes,	どうも庭園の小さな芝生らしきところにいて、それがシャクナゲの茂みに囲まれています。
and I noticed that their mauve and purple blossoms were dropping in a shower under the beating of the hail-stones.	そしてその深紫と薄紫の花が、降り注ぐヒョウに打たれて次々に落ちてゆくのに気がつきました。
The rebounding, dancing hail hung in a cloud over the machine, and drove along the ground like smoke.	地面にはねて踊るヒョウは、マシンの上空にクモ状にかかって煙のように地面にたたきつけます。
In a moment I was wet to the skin.	一瞬後にはびしょぬれになっていました。
"Fine hospitality,"	「おまえたちを見に数え切れない年月を旅してきたのに、大した歓迎だよ」
said I,	とわたしはつぶやきました。
`Presently I thought what a fool I was to get wet.	すぐに、そもそもびしょぬれになったこと自体が愚かだと気がつきました。
I stood up and looked round me.	立ち上がってあたりを見回しました。
A colossal figure, carved apparently in some white stone, loomed indistinctly beyond the rhododendrons through the hazy downpour.	すると巨大な像が、明らかに何か白い石から刻まれて、霧がかった降水を通じてシャクナゲの向こうにぼんやりとそびえています。
But all else of the world was invisible.	でも世界のその他のものは何も見えませんでした。
`My sensations would be hard to describe.	そのときの感覚を説明するのはむずかしい。
As the columns of hail grew thinner, I saw the white figure more distinctly.	降り注ぐヒョウの柱が細くなるにつれて、白い像はもっとはっきり見えるようになりました。
It was very large, for a silver birch-tree touched its shoulder.	銀の樺の木がその肩に触れていたから、かなり大きなものです。
It was of white marble, in shape something like a winged sphinx, but the wings, instead of being carried vertically at the sides, were spread so that it seemed to hover.	白い大理石でできていて、何か羽の生えたスフィンクスのような形ですが、その羽は脇に垂直についているのではなく、広げられていたので、滑空しているように見えました。
The pedestal, it appeared to me, was of bronze, and was thick with verdigris.	台座は見たところ、ブロンズ製で、緑青に覆われていました。
It chanced that the face was towards me;	たまたまその顔がこちらに向いていました。
the sightless eyes seemed to watch me;	何も見ていないその目は、わたしを見ているかのようです。
there was the faint shadow of a smile on the lips.	その唇にはかすかに微笑が浮かんでいました。
It was greatly weather-worn, and that imparted an unpleasant suggestion of disease.	かなり風化していて、それが病気のような不快な印象を与えていました。
I stood looking at it for a little space	しばらくは立ちつくしてそれを眺めていました
--half a minute, perhaps, or half an hour.	――三〇秒ほどでしょうか、それとも三〇分だったか。
It seemed to advance and to recede as the hail drove before it denser or thinner.	降り注ぐヒョウが強まったり弱まったりするたびに、こちらに向かってきたり下がったりするように見えました。
At last I tore my eyes from it for a moment and saw that the hail curtain had worn threadbare, and that the sky was lightening with the promise of the Sun.	やっとわたしは一瞬そこから視線を引きはがし、そしてヒョウのカーテンがかなりか細くなり、空が明るんできて太陽の約束が見えてきていることに気がつきました。
`I looked up again at the crouching white shape, and the full temerity of my voyage came suddenly upon me.	うずくまる白い像を再び見上げると、自分の旅の無鉄砲さが一気に認識されてきました。
What might appear when that hazy curtain was altogether withdrawn?	この霧のようなカーテンが完全に消え去ったら、何が現れることだろう。
What might not have happened to men?	人類には、ありとあらゆることが起こった可能性がある。
What if cruelty had grown into a common passion?	人類共通の情熱として残虐さが発達していたらどうしよう？
What if in this interval the race had lost its manliness and had developed into something inhuman, unsympathetic, and overwhelmingly powerful?	この期間に人類がその人間らしさを失って、何か非人間的で、共感しがたい、圧倒的に強力なものに発達していたらどうしよう？
I might seem some old-world savage animal, only the more dreadful and disgusting for our common likeness	わたしなんか、旧世界の野蛮な獣にしか見えず、共通の類似点のためになおさら恐ろしく嫌悪すべき存在にすら見えるかもしれない
--a foul creature to be incontinently slain.	――即座に殺してしまうべき醜悪な生き物と思われるかもしれない。
`Already I saw other vast shapes	すでに他の大きな形が目に入っていました
--huge buildings with intricate parapets and tall columns, with a wooded hill-side dimly creeping in upon me through the lessening storm.	――嵐がやむにつれて、入念なパラペットや高い柱を持った巨大な建物に、森の茂った斜面がぼんやりと迫ってきます。
I was seized with a panic fear.	わたしはパニック状の恐怖に襲われました。
I turned frantically to the Time Machine, and strove hard to readjust it.	タイムマシンのほうにあわてて向き直り、調整し直そうと苦闘したのです。
As I did so the shafts of the sun smote through the thunderstorm.	そうするうちに、雷雨の中に日光の筋が差し込んできました。
The grey downpour was swept aside and vanished like the trailing garments of a ghost.	灰色の降水は脇へ押しやられ、幽霊のひきずる衣装のように消え失せました。
Above me, in the intense blue of the summer sky, some faint brown shreds of cloud whirled into nothingness.	頭上には、濃い青の夏空が広がり、かすかな茶色い雲の切れ端が、やがて渦巻いては消え失せました。
The great buildings about me stood out clear and distinct, shining with the wet of the thunderstorm, and picked out in white by the unmelted hailstones piled along their courses.	周辺の大きな建物は、はっきりと目立つように浮かび上がり、雷雨にぬれて輝き、その途中でくっついた溶けていないヒョウのために、白い模様がついています。
I felt naked in a strange world.	見知らぬ世界で裸になった気分でした。
I felt as perhaps a bird may feel in the clear air, knowing the hawk wings above and will swoop.	澄んだ空気の中で、頭上に鷹が羽ばたいていて急降下してくるのを知っている鳥のような気分だったかもしれません。
My fear grew to frenzy.	恐怖は狂乱にまでふくらみました。
I took a breathing space, set my teeth, and again grappled fiercely, wrist and knee, with the machine.	わたしは深く息を吸い込んで、歯をくいしばると、またもやひじと膝を使って、マシンと必死で格闘しました。
It gave under my desperate onset and turned over.	わたしの必死の努力にあって、マシンは根負けしてひっくり返りました。
It struck my chin violently.	それが派手にアゴにあたりました。
One hand on the saddle, the other on the lever, I stood panting heavily in attitude to mount again.	サドルに片手をかけ、片手をレバーにのせて、はあはあと荒い息をついてそこに立ったわたしは、再びマシンに乗り込もうとしました。
`But with this recovery of a prompt retreat my courage recovered.	でもマシンを起こしてちょっと安堵がもどってきたので、勇気も回復しました。
I looked more curiously and less fearfully at this world of the remote future.	この遙かな未来世界を、もっと好奇心をもっておびえずに眺めてみました。
In a circular opening, high up in the wall of the nearer house, I saw a group of figures clad in rich soft robes.	手近な家の壁高くにある丸い空き地に、豊かで柔らかいローブに身を包んだ一団が見えました。
They had seen me, and their faces were directed towards me.	向こうもわたしを見て、その顔がまっすぐこちらを見ています。
`Then I heard voices approaching me.	そのとき、近づいてくる声がしました。
Coming through the bushes by the White Sphinx were the heads and shoulders of men running.	白いスフィンクスの隣のしげみをやってくるのは、走ってくる人々の頭と肩でした。
One of these emerged in a pathway leading straight to the little lawn upon which I stood with my machine.	その一人が、わたしがマシンの横に立っている小さな芝生にまっすぐつながる小道にあらわれました。
He was a slight creature	かれは小さな人物でした
--perhaps four feet high	――身長一メートル20センチくらいでしょうか
--clad in a purple tunic, girdled at the waist with a leather belt.	――紫のチュニックをきて、それをウェストで革ベルトにより締めています。
Sandals or buskins	サンダルかバスキン
--I could not clearly distinguish which	――どっちかははっきりわかりませんでした
--were on his feet;	――を履いています。
his legs were bare to the knees, and his head was bare.	脚はひざまでむきだしで、頭も毛がありません。
Noticing that, I noticed for the first time how warm the air was.	それを見たとき、わたしは空気が実に暖かいことに初めて気がつきました。
`He struck me as being a very beautiful and graceful creature, but indescribably frail.	かれは見るからに美しく優雅な生き物でしたが、何とも言いようがなく脆弱な感じでした。
His flushed face reminded me of the more beautiful kind of consumptive	紅潮した顔は、肺病患者の美しいほうを思わせました
--that hectic beauty of which we used to hear so much.	――かつてわれわれがよく耳にした、あの消耗病の美です。
At the sight of him I suddenly regained confidence.	かれを見て、わたしは急に安心感が戻ってくるのを感じました。
I took my hands from the machine.	そしてマシンから手を離しました」
`In another moment we were standing face to face,	「次の瞬間、われわれは向かい合って立っていました。
I and this fragile thing out of futurity.	わたしと、この未来からきた繊細そうな生き物です。
He came straight up to me and laughed into my eyes.	かれはまっすぐにこちらに歩み寄って、目を見て笑いかけてきました。
The absence from his bearing of any sign of fear struck me at once.	かれの振る舞いに恐怖の徴がまるでないことがすぐにわかって驚きました。
Then he turned to the two others who were following him and spoke to them in a strange and very sweet and liquid tongue.	それからかれは、後に続いていた二人のほうを振り返り、奇妙なとても甘く液状のことばで語りかけたのです。
`There were others coming, and presently a little group of perhaps eight or ten of these exquisite creatures were about me.	他の人々もやってくるところで、すぐにこうしたexquisiteな生き物たち8人から10人ほどに囲まれました。
One of them addressed me.	一人がこちらに話しかけます。
It came into my head, oddly enough, that my voice was too harsh and deep for them.	奇妙なのですが、自分の声がかれらにはきつくて深すぎるのではないか、という考えが浮かびました。
So I shook my head, and, pointing to my ears, shook it again.	そこでわたしは頭をふって、耳を指さすとまた首を振りました。
He came a step forward, hesitated, and then touched my hand.	かれは一歩進み出て、ためらうと、わたしの手に触れました。
Then I felt other soft little tentacles upon my back and shoulders.	すると、他にも柔らかく小さな手が背中や肩に触れるのが感じられました。
They wanted to make sure I was real.	わたしが本物かどうか確かめているのです。
There was nothing in this at all alarming.	これにはまったく怖いことはありませんでした。
Indeed, there was something in these pretty little people that inspired confidence	このきれいな小さい人々には、何か安心させるようなものがありました
--a graceful gentleness, a certain childlike ease.	――優雅な穏やかさ、なにか子供じみた警戒心のなさ。
And besides, they looked so frail that I could fancy myself flinging the whole dozen of them about like nine-pins.	さらにみんな実にか弱く見えて、九柱儀のように一ダースくらいまとめて放り投げられそうでした。
But I made a sudden motion to warn them when I saw their little pink hands feeling at the Time Machine.	でもかれらの小さなピンクの手がタイムマシンをいじっているのを見たとき、急に動いて警告しました。
Happily then, when it was not too late, I thought of a danger I had hitherto forgotten, and reaching over the bars of the machine I unscrewed the little levers that would set it in motion, and put these in my pocket.	ありがたいことに、手遅れに成る前に、わたしはこれまで忘れていた危険に思い当たり、マシンのバーの上にかがむと、マシンを動かす小さなレバーをねじってはずし、ポケットにおさめました。
Then I turned again to see what I could do in the way of communication.	それからなんとか意思疎通ができないかと思いつつ振り返りました。
`And then, looking more nearly into their features, I saw some further peculiarities in their Dresden-china type of prettiness.	それからかれらの姿形をもっとしっかり見てやると、かれらのドレスデン磁器じみたきれいさに、さらに奇妙なところをいくつか見つけました。
Their hair, which was uniformly curly, came to a sharp end at the neck and cheek;	髪はみんなカールしていましたが、首とほおのところで急になくなっていました。
there was not the faintest suggestion of it on the face, and their ears were singularly minute.	顔には毛がまったく見あたらず、耳は不思議なくらい小さいものでした。
The mouths were small, with bright red, rather thin lips, and the little chins ran to a point.	口も小さく、唇は明るい赤でいささか細く、小さなほおがとがっていました。
The eyes were large and mild;	目は大きくて優しく、
and--this may seem egotism on my part	そして――これはこちらのエゴのように思えるかもしれません
--I fancied even that there was a certain lack of the interest I might have expected in them.	――期待したほどの興味を示してくれていないようにさえ思えたのです。
`As they made no effort to communicate with me, but simply stood round me smiling and speaking in soft cooing notes to each other, I began the conversation.	かれらはわたしと意思疎通をしようという努力をまったく見せず、単にまわりに立ったまま柔らかいクークー言う音で話し合っているだけだったので、こちらから会話を切り出しました。
I pointed to the Time Machine and to myself.	タイムマシンと自分を指さしました。
Then hesitating for a moment how to express time, I pointed to the sun.	それから時間をどう表現したものかちょっと躊躇してから、太陽を指さしました。
At once a quaintly pretty little figure in chequered purple and white followed my gesture, and then astonished me by imitating the sound of thunder.	すぐに紫と白のチェックを着たふうがわりにきれいな小人物がわたしの仕草を真似て、雷の音を真似てこちらを驚かせてくれました。
`For a moment I was staggered, though the import of his gesture was plain enough.	一瞬ひるみましたが、かれの身振りの含意は単純きわまりないものでした。
The question had come into my mind abruptly:	いきなり、ある疑問が頭に浮かびました。
were these creatures fools?	この生き物どもはバカなのではないか？
You may hardly understand how it took me.	これがどんなにショックだったか、なかなかおわかりいただけないと思います。
You see I had always anticipated that the people of the year Eight Hundred and Two Thousand odd would be incredibly in front of us in knowledge, art, everything.	二八〇〇年かそこらの人々は、知識の面でも技芸の面でも、あらゆる点ですさまじく進歩しているだろうと昔から思っていたのです。
Then one of them suddenly asked me a question that showed him to be on the intellectual level of one of our five-year-old children	ところがその一人がいきなり、現在の五歳児並の知的水準しかないことをうかがわせる質問をするのですから
-- asked me, in fact, if I had come from the sun in a thunderstorm!	――要するに、わたしが雷雨にのって太陽からやってきたのか、ときいたのです！
It let loose the judgment I had suspended upon their clothes, their frail light limbs, and fragile features.	かれらの服装や、か細い軽い手足、細い姿を見ても保留していた判断が、本格的によみがえってきました。
A flow of disappointment rushed across my mind.	失望の流れが心を横切りました。
For a moment I felt that I had built the Time Machine in vain.	一瞬、タイムマシンを作ったのは無駄だったのかと感じました。
`I nodded, pointed to the sun, and gave them such a vivid rendering of a thunderclap as startled them.	わたしはうなずくと太陽を指さして、雷鳴を実に真に迫って真似て見せたので、みんな怯えたようでした。
They all withdrew a pace or so and bowed.	みんな一歩かそこら下がると頭を下げます。
Then came one laughing towards me, carrying a chain of beautiful flowers altogether new to me, and put it about my neck.	それから、一人がこちらに笑いながらやってきて、まるで見たことのない花の輪を持ってきて首にかけてくれました。
The idea was received with melodious applause;	このアイデアは、楽しげな拍手で迎えられました。
and presently they were all running to and fro for flowers, and laughingly flinging them upon me until I was almost smothered with blossom.	そしてすぐに、みんなあちこと走り回って花を探し、笑いながらそれをわたしに投げかけて、花びらで窒息死そうなほどでした。
You who have never seen the like can scarcely imagine what delicate and wonderful flowers countless years of culture had created.	ご覧になったことのない皆さんは、数え切れない年月にわたる育成が作り出した花の繊細さやすばらしさが想像もつかないでしょう。
Then someone suggested that their plaything should be exhibited in the nearest building, and so I was led past the sphinx of white marble, which had seemed to watch me all the while with a smile at my astonishment, towards a vast grey edifice of fretted stone.	そしてだれかが、おもちゃを手近な建物で展示しようと思いついたようで、わたしは白い大理石のスフィンクス（それはずっとこちらを観察し、驚きぶりに微笑するようでした）の横を通って、腐食した石造の広大な灰色の建築物につれてこられました。
