ADVENTURE I. A SCANDAL IN BOHEMIA	ボヘミアンスキャンダル
They were all three standing in a knot in front of the altar.	三人とも祭壇の前にかたまって立っていた。
I lounged up the side aisle like any other idler who has dropped into a church.	僕は教会に立ち寄ったひま人なら誰でもするように側廊をぶらぶらしていた。
Suddenly, to my surprise, the three at the altar faced round to me, and Godfrey Norton came running as hard as he could towards me.	突然、驚いたことに、祭壇の三人がこちらへ振り向いて、ゴドフリー・ノートンが僕の方へ懸命に走ってきた。
"'Thank God,'	『ありがたい』
he cried.	と彼は叫んだ。
'You'll do.	『君でいい。
Come!	来てくれ！
Come!'	来てくれ！』
"'What then?'	『いったい何かね？』
I asked.	僕は尋ねた。
"'Come, man, come, only three minutes, or it won't be legal.'	『来てくれ、君、来てくれ、ほんの三分、さもないと法的に無効になってしまう。」
"I was half-dragged up to the altar, and before I knew where I was I found myself mumbling responses which were whispered in my ear, and vouching for things of which I knew nothing, and generally assisting in the secure tying up of Irene Adler, spinster, to Godfrey Norton, bachelor.	僕は引きずられるようにして祭壇まで行き、何が何だかわからないうちに、耳元でささやかれた応答の文句をもぐもぐ言い、まったく知りもしないことを保証し、総じてみれば未婚婦人アイリーン・アドラーを独身男性ゴドフリー・ノートンに固く結びつける手伝いをするはめになったのだ。
It was all done in an instant, and there was the gentleman thanking me on the one side and the lady on the other, while the clergyman beamed on me in front.	すべてはあっという間に済み、一方では紳士が、反対側では夫人が僕に礼を言い、また正面では牧師が僕にほほえみかけていた。
It was the most preposterous position in which I ever found myself in my life, and it was the thought of it that started me laughing just now.	僕の生涯で最もばかげた立場に立たされてしまったが、さっき笑い出したのもそれを考えたからだ。
It seems that there had been some informality about their license, that the clergyman absolutely refused to marry them without a witness of some sort, and that my lucky appearance saved the bridegroom from having to sally out into the streets in search of a best man.	どうやら彼らの許可証に多少略式のところがあり、牧師が誰か立会人なしには彼らの結婚式を行うことをきっぱりと断り、そこへ幸運にも僕が現れて花婿が付添い人を探しに街へ打って出なければならないところを救ったということらしい。
The bride gave me a sovereign, and I mean to wear it on my watch-chain in memory of the occasion."	花嫁が僕にソブリン金貨をくれたので、この椿事の記念として時計の鎖につけて身につけるつもりなんだ。」
"This is a very unexpected turn of affairs,"	「まったく予期せぬ事態の展開だね」
said I;	と私は言った。
"and what then?"	「それでそれからどうした？」
"Well, I found my plans very seriously menaced.	「そうだね、僕の計画はきわめて深刻におびやかされていることがわかった。
It looked as if the pair might take an immediate departure, and so necessitate very prompt and energetic measures on my part.	二人がすぐに出発する可能性もありそうだったし、そうなると僕の方もきわめて迅速に、精力的に策を講じる必要がある。
At the church door, however, they separated, he driving back to the Temple, and she to her own house.	しかし、教会の戸口で、彼はテンプルへ、彼女は自宅へ、と馬車に乗って彼らは別れた。
'I shall drive out in the park at five as usual,'	離れる時に
she said as she left him.	『いつものように五時に公園に走らせます』
I heard no more.	それ以上は聞こえなかった。
They drove away in different directions, and I went off to make my own arrangements."	彼らは別々の方向に走り去り、僕は自らの下ごしらえをするために立ち去った。」
"Which are?"	「どんな？」
"Some cold beef and a glass of beer,"	「コールドビーフを少々、ビールを一杯」
he answered, ringing the bell.	とベルを鳴らしながら彼は答えた。
"I have been too busy to think of food, and I am likely to be busier still this evening.	「忙しくて食べることなんか考えられなかったし、今夜はさらに忙しくなりそうだ。
By the way, Doctor, I shall want your co-operation."	ところでドクター、君の協力が必要になるんだが。」
"I shall be delighted."	「喜んでやるよ。」
"You don't mind breaking the law?"	「法律を破るのもいとわないかな？」
"Not in the least."	「ちっとも。」
"Nor running a chance of arrest?"	「逮捕される危険を冒すことも？」
"Not in a good cause."	「正当な理由があれば。」
"Oh, the cause is excellent!"	「ああ、きわめて正当なものだよ！」
"Then I am your man."	「それなら何なりと。」
"I was sure that I might rely on you."	「君は当てにできると確信していたよ。」
"But what is it you wish?"	「しかし君の望みは何だね？」
"When Mrs. Turner has brought in the tray I will make it clear to you.	「ターナーさんが盆を持ってきたら君にわかるように説明するよ。
Now,"	さて、」
he said as he turned hungrily on the simple fare that our landlady had provided,	彼はおかみの出してくれた簡単な食べ物にがつがつと飛びついて言った、
"I must discuss it while I eat,	「食べながら話し合わなければなるまい。
for I have not much time.	あまり時間がないからね。
It is nearly five now.	もうじき五時だ。
In two hours we must be on the scene of action.	二時間後には活動の舞台にいなければならない。
Miss Irene, or Madame, rather, returns from her drive at seven.	アイリーン嬢、いや夫人は七時にドライブから戻る。
We must be at Briony Lodge to meet her."	僕たちはブライオニ・ロッジで彼女に会わなければならない。」
"And what then?"	「それからどうする？」
"You must leave that to me.	「どうか僕に任せてくれたまえ。
I have already arranged what is to occur.	僕が既に準備したようになるはずだ。
There is only one point on which I must insist.	どうしても言う通りにしてもらわなければならない点が一つだけあるんだ。
You must not interfere, come what may.	何があっても君は邪魔をしてはいけない。
You understand?"	わかるね？」
"I am to be neutral?"	「中立でいるのかい？」
"To do nothing whatever.	「何事であれ何もしないこと。
There will probably be some small unpleasantness.	おそらくちょっとした不愉快なことがあるはずだ。
Do not join in it.	それに加わらないでくれ。
It will end in my being conveyed into the house.	結局、僕があの家の中に運ばれることになる。
Four or five minutes afterwards the sitting-room window will open.	四、五分後に居間の窓があく。
You are to station yourself close to that open window."	君はその開いた窓の近くに位置するんだ。」
"Yes."	「わかった。」
"You are to watch me,	「君は僕を注意して見ていなければいけない。
for I will be visible to you."	僕は君に見えるだろうから。」
"Yes."	「わかった。」
"And when I raise my hand--so--you will throw into the room what I give you to throw, and will, at the same time, raise the cry of fire.	「それで僕が手を上げた時−−そこで君は部屋の中へ僕が渡すものを投げ込む、と同時に、火事だ、と叫び声を張り上げるんだ。
You quite follow me?"	よくわかった？」
"Entirely."	「完全に。」
"It is nothing very formidable,"	「何も恐ろしいものじゃないんだ」
he said, taking a long cigar-shaped roll from his pocket.	と彼はポケットから長い、葉巻の型に巻いたものを取り出して言った。
"It is an ordinary plumber's smoke-rocket, fitted with a cap at either end to make it self-lighting.	「普通の、配管工の持っている発煙筒で、両端に雷管が取り付けられ、自動着火式だ。
Your task is confined to that.	君にはそれだけをやってもらう。
When you raise your cry of fire, it will be taken up by quite a number of people.	君が火事だと叫びを上げれば、かなりの数の人がそれに加わるだろう。
You may then walk to the end of the street, and I will rejoin you in ten minutes.	君はそれから通りの端まで歩いていけばいい、僕は十分後に一緒になるよ。
I hope that I have made myself clear?"	わかってもらえたならいいんだが？」
"I am to remain neutral, to get near the window, to watch you, and at the signal to throw in this object, then to raise the cry of fire, and to wait you at the corner of the street."	「僕は中立を保つ、窓に近づく、君を注意して見る、合図を見てこの物体を投げる、それから火事だと叫ぶ、そして通りの角で君を待つんだね。」
"Precisely."	「その通り。」
"Then you may entirely rely on me."	「それなら完全に当てにしてくれていいよ。」
"That is excellent.	「そいつはすばらしい。
I think, perhaps, it is almost time that I prepare for the new role I have to play."	たぶん、そろそろ新たな役を演ずる準備をする時間じゃないかな。」
He disappeared into his bedroom and returned in a few minutes in the character of an amiable and simple-minded Nonconformist clergyman.	彼は寝室に姿を消し、数分後に愛想のいい、おめでたい非国教徒の牧師という役柄で戻ってきた。
His broad black hat, his baggy trousers, his white tie, his sympathetic smile, and general look of peering and benevolent curiosity were such as Mr. John Hare alone could have equalled.	つば広の黒い帽子、だぶだぶのズボン、白いネクタイ、思いやりに満ちた笑み、いつもじっと注いでいる優しい好奇の目つきなどは名優、ジョン・ヘアー氏でなければ太刀打ちできないようなものだった。
It was not merely that Holmes changed his costume.	ホームズはただ服装を変えるだけではなかった。
His expression, his manner, his very soul seemed to vary with every fresh part that he assumed.	表情、態度、精神までもが新しい役を装うにつれて変化するようだった。
The stage lost a fine actor, even as science lost an acute reasoner, when he became a specialist in crime.	彼が犯罪の専門家になった時、科学が鋭い理論家を失ったように、演劇界は優れた役者を失ったのである。
It was a quarter past six when we left Baker Street, and it still wanted ten minutes to the hour when we found ourselves in Serpentine Avenue.	六時十五分に私たちはベーカー街を出発し、サーペンタイン通りに着いた時にはまだ時間まで十分あった。
It was already dusk, and the lamps were just being lighted as we paced up and down in front of Briony Lodge, waiting for the coming of its occupant.	既に夕闇が迫り、私たちがブライオニ・ロッジの前を行ったり来たり、その住人の到着を待っている頃にはちょうど街灯がともり始めていた。
The house was just such as I had pictured it from Sherlock Holmes' succinct description, but the locality appeared to be less private than I expected.	その家はホームズの簡潔な説明から想像していた通りだったが、現場の周辺は思ったより人目が多いように感じられた。
On the contrary, for a small street in a quiet neighbourhood, it was remarkably animated.	それどころか、静かな界隈の小さな通りの割には、驚くほど活気があった。
There was a group of shabbily dressed men smoking and laughing in a corner, a scissors-grinder with his wheel, two guardsmen who were flirting with a nurse-girl, and several well-dressed young men who were lounging up and down with cigars in their mouths.	角に集まって煙草を吹かし、笑っているみすぼらしいなりの男たち、自転車を引く刃物の研ぎ屋、子守娘といちゃつく二人の近衛兵、それから葉巻をくわえ、ぶらぶら行き来する、身なりのよい若い男たちがいた。
"You see,"	「いいかい、」
remarked Holmes, as we paced to and fro in front of the house,	家の前を行ったり来たりしながらホームズが言った、
"this marriage rather simplifies matters.	「この結婚でむしろ話は簡単になった。
The photograph becomes a double-edged weapon now.	いまや写真は両刃の剣になる。
The chances are that she would be as averse to its being seen by Mr. Godfrey Norton, as our client is to its coming to the eyes of his princess.	おそらく彼女も、僕たちの依頼人がそれを王妃の目に触れさせたくないのと同様に、ゴドフリー・ノートン氏に見られるのは嫌だろう。
Now the question is,	そこで問題だ。
Where are we to find the photograph?"	僕たちはその写真を見つけるためにどこを捜すべきか？」
"Where, indeed?"	「まったくどこだろうね？」
"It is most unlikely that she carries it about with her.	「彼女が身につけて持ち歩くことはとてもありそうにない。
It is cabinet size.	キャビネサイズだからね。
Too large for easy concealment about a woman's dress.	大きすぎて婦人の服に隠すのは容易じゃない。
She knows that the King is capable of having her waylaid and searched.	王が彼女を待ち伏せして捜しかねないことは彼女もわかっている。
Two attempts of the sort have already been made.	その種の試みは既に二度なされている。
We may take it, then, that she does not carry it about with her."	そこで、彼女は身につけて持ち歩かないと考えてよかろう。」
"Where, then?"	「では、どこだろう？」
"Her banker or her lawyer.	「銀行か弁護士だ。
There is that double possibility.	その二つの可能性はある。
But I am inclined to think neither.	だが僕はどちらでもないと考えたい。
Women are naturally secretive, and they like to do their own secreting.	女性は本来秘密主義で、自分で隠し事をするのが好きだ。
Why should she hand it over to anyone else?	どうして他人の手に渡す必要があろう？
She could trust her own guardianship, but she could not tell what indirect or political influence might be brought to bear upon a business man.	誰が責任を持って守るかといえば、自分自身なら信用できるけれども、商売人にはどんな間接的、政治的な圧力がかかるかわからないじゃないか。
Besides, remember that she had resolved to use it within a few days.	その上、彼女がそれを数日内に使う決意だったことを思い出してくれ。
It must be where she can lay her hands upon it.	彼女の手の届くところにあるにちがいない。
It must be in her own house."	彼女の家にあるにちがいない。」
"But it has twice been burgled."	「しかし夜盗が二度入っているよ。」
"Pshaw!	「フフン！
They did not know how to look."	捜し方を知らないんだ。」
"But how will you look?"	「だが君ならどうやって捜す？」
"I will not look."	「僕は捜さないんだ。」
"What then?"	「ではどうする？」
"I will get her to show me."	「彼女に教えてもらうんだ。」
"But she will refuse."	「だが彼女は断るだろう？」
"She will not be able to.	「そうはいかないだろうな。
But I hear the rumble of wheels.	だが車のガタガタいう音が聞こえるよ。
It is her carriage.	彼女の馬車だ。
Now carry out my orders to the letter."	さあ、僕の指図を忠実に実行してくれたまえ。」
As he spoke the gleam of the side-lights of a carriage came round the curve of the avenue.	彼がそう言うと同時に一台の馬車の側灯の淡い光が通りのカーブを曲がってきた。
It was a smart little landau which rattled up to the door of Briony Lodge.	こぎれいな小型のランドーがブライオニ・ロッジの戸口にガラガラと乗りつけた。
As it pulled up, one of the loafing men at the corner dashed forward to open the door in the hope of earning a copper, but was elbowed away by another loafer, who had rushed up with the same intention.	それが止まると、角でぶらぶらしていた男たちの一人が銅貨の稼ぎを期待してドアをあけようと突進したが、同じ目的で駆けよった別の浮浪者にひじで突きとばされた。
A fierce quarrel broke out, which was increased by the two guardsmen, who took sides with one of the loungers, and by the scissors-grinder, who was equally hot upon the other side.	猛烈なけんかが突発し、一方の怠け者に味方する二人の近衛兵と、同じように熱くなって他方に加わった研ぎ屋により大事(おおごと)になった。
A blow was struck, and in an instant the lady, who had stepped from her carriage, was the centre of a little knot of flushed and struggling men, who struck savagely at each other with their fists and sticks.	拳固一閃、馬車から踏み出していた婦人は、たちまち、真っ赤になって争い、互いに拳固や杖で打ち合う男たちの小さな群れに囲まれてしまった。
Holmes dashed into the crowd to protect the lady; but just as he reached her he gave a cry and dropped to the ground, with the blood running freely down his face.	ホームズは婦人を守ろうと人ごみに飛び込んだ、が、彼女のところまで行ったとたんに叫び声を上げ、バッタリと地面に倒れ、顔からは大量の血が流れ出た。
At his fall the guardsmen took to their heels in one direction and the loungers in the other, while a number of better-dressed people, who had watched the scuffle without taking part in it, crowded in to help the lady and to attend to the injured man.	彼が倒れると、近衛兵たちは一方へ、浮浪者どもは他方へと逃げ出したが、乱闘に加わらずに見守っていた身なりのいい多数の人々が、婦人を助け、けが人の手当てをしようと押し寄せた。
Irene Adler, as I will still call her, had hurried up the steps;	アイリーン・アドラー、と今まで通りに呼ぶが、彼女は急いで戸口の段を上がった。
but she stood at the top with her superb figure outlined against the lights of the hall, looking back into the street.	しかし彼女は玄関の明かりを背景にすばらしいスタイルのシルエットを浮かび上がらせて最上段に立ち、振り返って街路をのぞき込んだ。
"Is the poor gentleman much hurt?"	「お気の毒に、その方おけがはひどいの？」
she asked.	と彼女は尋ねた。
"He is dead,"	「死んでるぞ」
cried several voices.	と数人の声が叫んだ。
"No, no, there's life in him!"	「いや、いや、命はある！」
shouted another.	と別の大声が言った。
"But he'll be gone before you can get him to hospital."	「でも病院へ運び込む前にだめだろう。」
"He's a brave fellow,"	「勇敢な男よ」
said a woman.	と一人の女が言った。
"They would have had the lady's purse and watch if it hadn't been for him.	「この人がやらなかったら奴ら、お嬢さんの財布も時計も取ったわよ。
They were a gang, and a rough one, too.	あれは悪い一味よ、それも乱暴な。
Ah, he's breathing now."	ああ、この人息をしてる。」
"He can't lie in the street.	「道に寝かせておくわけにはいかない。
May we bring him in, marm?"	中に入れてもいいかね、奥さん？」
"Surely.	「もちろん。
Bring him into the sitting-room.	居間にお連れして。
There is a comfortable sofa.	楽なソファーがありますから。
This way, please!"	こちらよ、どうぞ！」
Slowly and solemnly he was borne into Briony Lodge and laid out in the principal room, while I still observed the proceedings from my post by the window.	ゆっくりと厳粛に彼はブライオニ・ロッジに運び込まれ、重要なる部屋に寝かされたが、私の方はなおも成り行きを窓のそばの部署から見守っていた。
The lamps had been lit, but the blinds had not been drawn, so that I could see Holmes as he lay upon the couch.	明かりはともっていたがブラインドは引かれていなかったので、私には寝椅子に寝かされるホームズが見えた。
I do not know whether he was seized with compunction at that moment for the part he was playing, but I know that I never felt more heartily ashamed of myself in my life than when I saw the beautiful creature against whom I was conspiring, or the grace and kindliness with which she waited upon the injured man.	その瞬間、彼が自分の演じている役に良心の呵責を覚えていたのかどうか私は知らないが、私自身は、自分が陰謀を企んでいるあの美しい人を、またけが人に仕えるその人の思いやりと親切を見た時ほど心底から恥ずかしい思いをしたことは生まれてこのかたないのである。
And yet it would be the blackest treachery to Holmes to draw back now from the part which he had intrusted to me.	とはいえそこでホームズが私に託した役割から手を引くことは彼に対するけしからぬ裏切りになったろう。
I hardened my heart, and took the smoke-rocket from under my ulster.	私は心を鬼にし、アルスターコートの下から発煙筒を取り出した。
After all, I thought, we are not injuring her.	結局、私たちは彼女を傷つけているのではない、と私は考えた。
We are but preventing her from injuring another.	ただ彼女がほかの人を傷つけるのを防いでいるのだ、と。
Holmes had sat up upon the couch, and I saw him motion like a man who is in need of air.	ホームズは寝椅子に起き直っていたが、その彼が空気が足りないというような身振りをするのが見えた。
A maid rushed across and threw open the window.	メイドが窓に駆け寄り、さっとあけた。
At the same instant I saw him raise his hand and at the signal I tossed my rocket into the room with a cry of	同時に彼が片手を上げるのを見て、それを合図に私は
"Fire!"	「火事だ！」
The word was no sooner out of my mouth than the whole crowd of spectators, well dressed and ill--gentlemen, ostlers, and servant-maids--joined in a general shriek of "Fire!"	その言葉が私の口から出るやいなや、見物している群集全体、身なりのいいのも悪いのも、馬丁も、女中も、みんなが一つになって「火事だ！」の叫びに加わった。
Thick clouds of smoke curled through the room and out at the open window.	もうもうとした濃い煙が部屋中に渦巻き、開いた窓からも立ち昇った。
I caught a glimpse of rushing figures, and a moment later the voice of Holmes from within assuring them that it was a false alarm.	あわてて行きかう姿が見えたが、一瞬の後、虚報だといって皆を安心させるホームズの声が中から聞こえた。
Slipping through the shouting crowd I made my way to the corner of the street, and in ten minutes was rejoiced to find my friend's arm in mine, and to get away from the scene of uproar.	叫び声を上げる群集をすり抜けて私は通りの角へ行き、十分後にはありがたいことにホームズの腕が自分のそれに重ねられ、騒ぎの現場から立ち去ることができた。
He walked swiftly and in silence for some few minutes until we had turned down one of the quiet streets which lead towards the Edgeware Road.	彼は足早に、数分間というもの黙って歩き、私たちはエッジウェア街に通じる静かな通りへと曲がった。
"You did it very nicely, Doctor,"	「実にうまくやってくれたねえ、博士」
he remarked.	と彼は言った。
"Nothing could have been better.	「最高のできだったよ。
It is all right."	申し分なしだ。」
"You have the photograph?"	「写真はそこにあるのかい？」
"I know where it is."	「どこにあるか知っている。」
"And how did you find out?"	「それでどうやって見つけた？」
"She showed me, as I told you she would."	「彼女が教えてくれたよ、そう言ったろう。」
"I am still in the dark."	「私にはまだわからないよ。」
"I do not wish to make a mystery,"	「秘密にするつもりはないんだ」
said he, laughing.	と彼は笑いながら言った。
"The matter was perfectly simple.	「話はまったく簡単なんだ。
You, of course, saw that everyone in the street was an accomplice.	君はもちろん、通りにいたのは全員ぐるだとわかったね。
They were all engaged for the evening."	みんな今夜のために雇ったんだ。」
"I guessed as much."	「そうだろうと見当はついた。」
"Then, when the row broke out, I had a little moist red paint in the palm of my hand.	「それから、けんかが突発した時、僕は手のひらにぬれた赤い塗料を少し仕込んでいた。
I rushed forward, fell down, clapped my hand to my face, and became a piteous spectacle.	僕は突進し、倒れ、自分の手で顔をたたき、哀れな光景となったわけだ。
It is an old trick."	古いトリックだよ。」
"That also I could fathom."	「それも推測できた。」
"Then they carried me in.	「それから連中が僕を運び入れた。
She was bound to have me in.	彼女は入れないわけにいかなかった。
What else could she do?	ほかにどうしようもないじゃないか？
And into her sitting-room, which was the very room which I suspected.	そして彼女の居間の中、まさに僕が疑いをかけていたところだ。
It lay between that and her bedroom, and I was determined to see which.	そこか寝室か、どちらかにあり、それを僕は確かめる決意だった。
They laid me on a couch, I motioned for air, they were compelled to open the window, and you had your chance."	僕は寝椅子に寝かされ、身振りで空気を求め、窓をあけざるをえないようにして、それで君にチャンス到来だ。」
"How did that help you?"	「どうしてあれが役に立ったんだね？」
"It was all-important.	「きわめて重要だったんだ。
When a woman thinks that her house is on fire, her instinct is at once to rush to the thing which she values most.	家が燃えていると思った女性は、本能的にすぐにいちばん大事なもののところへ駆けつける。
It is a perfectly overpowering impulse, and I have more than once taken advantage of it.	これはまったく圧倒的な衝動であり、僕はこれを一度ならず利用したことがある。
In the case of the Darlington substitution scandal it was of use to me, and also in the Arnsworth Castle business.	ダーリントンすり替え事件で役に立ったし、アーンズワース城の件でもそうだ。
A married woman grabs at her baby; an unmarried one reaches for her jewel-box.	結婚している女は赤ん坊をひっつかみ、未婚の女は宝石箱に手を伸ばす。
Now it was clear to me that our lady of to-day had nothing in the house more precious to her than what we are in quest of.	さて、明白なことだが、今日の僕たちの婦人にとって、僕たちが求めているものより貴重なものはあの家にはない。
She would rush to secure it.	それを守るために駆け寄るはずだ。
The alarm of fire was admirably done.	火事の警報は見事に発せられた。
The smoke and shouting were enough to shake nerves of steel.	煙と叫び声は鉄の神経をも揺さぶった。
She responded beautifully.	彼女は申し分のない反応を見せた。
The photograph is in a recess behind a sliding panel just above the right bell-pull.	写真は右側のベルの紐の真上のスライド式の羽目板の後ろのくぼみの中にある。
She was there in an instant, and I caught a glimpse of it as she half-drew it out.	彼女がすぐにそこへ行って、それを引き出しかけた時、僕にチラッと見えたんだ。
When I cried out that it was a false alarm, she replaced it, glanced at the rocket, rushed from the room, and I have not seen her since.	虚報だと僕が叫ぶと、彼女はそれを元に戻し、発煙筒をチラッと見て、部屋から飛び出し、その後僕は彼女を見なかった。
I rose, and, making my excuses, escaped from the house.	僕は立ち上がり、言い訳をして、家から逃げ出した。
I hesitated whether to attempt to secure the photograph at once; but the coachman had come in, and as he was watching me narrowly it seemed safer to wait.	すぐに写真を手に入れようかと迷ったが、御者が入ってきてね、僕をじろじろ見るものだから、待った方が安全だろうと思ったんだ。
A little over-precipitance may ruin all."	少々早まったがためにすべてが台無しかもしれないんでね。」
"And now?"	「それで今度は？」
I asked.	と私は尋ねた。
"Our quest is practically finished.	「僕たちの探求は終わったも同然だ。
I shall call with the King to-morrow, and with you, if you care to come with us.	明日訪問するつもりだ、王と、それから君が一緒に行きたければ君と。
We will be shown into the sitting-room to wait for the lady, but it is probable that when she comes she may find neither us nor the photograph.	僕たちは居間に案内されてあの婦人を待つ、だがたぶん、彼女が来た時には僕たちも写真も見当たらないだろうな。
It might be a satisfaction to his Majesty to regain it with his own hands."	陛下も自分の手で取り戻せば満足だろう。」
"And when will you call?"	「それでいつ行くんだ？」
"At eight in the morning.	「朝の八時だ。
She will not be up, so that we shall have a clear field.	彼女はまだ起きていないだろう、そこで邪魔がないからうまくいくわけさ。
Besides, we must be prompt, for this marriage may mean a complete change in her life and habits.	すぐにやらなければならないわけはそれだけじゃない、この結婚で彼女の生活、習慣がすっかり変わるかもしれないからね。
I must wire to the King without delay."	即刻王様に電報を打たなければ。」
We had reached Baker Street and had stopped at the door.	私たちはベーカー街に着き、戸口に立ち止まった。
He was searching his pockets for the key when someone passing said:	彼がポケットの鍵を探っている時、誰かが通りすがりに言った。
"Good-night, Mister Sherlock Holmes."	「おやすみなさい、シャーロック・ホームズさん。」
There were several people on the pavement at the time, but the greeting appeared to come from a slim youth in an ulster who had hurried by.	その時歩道には数人の人がいたが、そのあいさつはそばを急ぐアルスターコートを着た細身の青年から聞こえたようだった。
"I've heard that voice before,"	「あの声は前に聞いたことがある」
said Holmes, staring down the dimly lit street.	とホームズが、ぼんやり照らされた通りを見つめながら言った。
"Now, I wonder who the deuce that could have been."	「さあて、いったいあれは誰だったかな。」
I slept at Baker Street that night, and we were engaged upon our toast and coffee in the morning when the King of Bohemia rushed into the room.	その晩私はベーカー街に泊まり、翌朝、私たちがトーストとコーヒーに取り掛かっているところへボヘミア王が部屋に駆け込んできた。
"You have really got it!"	「本当に手に入れたんですか？」
he cried, grasping Sherlock Holmes by either shoulder and looking eagerly into his face.	と彼は叫び、シャーロック・ホームズの両肩をつかんでその顔を夢中になってのぞき込んだ。
"Not yet."	「まだです。」
"But you have hopes?"	「でも望みはあるんですね？」
"I have hopes."	「期待しています。」
"Then, come.	「それなら、さあ。
I am all impatience to be gone."	早く行きたくてたまらないんです。」
"We must have a cab."	「辻馬車をつかまえなければ。」
"No, my brougham is waiting."	「いや、私のブルームを待たせてあります。」
"Then that will simplify matters."	「それは事が楽になりますね。」
We descended and started off once more for Briony Lodge.	私たちは下に下り、再度ブライオニ・ロッジへ向け出発した。
"Irene Adler is married,"	「アイリーン・アドラーは結婚しました」
remarked Holmes.	とホームズは言った。
"Married!	「結婚した！
When?"	いつです？」
"Yesterday."	「昨日です。」
"But to whom?"	「しかし誰と？」
"To an English lawyer named Norton."	「ノートンという名のイギリス人の弁護士です。」
"But she could not love him."	「しかし彼女がその男を愛するはずがない。」
"I am in hopes that she does."	「僕はそこに期待しています。」
"And why in hopes?"	「なぜ期待を？」
"Because it would spare your Majesty all fear of future annoyance.	「陛下が将来厄介なことが起こる心配をまったくしないですむからです。
If the lady loves her husband, she does not love your Majesty.	あの婦人が夫を愛していれば、陛下を愛することはありません。
If she does not love your Majesty, there is no reason why she should interfere with your Majesty's plan."	陛下を愛していなければ、彼女が陛下の計画の邪魔をする理由はありません。」
"It is true.	「なるほど。
And yet--Well!	それでも−−ああ！
I wish she had been of my own station!	彼女が私と同じ身分だったら！
What a queen she would have made!"	どんな女王になったことか！」
He relapsed into a moody silence, which was not broken until we drew up in Serpentine Avenue.	彼はむっつりと黙り込んでしまい、それはサーペンタイン通りで止まるまで破られなかった。
The door of Briony Lodge was open, and an elderly woman stood upon the steps.	ブライオニ・ロッジの玄関の戸は開いていて年配の女性が戸口の段に立っていた。
She watched us with a sardonic eye as we stepped from the brougham.	彼女はブルームから踏み出す私たちをあざけるような目で見ていた。
"Mr. Sherlock Holmes, I believe?"	「シャーロック・ホームズさんですよね？」
said she.	と彼女は言った。
"I am Mr. Holmes,"	「僕はホームズです」
answered my companion, looking at her with a questioning and rather startled gaze.	と友は答え、いぶかしそうな、かなり驚いた目つきで彼女を見た。
"Indeed!	「まあ！
My mistress told me that you were likely to call.	奥様が私にあなたがおいでになりそうだとおっしゃったんです。
She left this morning with her husband by the 5:15 train from Charing Cross for the Continent."	奥様は今朝、旦那様と五時十五分の列車でチャリング・クロスから大陸へ出発されました。」
"What!"	「何と！」
Sherlock Holmes staggered back, white with chagrin and surprise.	シャーロック・ホームズはよろめくように後退し、悔しさと驚きに青ざめた。
"Do you mean that she has left England?"	「彼女がイギリスを離れたというんですか？」
"Never to return."	「二度と戻られません。」
"And the papers?"	「それで書類は？」
asked the King hoarsely.	と王はかすれ声で尋ねた。
"All is lost."	「もはやこれまでか。」
"We shall see."	「見てみよう。」
He pushed past the servant and rushed into the drawing-room, followed by the King and myself.	彼は女中を押しのけて客間に駆け込み、王と私が続いた。
The furniture was scattered about in every direction, with dismantled shelves and open drawers, as if the lady had hurriedly ransacked them before her flight.	家具はあちこちに散乱し、棚は取り外され、引き出しは開けられ、あの婦人が逃亡の前にあわててあさり回ったかのようだった。
Holmes rushed at the bell-pull, tore back a small sliding shutter, and, plunging in his hand, pulled out a photograph and a letter.	ホームズはベルの紐のところに駆け寄り、スライド式の小さな戸を引きのけ、そして、手を突っ込み、一枚の写真と一通の手紙を引き出した。
The photograph was of Irene Adler herself in evening dress, the letter was superscribed to "Sherlock Holmes, Esq. To be left till called for."	写真はイブニングドレスのアイリーン・アドラー自身で、手紙の上には『シャーロック・ホームズ様気付け』と書かれていた。
My friend tore it open and we all three read it together.	友がそれを破いてあけ、私たち三人一緒にそれを読んだ。
It was dated at midnight of the preceding night and ran in this way:	前日の真夜中の日付でこんなふうに書かれていた。
