THE DEAD	死者たち
It was strange that his mother had had no musical talent	不思議なことに彼の母親には音楽の才能がなかった。
though Aunt Kate used to call her the brains carrier of the Morkan family.	ケイト叔母は彼女をモーカン一家の頭脳の泉と呼んでいたけれど。
Both she and Julia had always seemed a little proud of their serious and matronly sister.	ケイトもジュリアも常々まじめで落ち着いた姉をちょっと誇りに思っているようだった。
Her photograph stood before the pierglass.	彼女の写真は大鏡の前に立っていた。
She held an open book on her knees and was pointing out something in it to Constantine who, dressed in a man-o-war suit, lay at her feet.	彼女はひざの上に開いた本をのせ、水兵の服を着て彼女の足もとに横になっているコンスタンタインに、その中の何かを指し示していた。
It was she who had chosen the name of her sons	息子たちの名前を選んだのは彼女だった。
for she was very sensible of the dignity of family life.	というのも彼女は家庭生活の品位をとても意識していたからだ。
Thanks to her, Constantine was now senior curate in Balbrigan and, thanks to her, Gabriel himself had taken his degree in the Royal University.	彼女のおかげでコンスタンタインは今、バルブリガンで主席助任司祭だし、彼女のおかげでゲイブリエル自身は王立大学で学位を取ったのだった。
A shadow passed over his face as he remembered her sullen opposition to his marriage.	彼女が彼の結婚に意地悪く反対したことを思い出した彼の顔に影がよぎった。
Some slighting phrases she had used still rankled in his memory;	彼女の使った軽侮するような言い回しが彼の記憶のうちでまだしこりとなっていた。
she had once spoken of Gretta as being country cute and that was not true of Gretta at all.	彼女は一度グレタのことをいなか育ちの抜けめない娘と言ったが、それは本当のグレタとは全く違っていた。
It was Gretta who had nursed her during all her last long illness in their house at Monkstown.	彼女の晩年の長患いの間ずっと彼らのマンクスタウンの家で彼女を看病したのはグレタだった。
He knew that Mary Jane must be near the end of her piece for she was playing again the opening melody with runs of scales after every bar and while he waited for the end the resentment died down in his heart.	メアリー・ジェーンが小節ごとに装飾音のある冒頭のメロディーを再び演奏していたので、彼女の曲も終わりに近づいたに違いないと彼は知り、その終わりを待つ間に彼の心のうちの憤りも次第に消えていった。
The piece ended with a trill of octaves in the treble and a final deep octave in the bass.	高音部のオクターブのトリル、そして最後に低音部の荘重なオクターブをもってその曲は終わった。
Great applause greeted Mary Jane as, blushing and rolling up her music nervously, she escaped from the room.	顔を赤らめ、神経質に楽譜を丸めながら部屋を逃げ出すメアリー・ジェーンを大変な拍手喝采が迎えた。
The most vigorous clapping came from the four young men in the doorway who had gone away to the refreshment-room at the beginning of the piece but had come back when the piano had stopped.	最も力強い拍手の音は、曲の始まりに軽食堂へ行ってしまったのにピアノが止まると戻ってきた戸口の四人の若い男たちから聞こえた。
Lancers were arranged.	ランサーズが準備された。
Gabriel found himself partnered with Miss Ivors.	ゲイブリエルのパートナーはミス・アイバースになった。
She was a frank-mannered talkative young lady, with a freckled face and prominent brown eyes.	彼女は率直な態度の話し好きな若い女性で、そばかすのある顔、出っ張った茶色の目をしていた。
She did not wear a low-cut bodice and the large brooch which was fixed in the front of her collar bore on it an Irish device and motto.	彼女は襟ぐりの深いボディスは身につけず、襟の前に留められた大きなブローチはアイルランドの象徴と教えを表していた。
When they had taken their places she said abruptly:	彼らが決められた位置に着いた時、彼女が唐突に言った。
"I have a crow to pluck with you."	「あなたに文句があるの。」
"With me?"	「僕に？」
said Gabriel.	とゲイブリエルが言った。
She nodded her head gravely.	彼女は大まじめにうなずいた。
"What is it?"	「何です？」
asked Gabriel, smiling at her solemn manner.	とゲイブリエルは彼女のまじめくさった様子に微笑んで尋ねた。
"Who is G. C.?"	「Ｇ・Ｃというのは誰？」
answered Miss Ivors, turning her eyes upon him.	とミス・アイバースは目を彼に向けて答えた。
Gabriel coloured and was about to knit his brows, as if he did not understand, when she said bluntly:	ゲイブリエルが顔を赤らめ、理解できないかのように眉をひそめようとした時、彼女が無遠慮に言った。
"O, innocent Amy!	「おお、しらばっくれて！
I have found out that you write for The Daily Express.	あなたがデイリーエクスプレスに寄稿しているのを見つけたんだから。
Now, aren't you ashamed of yourself?"	さあ、恥ずかしくない？」
"Why should I be ashamed of myself?"	「なぜ僕が恥ずかしがらなければならないのです？」
asked Gabriel, blinking his eyes and trying to smile.	とゲイブリエルは瞬きをし、微笑もうと努めながら尋ねた。
"Well, I'm ashamed of you,"	「あら、私はあなたが恥ずかしいわ」
said Miss Ivors frankly.	とミス・アイバースは率直に言った。
"To say you'd write for a paper like that.	「あんな新聞に文章を書くなんて。
I didn't think you were a West Briton."	あなたがウェストブリトンとは思わなかった。」
A look of perplexity appeared on Gabriel's face.	当惑の表情がゲイブリエルの顔に現れた。
It was true that he wrote a literary column every Wednesday in The Daily Express, for which he was paid fifteen shillings.	彼がデイリーエクスプレスに毎週水曜日、文学のコラムを書き、それで十五シリングの報酬を受けているのは本当だった。
But that did not make him a West Briton surely.	しかしまさかそれで彼がウェストブリトンということにはならない。
The books he received for review were almost more welcome than the paltry cheque.	論評のために彼が受け取る本はわずかな金額の小切手よりもありがたいくらいだった。
He loved to feel the covers and turn over the pages of newly printed books.	彼は印刷されたばかりの本の表紙に触れ、ページをめくるのが好きだった。
Nearly every day when his teaching in the college was ended he used to wander down the quays to the second-hand booksellers, to Hickey's on Bachelor's Walk, to Web's or Massey's on Aston's Quay, or to O'Clohissey's in the bystreet.	ほとんど毎日カレッジでの授業を終わらせると、彼はバチェラーズウォークのヒッキイや、アストンズキーのウェブやマッシーや、裏通りのオクロヒッシーなどの古本屋のある河岸を歩き回っていた。
He did not know how to meet her charge.	彼は彼女の非難にどう対処すべきかわからなかった。
He wanted to say that literature was above politics.	彼は文学は政治を超越していると言いたかった。
But they were friends of many years' standing and their careers had been parallel, first at the University and then as teachers:	しかし彼らは長年にわたる友人であり、最初に大学、それから教師として、と経歴もよく似ていているので、
he could not risk a grandiose phrase with her.	あえて彼女にえらそうな言葉を使うことはできなかった。
He continued blinking his eyes and trying to smile and murmured lamely that he saw nothing political in writing reviews of books.	彼は相変わらず瞬きをして微笑もうと努め、本の評論を書くことに政治的なものがあるとは思えないと小声で力なく言った。
When their turn to cross had come he was still perplexed and inattentive.	彼らがクロスする番になっても彼はまだ当惑してぼんやりしていた。
Miss Ivors promptly took his hand in a warm grasp and said in a soft friendly tone:	ミス・アイバースは機敏に彼の手を取って温かく握りしめ、穏やかな優しい調子で言った。
"Of course, I was only joking.	「もちろん、ただの冗談よ。
Come, we cross now."	さあ、私たちクロスするの、今よ。」
When they were together again she spoke of the University question and Gabriel felt more at ease.	彼らが再び一緒になった時、彼女は大学問題について話し、ゲイブリエルはほっとした。
A friend of hers had shown her his review of Browning's poems.	彼女の友人が彼女に彼のブラウニングの詩の評論を見せていた。
That was how she had found out the secret:	それで彼女は秘密を見つけ出したのだが
but she liked the review immensely.	彼女はその評論が非常に気に入った。
Then she said suddenly:	それから彼女は突然言った。
"O, Mr. Conroy, will you come for an excursion to the Aran Isles this summer?	「ああ、コンロイさん、今度の夏、アラン諸島へ旅行に行きません？
We're going to stay there a whole month.	私たちまる一月そこに泊まるつもりなの。
It will be splendid out in the Atlantic.	大西洋に出るのはすてきでしょう。
You ought to come.	あなたも来るべきだわ。
Mr. Clancy is coming, and Mr. Kilkelly and Kathleen Kearney.	クランシーさんも来るし、キルケリーさんとキャスリーン・カーニーも。
It would be splendid for Gretta too if she'd come.	もし来ればグレタにとってもすばらしいでしょうよ。
She's from Connacht, isn't she?"	彼女はコナハトの出身よね？」
"Her people are,"	「彼女の実家はね」
said Gabriel shortly.	とゲイブリエルは短く答えた。
"But you will come, won't you?"	「でもあなた行くでしょう？」
said Miss Ivors, laying her arm hand eagerly on his arm.	とミス・アイバースは、温かい手をしきりに彼の腕に置いては言った。
"The fact is,"	「実は、」
said Gabriel,	ゲイブリエルは言った、
"I have just arranged to go----"	「ちょうど出かける手はずをしたところで−−」
"Go where?"	「どこへ行くの？」
asked Miss Ivors.	ミス・アイバースは尋ねた。
"Well, you know, every year I go for a cycling tour with some fellows and so----"	「ええっとね、毎年僕は何人かの仲間と自転車旅行に行って、それで−−」
"But where?"	「でもどこへ？」
asked Miss Ivors.	とミス・アイバースは尋ねた。
"Well, we usually go to France or Belgium or perhaps Germany,"	「ええと、僕らはいつもフランスかベルギー、あるいはドイツに行く」
said Gabriel awkwardly.	とゲイブリエルはきまり悪そうに言った。
"And why do you go to France and Belgium,"	「それでなぜフランスやベルギーに行くわけ、」
said Miss Ivors,	ミス・アイバースは言った、
"instead of visiting your own land?"	「自分自身の国を訪れるかわりに？」
"Well,"	「ええと、」
said Gabriel,	ゲイブリエルは言った、
"it's partly to keep in touch with the languages and partly for a change."	「一部はそこの言語に触れるため、一部は変化を求めて。」
"And haven't you your own language to keep in touch with--	「それで自分自身の言語に触れなくてはだめでしょう−−
Irish?"	アイルランド語に？」
asked Miss Ivors.	とミス・アイバースは尋ねた。
"Well,"	「ええと、」
said Gabriel,	ゲイブリエルは言った、
"if it comes to that, you know, Irish is not my language."	「そういうことになるとしても、ね、アイルランド語は僕の言葉ではないから。」
Their neighbours had turned to listen to the cross- examination.	まわりの人たちが厳しい追及を聞こうと顔を向けていた。
Gabriel glanced right and left nervously and tried to keep his good humour under the ordeal which was making a blush invade his forehead.	ゲイブリエルは神経質に左右をちらっと見て、彼の額に赤みを押し広げている苦しい試練の下、上機嫌を保とうとしていた。
"And haven't you your own land to visit,"	「それに訪れなくていいの、」
continued Miss Ivors,	ミス・アイバースは続けた、
"that you know nothing of, your own people, and your own country?"	「あなたが何も知らないあなた自身の地を、あなた自身の兄弟を、あなた自身の祖国を？」
"0, to tell you the truth,"	「おう、実のところ、」
retorted Gabriel suddenly,	ゲイブリエルは不意に言い返した、
"I'm sick of my own country, sick of it!"	「僕は自分自身の国にうんざりしているんだ、うんざりなんだ！」
"Why?"	「なぜ？」
asked Miss Ivors.	ミス・アイバースが尋ねた。
Gabriel did not answer for his retort had heated him.	ゲイブリエルは反駁して興奮していたので答えなかった。
"Why?"	「なぜ？」
repeated Miss Ivors.	とミス・アイバースは繰り返した。
They had to go visiting together and, as he had not answered her, Miss Ivors said warmly:	彼らは共にほかの組に近づかなければならず、彼が答えなかったので、ミス・アイバースは熱くなって言った。
"Of course, you've no answer."	「もちろん、答えられないわね。」
Gabriel tried to cover his agitation by taking part in the dance with great energy.	ゲイブリエルは動揺を隠そうとして非常に精力的にダンスをこなした。
He avoided her eyes for he had seen a sour expression on her face.	彼は彼女の顔に不機嫌な表情を見たので彼女の目を避けた。
But when they met in the long chain he was surprised to feel his hand firmly pressed.	しかし彼らが長いチェインで接触したとき、彼は手を固く握られたのを感じて驚いた。
She looked at him from under her brows for a moment quizzically until he smiled.	彼女は彼が微笑むまでのちょっとの間、眉の下からいぶかしげに彼を眺めた。
Then, just as the chain was about to start again, she stood on tiptoe and whispered into his ear:	それから、ちょうどチェインが再び始まろうとしかけた時、彼女はつま先立ちで彼の耳にささやいた。
"West Briton!"	「ウェストブリトン！」
When the lancers were over Gabriel went away to a remote corner of the room where Freddy Malins' mother was sitting.	ランサーズが終わるとゲイブリエルはフレディ・マリンズの母親が座っている部屋の遠くの隅へと立ち去った。
She was a stout feeble old woman with white hair.	彼女は太ってからだの弱った白髪の老婦人だった。
Her voice had a catch in it like her son's and she stuttered slightly.	彼女の声には息子と同じように引っかかりがあり、また彼女は少しどもっていた。
She had been told that Freddy had come and that he was nearly all right.	彼女はフレディが来ていること、彼がほとんど大丈夫なことを聞かされていた。
Gabriel asked her whether she had had a good crossing.	ゲイブリエルは彼女に渡航は快適だったかと尋ねた。
She lived with her married daughter in Glasgow and came to Dublin on a visit once a year.	彼女は結婚した娘とグラスゴーに住んでいて、年に一度、ダブリンに来て滞在した。
She answered placidly that she had had a beautiful crossing and that the captain had been most attentive to her.	彼女は船旅はすばらしく船長は彼女にとても親切だったと穏やかに答えた。
She spoke also of the beautiful house her daughter kept in Glasgow, and of all the friends they had there.	彼女はまた、娘が守るグラスゴーのすばらしい家について、そしてそこにいる友達みんなについて話した。
While her tongue rambled on Gabriel tried to banish from his mind all memory of the unpleasant incident with Miss Ivors.	彼女が取りとめなくしゃべる間、ゲイブリエルはミス・アイバースとの不愉快な出来事の記憶をすべて心から追い払おうとした。
Of course the girl or woman, or whatever she was, was an enthusiast but there was a time for all things.	もちろん、あの娘というか女というか、何であるにせよ彼女は、熱狂家ではあるが、何事にも時というものがある。
Perhaps he ought not to have answered her like that.	おそらく彼はあんなふうに答えるべきではなかったのだろう。
But she had no right to call him a West Briton before people, even in joke.	しかし彼女にはたとえジョークにせよ、人前で彼をウェストブリトンと呼ぶ権利はない。
She had tried to make him ridiculous before people, heckling him and staring at him with her rabbit's eyes.	彼女はうるさく質問したりあのウサギの目でじろじろ見たりして、人前で彼を笑いものにしようとしたのだ。
He saw his wife making her way towards him through the waltzing couples.	彼は妻が、ワルツを踊るカップルたちの間を彼の方へ進んでくるのを見た。
When she reached him she said into his ear:	彼のところに着いた彼女は彼に耳打ちした。
"Gabriel.	「ゲイブリエル。
Aunt Kate wants to know won't you carve the goose as usual.	あなたがいつものようにガチョウを切り分けてくれるかケイト叔母さんが聞いてくれって。
Miss Daly will carve the ham and I'll do the pudding."	ミス・デイリーが豚のもも肉を切るし、私はプディングをやるわ。」
"All right,"	「オーケー」
said Gabriel.	とゲイブリエルは言った。
"She's sending in the younger ones first as soon as this waltz is over so that we'll have the table to ourselves."	「彼女がこのワルツが終わり次第まず若い人たちを部屋に入れて、それから私たち食事が取れるわ。」
"Were you dancing?"	「君は踊っていた？」
asked Gabriel.	とゲイブリエルは尋ねた。
"Of course I was.	「もちろん踊ったわ。
Didn't you see me?	見なかった？
What row had you with Molly Ivors?"	あなたはモリー・アイバースと何をけんかしたの？」
"No row.	「けんかなんかしないよ。
Why?	何で？
Did she say so?"	彼女がそう言った？」
"Something like that.	「そのようなことをね。
I'm trying to get that Mr. D'Arcy to sing.	私はあのダーシーさんに歌ってもらおうと思うの。
He's full of conceit, I think."	彼はすごいうぬぼれ屋のようね。」
"There was no row,"	「けんかなんかなかったよ、」
said Gabriel moodily,	ゲイブリエルはむっつりとして言った、
"only she wanted me to go for a trip to the west of Ireland and I said I wouldn't."	「ただ彼女が僕を西アイルランドへの旅行に誘ったんだが僕はその気はないと言ったんだ。」
His wife clasped her hands excitedly and gave a little jump.	彼女は興奮して手を握りしめ、ちょっとジャンプした。
"O, do go, Gabriel,"	「おお、ぜひ行きましょう、ゲイブリエル」
she cried.	と彼女は叫んだ。
"I'd love to see Galway again."	「またゴールウェイを見に行きたいわ。」
"You can go if you like,"	「よかったら君は行けばいい」
said Gabriel coldly.	とゲイブリエルは冷たく言った。
She looked at him for a moment, then turned to Mrs. Malins and said:	彼女はちょっとの間彼を見ていたが、それからマリンズ夫人の方を向いて言った。
"There's a nice husband for you, Mrs. Malins."	「素敵なご主人でしょう、マリンズさん。」
While she was threading her way back across the room Mrs. Malins, without adverting to the interruption, went on to tell Gabriel what beautiful places there were in Scotland and beautiful scenery.	彼女が部屋を縫うように横切り戻っていく間、マリンズ夫人は中断を意に介さず、スコットランドにはどんなに美しいところ、美しい風景があるかをゲイブリエルに話し続けていた。
Her son-in-law brought them every year to the lakes and they used to go fishing.	彼女の婿が毎年彼女たちを湖に連れていき、みんなでいつも釣りをしに行く。
Her son-in-law was a splendid fisher.	娘婿は釣りの名人だ。
One day he caught a beautiful big fish and the man in the hotel cooked it for their dinner.	いつか彼はすばらしい大きな大きな魚を捕まえ、ホテルの人がそれをディナーに料理してくれた。
Gabriel hardly heard what she said.	ゲイブリエルは彼女が言ったことをほとんど聞いていなかった。
Now that supper was coming near he began to think again about his speech and about the quotation.	今や夜食が近づいたので、彼は再びスピーチのことを、あの引用のことを考え始めた。
When he saw Freddy Malins coming across the room to visit his mother Gabriel left the chair free for him and retired into the embrasure of the window.	フレディ・マリンズが母親に挨拶するために部屋を横切ってくるのを見てゲイブリエルは彼のために椅子をあけ、窓のくぼみのところに退いた。
The room had already cleared and from the back room came the clatter of plates and knives.	部屋は既にがらんとして、奥の部屋からは皿やナイフのガチャガチャ鳴る音が聞こえた。
Those who still remained in the drawing room seemed tired of dancing and were conversing quietly in little groups.	まだ客間に残っている人たちは踊り飽きたらしく、小人数に分かれて静かに談話を交わしていた。
Gabriel's warm trembling fingers tapped the cold pane of the window.	ゲイブリエルの熱く震える指は冷たい窓ガラスをコツコツ叩いた。
How cool it must be outside!	さぞかし外はひんやりするだろう！
How pleasant it would be to walk out alone, first along by the river and then through the park!	一人で外を歩いたらどんなに気持ちよかろう、まずは川沿いに、それから公園を通って！
The snow would be lying on the branches of the trees and forming a bright cap on the top of the Wellington Monument.	雪は木々の枝に積もり続け、ウェリントンの記念碑のてっぺんに輝く帽子を形作っているだろう。
How much more pleasant it would be there than at the supper-table!	夜食の席よりどんなにか気持ちよかろう！
He ran over the headings of his speech:	彼はスピーチの項目をざっと見直した。
Irish hospitality, sad memories, the Three Graces, Paris, the quotation from Browning.	アイルランド人の親切なもてなし、悲しい思い出、三美神、パリス、ブラウニングからの引用。
He repeated to himself a phrase he had written in his review:	彼は評論に書いた言葉を胸のうちで繰り返した。
"One feels that one is listening to a thought- tormented music."	「人は思想の苦しむ調べに耳を傾ける自分を感じる。」
Miss Ivors had praised the review.	ミス・アイバースは評論を称賛した。
Was she sincere?	心からなのか？
Had she really any life of her own behind all her propagandism?	あの政治的宣伝主義にほかならぬものの後ろに彼女自身の生活が本当にあるのか？
There had never been any ill-feeling between them until that night.	その夜以前、彼らの間に悪感情は決してなかった。
It unnerved him to think that she would be at the supper-table, looking up at him while he spoke with her critical quizzing eyes.	彼女が夕食の席にいて、彼が話す間彼を批判的な詰問するような目で見上げることを考えると彼は怖気づいた。
Perhaps she would not be sorry to see him fail in his speech.	たぶん彼女は彼がスピーチを失敗するのを見ても気の毒には思わないだろう。
An idea came into his mind and gave him courage.	ある考えが心に浮かんで彼を勇気づけた。
He would say, alluding to Aunt Kate and Aunt Julia:	ケイト叔母とジュリア叔母をほのめかして彼は言うのだ、
"Ladies and Gentlemen, the generation which is now on the wane among us may have had its faults but for my part I think it had certain qualities of hospitality, of humour, of humanity, which the new and very serious and hypereducated generation that is growing up around us seems to me to lack."	「皆さん、今、私たちの間で衰えつつある世代に欠点はあったかもしれませんが、私の考えでは彼らは親切なもてなし、ユーモア、人間愛といった性質を持っており、それは私たちの周りに育ちつつある新しい、非常にまじめな、過剰な教育を受けた世代には欠けているように思えます。」
Very good:	とてもいい。
that was one for Miss Ivors.	ミス・アイバースへのあてつけだ。
What did he care that his aunts were only two ignorant old women?	彼の叔母たちがただの二人の無知な老婦人だとて彼が何をかまうものか。
A murmur in the room attracted his attention.	部屋のざわめきが彼の注意を引いた。
Mr. Browne was advancing from the door, gallantly escorting Aunt Julia, who leaned upon his arm, smiling and hanging her head.	ブラウン氏が、彼の腕に寄りかかり、微笑み、頭を垂れているジュリア叔母を丁重にエスコートしながらドアから進み出ていた。
An irregular musketry of applause escorted her also as far as the piano and then, as Mary Jane seated herself on the stool, and Aunt Julia, no longer smiling, half turned so as to pitch her voice fairly into the room, gradually ceased.	不規則な小銃射撃のような拍手喝采もまたピアノのところまで彼女に付き添い、その後それは、メアリー・ジェーンがスツールに着席し、そしてジュリア叔母がもはや微笑みを消して室内にはっきりとした声を響かせるために半ば向き直ると、次第にやんでいった。
Gabriel recognised the prelude.	ゲイブリエルは前奏曲に覚えがあった。
It was that of an old song of Aunt Julia's	ジュリア叔母のあの懐かしい歌
--Arrayed for the Bridal.	−−『花嫁の衣装を着て』だった。
Her voice, strong and clear in tone, attacked with great spirit the runs which embellish the air and though she sang very rapidly she did not miss even the smallest of the grace notes.	彼女の声は力強く、さえた音色で、すばらしい気迫でメロディーを装飾するルラードに取り掛かり、そして非常に速いテンポにもかかわらず、彼女は最も小さな装飾音さえ飛ばさずに歌った。
To follow the voice, without looking at the singer's face, was to feel and share the excitement of swift and secure flight.	歌い手の顔を見ることなく声を追うと、迅速で確かな飛翔の興奮を感じ、共有できた。
Gabriel applauded loudly with all the others at the close of the song and loud applause was borne in from the invisible supper-table.	ゲイブリエルは歌が終わった時、他の皆と共に大きな拍手喝采を送り、また大きな喝采は見えない夜食のテーブルからも聞こえてきた。
It sounded so genuine that a little colour struggled into Aunt Julia's face as she bent to replace in the music-stand the old leather-bound songbook that had her initials on the cover.	その響きは心からのものであり、表紙に彼女のイニシャルのある古い革張りの歌の本を譜面台に戻すためにかがんだジュリア叔母の顔にも赤らみがやっとかすかに浮かんだ。
Freddy Malins, who had listened with his head perched sideways to hear her better, was still applauding when everyone else had ceased and talking animatedly to his mother who nodded her head gravely and slowly in acquiescence.	フレディ・マリンズは、よく聞こえるように首を斜めにして耳を傾けていたが、他の皆がやめてもまだ拍手を続け、生き生きとして母親に話しかけていたが、彼女は逆らわず、重々しくゆっくりとうなずいていた。
At last, when he could clap no more, he stood up suddenly and hurried across the room to Aunt Julia whose hand he seized and held in both his hands, shaking it when words failed him or the catch in his voice proved too much for him.	とうとう、もう手を叩けないとなると彼は突然立ち上がって急いでジュリア叔母のところへと部屋を横切り、彼女の手をつかんで両手で握り、言葉が出ない、あるいは声が引っかかってどうにもならないとなると、それを揺すぶっていた。
"I was just telling my mother,"	「今も母に言っていたところです、」
he said,	彼は言った、
"I never heard you sing so well, never.	「こんなに上手に歌うのを聞いたことはありません、決して。
No, I never heard your voice so good as it is tonight.	いや、今夜のように見事なあなたの声を聞いたことがありません。
Now!	さあ！
Would you believe that now?	もう信じてください。
That's the truth.	本当です。
Upon my word and honour that's the truth.	名誉にかけて誓って本当です。
I never heard your voice sound so fresh and so...	僕は聞いたことがない、あなたの声がとても生き生きとして、そしてとても・・・
so clear and fresh, never."	とてもさえざえとして生き生きとして、決して。」
Aunt Julia smiled broadly and murmured something about compliments as she released her hand from his grasp.	ジュリア叔母は彼に握られた手を振りほどきながら、口を大きく開けて笑い、賛辞について何か小声で言った。
Mr. Browne extended his open hand towards her and said to those who were near him in the manner of a showman introducing a prodigy to an audience:	ブラウン氏は広げた手を彼女の方に伸ばし、近くにいる人たちに、聴衆に驚嘆すべきものを紹介する興行師のように言った。
"Miss Julia Morkan, my latest discovery!"	「ミス・ジュリア・モーカン、我が最新の発見です！」
He was laughing very heartily at this himself when Freddy Malins turned to him and said:	彼がこう言って自分で思う存分たっぷりと笑っていると、フレディ・マリンズが彼の方を向いて言った。
"Well, Browne, if you're serious you might make a worse discovery.	「ねえ、ブラウン、君が真剣としてもこれ以上の発見はするまいよ。
All I can say is I never heard her sing half so well as long as I am coming here.	僕に言えるのは、僕がここに来ている間、この半分も上手に彼女が歌うのを聞いたことがない、ということだけだ。
And that's the honest truth."	そしてそれは嘘偽りない真実だ。」
"Neither did I,"	「私だってそう思う」
said Mr. Browne.	とブラウン氏は言った。
"I think her voice has greatly improved."	「彼女の声は大いに良くなったと思うよ。」
Aunt Julia shrugged her shoulders and said with meek pride:	ジュリア叔母は肩をすくめ、おとなしい自尊心をのぞかせて言った。
"Thirty years ago I hadn't a bad voice as voices go."	「声ということでは三十年前は私、悪い声ではなかったわ。」
"I often told Julia,"	「よくジュリアに言ったものよ、」
said Aunt Kate emphatically,	ケイト叔母が力を込めて言った、
"that she was simply thrown away in that choir.	「あの聖歌隊にただ使い捨てにされるだけと。
But she never would be said by me."	でも彼女は決して私に耳を貸さなかった。」
She turned as if to appeal to the good sense of the others against a refractory child while Aunt Julia gazed in front of her, a vague smile of reminiscence playing on her face.	彼女は手に負えない子どもに対抗して他の人たちの良識に訴えるかのように振り向いたが、ジュリア叔母の方は前をじっと見つめ、追憶によるあいまいな微笑が顔にゆらめいていた。
"No,"	「そうよ、」
continued Aunt Kate,	ケイト叔母は続けた、
"she wouldn't be said or led by anyone, slaving there in that choir night and day, night and day.	「彼女は誰に言われたって聞かないで、昼も夜も、昼も夜も、あの聖歌隊で奴隷のように働いた。
Six o'clock on Christmas morning!	クリスマスの朝の六時！
And all for what?"	そしてみんな何のため？」
"Well, isn't it for the honour of God, Aunt Kate?"	「あら、それは神の栄光のためじゃない、ケイト叔母さん？」
asked Mary Jane, twisting round on the piano-stool and smiling.	とメアリー・ジェーンが、ピアノのスツールの上でからだをねじって微笑みながら尋ねた。
Aunt Kate turned fiercely on her niece and said:	ケイト叔母は猛烈な勢いで姪に向かって言った。
"I know all about the honour of God, Mary Jane, but I think it's not at all honourable for the pope to turn out the women out of the choirs that have slaved there all their lives and put little whipper-snappers of boys over their heads.	「神の栄光についてはよおく知ってますよ、メアリー・ジェーン、でも生涯奴隷のように働いた女たちを聖歌隊から追い出し、彼女たちをさしおいて小生意気な少年たちを据えるなんてちっとも教皇の名誉にならないと思うわ。
I suppose it is for the good of the Church if the pope does it.	教皇がそうするんだったらそれは教会のためなんでしょう。
But it's not just, Mary Jane, and it's not right."	でも公正じゃないわ、メアリー・ジェーン、そして正当じゃないわ。」
She had worked herself into a passion and would have continued in defence of her sister for it was a sore subject with her but Mary Jane, seeing that all the dancers had come back, intervened pacifically:	彼女はそのことで心を痛めていたので次第に激昂し、妹の擁護を続けるつもりでいたが、メアリー・ジェーンは踊り手が皆戻ってきたのを見て、平和的に介入した。
"Now, Aunt Kate, you're giving scandal to Mr. Browne who is of the other persuasion."	「ほら、ケイト叔母さん、宗派が違うブラウンさんの反感を買ってますよ。」
Aunt Kate turned to Mr. Browne, who was grinning at this allusion to his religion, and said hastily:	ケイト叔母は、この、彼の宗教への言及ににやついているブラウン氏の方を向いて急いで言った。
"O, I don't question the pope's being right.	「ああ、教皇の正しいことを疑うわけじゃないんですの。
I'm only a stupid old woman and I wouldn't presume to do such a thing.	私はただのばかな年寄り女ですし、そのようなことをしようとは考えてもいません。
But there's such a thing as common everyday politeness and gratitude.	でも普通の日常の礼儀とか感謝とかがあるじゃないですか。
And if I were in Julia's place I'd tell that Father Healey straight up to his face..."	だから私がジュリアの立場だったらあのヒーリー神父にまっすぐ面と向かって言って・・・」
"And besides, Aunt Kate,"	「その上にね、ケイト叔母さん、」
said Mary Jane,	メアリー・ジェーンが言った、
"we really are all hungry and when we are hungry we are all very quarrelsome."	「私たち本当にみんなお腹がすいているし、お腹がすいている時は私たちみんなすごくけんか腰になるわ。」
"And when we are thirsty we are also quarrelsome,"	「それとのどが渇いた時も私たちはやはりけんか腰ですな」
added Mr. Browne.	とブラウン氏が付け加えた。
"So that we had better go to supper,"	「だから私たち夜食にした方がいいわね、」
said Mary Jane,	メアリー・ジェーンは言った、
"and finish the discussion afterwards."	「そして討論はその後済ましましょう。」
On the landing outside the drawing-room Gabriel found his wife and Mary Jane trying to persuade Miss Ivors to stay for supper.	ゲイブリエルが客間の外の踊り場に出ると、妻とメアリー・ジェーンが夜食に残るようにとミス・アイバースを説得しようとしていた。
But Miss Ivors, who had put on her hat and was buttoning her cloak, would not stay.	しかしミス・アイバースは帽子をかぶり、マントのボタンをかけ、とどまろうとしなかった。
She did not feel in the least hungry and she had already overstayed her time.	彼女はちっともお腹がすいていないし、もう予定より長居してしまったのだった。
"But only for ten minutes, Molly,"	「でもほんの十分、モリー」
said Mrs. Conroy.	とコンロイ夫人は言った。
"That won't delay you."	「それで遅くなりはしないわ。」
"To take a pick itself,"	「つつくだけでも、」
said Mary Jane,	メアリー・ジェーンが言った、
"after all your dancing."	「あれだけ踊った後ですもの。」
"I really couldn't,"	「ほんとにだめなの」
said Miss Ivors.	とミス・アイバースは言った。
"I am afraid you didn't enjoy yourself at all,"	「少しも楽しく過ごせなかったのじゃないかしら」
said Mary Jane hopelessly.	とメアリー・ジェーンが絶望して言った。
"Ever so much, I assure you,"	「とっても楽しかったわ、ほんとよ、」
said Miss Ivors,	ミス・アイバースは言った、
"but you really must let me run off now."	「でも本当にもう帰らせて。」
"But how can you get home?"	「でもどうやって家まで帰り着くの？」
asked Mrs. Conroy.	とコンロイ夫人が尋ねた。
"O, it's only two steps up the quay."	「おお、河岸沿いをほんの一足だもの。」
