Discourse on the Method of Rightly Conducting the Reason, and Seeking the Truth in the Sciences	もろもろの学問分野で、正しく理詰めで真理を探究するための方法についての考察
since the former are often not less vivid and distinct than the latter?	夢の中のできごとは、しばしば起きているときのできごとに比べても、鮮明さや明瞭さの点で勝るとも劣らないではないか。
And though men of the highest genius study this question as long as they please, I do not believe that they will be able to give any reason which can be sufficient to remove this doubt, unless they presuppose the existence of God.	そして、最高の才能を持った人たちは好きなだけこの疑問を考えてくれればいいのだけれど、わたしはかれらが神の存在を前提としない限り、この疑問をぬぐい去れるだけの理由は一切提出できないだろうと信じている。
For, in the first place even the principle which I have already taken as a rule, viz., that all the things which we clearly and distinctly conceive are true, is certain only because God is or exists and because he is a Perfect Being, and because all that we possess is derived from him:	というのも、そもそもわたしがすでに規則として採用した原理、つまりわれわれがはっきりと疑問の余地なく受け入れられるものが真実だという原理も、神があるかまたは存在していて、そして神が完全な存在であって初めて確実なのであり、われわれが持っているものがすべて神から派生するものだからこそ確実なのだ。
whence it follows that our ideas or notions, which to the extent of their clearness and distinctness are real, and proceed from God, must to that extent be true.	そこから言えるのは、われわれの考えや概念は、それがはっきりしていて疑問の余地がなく真実であり、神から派生しているという限りにおいて真実なのだ、ということだ。
Accordingly, whereas we not infrequently have ideas or notions in which some falsity is contained, this can only be the case with such as are to some extent confused and obscure, and in this proceed from nothing (participate of negation), that is, exist in us thus confused because we are not wholly perfect.	同じように、われわれはしばしば、まちがいを含んだ思いつきや考えを抱くけれど、これはある程度までは混乱して不明瞭なものがあって初めてあり得るのであり、そしてそれが無から出てきたなら、 (participate of negation), つまりはわれわれの中にそのように混乱したものがあるのは、われわれが完全ではないからだ、ということになる。
And it is evident that it is not less repugnant that falsity or imperfection, in so far as it is imperfection, should proceed from God, than that truth or perfection should proceed from nothing.	そしてこうした誤りや不完全さは、不完全であるがゆえに、それが神様からでてきたと思うのは、真実や完全さが無から生じたと思うくらい気持ち悪い。
But if we did not know that all which we possess of real and true proceeds from a Perfect and Infinite Being, however clear and distinct our ideas might be, we should have no ground on that account for the assurance that they possessed the perfection of being true.	でも、われわれが持つ真実で本物なものがすべて完全で無限の存在から派生しているのだと知らなければ、われわれの思考がいかにはっきりと疑問の余地がないものであっても、それが真実であることの完全性を備えているということを保証してくれるような根拠というのはいっさいなくなってしまう。
But after the knowledge of God and of the soul has rendered us certain of this rule, we can easily understand that the truth of the thoughts we experience when awake, ought not in the slightest degree to be called in question on account of the illusions of our dreams.	でも、神と魂の実在がわかってこの規則が確実となったからには、われわれは目を覚ましているときに経験する思考のほうが実在するものであり、夢の幻などを理由にみじんも疑うべきものではないのだ、ということは用意に理解される。
For if it happened that an individual, even when asleep, had some very distinct idea,	もしある個人が眠っているときにでも非常にはっきりした考えを持ったとしよう。
as, for example, if a geometer should discover some new demonstration,	たとえば幾何学者が夢の中で新しい証明を発見したとしよう。
the circumstance of his being asleep would not militate against its truth;	それでも、かれが眠っているという状況は、その証明の正しさを否定するものにはならない。
and as for the most ordinary error of our dreams, which consists in their representing to us various objects in the same way as our external senses, this is not prejudicial,	そしてわれわれの夢によく見られるまちがいというのは、外部に対する感覚と同じような形で、いろいろなものをわれわれに提示してしまうことからくるので、これは偏見ではない。
since it leads us very properly to suspect the truth of the ideas of sense;	むしろ、しごくまっとうに、われわれの感覚という概念を疑うことにつながるのだ。
for we are not infrequently deceived in the same manner when awake;	われわれは目を覚ましている時にも、同じようなかたちでだまされてしまうことが多いからだ。
as when persons in the jaundice see all objects yellow, or when the stars or bodies at a great distance appear to us much smaller than they are.	黄疸にかかった人間にはすべてが黄色かがって見えるし、星などずっと遠くにある物体は、実際よりもずっと小さく見えたりする。
For, in fine, whether awake or asleep, we ought never to allow ourselves to be persuaded of the truth of anything unless on the evidence of our reason.	結局のところ、寝ていようと起きていようと、理性の証拠に基づかない限り、何事も真実だと納得したりしてはいけないのだ。
And it must be noted that I say of our reason, and not of our imagination or of our senses:	そしていま、「理性」といったのであり、「想像力」とか「感覚」とかいったのではないことに注意してほしい。
thus, for example, although we very clearly see the sun, we ought not therefore to determine that it is only of the size which our sense of sight presents;	たとえば、太陽はとてもはっきり見えるけれど、だからといって、太陽が目に見える大きさでしかないと判断してはならない。
and we may very distinctly imagine the head of a lion joined to the body of a goat, without being therefore shut up to the conclusion that a chimaera exists;	ヤギの体にライオンの頭がくつっついたところを明瞭に想像できるからといって、そんなキマイラが存在するという結論を黙々と受け入れなければならないわけでもない。
for it is not a dictate of reason that what we thus see or imagine is in reality existent;	見たり想像したりするものが実際に存在するというのは、理性が告げるものではない。
but it plainly tells us that all our ideas or notions contain in them some truth;	それは単に、われわれの概念や発想にも同じように真実が多少は含まれている、ということを教えてくれているだけだからだ。
for otherwise it could not be that God, who is wholly perfect and veracious, should have placed them in us.	というのも、もし真実が含まれていないなら、全く完全で正直な神が、それをわれわれの中に置くはずがないからだ。
And because our reasonings are never so clear or so complete during sleep as when we are awake,	そしてわれわれの理由づけは、起きているときに比べて寝ているときには、あまり明瞭でも完全でもない。
although sometimes the acts of our imagination are then as lively and distinct, if not more so than in our waking moments,	想像力のほうは、起きているときと同じくらい、あるいはそれ以上に生き生きと明瞭だ。
reason further dictates that, since all our thoughts cannot be true because of our partial imperfection, those possessing truth must infallibly be found in the experience of our waking moments rather than in that of our dreams.	そこから理性が導き出す結論とはつまり、われわれの思考は、われわれの不完全さのせいですべてが真というわけではない以上、真理を含む思考というのは、夢を見ているときではなく、起きているときの経験の中に見つかるのはまちがいない、ということなのだ。
PART V	第 5 部
I would here willingly have proceeded to exhibit the whole chain of truths which I deduced from these primary but as with a view to this it would have been necessary now to treat of many questions in dispute among the earned, with whom I do not wish to be embroiled, I believe that it will be better for me to refrain from this exposition, and only mention in general what these truths are, that the more judicious may be able to determine whether a more special account of them would conduce to the public advantage.	ここで、こうした基本原則（primary）から導き出した一連の真理すべてを開陳したいところだが、そのためにはまず学識経験者の間で議論されている各種の質問を扱わなくてはならず、そういう人々に巻き込まれたくないので、ここでは真理の開陳は控えて、それがなんであるかを一般論として述べて、そしてそれを個別に詳述することが公共の利益にかなうかどうかについては、判断力のある人が決めてくれるのに任せたほうがいいだろう。
I have ever remained firm in my original resolution to suppose no other principle than that of which I have recently availed myself in demonstrating the existence of God and of the soul,	わたしはずっと、さっき神と魂の存在を証明したときに使ったまさにあの原理以外の何者をも想定しないというもともとの決意を、いっさい変えてはいない。
and to accept as true nothing that did not appear to me more clear and certain than the demonstrations of the geometers had formerly appeared;	そしてこれまで幾何学者たちがやってきたような証明と同じくらい明瞭で確実に思えないものは、どれも真実として認めなかった。
and yet I venture to state that not only have I found means to satisfy myself in a short time on all the principal difficulties which are usually treated of in philosophy,	それでもわたしは、哲学でふつう扱われる主要な問題すべてについて、ごく短期間のうちに自分の満足のいく答えを出す方法を見つけたと敢えて主張する。
but I have also observed certain laws established in nature by God in such a manner,	またそのようなやり方で、神が自然の中に確立したいくつかの法則も見つけた。
and of which he has impressed on our minds such notions, that after we have reflected sufficiently upon these, we cannot doubt that they are accurately observed in all that exists or takes place in the world and farther,	そうした概念を神がわれわれの精神に刻みつけ、このためそれについて十分に考えてみれば、それがこの世に存在するものや起こることすべての中に、厳密に観察されることもわかった。
by considering the concatenation of these laws, it appears to me that I have discovered many truths more useful and more important than all I had before learned, or even had expected to learn.	そしてさらにそうした法則の組み合わせを考えれば、それまで学習してきたことすべて、学習できると期待したことすべてよりも、もっと有用で重要な真理をたくさん見つけたのである。
But because I have essayed to expound the chief of these discoveries in a treatise which certain considerations prevent me from publishing, I cannot make the results known more conveniently than by here giving a summary of the contents of this treatise.	しかしながら、こうした発見の主要部分は論文に書いたのだけれど、いろいろ考えるところあって、それを刊行できずにいるので、ここではその論文の中身をかいつまんで説明することで、その結果を手短に知ってもらうのがいちばんいいだろう。
It was my design to comprise in it all that, before I set myself to write it, I thought I knew of the nature of material objects.	それを書き始める前は、自分が物質界について知っていることをすべて書き記すつもりでいた。
But like the painters who, finding themselves unable to represent equally well on a plain surface all the different faces of a solid body, select one of the chief, on which alone they make the light fall, and throwing the rest into the shade, allow them to appear only in so far as they can be seen while looking at the principal one;	でも、たとえば画家は、固体のさまざまな面を、平面上に等しく表現するわけにはいかないのを悟って、主要な面を一つ選んでそこに光を当て、残りは影にして、主要な面を見るときに見える範囲だけを描くようにするけれど、
so, fearing lest I should not be able to compense in my discourse all that was in my mind, I resolved to expound singly, though at considerable length, my opinions regarding light;	それと同じようにわたしも、自分の著作で頭の中にあるものすべてを表現できないだろうと思ったので、まずは光に関する見解だけについて、かなりの分量をかけて述べることにした。
then to take the opportunity of adding something on the sun and the fixed stars,	そしてそれから、太陽と恒星についての話を追加した。
since light almost wholly proceeds from them;	というのも、ほとんどすべての光はこれらのものから発しているからだ。
on the heavens since they transmit it;	ついで、その光を伝える天について。
on the planets, comets, and earth, since they reflect it;	そしてその光を反射する惑星や彗星や地球について。
and particularly on all the bodies that are upon the earth,	そして、特に、地上にあるあらゆる物体について述べた。
since they are either colored, or transparent, or luminous;	それらは色がついているか、透明か、光を放つかのどれかだからだ。
and finally on man,	そして最後に人間についても書いた。
since he is the spectator of these objects.	人間はこうした物体を観察する存在だからだ。
Further, to enable me to cast this variety of subjects somewhat into the shade, and to express my judgment regarding them with greater freedom, without being necessitated to adopt or refute the opinions of the learned, I resolved to leave all the people here to their disputes, and to speak only of what would happen in a new world,	さらにこうしたさまざまな対象を、ある程度むこうに押しやって、有識者たちの意見を採用したり反論したりせずに、それについての自分の判断をもっと自由に表明できるようにするため、わたしはここでみんなを論争するに任せて、次のようなことだけを考えることにした。
if God were now to create somewhere in the imaginary spaces matter sufficient to compose one, and were to agitate variously and confusedly the different parts of this matter, so that there resulted a chaos as disordered as the poets ever feigned,	もし神がいま、どこか想像上の空間に、万物を生み出すに足るだけの物体を創造し、そのあちこちをいろいろな形ででたらめにかき混ぜ、詩人たちがよく言うような混沌とした無秩序なものができあがったとしたらどうだろう。
and after that did nothing more than lend his ordinary concurrence to nature, and allow her to act in accordance with the laws which he had established.	そしてその後で神は、通常の自然のふるまいに任せて、神のつくった自然法則通りにその物体が動くようにしたら、なにが起きるだろうか。
On this supposition, I, in the first place, described this matter, and essayed to represent it in such a manner that to my mind there can be nothing clearer and more intelligible, except what has been recently said regarding God and the soul;	この想定で、わたしはまずその物質を記述して、さっき神と魂について述べたことをのぞけば、これ以上わたしの精神にとって明瞭でわかりやすいことはないというくらいにそれを思い描いた。
for I even expressly supposed that it possessed none of those forms or qualities which are so debated in the schools, nor in general anything the knowledge of which is not so natural to our minds that no one can so much as imagine himself ignorant of it.	その物体がスコラ学派によっていろいろ議論されている形相や質料を何一つ持たないということもはっきりと想定し、どんな愚かな人でもそれを知らないとは想像もつかないくらい自然でない知識は、すべてないことにした。
Besides, I have pointed out what are the laws of nature;	さらに、自然法則は何かを指摘した。
and, with no other principle upon which to found my reasonings except the infinite perfection of God,	そして神が無限の完成度を持っていること以外は、なにごとも自分の理由づけの根拠とはしなかった。
I endeavored to demonstrate all those about which there could be any room for doubt, and to prove that they are such, that even if God had created more worlds, there could have been none in which these laws were not observed.	そして疑問の余地のあることはすべて証明しようとし、もし神が他の世界をつくったとしても、そういう自然法則の中でそうした世界に適用されないものなどあり得ないことを示そうとした。
Thereafter, I showed how the greatest part of the matter of this chaos must, in accordance with these laws, dispose and arrange itself in such a way as to present the appearance of heavens;	そこから、この混沌をつくる物質のかなりの部分が、こうした自然法則にしたがって分離し、配置を換えて、天のような形をどうしてもとってしまうことを示した。
how in the meantime some of its parts must compose an earth and some planets and comets, and others a sun and fixed stars.	そしてその一方では、そうした物質の一部が地球や惑星や彗星をつくり、その他の物質が太陽や恒星を作らざるを得ないかも示した。
And, making a digression at this stage on the subject of light, I expounded at considerable length what the nature of that light must be which is found in the sun and the stars, and how thence in an instant of time it traverses the immense spaces of the heavens, and how from the planets and comets it is reflected towards the earth.	そしてここで、光の話題でちょっと脇道にそれて、太陽や星で見られる光の性質とはどんなものか、それが天空の広大な空間を一瞬にして旅すること、そして惑星や彗星でそれが反射して地球に到達することなどについて、かなり長々と記述した。
To this I likewise added much respecting the substance, the situation, the motions, and all the different qualities of these heavens and stars;	さらにここに、こうした天空や星の材質、その状況、運動などさまざまな性質についても記述を加えた。
so that I thought I had said enough respecting them to show that there is nothing observable in the heavens or stars of our system that must not, or at least may not appear precisely alike in those of the system which I described.	こうすることで、天だろうと星だろうと、そこで見られることで、わたしが表現したシステムでもまったく同じようなものが観察されないもの、あるいは少なくとも、観察されないかもしれないものなど、なに一つないことをはっきり示したつもりだ。
I came next to speak of the earth in particular,	次に、地球だけについて説明をした。
and to show how, even though I had expressly supposed that God had given no weight to the matter of which it is composed, this should not prevent all its parts from tending exactly to its center;	そして、神様が地球のつくられ方について一顧だにしなかったとはっきり仮定したとしても、地球のパーツがその中心にずばり集まっていいはずなのだ。
how with water and air on its surface, the disposition of the heavens and heavenly bodies, more especially of the moon, must cause a flow and ebb,	水と空気がその表面にきて、天や天体のありかた、特に月の存在が潮の干満をつくりだす。
like in all its circumstances to that observed in our seas,	これはあらゆる状況で、この地球の海でも見られる現象だ。
as also a certain current both of water and air from east to west,	さらに水や空気の流れの一部が東から西へと向かうのも説明できる。
such as is likewise observed between the tropics;	これは、この地球でも回帰線の間で観察される。
how the mountains, seas, fountains, and rivers might naturally be formed in it, and the metals produced in the mines, and the plants grow in the fields and in general,	山や海や泉や川が、そこで自然に構成され、鉱山でとれる金属ができ植物が平原におおむね生えるのも説明できる。
how all the bodies which are commonly denominated mixed or composite might be generated	ふつうに名前のついている物体が、混合体としてであれ複合体としてであれ生じる仕組みも説明できる。
and, among other things in the discoveries alluded to inasmuch as besides the stars, I knew nothing except fire which produces light, I spared no pains to set forth all that pertains to its nature,	そして発見したことはいろいろあったけれど、星以外では光を発するものは炎しか知らないので、炎の性質に関わるものすべてを明らかにしようと、わたしは努力を惜しまなかった。
-- the manner of its production and support, and to explain how heat is sometimes found without light, and light without heat;	火をつくってそれを保つにはどうしたらいいか、そして光なしに熱が生み出されることがあるのはどうしてか、あるいは熱なしに光が出てくるのはなぜか。
to show how it can induce various colors upon different bodies and other diverse qualities;	それが他の物体にさまざまな色を生じさせられることなど、さまざまな性質を示した。
how it reduces some to a liquid state and hardens others;	火があるものは液体化してしまい、あるものは堅くすること、
how it can consume almost all bodies, or convert them into ashes and smoke;	ほとんどあらゆる者を燃やし、それを灰と煙に変えてしまえること。
and finally, how from these ashes, by the mere intensity of its action, it forms glass:	そして最後に、こうした灰から、炎のふるまいをさらに強めることで、ガラスがつくられることも示した。
for as this transmutation of ashes into glass appeared to me as wonderful as any other in nature, I took a special pleasure in describing it.	灰がガラスに変わるというのは、自然のどんな現象よりもすばらしく思えたので、これについて書くのは特に楽しかった。
I was not, however, disposed, from these circumstances, to conclude that this world had been created in the manner I described;	でもこうしたことだけから、世界がわたしの説明したような形で創造されたのだと結論づける気はない。
for it is much more likely that God made it at the first such as it was to be.	神が、最初からいまあるような形で世界を作ったという方が、ずっとありそうだからだ。
But this is certain, and an opinion commonly received among theologians, that the action by which he now sustains it is the same with that by which he originally created it;	でも、神がいまの世界を維持するためのふるまいというのは、神がそれをもともと作ったときのふるまいと同じだというのは確実であり、これは神学者たちも一般に求めている見解だ。
so that even although he had from the beginning given it no other form than that of chaos, provided only he had established certain laws of nature, and had lent it his concurrence to enable it to act as it is wont to do, it may be believed, without discredit to the miracle of creation,	だから、神がはじめに世界に混沌という形しか与えず、そこにいくつか自然法則を与えてあとは物体がそれに従って動くに任せたとしても、創造の奇跡をおとしめることなしに次のように信じることはできる。
that, in this way alone, things purely material might, in course of time, have become such as we observe them at present;	つまりそのような形でも、純粋に物質的なものが時間を経るにつれて、いまわれわれが見ているようなものとなることは可能だ、ということだ。
and their nature is much more easily conceived when they are beheld coming in this manner gradually into existence, than when they are only considered as produced at once in a finished and perfect state.	そして万物の性質は、それが一発で完成された完全な状態で作られたと想定するよりも、だんだんと現在のような存在になってきたと考えれば、もっとわかりやすくなるのである。
From the description of inanimate bodies and plants, I passed to animals, and particularly to man.	無生物や植物の記述から、わたしは動物、特に人間についての記述に進んだ。
But since I had not as yet sufficient knowledge to enable me to treat of these in the same manner as of the rest,	でも当時はまだ、こうしたものについて、これまでの対象と同じような扱いができるほど知識がなかった。
that is to say, by deducing effects from their causes, and by showing from what elements and in what manner nature must produce them,	つまり、結果から原因を導き出し、そしてどのような要素から、どのような形で自然がそれを生み出すかを示すだけの知識がなかった。
I remained satisfied with the supposition that God formed the body of man wholly like to one of ours, as well in the external shape of the members as in the internal conformation of the organs, of the same matter with that I had described,	だから神が、外見面でも内部器官の構成面でも、これまで説明してきたのと同じ物質を使ってわれわれのとまったく同じような人間の肉体を形成したものと想定することで満足していた。
and at first placed in it no rational soul, nor any other principle, in room of the vegetative or sensitive soul, beyond kindling in the heart one of those fires without light, such as I had already described,	そして神ははじめ、そこに理性ある魂も入れず、植物的あるいは感覚的な魂の代わりにそれ以外のいかなる行動原理もおかず、単に心臓に、これまで説明したような光の出ない炎をおいたのだと想定して満足していた。
and which I thought was not different from the heat in hay that has been heaped together before it is dry, or that which causes fermentation in new wines before they are run clear of the fruit.	その光の出ない炎というのは、乾燥前のわらを積み上げたときに出てくる熱や、新しいワインからブドウの実の成分を取り除いていないときに、発酵を引き起こす熱と同じものだろうと思った。
For, when I examined the kind of functions which might, as consequences of this supposition, exist in this body, I found precisely all those which may exist in us independently of all power of thinking, and consequently without being in any measure owing to the soul;	というのも、こういう想定の結果かどうかはさておき、肉体の中に存在している機能がどんなものかを検討してみると、あらゆる思考力とは無関係に存在するものばかりが見つかり、魂の働きに依存した機能はまったく見つからなかったのだ。
in other words, to that part of us which is distinct from the body, and of which it has been said above that the nature distinctively consists in thinking, functions in which the animals void of reason may be said wholly to resemble us;	つまり魂という、まさに思考という性質を持つ、肉体とは別の人間の部分に依存している機能はなく、したがって理性を持たない獣でも、われわれとまったく同じといっていい機能を持っている。
but among which I could not discover any of those that, as dependent on thought alone, belong to us as men, while, on the other hand, I did afterwards discover these as soon as I supposed God to have created a rational soul, and to have annexed it to this body in a particular manner which I described.	でも、人間たるわれわれに属しているものの中には、思考のみに依存している部分は見つけられなかったのだが、一方で神が合理的な魂を創り出して、それをわたしの説明したような形で肉体に併合したという仮定をおいてみると、そうした機能はすぐに見つかった。
But, in order to show how I there handled this matter, I mean here to give the explication of the motion of the heart and arteries,	だが、わたしがこうした事柄をどのように扱ったかを示すため、ここでは心臓と動脈の動きについて説明しよう。
which, as the first and most general motion observed in animals, will afford the means of readily determining what should be thought of all the rest.	これは動物でまず普遍的に見られる運動であり、それ以外のことすべてをどう考えるべきかを決める手段を与えてくれる。
And that there may be less difficulty in understanding what I am about to say on this subject, I advise those who are not versed in anatomy, before they commence the perusal of these observations, to take the trouble of getting dissected in their presence the heart of some large animal possessed of lungs (for this is throughout sufficiently like the human),	そしてこのテーマについてわたしが言おうとしていることを、もっと楽に理解するには、解剖学の心得のない人がこうした観察を行うに先立って、肺をもった大きな動物（これでそこそこ人間に近い存在だといえる）の心臓の解剖を実際に目の前でやってもらうことをおすすめする。
and to have shown to them its two ventricles or cavities:	そして、心臓の二つの空洞または空室を見せてもらうといい
in the first place, that in the right side, with which correspond two very ample tubes,	まずは心臓の右側にある空洞は、非常に太い2本の管に対応している。
viz., the hollow vein (vena cava), which is the principal receptacle of the blood, and the trunk of the tree, as it were, of which all the other veins in the body are branches;	その一つ目が大静脈 (vena cava)で、血液を受け取る最大の管であり、体中の静脈すべてを枝だと考えれば、いわば幹にあたるものだ。
and the arterial vein (vena arteriosa),	そしてもう一つがarterial vein (vena arteriosa) だ。
inappropriately so denominated, since it is in truth only an artery, which, taking its rise in the heart, is divided, after passing out from it, into many branches which presently disperse themselves all over the lungs;	これは名前が不適切で、実際にはただの動脈で、心臓から生じて、そこから出てくるとどんどん枝分かれして、それが肺の一面に広がっていく。
in the second place, the cavity in the left side, with which correspond in the same manner two canals in size equal to or larger than the preceding,	次に、左側の空洞は同じように、さっきと同じかそれ以上に大きい2本の通路に対応している。
viz., the venous artery (arteria venosa), likewise inappropriately thus designated,	一つがvenous artery (arteria venosa) で、これまた名前が不適切だ。
because it is simply a vein which comes from the lungs,	これは単に肺から戻ってくる静脈だからだ。
where it is divided into many branches, interlaced with those of the arterial vein, and those of the tube called the windpipe, through which the air we breathe enters;	肺では細かく枝わかれして、動脈からの血管や、われわれの呼吸する空気が通る、気管と呼ばれる管と絡み合っている。
and the great artery which, issuing from the heart, sends its branches all over the body.	そしいてもう1本が大動脈で、心臓から出て全身にその枝を送り込んでいる。
I should wish also that such persons were carefully shown the eleven pellicles which, like so many small valves, open and shut the four orifices that are in these two cavities,	また、こうした2つの空洞につながっている4つの開口部を開いたり閉じたりする、小さなバルブ上の弁が11枚あるから、それもきちんと見せてもらうようにしてほしい。
viz., three at the entrance of the hollow veins	大静脈の入り口には3枚ある。
where they are disposed in such a manner as by no means to prevent the blood which it contains from flowing into the right ventricle of the heart, and yet exactly to prevent its flowing out;	これは大静脈の中にある血が、心臓の右側の空室に入ってくるのはまったく止めない一方で、それが出ていくのはきちんと止めるようにできてる。
three at the entrance to the arterial vein, which, arranged in a manner exactly the opposite of the former,	またarterial vein (肺動脈）の入り口にも3枚あって、大静脈の場合とは正反対についている。
readily permit the blood contained in this cavity to pass into the lungs, but hinder that contained in the lungs from returning to this cavity;	この空室の中の血液が肺のほうに向かうのは許すけれど、でも肺の方から心室に戻ってくるのは防ぐわけだ。
and, in like manner, two others at the mouth of the venous artery,	同じように、肺からの血を心臓の左心室に送り込むvenous artery（肺静脈）の入り口にも弁が2つある。
which allow the blood from the lungs to flow into the left cavity of the heart, but preclude its return;	血が入ってくるのは許すが、戻るのは許さない。
and three at the mouth of the great artery,	そして大動脈の入り口にも3つある。
which suffer the blood to flow from the heart, but prevent its reflux.	こちらは血が流れ出すのは認めるけれど、逆流は許さない。
Nor do we need to seek any other reason for the number of these pellicles beyond this	弁の数がそれぞれちがっている理由も、あえて考えるまでもないだろう。
that the orifice of the venous artery being of an oval shape from the nature of its situation, can be adequately closed with two, whereas the others being round are more conveniently closed with three.	venous artery（肺静脈）の開口部は、その役割の性質から楕円形になっているので、弁が2つできちんと閉じられるのだが、それ以外の開口部は円形なので、3つあったほうが閉じやすいのだ。
Besides, I wish such persons to observe that the grand artery and the arterial vein are of much harder and firmer texture than the venous artery and the hollow vein;	あと、大動脈とarterial vein（肺動脈）が、venous artery（肺静脈）や大静脈よりもずっとしっかりとして高密な材質からできているのも見てほしい。
and that the two last expand before entering the heart, and there form, as it were, two pouches denominated the auricles of the heart, which are composed of a substance similar to that of the heart itself;	そして後二者が、心臓に入る前に広がって、心耳と呼ばれる2つの袋のようになっていて、それが心臓そのものと似た物質でできていることを見てほしいと思う。
and that there is always more warmth in the heart than in any other part of the body	さらに心臓は全身のなかで一番熱いことも知っておこう
- and finally, that this heat is capable of causing any drop of blood that passes into the cavities rapidly to expand and dilate,	――この熱のおかげで、心臓の空洞部に入ってくる血液はすべてふくれて膨張するわけだ。
just as all liquors do when allowed to fall drop by drop into a highly heated vessel.	ちょうど高熱の容器に酒を一滴ずつたらしたときに、それがふくれて膨張するのと同じことだ。
For, after these things, it is not necessary for me to say anything more with a view to explain the motion of the heart,	これだけ言えば、わたしが心臓の動きについてこれ以上の説明をする必要もないだろう。
except that when its cavities are not full of blood, into these the blood of necessity flows,	心臓の空洞部が血で満たされていないと、必要な血液がそこに流れ込むのだ
-- from the hollow vein into the right, and from the venous artery into the left;	――大静脈から心臓の右へ、そしてvenous artery（肺静脈）から左へ。
because these two vessels are always full of blood, and their orifices, which are turned towards the heart, cannot then be closed.	そしてこの二つの血管はいつも血でいっぱいであり、心臓部へと向けられたその開口部は閉じることができない。
But as soon as two drops of blood have thus passed,	しかしそこを血が二滴通ってくる。
one into each of the cavities, these drops which cannot but be very large,	（つまり左右の心臓の空洞にそれぞれ一つずつ）、こうした血液の滴はとても大きなものであろう。
because the orifices through which they pass are wide, and the vessels from which they come full of blood,	それが通ってくる開口部がとても広いからで、さらにそれがやってくる血管は、血でいっぱいだからだ。
are immediately rarefied, and dilated by the heat they meet with.	するとその心臓に入ってきた血は、そこで出会う熱ですぐに希薄化されて、膨張するわけだ
In this way they cause the whole heart to expand, and at the same time press home and shut the five small valves that are at the entrances of the two vessels from which they flow, and thus prevent any more blood from coming down into the heart,	こうしてそれは心臓全体を拡大させ、そして同時に、こうした血管の入り口にある小さなバルブ5つを圧迫して閉じさせ、それ以上の血が心臓に入ってこないようにする。
and becoming more and more rarefied, they push open the six small valves that are in the orifices of the other two vessels, through which they pass out,	そしてどんどん希薄化するうちに、それは残り二つの血管にある小さなバルブ6つを押し開け、そこを通って出ていく。
causing in this way all the branches of the arterial vein and of the grand artery to expand almost simultaneously with the heart	これによって、arterial vein（肺動脈）と大動脈の枝が心臓とほぼ同時に拡張する。
which immediately thereafter begins to contract, as do also the arteries,	心臓はその直後に収縮をはじめ、動脈もいっしょに収縮する。
because the blood that has entered them has cooled,	そこに入ってきた血が冷えるからだ。
and the six small valves close, and the five of the hollow vein and of the venous artery open anew and allow a passage to other two drops of blood,	すると小さな6つのバルブが閉じて、大静脈と venous artery（肺静脈）の入り口のバルブが改めて開いて、血がもう二滴入ってくるのを許す。
which cause the heart and the arteries again to expand as before.	これでまた心臓と動脈がさっきのように膨張するわけだ。
And, because the blood which thus enters into the heart passes through these two pouches called auricles,	そして、このように心臓に入ってくる血は、心耳と呼ばれる袋をそれぞれ通ってくる。
it thence happens that their motion is the contrary of that of the heart,	そしてこの心耳の動きは心臓の動きと正反対になっている。
and that when it expands they contract.	心臓が膨張すると、心耳は収縮する。
But lest those who are ignorant of the force of mathematical demonstrations and who are not accustomed to distinguish true reasons from mere verisimilitudes, should venture. without examination, to deny what has been said, I wish it to be considered that the motion which I have now explained follows as necessarily from the very arrangement of the parts,	でも数学的な証明の力を知らない者たちや、本当の理由づけと、単なるもっともらしさとを見分けるのになれていない人たちが、よく検討もしないでこれまで述べてきたことを否定しようなどという気を起こさないように言っておくけれど、ここでいま説明した動きというのは、そのパーツの仕組みからまさに必然的に出てくるものなのだ。
which may be observed in the heart by the eye alone, and from the heat which may be felt with the fingers, and from the nature of the blood as learned from experience,	その配置は、実際の心臓を目で観察しなければわからないし、熱は指で触れてみなければわからないし、さらに血の性質は経験からわかる。
as does the motion of a clock from the power, the situation, and shape of its counterweights and wheels.	それは時計の動きが、おもりや歯車の動力や配置、形などから明らかに導かれるのと同じことだ。
But if it be asked how it happens that the blood in the veins, flowing in this way continually into the heart, is not exhausted, and why the arteries do not become too full, since all the blood which passes through the heart flows into them,	でも、どうして血管の中の血は、こうやって絶えず心臓に流れ込んでいるのになくならないんだろうか、そしてなぜ、その心臓を通って血が流れ込む動脈が満杯になってしまわないんだろうか。
I need only mention in reply what has been written by a physician 1 of England,	これに答えるには、イギリスのある医師が書いたものを示すだけですむ。
who has the honor of having broken the ice on this subject,	かれは、この問題について突破口を見出すという名誉をものにしている。
and of having been the first to teach that there are many small passages at the extremities of the arteries, through which the blood received by them from the heart passes into the small branches of the veins, whence it again returns to the heart;	動脈の先っぽにはさらにもっと小さな通路が続いていて、心臓から動脈に流れこんだ血は、血管の小さな枝に入っていって、そしてそれがまた心臓に戻ってくるのだ、ということを初めて教えたのがこのイギリス人だ。
