The Man Who Knew Too Much	知りすぎた男
"It is what you in the West used to call animal magnetism, but it is much more than that.	「西方では精神的磁力と呼ばれていましたが、それ以上のものです。
I had better not say how much more.	どれほどなのかは言わぬ方がよいでしょう。
As to setting about it, the usual method is to throw some susceptible person into a trance,	段取りですが、通常は暗示が効きやすい人を催眠状態にしておきます。
which serves as a sort of bridge or cord of communication, by which the force beyond can give him,	こうすることで一種のコミュニケーションのかけ橋とか電話線みたいな役目を果たします。
as it were, an electric shock, and awaken his higher senses.	それを越えて力が伝わると、いわば電気ショックみたいなもので、第六感が目覚めるのです。
It opens the sleeping eye of the mind."	眠れる心眼の開花というわけです」
"I'm suspectible,"	「私は暗視が効くんですよ」
said Fisher, either with simplicity or with a baffling irony.	無邪気なのか不可解な皮肉なのか、フィッシャーはそう言った。
"Why not open my mind's eye for me?	「私の心眼は開いてるんじゃないでしょうか？
My friend Harold March here will tell you I sometimes see things, even in the dark."	ここにいる友人のハロルド・マーチは、私の目が暗闇でも見えてるんじゃないかと言いますから」
"Nobody sees anything except in the dark,"	「暗闇の中では例外なく誰の目も見えませんよ」
said the magician.	魔術師は答えた。
Heavy clouds of sunset were closing round the wooden hut, enormous clouds, of which only the corners could be seen in the little window,	夕焼け雲が立ちこめているのが、小さな窓から少しだけ見えた。
like purple horns and tails,	紫色の角やしっぽのような形をしている。
almost as if some huge monsters were prowling round the place.	巨大な怪物があたりをうろついているみたいだった。
But the purple was already deepening to dark gray;	だが雲の色ももはや紫から濃紺に変わり、
it would soon be night.	夜が近づいていた。
"Do not light the lamp,"	「明かりはつけないで」
said the magus with quiet authority, arresting a movement in that direction.	術師は穏やかに命じて動きを止めさせ、言った。
"I told you before that things happen only in the dark."	「暗闇だからこそ起こるのだと申し上げたはずです」
How such a topsy-turvy scene ever came to be tolerated in the colonel's office, of all places, was afterward a puzzle in the memory of many, including the colonel.	かつて大佐の事務所であれどこであれ起こったことのない滅茶苦茶は、後になって大佐も含めた皆の記憶を混乱させていた。
They recalled it like a sort of nightmare, like something they could not control.	制御できない悪夢のように思い起こされる。
Perhaps there was really a magnetism about the mesmerist; perhaps there was even more magnetism about the man mesmerized.	それがおそらく催眠術師の磁力なのだろう、ますます術に引き込まれてゆく。
Anyhow, the man was being mesmerized, for Horne Fisher had collapsed into a chair with his long limbs loose and sprawling and his eyes staring at vacancy;	とにかく、術師は術をかけたわけであり、ホーン・フィッシャーは長い手足を放り出して椅子に崩れ落ち、目は虚空を見つめていた。
and the other man was mesmerizing him, making sweeping movements with his darkly draped arms as if with black wings.	術師の方は、黒衣に覆われた腕を黒い翼みたいに動かしている。
The colonel had passed the point of explosion, and he dimly realized that eccentric aristocrats are allowed their fling.	大佐の堪忍袋はとうに切れ、イカレた紳士どもが好き放題やってるんだと感じ始めた。
He comforted himself with the knowledge that he had already sent for the police, who would break up any such masquerade,	すでに警官を呼びにやっていたのが慰めで、彼らがこんなインチキをぶちこわしてくれるだろう。
and with lighting a cigar,	大佐はたばこに火をつけた。
the red end of which, in the gathering darkness, glowed with protest.	赤い先端が、漆黒の中でひとり燃えていた。
"Yes, I see pockets,"	「はい、ポケットが見えます」
the man in the trance was saying.	催眠状態の男が言った。
"I see many pockets, but they are all empty.	「ポケットはすべて空っぽです。
No;	いえ、
I see one pocket that is not empty."	空じゃないのが一つあります」
There was a faint stir in the stillness, and the magician said,	かすかなざわめきの中、魔術師は尋ねた。
"Can you see what is in the pocket?"	「ポケットに何が入っているかわかりますか？」
"Yes,"	「ええ。
"there are two bright things.	光るものが二つ。
I think they are two bits of steel.	鉄くずだと思います。
One of the pieces of steel is bent	ひとつは曲がってます。
or crooked."	歪んでるのかもしれない」
"Have they been used in the removal of the relic from downstairs?"	「それは階下から聖遺物を動かすのに使ったものですか？」
"Yes."	「はい」
There was another pause	再び沈黙。
and the inquirer added,	探偵はさらに尋ねた。
"Do you see anything of the relic itself?"	「遺物そのものについて何か見えますか？」
"I see something shining on the floor,	「床で何かが光っています。
like the shadow or the ghost of it.	影か幻のように。
It is over there in the corner beyond the desk."	机の向こうの隅にあります」
There was a movement of men turning and then a sudden stillness, as of their stiffening,	皆は向きを変え、息をのんだ。
for over in the corner on the wooden floor there was really a round spot of pale light.	木製の床の隅には、本当に白く光る丸い点があったのだ。
It was the only spot of light in the room.	部屋の中の唯一の光だ。
The cigar had gone out.	たばこは消えていた。
"It points the way,"	「これが示された道です」
came the voice of the oracle.	師の声がした。
"The spirits are pointing the way to penitence,	「霊魂は悔悛の道を指し示しています。
and urging the thief to restitution.	盗人《ぬすびと》に返却を諭しています。
I can see nothing more."	それ以上はわかりません」
His voice trailed off into a silence that lasted solidly for many minutes,	声は次第に小さくなり、しばらく静寂が続いた。
like the long silence below when the theft had been committed.	盗まれた時と同じ長い静寂だった。
Then it was broken by the ring of metal on the floor,	床に金属音が響き、静寂が破られた。
and the sound of something spinning and falling like a tossed halfpenny.	放り投げた小銭が落ちてくるくる回っているような音だった。
"Light the lamp!"	「明かりをつけて！」
cried Fisher	フィッシャーが叫んだ。
in a loud and even jovial voice, leaping to his feet with far less languor than usual.	声は陽気で、立ち上がる様子もいつもより元気に見える。
"I must be going now,	「もう行かなければ。
but I should like to see it before I go.	でも行く前に見たい。
Why, I came on purpose to see it."	だってそれを見に来たんですから」
The lamp was lit, and he did see it, for St. Paul's Penny was lying on the floor at his feet.	明かりが点き、聖パウロの白銅貨が足下に落ちているのが見えた。
"Oh, as for that,"	「ああ、そのことなら」
explained Fisher, when he was entertaining March and Twyford at lunch about a month later,	一と月後、マーチとトワイフォードを昼食に招いたフィッシャーが説明した。
"I merely wanted to play with the magician at his own game."	「私はただ魔術師のゲームに付き合っただけですよ」
"I thought you meant to catch him in his own trap,"	「墓穴を掘らせるってことかな」
said Twyford.	とトワイフォード。
"I can't make head or tail of anything yet, but to my mind he was always the suspect.	「私には未だにさっぱりわからないが、しかし彼が犯人だと思っていたんだが。
I don't think he was necessarily a thief in the vulgar sense.	必ずしも下世話な意味で泥棒だというんじゃない。
The police always seem to think that silver is stolen for the sake of silver, but a thing like that might well be stolen out of some religious mania.	警察は常に、銀貨は銀だからこそ盗まれると思っているようだが、銀貨みたいなものはおそらく、宗教マニアによって盗まれることが多いんだ。
A runaway monk turned mystic might well want it for some mystical purpose."	神秘主義者に転向した修道僧は、神秘的な目的のために欲しがったんだろう」
"No,"	「違います」
replied Fisher,	フィッシャーが答えた。
"the runaway monk is not a thief.	「元僧侶は泥棒ではありません。
At any rate he is not the thief.	少なくとも、貨幣を盗んではいません。
And he's not altogether a liar, either.	嘘も言いませんでした。
He said one true thing at least that night."	あの晩、少なくとも一つ真実を言ったのです」
"And what was that?"	「それは何です？」
inquired March.	マーチが尋ねた。
"He said it was all magnetism.	「すべては磁力だと。
As a matter of fact, it was done by means of a magnet."	実のところ、磁石が使われたんです」
Then, seeing they still looked puzzled, he added,	二人が戸惑ったように見つめるので、フィッシャーは続けた。
"It was that toy magnet belonging to your nephew, Mr. Twyford."	「甥御さんの持っていた、おもちゃの磁石のことですよ、トワイフォードさん」
"But I don't understand,"	「だけど、わからないな」
objected March.	マーチが反論した。
"If it was done with the schoolboy's magnet, I suppose it was done by the schoolboy."	「少年の磁石が原因ということは、少年がやったということでしょう」
"Well,"	「そうです」
replied Fisher, reflectively,	思案深げにフィッシャーは答えた。
"it rather depends which schoolboy."	「むしろ、少年というものが、というべきですね」
"What on earth do you mean?"	「どういうことです？」
"The soul of a schoolboy is a curious thing,"	「少年の心というものは、好奇心に満ちています」
Fisher continued, in a meditative manner.	考え込むようにフィッシャーは続けた。
"It can survive a great many things besides climbing out of a chimney.	「煙突をよじ登るだけじゃない、ほかにもたくさんのことをやってのけます。
A man can grow gray in great campaigns, and still have the soul of a schoolboy.	戦役で年老いた男にもまだ、少年の心はありました。
A man can return with a great reputation from India and be put in charge of a great public treasure, and still have the soul of a schoolboy, waiting to be awakened by an accident.	インドから凱旋後、国宝の担当となりましたが、少年の心はふとしたきっかけで呼び覚まされるのを待っていました。
And it is ten times more so when to the schoolboy you add the skeptic,	そこに懐疑論が加わることで子供っぽさは倍増されます。
who is generally a sort of stunted schoolboy.	いわゆるとっちゃんぼうやですね。
You said just now that things might be done by religious mania.	宗教マニアのことを言ってましたね。
Have you ever heard of irreligious mania?	非宗教マニアのことを聞いたことはありませんか？
I assure you it exists very violently, especially in men who like showing up magicians in India.	とても過激で、特にインド魔術を暴いている人たちだそうです。
But here the skeptic had the temptation of showing up a much more tremendous sham nearer home."	ところがこんな近くでインチキを暴くチャンスが訪れました」
A light came into Harold March's eyes as he suddenly saw, as if afar off, the wider implication of the suggestion.	ぼんやりと遠くにヒントを見出したように、ハロルド・マーチの目に光が宿った。
But Twyford was still wrestling with one problem at a time.	だがそのころトワイフォードの方は、まだ一つの問題と戦っていた。
"Do you really mean,"	「つまり
"that Colonel Morris took the relic?"	――モリス大佐が遺物を盗んだとおっしゃる？」
"He was the only person who could use the magnet,"	「磁石が使えたただ一人の人物です」
replied Fisher.	フィッシャーが答えた。
"In fact, your obliging nephew left him a number of things he could use.	「愛すべき甥御さんは、使えるものをたくさん置いていきました。
He had a ball of string, and an instrument for making a hole in the wooden floor	糸玉、木に穴を開ける道具
--I made a little play with that hole in the floor in my trance,	――催眠状態の私がちょっと利用させていただいたあの床の穴です。
by the way; with the lights left on below, it shone like a new shilling."	それはさておき、つけっぱなしの階下の明かりが、新品の銀貨のように輝いたのです」
Twyford suddenly bounded on his chair.	トワイフォードは突然椅子から飛び上がった。
"But in that case,"	「だがあのとき」
he cried, in a new and altered voice,	今までとはまったく違う調子で叫んだ。
"why then of course	「確か
-- You said a piece of steel--?"	――あなたは鉄くずだとおっしゃったのでは――？」
"I said there were two pieces of steel,"	「鉄くずが二つと言いました。
"The bent piece of steel was the boy's magnet.	曲がった鉄とは磁石のこと。
The other was the relic in the glass case."	もう一つは、ガラスケースの中の貨幣です」
"But that is silver,"	「だがあれは銀だ」
answered the archaeologist, in a voice now almost unrecognizable.	何とも言えぬ声色で考古学者は答えた。
"Oh,"	「ああ」
replied Fisher, soothingly,	なだめるようにフィッシャーが答えた。
"I dare say it was painted with silver a little."	「それはメッキでしょう」
There was a heavy silence, and at last Harold March said,	皆、無言だったが、ついにハロルド・マーチが口を開いた。
"But where is the real relic?"	「だけど、本物の貨幣はどこです？」
"Where it has been for five years,"	「ここ五年の間あったところです」
replied Horne Fisher,	ホーン・フィッシャーが答えた。
"in the possession of a mad millionaire named Vandam, in Nebraska.	「ネブラスカ州のヴァンダムという大億万長者が所有していました。
There was a playful little photograph about him in a society paper the other day,	先日新聞にふざけた写真が載りました。
mentioning his delusion, and saying he was always being taken in about relics."	彼の詐欺について触れられており、いつも贋物の遺物をつかませていたと書かれてあります」
Harold March frowned at the tablecloth; then, after an interval, he said:	ハロルド・マーチはしばらくのあいだテーブルクロスをにらんでから言った。
"I think I understand your notion of how the thing was actually done;	「実際にどのように行われたのかわかったつもりです。
according to that,	こうですよね。
Morris just made a hole and fished it up with a magnet at the end of a string.	モリスは穴を開け、ひもの先につけた磁石で釣り上げた。
Such a monkey trick looks like mere madness,	イカレた子供だましです。
but I suppose he was mad,	だけどある意味イカレてたんだろうな。
partly with the boredom of watching over what he felt was a fraud, though he couldn't prove it.	インチキだと思っていたものを監視するのに飽きたけれど、証明するすべがない。
Then came a chance to prove it,	そこに証明するチャンスが訪れた。
to himself at least,	少なくとも自己満足のね。
and he had what he called 'fun' with it.	『楽しみ』と呼んでいたものを手に入れたわけです。
Yes, I think I see a lot of details now.	今は細かいところまでわかります。
But it's just the whole thing that knocks me.	だけど驚きだな。
How did it all come to be like that?"	どうしてそんなことになったんです？」
Fisher was looking at him with level lids and an immovable manner.	フィッシャーは身動きひとつせずにマーチをじっと見つめた。
"Every precaution was taken,"	「あらゆる警戒が敷かれていました。
"The Duke carried the relic on his own person, and locked it up in the case with his own hands."	そして大公自ら遺物を運び、自らケースに錠をかけたのです」
March was silent;	マーチは何も言わなかったが、
but Twyford stammered.	トワイフォードがどもりながら言った。
"I don't understand you.	「わかりませんね。
You give me the creeps.	あなたは材料を与えてくれました。
Why don't you speak plainer?"	なぜもっとはっきり言わないんです？」
"If I spoke plainer you would understand me less,"	「もっとはっきり言ったなら、もっとわからなくなるでしょう」
"All the same I should try,"	「それでも試してみるべきですね」
said March, still without lifting his head.	顔を上げずにマーチが言った。
"Oh, very well,"	「ええ、いいでしょう」
replied Fisher, with a sigh;	フィッシャーはため息をついた。
"the plain truth is, of course, that it's a bad business.	「はっきりとした真実とは、不正取引です。
Everybody knows it's a bad business who knows anything about it.	誰もがそれが不正だと知っています。
But it's always happening,	だが常に起こってしまう。
and in one way one can hardly blame them.	ある意味では責められません。
They get stuck on to a foreign princess that's as stiff as a Dutch doll,	その人は木の人形みたいに冷たい外国のお姫様に惚れたのです。
and they have their fling.	火遊びでした。
In this case it was a pretty big fling."	だがそれは、かなり大きな火事でした」
The face of the Rev. Thomas Twyford certainly suggested that he was a little out of his depth in the seas of truth, but as the other went on speaking vaguely the old gentleman's features sharpened and set.	トーマス・トワイフォード牧師の顔からは、真実をあまり理解していないらしいことが察せられたが、フィッシャーは特定の老紳士の人物像を曖昧に話し続けた。
"If it were some decent morganatic affair I wouldn't say;	「それが慎み深い身分違いの恋なら、何も言いません。
but he must have been a fool to throw away thousands on a woman like that.	しかしそうした女性に何千と費やす馬鹿な男だったのです。
At the end it was sheer blackmail;	詰まるところは、完全な搾取です。
but it's something that the old ass didn't get it out of the taxpayers.	だが愚かな老人は国民からではなく、
He could only get it out of the Yank,	アメリカ人から手に入れたのです。
and there you are."	そういうことですよ」
The Rev. Thomas Twyford had risen to his feet.	トーマス・トワイフォード牧師は立ち上がった。
"Well, I'm glad my nephew had nothing to do with it,"	「では、ありがたいことに甥は何の関係もなかったんですね。
"And if that's what the world is like, I hope he will never have anything to do with it."	それが世間というものならば、甥には何一つ関わってほしくありませんな」
"I hope not,"	「私もそう思います」
answered Horne Fisher.	ホーン・フィッシャーが答えた。
"No one knows so well as I do that one can have far too much to do with it."	「誰もが深く関わりかねない、でも誰も私ほど知らないんです」
For Summers Minor had indeed nothing to do with it;	サマーズ・マイナーは実際に何の関係もなかった。
and it is part of his higher significance that he has really nothing to do with the story, or with any such stories.	この物語であれ、どの物語であれ、重要な役割を占めてはいない。
The boy went like a bullet through the tangle of this tale of crooked politics and crazy mockery and came out on the other side, pursuing his own unspoiled purposes.	少年は、歪んだ政治とイカレたインチキの大混乱から弾丸のように飛び出すと向こうに抜け出し、当初の目的を追っていたのだ。
From the top of the chimney he climbed he had caught sight of a new omnibus, whose color and name he had never known,	登った煙突のてっぺんから、見たことのない色と名前のバスを見つけた。
as a naturalist might see a new bird or a botanist a new flower.	あたかも博物学者が新種の鳥を、植物学者が新種の花を見つけるように。
And he had been sufficiently enraptured in rushing after it, and riding away upon that fairy ship.	その夢の船の後を追いかけ乗り込んで、うっとりしていたのである。
