THE STORY OF THE YEAR	「年」の話
and upon the fallen, yellow leaves, lay the queen of the year, looking up with mild eyes at a gleaming star,	「年」の王妃は、おちつもつた黄色い葉に身をよせかけてしづかな目を上げて、かゞやく星を見てゐます。
and her husband stood by her.	王はそのそばに立つてゐました。
A gust of wind swept through the foliage,	風がぴゆうと木の葉の間をふきわたりました。
and the leaves fell in a shower.	木の葉は又、にはか雨のように、ふりおちました。
The summer queen was gone,	と、思ふと、王妃の姿はもうかききえてゐました。
but a butterfly, the last of the year, flew through the cold air.	たゞ、一羽の蝶が、──のこつてゐた最後の蝶が、つめたい空気の中を、よろ／＼と飛んでゐるだけです。
Damp fogs came,	じめ／＼した霧が出て来ました。
icy winds blew,	氷をふくんだような風が吹き出しました。
and the long, dark nights of winter approached.	そして、長い、くらい、夜が、足早に近づいて来ました。
The ruler of the year appeared with hair white as snow,	「年」の王は、ふさ毛が雪のように真白になつて、立つてゐます。
but he knew it not; he thought snow-flakes falling from the sky covered his head,	王はじぶんのその白い髪の毛が雪のように光るといふことには気がつかず、雲の中から雪片がおちてゐるのだとばかり思つてゐました。
as they decked the green fields with a thin, white covering of snow.	間もなく、うすい雪のおほひが、野はら一面にひろがつて来ました。
And then the church bells rang out for Christmas time.	やがて教会堂の鐘は間近くくりすますをむかへるために鳴りひゞきました。
"The bells are ringing for the new-born year,"	「あの鐘たちは、生れ出でるものゝために鳴るのだ。
"soon will a new ruler and his bride be born,	間もなく、あらたな王と王妃とが生れ出る。
and. I shall go to rest with my wife	その上は、わしは、わしの王妃のあとを追つて、休息につく。
in yonder light-giving star."	かゞやく星の中へ休みにいくのだ。」
In the fresh, green fir-wood, where the snow lay all around, stood the angel of Christmas,	あを／＼した、まあたらしい色のもみの木の森の中に、くりすますの天使が立つてゐます。
and consecrated the young trees that were to adorn his feast.	天使は、間もなく、じぶんの祝祭を飾る、そのもみの木を聖めました。
"May there be joy in the rooms, and under the green boughs,"	「おゝ、その木の飾られる部屋に、その緑色の枝の下によろこびあれ」
said the old ruler of the year.	と、年の王は祈りをさゝげました。
In a few weeks he had become a very old man, with hair as white as snow.	数週間たちますと、王は、すつかり、よぼ／＼に老いはてゝ、雪のように、真つ白くなりました。
"My resting-time draws near;	「わしの休息のときがいよ／＼来た。
the young pair of the year will soon claim my crown and sceptre."	若い二人のものが、わしの王冠と笏とをうけとるのだ」
"But the night is still thine,"	すると天使は、
said the angel of Christmas,	「でも、まだ権力はあなたにある。
Let the snow lie warmly upon the tender seed.	雪に命じて、年わかい種の上を、あたゝかく、つゝませておくれ。
Learn to endure the thought that another is worshipped whilst thou art still lord.	あなたがまだ支配をしてゐる間に、ほかのものが、服従をうけるのを、たへこらえることを忘れないでおくれ。
Learn to endure being forgotten while yet thou livest.	あなたが生きてゐながら忘れられることをなげかないでおくれ。
The hour of thy freedom will come when Spring appears."	春が出て来れば、あなたは、すぐに休むことが出来る」
"And when will Spring come?"	「春はいつ来るのでせう」
asked Winter.	と、冬の王は聞きました。
"It will come when the stork returns."	「鴻の鳥がかへると来ます。」
And with white locks and snowy beard, cold, bent, and hoary, but strong as the wintry storm, and firm as the ice, old Winter sat on the snowdrift-covered hill, looking towards the south, where Winter had sat before, and gazed.	年とつた冬は、白いふさ毛、まつしろい髯をして、こゞえ、こゞみ、老いほうけながらも、雪あらしのごとくに強く、氷のごとくに固く意地をはつて、丘の上の、ふきよせられた雪の上に坐り、ぢいつと南の方を見つめてゐました。
The ice glittered, the snow crackled,	氷はさけ、雪はひゞわれました。
the skaters skimmed over the polished surface of the lakes;	氷すべりをする人たちは、すべ／＼した湖水の上を、そちこちと、かすめるように、飛んでゐます。
ravens and crows formed a pleasing contrast to the white ground,	大烏や鳥たちは、白い地上に群れて、くつきりと絵のように目だつてゐます。
and not a breath of wind stirred,	風は息一つもしません。
and in the still air old Winter clenched his fists,	そのしづかな空気の中に、年をとつた冬は、拳をにぎりかためて、がんばつてゐます。
and the ice lay fathoms deep between the lands.	岸と岸との間の氷は、何尋といふあつみに氷つてゐます。
Then came the sparrows again out of the town,	すると、又雀たちが町の方から飛んで来ました。
and asked,	そして、
"Who is that old man?"	「あすこにゐる、あのおぢいさんは、だれです」
The raven sat there still,	大烏も、ちようど、このまへと同じところにすわつてゐました。
or it might be his son,	それとも、もとの大烏の子かも分りません。
which is the same thing,	ともかく、もとの大烏と、そつくりそのまゝでした。
and he said to them,-	その大烏が答へました。
"It is Winter,	「あれは冬だ。
the old man of the former year;	『去年』のおぢいさんだよ。
he is not dead, as the calendar says,	でも、こよみが言つてるのとちがつて、まだ死んではゐない。
but he is guardian to the spring, which is coming."	今に来る春の護衛をしてゐるのだ。」
"When will Spring come?"	「いつ春は来るのでせう。
"for we shall have better times then,	春が来れば、わたしたちも、らく／＼とくらせます。
and a better rule.	すべてがもつとよくなつて来ます。
The old times are worth nothing."	このまゝでは何のねうちもありません。」
And in quiet thought old Winter looked at the leafless forest,	葉のおちつくした森のそばにゐる冬は、もく／＼と考へ入つてうなづきました。
where the graceful form and bends of each tree and branch could be seen;	森の木々は、しとやかな身恰好をして、枝をたれてゐます。
and while Winter slept, icy mists came from the clouds,	冬が眠つてゐる間に、氷つぽい霧が雪のように下りて来ました。
and the ruler dreamt of his youthful days and of his manhood,	冬の王は、その若かつたときのこと、男ざかりでゐたときのことを夢に見ました。
and in the morning dawn the whole forest glittered with hoar frost,	夜あけ方になりますと、森中は、きら／＼した白い霜にくるまつてゐました。
which the sun shook from the branches,	冬は、夏を夢みてゐたのでした。
- and this was the summer dream of Winter.	夜があけると、太陽は、その白い霜を、枝々から消しちらしました。
"When will Spring come?"	「春はいつ来るのだらう」
asked the sparrows.	と雀たちが聞きました。
"Spring!"	「おゝ春だ」
Again the echo sounded from the hills on which the snow lay.	と、まだ雪のつもつてゐる、方々の丘から、やまびこのような声がひゞきわたりました。
The sunshine became warmer,	太陽は、だん／＼あたゝかくさして来ます。
the snow melted,	雪はとけました。
and the birds twittered, "Spring is coming!"	鳥たちは、そろつて、春が来る、春が来る、と、さへづりました。
And high in the air flew the first stork,	すると、空をくゞつて、第一ばんの鴻の鳥が来ました。
and the second followed;	そのあとには第二の鴻の鳥がつづいてゐます。
a lovely child sat on the back of each,	おの／＼の背中には、かわいらしい小さな王子と王女とが乗つてゐます。
and they sank down on the open field, kissed the earth,	二人はその野へ下りて、大地へ頬ずりをしました。
and kissed the quiet old man;	それから、「年」のおぢいさんにも頬ずりをしました。
and, as the mist from the mountain top, he vanished away and disappeared.	おぢいさんは、雲のような霧につゝまれて、かききえてしまひました。
"This is all very fine, no doubt,"	「さあ、これでいゝ。
"and it is very beautiful;	何といふうつくしい景色だらう。
but it is not according to the calendar,	だが、これは、こよみにそぐつてはゐない。
therefore, it must be all wrong."	だから、さう、きちんとは、いつてゐない。」
