The Bolted Door	『閉ざされたドア』
his fat hands folded on his protuberant waistcoat, the last number of the Churchman at his elbow,	太った手は、ぶくぶく膨れ上がったチョッキに差しこまれ、『聖職者』の最新号が手元に置いてありました。
and near it, on a huge dish, a fat melon	そのすぐ横には、おおきな皿に、まん丸いメロン
-- the fattest melon I'd ever seen.	――これまで見たこともないほどよく実ったメロンがあったんです。
As I looked at it I pictured the ecstasy of contemplation from which I must have roused him,	それを見て、じいさんをその気にさせることができるにちがいない、と考えて、有頂天になりそうでした。
and congratulated myself on finding him in such a mood, since I had made up my mind to ask him a favour.	なにしろ頼み事をするつもりでしたので、運良くいい気分でいてくれて喜んでいたのです。
Then I noticed that his face,	そのとき、じいさんの表情に気がつきました。
instead of looking as calm as an eggshell, was distorted and whimpering	いつもの卵みたいにつるんとした顔が、歪んですすり泣いていたのです。
-- and without stopping to greet me he pointed passionately to the melon.	私が入っていっても泣きやむ様子もなく、度を失ったようにメロンを指さしました。
"'Look at it, look at it	『見てくれ、これを
-- did you ever see such a beauty?	……こんな美しいものを見たことがあるか？
Such firmness	こんなに実の詰まった、
-- roundness	こんなにもまるまるとした
-- such delicious smoothness to the touch?'	……こんなにも美味そうな、滑らかな手触りをしたものを』
It was as if he had said 'she' instead of 'it,' and when he put out his senile hand and touched the melon I positively had to look the other way.	“これ”という代わりに“この女”とでも言いたげな口調で、老いさらばえた手を伸ばしてメロンを撫で回すのを、むりやりそしらぬ顔をしていなければなりませんでした。
"Then he told me what had happened.	「それからじいさんは何が起こったか教えてくれました。
The Italian under-gardener, who had been specially recommended for the melon-houses	そのイタリア人は、メロン園のために特別に寄越された庭師でした。
-- though it was against my cousin's principles to employ a Papist -- had been assigned to the care of the monster:	カトリック教徒を雇うなんて、じいさんの主義には反していたんですが、そのお化けメロンの面倒を見るために、特別に契約したんです。
for it had revealed itself, early in its existence, as destined to become a monster, to surpass its plumpest, pulpiest sisters, carry off prizes at agricultural shows, and be photographed and celebrated in every gardening paper in the land.	メロンの化け物というのは、ごく早い時期から、ほかのどれよりも肉厚で汁気の多いものになる、品評会では賞をかっさらい、土地の園芸紙に写真と賛辞が載るものになる、ってことが分かるんですね。
The Italian had done well	イタリア人はよくやっていましたよ。
-- seemed to have a sense of responsibility.	責任感があったんでしょうな。
And that very morning he had been ordered to pick the melon,	とにかくその日の朝、メロンを選ぶよう命じられたんです。
which was to be shown next day at the county fair, and to bring it in for Mr. Lenman to gaze on its blonde virginity.	翌日の郡の農産物品評会に出品することになっていて、もぎたてのブロンド美人を、じいさんがじっくり愛でることができるように持ってこい、というわけです。
But in picking it, what had the damned scoundrelly Jesuit done but drop it	ところが採っている最中、このカトリック教徒がなんたることか、落としてしまった。
-- drop it crash on the sharp spout of a watering-pot, so that it received a deep gash in its firm pale rotundity, and was henceforth but a bruised, ruined, fallen melon?	じょうろの尖った注ぎ口の上に落としたもんだから、固くて青くて丸いメロンは深手を負って、台無しになり、文字通り地に落ちたメロンとなったんです。
"The old man's rage was fearful in its impotence	「じいさんは怒りのあまり、茫然自失していました。
-- he shook, spluttered and strangled with it.	ぶるぶる震えているし、しどろもどろだし、息も絶えだえ、という具合でしたね。
He had just had the Italian up and had sacked him on the spot,	ちょうとイタリア人を呼びつけて、その場でクビにしたところだったんです。
without wages or character	労賃も払わなけりゃ、つぎの雇い主への紹介状もなし。
-- had threatened to have him arrested if he was ever caught prowling about Wrenfield.	レンフィールドの近所をうろつきでもしたら、警察に捕まえさせてやる、と脅かした。
'By God, and I'll do it	『絶対にそうしてやるからな
-- I'll write to Washington	――ワシントンに手紙を書くぞ
-- I'll have the pauper scoundrel deported!	――金もないごろつきなど、強制送還させてやる。
I'll show him what money can do!'	金があれば何ができるか、やつに目にもの見せてくれるわ』ってね。
As likely as not there was some murderous Black-hand business under it	十中八九、あくどいことばかりやっている黒手団がらみの仕業にちがいない、
-- it would be found that the fellow was a member of a 'gang.'	あいつがギャングの一味であることなんか、すぐにわかるだろう。
Those Italians would murder you for a quarter.	ああいうイタリア人連中というのは、たった25セントのために人殺しをするんだ。
He meant to have the police look into it. . .	警察を呼ばなくては……。
And then he grew frightened at his own excitement.	そのうちじいさんも自分が興奮しているのが怖くなってきたんです。
'But I must calm myself,'	『落ち着かなきゃならん』
he said.	なんて言ってました。
He took his temperature, rang for his drops, and turned to the Churchman.	熱を計り、ベルを鳴らして飴を持ってこさせ、『聖職者』に救いをもとめようとしました。
He had been reading an article on Nestorianism when the melon was brought in.	メロンが運ばれてくるまで、ネストリウス派の記事を読んでいたんです。
He asked me to go on with it, and I read to him for an hour,	じいさんが続きを読んでくれるように頼んだので、一時間ほど読んでやりました。
in the dim close room, with a fat fly buzzing stealthily about the fallen melon.	薄暗い、空気のこもった部屋は、太った蠅が落ちたメロンのまわりでこそこそと羽音をさせているのが聞こえていましたっけ。
< 11 > "All the while one phrase of the old man's buzzed in my brain like the fly about the melon.	「その間ずっと、じいさんの言ったことが、メロンの周りを飛び回る蠅の羽音のように、頭の中でぶんぶんと鳴っていました。
'I'll show him what money can do!'	『金があれば何ができるか、やつに目にもの見せてくれるわ』
Good heaven!	そうなんです！
If I could but show the old man!	じいさんにこそ、それが見せてやれたら。
If I could make him see his power of giving happiness as a new outlet for his monstrous egotism!	化け物のように肥大した自己意識の新たなはけ口として、じいさんが持っている力を使えば、人を幸せにしてやることだってできるんだ、ということを教えてやれるなら。
I tried to tell him something about my situation and Kate's	私は自分とケイトの窮状を訴えようとしました。
-- spoke of my ill-health, my unsuccessful drudgery, my longing to write, to make myself a name	自分が身体を悪くしていること、苦労している割にうまくいかない仕事のこと、書きたいという気持ち、名をあげたい、という思い……。
-- I stammered out an entreaty for a loan.	つっかえつっかえ、借金を依頼しました。
'I can guarantee to repay you, sir	『かならずお返しします。
-I've a half-written play as security. . .'	書きかけの戯曲を抵当にして』
"I shall never forget his glassy stare.	「じいさんの冷たいまなざしはぜったいに忘れないでしょうね。
His face had grown as smooth as an egg-shell again	卵みたいに滑らかな表情に戻っていました。
-- his eyes peered over his fat cheeks like sentinels over a slippery rampart.	膨れ上がった頬の上で、まるで滑りやすい城壁の上に立つ歩哨のようなじいさんの目が、こちらにじっと注がれてたんです。
"'A half-written play --	『書きかけの戯曲か……。
a play of yours as security?'	おまえの書いた戯曲が抵当とな？』
He looked at me almost fearfully, as if detecting the first symptoms of insanity.	恐ろしいものでも見たような、まるで私から狂気の徴候でも嗅ぎ取ったかのような目つきでしたね。
'Do you understand anything of business?'	『ビジネスというものを、わかっておるかね？』
he enquired mildly.	と、口調だけは穏やかでした。
I laughed and answered:	私は苦笑しながら、
'No, not much.'	『いいえ、それほどには』
"He leaned back with closed lids.	「じいさんは後ろにもたれると、目をつぶりました。
'All this excitement has been too much for me,'	『こう興奮させられ通しでは、わしは参ってしまう。
'If you'll excuse me, I'll prepare for my nap.'	失礼して昼寝の用意でもさせてもらうよ』
And I stumbled out of the room, blindly, like the Italian."	そうして私もイタリア人のように、よろめきながら部屋をあとにすることになったのでした」
Granice moved away from the mantel-piece, and walked across to the tray set out with decanters and soda-water.	グラニスはマントルピースから離れ、部屋を横切って、デカンターと炭酸水が用意されているトレイのところへ行った。
He poured himself a tall glass of soda-water, emptied it, and glanced at Ascham's dead cigar.	自分用に、丈の高いグラスに炭酸水を注ぎ、それを飲み干すと、アスカムの消えた葉巻に目を留めた。
"Better light another,"	「火をつけるのは、別の葉巻にしたほうがいいでしょう」
The lawyer shook his head, and Granice went on with his tale.	弁護士が首を横に振ったので、グラニスは話に戻った。
He told of his mounting obsession	自分に取り憑いて離れない妄想のことや、
-- how the murderous impulse had waked in him on the instant of his cousin's refusal,	レンマンが拒否した瞬間、殺意の衝動がどのように芽生えたか。
and he had muttered to himself:	やがてグラニスはこうつぶやいたのだ。
"By God, if you won't, I'll make you."	「神様、あなたが手をお下しにならないのでしたら、私が代わりましょう」
He spoke more tranquilly as the narrative proceeded,	グラニスの口調は、先へ進むにつれて、穏やかなものになっていった。
as though his rage had died down once the resolve to act on it was taken.	まるでなすべきことが決まったとたん、激しい怒りも治まったかのように。
He applied his whole mind to the question of how the old man was to be "disposed of."	こうして老人を「片付ける」にはどうしたらよいかという問題に専念することになった。
Suddenly he remembered the outcry:	そんなとき思い出したのは、老人の叫び声だ。
"Those Italians will murder you for a quarter!"	『ああいうイタリア人連中というのは、たった25セントのために人殺しをするんだ』
But no definite project presented itself:	だが、具体的な計画は浮かばない。
he simply waited for an inspiration.	インスピレーションがわいてくるのを待つしかなかった。
Granice and his sister moved to town a day or two after the incident of the melon.	グラニスと妹のケイトは、メロン事件から数日して街に戻った。
But the cousins, who had returned, kept them informed of the old man's condition.	けれども休暇から帰ってきた従姉妹たちが、折にふれ、老人の状態を知らせてくれた。
One day, about three weeks later, Granice, on getting home, found Kate excited over a report from Wrenfield.	三週間後のある日、グラニスが家に帰ってみると、ケイトがレンフィールドからの知らせに興奮している。
The Italian had been there again	例のイタリア人がまた現れたらしいのだ。
-- had somehow slipped into the house, made his way up to the library, and "used threatening language."	なんでも家に侵入して、書斎にまで入り込み、「脅し文句を吐いた」のだ、という。
The house-keeper found cousin Joseph gasping, the whites of his eyes showing "something awful."	家政婦が、「何か恐ろしいもの」を見て、白目を剥いて喘いでいるジョゼフ老人を発見したらしい。
The doctor was sent for, and the attack warded off;	医者が呼びにやられ、襲撃はひとまずけりがついた。
and the police had ordered the Italian from the neighbourhood.	警察はそのイタリア人に近隣一帯から立ち退くよう警告を出した。
< 12 > But cousin Joseph, thereafter, languished, had "nerves," and lost his taste for toast and butter-milk.	ところがジョゼフ老人は、それ以来衰弱が「神経」に来て、トーストとバターミルクの食事を取っても味が分からなくなってしまった。
The doctor called in a colleague, and the consultation amused and excited the old man-he became once more an important figure.	ところが医者が別の医者を呼ぶと、こんどは診察が老人の楽しみとなり、ふたたび重要人物の気分を味わった老人は、興奮するようになった。
The medical men reassured the family	医師団は家族に、まったく心配はない、と請け合った。
-- too completely!	元気すぎるほどだ。
-- and to the patient they recommended a more varied diet:	そうして、患者に対しては、もっと多様な食餌療法をするよう勧めた。
advised him to take whatever "tempted him."	つまり、老人に「食べたいと思ったもの」は何でも食べるよう、勧めたのである。
And so one day, tremulously, prayerfully, he decided on a tiny bit of melon.	そこである日、おそるおそる祈るような気持ちで、メロンの小さな一切れを食べることに決めた。
It was brought up with ceremony, and consumed in the presence of the house-keeper and a hovering cousin;	儀式のように育てられたメロンは、家政婦や浮き立っている従姉妹たちの目の前で食された。
and twenty minutes later he was dead. . .	そうして二十分後、老人は死んだ……。
"But you remember the circumstances,"	「当時の状況を覚えておいででしょう」
Granice went on;	とグラニスは続けた。
"how suspicion turned at once on the Italian?	「なぜ容疑者は、すぐに例のイタリア人ということになったのですか？
In spite of the hint the police had given him he had been seen hanging about the house since 'the scene.'	警察が警告を与えたにも拘わらず、『例の件』以来、屋敷の周りをうろつきまわっているのを目撃されている。
It was said that he had tender relations with the kitchen-maid, and the rest seemed easy to explain.	噂では、台所の下働きと関係があった、ということなんですが、そうなると後のことは、簡単に説明がつきます。
But when they looked round to ask him for the explanation he was gone	けれども警察が事情聴取のためにイタリア人を捜したが、見つからなかった
-- gone clean out of sight.	――煙のように消え失せていたのでしたね。
He had been 'warned' to leave Wrenfield,	確かにレンフィールドから出ていくように『警告』はされていた。
and he had taken the warning so to heart that no one ever laid eyes on him again."	そうしてやつもその警告を受けとめたからこそ、だれもふたたびその姿を目にしなかった」
Granice paused.	グラニスはことばを切った。
He had dropped into a chair opposite the lawyer's, and he sat for a moment, his head thrown back, looking about the familiar room.	アスカムの向かいの椅子に腰を下ろすと、しばらくすわったままで頭を後ろに倒し、慣れ親しんだ部屋の中を逆さまに見た。
Everything in it had grown grimacing and alien,	何もかもが歪んで、見たことがないもののようだ。
and each strange insistent object seemed craning forward from its place to hear him.	見慣れない、それぞれに自己主張するものたちが、首を伸ばして自分の話を聞こうとしているように思えた。
"It was I who put the stuff in the melon,"	「メロンに薬をいれたのは私です」
he said.	とグラニスは言った。
"And I don't want you to think I'm sorry for it.	「私がそのことを後悔している、などと思わないでください。
This isn't 'remorse,' understand.	『自責の念』なんかじゃありません。
I'm glad the old skin-flint is dead	わたしは吝嗇なじいさんが死んで、喜んでいるんです。
-- I'm glad the others have their money.	ほかの人間の手にお金が渡ったのもうれしい。
But mine's no use to me any more.	でも、私の遺産は何の役にも立たなかった。
My sister married miserably, and died.	妹は悲惨な結婚をして、死んでしまいました。
And I've never had what I wanted."	そうして私は、ほしいものをなにひとつ手に入れることができなかった」
Ascham continued to stare;	アスカムはグラニスから目を離さずにいた。
then he said:	やがて訊ねた。
"What on earth was your object, then?"	「なら、あなたの目的は何だったんですか」
"Why, to get what I wanted	「ほしいものを手に入れたかったんです
-- what I fancied was in reach!	――夢見たものは、手の届くところにあった。
I wanted change, rest, life, for both of us	気晴らし、休養、人生、私たちふたりのためのね
-- wanted, above all, for myself, the chance to write!	――何よりも、私自身のために、書く機会がほしかった！
I travelled,	旅行はしました。
got back my health,	健康も回復した。
and came home to tie myself up to my work.	そうして家に帰って、机にかじりついて仕事をしたのです。
And I've slaved at it steadily for ten years without reward	十年間身を粉にして書き続けた結果、何の見返りももなく、
-- without the most distant hope of success!	微かな成功の希望さえ費えた。
Nobody will look at my stuff.	私の作品を見ようとする者はいないでしょう。
And now I'm fifty,	いまや私は五十です。
and I'm beaten,	私は敗者だ。
and I know it."	それもよくわかっている」
His chin dropped forward on his breast.	グラニスはがっくりと肩を落とした。
"I want to chuck the whole business,"	「何もかも終わりにしたいのです」
he ended.	そう言って、ことばを切った。
< 13 > III It was after midnight when Ascham left.	アスカムが帰っていったのは、真夜中過ぎだった。
His hand on Granice's shoulder, as he turned to go	帰りがけ、グラニスの肩に手を置いて、
--"District Attorney be hanged;	「地方検事なら縛り首にしてくれるかもしれませんがね、
see a doctor,	医者にかかってください。
see a doctor!"	医者ですよ」
he had cried;	と、大きな声でそう言うと、
and so, with an exaggerated laugh, had pulled on his coat and departed.	とってつけたような笑い声を響かせて、コートを羽織って出ていったのだった。
Granice turned back into the library.	グラニスはひとり書斎に戻った。
It had never occurred to him that Ascham would not believe his story.	まさかアスカムが自分の話を信じないとは、まったく思いもかけないことだった。
For three hours he had explained,	三時間も説明したのに。
elucidated, patiently and painfully gone over every detail	微に入り細に入り、辛抱強く、痛々しいまでに、細部に至るまで繰り返し練習しておいたのに
-- but without once breaking down the iron incredulity of the lawyer's eye.	――だが、並大抵のことでは信じない弁護士の目だけは、一瞬たりともごまかすことはできなかった。
At first Ascham had feigned to be convinced	初めのうち、アスカムは説得されているふりをしていた。
-- but that, as Granice now perceived, was simply to get him to expose himself, to entrap him into contradictions.	だがそれも、と、いまになってグラニスにもわかるのだが、単に彼の本心をさらけ出させるためであり、論理破綻させるためにしかけた罠だったのだ。
And when the attempt failed, when Granice triumphantly met and refuted each disconcerting question, the lawyer dropped the mask suddenly, and said with a goodhumoured laugh:	その企てがうまくいかなくなったので、つまり、グラニスがまごつくような質問にも、ひとつひとつ臆することなく向き合い、反論したので、突然仮面をかなぐり捨てて、愉快そうに笑いながらこう言ったのだ。
"By Jove, Granice you'll write a successful play yet.	「グラニスさん、まだまだ立派な戯曲が書けますよ。
The way you've worked this all out is a marvel."	あなたがこうしてお話してくださってることは、まったくたいしたものだ」
Granice swung about furiously	グラニスは荒々しい仕草で向きを変えた。
-- that last sneer about the play inflamed him.	最後に戯曲を笑いものにされて、怒りに火がついたのだ。
Was all the world in a conspiracy to deride his failure?	世界中がグラニスの失敗を共謀して嘲ろうとしているのだろうか。
"I did it,	「私がやったんです。
I did it,"	私がやった」
he muttered sullenly, his rage spending itself against the impenetrable surface of the other's mockery;	グラニスは苛立たしげにそうつぶやいたが、その怒りもあざ笑う他者の内側には通じないのだった。
and Ascham answered with a smile:	アスカムは微笑みを浮かべてこう答えた。
"Ever read any of those books on hallucination?	「幻覚症状について何か読んだことはおありですかな。
I've got a fairly good medico-legal library.	法医学の文献で良い本を持っていますので、
I could send you one or two if you like. . ."	よろしければ一冊か二冊、届けさせましょう」
Left alone, Granice cowered down in the chair before his writingtable.	ひとり残されて、ライティング・テーブルの椅子に腰掛けたグラニスは、縮み上がった。
He understood that Ascham thought him off his head.	アスカムは、自分が気が狂ったと思っている。
"Good God	「なんということだ。
-- what if they all think me crazy?"	みんながおれを気違いだと思ったらどうしよう」
The horror of it broke out over him in a cold sweat	冷たい汗がどっと出る。
-- he sat there and shook, his eyes hidden in his icy hands.	氷のような手で顔を覆って震えながらそこにすわっていた。
But gradually, as he began to rehearse his story for the thousandth time, he saw again how incontrovertible it was, and felt sure that any criminal lawyer would believe him.	だが次第に、千回も練習したときのように、ふたたび自分の話は疑念を差し挟む余地のないものに見えてきて、どんな刑事弁護士でさえ信じてくれるにちがいない、という気持ちもよみがえってきた。
< 14 > "That's the trouble	「問題は、
-- Ascham's not a criminal lawyer.	アスカムが刑事弁護士ではなかった、ということだ。
And then he's a friend.	しかも友人だ。
What a fool I was to talk to a friend!	友だちにこんな話をするなんて、おれはなんと馬鹿だったんだろう。
Even if he did believe me, he'd never let me see it	よしんば話を信じたとしても、そんなそぶりを見せるものか。
-- his instinct would be to cover the whole thing up. . .	本能的にすべてを隠蔽してしまうだろう……。
But in that case	だが、その場合
-- if he did believe me	……もしおれの言ったことを実際は信じたなら
-- he might think it a kindness to get me shut up in an asylum. . ."	……精神病院に閉じ込めるのが親切だと考えたなら……」
Granice began to tremble again.	グラニスはふたたび震え上がった。
"Good heaven!	「なんということだ。
If he should bring in an expert	専門家を連れてきたら
-- one of those damned alienists!	……精神科医とかいう手合いだ。
Ascham and Pettilow can do anything	アスカムとペッティローの手にかかれば、どんなことだってできる。
-- their word always goes.	いつだって、何を言っても通るのだ。
If Ascham drops a hint that I'd better be shut up, I'll be in a strait-jacket by to-morrow!	もしアスカムが、おれを収容した方がいい、とでも言ったことなら、明日から拘束衣を着せられることになるだろう。
And he'd do it from the kindest motives	おまけにやつにしてみれば、親切でそんなことをするのだ
-- be quite right to do it if he thinks I'm a murderer!"	――もしおれが殺人者だと信じたとしても、そうするのが正しいと思って」
< 14 > The vision froze him to his chair.	そのことに思い至ったグラニスは、心底凍りつきそうになった。
He pressed his fists to his bursting temples and tried to think.	爆発しそうなこめかみを、両の拳で押さえつけ、考えようとした。
For the first time he hoped that Ascham had not believed his story.	初めて、アスカムが自分の話を信じてくれなければいい、と願った。
"But he did	「だが、信じたのだ
-- he did!	……そうだ、信じたのだ。
I can see it now	いまになってみればよくわかる。
-- I noticed what a queer eye he cocked at me.	首を傾げて、おれを奇妙な目で見ていた。
Good God, what shall I do	ああ、どうしたらいいんだ。
-- what shall I do?"	どうしたらいいんだろう」
He started up and looked at the clock.	顔を上げて時計を見た。
Half-past one.	一時半。
What if Ascham should think the case urgent, rout out an alienist, and come back with him?	アスカムがことは緊急を要すると考えて、精神科医を引きずり出して、一緒に戻ってきたらどうしよう。
Granice jumped to his feet,	グラニスは弾かれたように立ち上がった。
and his sudden gesture brushed the morning paper from the table.	そのはずみに、テーブルから朝刊を払い落としてしまう。
Mechanically he stooped to pick it up, and the movement started a new train of association.	それを拾い上げようと機械的に腰をかがめたとたん、連想が生じた。
He sat down again, and reached for the telephone book in the rack by his chair.	もういちどすわり直して、椅子の脇のラックの電話帳に手を伸ばす。
"Give me three-o-ten	「３−Ｏ−10……をお願いします。
. . . yes."	……はい」
The new idea in his mind had revived his flagging energy.	胸の内に浮かんだ新たな着想は、沈滞していたエネルギーに活を入れた。
He would act	自分は行動を開始する。
-- act at once.	行動を、いますぐに。
It was only by thus planning ahead, committing himself to some unavoidable line of conduct, that he could pull himself through the meaningless days.	先の行動を計画することによってのみ、自分自身を逃れることのできない一連の行動に投げ入れることによってのみ、グラニスは無意味な日々のなかで自分を先に引っ張ってきたのだった。
Each time he reached a fresh decision it was like coming out of a foggy weltering sea into a calm harbour with lights.	霧の垂れ込めた波の高い海に届く、穏やかな港の灯りのように、いつも新たな決断が胸の内に生まれた。
One of the queerest phases of his long agony was the intense relief produced by these momentary lulls.	長く苦しい日々のなかで訪れる、まったくちがった局面、こうしたつかの間の小康状態に、いつも助けられてきたのだった。
"That the office of the Investigator? Yes?	「調査部ですか。
Give me Mr. Denver, please	デンヴァーさんをお願いします。
. . . Hallo, Denver	……やぁ、デンヴァー
. . . Yes, Hubert Granice.	……そうだ、ヒューバート・グラニスだよ。
. . . Just caught you?	……君がつかまって助かった。
Going straight home?	まっすぐ家へ帰るのかい？
Can I come and see you	ちょっと君に会うことはできないだろうか
. . . yes, now	……そうだ、いまだよ
. . . have a talk?	……話ができるかな。
It's rather urgent	ちょっと急ぐんだ。
. . . yes,	……そうだ。
might give you some first-rate 'copy.'	第一級の『記事』を提供できるかもしれん。
. . . All right!"	……いいとも」
He hung up the receiver with a laugh.	グラニスは笑顔で受話器を置いた。
It had been a happy thought to call up the editor of the Investigator	調査部の編集長に電話すると思いついたことで、すっかり満足していたのだ。
-- Robert Denver was the very man he needed. . .	ロバート・デンヴァーこそ、自分が必要とする人間にほかならない。
Granice put out the lights in the library	グラニスは書斎の電気を消し
-- it was odd how the automatic gestures persisted!	――機械的な動作がここまで頑固なことに、奇妙な気さえする
-- went into the hall, put on his hat and overcoat, and let himself out of the flat.	――玄関ホールに出て、帽子とコートを身につけると、アパートを出た。
In the hall, a sleepy elevator boy blinked at him and then dropped his head on his folded arms.	ホールでは眠たそうなエレベーター・ボーイが、グラニスを見て瞬きをしたが、また、組んだ腕の中へ頭をがくっと落とした。
Granice passed out into the street.	グラニスは通りへ出て、
At the corner of Fifth Avenue he hailed a crawling cab, and called out an up-town address.	五番街の角で徐行運転しているタクシーを呼び止め、アップタウンの住所を告げた。
The long thoroughfare stretched before him, dim and deserted, like an ancient avenue of tombs.	どこまでも伸びていく大通りは、墓地のなかの古い通り道のように、薄暗く、人気もなかった。
< 15 > The two men grasped hands, and Denver, feeling for his latch-key, ushered Granice into the brightly-lit hall.	二人の男は握手を交わすと、デンヴァーは掛け金を手探りして鍵を開け、グラニスを明るいホールに案内した。
"Disturb me?	「邪魔じゃなかったかって？
Not a bit.	ちっとも。
You might have, at ten to-morrow morning. . .	明日の朝の十時だったらそうだったろうが、
but this is my liveliest hour	いまがおれの一番元気な時間帯さ。
. . . you know my habits of old."	昔からそうだったろう？」
Granice had known Robert Denver for fifteen years	ロバート・デンヴァーと知り合ってから十五年になる。
-- watched his rise through all the stages of journalism to the Olympian pinnacle of the Investigator's editorial office.	デンヴァーがジャーナリズムの階段を一歩ずつ上って、オリュンポスの頂上たる調査部の編集室にたどりつくまでを、グラニスはずっと目の当たりにしてきた。
In the thickset man with grizzling hair there were few traces left of the hungry-eyed young reporter who, on his way home in the small hours, used to "bob in" on Granice, while the latter sat grinding at his plays.	白髪頭でよく太ったデンヴァーは、飢えた目をして、家に帰る途中、戯曲に向かって奮闘しているグラニスのところへ「ぶらっと」寄っていた若い記者だったころの面影をほとんど残していなかった。
Denver had to pass Granice's flat on the way to his own, and it became a habit, if he saw a light in the window, and Granice's shadow against the blind, to go in, smoke a pipe, and discuss the universe.	帰路の途中にはグラニスのアパートがあり、窓に明かりが点ってブラインドに映る影を見てはなかへ入って、パイプを吹かしながら、森羅万象についてよくふたりで話し合ったものだった。
"Well	「おやおや
-- this is like old times	……なんだか昔に返ったみたいだな。
-- a good old habit reversed."	古き良き習慣の逆だが」
The editor smote his visitor genially on the shoulder.	デンヴァーは親愛の情をこめてグラニスの肩を叩いた。
"Reminds me of the nights when I used to rout you out. . .	「おまえを引っ張り出した夜のことを思い出すな。
How's the play, by the way?	それはそうと戯曲の方はどうなった？
There is a play, I suppose?	戯曲があるんだよな。
It's as safe to ask you that as to say to some men:	ほかの男に
'How's the baby?'"	『赤ん坊はどうしてる？』
Denver laughed good-naturedly, and Granice thought how thick and heavy he had grown.	デンヴァーは人の良さそうな笑い声をあげ、グラニスはこいつもずいぶん太ったものだと考えた。
It was evident, even to Granice's tortured nerves, that the words had not been uttered in malice	グラニスのボロボロになった神経にさえ、デンヴァーのことばにまったく悪意がないことはわかっていたが、
-- and the fact gave him a new measure of his insignificance.	それも無価値な自分を際立たせることにしかならない。
Denver did not even know that he had been a failure!	デンヴァーは自分が成功しなかったことなど知りもしないのだ。
The fact hurt more than Ascham's irony.	このことは、アスカムの皮肉より、グラニスにはこたえた。
"Come in -- come in."	「入れ入れ」
The editor led the way into a small cheerful room, where there were cigars and decanters.	そう言いながら、葉巻とデカンターのある小さな明るい部屋へ招き入れる。
He pushed an armchair toward his visitor, and dropped into another with a comfortable groan.	肘掛け椅子をグラニスの方へ押してきて、もうひとつの椅子に自分が腰を下ろすと、満足そうな声をもらした。
"Now, then	「さて、と。
-- help yourself.	好きなようにやってくれ。
And let's hear all about it."	で、話とやらを全部聞こうじゃないか」
He beamed at Granice over his pipe-bowl, and the latter, lighting his cigar, said to himself:	デンヴァーはパイプの火皿ごしに笑いかけ、グラニスは葉巻に火をつけ、こう独り言を言った。
"Success makes men comfortable, but it makes them stupid."	「成功した人間は満ち足りているが、時として愚かでもある」
Then he turned, and began:	それから向き直ると、話を始めた。
"Denver, I want to tell you --"	「デンヴァー、聞いてほしいことがあるんだ」
The clock ticked rhythmically on the mantel-piece.	マントルピースの上で、時計がリズミカルに時を刻む。
The little room was gradually filled with drifting blue layers of smoke, and through them the editor's face came and went like the moon through a moving sky.	小さな部屋はしだいに紫煙が垂れ込め始め、煙越しのデンヴァーの顔は、雲が流れる空に浮かぶ月のように、ところどころで霞んでいた。
Once the hour struck	時を告げる鐘の音
-- then the rhythmical ticking began again.	――ふたたびリズミカルなチクタクいう音。
The atmosphere grew denser and heavier, and beads of perspiration began to roll from Granice's forehead.	部屋の空気は次第に濃く、重いものになっていき、グラニスの額には、玉のような汗が浮かんできた。
< 16 > "Do you mind if I open the window?"	「窓を開けてもいいか」
"No.	「ああ、かまわんよ、
It is stuffy in here.	空気がこもってるからな
Wait -- I'll do it myself."	……いや、おれがやろう」
Denver pushed down the upper sash, and returned to his chair.	デンヴァーは上側の窓枠を下げると、自分の椅子に戻った。
"Well -- go on,"	「さあ、続けてくれ」
he said, filling another pipe.	ともうひとつのパイプを詰めながら促す。
His composure exasperated Granice.	デンヴァーの落ち着き払った態度は、グラニスのカンにさわった。
"There's no use in my going on if you don't believe me."	「信じてくれないのなら、話をしても仕方がない」
The editor remained unmoved.	デンヴァーは動じる気配もなかった。
"Who says I don't believe you?	「信じてないとだれが言った？
And how can I tell till you've finished?"	終いまで聞かなきゃ、何も言いようがないじゃないか」
Granice went on, ashamed of his outburst.	グラニスは感情をあらわにしたことに気恥ずかしさを覚えながら、話を続けた。
